Subtotal Area	LISA REMMER	JOSEPH C ROBERTS	STEPHEN WAID	LEO LACAYO	RYAN LAM	CHRISTIAN FOSTER	JOSH YORK	EVE DEL CASTELLO	CHRIS WARD KLINE	ERIN SMITH	LARRY MARSO	NICOLE GARAY	CALE GARVERICK	KRISTA GARVERICK	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7006 - Election Day	3	3	4	0	3	2	3	0	1	4	3	1	4	4	203	7	0	0	42	35	0
Precinct 7006	5	3	6	0	6	5	5	4	3	9	5	1	6	6	932	16	0	0	112	64	0
Precinct 7007 - Vote By Mail	7	7	5	2	3	2	3	4	8	7	2	1	2	4	777	20	0	0	163	57	0
Precinct 7007 - Election Day	1	0	1	0	1	0	1	1	1	1	1	1	1	1	180	1	0	0	0	11	0
Precinct 7007	8	7	6	2	4	2	4	5	9	8	3	2	3	5	957	21	0	0	163	68	0
Precinct 7008 - Vote By Mail	6	5	3	3	2	3	4	2	2	5	3	4	3	4	732	13	0	0	94	49	0
Precinct 7008 - Election Day	1	3	2	2	2	1	1	2	2	2	1	2	3	2	177	6	0	0	31	35	9
Precinct 7008	7	8	5	5	4	4	5	4	4	7	4	6	6	6	909	19	0	0	125	84	9
Precinct 7009 - Vote By Mail	1	2	1	1	3	2	2	3	1	4	1	2	4	1	752	8	0	0	60	28	0
Precinct 7009 - Election Day	3	2	2	2	1	4	2	0	0	4	2	3	3	2	119	6	0	0	36	30	0
Precinct 7009	4	4	3	3	4	6	4	3	1	8	3	5	7	3	871	14	0	0	96	58	0
Precinct 7011 - Vote By Mail	3	1	2	1	2	1	1	2	1	1	2	1	0	1	704	5	0	0	36	19	0
Precinct 7011 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0	0
Precinct 7011	3	1	2	1	2	1	1	2	1	1	2	1	0	1	973	5	0	0	36	19	0
Precinct 7012 - Vote By Mail	4	4	3	2	6	3	2	3	4	5	3	1	5	3	999	24	0	0	216	48	0
Precinct 7012 - Election Day	3	2	1	2	3	2	2	3	2	6	1	1	4	1	227	11	0	0	88	33	0
Precinct 7012	7	6	4	4	9	5	4	6	6	11	4	2	9	4	1,226	35	0	0	304	81	0
Precinct 7013 - Vote By Mail	4	3	2	3	4	2	2	3	2	4	2	4	3	2	984	9	0	0	59	40	0
Precinct 7013 - Election Day	1	1	1	1	2	0	0	1	1	1	1	1	1	2	155	3	0	0	19	14	0
Precinct 7013	5	4	3	4	6	2	2	4	3	5	3	5	4	4	1,139	12	0	0	78	54	0
Precinct 7014 - Vote By Mail	3	2	2	2	4	2	3	3	2	5	1	3	5	3	610	9	0	0	59	40	0
Precinct 7014 - Election Day	2	1	2	0	1	2	1	1	0	2	1	1	3	1	109	3	0	0	15	18	0
Precinct 7014	5	3	4	2	5	4	4	4	2	7	2	4	8	4	719	12	0	0	74	58	0
Precinct 7015 MB - Vote By Mail	1	1	1	1	0	1	1	0	1	1	1	1	1	1	128	3	0	0	21	12	0
Precinct 7015 MB - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-18	1	0	0	11	0	0
Precinct 7015 MB	1	1	1	1	0	1	1	0	1	1	1	1	1	1	110	4	0	0	32	12	0
Precinct 7016 - Vote By Mail	6	3	3	3	5	1	6	1	2	4	3	2	2	5	655	11	0	0	75	46	0
Precinct 7016 - Election Day	1	0	0	0	0	1	1	0	0	1	0	0	1	0	277	5	0	0	50	5	0
Precinct 7016	7	3	3	3	5	2	7	1	2	5	3	2	3	5	932	16	0	0	125	51	0
Precinct 7017 - Vote By Mail	0	2	0	1	1	1	0	0	0	2	0	0	1	0	543	7	0	0	69	8	0
Precinct 7017 - Election Day	0	1	0	0	0	0	0	0	0	0	0	0	0	0	238	1	0	0	10	1	0
Precinct 7017	0	3	0	1	1	1	0	0	0	2	0	0	1	0	781	8	0	0	79	9	0
Precinct 7018 - Vote By Mail	5	4	4	1	4	1	3	2	0	5	4	3	3	4	847	16	0	0	133	43	0
Precinct 7018 - Election Day	1	0	0	1	3	0	0	0	1	2	0	1	1	0	200	4	0	0	34	10	0
Precinct 7018	6	4	4	2	7	1	3	2	1	7	4	4	4	4	1,047	20	0	0	167	53	0
Precinct 7019 - Vote By Mail	5	5	4	4	9	5	5	4	5	6	4	2	6	4	734	18	0	0	130	68	0
Precinct 7019 - Election Day	0	1	0	0	0	0	1	1	1	1	0	0	1	1	166	1	0	0	4	7	0
Precinct 7019	5	6	4	4	9	5	6	5	6	7	4	2	7	5	900	19	0	0	134	75	0
Precinct 7021 - Vote By Mail	1	1	1	1	2	7	1	2	2	3	2	1	1	1	679	11	0	0	95	26	0
Precinct 7021 - Election Day	2	1	1	2	2	1	0	2	0	2	2	1	1	0	288	3	0	0	16	17	0
Precinct 7021	3	2	2	3	4	8	1	4	2	5	4	2	2	1	967	14	0	0	111	43	0
Precinct 7022 - Vote By Mail	4	4	4	6	4	4	3	2	3	5	4	4	4	4	770	10	0	0	55	55	0
Precinct 7022 - Election Day	2	2	1	2	1	1	0	2	2	2	1	2	1	1	193	2	0	0	2	20	0
Precinct 7022	6	6	5	8	5	5	3	4	5	7	5	6	5	5	963	12	0	0	57	75	0
Precinct 7023 - Vote By Mail	6	4	3	0	1	1	4	1	1	3	5	2	0	4	687	11	0	0	86	35	0
Precinct 7023 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	1	0	0	11	0	0
Precinct 7023	6	4	3	0	1	1	4	1	1	3	5	2	0	4	920	12	0	0	97	35	0
Precinct 7024 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	0	0	0	0	0	0
Precinct 7024 - Election Day	1	1	0	0	1	0	1	1	1	1	1	1	1	1	190	1	0	0	0	11	0
Precinct 7024	1	1	0	0	1	0	1	1	1	1	1	1	1	1	441	1	0	0	0	11	0
Precinct 7025 - Vote By Mail	1	1	0	0	0	1	0	1	1	1	0	1	1	1	316	1	0	0	2	9	0
Precinct 7025 - Election Day	0	0	0	0	1	0	0	1	0	1	0	1	1	0	167	1	0	0	6	5	0
Precinct 7025	1	1	0	0	1	1	0	2	1	2	0	2	2	1	483	2	0	0	8	14	0
Precinct 7026 - Vote By Mail	5	6	5	2	5	3	3	4	3	6	3	5	8	3	819	18	0	0	137	61	0
Precinct 7026 - Election Day	0	0	0	0	0	0	1	0	1	0	0	0	1	0	191	4	0	0	41	3	0
Precinct 7026	5	6	5	2	5	3	4	4	4	6	3	5	9	3	1,010	22	0	0	178	64	0
Precinct 7027 - Vote By Mail	6	6	5	10	7	5	6	4	7	5	7	3	7	3	677	19	0	0	128	81	0
Precinct 7027 - Election Day	1	2	1	1	1	0	1	1	1	1	1	1	1	1	219	2	0	0	8	14	0
Precinct 7027	7	8	6	11	8	5	7	5	8	6	8	4	8	4	896	21	0	0	136	95	0
Precinct 7028 - Vote By Mail	1	0	1	0	0	0	0	0	0	0	0	0	0	0	586	3	0	0	31	2	0
Precinct 7028 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	0	0	0	0	0	0
Precinct 7028	1	0	1	0	0	0	0	0	0	0	0	0	0	0	856	3	0	0	31	2	0
Precinct 7029 - Vote By Mail	5	6	6	3	3	4	7	5	3	6	6	6	5	6	643	9	0	0	28	71	0
Precinct 7029 - Election Day	0	1	1	1	0	1	1	1	0	1	0	1	2	0	266	4	0	0	34	10	0
Precinct 7029	5	7	7	4	3	5	8	6	3	7	6	7	7	6	909	13	0	0	62	81	0
Precinct 7030 - Vote By Mail	5	2	5	3	10	5	2	5	8	8	3	5	6	7	654	19	0	0	135	74	0
Precinct 7030 - Election Day	1	2	1	0	1	1	1	0	0	1	1	0	1	1	141	2	0	0	11	11	0
Precinct 7030	6	4	6	3	11	6	3	5	8	9	4	5	7	8	795	21	0	0	146	85	0
Precinct 7031 - Vote By Mail	4	2	3	2	3	1	1	1	4	5	3	2	4	1	622	13	0	0	107	36	0
Precinct 7031 - Election Day	3	1	2	1	0	3	1	0	0	2	1	3	1	2	72	3	0	0	13	20	0
Precinct 7031	7	3	5	3	3	4	2	1	4	7	4	5	5	3	694	16	0	0	120	56	0
Precinct 7032 - Vote By Mail	5	2	6	3	3	2	5	1	3	3	5	3	2	5	643	11	0	0	73	48	0
Precinct 7032 - Election Day	1	1	0	1	1	1	0	0	1	0	0	0	0	0	238	4	0	0	38	6	0
Precinct 7032	6	3	6	4	4	3	5	1	4	3	5	3	2	5	881	15	0	0	111	54	0
Precinct 7033 - Vote By Mail	4	3	2	3	4	4	2	1	3	4	2	1	1	2	549	7	0	0	41	36	0
Precinct 7033 - Election Day	1	2	1	3	1	1	2	2	1	1	0	1	1	0	229	6	0	0	49	17	0
Precinct 7033	5	5	3	6	5	5	4	3	4	5	2	2	2	2	778	13	0	0	90	53	0
Precinct 7034 - Vote By Mail	0	0	0	0	0	0	0	0	0	2	0	0	0	0	620	5	0	0	53	2	0
Precinct 7034 - Election Day	0	0	0	0	1	0	0	0	0	1	0	1	1	0	318	2	0	0	18	4	0
Precinct 7034	0	0	0	0	1	0	0	0	0	3	0	1	1	0	938	7	0	0	71	6	0
