Subtotal Area	HOWIE HAWKINS	GLORIA LA RIVA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7512 - None	0	0	1	0	0	0	0	0	0
Precinct 7512 - None	0	0	1	0	0	0	0	0	0
Precinct 7512	0	0	2	0	0	0	0	0	0
Precinct 7513 - None	0	0	3	1	0	0	1	0	0
Precinct 7513 - None	0	1	0	1	0	0	0	1	0
Precinct 7513	0	1	3	2	0	0	1	1	0
Precinct 7514 - None	1	0	1	1	0	0	0	1	0
Precinct 7514 - None	0	0	0	0	0	0	0	0	0
Precinct 7514	1	0	1	1	0	0	0	1	0
Precinct 7515 - None	0	0	4	1	0	0	1	0	0
Precinct 7515 - None	0	1	3	1	0	0	0	1	0
Precinct 7515	0	1	7	2	0	0	1	1	0
Precinct 7516 - None	0	0	1	0	0	0	0	0	0
Precinct 7516 - None	0	0	0	0	0	0	0	0	0
Precinct 7516	0	0	1	0	0	0	0	0	0
Precinct 7517 - None	0	0	2	1	0	0	1	0	0
Precinct 7517 - None	0	0	1	0	0	0	0	0	0
Precinct 7517	0	0	3	1	0	0	1	0	0
Precinct 7518 - None	0	0	1	0	0	0	0	0	0
Precinct 7518 - None	0	0	1	0	0	0	0	0	0
Precinct 7518	0	0	2	0	0	0	0	0	0
Precinct 7519 - None	0	1	2	2	0	0	1	1	0
Precinct 7519 - None	0	1	1	1	0	0	0	1	0
Precinct 7519	0	2	3	3	0	0	1	2	0
Precinct 7521 - None	0	0	1	0	0	0	0	0	0
Precinct 7521 - None	0	0	1	0	0	0	0	0	0
Precinct 7521	0	0	2	0	0	0	0	0	0
Precinct 7522 - None	0	0	2	1	0	0	1	0	0
Precinct 7522 - None	0	0	0	0	0	0	0	0	0
Precinct 7522	0	0	2	1	0	0	1	0	0
Precinct 7523 - None	0	0	0	0	0	0	0	0	0
Precinct 7523 - None	0	0	0	0	0	0	0	0	0
Precinct 7523	0	0	0	0	0	0	0	0	0
Precinct 7524 - None	1	0	2	1	0	0	0	1	0
Precinct 7524 - None	0	0	2	0	0	0	0	0	0
Precinct 7524	1	0	4	1	0	0	0	1	0
Precinct 7525 - None	0	0	4	1	0	0	1	0	0
Precinct 7525 - None	0	0	0	0	0	0	0	0	0
Precinct 7525	0	0	4	1	0	0	1	0	0
Precinct 7526 - None	0	1	1	1	0	0	0	1	0
Precinct 7526 - None	0	0	1	0	0	0	0	0	0
Precinct 7526	0	1	2	1	0	0	0	1	0
Precinct 7527/7528 - None	0	0	1	0	0	0	0	0	0
Precinct 7527/7528 - None	0	0	1	0	0	0	0	0	0
Precinct 7527/7528	0	0	2	0	0	0	0	0	0
Precinct 7529 - None	0	1	2	1	0	0	0	1	0
Precinct 7529 - None	0	0	0	0	0	0	0	0	0
Precinct 7529	0	1	2	1	0	0	0	1	0
Precinct 7531 - None	0	1	2	1	0	0	0	1	0
Precinct 7531 - None	0	0	1	0	0	0	0	0	0
Precinct 7531	0	1	3	1	0	0	0	1	0
Precinct 7532 - None	0	1	4	1	0	0	0	1	0
Precinct 7532 - None	0	0	2	0	0	0	0	0	0
Precinct 7532	0	1	6	1	0	0	0	1	0
Precinct 7533 - None	0	0	1	1	0	0	1	0	0
Precinct 7533 - None	0	0	1	0	0	0	0	0	0
Precinct 7533	0	0	2	1	0	0	1	0	0
Precinct 7534 - None	0	1	3	1	0	0	0	1	0
Precinct 7534 - None	0	0	0	0	0	0	0	0	0
Precinct 7534	0	1	3	1	0	0	0	1	0
Precinct 7535 - None	0	0	0	0	0	0	0	0	0
Precinct 7535 - None	1	0	1	1	0	0	0	1	0
Precinct 7535	1	0	1	1	0	0	0	1	0
Precinct 7536 - None	0	0	3	0	0	0	0	0	0
Precinct 7536 - None	0	0	-1	0	0	0	0	0	0
Precinct 7536	0	0	2	0	0	0	0	0	0
Precinct 7537 - None	0	0	2	0	0	0	0	0	0
Precinct 7537 - None	0	0	0	0	0	0	0	0	0
Precinct 7537	0	0	2	0	0	0	0	0	0
Precinct 7538 - None	0	0	0	0	0	0	0	0	0
Precinct 7538 - None	0	0	0	0	0	0	0	0	0
Precinct 7538	0	0	0	0	0	0	0	0	0
Precinct 7539 - None	0	0	3	0	0	0	0	0	0
Precinct 7539 - None	0	0	1	0	0	0	0	0	0
Precinct 7539	0	0	4	0	0	0	0	0	0
Precinct 7541 - None	0	0	1	0	0	0	0	0	0
Precinct 7541 - None	0	0	1	0	0	0	0	0	0
Precinct 7541	0	0	2	0	0	0	0	0	0
Precinct 7542 - None	0	1	5	2	0	0	1	1	0
Precinct 7542 - None	0	0	1	0	0	0	0	0	0
Precinct 7542	0	1	6	2	0	0	1	1	0
Precinct 7543 - None	1	0	3	2	0	0	1	1	0
Precinct 7543 - None	0	0	1	0	0	0	0	0	0
Precinct 7543	1	0	4	2	0	0	1	1	0
Precinct 7544 - None	0	0	0	0	0	0	0	0	0
Precinct 7544 - None	0	0	1	0	0	0	0	0	0
Precinct 7544	0	0	1	0	0	0	0	0	0
Precinct 7545 - None	0	1	2	1	0	0	0	1	0
Precinct 7545 - None	0	0	0	0	0	0	0	0	0
Precinct 7545	0	1	2	1	0	0	0	1	0
Precinct 7546 - None	0	0	3	2	0	0	2	0	0
Precinct 7546 - None	0	0	4	0	0	0	0	0	0
Precinct 7546	0	0	7	2	0	0	2	0	0
Precinct 7547 - None	0	2	4	2	0	0	0	2	0
Precinct 7547 - None	0	1	1	1	0	0	0	1	0
Precinct 7547	0	3	5	3	0	0	0	3	0
Precinct 7548 - None	0	0	4	0	0	0	0	0	0
Precinct 7548 - None	0	0	1	0	0	0	0	0	0
Precinct 7548	0	0	5	0	0	0	0	0	0
Precinct 7549 - None	0	0	0	0	0	0	0	0	0
Precinct 7549 - None	0	0	2	0	0	0	0	0	0
Precinct 7549	0	0	2	0	0	0	0	0	0
Precinct 7551 - None	0	0	2	0	0	0	0	0	0
Precinct 7551 - None	1	0	0	1	0	0	0	1	0
Precinct 7551	1	0	2	1	0	0	0	1	0
Precinct 7552 - None	0	0	0	0	0	0	0	0	0
Precinct 7552 - None	0	1	1	1	0	0	0	1	0
Precinct 7552	0	1	1	1	0	0	0	1	0
Precinct 7553 MB - None	0	0	0	0	0	0	0	0	0
Precinct 7553 MB - None	0	0	0	0	0	0	0	0	0
Precinct 7553 MB	0	0	0	0	0	0	0	0	0
Precinct 7554 - None	0	0	1	0	0	0	0	0	0
Precinct 7554 - None	0	0	0	0	0	0	0	0	0
Precinct 7554	0	0	1	0	0	0	0	0	0
Precinct 7555 - None	0	0	0	0	0	0	0	0	0
Precinct 7555 - None	0	0	0	0	0	0	0	0	0
Precinct 7555	0	0	0	0	0	0	0	0	0
Precinct 7556/7557 - None	0	0	0	0	0	0	0	0	0
Precinct 7556/7557 - None	0	0	0	0	0	0	0	0	0
Precinct 7556/7557	0	0	0	0	0	0	0	0	0
Precinct 7601 - None	0	0	1	0	0	0	0	0	0
Precinct 7601 - None	0	0	1	0	0	0	0	0	0
Precinct 7601	0	0	2	0	0	0	0	0	0
Precinct 7602 - None	0	0	0	0	0	0	0	0	0
Precinct 7602 - None	0	0	3	0	0	0	0	0	0
Precinct 7602	0	0	3	0	0	0	0	0	0
Precinct 7603 - None	0	1	4	1	0	0	0	1	0
Precinct 7603 - None	0	0	1	0	0	0	0	0	0
Precinct 7603	0	1	5	1	0	0	0	1	0
Precinct 7604 - None	1	0	6	1	0	0	0	1	0
Precinct 7604 - None	0	0	0	0	0	0	0	0	0
Precinct 7604	1	0	6	1	0	0	0	1	0
Precinct 7605 - None	0	0	2	0	0	0	0	0	0
Precinct 7605 - None	0	0	0	0	0	0	0	0	0
Precinct 7605	0	0	2	0	0	0	0	0	0
Precinct 7606 - None	0	0	9	1	0	0	1	0	0
Precinct 7606 - None	0	0	0	0	0	0	0	0	0
Precinct 7606	0	0	9	1	0	0	1	0	0
Precinct 7607 - None	1	2	9	3	0	0	0	3	0
Precinct 7607 - None	0	1	1	1	0	0	0	1	0
Precinct 7607	1	3	10	4	0	0	0	4	0
Precinct 7608 - None	0	0	4	0	0	0	0	0	0
Precinct 7608 - None	0	0	2	0	0	0	0	0	0
Precinct 7608	0	0	6	0	0	0	0	0	0
Precinct 7609 - None	1	0	8	1	0	0	0	1	0
Precinct 7609 - None	0	0	1	0	0	0	0	0	0
Precinct 7609	1	0	9	1	0	0	0	1	0
Precinct 7611 - None	0	0	2	0	0	0	0	0	0
Precinct 7611 - None	0	1	3	1	0	0	0	1	0
Precinct 7611	0	1	5	1	0	0	0	1	0
Precinct 7612 - None	0	1	2	1	0	0	0	1	0
Precinct 7612 - None	0	0	-1	0	0	0	0	0	0
Precinct 7612	0	1	1	1	0	0	0	1	0
Precinct 7613 - None	0	1	4	1	0	0	0	1	0
Precinct 7613 - None	0	1	5	1	0	0	0	1	0
Precinct 7613	0	2	9	2	0	0	0	2	0
Precinct 7614 - None	0	2	10	3	0	0	1	2	0
Precinct 7614 - None	0	1	-1	1	0	0	0	1	0
Precinct 7614	0	3	9	4	0	0	1	3	0
Precinct 7615 - None	0	0	7	0	0	0	0	0	0
Precinct 7615 - None	0	0	5	0	0	0	0	0	0
Precinct 7615	0	0	12	0	0	0	0	0	0
Precinct 7616 - None	0	0	0	0	0	0	0	0	0
Precinct 7616 - None	0	0	0	0	0	0	0	0	0
Precinct 7616	0	0	0	0	0	0	0	0	0
Precinct 7617 - None	0	0	5	0	0	0	0	0	0
Precinct 7617 - None	0	0	1	0	0	0	0	0	0
Precinct 7617	0	0	6	0	0	0	0	0	0
Precinct 7618 - None	0	0	7	0	0	0	0	0	0
Precinct 7618 - None	0	0	2	1	0	0	1	0	0
Precinct 7618	0	0	9	1	0	0	1	0	0
Precinct 7619 - None	0	0	5	0	0	0	0	0	0
Precinct 7619 - None	0	0	-1	0	0	0	0	0	0
Precinct 7619	0	0	4	0	0	0	0	0	0
Precinct 7621 - None	1	0	5	1	0	0	0	1	0
Precinct 7621 - None	0	0	-1	0	0	0	0	0	0
Precinct 7621	1	0	4	1	0	0	0	1	0
Precinct 7622 - None	0	0	6	0	0	0	0	0	0
Precinct 7622 - None	0	0	1	0	0	0	0	0	0
Precinct 7622	0	0	7	0	0	0	0	0	0
Precinct 7623 - None	0	1	4	1	0	0	0	1	0
Precinct 7623 - None	0	1	2	1	0	0	0	1	0
Precinct 7623	0	2	6	2	0	0	0	2	0
Precinct 7624 - None	0	0	9	0	0	0	0	0	0
Precinct 7624 - None	0	0	1	1	0	0	1	0	0
Precinct 7624	0	0	10	1	0	0	1	0	0
Precinct 7625 - None	0	0	4	0	0	0	0	0	0
Precinct 7625 - None	0	0	0	0	0	0	0	0	0
Precinct 7625	0	0	4	0	0	0	0	0	0
Precinct 7626 - None	0	0	1	0	0	0	0	0	0
Precinct 7626 - None	0	0	0	0	0	0	0	0	0
Precinct 7626	0	0	1	0	0	0	0	0	0
Precinct 7627 - None	0	0	0	0	0	0	0	0	0
Precinct 7627 - None	0	0	0	0	0	0	0	0	0
Precinct 7627	0	0	0	0	0	0	0	0	0
Precinct 7628 - None	0	0	4	0	0	0	0	0	0
Precinct 7628 - None	0	0	1	0	0	0	0	0	0
Precinct 7628	0	0	5	0	0	0	0	0	0
Precinct 7629 - None	0	0	3	0	0	0	0	0	0
Precinct 7629 - None	0	1	0	1	0	0	0	1	0
Precinct 7629	0	1	3	1	0	0	0	1	0
Precinct 7631 - None	0	0	3	0	0	0	0	0	0
Precinct 7631 - None	0	1	-1	1	0	0	0	1	0
Precinct 7631	0	1	2	1	0	0	0	1	0
Precinct 7632 - None	0	0	4	0	0	0	0	0	0
Precinct 7632 - None	0	0	0	0	0	0	0	0	0
Precinct 7632	0	0	4	0	0	0	0	0	0
Precinct 7633 - None	0	0	3	0	0	0	0	0	0
Precinct 7633 - None	0	0	3	0	0	0	0	0	0
Precinct 7633	0	0	6	0	0	0	0	0	0
Precinct 7634 - None	0	0	2	0	0	0	0	0	0
Precinct 7634 - None	0	0	2	0	0	0	0	0	0
Precinct 7634	0	0	4	0	0	0	0	0	0
Precinct 7635 - None	0	0	1	0	0	0	0	0	0
Precinct 7635 - None	0	0	1	0	0	0	0	0	0
Precinct 7635	0	0	2	0	0	0	0	0	0
Precinct 7636 - None	0	0	2	0	0	0	0	0	0
Precinct 7636 - None	0	0	0	0	0	0	0	0	0
Precinct 7636	0	0	2	0	0	0	0	0	0
Precinct 7637 - None	1	0	1	1	0	0	0	1	0
Precinct 7637 - None	0	0	0	0	0	0	0	0	0
Precinct 7637	1	0	1	1	0	0	0	1	0
Precinct 7638 - None	0	0	1	0	0	0	0	0	0
Precinct 7638 - None	0	0	0	0	0	0	0	0	0
Precinct 7638	0	0	1	0	0	0	0	0	0
Precinct 7639 - None	0	0	0	0	0	0	0	0	0
Precinct 7639 - None	0	0	2	0	0	0	0	0	0
Precinct 7639	0	0	2	0	0	0	0	0	0
Precinct 7641 - None	0	0	1	0	0	0	0	0	0
Precinct 7641 - None	0	0	-1	0	0	0	0	0	0
Precinct 7641	0	0	0	0	0	0	0	0	0
Precinct 7642 - None	0	0	2	0	0	0	0	0	0
Precinct 7642 - None	0	0	-1	0	0	0	0	0	0
Precinct 7642	0	0	1	0	0	0	0	0	0
Precinct 7643 - None	0	0	2	0	0	0	0	0	0
Precinct 7643 - None	0	0	0	0	0	0	0	0	0
Precinct 7643	0	0	2	0	0	0	0	0	0
Precinct 7644 - None	0	0	1	0	0	0	0	0	0
Precinct 7644 - None	0	0	1	0	0	0	0	0	0
Precinct 7644	0	0	2	0	0	0	0	0	0
Precinct 7645 - None	0	0	2	0	0	0	0	0	0
Precinct 7645 - None	0	0	-1	0	0	0	0	0	0
Precinct 7645	0	0	1	0	0	0	0	0	0
Precinct 7646 - None	0	0	1	0	0	0	0	0	0
Precinct 7646 - None	0	0	0	0	0	0	0	0	0
Precinct 7646	0	0	1	0	0	0	0	0	0
Precinct 7647 - None	0	0	13	0	0	0	0	0	0
Precinct 7647 - None	0	1	-3	1	0	0	0	1	0
Precinct 7647	0	1	10	1	0	0	0	1	0
Precinct 7648 MB - None	0	0	0	0	0	0	0	0	0
Precinct 7648 MB - None	0	0	0	0	0	0	0	0	0
Precinct 7648 MB	0	0	0	0	0	0	0	0	0
Precinct 7649 - None	0	0	3	0	0	0	0	0	0
Precinct 7649 - None	0	0	1	0	0	0	0	0	0
Precinct 7649	0	0	4	0	0	0	0	0	0
Precinct 7651 - None	0	1	2	1	0	0	0	1	0
Precinct 7651 - None	0	0	-1	0	0	0	0	0	0
Precinct 7651	0	1	1	1	0	0	0	1	0
Precinct 7652 - None	0	0	1	0	0	0	0	0	0
Precinct 7652 - None	0	1	0	1	0	0	0	1	0
Precinct 7652	0	1	1	1	0	0	0	1	0
Precinct 7653 - None	0	0	1	0	0	0	0	0	0
Precinct 7653 - None	0	0	0	0	0	0	0	0	0
Precinct 7653	0	0	1	0	0	0	0	0	0
Precinct 7654 - None	0	0	1	0	0	0	0	0	0
Precinct 7654 - None	0	0	0	0	0	0	0	0	0
Precinct 7654	0	0	1	0	0	0	0	0	0
Precinct 7655 - None	0	0	1	0	0	0	0	0	0
Precinct 7655 - None	0	1	1	1	0	0	0	1	0
Precinct 7655	0	1	2	1	0	0	0	1	0
Precinct 7656 - None	0	0	0	0	0	0	0	0	0
Precinct 7656 - None	0	0	0	0	0	0	0	0	0
Precinct 7656	0	0	0	0	0	0	0	0	0
Precinct 7657 - None	0	0	1	1	0	0	1	0	0
Precinct 7657 - None	0	0	0	0	0	0	0	0	0
Precinct 7657	0	0	1	1	0	0	1	0	0
Precinct 7701 - None	0	0	0	0	0	0	0	0	0
Precinct 7701 - None	0	0	0	0	0	0	0	0	0
Precinct 7701	0	0	0	0	0	0	0	0	0
Precinct 7702 - None	0	0	1	0	0	0	0	0	0
Precinct 7702 - None	0	0	0	0	0	0	0	0	0
Precinct 7702	0	0	1	0	0	0	0	0	0
Precinct 7703 MB - None	0	0	1	0	0	0	0	0	0
Precinct 7703 MB - None	0	0	0	0	0	0	0	0	0
Precinct 7703 MB	0	0	1	0	0	0	0	0	0
Precinct 7704 - None	0	0	2	0	0	0	0	0	0
Precinct 7704 - None	0	0	-1	0	0	0	0	0	0
Precinct 7704	0	0	1	0	0	0	0	0	0
Precinct 7705 - None	0	0	1	0	0	0	0	0	0
Precinct 7705 - None	0	0	0	0	0	0	0	0	0
Precinct 7705	0	0	1	0	0	0	0	0	0
Precinct 7706 - None	0	0	0	0	0	0	0	0	0
Precinct 7706 - None	0	0	1	0	0	0	0	0	0
Precinct 7706	0	0	1	0	0	0	0	0	0
Precinct 7707 - None	0	0	1	0	0	0	0	0	0
Precinct 7707 - None	0	0	1	0	0	0	0	0	0
Precinct 7707	0	0	2	0	0	0	0	0	0
Precinct 7708 - None	0	0	1	1	0	0	1	0	0
Precinct 7708 - None	0	0	1	0	0	0	0	0	0
Precinct 7708	0	0	2	1	0	0	1	0	0
Precinct 7709 - None	0	0	0	0	0	0	0	0	0
Precinct 7709 - None	0	0	1	0	0	0	0	0	0
Precinct 7709	0	0	1	0	0	0	0	0	0
Precinct 7711 - None	0	0	2	0	0	0	0	0	0
Precinct 7711 - None	0	1	0	1	0	0	0	1	0
Precinct 7711	0	1	2	1	0	0	0	1	0
Precinct 7712 - None	0	0	0	0	0	0	0	0	0
Precinct 7712 - None	0	0	0	0	0	0	0	0	0
Precinct 7712	0	0	0	0	0	0	0	0	0
Precinct 7801 - None	0	0	0	0	0	0	0	0	0
Precinct 7801 - None	0	0	0	0	0	0	0	0	0
Precinct 7801	0	0	0	0	0	0	0	0	0
Precinct 7802 - None	0	0	0	0	0	0	0	0	0
Precinct 7802 - None	0	0	0	0	0	0	0	0	0
Precinct 7802	0	0	0	0	0	0	0	0	0
Precinct 7803 - None	0	0	0	0	0	0	0	0	0
Precinct 7803 - None	1	0	1	1	0	0	0	1	0
Precinct 7803	1	0	1	1	0	0	0	1	0
Precinct 7804 - None	0	0	1	0	0	0	0	0	0
Precinct 7804 - None	0	0	0	0	0	0	0	0	0
Precinct 7804	0	0	1	0	0	0	0	0	0
Precinct 7805 - None	0	0	0	0	0	0	0	0	0
Precinct 7805 - None	0	0	3	0	0	0	0	0	0
Precinct 7805	0	0	3	0	0	0	0	0	0
Precinct 7806 - None	0	0	2	0	0	0	0	0	0
Precinct 7806 - None	0	1	0	1	0	0	0	1	0
Precinct 7806	0	1	2	1	0	0	0	1	0
Precinct 7807 - None	0	0	1	0	0	0	0	0	0
Precinct 7807 - None	0	0	0	0	0	0	0	0	0
Precinct 7807	0	0	1	0	0	0	0	0	0
Precinct 7808 - None	0	0	0	0	0	0	0	0	0
Precinct 7808 - None	0	0	0	0	0	0	0	0	0
Precinct 7808	0	0	0	0	0	0	0	0	0
Precinct 7809 - None	0	0	0	0	0	0	0	0	0
Precinct 7809 - None	0	0	0	0	0	0	0	0	0
Precinct 7809	0	0	0	0	0	0	0	0	0
Precinct 7811 - None	0	0	4	0	0	0	0	0	0
Precinct 7811 - None	0	0	-2	0	0	0	0	0	0
Precinct 7811	0	0	2	0	0	0	0	0	0
Precinct 7812 - None	0	0	1	0	0	0	0	0	0
Precinct 7812 - None	0	1	1	1	0	0	0	1	0
Precinct 7812	0	1	2	1	0	0	0	1	0
Precinct 7813 - None	0	0	0	0	0	0	0	0	0
Precinct 7813 - None	0	0	1	0	0	0	0	0	0
Precinct 7813	0	0	1	0	0	0	0	0	0
Precinct 7814 - None	0	0	6	2	0	0	2	0	0
Precinct 7814 - None	0	0	3	0	0	0	0	0	0
Precinct 7814	0	0	9	2	0	0	2	0	0
Precinct 7815 - None	0	0	1	0	0	0	0	0	0
Precinct 7815 - None	0	0	-1	0	0	0	0	0	0
Precinct 7815	0	0	0	0	0	0	0	0	0
Precinct 7816 - None	0	0	1	0	0	0	0	0	0
Precinct 7816 - None	0	0	1	0	0	0	0	0	0
Precinct 7816	0	0	2	0	0	0	0	0	0
Precinct 7817 - None	0	0	1	0	0	0	0	0	0
Precinct 7817 - None	0	0	-1	0	0	0	0	0	0
Precinct 7817	0	0	0	0	0	0	0	0	0
Precinct 7818 - None	0	0	0	0	0	0	0	0	0
Precinct 7818 - None	0	0	2	0	0	0	0	0	0
Precinct 7818	0	0	2	0	0	0	0	0	0
Precinct 7819 - None	0	1	2	2	0	0	1	1	0
Precinct 7819 - None	0	0	1	0	0	0	0	0	0
Precinct 7819	0	1	3	2	0	0	1	1	0
Precinct 7821 - None	0	0	0	0	0	0	0	0	0
Precinct 7821 - None	0	0	0	0	0	0	0	0	0
Precinct 7821	0	0	0	0	0	0	0	0	0
Precinct 7822 - None	0	0	2	0	0	0	0	0	0
Precinct 7822 - None	0	0	1	0	0	0	0	0	0
Precinct 7822	0	0	3	0	0	0	0	0	0
Precinct 7823 - None	0	0	0	0	0	0	0	0	0
Precinct 7823 - None	0	0	1	0	0	0	0	0	0
Precinct 7823	0	0	1	0	0	0	0	0	0
Precinct 7824 - None	0	0	0	0	0	0	0	0	0
Precinct 7824 - None	0	0	2	0	0	0	0	0	0
Precinct 7824	0	0	2	0	0	0	0	0	0
Precinct 7825 - None	0	0	0	0	0	0	0	0	0
Precinct 7825 - None	0	0	0	0	0	0	0	0	0
Precinct 7825	0	0	0	0	0	0	0	0	0
Precinct 7826 - None	0	0	0	0	0	0	0	0	0
Precinct 7826 - None	0	0	0	0	0	0	0	0	0
Precinct 7826	0	0	0	0	0	0	0	0	0
Precinct 7827 - None	0	0	1	1	0	0	1	0	0
Precinct 7827 - None	0	0	1	0	0	0	0	0	0
Precinct 7827	0	0	2	1	0	0	1	0	0
Precinct 7828 - None	0	0	2	0	0	0	0	0	0
Precinct 7828 - None	0	2	0	2	0	0	0	2	0
Precinct 7828	0	2	2	2	0	0	0	2	0
Precinct 7829 - None	0	0	0	0	0	0	0	0	0
Precinct 7829 - None	0	0	0	0	0	0	0	0	0
Precinct 7829	0	0	0	0	0	0	0	0	0
Precinct 7831 - None	0	0	1	0	0	0	0	0	0
Precinct 7831 - None	0	0	0	0	0	0	0	0	0
Precinct 7831	0	0	1	0	0	0	0	0	0
Precinct 7832 - None	0	0	0	0	0	0	0	0	0
Precinct 7832 - None	0	0	0	0	0	0	0	0	0
Precinct 7832	0	0	0	0	0	0	0	0	0
Precinct 7833 - None	0	0	0	0	0	0	0	0	0
Precinct 7833 - None	0	0	0	0	0	0	0	0	0
Precinct 7833	0	0	0	0	0	0	0	0	0
Precinct 7834 - None	0	0	0	0	0	0	0	0	0
Precinct 7834 - None	0	0	0	0	0	0	0	0	0
Precinct 7834	0	0	0	0	0	0	0	0	0
Precinct 7835 - None	0	0	0	0	0	0	0	0	0
Precinct 7835 - None	0	0	0	0	0	0	0	0	0
Precinct 7835	0	0	0	0	0	0	0	0	0
Precinct 7836 - None	0	0	0	0	0	0	0	0	0
Precinct 7836 - None	0	1	2	2	0	0	1	1	0
Precinct 7836	0	1	2	2	0	0	1	1	0
Precinct 7837 - None	0	0	0	0	0	0	0	0	0
Precinct 7837 - None	0	0	0	0	0	0	0	0	0
Precinct 7837	0	0	0	0	0	0	0	0	0
Precinct 7838 - None	0	0	0	0	0	0	0	0	0
Precinct 7838 - None	0	0	0	0	0	0	0	0	0
Precinct 7838	0	0	0	0	0	0	0	0	0
Precinct 7839 - None	0	0	1	0	0	0	0	0	0
Precinct 7839 - None	0	0	0	1	0	0	1	0	0
Precinct 7839	0	0	1	1	0	0	1	0	0
Precinct 7841 - None	0	0	1	0	0	0	0	0	0
Precinct 7841 - None	0	0	0	0	0	0	0	0	0
Precinct 7841	0	0	1	0	0	0	0	0	0
Precinct 7842 - None	0	0	0	0	0	0	0	0	0
Precinct 7842 - None	0	0	1	0	0	0	0	0	0
Precinct 7842	0	0	1	0	0	0	0	0	0
Precinct 7843 - None	0	0	1	0	0	0	0	0	0
Precinct 7843 - None	0	0	1	2	0	0	2	0	0
Precinct 7843	0	0	2	2	0	0	2	0	0
Precinct 7844 - None	0	0	1	0	0	0	0	0	0
Precinct 7844 - None	0	0	0	0	0	0	0	0	0
Precinct 7844	0	0	1	0	0	0	0	0	0
Precinct 7845 - None	0	1	1	1	0	0	0	1	0
Precinct 7845 - None	0	1	3	1	0	0	0	1	0
Precinct 7845	0	2	4	2	0	0	0	2	0
Precinct 7846 - None	0	0	2	1	0	0	1	0	0
Precinct 7846 - None	0	0	0	0	0	0	0	0	0
Precinct 7846	0	0	2	1	0	0	1	0	0
Precinct 7847 - None	0	0	1	0	0	0	0	0	0
Precinct 7847 - None	0	0	0	0	0	0	0	0	0
Precinct 7847	0	0	1	0	0	0	0	0	0
Precinct 7848 - None	0	0	2	0	0	0	0	0	0
Precinct 7848 - None	0	0	1	0	0	0	0	0	0
Precinct 7848	0	0	3	0	0	0	0	0	0
Precinct 7849 - None	0	0	1	0	0	0	0	0	0
Precinct 7849 - None	1	0	1	1	0	0	0	1	0
Precinct 7849	1	0	2	1	0	0	0	1	0
Precinct 7851 - None	0	0	0	0	0	0	0	0	0
Precinct 7851 - None	0	0	0	0	0	0	0	0	0
Precinct 7851	0	0	0	0	0	0	0	0	0
Precinct 7852 - None	0	0	0	0	0	0	0	0	0
Precinct 7852 - None	0	0	0	0	0	0	0	0	0
Precinct 7852	0	0	0	0	0	0	0	0	0
Precinct 7853 - None	0	0	2	0	0	0	0	0	0
Precinct 7853 - None	0	0	2	0	0	0	0	0	0
Precinct 7853	0	0	4	0	0	0	0	0	0
Precinct 7854 - None	0	0	0	0	0	0	0	0	0
Precinct 7854 - None	0	0	1	0	0	0	0	0	0
Precinct 7854	0	0	1	0	0	0	0	0	0
Precinct 7855 - None	0	0	1	0	0	0	0	0	0
Precinct 7855 - None	1	0	2	1	0	0	0	1	0
Precinct 7855	1	0	3	1	0	0	0	1	0
Precinct 7856 - None	0	0	0	0	0	0	0	0	0
Precinct 7856 - None	0	0	0	0	0	0	0	0	0
Precinct 7856	0	0	0	0	0	0	0	0	0
Precinct 7857 - None	0	0	0	0	0	0	0	0	0
Precinct 7857 - None	0	0	0	0	0	0	0	0	0
Precinct 7857	0	0	0	0	0	0	0	0	0
Precinct 7858 - None	0	0	0	0	0	0	0	0	0
Precinct 7858 - None	0	0	1	0	0	0	0	0	0
Precinct 7858	0	0	1	0	0	0	0	0	0
Precinct 7859 - None	0	0	0	0	0	0	0	0	0
Precinct 7859 - None	0	0	0	0	0	0	0	0	0
Precinct 7859	0	0	0	0	0	0	0	0	0
Precinct 7861 - None	0	0	1	0	0	0	0	0	0
Precinct 7861 - None	0	1	0	1	0	0	0	1	0
Precinct 7861	0	1	1	1	0	0	0	1	0
Precinct 7862 - None	0	0	1	0	0	0	0	0	0
Precinct 7862 - None	0	0	1	1	0	0	1	0	0
Precinct 7862	0	0	2	1	0	0	1	0	0
Precinct 7863 - None	0	0	0	0	0	0	0	0	0
Precinct 7863 - None	0	0	0	0	0	0	0	0	0
Precinct 7863	0	0	0	0	0	0	0	0	0
Precinct 7864 - None	0	0	1	0	0	0	0	0	0
Precinct 7864 - None	0	0	1	0	0	0	0	0	0
Precinct 7864	0	0	2	0	0	0	0	0	0
Precinct 7865 - None	0	1	1	1	0	0	0	1	0
Precinct 7865 - None	0	0	0	0	0	0	0	0	0
Precinct 7865	0	1	1	1	0	0	0	1	0
Precinct 7866 - None	0	0	1	0	0	0	0	0	0
Precinct 7866 - None	1	0	2	1	0	0	0	1	0
Precinct 7866	1	0	3	1	0	0	0	1	0
Precinct 7867 - None	1	0	4	2	0	0	1	1	0
Precinct 7867 - None	0	0	2	0	0	0	0	0	0
Precinct 7867	1	0	6	2	0	0	1	1	0
Precinct 7868 - None	0	0	2	1	0	0	1	0	0
Precinct 7868 - None	0	0	1	1	0	0	1	0	0
Precinct 7868	0	0	3	2	0	0	2	0	0
