Subtotal Area	MARIA ELENA EVANGELISTA	PANG LY	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 1136	226	140	867	417	0	1	50	366	0
Precinct 1141 - Vote By Mail	212	132	836	392	0	0	48	344	0
Precinct 1141 - Election Day	85	22	220	123	0	0	15	108	1
Precinct 1141	297	154	1,056	515	0	0	63	452	1
Precinct 1142 - Vote By Mail	192	82	721	324	0	0	50	274	0
Precinct 1142 - Election Day	66	12	175	87	0	0	9	78	0
Precinct 1142	258	94	896	411	0	0	59	352	0
Precinct 1143 - Vote By Mail	208	96	824	360	0	0	56	304	0
Precinct 1143 - Election Day	90	13	225	114	0	0	10	104	1
Precinct 1143	298	109	1,049	474	0	0	66	408	1
Precinct 1144 - Vote By Mail	191	99	727	326	0	0	36	290	0
Precinct 1144 - Election Day	88	19	220	121	0	0	14	107	0
Precinct 1144	279	118	947	447	0	0	50	397	0
Precinct 1145 - Vote By Mail	233	105	753	411	0	0	73	338	0
Precinct 1145 - Election Day	80	13	152	114	0	0	20	94	1
Precinct 1145	313	118	905	525	0	0	93	432	1
Precinct 1146 - Vote By Mail	211	118	839	364	0	0	35	329	0
Precinct 1146 - Election Day	80	20	215	110	0	0	9	101	1
Precinct 1146	291	138	1,054	474	0	0	44	430	1
Precinct 1147 - Vote By Mail	187	88	673	309	0	0	34	275	0
Precinct 1147 - Election Day	80	11	212	107	0	0	16	91	0
Precinct 1147	267	99	885	416	0	0	50	366	0
Precinct 1148 - Vote By Mail	188	134	804	367	0	1	44	322	0
Precinct 1148 - Election Day	82	20	224	116	0	0	13	103	1
Precinct 1148	270	154	1,028	483	0	1	57	425	1
Precinct 1149 - Vote By Mail	180	83	710	319	0	0	56	263	0
Precinct 1149 - Election Day	85	16	229	118	0	0	16	102	1
Precinct 1149	265	99	939	437	0	0	72	365	1
Precinct 1152 - Vote By Mail	163	97	710	312	0	0	52	260	0
Precinct 1152 - Election Day	51	20	180	85	0	0	11	74	3
Precinct 1152	214	117	890	397	0	0	63	334	3
