Subtotal Area	JOHN P. MCDONNELL	PHIL TING	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 1136	98	314	867	458	0	1	44	413	1
Precinct 9001 MB - Vote By Mail	14	80	314	101	0	0	7	94	0
Precinct 9001 MB - Election Day	0	2	-30	7	0	0	5	2	0
Precinct 9001 MB	14	82	284	108	0	0	12	96	0
Precinct 9101 - Vote By Mail	75	262	712	380	0	0	43	337	0
Precinct 9101 - Election Day	38	137	201	210	0	0	35	175	0
Precinct 9101	113	399	913	590	0	0	78	512	0
Precinct 9102 - Vote By Mail	58	289	788	394	0	0	47	347	0
Precinct 9102 - Election Day	26	148	204	201	0	0	26	175	1
Precinct 9102	84	437	992	595	0	0	73	522	1
Precinct 9103 - Vote By Mail	64	273	719	382	0	0	45	337	0
Precinct 9103 - Election Day	31	144	238	225	0	0	49	176	1
Precinct 9103	95	417	957	607	0	0	94	513	1
Precinct 9104 - Vote By Mail	68	273	810	383	0	0	42	341	0
Precinct 9104 - Election Day	25	132	220	205	0	0	48	157	0
Precinct 9104	93	405	1,030	588	0	0	90	498	0
Precinct 9105 - Vote By Mail	60	298	719	413	0	0	55	358	0
Precinct 9105 - Election Day	29	176	199	241	0	0	36	205	0
Precinct 9105	89	474	918	654	0	0	91	563	0
Precinct 9106 - Vote By Mail	57	290	748	399	0	0	52	347	0
Precinct 9106 - Election Day	33	183	198	268	0	0	51	217	1
Precinct 9106	90	473	946	667	0	0	103	564	1
Precinct 9107 - Vote By Mail	48	225	636	305	0	0	32	273	0
Precinct 9107 - Election Day	19	128	208	187	0	0	40	147	0
Precinct 9107	67	353	844	492	0	0	72	420	0
Precinct 9108 - Vote By Mail	47	257	610	338	0	0	34	304	0
Precinct 9108 - Election Day	22	140	200	197	0	0	34	163	1
Precinct 9108	69	397	810	535	0	0	68	467	1
Precinct 9109 - Vote By Mail	25	239	672	300	0	0	36	264	0
Precinct 9109 - Election Day	31	134	211	213	0	0	46	167	2
Precinct 9109	56	373	883	513	0	0	82	431	2
Precinct 9111 - Vote By Mail	46	233	639	318	0	0	39	279	0
Precinct 9111 - Election Day	21	132	195	196	0	0	41	155	2
Precinct 9111	67	365	834	514	0	0	80	434	2
Precinct 9112 - Vote By Mail	38	266	742	351	0	0	47	304	0
Precinct 9112 - Election Day	21	160	219	218	0	0	36	182	1
Precinct 9112	59	426	961	569	0	0	83	486	1
Precinct 9113 - Vote By Mail	44	290	797	372	0	0	38	334	0
Precinct 9113 - Election Day	30	180	207	263	0	0	52	211	1
Precinct 9113	74	470	1,004	635	0	0	90	545	1
Precinct 9114 - Vote By Mail	47	218	659	294	0	0	29	265	0
Precinct 9114 - Election Day	18	141	231	201	0	0	42	159	0
Precinct 9114	65	359	890	495	0	0	71	424	0
Precinct 9115 - Vote By Mail	40	248	699	325	0	0	37	288	0
Precinct 9115 - Election Day	20	131	182	198	0	0	47	151	0
Precinct 9115	60	379	881	523	0	0	84	439	0
Precinct 9116 - Vote By Mail	41	260	782	347	0	0	46	301	0
Precinct 9116 - Election Day	37	145	179	225	0	1	41	183	1
Precinct 9116	78	405	961	572	0	1	87	484	1
Precinct 9117 - Vote By Mail	47	242	629	328	0	0	39	289	0
Precinct 9117 - Election Day	28	149	171	207	0	0	30	177	0
Precinct 9117	75	391	800	535	0	0	69	466	0
Precinct 9118 - Vote By Mail	51	244	742	341	0	0	46	295	0
Precinct 9118 - Election Day	30	166	242	254	0	0	56	198	2
Precinct 9118	81	410	984	595	0	0	102	493	2
Precinct 9119 - Vote By Mail	62	279	703	389	0	0	48	341	0
Precinct 9119 - Election Day	13	119	197	171	0	0	38	133	1
Precinct 9119	75	398	900	560	0	0	86	474	1
Precinct 9121 - Vote By Mail	45	261	735	336	0	0	30	306	0
Precinct 9121 - Election Day	30	143	218	207	0	0	33	174	1
Precinct 9121	75	404	953	543	0	0	63	480	1
Precinct 9122 - Vote By Mail	72	262	775	365	0	0	31	334	0
Precinct 9122 - Election Day	21	130	192	184	0	0	33	151	0
Precinct 9122	93	392	967	549	0	0	64	485	0
Precinct 9123 - Vote By Mail	62	228	661	319	0	0	29	290	0
Precinct 9123 - Election Day	23	143	191	206	0	1	37	168	2
Precinct 9123	85	371	852	525	0	1	66	458	2
Precinct 9124 - Vote By Mail	66	243	736	354	0	0	45	309	0
Precinct 9124 - Election Day	19	121	167	175	0	0	34	141	1
Precinct 9124	85	364	903	529	0	0	79	450	1
Precinct 9125 - Vote By Mail	43	276	681	360	0	0	41	319	0
Precinct 9125 - Election Day	15	138	188	188	0	0	35	153	0
Precinct 9125	58	414	869	548	0	0	76	472	0
Precinct 9126 - Vote By Mail	69	269	819	386	0	0	48	338	0
Precinct 9126 - Election Day	31	154	194	224	0	0	39	185	0
Precinct 9126	100	423	1,013	610	0	0	87	523	0
Precinct 9127 - Vote By Mail	48	288	748	384	0	0	48	336	0
Precinct 9127 - Election Day	28	175	223	241	0	1	37	203	0
Precinct 9127	76	463	971	625	0	1	85	539	0
Precinct 9128 - Vote By Mail	59	250	628	336	0	0	27	309	0
Precinct 9128 - Election Day	26	148	190	211	0	1	35	175	1
Precinct 9128	85	398	818	547	0	1	62	484	1
Precinct 9129 - Vote By Mail	28	213	587	273	0	0	32	241	0
Precinct 9129 - Election Day	17	126	151	170	0	0	27	143	0
Precinct 9129	45	339	738	443	0	0	59	384	0
Precinct 9131 - Vote By Mail	41	221	596	288	0	0	26	262	0
Precinct 9131 - Election Day	16	125	138	176	0	0	35	141	0
Precinct 9131	57	346	734	464	0	0	61	403	0
Precinct 9132 - Vote By Mail	27	194	627	263	0	0	42	221	0
Precinct 9132 - Election Day	11	141	194	197	0	0	45	152	0
Precinct 9132	38	335	821	460	0	0	87	373	0
Precinct 9133 - Vote By Mail	34	309	808	383	0	0	40	343	0
Precinct 9133 - Election Day	18	184	209	249	0	0	47	202	0
Precinct 9133	52	493	1,017	632	0	0	87	545	0
Precinct 9134 - Vote By Mail	47	246	736	328	0	0	35	293	0
Precinct 9134 - Election Day	16	123	155	186	0	0	45	141	2
Precinct 9134	63	369	891	514	0	0	80	434	2
Precinct 9135 - Vote By Mail	73	200	640	305	0	0	32	273	0
Precinct 9135 - Election Day	30	115	182	173	0	0	26	147	2
Precinct 9135	103	315	822	478	0	0	58	420	2
Precinct 9136 - Vote By Mail	45	278	706	368	0	0	45	323	0
Precinct 9136 - Election Day	19	149	212	202	0	0	33	169	1
Precinct 9136	64	427	918	570	0	0	78	492	1
Precinct 9137 - Vote By Mail	58	276	806	389	0	0	55	334	0
Precinct 9137 - Election Day	27	136	209	210	0	0	44	166	3
Precinct 9137	85	412	1,015	599	0	0	99	500	3
Precinct 9138 - Vote By Mail	65	311	770	401	0	0	25	376	0
Precinct 9138 - Election Day	16	116	175	171	0	0	35	136	4
Precinct 9138	81	427	945	572	0	0	60	512	4
Precinct 9139 - Vote By Mail	74	317	828	424	0	0	33	391	0
Precinct 9139 - Election Day	30	146	190	206	0	0	30	176	0
Precinct 9139	104	463	1,018	630	0	0	63	567	0
Precinct 9141 - Vote By Mail	66	313	789	419	0	0	40	379	0
Precinct 9141 - Election Day	26	126	184	189	0	0	36	153	1
Precinct 9141	92	439	973	608	0	0	76	532	1
Precinct 9142 - Vote By Mail	45	286	747	366	0	0	35	331	0
Precinct 9142 - Election Day	24	161	239	236	0	0	50	186	1
Precinct 9142	69	447	986	602	0	0	85	517	1
Precinct 9143 - Vote By Mail	59	264	706	362	0	0	39	323	0
Precinct 9143 - Election Day	21	152	208	201	0	0	24	177	4
Precinct 9143	80	416	914	563	0	0	63	500	4
Precinct 9144 - Vote By Mail	46	278	767	376	0	0	52	324	0
Precinct 9144 - Election Day	25	180	203	238	0	0	31	207	2
Precinct 9144	71	458	970	614	0	0	83	531	2
Precinct 9145 - Vote By Mail	41	262	681	335	0	0	32	303	0
Precinct 9145 - Election Day	28	160	194	216	0	0	25	191	3
Precinct 9145	69	422	875	551	0	0	57	494	3
Precinct 9146 - Vote By Mail	37	274	725	354	0	0	43	311	0
Precinct 9146 - Election Day	21	158	160	215	0	0	35	180	1
Precinct 9146	58	432	885	569	0	0	78	491	1
Precinct 9147 - Vote By Mail	42	291	765	373	0	0	40	333	0
Precinct 9147 - Election Day	25	154	225	227	0	1	47	179	0
Precinct 9147	67	445	990	600	0	1	87	512	0
Precinct 9148 - Vote By Mail	48	308	779	398	0	1	41	356	0
Precinct 9148 - Election Day	20	192	235	256	0	0	43	213	1
Precinct 9148	68	500	1,014	654	0	1	84	569	1
Precinct 9149 - Vote By Mail	43	296	813	388	0	0	49	339	0
Precinct 9149 - Election Day	25	203	178	290	0	0	61	229	1
Precinct 9149	68	499	991	678	0	0	110	568	1
Precinct 9151 - Vote By Mail	39	268	693	352	0	0	45	307	0
