Subtotal Area	JOHN P. MCDONNELL	PHIL TING	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 9414 - Vote By Mail	56	269	734	361	0	0	36	325	0
Precinct 9414 - Election Day	17	113	186	162	0	0	30	132	2
Precinct 9414	73	382	920	523	0	0	66	457	2
Precinct 9415 - Vote By Mail	49	240	634	315	0	0	26	289	0
Precinct 9415 - Election Day	23	94	154	138	0	0	21	117	0
Precinct 9415	72	334	788	453	0	0	47	406	0
Precinct 9416 - Vote By Mail	62	287	769	391	0	0	42	349	0
Precinct 9416 - Election Day	28	142	230	206	0	0	36	170	0
Precinct 9416	90	429	999	597	0	0	78	519	0
Precinct 9417 - Vote By Mail	60	226	629	322	0	0	36	286	0
Precinct 9417 - Election Day	24	109	145	153	0	0	20	133	0
Precinct 9417	84	335	774	475	0	0	56	419	0
Precinct 9418 - Vote By Mail	55	221	631	310	0	0	34	276	0
Precinct 9418 - Election Day	22	109	188	160	0	0	27	133	2
Precinct 9418	77	330	819	470	0	0	61	409	2
Precinct 9419 - Vote By Mail	76	267	736	371	0	0	28	343	0
Precinct 9419 - Election Day	28	105	173	148	0	1	14	133	0
Precinct 9419	104	372	909	519	0	1	42	476	0
Precinct 9421 - Vote By Mail	65	243	752	341	0	0	33	308	0
Precinct 9421 - Election Day	24	116	173	172	0	0	30	142	2
Precinct 9421	89	359	925	513	0	0	63	450	2
Precinct 9422 - Vote By Mail	96	286	831	413	0	0	31	382	0
Precinct 9422 - Election Day	23	155	270	222	0	0	44	178	0
Precinct 9422	119	441	1,101	635	0	0	75	560	0
Precinct 9423 - Vote By Mail	45	238	714	318	0	0	35	283	0
Precinct 9423 - Election Day	29	128	190	186	0	0	28	158	1
Precinct 9423	74	366	904	504	0	0	63	441	1
Precinct 9424 - Vote By Mail	71	281	799	386	0	0	34	352	0
Precinct 9424 - Election Day	27	115	210	171	0	0	29	142	0
Precinct 9424	98	396	1,009	557	0	0	63	494	0
Precinct 9425 - Vote By Mail	76	241	789	348	0	0	31	317	0
Precinct 9425 - Election Day	11	133	187	183	0	0	39	144	0
Precinct 9425	87	374	976	531	0	0	70	461	0
Precinct 9426 - Vote By Mail	75	213	697	326	0	0	38	288	0
Precinct 9426 - Election Day	17	108	156	159	0	0	33	126	1
Precinct 9426	92	321	853	485	0	0	71	414	1
Precinct 9427 - Vote By Mail	97	250	799	386	0	0	39	347	0
Precinct 9427 - Election Day	26	107	188	170	0	0	37	133	0
Precinct 9427	123	357	987	556	0	0	76	480	0
Precinct 9428 - Vote By Mail	75	243	811	353	0	1	34	318	0
Precinct 9428 - Election Day	25	108	179	163	0	0	30	133	0
Precinct 9428	100	351	990	516	0	1	64	451	0
Precinct 9429 - Vote By Mail	71	235	709	344	0	0	38	306	0
Precinct 9429 - Election Day	30	115	197	174	0	1	27	146	1
Precinct 9429	101	350	906	518	0	1	65	452	1
Precinct 9431 - Vote By Mail	93	281	832	413	0	0	39	374	0
Precinct 9431 - Election Day	28	130	204	189	0	0	31	158	0
Precinct 9431	121	411	1,036	602	0	0	70	532	0
Precinct 9432 - Vote By Mail	52	267	743	361	0	0	42	319	0
Precinct 9432 - Election Day	20	114	215	156	0	0	20	136	2
Precinct 9432	72	381	958	517	0	0	62	455	2
Precinct 9433 - Vote By Mail	71	252	794	374	0	0	51	323	0
Precinct 9433 - Election Day	34	82	164	136	0	0	19	117	1
Precinct 9433	105	334	958	510	0	0	70	440	1
Precinct 9434 - Vote By Mail	54	289	785	387	0	1	43	343	0
Precinct 9434 - Election Day	25	174	227	239	0	0	39	200	1
Precinct 9434	79	463	1,012	626	0	1	82	543	1
Precinct 9435 - Vote By Mail	58	267	779	366	0	0	41	325	0
Precinct 9435 - Election Day	40	144	225	217	0	0	30	187	3
Precinct 9435	98	411	1,004	583	0	0	71	512	3
Precinct 9436 - Vote By Mail	76	278	842	387	0	0	33	354	0
Precinct 9436 - Election Day	25	125	226	176	0	0	25	151	1
Precinct 9436	101	403	1,068	563	0	0	58	505	1
Precinct 9437 - Vote By Mail	75	258	736	376	0	0	43	333	0
Precinct 9437 - Election Day	24	130	191	171	0	0	17	154	0
Precinct 9437	99	388	927	547	0	0	60	487	0
Precinct 9438 - Vote By Mail	92	291	837	420	0	0	37	383	0
Precinct 9438 - Election Day	16	90	152	128	0	0	20	108	2
Precinct 9438	108	381	989	548	0	0	57	491	2
Precinct 9439 - Vote By Mail	70	233	718	344	0	0	41	303	0
Precinct 9439 - Election Day	27	88	199	150	0	0	33	117	2
Precinct 9439	97	321	917	494	0	0	74	420	2
Precinct 9441 - Vote By Mail	69	285	778	396	0	0	42	354	0
Precinct 9441 - Election Day	16	133	193	187	0	0	38	149	0
Precinct 9441	85	418	971	583	0	0	80	503	0
Precinct 9442 - Vote By Mail	75	262	830	382	0	0	45	337	0
Precinct 9442 - Election Day	36	159	210	231	0	0	36	195	0
Precinct 9442	111	421	1,040	613	0	0	81	532	0
Precinct 9443 - Vote By Mail	50	275	760	363	0	0	38	325	0
Precinct 9443 - Election Day	23	122	195	172	0	0	26	146	1
Precinct 9443	73	397	955	535	0	0	64	471	1
Precinct 9444 - Vote By Mail	84	233	768	343	0	0	26	317	0
Precinct 9444 - Election Day	20	102	197	153	0	0	31	122	0
Precinct 9444	104	335	965	496	0	0	57	439	0
Precinct 9445 - Vote By Mail	71	289	830	407	0	0	47	360	0
Precinct 9445 - Election Day	17	134	166	178	0	0	27	151	0
Precinct 9445	88	423	996	585	0	0	74	511	0
Precinct 9446 - Vote By Mail	123	298	900	466	0	0	45	421	0
Precinct 9446 - Election Day	26	131	216	185	0	0	27	158	1
Precinct 9446	149	429	1,116	651	0	0	72	579	1
Precinct 9447 - Vote By Mail	75	280	729	395	0	0	40	355	0
Precinct 9447 - Election Day	35	139	192	203	0	0	28	175	1
Precinct 9447	110	419	921	598	0	0	68	530	1
Precinct 9448 - Vote By Mail	52	265	742	347	0	0	30	317	0
Precinct 9448 - Election Day	17	132	198	183	0	0	34	149	0
Precinct 9448	69	397	940	530	0	0	64	466	0
Precinct 9449 - Vote By Mail	66	236	719	342	0	0	40	302	0
Precinct 9449 - Election Day	29	83	162	128	0	0	16	112	0
Precinct 9449	95	319	881	470	0	0	56	414	0
Precinct 9451 - Vote By Mail	47	115	353	178	0	0	16	162	0
Precinct 9451 - Election Day	12	46	88	71	0	0	12	59	1
Precinct 9451	59	161	441	249	0	0	28	221	1
Precinct 9452 - Vote By Mail	71	240	647	336	0	0	25	311	0
Precinct 9452 - Election Day	43	120	195	199	0	0	35	164	1
Precinct 9452	114	360	842	535	0	0	60	475	1
Precinct 9453 - Vote By Mail	54	140	409	220	0	0	26	194	0
Precinct 9453 - Election Day	15	61	115	88	0	0	12	76	0
Precinct 9453	69	201	524	308	0	0	38	270	0
Precinct 9501 MB - Vote By Mail	18	62	158	92	0	0	12	80	0
Precinct 9501 MB - Election Day	1	1	-8	5	0	0	3	2	0
Precinct 9501 MB	19	63	150	97	0	0	15	82	0
Precinct 9502 MB - Vote By Mail	11	113	294	136	0	0	12	124	0
Precinct 9502 MB - Election Day	0	4	-43	12	0	0	8	4	0
Precinct 9502 MB	11	117	251	148	0	0	20	128	0
Precinct 9503/9504 - Vote By Mail	13	213	550	263	0	0	37	226	0
Precinct 9503/9504 - Election Day	12	94	150	139	0	0	33	106	0
Precinct 9503/9504	25	307	700	402	0	0	70	332	0
Precinct 9505 - Vote By Mail	37	228	589	296	0	0	31	265	0
Precinct 9505 - Election Day	7	113	176	147	0	0	26	121	1
Precinct 9505	44	341	765	443	0	0	57	386	1
Precinct 9506 - Vote By Mail	20	190	547	233	0	0	23	210	0
Precinct 9506 - Election Day	14	100	207	147	0	0	32	115	1
Precinct 9506	34	290	754	380	0	0	55	325	1
Precinct 9507 - Vote By Mail	14	249	556	306	0	0	43	263	0
Precinct 9507 - Election Day	15	143	160	206	0	0	47	159	1
Precinct 9507	29	392	716	512	0	0	90	422	1
Precinct 9508 - Vote By Mail	15	268	632	320	0	0	37	283	0
Precinct 9508 - Election Day	11	148	148	211	0	0	52	159	0
Precinct 9508	26	416	780	531	0	0	89	442	0
Precinct 9509 - Vote By Mail	13	240	585	297	0	0	44	253	0
Precinct 9509 - Election Day	10	141	142	196	0	0	43	153	2
Precinct 9509	23	381	727	493	0	0	87	406	2
Precinct 9511 - Vote By Mail	21	192	458	242	0	1	28	213	0
Precinct 9511 - Election Day	14	124	176	179	0	0	40	139	1
Precinct 9511	35	316	634	421	0	1	68	352	1
Precinct 9512 - Vote By Mail	16	260	617	328	0	0	52	276	0
Precinct 9512 - Election Day	11	145	160	209	0	0	52	157	1
Precinct 9512	27	405	777	537	0	0	104	433	1
Precinct 9513 - Vote By Mail	29	256	686	335	0	0	50	285	0
Precinct 9513 - Election Day	11	142	191	202	0	1	48	153	0
Precinct 9513	40	398	877	537	0	1	98	438	0
Precinct 9514/9522 - Vote By Mail	23	281	713	353	0	0	49	304	0
Precinct 9514/9522 - Election Day	19	188	183	247	0	0	38	209	2
Precinct 9514/9522	42	469	896	600	0	0	87	513	2
Precinct 9515 - Vote By Mail	35	233	543	306	0	0	38	268	0
Precinct 9515 - Election Day	21	131	169	190	0	0	36	154	2
Precinct 9515	56	364	712	496	0	0	74	422	2
Precinct 9516 - Vote By Mail	53	267	705	367	0	0	47	320	0
Precinct 9516 - Election Day	21	157	184	221	0	0	43	178	0
Precinct 9516	74	424	889	588	0	0	90	498	0
Precinct 9517 - Vote By Mail	31	259	626	335	0	0	45	290	0
Precinct 9517 - Election Day	15	147	162	200	0	1	37	162	0
Precinct 9517	46	406	788	535	0	1	82	452	0
Precinct 9518 - Vote By Mail	34	242	642	319	0	0	43	276	0
Precinct 9518 - Election Day	17	161	146	218	0	0	39	179	1
Precinct 9518	51	403	788	537	0	0	82	455	1
Precinct 9519 - Vote By Mail	31	289	693	370	0	0	50	320	0
Precinct 9519 - Election Day	23	182	198	258	0	0	53	205	0
Precinct 9519	54	471	891	628	0	0	103	525	0
Precinct 9521 - Vote By Mail	26	288	687	352	0	0	38	314	0
Precinct 9521 - Election Day	18	188	214	256	0	0	48	208	2
Precinct 9521	44	476	901	608	0	0	86	522	2
Precinct 9701 - Vote By Mail	33	194	498	271	0	0	44	227	0
Precinct 9701 - Election Day	18	123	156	163	0	0	22	141	0
Precinct 9701	51	317	654	434	0	0	66	368	0
Precinct 9702 - Vote By Mail	25	225	554	309	0	0	59	250	0
Precinct 9702 - Election Day	15	144	166	195	0	0	36	159	0
Precinct 9702	40	369	720	504	0	0	95	409	0
Precinct 9703 - Vote By Mail	52	309	809	403	0	0	42	361	0
Precinct 9703 - Election Day	27	144	182	200	0	0	28	172	1
Precinct 9703	79	453	991	603	0	0	70	533	1
Precinct 9704 - Vote By Mail	65	313	760	426	0	0	48	378	0
Precinct 9704 - Election Day	20	178	199	244	0	0	45	199	1
Precinct 9704	85	491	959	670	0	0	93	577	1
Precinct 9705 - Vote By Mail	39	341	754	421	0	0	41	380	0
Precinct 9705 - Election Day	17	145	175	203	0	0	40	163	1
Precinct 9705	56	486	929	624	0	0	81	543	1
Precinct 9706 MB - Vote By Mail	2	32	57	35	0	0	1	34	0
Precinct 9706 MB - Election Day	0	0	-8	1	0	0	1	0	0
Precinct 9706 MB	2	32	49	36	0	0	2	34	0
Precinct 9707 - Vote By Mail	68	259	687	359	0	0	32	327	0
Precinct 9707 - Election Day	10	113	139	146	0	0	23	123	0
Precinct 9707	78	372	826	505	0	0	55	450	0
Precinct 9708 - Vote By Mail	49	335	786	432	0	0	48	384	0
Precinct 9708 - Election Day	20	156	175	216	0	0	40	176	0
Precinct 9708	69	491	961	648	0	0	88	560	0
Precinct 9709 - Vote By Mail	79	304	831	429	0	0	46	383	0
Precinct 9709 - Election Day	30	165	209	229	0	0	34	195	0
Precinct 9709	109	469	1,040	658	0	0	80	578	0
Precinct 9711 - Vote By Mail	50	235	502	307	0	0	22	285	0
Precinct 9711 - Election Day	33	111	144	168	0	0	24	144	0
Precinct 9711	83	346	646	475	0	0	46	429	0
Precinct 9712 - Vote By Mail	70	232	534	337	0	0	35	302	0
Precinct 9712 - Election Day	19	102	127	138	0	0	16	122	1
Precinct 9712	89	334	661	475	0	0	51	424	1
Precinct 9713 - Vote By Mail	68	267	747	391	0	0	56	335	0
Precinct 9713 - Election Day	25	127	203	182	0	0	30	152	0
Precinct 9713	93	394	950	573	0	0	86	487	0
Precinct 9714 - Vote By Mail	98	305	795	447	0	0	44	403	0
Precinct 9714 - Election Day	37	117	156	177	0	0	23	154	0
Precinct 9714	135	422	951	624	0	0	67	557	0
Precinct 9715 - Vote By Mail	50	171	449	242	0	0	21	221	0
Precinct 9715 - Election Day	22	115	130	156	0	0	19	137	0
Precinct 9715	72	286	579	398	0	0	40	358	0
Precinct 9716 - Vote By Mail	77	287	745	401	0	0	37	364	0
Precinct 9716 - Election Day	32	137	221	216	0	0	45	171	2
Precinct 9716	109	424	966	617	0	0	82	535	2
Precinct 9717 - Vote By Mail	89	313	753	439	0	0	37	402	0
Precinct 9717 - Election Day	29	132	224	189	0	0	27	162	1
Precinct 9717	118	445	977	628	0	0	64	564	1
Precinct 9718 - Vote By Mail	81	331	749	451	0	0	39	412	0
Precinct 9718 - Election Day	30	132	152	184	0	0	20	164	2
Precinct 9718	111	463	901	635	0	0	59	576	2
Precinct 9719 - Vote By Mail	92	321	747	465	0	1	51	413	0
Precinct 9719 - Election Day	40	134	173	191	0	0	17	174	0
Precinct 9719	132	455	920	656	0	1	68	587	0
Precinct 9721 - Vote By Mail	50	219	498	291	0	0	22	269	0
Precinct 9721 - Election Day	38	114	164	174	0	0	22	152	0
Precinct 9721	88	333	662	465	0	0	44	421	0
Precinct 9722 - Vote By Mail	76	211	513	315	0	0	28	287	0
Precinct 9722 - Election Day	19	73	84	100	0	0	7	93	1
Precinct 9722	95	284	597	415	0	0	35	380	1
Precinct 9723 - Vote By Mail	69	133	436	224	0	0	22	202	0
Precinct 9723 - Election Day	17	43	72	66	0	0	6	60	0
Precinct 9723	86	176	508	290	0	0	28	262	0
Precinct 9724 - Vote By Mail	138	272	851	456	0	1	45	410	0
Precinct 9724 - Election Day	27	92	169	143	0	0	23	120	1
Precinct 9724	165	364	1,020	599	0	1	68	530	1
Precinct 9725 - Vote By Mail	116	279	814	439	0	0	44	395	0
Precinct 9725 - Election Day	32	103	157	165	0	0	30	135	0
Precinct 9725	148	382	971	604	0	0	74	530	0
Precinct 9726 - Vote By Mail	31	173	630	217	0	0	13	204	0
Precinct 9726 - Election Day	21	203	-14	261	0	0	35	226	2
Precinct 9726	52	376	616	478	0	0	48	430	2
Precinct 9727 - Vote By Mail	68	136	404	227	0	0	23	204	0
Precinct 9727 - Election Day	10	47	56	64	0	0	7	57	0
Precinct 9727	78	183	460	291	0	0	30	261	0
Precinct 9728 - Vote By Mail	117	284	751	447	0	0	46	401	0
Precinct 9728 - Election Day	49	124	212	183	0	0	10	173	0
Precinct 9728	166	408	963	630	0	0	56	574	0
Precinct 9729 - Vote By Mail	84	217	654	338	0	0	37	301	0
Precinct 9729 - Election Day	35	111	164	174	0	0	28	146	0
Precinct 9729	119	328	818	512	0	0	65	447	0
Precinct 9731 - Vote By Mail	53	166	436	246	0	0	27	219	0
Precinct 9731 - Election Day	25	99	143	145	0	0	21	124	0
Precinct 9731	78	265	579	391	0	0	48	343	0
Precinct 9732 MB - Vote By Mail	7	35	78	47	0	0	5	42	0
Precinct 9732 MB - Election Day	0	2	-5	3	0	0	1	2	0
Precinct 9732 MB	7	37	73	50	0	0	6	44	0
Precinct 9733 MB - Vote By Mail	14	137	261	162	0	0	11	151	0
Precinct 9733 MB - Election Day	1	9	-21	12	0	0	2	10	0
Precinct 9733 MB	15	146	240	174	0	0	13	161	0
Precinct 9734 - Vote By Mail	56	209	473	290	0	1	24	265	0
Precinct 9734 - Election Day	31	86	131	131	0	0	12	119	2
Precinct 9734	87	295	604	421	0	1	36	384	2
Precinct 9735 - Vote By Mail	89	271	650	390	0	0	30	360	0
Precinct 9735 - Election Day	32	115	170	187	0	0	39	148	1
Precinct 9735	121	386	820	577	0	0	69	508	1
Precinct 9736 - Vote By Mail	44	257	586	329	0	0	28	301	0
Precinct 9736 - Election Day	31	127	150	187	0	0	27	160	2
Precinct 9736	75	384	736	516	0	0	55	461	2
Precinct 9737 - Vote By Mail	61	293	637	390	0	0	36	354	0
Precinct 9737 - Election Day	20	121	154	164	0	0	23	141	0
Precinct 9737	81	414	791	554	0	0	59	495	0
Precinct 9738 - Vote By Mail	58	229	688	320	0	0	33	287	0
Precinct 9738 - Election Day	25	69	150	117	0	0	23	94	0
Precinct 9738	83	298	838	437	0	0	56	381	0
Precinct 9739 - Vote By Mail	40	214	674	272	0	0	18	254	0
Precinct 9739 - Election Day	11	196	115	240	0	0	30	210	3
Precinct 9739	51	410	789	512	0	0	48	464	3
Precinct 9741 - Vote By Mail	10	140	841	174	0	0	24	150	0
Precinct 9741 - Election Day	19	280	-400	352	0	0	53	299	0
Precinct 9741	29	420	441	526	0	0	77	449	0
Precinct 9742 - Vote By Mail	57	154	530	229	0	0	18	211	0
Precinct 9742 - Election Day	42	97	165	163	0	0	24	139	0
Precinct 9742	99	251	695	392	0	0	42	350	0
Precinct 9743 - Vote By Mail	60	295	913	405	0	0	50	355	0
Precinct 9743 - Election Day	35	186	227	256	0	0	35	221	0
Precinct 9743	95	481	1,140	661	0	0	85	576	0
Precinct 9744 - Vote By Mail	55	246	783	334	0	0	33	301	0
Precinct 9744 - Election Day	26	175	160	252	0	0	50	202	1
Precinct 9744	81	421	943	586	0	0	83	503	1
Precinct 9745 - Vote By Mail	53	241	791	321	0	0	27	294	0
Precinct 9745 - Election Day	33	156	201	230	0	0	41	189	0
Precinct 9745	86	397	992	551	0	0	68	483	0
Precinct 9746 - Vote By Mail	77	257	714	374	0	0	40	334	0
Precinct 9746 - Election Day	40	101	189	154	0	0	13	141	0
Precinct 9746	117	358	903	528	0	0	53	475	0
Precinct 9747 - Vote By Mail	64	307	772	401	0	0	30	371	0
Precinct 9747 - Election Day	25	150	204	193	0	0	18	175	0
Precinct 9747	89	457	976	594	0	0	48	546	0
Precinct 9748 - Vote By Mail	77	310	746	425	0	0	38	387	0
Precinct 9748 - Election Day	26	114	167	164	0	0	22	142	2
Precinct 9748	103	424	913	589	0	0	60	529	2
Precinct 9749 - Vote By Mail	44	215	750	289	0	0	30	259	0
Precinct 9749 - Election Day	14	113	188	169	0	0	41	128	1
Precinct 9749	58	328	938	458	0	0	71	387	1
Precinct 9751 - Vote By Mail	71	346	857	475	0	0	58	417	0
Precinct 9751 - Election Day	30	145	214	205	0	0	30	175	0
Precinct 9751	101	491	1,071	680	0	0	88	592	0
Precinct 9752 - Vote By Mail	71	232	563	330	0	0	27	303	0
Precinct 9752 - Election Day	28	103	134	156	0	0	25	131	0
Precinct 9752	99	335	697	486	0	0	52	434	0
Precinct 9753 - Vote By Mail	31	242	617	300	0	1	26	273	0
Precinct 9753 - Election Day	15	128	145	168	0	0	24	144	1
Precinct 9753	46	370	762	468	0	1	50	417	1
Precinct 9754 - Vote By Mail	30	261	545	317	0	0	26	291	0
Precinct 9754 - Election Day	14	112	162	149	0	0	22	127	1
Precinct 9754	44	373	707	466	0	0	48	418	1
Precinct 9755 - Vote By Mail	31	189	441	240	0	0	20	220	0
Precinct 9755 - Election Day	21	90	139	134	0	0	23	111	0
Precinct 9755	52	279	580	374	0	0	43	331	0
Precinct 9756 - Vote By Mail	65	267	805	365	0	0	33	332	0
Precinct 9756 - Election Day	22	113	162	152	0	0	17	135	0
Precinct 9756	87	380	967	517	0	0	50	467	0
Precinct 9801 - Vote By Mail	14	134	320	163	0	0	15	148	0
Precinct 9801 - Election Day	16	45	88	68	0	0	7	61	0
Precinct 9801	30	179	408	231	0	0	22	209	0
Congressional District 12 - Vote By Mail	9,783	43,600	355,618	60,380	0	9	6,988	53,383	0
Congressional District 12 - Election Day	4,329	23,255	90,230	34,293	0	9	6,563	27,721	137
Congressional District 12	14,112	66,855	445,848	94,673	0	18	13,551	81,104	137
Congressional District 14 - Vote By Mail	4,131	16,241	47,257	22,458	0	5	2,081	20,372	0
Congressional District 14 - Election Day	1,531	7,484	10,794	10,723	0	2	1,661	9,060	45
Congressional District 14	5,662	23,725	58,051	33,181	0	7	3,742	29,432	45
Assembly District 19 - Vote By Mail	13,914	59,841	170,069	82,838	0	14	9,069	73,755	0
Assembly District 19 - Election Day	5,860	30,739	41,408	45,016	0	11	8,224	36,781	182
Assembly District 19	19,774	90,580	211,477	127,854	0	25	17,293	110,536	182
Supervisorial District 1 - Vote By Mail	2,365	12,319	33,870	16,542	0	1	1,857	14,684	0
Supervisorial District 1 - Election Day	1,133	7,076	9,246	10,108	0	5	1,846	8,257	48
Supervisorial District 1	3,498	19,395	43,116	26,650	0	6	3,703	22,941	48
Supervisorial District 2 - Vote By Mail	3,223	11,739	41,436	17,193	0	4	2,227	14,962	0
Supervisorial District 2 - Election Day	1,560	6,351	8,610	10,170	0	0	2,222	7,948	37
Supervisorial District 2	4,783	18,090	50,046	27,363	0	4	4,449	22,910	37
Supervisorial District 4 - Vote By Mail	3,106	12,103	35,051	16,945	0	3	1,733	15,209	0
Supervisorial District 4 - Election Day	1,135	5,903	9,043	8,505	0	2	1,433	7,070	32
Supervisorial District 4	4,241	18,006	44,094	25,450	0	5	3,166	22,279	32
Supervisorial District 5 - Vote By Mail	440	4,130	41,973	5,250	0	1	679	4,570	0
Supervisorial District 5 - Election Day	240	2,309	10,927	3,243	0	2	678	2,563	14
Supervisorial District 5	680	6,439	52,900	8,493	0	3	1,357	7,133	14
Supervisorial District 7 - Vote By Mail	3,054	12,211	38,893	16,944	0	4	1,675	15,265	0
Supervisorial District 7 - Election Day	1,238	6,072	8,550	8,611	0	0	1,274	7,337	27
Supervisorial District 7	4,292	18,283	47,443	25,555	0	4	2,949	22,602	27
Supervisorial District 8 - Vote By Mail	14	134	46,374	163	0	0	15	148	0
Supervisorial District 8 - Election Day	16	45	11,803	68	0	0	7	61	0
Supervisorial District 8	30	179	58,177	231	0	0	22	209	0
Supervisorial District 10 - Vote By Mail	14	80	33,767	101	0	0	7	94	0
Supervisorial District 10 - Election Day	0	2	9,346	7	0	0	5	2	0
Supervisorial District 10	14	82	43,113	108	0	0	12	96	0
Supervisorial District 11 - Vote By Mail	1,698	7,125	30,643	9,700	0	1	876	8,823	0
Supervisorial District 11 - Election Day	538	2,981	8,032	4,304	0	2	759	3,543	24
Supervisorial District 11	2,236	10,106	38,675	14,004	0	3	1,635	12,366	24
Excelsior - Vote By Mail	1,171	4,659	22,699	6,369	0	1	538	5,830	0
Excelsior - Election Day	368	1,783	5,894	2,628	0	1	460	2,167	16
Excelsior	1,539	6,442	28,593	8,997	0	2	998	7,997	16
Ingleside - Vote By Mail	650	3,082	9,819	4,148	0	0	416	3,732	0
Ingleside - Election Day	222	1,469	2,576	2,065	0	1	364	1,700	9
Ingleside	872	4,551	12,395	6,213	0	1	780	5,432	9
Inner Sunset - Vote By Mail	323	2,440	7,628	3,209	0	0	446	2,763	0
Inner Sunset - Election Day	180	1,552	2,030	2,120	0	1	380	1,739	7
Inner Sunset	503	3,992	9,658	5,329	0	1	826	4,502	7
Lake Merced - Vote By Mail	630	2,222	7,421	3,162	0	1	309	2,852	0
Lake Merced - Election Day	246	1,503	837	2,082	0	0	326	1,756	7
Lake Merced	876	3,725	8,258	5,244	0	1	635	4,608	7
Laurel Heights/Anza Vista - Vote By Mail	507	2,974	8,173	3,963	0	0	482	3,481	0
Laurel Heights/Anza Vista - Election Day	270	1,845	1,849	2,654	0	0	527	2,127	12
Laurel Heights/Anza Vista	777	4,819	10,022	6,617	0	0	1,009	5,608	12
Marina Pacific Heights - Vote By Mail	2,349	7,931	33,510	11,871	0	3	1,588	10,280	0
Marina Pacific Heights - Election Day	1,144	4,283	5,930	7,082	0	0	1,626	5,456	29
Marina Pacific Heights	3,493	12,214	39,440	18,953	0	3	3,214	15,736	29
Richmond - Vote By Mail	2,094	10,770	29,449	14,464	0	1	1,599	12,864	0
Richmond - Election Day	977	5,959	8,176	8,539	0	5	1,557	6,977	41
Richmond	3,071	16,729	37,625	23,003	0	6	3,156	19,841	41
Sea Cliff/Presidio Heights - Vote By Mail	604	2,397	6,458	3,427	0	1	425	3,001	0
Sea Cliff/Presidio Heights - Election Day	294	1,363	1,563	2,033	0	0	373	1,660	3
Sea Cliff/Presidio Heights	898	3,760	8,021	5,460	0	1	798	4,661	3
Sunset - Vote By Mail	3,074	11,941	34,608	16,718	0	3	1,700	15,015	0
Sunset - Election Day	1,122	5,772	8,885	8,333	0	2	1,405	6,926	32
Sunset	4,196	17,713	43,493	25,051	0	5	3,105	21,941	32
Visitation Valley - Vote By Mail	14	80	6,638	101	0	0	7	94	0
Visitation Valley - Election Day	0	2	1,850	7	0	0	5	2	0
Visitation Valley	14	82	8,488	108	0	0	12	96	0
West of Twin Peaks - Vote By Mail	2,257	9,088	28,440	12,548	0	3	1,200	11,345	0
West of Twin Peaks - Election Day	923	4,076	6,934	5,850	0	0	832	5,018	19
West of Twin Peaks	3,180	13,164	35,374	18,398	0	3	2,032	16,363	19
Western Addition - Vote By Mail	241	2,257	23,716	2,858	0	1	359	2,498	0
Western Addition - Election Day	114	1,132	7,780	1,623	0	1	369	1,253	7
Western Addition	355	3,389	31,496	4,481	0	2	728	3,751	7
