Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts	195,037	83,241	503,899	304,904	0	79	26,547	278,278
All Precincts - None	70,026	25,657	101,264	107,001	0	33	11,285	95,683
All Precincts - None	125,011	57,584	402,635	197,903	0	46	15,262	182,595
Precinct 1101 - None	136	66	448	216	0	0	14	202
Precinct 1101 - None	65	18	114	93	0	0	10	83
Precinct 1101	201	84	562	309	0	0	24	285
Precinct 1102 - None	210	137	774	370	0	0	23	347
Precinct 1102 - None	140	50	230	209	0	0	19	190
Precinct 1102	350	187	1,004	579	0	0	42	537
Precinct 1103 - None	244	112	749	373	0	0	17	356
Precinct 1103 - None	126	54	222	194	0	0	14	180
Precinct 1103	370	166	971	567	0	0	31	536
Precinct 1104/1105 - None	219	106	751	343	0	0	18	325
Precinct 1104/1105 - None	107	46	267	169	0	0	16	153
Precinct 1104/1105	326	152	1,018	512	0	0	34	478
Precinct 1106 - None	141	93	598	255	0	0	21	234
Precinct 1106 - None	84	52	173	149	0	0	13	136
Precinct 1106	225	145	771	404	0	0	34	370
Precinct 1107 - None	152	117	612	288	0	0	19	269
Precinct 1107 - None	78	37	139	125	0	0	10	115
Precinct 1107	230	154	751	413	0	0	29	384
Precinct 1108 - None	234	106	725	360	0	0	20	340
Precinct 1108 - None	92	45	198	159	0	0	22	137
Precinct 1108	326	151	923	519	0	0	42	477
Precinct 1109 - None	158	112	653	285	0	0	15	270
Precinct 1109 - None	93	36	169	141	0	0	12	129
Precinct 1109	251	148	822	426	0	0	27	399
Precinct 1111 - None	187	143	849	354	0	0	24	330
Precinct 1111 - None	122	49	197	189	0	0	18	171
Precinct 1111	309	192	1,046	543	0	0	42	501
Precinct 1112 - None	168	98	643	280	0	0	14	266
Precinct 1112 - None	89	23	159	119	0	0	7	112
Precinct 1112	257	121	802	399	0	0	21	378
Precinct 1113 - None	146	114	675	286	0	0	26	260
Precinct 1113 - None	63	24	120	108	0	0	21	87
Precinct 1113	209	138	795	394	0	0	47	347
Precinct 1114 - None	200	102	769	328	0	0	26	302
Precinct 1114 - None	103	39	222	167	0	0	25	142
Precinct 1114	303	141	991	495	0	0	51	444
Precinct 1115 - None	171	102	743	295	0	0	22	273
Precinct 1115 - None	92	26	193	131	0	0	13	118
Precinct 1115	263	128	936	426	0	0	35	391
Precinct 1116 - None	195	88	715	309	0	0	26	283
Precinct 1116 - None	126	52	216	197	0	0	19	178
Precinct 1116	321	140	931	506	0	0	45	461
Precinct 1117 - None	138	105	665	259	0	0	16	243
Precinct 1117 - None	98	40	181	152	0	0	14	138
Precinct 1117	236	145	846	411	0	0	30	381
Precinct 1118 - None	226	125	846	366	0	0	15	351
Precinct 1118 - None	105	43	219	164	0	1	15	148
Precinct 1118	331	168	1,065	530	0	1	30	499
Precinct 1119 - None	183	103	659	305	0	0	19	286
Precinct 1119 - None	82	23	138	117	0	0	12	105
Precinct 1119	265	126	797	422	0	0	31	391
Precinct 1121 - None	133	117	556	269	0	0	19	250
Precinct 1121 - None	82	34	149	123	0	0	7	116
Precinct 1121	215	151	705	392	0	0	26	366
Precinct 1122 - None	118	108	519	247	0	0	21	226
Precinct 1122 - None	56	32	118	97	0	0	9	88
Precinct 1122	174	140	637	344	0	0	30	314
Precinct 1123 - None	153	90	730	258	0	0	15	243
Precinct 1123 - None	89	50	208	151	0	0	12	139
Precinct 1123	242	140	938	409	0	0	27	382
Precinct 1124 - None	141	95	631	246	0	0	10	236
Precinct 1124 - None	88	26	198	125	0	0	11	114
Precinct 1124	229	121	829	371	0	0	21	350
Precinct 1125 - None	185	142	919	365	0	0	38	327
Precinct 1125 - None	73	27	178	115	0	0	15	100
Precinct 1125	258	169	1,097	480	0	0	53	427
Precinct 1126 - None	174	114	812	308	0	1	19	288
Precinct 1126 - None	65	37	200	108	0	0	6	102
Precinct 1126	239	151	1,012	416	0	1	25	390
Precinct 1127 - None	145	131	743	295	0	0	19	276
Precinct 1127 - None	86	49	222	148	0	0	13	135
Precinct 1127	231	180	965	443	0	0	32	411
Precinct 1128 - None	141	131	734	287	0	0	15	272
Precinct 1128 - None	65	32	145	108	0	0	11	97
Precinct 1128	206	163	879	395	0	0	26	369
Precinct 1129 - None	161	128	790	314	0	0	25	289
Precinct 1129 - None	86	44	246	146	0	0	16	130
Precinct 1129	247	172	1,036	460	0	0	41	419
Precinct 1131 - None	132	120	694	280	0	0	28	252
Precinct 1131 - None	69	30	166	111	0	0	12	99
Precinct 1131	201	150	860	391	0	0	40	351
Precinct 1132 - None	199	142	838	370	0	0	29	341
Precinct 1132 - None	60	33	194	103	0	0	10	93
Precinct 1132	259	175	1,032	473	0	0	39	434
Precinct 1133 - None	192	127	716	336	0	0	17	319
