Subtotal Area	KAT ANDERSON	NADIA RAHMAN	MANO RAJU	ABRA PAULINE CASTLE	QUEENA CHEN	CYN WANG	LEAH LACROIX	SUZY LOFTUS	LI MIAO LOVETT	JANICE LI	JANE NATOLI	AHSHA SAFAI	GORDON MAR	SEEYEW MO	FAAUUGA MOLIGA	PAUL MIYAMOTO	MARY JUNG	KEITH BARAKA	KELLY AKEMI GROTH	A. J. THOMAS	MAWULI TUGBENYOH	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 1114	52	39	93	39	77	33	91	86	98	102	58	116	111	20	88	70	59	109	82	113	27	991	321	0	0	1,647	1,563	0
Precinct 1115 - Vote By Mail	27	27	63	20	61	25	61	48	72	55	34	70	79	15	62	45	44	76	59	87	21	743	194	0	0	889	1,051	0
Precinct 1115 - Election Day	14	11	28	17	27	9	27	22	26	25	15	26	31	3	26	16	17	27	26	35	6	193	100	0	1	556	434	0
Precinct 1115	41	38	91	37	88	34	88	70	98	80	49	96	110	18	88	61	61	103	85	122	27	936	294	0	1	1,445	1,485	0
Precinct 1116 - Vote By Mail	27	21	72	26	70	34	67	47	65	70	42	64	76	23	61	47	55	70	48	76	18	715	205	0	0	971	1,079	0
Precinct 1116 - Election Day	25	13	45	22	44	10	39	29	49	36	19	44	45	3	44	24	28	44	33	57	10	216	152	0	0	857	663	0
Precinct 1116	52	34	117	48	114	44	106	76	114	106	61	108	121	26	105	71	83	114	81	133	28	931	357	0	0	1,828	1,742	0
Precinct 1117 - Vote By Mail	29	21	63	27	62	29	57	55	68	48	25	52	60	15	56	36	31	65	43	77	20	665	182	0	1	871	939	0
Precinct 1117 - Election Day	21	11	31	22	25	16	22	21	27	31	12	24	33	4	30	18	17	40	21	39	8	181	109	0	0	617	473	0
Precinct 1117	50	32	94	49	87	45	79	76	95	79	37	76	93	19	86	54	48	105	64	116	28	846	291	0	1	1,488	1,412	0
Precinct 1118 - Vote By Mail	57	27	70	33	57	44	74	71	73	71	58	84	88	20	71	60	54	82	56	85	37	846	244	0	0	1,168	1,272	0
Precinct 1118 - Election Day	23	7	31	20	21	19	33	25	26	25	10	28	35	6	25	23	20	30	21	42	9	219	118	0	0	700	480	1
Precinct 1118	80	34	101	53	78	63	107	96	99	96	68	112	123	26	96	83	74	112	77	127	46	1,065	362	0	0	1,868	1,752	1
Precinct 1119 - Vote By Mail	42	26	68	21	65	37	71	63	73	63	40	71	75	27	67	50	53	84	69	85	39	659	217	0	0	981	1,189	0
Precinct 1119 - Election Day	16	14	24	13	28	15	22	14	24	25	8	17	24	4	28	10	13	24	23	33	3	138	92	0	0	538	382	0
Precinct 1119	58	40	92	34	93	52	93	77	97	88	48	88	99	31	95	60	66	108	92	118	42	797	309	0	0	1,519	1,571	0
Precinct 1121 - Vote By Mail	23	17	44	19	49	30	51	45	48	49	29	61	70	17	40	39	46	45	40	61	16	556	172	0	0	881	839	0
Precinct 1121 - Election Day	17	7	23	10	18	11	24	21	23	20	16	23	29	7	31	19	12	25	20	30	5	149	89	0	1	489	391	0
Precinct 1121	40	24	67	29	67	41	75	66	71	69	45	84	99	24	71	58	58	70	60	91	21	705	261	0	1	1,370	1,230	0
Precinct 1122 - Vote By Mail	28	23	39	25	42	38	36	47	40	47	36	54	50	24	34	43	50	38	30	45	10	519	148	0	0	701	779	0
Precinct 1122 - Election Day	11	7	12	4	15	9	13	12	17	19	11	15	16	2	15	13	11	13	10	13	4	118	65	0	0	408	242	0
Precinct 1122	39	30	51	29	57	47	49	59	57	66	47	69	66	26	49	56	61	51	40	58	14	637	213	0	0	1,109	1,021	0
Precinct 1123 - Vote By Mail	28	16	65	27	57	25	57	35	57	50	37	48	64	16	51	38	39	62	45	68	18	730	166	0	0	757	903	0
Precinct 1123 - Election Day	22	7	38	11	32	12	27	26	33	32	11	32	38	5	35	11	14	39	24	39	5	208	112	0	1	617	493	0
Precinct 1123	50	23	103	38	89	37	84	61	90	82	48	80	102	21	86	49	53	101	69	107	23	938	278	0	1	1,374	1,396	0
Precinct 1124 - Vote By Mail	34	22	60	26	55	21	60	49	54	56	37	53	68	8	51	38	35	67	48	69	15	631	161	0	1	674	926	0
Precinct 1124 - Election Day	6	6	23	9	16	3	20	18	19	15	9	17	29	1	21	8	13	21	17	23	2	198	80	0	0	503	297	1
Precinct 1124	40	28	83	35	71	24	80	67	73	71	46	70	97	9	72	46	48	88	65	92	17	829	241	0	1	1,177	1,223	1
Precinct 1125 - Vote By Mail	54	39	75	40	65	37	78	83	75	72	61	90	102	24	64	91	79	96	58	103	32	919	234	0	1	912	1,418	0
Precinct 1125 - Election Day	11	11	25	15	24	9	25	15	33	18	14	20	29	2	21	7	11	28	27	34	7	178	99	0	0	603	387	1
Precinct 1125	65	50	100	55	89	46	103	98	108	90	75	110	131	26	85	98	90	124	85	137	39	1,097	333	0	1	1,515	1,805	1
Precinct 1126 - Vote By Mail	55	31	47	47	54	43	47	70	72	66	59	84	77	26	71	65	58	76	56	90	33	812	197	0	0	743	1,227	0
Precinct 1126 - Election Day	17	11	19	15	18	12	24	19	21	18	15	26	29	6	23	17	17	26	18	29	5	200	86	0	0	475	385	0
Precinct 1126	72	42	66	62	72	55	71	89	93	84	74	110	106	32	94	82	75	102	74	119	38	1,012	283	0	0	1,218	1,612	0
Precinct 1127 - Vote By Mail	41	33	58	25	56	41	61	55	55	67	49	74	83	24	49	67	56	69	45	76	34	743	190	0	0	782	1,118	0
Precinct 1127 - Election Day	20	13	28	6	24	10	19	25	27	26	16	31	30	6	24	22	21	30	26	39	6	222	113	0	1	671	449	0
Precinct 1127	61	46	86	31	80	51	80	80	82	93	65	105	113	30	73	89	77	99	71	115	40	965	303	0	1	1,453	1,567	0
Precinct 1128 - Vote By Mail	31	21	52	29	55	34	56	61	52	65	38	58	77	29	53	44	48	72	42	59	14	734	177	0	0	780	990	0
