Subtotal Area	PHIL COLLINS	ROQUE "ROCKY" DE LA FUENTE	CHARLES KRAUT	J.R. MYERS	DON BLANKENSHIP	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7314	0	0	0	0	1	759	2	0	0	0	2	1
Precinct 7315 - Vote By Mail	0	0	0	0	0	570	4	0	0	4	0	0
Precinct 7315 - Election Day	1	0	0	0	0	195	1	0	0	0	1	0
Precinct 7315	1	0	0	0	0	765	5	0	0	4	1	0
Precinct 7316 - Vote By Mail	0	0	1	0	0	654	3	0	0	2	1	0
Precinct 7316 - Election Day	0	0	0	0	0	178	0	0	0	0	0	0
Precinct 7316	0	0	1	0	0	832	3	0	0	2	1	0
Precinct 7317 - Vote By Mail	0	0	0	1	0	744	4	0	0	3	1	0
Precinct 7317 - Election Day	0	0	0	0	0	146	1	0	0	1	0	0
Precinct 7317	0	0	0	1	0	890	5	0	0	4	1	0
Precinct 7318 - Vote By Mail	0	0	0	0	0	605	2	0	0	2	0	0
Precinct 7318 - Election Day	0	1	0	0	0	118	1	0	0	0	1	0
Precinct 7318	0	1	0	0	0	723	3	0	0	2	1	0
Precinct 7319 - Vote By Mail	0	0	1	0	1	861	6	0	0	4	2	0
Precinct 7319 - Election Day	0	0	0	0	0	188	1	0	0	1	0	0
Precinct 7319	0	0	1	0	1	1,049	7	0	0	5	2	0
Precinct 7321 - Vote By Mail	0	0	0	0	1	557	2	0	0	1	1	0
Precinct 7321 - Election Day	0	0	1	0	0	102	3	0	0	2	1	0
Precinct 7321	0	0	1	0	1	659	5	0	0	3	2	0
Precinct 7322 - Vote By Mail	1	0	1	0	0	742	4	0	0	2	2	0
Precinct 7322 - Election Day	0	0	0	0	0	146	0	0	0	0	0	0
Precinct 7322	1	0	1	0	0	888	4	0	0	2	2	0
Precinct 7323 - Vote By Mail	2	1	0	0	0	790	7	0	0	4	3	0
Precinct 7323 - Election Day	0	0	0	0	0	166	0	0	0	0	0	0
Precinct 7323	2	1	0	0	0	956	7	0	0	4	3	0
Precinct 7324 - Vote By Mail	0	0	0	0	0	587	0	0	0	0	0	0
Precinct 7324 - Election Day	1	0	0	0	0	150	1	0	0	0	1	0
Precinct 7324	1	0	0	0	0	737	1	0	0	0	1	0
Precinct 7325 - Vote By Mail	0	0	0	0	0	714	0	0	0	0	0	0
Precinct 7325 - Election Day	0	0	0	0	0	172	0	0	0	0	0	0
Precinct 7325	0	0	0	0	0	886	0	0	0	0	0	0
Precinct 7326 - Vote By Mail	0	0	0	1	0	685	2	0	0	1	1	0
Precinct 7326 - Election Day	1	0	0	0	0	174	3	0	0	1	2	1
Precinct 7326	1	0	0	1	0	859	5	0	0	2	3	1
Precinct 7327 - Vote By Mail	0	1	0	0	0	561	3	0	0	2	1	0
Precinct 7327 - Election Day	0	0	0	0	0	126	0	0	0	0	0	0
Precinct 7327	0	1	0	0	0	687	3	0	0	2	1	0
Precinct 7328 - Vote By Mail	0	0	0	0	0	829	2	0	0	2	0	0
Precinct 7328 - Election Day	0	0	0	0	0	173	1	0	0	1	0	0
Precinct 7328	0	0	0	0	0	1,002	3	0	0	3	0	0
Precinct 7329 - Vote By Mail	0	0	0	0	2	556	4	0	0	2	2	0
Precinct 7329 - Election Day	0	0	0	0	0	95	0	0	0	0	0	0
Precinct 7329	0	0	0	0	2	651	4	0	0	2	2	0
Precinct 7331 - Vote By Mail	0	0	0	0	0	710	1	0	0	1	0	0
Precinct 7331 - Election Day	0	0	0	0	0	160	1	0	0	0	1	1
Precinct 7331	0	0	0	0	0	870	2	0	0	1	1	1
Precinct 7332 - Vote By Mail	0	0	0	0	0	654	1	0	0	1	0	0
Precinct 7332 - Election Day	0	0	0	1	0	136	1	0	0	0	1	0
Precinct 7332	0	0	0	1	0	790	2	0	0	1	1	0
Precinct 7333 - Vote By Mail	0	1	0	0	0	822	7	0	0	6	1	0
Precinct 7333 - Election Day	0	0	0	0	0	193	1	0	0	1	0	0
Precinct 7333	0	1	0	0	0	1,015	8	0	0	7	1	0
Precinct 7334 - Vote By Mail	0	0	0	0	0	688	2	0	0	2	0	0
Precinct 7334 - Election Day	0	0	0	0	0	131	1	0	0	0	1	1
Precinct 7334	0	0	0	0	0	819	3	0	0	2	1	1
Precinct 7335 - Vote By Mail	0	0	2	0	0	788	5	0	0	3	2	0
Precinct 7335 - Election Day	1	0	1	0	0	146	2	0	0	0	2	0
Precinct 7335	1	0	3	0	0	934	7	0	0	3	4	0
Precinct 7336 - Vote By Mail	1	0	0	1	0	779	4	0	0	2	2	0
Precinct 7336 - Election Day	0	0	1	0	0	175	2	0	0	1	1	0
Precinct 7336	1	0	1	1	0	954	6	0	0	3	3	0
Precinct 7337 - Vote By Mail	0	0	0	0	0	772	3	0	0	3	0	0
Precinct 7337 - Election Day	1	0	0	0	0	125	1	0	0	0	1	0
Precinct 7337	1	0	0	0	0	897	4	0	0	3	1	0
Precinct 7338 - Vote By Mail	1	0	0	1	1	770	6	0	0	3	3	0
Precinct 7338 - Election Day	0	0	0	0	0	125	0	0	0	0	0	0
Precinct 7338	1	0	0	1	1	895	6	0	0	3	3	0
Precinct 7339 - Vote By Mail	1	0	0	0	0	605	1	0	0	0	1	0
Precinct 7339 - Election Day	0	0	0	1	0	150	1	0	0	0	1	0
Precinct 7339	1	0	0	1	0	755	2	0	0	0	2	0
Precinct 7341 - Vote By Mail	4	1	0	0	0	675	8	0	0	3	5	0
Precinct 7341 - Election Day	0	0	0	0	0	178	3	0	0	1	2	2
Precinct 7341	4	1	0	0	0	853	11	0	0	4	7	2
Precinct 7342 - Vote By Mail	0	0	0	0	0	674	6	0	0	6	0	0
Precinct 7342 - Election Day	0	0	0	0	0	230	3	0	0	1	2	2
Precinct 7342	0	0	0	0	0	904	9	0	0	7	2	2
Precinct 7343 - Vote By Mail	1	0	0	0	0	554	1	0	0	0	1	0
Precinct 7343 - Election Day	0	0	0	0	0	150	1	0	0	0	1	1
Precinct 7343	1	0	0	0	0	704	2	0	0	0	2	1
Precinct 7344 - Vote By Mail	0	0	0	0	0	863	1	0	0	1	0	0
Precinct 7344 - Election Day	1	0	0	0	0	201	2	0	0	1	1	0
Precinct 7344	1	0	0	0	0	1,064	3	0	0	2	1	0
Precinct 7345 - Vote By Mail	1	0	0	0	2	904	8	0	0	5	3	0
Precinct 7345 - Election Day	1	0	0	0	0	210	1	0	0	0	1	0
Precinct 7345	2	0	0	0	2	1,114	9	0	0	5	4	0
Precinct 7346 - Vote By Mail	2	0	0	0	0	681	4	0	0	2	2	0
Precinct 7346 - Election Day	0	1	0	0	1	208	4	0	0	0	4	2
Precinct 7346	2	1	0	0	1	889	8	0	0	2	6	2
Precinct 7347 - Vote By Mail	0	0	0	0	0	833	4	0	0	4	0	0
Precinct 7347 - Election Day	1	1	0	0	0	170	3	0	0	1	2	0
Precinct 7347	1	1	0	0	0	1,003	7	0	0	5	2	0
Precinct 7348 - Vote By Mail	1	1	1	0	0	650	4	0	0	1	3	0
Precinct 7348 - Election Day	0	0	0	0	0	193	0	0	0	0	0	0
Precinct 7348	1	1	1	0	0	843	4	0	0	1	3	0
Precinct 7349 - Vote By Mail	0	0	0	0	1	710	5	0	0	4	1	0
Precinct 7349 - Election Day	0	1	0	1	1	202	4	0	0	1	3	0
Precinct 7349	0	1	0	1	2	912	9	0	0	5	4	0
Precinct 7501 - Vote By Mail	0	0	0	0	0	456	1	0	0	1	0	0
Precinct 7501 - Election Day	1	0	0	0	0	95	2	0	0	1	1	0
Precinct 7501	1	0	0	0	0	551	3	0	0	2	1	0
Precinct 7502 - Vote By Mail	0	0	0	0	0	669	0	0	0	0	0	0
Precinct 7502 - Election Day	0	0	1	0	0	120	4	0	0	2	2	1
Precinct 7502	0	0	1	0	0	789	4	0	0	2	2	1
Precinct 7503 - Vote By Mail	2	0	0	0	0	614	4	0	0	2	2	0
Precinct 7503 - Election Day	0	1	0	0	1	148	2	0	0	0	2	0
Precinct 7503	2	1	0	0	1	762	6	0	0	2	4	0
Precinct 7504 - Vote By Mail	0	0	0	1	0	404	1	0	0	0	1	0
Precinct 7504 - Election Day	0	0	0	0	0	84	0	0	0	0	0	0
Precinct 7504	0	0	0	1	0	488	1	0	0	0	1	0
Precinct 7505 - Vote By Mail	1	1	0	1	0	729	6	0	0	3	3	0
Precinct 7505 - Election Day	0	0	0	1	0	133	1	0	0	0	1	0
Precinct 7505	1	1	0	2	0	862	7	0	0	3	4	0
Precinct 7506 - Vote By Mail	2	0	1	0	0	842	4	0	0	1	3	0
Precinct 7506 - Election Day	1	0	0	1	0	158	2	0	0	0	2	0
Precinct 7506	3	0	1	1	0	1,000	6	0	0	1	5	0
Precinct 7507 - Vote By Mail	0	0	0	2	0	694	4	0	0	2	2	0
Precinct 7507 - Election Day	0	0	0	0	0	262	1	0	0	1	0	0
Precinct 7507	0	0	0	2	0	956	5	0	0	3	2	0
Precinct 7508 - Vote By Mail	0	0	0	0	1	618	2	0	0	1	1	0
Precinct 7508 - Election Day	0	0	0	0	0	126	1	0	0	0	1	1
Precinct 7508	0	0	0	0	1	744	3	0	0	1	2	1
Precinct 7509/7511 - Vote By Mail	0	0	0	0	0	756	2	0	0	2	0	0
Precinct 7509/7511 - Election Day	1	0	0	0	0	173	4	0	0	2	2	1
Precinct 7509/7511	1	0	0	0	0	929	6	0	0	4	2	1
Precinct 7512 - Vote By Mail	0	0	0	0	0	476	2	0	0	2	0	0
Precinct 7512 - Election Day	0	0	0	0	0	124	0	0	0	0	0	0
Precinct 7512	0	0	0	0	0	600	2	0	0	2	0	0
Precinct 7513 - Vote By Mail	0	0	0	0	0	575	6	0	0	6	0	0
Precinct 7513 - Election Day	0	0	0	0	0	231	0	0	0	0	0	0
Precinct 7513	0	0	0	0	0	806	6	0	0	6	0	0
Precinct 7514 - Vote By Mail	0	0	0	1	0	709	2	0	0	1	1	0
Precinct 7514 - Election Day	0	0	0	0	0	207	0	0	0	0	0	0
Precinct 7514	0	0	0	1	0	916	2	0	0	1	1	0
Precinct 7515 - Vote By Mail	0	0	0	0	0	664	2	0	0	2	0	0
Precinct 7515 - Election Day	0	0	0	0	0	200	1	0	0	1	0	0
Precinct 7515	0	0	0	0	0	864	3	0	0	3	0	0
Precinct 7516 - Vote By Mail	0	0	0	0	0	773	1	0	0	1	0	0
Precinct 7516 - Election Day	0	0	0	0	0	147	0	0	0	0	0	0
Precinct 7516	0	0	0	0	0	920	1	0	0	1	0	0
Precinct 7517 - Vote By Mail	1	1	0	0	0	645	3	0	0	1	2	0
Precinct 7517 - Election Day	0	0	0	0	0	223	0	0	0	0	0	0
Precinct 7517	1	1	0	0	0	868	3	0	0	1	2	0
Precinct 7518 - Vote By Mail	1	0	1	0	0	708	4	0	0	2	2	0
Precinct 7518 - Election Day	0	0	0	0	0	218	0	0	0	0	0	0
Precinct 7518	1	0	1	0	0	926	4	0	0	2	2	0
Precinct 7519 - Vote By Mail	0	0	1	0	0	543	3	0	0	2	1	0
Precinct 7519 - Election Day	0	0	0	0	0	172	1	0	0	0	1	1
Precinct 7519	0	0	1	0	0	715	4	0	0	2	2	1
Precinct 7521 - Vote By Mail	0	0	0	0	0	597	0	0	0	0	0	0
Precinct 7521 - Election Day	1	0	0	0	0	182	3	0	0	2	1	0
Precinct 7521	1	0	0	0	0	779	3	0	0	2	1	0
Precinct 7522 - Vote By Mail	1	0	1	0	0	588	3	0	0	1	2	0
Precinct 7522 - Election Day	0	0	0	0	0	171	1	0	0	0	1	1
Precinct 7522	1	0	1	0	0	759	4	0	0	1	3	1
Precinct 7523 - Vote By Mail	0	0	0	0	0	564	0	0	0	0	0	0
Precinct 7523 - Election Day	0	0	1	0	0	180	3	0	0	1	2	1
Precinct 7523	0	0	1	0	0	744	3	0	0	1	2	1
Precinct 7524 - Vote By Mail	0	0	0	0	1	481	3	0	0	2	1	0
Precinct 7524 - Election Day	0	0	0	1	0	143	2	0	0	1	1	0
Precinct 7524	0	0	0	1	1	624	5	0	0	3	2	0
Precinct 7525 - Vote By Mail	0	0	0	0	0	594	1	0	0	1	0	0
Precinct 7525 - Election Day	1	0	0	0	0	170	3	0	0	2	1	0
Precinct 7525	1	0	0	0	0	764	4	0	0	3	1	0
Precinct 7526 - Vote By Mail	1	0	0	0	2	826	6	0	0	3	3	0
Precinct 7526 - Election Day	0	0	0	0	0	162	0	0	0	0	0	0
Precinct 7526	1	0	0	0	2	988	6	0	0	3	3	0
Precinct 7527/7528 - Vote By Mail	0	1	0	0	0	538	4	0	0	3	1	0
Precinct 7527/7528 - Election Day	0	0	0	1	0	172	2	0	0	1	1	0
Precinct 7527/7528	0	1	0	1	0	710	6	0	0	4	2	0
Precinct 7529 - Vote By Mail	0	0	0	0	0	749	0	0	0	0	0	0
Precinct 7529 - Election Day	0	0	0	0	0	154	0	0	0	0	0	0
Precinct 7529	0	0	0	0	0	903	0	0	0	0	0	0
Precinct 7531 - Vote By Mail	0	0	0	0	0	714	3	0	0	3	0	0
Precinct 7531 - Election Day	0	0	0	0	0	159	0	0	0	0	0	0
Precinct 7531	0	0	0	0	0	873	3	0	0	3	0	0
Precinct 7532 - Vote By Mail	0	0	0	0	1	668	4	0	0	3	1	0
Precinct 7532 - Election Day	0	0	0	0	0	167	0	0	0	0	0	0
Precinct 7532	0	0	0	0	1	835	4	0	0	3	1	0
Precinct 7533 - Vote By Mail	2	0	0	0	0	776	3	0	0	1	2	0
Precinct 7533 - Election Day	0	0	0	0	0	194	1	0	0	1	0	0
Precinct 7533	2	0	0	0	0	970	4	0	0	2	2	0
Precinct 7534 - Vote By Mail	0	0	0	0	0	670	0	0	0	0	0	0
Precinct 7534 - Election Day	0	0	0	0	0	233	1	0	0	0	1	1
Precinct 7534	0	0	0	0	0	903	1	0	0	0	1	1
Precinct 7535 - Vote By Mail	1	1	0	0	0	606	5	0	0	3	2	0
Precinct 7535 - Election Day	0	0	0	0	0	139	0	0	0	0	0	0
Precinct 7535	1	1	0	0	0	745	5	0	0	3	2	0
Precinct 7536 - Vote By Mail	0	0	0	0	0	670	1	0	0	1	0	0
Precinct 7536 - Election Day	1	0	0	0	0	163	3	0	0	1	2	1
Precinct 7536	1	0	0	0	0	833	4	0	0	2	2	1
Precinct 7537 - Vote By Mail	0	0	0	0	0	619	3	0	0	3	0	0
Precinct 7537 - Election Day	1	0	0	0	0	126	1	0	0	0	1	0
Precinct 7537	1	0	0	0	0	745	4	0	0	3	1	0
Precinct 7538 - Vote By Mail	0	0	0	0	0	562	2	0	0	2	0	0
Precinct 7538 - Election Day	0	0	0	0	0	189	0	0	0	0	0	0
Precinct 7538	0	0	0	0	0	751	2	0	0	2	0	0
Precinct 7539 - Vote By Mail	0	0	0	0	0	696	0	0	0	0	0	0
Precinct 7539 - Election Day	0	0	0	0	0	225	0	0	0	0	0	0
Precinct 7539	0	0	0	0	0	921	0	0	0	0	0	0
Precinct 7541 - Vote By Mail	0	0	0	0	0	601	1	0	0	1	0	0
Precinct 7541 - Election Day	0	0	1	0	0	169	1	0	0	0	1	0
Precinct 7541	0	0	1	0	0	770	2	0	0	1	1	0
Precinct 7542 - Vote By Mail	0	1	0	1	0	632	3	0	0	1	2	0
Precinct 7542 - Election Day	1	0	0	0	0	192	1	0	0	0	1	0
Precinct 7542	1	1	0	1	0	824	4	0	0	1	3	0
Precinct 7543 - Vote By Mail	0	0	0	0	0	694	4	0	0	4	0	0
Precinct 7543 - Election Day	0	0	0	0	0	230	0	0	0	0	0	0
Precinct 7543	0	0	0	0	0	924	4	0	0	4	0	0
Precinct 7544 - Vote By Mail	0	0	0	0	0	731	2	0	0	2	0	0
Precinct 7544 - Election Day	0	0	1	0	0	168	1	0	0	0	1	0
Precinct 7544	0	0	1	0	0	899	3	0	0	2	1	0
Precinct 7545 - Vote By Mail	0	1	0	2	0	723	4	0	0	1	3	0
Precinct 7545 - Election Day	0	0	0	0	0	172	0	0	0	0	0	0
Precinct 7545	0	1	0	2	0	895	4	0	0	1	3	0
Precinct 7546 - Vote By Mail	0	1	1	0	0	770	4	0	0	2	2	0
Precinct 7546 - Election Day	0	0	0	0	0	183	0	0	0	0	0	0
Precinct 7546	0	1	1	0	0	953	4	0	0	2	2	0
Precinct 7547 - Vote By Mail	0	0	0	0	0	799	1	0	0	1	0	0
Precinct 7547 - Election Day	0	0	1	0	0	182	2	0	0	1	1	0
Precinct 7547	0	0	1	0	0	981	3	0	0	2	1	0
Precinct 7548 - Vote By Mail	0	0	0	0	0	803	2	0	0	2	0	0
Precinct 7548 - Election Day	0	1	0	0	0	248	3	0	0	1	2	1
Precinct 7548	0	1	0	0	0	1,051	5	0	0	3	2	1
Precinct 7549 - Vote By Mail	0	0	2	0	0	660	6	0	1	3	2	0
Precinct 7549 - Election Day	0	0	0	0	0	146	0	0	0	0	0	0
Precinct 7549	0	0	2	0	0	806	6	0	1	3	2	0
Precinct 7551 - Vote By Mail	0	0	0	0	0	587	2	0	0	2	0	0
Precinct 7551 - Election Day	0	0	0	0	0	136	1	0	0	1	0	0
Precinct 7551	0	0	0	0	0	723	3	0	0	3	0	0
Precinct 7552 - Vote By Mail	0	0	0	0	0	561	1	0	0	1	0	0
Precinct 7552 - Election Day	0	0	0	0	1	124	1	0	0	0	1	0
Precinct 7552	0	0	0	0	1	685	2	0	0	1	1	0
Precinct 7553 MB - Vote By Mail	0	0	0	0	0	211	0	0	0	0	0	0
Precinct 7553 MB - Election Day	0	0	0	0	0	-20	0	0	0	0	0	0
Precinct 7553 MB	0	0	0	0	0	191	0	0	0	0	0	0
Precinct 7554 - Vote By Mail	0	1	3	2	0	653	6	0	0	0	6	0
Precinct 7554 - Election Day	1	0	0	0	0	168	2	0	0	1	1	0
Precinct 7554	1	1	3	2	0	821	8	0	0	1	7	0
Precinct 7555 - Vote By Mail	0	1	0	0	0	662	2	0	0	1	1	0
Precinct 7555 - Election Day	0	0	0	0	0	210	1	0	0	1	0	0
Precinct 7555	0	1	0	0	0	872	3	0	0	2	1	0
Precinct 7556/7557 - Vote By Mail	0	1	0	0	1	812	5	0	0	3	2	0
Precinct 7556/7557 - Election Day	1	1	0	0	0	154	2	0	0	0	2	0
Precinct 7556/7557	1	2	0	0	1	966	7	0	0	3	4	0
Precinct 7601 - Vote By Mail	0	1	0	0	0	485	2	0	0	1	1	0
Precinct 7601 - Election Day	0	0	0	0	0	192	2	0	0	2	0	0
Precinct 7601	0	1	0	0	0	677	4	0	0	3	1	0
Precinct 7602 - Vote By Mail	0	2	0	0	1	654	7	0	0	4	3	0
Precinct 7602 - Election Day	0	0	0	0	0	232	2	0	0	1	1	1
Precinct 7602	0	2	0	0	1	886	9	0	0	5	4	1
Precinct 7603 - Vote By Mail	0	0	1	0	1	615	3	0	0	1	2	0
Precinct 7603 - Election Day	0	0	0	0	0	200	4	0	0	3	1	1
Precinct 7603	0	0	1	0	1	815	7	0	0	4	3	1
Precinct 7604 - Vote By Mail	1	2	0	0	0	685	9	0	0	6	3	0
Precinct 7604 - Election Day	1	0	0	0	0	259	2	0	0	1	1	0
Precinct 7604	2	2	0	0	0	944	11	0	0	7	4	0
Precinct 7605 - Vote By Mail	0	0	0	0	0	468	2	0	0	2	0	0
Precinct 7605 - Election Day	0	0	0	0	0	193	0	0	0	0	0	0
Precinct 7605	0	0	0	0	0	661	2	0	0	2	0	0
Precinct 7606 - Vote By Mail	1	0	0	0	1	673	5	0	0	3	2	0
Precinct 7606 - Election Day	0	0	0	0	0	210	0	0	0	0	0	0
Precinct 7606	1	0	0	0	1	883	5	0	0	3	2	0
Precinct 7607 - Vote By Mail	0	0	0	0	0	712	2	0	0	2	0	0
Precinct 7607 - Election Day	1	0	0	0	0	207	2	0	0	1	1	0
Precinct 7607	1	0	0	0	0	919	4	0	0	3	1	0
Precinct 7608 - Vote By Mail	0	0	0	0	0	279	1	0	0	1	0	0
Precinct 7608 - Election Day	0	0	1	0	0	101	1	0	0	0	1	0
Precinct 7608	0	0	1	0	0	380	2	0	0	1	1	0
Precinct 7609 - Vote By Mail	0	1	0	1	0	699	5	0	0	3	2	0
Precinct 7609 - Election Day	0	0	0	2	0	185	3	0	0	1	2	0
Precinct 7609	0	1	0	3	0	884	8	0	0	4	4	0
Precinct 7611 - Vote By Mail	1	0	1	0	2	586	7	0	0	3	4	0
Precinct 7611 - Election Day	0	0	0	0	0	202	1	0	0	0	1	1
Precinct 7611	1	0	1	0	2	788	8	0	0	3	5	1
Precinct 7612 - Vote By Mail	1	1	1	0	0	452	6	0	0	3	3	0
Precinct 7612 - Election Day	0	0	0	0	1	105	1	0	0	0	1	0
Precinct 7612	1	1	1	0	1	557	7	0	0	3	4	0
Precinct 7613 - Vote By Mail	0	3	1	1	0	634	7	0	0	2	5	0
Precinct 7613 - Election Day	1	0	0	0	1	249	2	0	0	0	2	0
Precinct 7613	1	3	1	1	1	883	9	0	0	2	7	0
Precinct 7614 - Vote By Mail	1	1	0	0	0	713	3	0	0	1	2	0
Precinct 7614 - Election Day	0	0	0	0	0	203	0	0	0	0	0	0
Precinct 7614	1	1	0	0	0	916	3	0	0	1	2	0
Precinct 7615 - Vote By Mail	1	0	0	0	1	510	3	0	0	1	2	0
Precinct 7615 - Election Day	1	1	0	0	0	240	3	0	0	0	3	1
Precinct 7615	2	1	0	0	1	750	6	0	0	1	5	1
Precinct 7616 - Vote By Mail	0	0	0	0	0	754	1	0	0	1	0	0
Precinct 7616 - Election Day	0	0	0	0	0	82	2	0	0	2	0	0
Precinct 7616	0	0	0	0	0	836	3	0	0	3	0	0
Precinct 7617 - Vote By Mail	1	0	0	1	1	583	6	0	0	3	3	0
Precinct 7617 - Election Day	3	0	0	1	0	169	5	0	0	1	4	0
Precinct 7617	4	0	0	2	1	752	11	0	0	4	7	0
Precinct 7618 - Vote By Mail	0	0	0	0	0	763	3	0	0	3	0	0
Precinct 7618 - Election Day	0	0	0	0	0	151	0	0	0	0	0	0
Precinct 7618	0	0	0	0	0	914	3	0	0	3	0	0
Precinct 7619 - Vote By Mail	0	0	0	0	0	938	4	0	0	4	0	0
Precinct 7619 - Election Day	0	0	0	0	0	169	1	0	0	1	0	0
Precinct 7619	0	0	0	0	0	1,107	5	0	0	5	0	0
Precinct 7621 - Vote By Mail	0	0	0	2	0	1,006	5	0	0	3	2	0
Precinct 7621 - Election Day	0	0	0	0	0	149	0	0	0	0	0	0
Precinct 7621	0	0	0	2	0	1,155	5	0	0	3	2	0
Precinct 7622 - Vote By Mail	0	0	0	0	0	697	1	0	0	1	0	0
Precinct 7622 - Election Day	0	1	0	2	0	263	5	0	0	0	5	2
Precinct 7622	0	1	0	2	0	960	6	0	0	1	5	2
Precinct 7623 - Vote By Mail	0	1	0	2	1	767	5	0	0	1	4	0
Precinct 7623 - Election Day	0	0	0	0	0	237	1	0	0	1	0	0
Precinct 7623	0	1	0	2	1	1,004	6	0	0	2	4	0
Precinct 7624 - Vote By Mail	4	1	2	1	0	652	10	0	0	2	8	0
Precinct 7624 - Election Day	0	0	1	0	1	223	3	0	0	1	2	0
Precinct 7624	4	1	3	1	1	875	13	0	0	3	10	0
Precinct 7625 - Vote By Mail	0	0	2	0	0	749	2	0	0	0	2	0
Precinct 7625 - Election Day	0	0	0	0	0	73	2	0	0	2	0	0
Precinct 7625	0	0	2	0	0	822	4	0	0	2	2	0
Precinct 7626 - Vote By Mail	0	0	0	0	0	945	4	0	0	4	0	0
Precinct 7626 - Election Day	0	0	0	0	0	128	0	0	0	0	0	0
Precinct 7626	0	0	0	0	0	1,073	4	0	0	4	0	0
Precinct 7627 - Vote By Mail	0	0	0	0	0	457	3	0	0	3	0	0
Precinct 7627 - Election Day	0	0	0	0	0	67	0	0	0	0	0	0
Precinct 7627	0	0	0	0	0	524	3	0	0	3	0	0
Precinct 7628 - Vote By Mail	2	0	0	0	0	718	4	0	0	2	2	0
Precinct 7628 - Election Day	1	0	0	0	0	220	2	0	0	1	1	0
Precinct 7628	3	0	0	0	0	938	6	0	0	3	3	0
Precinct 7629 - Vote By Mail	0	0	0	0	1	691	2	0	0	1	1	0
Precinct 7629 - Election Day	0	0	1	0	0	162	2	0	0	1	1	0
Precinct 7629	0	0	1	0	1	853	4	0	0	2	2	0
Precinct 7631 - Vote By Mail	0	1	0	0	0	1,009	2	0	0	1	1	0
Precinct 7631 - Election Day	0	0	0	0	0	210	0	0	0	0	0	0
Precinct 7631	0	1	0	0	0	1,219	2	0	0	1	1	0
Precinct 7632 - Vote By Mail	0	0	0	0	0	1,002	0	0	0	0	0	0
Precinct 7632 - Election Day	1	0	0	0	0	169	1	0	0	0	1	0
Precinct 7632	1	0	0	0	0	1,171	1	0	0	0	1	0
Precinct 7633 - Vote By Mail	1	0	0	0	0	609	1	0	0	0	1	0
Precinct 7633 - Election Day	0	0	0	0	0	126	1	0	0	0	1	1
Precinct 7633	1	0	0	0	0	735	2	0	0	0	2	1
Precinct 7634 - Vote By Mail	0	1	2	0	0	704	5	0	0	2	3	0
Precinct 7634 - Election Day	0	1	1	0	0	186	2	0	0	0	2	0
Precinct 7634	0	2	3	0	0	890	7	0	0	2	5	0
Precinct 7635 - Vote By Mail	1	1	0	0	0	665	5	0	0	3	2	0
Precinct 7635 - Election Day	0	0	0	0	0	188	0	0	0	0	0	0
Precinct 7635	1	1	0	0	0	853	5	0	0	3	2	0
Precinct 7636 - Vote By Mail	1	0	2	0	0	798	3	0	0	0	3	0
Precinct 7636 - Election Day	0	0	0	0	0	161	1	0	0	1	0	0
Precinct 7636	1	0	2	0	0	959	4	0	0	1	3	0
Precinct 7637 - Vote By Mail	0	1	0	0	0	747	1	0	0	0	1	0
Precinct 7637 - Election Day	0	0	0	0	0	121	0	0	0	0	0	0
Precinct 7637	0	1	0	0	0	868	1	0	0	0	1	0
Precinct 7638 - Vote By Mail	0	1	0	1	1	806	5	0	0	2	3	0
Precinct 7638 - Election Day	1	0	0	0	0	83	1	0	0	0	1	0
Precinct 7638	1	1	0	1	1	889	6	0	0	2	4	0
Precinct 7639 - Vote By Mail	0	2	0	0	0	889	4	0	0	2	2	0
Precinct 7639 - Election Day	0	0	0	0	0	133	0	0	0	0	0	0
Precinct 7639	0	2	0	0	0	1,022	4	0	0	2	2	0
Precinct 7641 - Vote By Mail	1	1	0	0	0	817	10	0	0	8	2	0
Precinct 7641 - Election Day	1	0	0	0	0	134	1	0	0	0	1	0
Precinct 7641	2	1	0	0	0	951	11	0	0	8	3	0
Precinct 7642 - Vote By Mail	0	0	0	0	0	647	1	0	0	1	0	0
Precinct 7642 - Election Day	1	0	0	0	1	118	2	0	0	0	2	0
Precinct 7642	1	0	0	0	1	765	3	0	0	1	2	0
Precinct 7643 - Vote By Mail	0	0	0	0	0	810	3	0	0	3	0	0
Precinct 7643 - Election Day	0	0	0	0	0	131	0	0	0	0	0	0
Precinct 7643	0	0	0	0	0	941	3	0	0	3	0	0
Precinct 7644 - Vote By Mail	0	0	0	0	0	1,014	0	0	0	0	0	0
Precinct 7644 - Election Day	0	0	0	0	0	162	0	0	0	0	0	0
Precinct 7644	0	0	0	0	0	1,176	0	0	0	0	0	0
Precinct 7645 - Vote By Mail	0	0	0	0	0	595	2	0	0	2	0	0
Precinct 7645 - Election Day	0	2	0	0	0	61	3	0	0	1	2	0
Precinct 7645	0	2	0	0	0	656	5	0	0	3	2	0
Precinct 7646 - Vote By Mail	0	0	0	1	0	1,032	7	0	0	6	1	0
Precinct 7646 - Election Day	0	1	0	0	0	121	2	0	0	1	1	0
Precinct 7646	0	1	0	1	0	1,153	9	0	0	7	2	0
Precinct 7647 - Vote By Mail	0	0	0	0	0	724	3	0	0	3	0	0
Precinct 7647 - Election Day	0	0	0	0	0	263	1	0	0	1	0	0
Precinct 7647	0	0	0	0	0	987	4	0	0	4	0	0
