Subtotal Area	PHIL COLLINS	ROQUE "ROCKY" DE LA FUENTE	CHARLES KRAUT	J.R. MYERS	DON BLANKENSHIP	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 1126	1	0	0	0	0	1,012	3	0	0	2	1	0
Precinct 1127 - Vote By Mail	1	0	0	2	0	743	5	0	0	2	3	0
Precinct 1127 - Election Day	0	0	0	0	0	222	0	0	0	0	0	0
Precinct 1127	1	0	0	2	0	965	5	0	0	2	3	0
Precinct 1128 - Vote By Mail	0	0	0	1	1	734	4	0	0	2	2	0
Precinct 1128 - Election Day	0	0	0	0	0	145	0	0	0	0	0	0
Precinct 1128	0	0	0	1	1	879	4	0	0	2	2	0
Precinct 1129 - Vote By Mail	1	0	0	0	0	790	2	0	0	1	1	0
Precinct 1129 - Election Day	1	0	0	0	0	246	2	0	0	0	2	1
Precinct 1129	2	0	0	0	0	1,036	4	0	0	1	3	1
Precinct 1131 - Vote By Mail	1	0	0	0	0	694	2	0	0	1	1	0
Precinct 1131 - Election Day	0	0	0	0	0	166	0	0	0	0	0	0
Precinct 1131	1	0	0	0	0	860	2	0	0	1	1	0
Precinct 1132 - Vote By Mail	0	0	0	0	3	838	5	0	0	2	3	0
Precinct 1132 - Election Day	0	0	0	0	0	194	1	0	0	0	1	1
Precinct 1132	0	0	0	0	3	1,032	6	0	0	2	4	1
Precinct 1133 - Vote By Mail	0	0	1	1	0	716	5	0	0	3	2	0
Precinct 1133 - Election Day	0	0	1	0	0	159	2	0	0	1	1	0
Precinct 1133	0	0	2	1	0	875	7	0	0	4	3	0
Precinct 1134 - Vote By Mail	0	1	0	0	0	585	2	0	0	1	1	0
Precinct 1134 - Election Day	0	0	0	1	0	182	1	0	0	0	1	0
Precinct 1134	0	1	0	1	0	767	3	0	0	1	2	0
Precinct 1135 - Vote By Mail	0	0	0	2	2	465	9	0	0	5	4	0
Precinct 1135 - Election Day	0	0	0	1	0	91	2	0	0	0	2	1
Precinct 1135	0	0	0	3	2	556	11	0	0	5	6	1
Precinct 1136 - Vote By Mail	1	0	0	2	0	710	6	0	0	3	3	0
Precinct 1136 - Election Day	0	0	0	0	1	157	1	0	0	0	1	0
Precinct 1136	1	0	0	2	1	867	7	0	0	3	4	0
Precinct 1141 - Vote By Mail	0	0	0	0	0	836	1	0	0	1	0	0
Precinct 1141 - Election Day	1	0	0	0	1	220	2	0	0	0	2	0
Precinct 1141	1	0	0	0	1	1,056	3	0	0	1	2	0
Precinct 1142 - Vote By Mail	0	0	0	0	0	721	3	0	0	3	0	0
Precinct 1142 - Election Day	0	2	0	0	0	175	3	0	0	1	2	0
Precinct 1142	0	2	0	0	0	896	6	0	0	4	2	0
Precinct 1143 - Vote By Mail	0	1	0	0	0	824	5	0	0	4	1	0
Precinct 1143 - Election Day	0	1	0	0	0	225	2	0	0	1	1	0
Precinct 1143	0	2	0	0	0	1,049	7	0	0	5	2	0
Precinct 1144 - Vote By Mail	0	0	0	0	1	727	5	0	0	4	1	0
Precinct 1144 - Election Day	0	0	0	0	0	220	1	0	0	0	1	1
Precinct 1144	0	0	0	0	1	947	6	0	0	4	2	1
Precinct 1145 - Vote By Mail	0	0	0	1	0	753	7	0	0	6	1	0
Precinct 1145 - Election Day	0	0	0	0	0	152	1	0	0	1	0	0
Precinct 1145	0	0	0	1	0	905	8	0	0	7	1	0
Precinct 1146 - Vote By Mail	2	0	0	1	1	839	7	0	0	3	4	0
Precinct 1146 - Election Day	0	0	1	0	0	215	5	0	0	3	2	1
Precinct 1146	2	0	1	1	1	1,054	12	0	0	6	6	1
Precinct 1147 - Vote By Mail	0	0	0	0	0	673	4	0	0	4	0	0
