Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts	211,226	45,101	503,899	275,013	0	54	18,632	256,327
All Precincts - Election Day	61,485	11,014	101,053	78,221	0	14	5,708	72,499
All Precincts - Vote By Mail	149,741	34,087	402,846	196,792	0	40	12,924	183,828
Precinct 1101 - Vote By Mail	154	46	448	214	0	0	14	200
Precinct 1101 - Election Day	45	10	114	60	0	0	5	55
Precinct 1101	199	56	562	274	0	0	19	255
Precinct 1102 - Vote By Mail	249	104	774	368	0	0	15	353
Precinct 1102 - Election Day	118	32	230	159	0	0	9	150
Precinct 1102	367	136	1,004	527	0	0	24	503
Precinct 1103 - Vote By Mail	270	82	749	371	0	0	19	352
Precinct 1103 - Election Day	109	27	222	142	0	0	6	136
Precinct 1103	379	109	971	513	0	0	25	488
Precinct 1104/1105 - Vote By Mail	263	68	751	343	0	0	12	331
Precinct 1104/1105 - Election Day	93	22	267	120	0	0	5	115
Precinct 1104/1105	356	90	1,018	463	0	0	17	446
Precinct 1106 - Vote By Mail	163	76	598	255	0	0	16	239
Precinct 1106 - Election Day	68	21	173	96	0	1	6	89
Precinct 1106	231	97	771	351	0	1	22	328
Precinct 1107 - Vote By Mail	186	87	612	287	0	0	14	273
Precinct 1107 - Election Day	57	12	139	76	0	0	7	69
Precinct 1107	243	99	751	363	0	0	21	342
Precinct 1108 - Vote By Mail	272	71	725	360	0	0	17	343
Precinct 1108 - Election Day	84	22	198	115	0	0	9	106
Precinct 1108	356	93	923	475	0	0	26	449
Precinct 1109 - Vote By Mail	183	89	653	284	0	0	12	272
Precinct 1109 - Election Day	74	19	169	97	0	0	4	93
Precinct 1109	257	108	822	381	0	0	16	365
Precinct 1111 - Vote By Mail	235	102	849	354	0	0	17	337
Precinct 1111 - Election Day	89	23	197	118	0	0	6	112
Precinct 1111	324	125	1,046	472	0	0	23	449
Precinct 1112 - Vote By Mail	196	66	643	276	0	0	14	262
Precinct 1112 - Election Day	60	12	159	77	0	0	5	72
Precinct 1112	256	78	802	353	0	0	19	334
Precinct 1113 - Vote By Mail	190	81	675	286	0	0	15	271
Precinct 1113 - Election Day	49	10	120	65	0	0	6	59
Precinct 1113	239	91	795	351	0	0	21	330
Precinct 1114 - Vote By Mail	240	66	769	328	0	0	22	306
Precinct 1114 - Election Day	78	10	222	97	0	0	9	88
Precinct 1114	318	76	991	425	0	0	31	394
Precinct 1115 - Vote By Mail	201	78	743	295	0	0	16	279
Precinct 1115 - Election Day	68	16	193	86	0	0	2	84
Precinct 1115	269	94	936	381	0	0	18	363
Precinct 1116 - Vote By Mail	217	73	715	308	0	0	18	290
Precinct 1116 - Election Day	102	9	216	118	0	0	7	111
Precinct 1116	319	82	931	426	0	0	25	401
Precinct 1117 - Vote By Mail	182	61	665	257	0	0	14	243
Precinct 1117 - Election Day	59	9	181	71	0	0	3	68
Precinct 1117	241	70	846	328	0	0	17	311
Precinct 1118 - Vote By Mail	245	97	846	356	0	0	14	342
Precinct 1118 - Election Day	74	20	219	104	0	0	10	94
Precinct 1118	319	117	1,065	460	0	0	24	436
Precinct 1119 - Vote By Mail	226	65	659	303	0	0	12	291
Precinct 1119 - Election Day	64	4	138	74	0	0	6	68
Precinct 1119	290	69	797	377	0	0	18	359
Precinct 1121 - Vote By Mail	164	84	556	268	0	0	20	248
Precinct 1121 - Election Day	55	21	149	82	0	0	6	76
Precinct 1121	219	105	705	350	0	0	26	324
Precinct 1122 - Vote By Mail	163	69	519	245	0	0	13	232
Precinct 1122 - Election Day	55	11	118	71	0	0	5	66
Precinct 1122	218	80	637	316	0	0	18	298
Precinct 1123 - Vote By Mail	164	77	730	257	0	0	16	241
Precinct 1123 - Election Day	67	16	208	89	0	0	6	83
Precinct 1123	231	93	938	346	0	0	22	324
Precinct 1124 - Vote By Mail	180	57	630	246	0	2	7	237
Precinct 1124 - Election Day	61	9	199	73	0	0	3	70
Precinct 1124	241	66	829	319	0	2	10	307
Precinct 1125 - Vote By Mail	231	102	919	364	0	0	31	333
Precinct 1125 - Election Day	54	6	178	67	0	0	7	60
Precinct 1125	285	108	1,097	431	0	0	38	393
Precinct 1126 - Vote By Mail	223	69	812	308	0	0	16	292
Precinct 1126 - Election Day	53	14	200	68	0	0	1	67
Precinct 1126	276	83	1,012	376	0	0	17	359
Precinct 1127 - Vote By Mail	186	95	743	293	0	0	12	281
Precinct 1127 - Election Day	75	22	222	100	0	0	3	97
Precinct 1127	261	117	965	393	0	0	15	378
Precinct 1128 - Vote By Mail	180	93	734	286	0	0	13	273
Precinct 1128 - Election Day	42	11	145	59	0	0	6	53
Precinct 1128	222	104	879	345	0	0	19	326
Precinct 1129 - Vote By Mail	201	91	790	314	0	0	22	292
Precinct 1129 - Election Day	68	27	246	108	0	0	13	95
Precinct 1129	269	118	1,036	422	0	0	35	387
Precinct 1131 - Vote By Mail	180	77	694	279	0	0	22	257
Precinct 1131 - Election Day	49	7	166	60	0	0	4	56
Precinct 1131	229	84	860	339	0	0	26	313
Precinct 1132 - Vote By Mail	252	94	839	370	0	0	24	346
Precinct 1132 - Election Day	38	21	193	59	0	0	0	59
Precinct 1132	290	115	1,032	429	0	0	24	405
Precinct 1133 - Vote By Mail	243	79	716	334	0	0	12	322
Precinct 1133 - Election Day	51	20	159	74	0	0	3	71
Precinct 1133	294	99	875	408	0	0	15	393
Precinct 1134 - Vote By Mail	180	101	585	292	0	0	11	281
Precinct 1134 - Election Day	64	9	182	80	0	0	7	73
Precinct 1134	244	110	767	372	0	0	18	354
Precinct 1135 - Vote By Mail	153	60	465	218	0	0	5	213
Precinct 1135 - Election Day	41	9	91	51	0	0	1	50
Precinct 1135	194	69	556	269	0	0	6	263
Precinct 1136 - Vote By Mail	243	81	710	340	0	0	16	324
Precinct 1136 - Election Day	63	10	157	77	0	0	4	73
Precinct 1136	306	91	867	417	0	0	20	397
Precinct 1141 - Vote By Mail	268	105	836	392	0	0	19	373
Precinct 1141 - Election Day	92	27	220	123	0	0	4	119
Precinct 1141	360	132	1,056	515	0	0	23	492
Precinct 1142 - Vote By Mail	238	60	721	324	0	0	26	298
Precinct 1142 - Election Day	73	11	175	87	0	0	3	84
Precinct 1142	311	71	896	411	0	0	29	382
Precinct 1143 - Vote By Mail	242	96	824	360	0	0	22	338
Precinct 1143 - Election Day	92	15	225	114	0	0	7	107
Precinct 1143	334	111	1,049	474	0	0	29	445
Precinct 1144 - Vote By Mail	220	96	727	326	0	0	10	316
Precinct 1144 - Election Day	86	26	220	121	0	0	9	112
Precinct 1144	306	122	947	447	0	0	19	428
Precinct 1145 - Vote By Mail	274	112	753	411	0	0	25	386
Precinct 1145 - Election Day	83	23	152	114	0	0	8	106
Precinct 1145	357	135	905	525	0	0	33	492
Precinct 1146 - Vote By Mail	276	73	839	364	0	0	15	349
Precinct 1146 - Election Day	79	24	215	110	0	0	7	103
Precinct 1146	355	97	1,054	474	0	0	22	452
Precinct 1147 - Vote By Mail	215	83	673	309	0	0	11	298
Precinct 1147 - Election Day	82	20	212	107	0	0	5	102
Precinct 1147	297	103	885	416	0	0	16	400
Precinct 1148 - Vote By Mail	244	107	804	367	0	0	16	351
