Subtotal Area	DAVID ROLDE	HOWIE HAWKINS	DARIO HUNTER	DENNIS LAMBERT	SEDINAM MOYOWASIFZA-CURRY	KENT MESPLAY	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7311 - Election Day	0	1	0	0	0	0	208	1	0	0	0	1	0
Precinct 7311	0	1	0	0	0	0	906	2	0	0	1	1	0
Precinct 7312 - Vote By Mail	0	1	0	0	0	0	700	1	0	0	0	1	0
Precinct 7312 - Election Day	0	0	0	0	0	0	110	0	0	0	0	0	0
Precinct 7312	0	1	0	0	0	0	810	1	0	0	0	1	0
Precinct 7313 - Vote By Mail	0	0	0	0	0	0	819	0	0	0	0	0	0
Precinct 7313 - Election Day	0	0	0	0	1	0	184	1	0	0	0	1	0
Precinct 7313	0	0	0	0	1	0	1,003	1	0	0	0	1	0
Precinct 7314 - Vote By Mail	0	0	0	0	0	0	612	0	0	0	0	0	0
Precinct 7314 - Election Day	0	0	0	0	0	0	147	1	0	0	1	0	0
Precinct 7314	0	0	0	0	0	0	759	1	0	0	1	0	0
Precinct 7315 - Vote By Mail	0	0	0	0	0	0	570	0	0	0	0	0	0
Precinct 7315 - Election Day	0	0	0	0	0	0	195	0	0	0	0	0	0
Precinct 7315	0	0	0	0	0	0	765	0	0	0	0	0	0
Precinct 7316 - Vote By Mail	0	1	0	0	0	0	654	2	0	0	1	1	0
Precinct 7316 - Election Day	0	1	0	0	1	0	178	2	0	0	0	2	0
Precinct 7316	0	2	0	0	1	0	832	4	0	0	1	3	0
Precinct 7317 - Vote By Mail	0	0	1	0	0	0	744	2	0	0	1	1	0
Precinct 7317 - Election Day	0	0	0	0	0	0	146	0	0	0	0	0	0
Precinct 7317	0	0	1	0	0	0	890	2	0	0	1	1	0
Precinct 7318 - Vote By Mail	0	0	0	1	0	0	605	2	0	0	1	1	0
Precinct 7318 - Election Day	0	0	0	0	0	0	118	1	0	0	0	1	1
Precinct 7318	0	0	0	1	0	0	723	3	0	0	1	2	1
Precinct 7319 - Vote By Mail	0	2	0	0	0	0	861	2	0	0	0	2	0
Precinct 7319 - Election Day	0	0	0	0	0	0	188	0	0	0	0	0	0
Precinct 7319	0	2	0	0	0	0	1,049	2	0	0	0	2	0
Precinct 7321 - Vote By Mail	0	0	0	0	0	0	557	2	0	0	2	0	0
Precinct 7321 - Election Day	0	0	0	0	0	0	102	0	0	0	0	0	0
Precinct 7321	0	0	0	0	0	0	659	2	0	0	2	0	0
Precinct 7322 - Vote By Mail	0	0	0	0	0	0	742	0	0	0	0	0	0
Precinct 7322 - Election Day	0	0	0	0	0	0	146	0	0	0	0	0	0
Precinct 7322	0	0	0	0	0	0	888	0	0	0	0	0	0
Precinct 7323 - Vote By Mail	0	0	1	0	0	0	790	2	0	0	1	1	0
Precinct 7323 - Election Day	0	0	0	0	0	0	166	0	0	0	0	0	0
Precinct 7323	0	0	1	0	0	0	956	2	0	0	1	1	0
Precinct 7324 - Vote By Mail	0	0	0	0	0	0	587	0	0	0	0	0	0
Precinct 7324 - Election Day	0	0	0	0	0	0	150	1	0	0	0	1	1
Precinct 7324	0	0	0	0	0	0	737	1	0	0	0	1	1
Precinct 7325 - Vote By Mail	0	0	0	0	0	0	714	0	0	0	0	0	0
Precinct 7325 - Election Day	0	0	0	0	0	0	172	0	0	0	0	0	0
Precinct 7325	0	0	0	0	0	0	886	0	0	0	0	0	0
Precinct 7326 - Vote By Mail	0	0	0	0	0	0	685	1	0	0	1	0	0
Precinct 7326 - Election Day	0	0	0	0	0	0	174	0	0	0	0	0	0
Precinct 7326	0	0	0	0	0	0	859	1	0	0	1	0	0
Precinct 7327 - Vote By Mail	0	1	0	0	0	0	561	1	0	0	0	1	0
Precinct 7327 - Election Day	0	1	0	0	0	0	126	1	0	0	0	1	0
Precinct 7327	0	2	0	0	0	0	687	2	0	0	0	2	0
Precinct 7328 - Vote By Mail	0	0	0	0	0	0	829	0	0	0	0	0	0
Precinct 7328 - Election Day	0	0	0	0	0	0	173	0	0	0	0	0	0
Precinct 7328	0	0	0	0	0	0	1,002	0	0	0	0	0	0
Precinct 7329 - Vote By Mail	0	0	0	0	0	0	556	0	0	0	0	0	0
Precinct 7329 - Election Day	0	0	0	0	0	0	95	0	0	0	0	0	0
Precinct 7329	0	0	0	0	0	0	651	0	0	0	0	0	0
Precinct 7331 - Vote By Mail	0	0	0	0	0	0	710	0	0	0	0	0	0
Precinct 7331 - Election Day	0	0	0	0	0	0	160	0	0	0	0	0	0
Precinct 7331	0	0	0	0	0	0	870	0	0	0	0	0	0
Precinct 7332 - Vote By Mail	1	0	1	0	0	0	654	2	0	0	0	2	0
Precinct 7332 - Election Day	0	1	0	0	0	0	136	1	0	0	0	1	0
Precinct 7332	1	1	1	0	0	0	790	3	0	0	0	3	0
Precinct 7333 - Vote By Mail	0	1	0	0	0	0	822	1	0	0	0	1	0
Precinct 7333 - Election Day	0	0	0	0	0	0	193	0	0	0	0	0	0
Precinct 7333	0	1	0	0	0	0	1,015	1	0	0	0	1	0
Precinct 7334 - Vote By Mail	0	0	0	0	0	0	688	1	0	0	1	0	0
Precinct 7334 - Election Day	0	0	0	0	0	0	131	0	0	0	0	0	0
Precinct 7334	0	0	0	0	0	0	819	1	0	0	1	0	0
Precinct 7335 - Vote By Mail	0	0	0	0	1	0	788	2	0	0	1	1	0
Precinct 7335 - Election Day	0	0	0	0	0	0	146	0	0	0	0	0	0
Precinct 7335	0	0	0	0	1	0	934	2	0	0	1	1	0
Precinct 7336 - Vote By Mail	0	1	0	0	0	0	779	4	0	0	3	1	0
Precinct 7336 - Election Day	0	0	0	0	0	0	175	0	0	0	0	0	0
Precinct 7336	0	1	0	0	0	0	954	4	0	0	3	1	0
Precinct 7337 - Vote By Mail	0	0	0	0	0	0	772	0	0	0	0	0	0
Precinct 7337 - Election Day	0	0	0	0	0	0	125	0	0	0	0	0	0
Precinct 7337	0	0	0	0	0	0	897	0	0	0	0	0	0
Precinct 7338 - Vote By Mail	0	0	0	0	0	0	770	0	0	0	0	0	0
Precinct 7338 - Election Day	0	0	0	0	0	0	125	0	0	0	0	0	0
Precinct 7338	0	0	0	0	0	0	895	0	0	0	0	0	0
Precinct 7339 - Vote By Mail	0	0	1	0	0	0	605	1	0	0	0	1	0
Precinct 7339 - Election Day	0	0	0	0	1	0	150	1	0	0	0	1	0
Precinct 7339	0	0	1	0	1	0	755	2	0	0	0	2	0
Precinct 7341 - Vote By Mail	0	0	0	0	0	0	675	0	0	0	0	0	0
Precinct 7341 - Election Day	0	1	0	0	0	0	178	1	0	0	0	1	0
Precinct 7341	0	1	0	0	0	0	853	1	0	0	0	1	0
Precinct 7342 - Vote By Mail	0	0	1	0	0	0	674	1	0	0	0	1	0
Precinct 7342 - Election Day	0	0	0	0	0	0	230	0	0	0	0	0	0
Precinct 7342	0	0	1	0	0	0	904	1	0	0	0	1	0
Precinct 7343 - Vote By Mail	0	1	0	0	0	0	554	2	0	0	1	1	0
Precinct 7343 - Election Day	0	0	0	0	0	0	150	0	0	0	0	0	0
Precinct 7343	0	1	0	0	0	0	704	2	0	0	1	1	0
Precinct 7344 - Vote By Mail	0	0	0	0	0	0	863	2	0	0	2	0	0
Precinct 7344 - Election Day	0	0	0	0	0	0	201	0	0	0	0	0	0
Precinct 7344	0	0	0	0	0	0	1,064	2	0	0	2	0	0
Precinct 7345 - Vote By Mail	0	2	1	0	0	0	904	3	0	0	0	3	0
Precinct 7345 - Election Day	0	0	0	0	0	0	210	0	0	0	0	0	0
Precinct 7345	0	2	1	0	0	0	1,114	3	0	0	0	3	0
Precinct 7346 - Vote By Mail	0	1	0	1	1	0	681	3	0	0	0	3	0
Precinct 7346 - Election Day	1	0	0	0	0	0	208	2	0	0	0	2	1
Precinct 7346	1	1	0	1	1	0	889	5	0	0	0	5	1
Precinct 7347 - Vote By Mail	0	1	1	0	0	0	833	5	0	0	3	2	0
Precinct 7347 - Election Day	0	0	0	0	0	0	170	0	0	0	0	0	0
Precinct 7347	0	1	1	0	0	0	1,003	5	0	0	3	2	0
Precinct 7348 - Vote By Mail	0	0	0	0	0	0	650	0	0	0	0	0	0
Precinct 7348 - Election Day	0	0	0	0	0	0	193	0	0	0	0	0	0
Precinct 7348	0	0	0	0	0	0	843	0	0	0	0	0	0
Precinct 7349 - Vote By Mail	0	0	0	0	0	0	710	0	0	0	0	0	0
Precinct 7349 - Election Day	0	0	0	0	0	0	202	0	0	0	0	0	0
Precinct 7349	0	0	0	0	0	0	912	0	0	0	0	0	0
Precinct 7501 - Vote By Mail	0	0	0	0	0	0	456	0	0	0	0	0	0
Precinct 7501 - Election Day	0	0	0	0	0	0	95	0	0	0	0	0	0
Precinct 7501	0	0	0	0	0	0	551	0	0	0	0	0	0
Precinct 7502 - Vote By Mail	0	1	0	0	0	0	668	2	0	0	1	1	0
Precinct 7502 - Election Day	0	0	0	0	0	0	121	0	0	0	0	0	0
Precinct 7502	0	1	0	0	0	0	789	2	0	0	1	1	0
Precinct 7503 - Vote By Mail	0	0	0	0	0	0	614	0	0	0	0	0	0
Precinct 7503 - Election Day	0	0	0	0	0	0	148	0	0	0	0	0	0
Precinct 7503	0	0	0	0	0	0	762	0	0	0	0	0	0
Precinct 7504 - Vote By Mail	0	0	0	0	0	0	404	0	0	0	0	0	0
Precinct 7504 - Election Day	0	0	0	0	0	0	84	0	0	0	0	0	0
Precinct 7504	0	0	0	0	0	0	488	0	0	0	0	0	0
Precinct 7505 - Vote By Mail	0	0	0	0	1	0	729	1	0	0	0	1	0
Precinct 7505 - Election Day	0	0	0	0	0	0	133	0	0	0	0	0	0
Precinct 7505	0	0	0	0	1	0	862	1	0	0	0	1	0
Precinct 7506 - Vote By Mail	0	0	0	0	0	0	842	1	0	0	1	0	0
Precinct 7506 - Election Day	0	0	0	0	0	0	158	0	0	0	0	0	0
Precinct 7506	0	0	0	0	0	0	1,000	1	0	0	1	0	0
Precinct 7507 - Vote By Mail	0	0	0	0	0	0	694	1	0	0	1	0	0
Precinct 7507 - Election Day	0	0	0	0	0	0	262	0	0	0	0	0	0
Precinct 7507	0	0	0	0	0	0	956	1	0	0	1	0	0
Precinct 7508 - Vote By Mail	0	0	0	1	0	0	618	1	0	0	0	1	0
Precinct 7508 - Election Day	0	1	0	0	0	0	126	2	0	0	1	1	0
Precinct 7508	0	1	0	1	0	0	744	3	0	0	1	2	0
Precinct 7509/7511 - Vote By Mail	0	0	0	0	0	0	756	1	0	0	1	0	0
Precinct 7509/7511 - Election Day	0	0	0	0	0	0	173	0	0	0	0	0	0
Precinct 7509/7511	0	0	0	0	0	0	929	1	0	0	1	0	0
Precinct 7512 - Vote By Mail	0	1	0	0	0	0	475	1	0	0	0	1	0
Precinct 7512 - Election Day	0	0	0	0	0	0	125	0	0	0	0	0	0
Precinct 7512	0	1	0	0	0	0	600	1	0	0	0	1	0
Precinct 7513 - Vote By Mail	0	0	0	0	0	0	575	1	0	0	1	0	0
Precinct 7513 - Election Day	0	0	0	0	0	0	231	0	0	0	0	0	0
Precinct 7513	0	0	0	0	0	0	806	1	0	0	1	0	0
Precinct 7514 - Vote By Mail	0	0	0	0	0	0	709	0	0	0	0	0	0
Precinct 7514 - Election Day	0	1	0	0	0	0	207	1	0	0	0	1	0
Precinct 7514	0	1	0	0	0	0	916	1	0	0	0	1	0
Precinct 7515 - Vote By Mail	0	0	0	1	0	0	663	2	0	0	1	1	0
Precinct 7515 - Election Day	0	0	0	0	0	0	201	0	0	0	0	0	0
Precinct 7515	0	0	0	1	0	0	864	2	0	0	1	1	0
Precinct 7516 - Vote By Mail	0	0	1	0	0	0	773	1	0	0	0	1	0
Precinct 7516 - Election Day	0	0	0	0	0	0	147	0	0	0	0	0	0
Precinct 7516	0	0	1	0	0	0	920	1	0	0	0	1	0
Precinct 7517 - Vote By Mail	0	0	0	0	0	0	645	1	0	0	1	0	0
Precinct 7517 - Election Day	0	0	0	0	0	0	223	0	0	0	0	0	0
Precinct 7517	0	0	0	0	0	0	868	1	0	0	1	0	0
Precinct 7518 - Vote By Mail	0	0	0	0	0	0	708	0	0	0	0	0	0
Precinct 7518 - Election Day	0	0	0	0	0	0	218	3	0	0	0	3	3
Precinct 7518	0	0	0	0	0	0	926	3	0	0	0	3	3
Precinct 7519 - Vote By Mail	0	1	1	0	0	0	543	4	0	0	2	2	0
Precinct 7519 - Election Day	0	0	0	0	0	0	172	0	0	0	0	0	0
Precinct 7519	0	1	1	0	0	0	715	4	0	0	2	2	0
Precinct 7521 - Vote By Mail	0	0	0	0	0	0	597	0	0	0	0	0	0
Precinct 7521 - Election Day	0	0	0	0	0	0	182	1	0	0	1	0	0
Precinct 7521	0	0	0	0	0	0	779	1	0	0	1	0	0
Precinct 7522 - Vote By Mail	0	0	0	0	0	0	588	0	0	0	0	0	0
Precinct 7522 - Election Day	0	0	0	0	1	0	171	1	0	0	0	1	0
Precinct 7522	0	0	0	0	1	0	759	1	0	0	0	1	0
Precinct 7523 - Vote By Mail	0	2	0	0	1	0	564	4	0	0	1	3	0
Precinct 7523 - Election Day	0	0	0	0	1	0	180	3	0	0	1	2	1
Precinct 7523	0	2	0	0	2	0	744	7	0	0	2	5	1
Precinct 7524 - Vote By Mail	0	0	0	0	1	0	480	2	0	0	1	1	0
Precinct 7524 - Election Day	0	0	0	0	0	0	144	0	0	0	0	0	0
Precinct 7524	0	0	0	0	1	0	624	2	0	0	1	1	0
Precinct 7525 - Vote By Mail	1	1	0	0	0	0	594	4	0	0	2	2	0
Precinct 7525 - Election Day	0	0	0	0	0	0	170	0	0	0	0	0	0
Precinct 7525	1	1	0	0	0	0	764	4	0	0	2	2	0
Precinct 7526 - Vote By Mail	0	0	0	0	0	0	826	0	0	0	0	0	0
Precinct 7526 - Election Day	0	1	0	0	0	0	162	1	0	0	0	1	0
Precinct 7526	0	1	0	0	0	0	988	1	0	0	0	1	0
Precinct 7527/7528 - Vote By Mail	0	0	0	0	0	0	538	1	0	0	1	0	0
Precinct 7527/7528 - Election Day	0	1	0	0	0	0	172	1	0	0	0	1	0
Precinct 7527/7528	0	1	0	0	0	0	710	2	0	0	1	1	0
Precinct 7529 - Vote By Mail	0	1	2	0	0	0	749	4	0	0	1	3	0
Precinct 7529 - Election Day	0	0	0	1	0	0	154	1	0	0	0	1	0
Precinct 7529	0	1	2	1	0	0	903	5	0	0	1	4	0
Precinct 7531 - Vote By Mail	0	0	0	0	0	0	714	0	0	0	0	0	0
Precinct 7531 - Election Day	0	0	0	0	0	0	159	1	0	0	1	0	0
Precinct 7531	0	0	0	0	0	0	873	1	0	0	1	0	0
Precinct 7532 - Vote By Mail	0	0	0	0	0	0	668	0	0	0	0	0	0
Precinct 7532 - Election Day	0	0	0	0	0	0	167	0	0	0	0	0	0
Precinct 7532	0	0	0	0	0	0	835	0	0	0	0	0	0
Precinct 7533 - Vote By Mail	0	0	0	0	1	0	776	1	0	0	0	1	0
Precinct 7533 - Election Day	0	1	0	1	0	0	194	3	0	0	1	2	0
Precinct 7533	0	1	0	1	1	0	970	4	0	0	1	3	0
Precinct 7534 - Vote By Mail	0	0	0	1	0	0	670	1	0	0	0	1	0
Precinct 7534 - Election Day	0	0	0	0	0	0	233	0	0	0	0	0	0
Precinct 7534	0	0	0	1	0	0	903	1	0	0	0	1	0
Precinct 7535 - Vote By Mail	0	1	1	0	0	0	606	3	0	0	1	2	0
Precinct 7535 - Election Day	0	0	0	1	1	0	139	2	0	0	0	2	0
Precinct 7535	0	1	1	1	1	0	745	5	0	0	1	4	0
Precinct 7536 - Vote By Mail	0	0	0	0	0	0	670	0	0	0	0	0	0
Precinct 7536 - Election Day	0	0	0	0	1	0	163	1	0	0	0	1	0
Precinct 7536	0	0	0	0	1	0	833	1	0	0	0	1	0
Precinct 7537 - Vote By Mail	0	1	0	0	0	0	619	1	0	0	0	1	0
Precinct 7537 - Election Day	0	0	0	0	0	0	126	0	0	0	0	0	0
Precinct 7537	0	1	0	0	0	0	745	1	0	0	0	1	0
Precinct 7538 - Vote By Mail	0	1	0	0	0	0	562	2	0	0	1	1	0
Precinct 7538 - Election Day	0	0	0	0	1	0	189	1	0	0	0	1	0
Precinct 7538	0	1	0	0	1	0	751	3	0	0	1	2	0
Precinct 7539 - Vote By Mail	0	1	1	1	0	0	696	4	0	0	1	3	0
Precinct 7539 - Election Day	0	0	0	1	0	0	225	1	0	0	0	1	0
Precinct 7539	0	1	1	2	0	0	921	5	0	0	1	4	0
Precinct 7541 - Vote By Mail	0	0	0	0	0	0	600	0	0	0	0	0	0
Precinct 7541 - Election Day	0	0	0	0	0	0	170	0	0	0	0	0	0
Precinct 7541	0	0	0	0	0	0	770	0	0	0	0	0	0
Precinct 7542 - Vote By Mail	0	0	0	0	1	0	632	2	0	0	1	1	0
Precinct 7542 - Election Day	0	1	0	0	0	0	192	3	0	0	0	3	2
Precinct 7542	0	1	0	0	1	0	824	5	0	0	1	4	2
Precinct 7543 - Vote By Mail	0	1	0	0	0	0	694	2	0	0	1	1	0
Precinct 7543 - Election Day	0	0	0	0	0	0	230	0	0	0	0	0	0
Precinct 7543	0	1	0	0	0	0	924	2	0	0	1	1	0
Precinct 7544 - Vote By Mail	0	0	0	0	0	0	731	1	0	0	1	0	0
Precinct 7544 - Election Day	0	0	0	0	0	0	168	1	0	0	0	1	1
Precinct 7544	0	0	0	0	0	0	899	2	0	0	1	1	1
Precinct 7545 - Vote By Mail	0	3	0	0	1	0	723	4	0	0	0	4	0
Precinct 7545 - Election Day	0	0	0	0	0	0	172	0	0	0	0	0	0
Precinct 7545	0	3	0	0	1	0	895	4	0	0	0	4	0
Precinct 7546 - Vote By Mail	0	0	0	0	0	0	770	0	0	0	0	0	0
Precinct 7546 - Election Day	0	0	1	0	0	0	183	2	0	0	1	1	0
Precinct 7546	0	0	1	0	0	0	953	2	0	0	1	1	0
Precinct 7547 - Vote By Mail	0	0	0	0	0	0	798	1	0	0	1	0	0
Precinct 7547 - Election Day	0	0	0	0	0	0	183	0	0	0	0	0	0
Precinct 7547	0	0	0	0	0	0	981	1	0	0	1	0	0
Precinct 7548 - Vote By Mail	0	0	0	0	1	0	802	2	0	0	1	1	0
Precinct 7548 - Election Day	0	1	0	0	0	0	249	1	0	0	0	1	0
Precinct 7548	0	1	0	0	1	0	1,051	3	0	0	1	2	0
Precinct 7549 - Vote By Mail	0	1	0	0	0	0	660	2	0	0	1	1	0
Precinct 7549 - Election Day	0	1	0	0	0	0	146	1	0	0	0	1	0
Precinct 7549	0	2	0	0	0	0	806	3	0	0	1	2	0
Precinct 7551 - Vote By Mail	0	0	0	0	0	0	587	0	0	0	0	0	0
Precinct 7551 - Election Day	0	0	0	0	0	0	136	0	0	0	0	0	0
Precinct 7551	0	0	0	0	0	0	723	0	0	0	0	0	0
Precinct 7552 - Vote By Mail	0	0	0	0	0	0	561	0	0	0	0	0	0
Precinct 7552 - Election Day	0	0	0	0	0	0	124	0	0	0	0	0	0
Precinct 7552	0	0	0	0	0	0	685	0	0	0	0	0	0
Precinct 7553 MB - Vote By Mail	0	0	0	0	0	0	211	0	0	0	0	0	0
Precinct 7553 MB - Election Day	0	0	0	0	0	0	-20	0	0	0	0	0	0
Precinct 7553 MB	0	0	0	0	0	0	191	0	0	0	0	0	0
Precinct 7554 - Vote By Mail	0	0	0	0	0	0	653	0	0	0	0	0	0
Precinct 7554 - Election Day	0	0	0	0	0	0	168	1	0	0	1	0	0
Precinct 7554	0	0	0	0	0	0	821	1	0	0	1	0	0
Precinct 7555 - Vote By Mail	0	0	1	0	0	0	662	1	0	0	0	1	0
Precinct 7555 - Election Day	1	1	0	0	0	0	210	3	0	0	1	2	0
Precinct 7555	1	1	1	0	0	0	872	4	0	0	1	3	0
Precinct 7556/7557 - Vote By Mail	0	0	0	0	1	0	812	3	0	0	2	1	0
Precinct 7556/7557 - Election Day	0	0	0	0	1	0	154	1	0	0	0	1	0
Precinct 7556/7557	0	0	0	0	2	0	966	4	0	0	2	2	0
Precinct 7601 - Vote By Mail	0	0	0	0	0	0	485	0	0	0	0	0	0
Precinct 7601 - Election Day	0	0	1	0	0	0	192	2	0	0	1	1	0
Precinct 7601	0	0	1	0	0	0	677	2	0	0	1	1	0
Precinct 7602 - Vote By Mail	0	1	0	0	0	0	654	2	0	0	1	1	0
Precinct 7602 - Election Day	0	0	0	0	0	0	232	1	0	0	0	1	1
Precinct 7602	0	1	0	0	0	0	886	3	0	0	1	2	1
Precinct 7603 - Vote By Mail	0	3	0	0	0	0	615	5	0	0	2	3	0
Precinct 7603 - Election Day	0	0	1	0	0	0	200	1	0	0	0	1	0
Precinct 7603	0	3	1	0	0	0	815	6	0	0	2	4	0
Precinct 7604 - Vote By Mail	0	0	1	2	0	0	685	3	0	0	0	3	0
Precinct 7604 - Election Day	0	0	0	0	0	0	259	0	0	0	0	0	0
Precinct 7604	0	0	1	2	0	0	944	3	0	0	0	3	0
Precinct 7605 - Vote By Mail	0	0	0	0	0	0	468	1	0	0	1	0	0
Precinct 7605 - Election Day	0	0	0	0	0	0	193	0	0	0	0	0	0
Precinct 7605	0	0	0	0	0	0	661	1	0	0	1	0	0
Precinct 7606 - Vote By Mail	0	0	0	0	0	0	673	2	0	0	2	0	0
Precinct 7606 - Election Day	1	0	1	0	0	0	210	2	0	0	0	2	0
Precinct 7606	1	0	1	0	0	0	883	4	0	0	2	2	0
Precinct 7607 - Vote By Mail	0	2	0	0	1	0	712	4	0	0	1	3	0
Precinct 7607 - Election Day	0	0	1	0	0	0	207	1	0	0	0	1	0
Precinct 7607	0	2	1	0	1	0	919	5	0	0	1	4	0
Precinct 7608 - Vote By Mail	0	1	0	0	0	0	279	1	0	0	0	1	0
Precinct 7608 - Election Day	0	0	1	0	0	0	101	1	0	0	0	1	0
Precinct 7608	0	1	1	0	0	0	380	2	0	0	0	2	0
Precinct 7609 - Vote By Mail	0	1	0	0	0	0	699	3	0	0	2	1	0
Precinct 7609 - Election Day	0	0	0	0	0	0	185	0	0	0	0	0	0
Precinct 7609	0	1	0	0	0	0	884	3	0	0	2	1	0
Precinct 7611 - Vote By Mail	1	1	0	0	0	0	586	2	0	0	0	2	0
Precinct 7611 - Election Day	0	0	0	0	0	0	202	0	0	0	0	0	0
Precinct 7611	1	1	0	0	0	0	788	2	0	0	0	2	0
Precinct 7612 - Vote By Mail	0	0	0	0	0	0	452	0	0	0	0	0	0
Precinct 7612 - Election Day	0	0	0	0	0	0	105	0	0	0	0	0	0
Precinct 7612	0	0	0	0	0	0	557	0	0	0	0	0	0
Precinct 7613 - Vote By Mail	0	0	1	0	0	0	634	1	0	0	0	1	0
Precinct 7613 - Election Day	0	1	0	0	0	0	249	1	0	0	0	1	0
Precinct 7613	0	1	1	0	0	0	883	2	0	0	0	2	0
Precinct 7614 - Vote By Mail	0	0	0	0	1	0	713	1	0	0	0	1	0
Precinct 7614 - Election Day	0	0	0	0	0	0	203	0	0	0	0	0	0
Precinct 7614	0	0	0	0	1	0	916	1	0	0	0	1	0
Precinct 7615 - Vote By Mail	0	1	1	1	0	0	510	3	0	0	0	3	0
Precinct 7615 - Election Day	0	0	0	0	0	0	240	0	0	0	0	0	0
Precinct 7615	0	1	1	1	0	0	750	3	0	0	0	3	0
Precinct 7616 - Vote By Mail	0	0	1	1	0	0	754	2	0	0	0	2	0
Precinct 7616 - Election Day	0	0	0	0	0	0	82	0	0	0	0	0	0
Precinct 7616	0	0	1	1	0	0	836	2	0	0	0	2	0
Precinct 7617 - Vote By Mail	0	0	0	0	0	0	583	0	0	0	0	0	0
Precinct 7617 - Election Day	0	0	1	0	0	0	169	1	0	0	0	1	0
Precinct 7617	0	0	1	0	0	0	752	1	0	0	0	1	0
Precinct 7618 - Vote By Mail	0	0	0	1	0	0	763	1	0	0	0	1	0
Precinct 7618 - Election Day	0	0	1	0	0	0	151	2	0	0	1	1	0
Precinct 7618	0	0	1	1	0	0	914	3	0	0	1	2	0
Precinct 7619 - Vote By Mail	0	0	0	0	0	0	937	0	0	0	0	0	0
Precinct 7619 - Election Day	0	0	0	0	0	0	170	0	0	0	0	0	0
Precinct 7619	0	0	0	0	0	0	1,107	0	0	0	0	0	0
Precinct 7621 - Vote By Mail	0	0	0	1	0	0	1,006	1	0	0	0	1	0
Precinct 7621 - Election Day	0	0	0	0	0	0	149	0	0	0	0	0	0
Precinct 7621	0	0	0	1	0	0	1,155	1	0	0	0	1	0
Precinct 7622 - Vote By Mail	0	0	0	0	0	0	697	0	0	0	0	0	0
Precinct 7622 - Election Day	0	0	0	0	0	0	263	0	0	0	0	0	0
Precinct 7622	0	0	0	0	0	0	960	0	0	0	0	0	0
Precinct 7623 - Vote By Mail	0	0	0	0	0	0	767	0	0	0	0	0	0
Precinct 7623 - Election Day	0	1	0	0	0	0	237	1	0	0	0	1	0
Precinct 7623	0	1	0	0	0	0	1,004	1	0	0	0	1	0
Precinct 7624 - Vote By Mail	0	0	0	0	0	0	652	0	0	0	0	0	0
Precinct 7624 - Election Day	0	0	0	0	1	0	223	1	0	0	0	1	0
Precinct 7624	0	0	0	0	1	0	875	1	0	0	0	1	0
Precinct 7625 - Vote By Mail	0	0	0	0	0	0	749	0	0	0	0	0	0
Precinct 7625 - Election Day	0	0	0	0	0	0	73	0	0	0	0	0	0
Precinct 7625	0	0	0	0	0	0	822	0	0	0	0	0	0
Precinct 7626 - Vote By Mail	0	0	2	0	0	0	944	4	0	0	2	2	0
Precinct 7626 - Election Day	0	0	0	0	0	0	129	0	0	0	0	0	0
Precinct 7626	0	0	2	0	0	0	1,073	4	0	0	2	2	0
Precinct 7627 - Vote By Mail	0	0	0	0	0	0	457	0	0	0	0	0	0
Precinct 7627 - Election Day	0	0	0	0	0	0	67	0	0	0	0	0	0
Precinct 7627	0	0	0	0	0	0	524	0	0	0	0	0	0
Precinct 7628 - Vote By Mail	0	0	0	0	0	0	718	0	0	0	0	0	0
Precinct 7628 - Election Day	0	0	1	0	0	0	220	1	0	0	0	1	0
Precinct 7628	0	0	1	0	0	0	938	1	0	0	0	1	0
Precinct 7629 - Vote By Mail	0	1	0	0	0	0	691	1	0	0	0	1	0
Precinct 7629 - Election Day	0	0	0	0	0	0	162	0	0	0	0	0	0
Precinct 7629	0	1	0	0	0	0	853	1	0	0	0	1	0
Precinct 7631 - Vote By Mail	0	1	0	0	0	0	1,009	1	0	0	0	1	0
Precinct 7631 - Election Day	0	0	0	0	0	0	210	0	0	0	0	0	0
Precinct 7631	0	1	0	0	0	0	1,219	1	0	0	0	1	0
Precinct 7632 - Vote By Mail	0	0	1	0	0	0	1,002	4	0	0	3	1	0
Precinct 7632 - Election Day	0	0	0	0	0	0	169	0	0	0	0	0	0
Precinct 7632	0	0	1	0	0	0	1,171	4	0	0	3	1	0
Precinct 7633 - Vote By Mail	0	0	0	0	0	0	609	1	0	0	1	0	0
Precinct 7633 - Election Day	0	0	0	0	0	0	126	0	0	0	0	0	0
Precinct 7633	0	0	0	0	0	0	735	1	0	0	1	0	0
Precinct 7634 - Vote By Mail	0	0	0	0	0	0	704	1	0	0	1	0	0
Precinct 7634 - Election Day	0	0	0	0	0	0	186	0	0	0	0	0	0
Precinct 7634	0	0	0	0	0	0	890	1	0	0	1	0	0
Precinct 7635 - Vote By Mail	0	2	0	0	0	0	665	2	0	0	0	2	0
Precinct 7635 - Election Day	0	0	0	0	0	0	188	0	0	0	0	0	0
Precinct 7635	0	2	0	0	0	0	853	2	0	0	0	2	0
Precinct 7636 - Vote By Mail	0	1	0	0	0	0	798	2	0	0	1	1	0
Precinct 7636 - Election Day	0	0	0	0	0	0	161	0	0	0	0	0	0
Precinct 7636	0	1	0	0	0	0	959	2	0	0	1	1	0
