Subtotal Area	SCOTT WIENER	ERIN SMITH	JACKIE FIELDER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 1134	149	58	128	767	372	0	0	36	336	1
Precinct 1135 - Vote By Mail	105	32	69	465	218	0	0	12	206	0
Precinct 1135 - Election Day	25	3	21	91	51	0	0	2	49	0
Precinct 1135	130	35	90	556	269	0	0	14	255	0
Precinct 1136 - Vote By Mail	162	60	97	710	340	0	0	21	319	0
Precinct 1136 - Election Day	26	10	36	157	77	0	1	4	72	0
Precinct 1136	188	70	133	867	417	0	1	25	391	0
Precinct 1141 - Vote By Mail	202	47	111	836	392	0	0	32	360	0
Precinct 1141 - Election Day	46	13	56	220	123	0	0	8	115	0
Precinct 1141	248	60	167	1,056	515	0	0	40	475	0
Precinct 1142 - Vote By Mail	146	45	103	721	324	0	0	30	294	0
Precinct 1142 - Election Day	34	7	41	175	87	0	0	5	82	0
Precinct 1142	180	52	144	896	411	0	0	35	376	0
Precinct 1143 - Vote By Mail	149	54	123	824	360	0	1	33	326	0
Precinct 1143 - Election Day	51	6	47	225	114	0	0	9	105	1
Precinct 1143	200	60	170	1,049	474	0	1	42	431	1
Precinct 1144 - Vote By Mail	130	52	116	727	326	0	0	28	298	0
Precinct 1144 - Election Day	43	10	57	220	121	0	0	11	110	0
Precinct 1144	173	62	173	947	447	0	0	39	408	0
Precinct 1145 - Vote By Mail	196	43	114	753	411	0	0	58	353	0
Precinct 1145 - Election Day	48	5	45	152	114	0	0	15	99	1
Precinct 1145	244	48	159	905	525	0	0	73	452	1
Precinct 1146 - Vote By Mail	179	35	128	839	364	0	1	21	342	0
Precinct 1146 - Election Day	49	9	47	215	110	0	0	5	105	0
Precinct 1146	228	44	175	1,054	474	0	1	26	447	0
Precinct 1147 - Vote By Mail	138	43	107	673	309	0	0	21	288	0
Precinct 1147 - Election Day	48	9	44	212	107	0	0	6	101	0
Precinct 1147	186	52	151	885	416	0	0	27	389	0
Precinct 1148 - Vote By Mail	193	47	101	804	367	0	1	25	341	0
Precinct 1148 - Election Day	45	13	51	224	116	0	0	7	109	0
Precinct 1148	238	60	152	1,028	483	0	1	32	450	0
Precinct 1149 - Vote By Mail	147	42	100	710	319	0	1	29	289	0
Precinct 1149 - Election Day	44	11	47	229	118	0	0	14	104	2
Precinct 1149	191	53	147	939	437	0	1	43	393	2
Precinct 1152 - Vote By Mail	172	35	80	710	312	0	0	25	287	0
Precinct 1152 - Election Day	30	13	34	180	85	0	0	8	77	0
Precinct 1152	202	48	114	890	397	0	0	33	364	0
Precinct 1153 - Vote By Mail	139	45	80	730	285	0	1	20	264	0
Precinct 1153 - Election Day	51	13	36	210	117	0	0	17	100	0
Precinct 1153	190	58	116	940	402	0	1	37	364	0
Precinct 7001 - Vote By Mail	170	13	108	632	328	0	2	35	291	0
Precinct 7001 - Election Day	53	5	38	141	103	0	0	7	96	0
Precinct 7001	223	18	146	773	431	0	2	42	387	0
Precinct 7002 - Vote By Mail	135	24	81	598	267	0	0	27	240	0
Precinct 7002 - Election Day	40	6	32	116	88	0	0	9	79	1
Precinct 7002	175	30	113	714	355	0	0	36	319	1
Precinct 7003 - Vote By Mail	237	34	126	759	430	0	0	33	397	0
Precinct 7003 - Election Day	65	10	57	147	144	0	0	12	132	0
Precinct 7003	302	44	183	906	574	0	0	45	529	0
Precinct 7004 - Vote By Mail	237	37	98	764	416	0	0	44	372	0
Precinct 7004 - Election Day	85	7	37	149	143	0	0	14	129	0
Precinct 7004	322	44	135	913	559	0	0	58	501	0
Precinct 7005 - Vote By Mail	207	15	105	698	350	0	0	23	327	0
Precinct 7005 - Election Day	71	5	67	161	162	0	0	19	143	0
Precinct 7005	278	20	172	859	512	0	0	42	470	0
Precinct 7006 - Vote By Mail	174	13	145	729	359	0	1	26	332	0
Precinct 7006 - Election Day	55	9	71	203	149	0	0	13	136	1
Precinct 7006	229	22	216	932	508	0	1	39	468	1
Precinct 7007 - Vote By Mail	252	28	122	777	437	0	0	35	402	0
Precinct 7007 - Election Day	93	12	52	180	169	0	0	12	157	0
Precinct 7007	345	40	174	957	606	0	0	47	559	0
Precinct 7008 - Vote By Mail	232	19	73	732	367	0	0	43	324	0
Precinct 7008 - Election Day	103	10	61	177	192	0	0	18	174	0
Precinct 7008	335	29	134	909	559	0	0	61	498	0
Precinct 7009 - Vote By Mail	201	24	134	752	389	0	0	30	359	0
Precinct 7009 - Election Day	39	11	28	119	91	0	0	13	78	0
Precinct 7009	240	35	162	871	480	0	0	43	437	0
Precinct 7011 - Vote By Mail	139	6	66	704	231	0	0	20	211	0
Precinct 7011 - Election Day	53	3	24	269	87	0	0	7	80	0
Precinct 7011	192	9	90	973	318	0	0	27	291	0
Precinct 7012 - Vote By Mail	283	26	139	999	487	0	0	39	448	0
Precinct 7012 - Election Day	111	17	63	227	206	0	0	15	191	0
Precinct 7012	394	43	202	1,226	693	0	0	54	639	0
Precinct 7013 - Vote By Mail	152	17	86	984	280	0	0	25	255	0
Precinct 7013 - Election Day	83	8	44	155	151	0	0	16	135	0
Precinct 7013	235	25	130	1,139	431	0	0	41	390	0
Precinct 7014 - Vote By Mail	181	15	76	610	298	0	0	26	272	0
Precinct 7014 - Election Day	53	5	32	109	112	0	0	21	91	1
Precinct 7014	234	20	108	719	410	0	0	47	363	1
Precinct 7015 MB - Vote By Mail	15	2	20	128	40	0	0	3	37	0
Precinct 7015 MB - Election Day	0	0	0	-18	0	0	0	0	0	0
Precinct 7015 MB	15	2	20	110	40	0	0	3	37	0
Precinct 7016 - Vote By Mail	117	27	64	655	238	0	2	28	208	0
Precinct 7016 - Election Day	32	7	29	277	75	0	0	7	68	0
Precinct 7016	149	34	93	932	313	0	2	35	276	0
Precinct 7017 - Vote By Mail	110	15	38	543	180	0	1	16	163	0
Precinct 7017 - Election Day	26	2	14	238	53	0	0	10	43	1
Precinct 7017	136	17	52	781	233	0	1	26	206	1
Precinct 7018 - Vote By Mail	191	42	72	847	357	0	2	50	305	0
Precinct 7018 - Election Day	28	1	24	200	56	0	0	3	53	0
Precinct 7018	219	43	96	1,047	413	0	2	53	358	0
Precinct 7019 - Vote By Mail	182	47	91	734	355	0	0	35	320	0
Precinct 7019 - Election Day	32	4	28	166	74	0	0	10	64	0
Precinct 7019	214	51	119	900	429	0	0	45	384	0
Precinct 7021 - Vote By Mail	135	21	81	679	271	0	0	34	237	0
