Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts	187,029	73,580	503,899	281,773	0	50	21,114	260,609
All Precincts - Election Day	59,349	18,371	101,053	84,584	0	11	6,853	77,720
All Precincts - Vote By Mail	127,680	55,209	402,846	197,189	0	39	14,261	182,889
Precinct 1101 - Vote By Mail	128	72	448	215	0	0	15	200
Precinct 1101 - Election Day	46	12	114	61	0	0	3	58
Precinct 1101	174	84	562	276	0	0	18	258
Precinct 1102 - Vote By Mail	229	121	774	369	0	0	19	350
Precinct 1102 - Election Day	109	42	230	162	0	0	11	151
Precinct 1102	338	163	1,004	531	0	0	30	501
Precinct 1103 - Vote By Mail	238	114	749	371	0	0	19	352
Precinct 1103 - Election Day	105	33	222	144	0	0	6	138
Precinct 1103	343	147	971	515	0	0	25	490
Precinct 1104/1105 - Vote By Mail	237	93	751	343	0	0	13	330
Precinct 1104/1105 - Election Day	85	31	267	122	0	0	6	116
Precinct 1104/1105	322	124	1,018	465	0	0	19	446
Precinct 1106 - Vote By Mail	134	109	598	255	0	0	12	243
Precinct 1106 - Election Day	68	24	173	97	0	0	5	92
Precinct 1106	202	133	771	352	0	0	17	335
Precinct 1107 - Vote By Mail	171	99	612	287	0	0	17	270
Precinct 1107 - Election Day	53	18	139	76	0	0	5	71
Precinct 1107	224	117	751	363	0	0	22	341
Precinct 1108 - Vote By Mail	234	105	725	360	0	0	21	339
Precinct 1108 - Election Day	73	31	198	116	0	0	12	104
Precinct 1108	307	136	923	476	0	0	33	443
Precinct 1109 - Vote By Mail	158	112	653	284	0	0	14	270
Precinct 1109 - Election Day	73	22	169	99	0	0	4	95
Precinct 1109	231	134	822	383	0	0	18	365
Precinct 1111 - Vote By Mail	201	135	849	354	0	0	18	336
Precinct 1111 - Election Day	91	23	197	118	0	0	4	114
Precinct 1111	292	158	1,046	472	0	0	22	450
Precinct 1112 - Vote By Mail	178	85	643	278	0	0	15	263
