Subtotal Area	ROBERT ARDINI	JOE WALSH	BILL WELD	ROQUE "ROCKY" DE LA FUENTE	MATTHEW JOHN MATERN	ZOLTAN G. ISTVAN	DONALD J. TRUMP	DENIS C. GRASSKA	ROBERT LEE MANNING JR.	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 1125 - Vote By Mail	1	0	2	0	0	0	19	0	0	919	23	0	0	1	22	0
Precinct 1125 - Election Day	0	0	0	0	0	0	2	0	0	178	2	0	0	0	2	0
Precinct 1125	1	0	2	0	0	0	21	0	0	1,097	25	0	0	1	24	0
Precinct 1126 - Vote By Mail	0	0	0	0	0	0	11	0	0	812	14	0	0	3	11	0
Precinct 1126 - Election Day	0	0	0	0	0	0	2	0	0	200	2	0	0	0	2	0
Precinct 1126	0	0	0	0	0	0	13	0	0	1,012	16	0	0	3	13	0
Precinct 1127 - Vote By Mail	0	0	2	1	1	0	23	0	0	743	29	0	0	2	27	0
Precinct 1127 - Election Day	0	0	0	1	0	0	7	0	0	222	8	0	0	0	8	0
Precinct 1127	0	0	2	2	1	0	30	0	0	965	37	0	0	2	35	0
Precinct 1128 - Vote By Mail	0	1	1	0	1	0	19	0	0	734	22	0	0	0	22	0
Precinct 1128 - Election Day	0	0	0	1	0	0	1	0	0	145	2	0	0	0	2	0
Precinct 1128	0	1	1	1	1	0	20	0	0	879	24	0	0	0	24	0
Precinct 1129 - Vote By Mail	0	0	4	1	0	0	20	0	0	790	26	0	0	1	25	0
Precinct 1129 - Election Day	0	0	0	0	0	0	9	0	0	246	9	0	0	0	9	0
Precinct 1129	0	0	4	1	0	0	29	0	0	1,036	35	0	0	1	34	0
Precinct 1131 - Vote By Mail	0	1	1	0	0	0	24	0	0	694	27	0	0	1	26	0
Precinct 1131 - Election Day	0	0	0	0	0	0	3	0	0	166	4	0	0	1	3	0
Precinct 1131	0	1	1	0	0	0	27	0	0	860	31	0	0	2	29	0
Precinct 1132 - Vote By Mail	0	3	3	0	2	0	14	0	0	839	24	0	0	2	22	0
Precinct 1132 - Election Day	0	0	0	0	0	0	2	0	0	193	2	0	0	0	2	0
Precinct 1132	0	3	3	0	2	0	16	0	0	1,032	26	0	0	2	24	0
Precinct 1133 - Vote By Mail	0	2	2	0	0	1	19	0	0	716	25	0	0	1	24	0
Precinct 1133 - Election Day	0	0	1	0	0	0	5	0	0	159	6	0	0	0	6	0
Precinct 1133	0	2	3	0	0	1	24	0	0	875	31	0	0	1	30	0
Precinct 1134 - Vote By Mail	0	0	0	2	0	0	21	0	0	585	31	0	0	8	23	0
Precinct 1134 - Election Day	0	0	0	0	0	0	2	0	0	182	2	0	0	0	2	0
Precinct 1134	0	0	0	2	0	0	23	0	0	767	33	0	0	8	25	0
Precinct 1135 - Vote By Mail	0	1	1	1	0	0	7	0	0	465	12	0	0	2	10	0
Precinct 1135 - Election Day	0	0	1	0	0	0	0	0	0	91	1	0	0	0	1	0
Precinct 1135	0	1	2	1	0	0	7	0	0	556	13	0	0	2	11	0
Precinct 1136 - Vote By Mail	0	1	0	0	0	0	28	0	0	710	29	0	0	0	29	0
Precinct 1136 - Election Day	0	0	0	0	1	0	6	0	0	157	7	0	0	0	7	0
Precinct 1136	0	1	0	0	1	0	34	0	0	867	36	0	0	0	36	0
Precinct 1141 - Vote By Mail	0	2	1	2	0	0	15	0	0	836	20	0	0	0	20	0
Precinct 1141 - Election Day	0	0	0	0	0	0	6	0	0	220	6	0	0	0	6	0
Precinct 1141	0	2	1	2	0	0	21	0	0	1,056	26	0	0	0	26	0
Precinct 1142 - Vote By Mail	0	1	4	1	0	0	15	0	0	721	21	0	0	0	21	0
Precinct 1142 - Election Day	0	0	0	0	0	0	3	0	0	175	3	0	0	0	3	0
Precinct 1142	0	1	4	1	0	0	18	0	0	896	24	0	0	0	24	0
Precinct 1143 - Vote By Mail	0	2	0	2	1	0	26	0	0	824	33	0	0	2	31	0
Precinct 1143 - Election Day	0	0	0	0	0	0	3	0	0	225	3	0	0	0	3	0
Precinct 1143	0	2	0	2	1	0	29	0	0	1,049	36	0	0	2	34	0
Precinct 1144 - Vote By Mail	0	0	0	1	0	0	25	0	0	727	29	0	1	2	26	0
Precinct 1144 - Election Day	0	0	0	0	0	0	7	0	0	220	7	0	0	0	7	0
Precinct 1144	0	0	0	1	0	0	32	0	0	947	36	0	1	2	33	0
Precinct 1145 - Vote By Mail	0	1	0	0	0	0	18	0	0	753	20	0	0	1	19	0
Precinct 1145 - Election Day	0	0	1	0	0	0	1	0	0	152	2	0	0	0	2	0
Precinct 1145	0	1	1	0	0	0	19	0	0	905	22	0	0	1	21	0
Precinct 1146 - Vote By Mail	1	0	0	3	0	0	11	0	0	839	15	0	0	0	15	0
Precinct 1146 - Election Day	0	0	0	0	0	0	3	0	0	215	3	0	0	0	3	0
Precinct 1146	1	0	0	3	0	0	14	0	0	1,054	18	0	0	0	18	0
Precinct 1147 - Vote By Mail	2	0	0	0	0	0	12	0	0	673	16	0	0	2	14	0
Precinct 1147 - Election Day	0	0	1	0	0	0	5	0	0	212	6	0	0	0	6	0
Precinct 1147	2	0	1	0	0	0	17	0	0	885	22	0	0	2	20	0
Precinct 1148 - Vote By Mail	0	0	0	0	0	0	16	0	0	804	17	0	0	1	16	0
Precinct 1148 - Election Day	0	0	0	0	1	0	13	0	0	224	14	0	0	0	14	0
Precinct 1148	0	0	0	0	1	0	29	0	0	1,028	31	0	0	1	30	0
Precinct 1149 - Vote By Mail	0	1	1	0	0	0	15	0	0	710	25	0	0	8	17	0
Precinct 1149 - Election Day	0	0	1	0	0	0	4	0	0	229	5	0	0	0	5	0
Precinct 1149	0	1	2	0	0	0	19	0	0	939	30	0	0	8	22	0
Precinct 1152 - Vote By Mail	0	1	0	0	1	0	16	0	0	710	18	0	0	0	18	0
