Subtotal Area	ROBERT ARDINI	JOE WALSH	BILL WELD	ROQUE "ROCKY" DE LA FUENTE	MATTHEW JOHN MATERN	ZOLTAN G. ISTVAN	DONALD J. TRUMP	DENIS C. GRASSKA	ROBERT LEE MANNING JR.	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7101 MB - Election Day	0	0	0	0	0	0	0	0	0	-15	0	0	0	0	0	0
Precinct 7101 MB	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0
Precinct 7201 - Vote By Mail	0	0	3	1	1	2	31	0	0	788	41	0	0	3	38	0
Precinct 7201 - Election Day	1	1	2	1	0	0	4	0	0	147	11	0	0	2	9	0
Precinct 7201	1	1	5	2	1	2	35	0	0	935	52	0	0	5	47	0
Precinct 7202 - Vote By Mail	0	2	7	0	0	0	30	0	0	708	43	0	0	4	39	0
Precinct 7202 - Election Day	0	0	0	0	0	0	0	0	0	143	2	0	0	1	1	1
Precinct 7202	0	2	7	0	0	0	30	0	0	851	45	0	0	5	40	1
Precinct 7203 - Vote By Mail	0	1	2	0	0	0	13	0	0	693	20	0	0	4	16	0
Precinct 7203 - Election Day	0	0	1	0	0	0	0	0	0	186	1	0	0	0	1	0
Precinct 7203	0	1	3	0	0	0	13	0	0	879	21	0	0	4	17	0
Precinct 7204 - Vote By Mail	0	0	8	1	0	0	16	0	0	773	30	0	0	5	25	0
Precinct 7204 - Election Day	0	0	0	0	0	0	6	0	0	126	6	0	0	0	6	0
Precinct 7204	0	0	8	1	0	0	22	0	0	899	36	0	0	5	31	0
Precinct 7205 - Vote By Mail	0	1	3	0	0	0	25	0	0	724	35	0	0	6	29	0
Precinct 7205 - Election Day	0	1	1	0	0	0	8	0	0	147	12	0	0	1	11	1
Precinct 7205	0	2	4	0	0	0	33	0	0	871	47	0	0	7	40	1
Precinct 7206 - Vote By Mail	0	1	1	0	0	0	4	0	0	299	10	0	0	4	6	0
Precinct 7206 - Election Day	0	2	0	0	1	0	1	0	0	78	6	0	0	1	5	1
Precinct 7206	0	3	1	0	1	0	5	0	0	377	16	0	0	5	11	1
Precinct 7207 - Vote By Mail	0	0	5	0	0	1	13	0	0	744	22	0	0	3	19	0
Precinct 7207 - Election Day	0	0	1	0	0	0	7	0	0	123	8	0	0	0	8	0
Precinct 7207	0	0	6	0	0	1	20	0	0	867	30	0	0	3	27	0
Precinct 7208 - Vote By Mail	0	2	1	0	0	0	18	0	0	492	24	0	0	3	21	0
Precinct 7208 - Election Day	1	0	0	0	0	0	4	0	0	78	5	0	0	0	5	0
Precinct 7208	1	2	1	0	0	0	22	0	0	570	29	0	0	3	26	0
Precinct 7209 - Vote By Mail	1	1	8	0	1	0	26	0	0	595	46	0	0	9	37	0
Precinct 7209 - Election Day	0	0	1	0	0	0	1	0	0	52	2	0	0	0	2	0
Precinct 7209	1	1	9	0	1	0	27	0	0	647	48	0	0	9	39	0
Precinct 7301 - Vote By Mail	0	1	1	0	0	0	23	0	0	813	27	0	0	2	25	0
Precinct 7301 - Election Day	0	1	0	0	0	0	4	0	0	201	5	0	0	0	5	0
Precinct 7301	0	2	1	0	0	0	27	0	0	1,014	32	0	0	2	30	0
Precinct 7302 - Vote By Mail	0	3	1	0	0	1	19	0	0	713	32	0	0	8	24	0
Precinct 7302 - Election Day	0	0	0	1	0	0	6	0	0	136	8	0	0	1	7	0
Precinct 7302	0	3	1	1	0	1	25	0	0	849	40	0	0	9	31	0
Precinct 7303 - Vote By Mail	0	1	3	0	2	0	14	0	0	869	22	0	0	2	20	0
Precinct 7303 - Election Day	0	0	1	1	0	0	7	0	0	199	10	0	0	1	9	0
Precinct 7303	0	1	4	1	2	0	21	0	0	1,068	32	0	0	3	29	0
Precinct 7304 - Vote By Mail	0	0	3	0	0	0	18	0	0	802	23	0	0	2	21	0
Precinct 7304 - Election Day	0	1	0	0	0	1	2	0	0	199	6	0	0	1	5	1
Precinct 7304	0	1	3	0	0	1	20	0	0	1,001	29	0	0	3	26	1
Precinct 7305 - Vote By Mail	0	1	3	2	0	0	31	0	0	713	46	0	0	9	37	0
Precinct 7305 - Election Day	0	1	1	0	1	0	8	0	0	154	14	0	0	1	13	2
Precinct 7305	0	2	4	2	1	0	39	0	0	867	60	0	0	10	50	2
Precinct 7306 - Vote By Mail	0	1	5	1	0	2	21	0	0	801	31	0	0	1	30	0
Precinct 7306 - Election Day	1	0	0	0	0	0	1	0	0	243	3	0	0	0	3	1
Precinct 7306	1	1	5	1	0	2	22	0	0	1,044	34	0	0	1	33	1
Precinct 7307 - Vote By Mail	0	2	4	0	0	0	13	0	0	605	23	0	0	4	19	0
Precinct 7307 - Election Day	0	0	0	0	0	0	3	0	0	169	6	0	0	3	3	0
Precinct 7307	0	2	4	0	0	0	16	0	0	774	29	0	0	7	22	0
Precinct 7308 - Vote By Mail	0	1	3	0	0	0	11	0	0	520	19	0	0	4	15	0
Precinct 7308 - Election Day	0	0	1	1	0	0	2	0	0	105	5	0	0	0	5	1
Precinct 7308	0	1	4	1	0	0	13	0	0	625	24	0	0	4	20	1
Precinct 7309 - Vote By Mail	0	3	1	1	1	1	20	0	0	691	31	0	0	4	27	0
Precinct 7309 - Election Day	0	1	1	0	0	0	5	0	0	167	7	0	0	0	7	0
Precinct 7309	0	4	2	1	1	1	25	0	0	858	38	0	0	4	34	0
Precinct 7311 - Vote By Mail	0	1	3	0	0	0	9	0	0	698	16	0	0	3	13	0
Precinct 7311 - Election Day	0	0	0	0	0	0	1	0	0	208	2	0	0	1	1	0
Precinct 7311	0	1	3	0	0	0	10	0	0	906	18	0	0	4	14	0
Precinct 7312 - Vote By Mail	0	2	6	0	0	0	31	0	0	700	45	0	0	6	39	0
Precinct 7312 - Election Day	0	0	2	2	0	0	7	0	0	110	13	0	0	0	13	2
Precinct 7312	0	2	8	2	0	0	38	0	0	810	58	0	0	6	52	2
Precinct 7313 - Vote By Mail	1	2	7	0	0	0	24	0	0	819	41	0	0	7	34	0
Precinct 7313 - Election Day	0	0	0	0	0	0	2	0	0	184	2	0	0	0	2	0
Precinct 7313	1	2	7	0	0	0	26	0	0	1,003	43	0	0	7	36	0
Precinct 7314 - Vote By Mail	0	1	0	0	0	0	6	0	0	612	7	0	0	0	7	0
Precinct 7314 - Election Day	0	0	0	0	1	0	5	0	0	147	6	0	0	0	6	0
Precinct 7314	0	1	0	0	1	0	11	0	0	759	13	0	0	0	13	0
Precinct 7315 - Vote By Mail	1	0	0	0	0	0	11	0	0	570	13	0	0	1	12	0
Precinct 7315 - Election Day	0	1	2	1	0	0	2	0	0	195	6	0	0	0	6	0
Precinct 7315	1	1	2	1	0	0	13	0	0	765	19	0	0	1	18	0
Precinct 7316 - Vote By Mail	0	1	0	1	1	0	10	0	0	654	13	0	0	0	13	0
Precinct 7316 - Election Day	0	1	0	0	0	0	4	0	0	178	6	0	0	1	5	0
Precinct 7316	0	2	0	1	1	0	14	0	0	832	19	0	0	1	18	0
Precinct 7317 - Vote By Mail	0	1	2	0	0	0	32	0	0	744	41	0	0	6	35	0
Precinct 7317 - Election Day	0	0	0	0	0	1	2	0	0	146	3	0	0	0	3	0
Precinct 7317	0	1	2	0	0	1	34	0	0	890	44	0	0	6	38	0
Precinct 7318 - Vote By Mail	0	1	2	1	0	1	12	0	0	605	20	0	0	3	17	0
Precinct 7318 - Election Day	0	0	0	0	0	0	2	0	0	118	2	0	0	0	2	0
Precinct 7318	0	1	2	1	0	1	14	0	0	723	22	0	0	3	19	0
Precinct 7319 - Vote By Mail	0	2	3	1	0	0	21	0	0	861	30	0	0	3	27	0
Precinct 7319 - Election Day	0	0	1	0	0	0	8	0	0	188	11	0	0	1	10	1
Precinct 7319	0	2	4	1	0	0	29	0	0	1,049	41	0	0	4	37	1
Precinct 7321 - Vote By Mail	0	0	1	0	1	0	11	0	0	557	13	0	0	0	13	0
Precinct 7321 - Election Day	0	0	0	0	0	0	1	0	0	102	2	0	0	1	1	0
Precinct 7321	0	0	1	0	1	0	12	0	0	659	15	0	0	1	14	0
Precinct 7322 - Vote By Mail	1	0	2	0	0	0	10	0	0	742	14	0	0	1	13	0
Precinct 7322 - Election Day	0	0	0	0	0	0	2	0	0	146	2	0	0	0	2	0
Precinct 7322	1	0	2	0	0	0	12	0	0	888	16	0	0	1	15	0
Precinct 7323 - Vote By Mail	0	0	2	0	0	0	15	0	0	790	19	0	0	2	17	0
Precinct 7323 - Election Day	0	0	0	0	0	0	7	0	0	166	7	0	0	0	7	0
Precinct 7323	0	0	2	0	0	0	22	0	0	956	26	0	0	2	24	0
Precinct 7324 - Vote By Mail	0	0	3	0	0	0	12	0	0	587	15	0	0	0	15	0
Precinct 7324 - Election Day	1	0	0	0	0	0	3	0	0	150	5	0	0	1	4	0
Precinct 7324	1	0	3	0	0	0	15	0	0	737	20	0	0	1	19	0
Precinct 7325 - Vote By Mail	0	0	2	0	0	0	14	0	0	714	19	0	0	3	16	0
Precinct 7325 - Election Day	0	1	1	0	0	0	4	0	0	172	6	0	0	0	6	0
Precinct 7325	0	1	3	0	0	0	18	0	0	886	25	0	0	3	22	0
Precinct 7326 - Vote By Mail	0	0	4	2	0	0	17	0	0	685	27	0	0	4	23	0
Precinct 7326 - Election Day	0	1	0	0	0	0	4	0	0	174	7	0	0	1	6	1
Precinct 7326	0	1	4	2	0	0	21	0	0	859	34	0	0	5	29	1
Precinct 7327 - Vote By Mail	0	1	0	0	0	0	12	0	0	561	13	0	0	0	13	0
Precinct 7327 - Election Day	0	0	0	0	0	0	1	0	0	126	1	0	0	0	1	0
Precinct 7327	0	1	0	0	0	0	13	0	0	687	14	0	0	0	14	0
Precinct 7328 - Vote By Mail	1	0	4	0	3	1	14	0	0	829	26	0	0	3	23	0
Precinct 7328 - Election Day	0	0	0	0	0	0	6	0	0	173	6	0	0	0	6	0
Precinct 7328	1	0	4	0	3	1	20	0	0	1,002	32	0	0	3	29	0
Precinct 7329 - Vote By Mail	0	0	1	0	1	0	20	0	0	556	29	0	0	7	22	0
Precinct 7329 - Election Day	0	0	0	0	0	1	5	0	0	95	6	0	0	0	6	0
Precinct 7329	0	0	1	0	1	1	25	0	0	651	35	0	0	7	28	0
Precinct 7331 - Vote By Mail	0	1	12	0	0	0	36	0	0	710	50	0	0	1	49	0
Precinct 7331 - Election Day	0	0	2	0	0	0	12	0	0	160	18	0	0	1	17	3
Precinct 7331	0	1	14	0	0	0	48	0	0	870	68	0	0	2	66	3
Precinct 7332 - Vote By Mail	0	1	3	0	0	0	9	0	0	654	14	0	0	1	13	0
Precinct 7332 - Election Day	0	0	1	1	0	0	5	0	0	136	7	0	0	0	7	0
Precinct 7332	0	1	4	1	0	0	14	0	0	790	21	0	0	1	20	0
Precinct 7333 - Vote By Mail	0	2	2	0	0	1	13	0	0	822	26	0	0	8	18	0
Precinct 7333 - Election Day	0	2	0	0	0	0	4	0	0	193	8	0	0	1	7	1
Precinct 7333	0	4	2	0	0	1	17	0	0	1,015	34	0	0	9	25	1
Precinct 7334 - Vote By Mail	0	0	1	0	0	0	12	0	0	688	16	0	0	3	13	0
Precinct 7334 - Election Day	0	0	1	0	0	0	4	0	0	131	5	0	0	0	5	0
Precinct 7334	0	0	2	0	0	0	16	0	0	819	21	0	0	3	18	0
Precinct 7335 - Vote By Mail	0	3	6	0	2	0	34	0	0	788	48	0	0	3	45	0
Precinct 7335 - Election Day	0	0	5	0	0	1	3	0	0	146	9	0	0	0	9	0
Precinct 7335	0	3	11	0	2	1	37	0	0	934	57	0	0	3	54	0
Precinct 7336 - Vote By Mail	0	2	7	0	0	0	43	0	0	779	63	0	0	11	52	0
Precinct 7336 - Election Day	0	0	0	0	0	0	5	0	0	175	6	0	0	1	5	0
Precinct 7336	0	2	7	0	0	0	48	0	0	954	69	0	0	12	57	0
Precinct 7337 - Vote By Mail	0	1	1	0	0	0	28	0	0	772	41	0	0	11	30	0
Precinct 7337 - Election Day	0	0	1	0	0	0	5	0	0	125	8	0	0	2	6	0
Precinct 7337	0	1	2	0	0	0	33	0	0	897	49	0	0	13	36	0
Precinct 7338 - Vote By Mail	0	0	3	0	0	0	10	0	0	770	16	0	0	3	13	0
Precinct 7338 - Election Day	0	0	0	0	0	0	6	0	0	125	6	0	0	0	6	0
Precinct 7338	0	0	3	0	0	0	16	0	0	895	22	0	0	3	19	0
Precinct 7339 - Vote By Mail	0	0	0	1	0	0	7	0	0	605	9	0	0	1	8	0
Precinct 7339 - Election Day	0	1	0	2	0	0	4	0	0	150	7	0	0	0	7	0
Precinct 7339	0	1	0	3	0	0	11	0	0	755	16	0	0	1	15	0
Precinct 7341 - Vote By Mail	0	1	0	1	0	0	8	0	0	675	11	0	0	1	10	0
Precinct 7341 - Election Day	0	0	0	0	0	0	1	0	0	178	1	0	0	0	1	0
Precinct 7341	0	1	0	1	0	0	9	0	0	853	12	0	0	1	11	0
Precinct 7342 - Vote By Mail	1	1	1	0	0	2	12	0	0	674	21	0	0	4	17	0
Precinct 7342 - Election Day	0	1	1	0	0	0	10	0	0	230	12	0	0	0	12	0
Precinct 7342	1	2	2	0	0	2	22	0	0	904	33	0	0	4	29	0
Precinct 7343 - Vote By Mail	0	0	2	0	0	0	7	0	0	554	9	0	0	0	9	0
Precinct 7343 - Election Day	0	0	0	0	0	0	2	0	0	150	3	0	0	1	2	0
Precinct 7343	0	0	2	0	0	0	9	0	0	704	12	0	0	1	11	0
Precinct 7344 - Vote By Mail	0	0	3	0	0	0	18	0	0	863	24	0	0	3	21	0
Precinct 7344 - Election Day	0	0	0	0	0	0	8	0	0	201	8	0	0	0	8	0
Precinct 7344	0	0	3	0	0	0	26	0	0	1,064	32	0	0	3	29	0
Precinct 7345 - Vote By Mail	0	0	0	0	0	0	14	0	0	904	17	0	0	3	14	0
Precinct 7345 - Election Day	0	0	1	0	0	0	5	0	0	210	6	0	0	0	6	0
Precinct 7345	0	0	1	0	0	0	19	0	0	1,114	23	0	0	3	20	0
Precinct 7346 - Vote By Mail	0	0	1	1	0	0	11	0	0	681	14	0	0	1	13	0
Precinct 7346 - Election Day	0	1	0	0	0	0	9	0	0	208	10	0	0	0	10	0
Precinct 7346	0	1	1	1	0	0	20	0	0	889	24	0	0	1	23	0
Precinct 7347 - Vote By Mail	0	0	2	0	0	0	8	0	0	833	11	0	0	1	10	0
Precinct 7347 - Election Day	0	1	3	0	0	0	1	0	0	170	5	0	0	0	5	0
Precinct 7347	0	1	5	0	0	0	9	0	0	1,003	16	0	0	1	15	0
Precinct 7348 - Vote By Mail	0	0	1	0	0	0	12	0	0	650	14	0	0	1	13	0
Precinct 7348 - Election Day	0	0	1	0	0	0	2	0	0	193	3	0	0	0	3	0
Precinct 7348	0	0	2	0	0	0	14	0	0	843	17	0	0	1	16	0
Precinct 7349 - Vote By Mail	0	0	4	2	1	0	17	0	0	710	25	0	0	1	24	0
Precinct 7349 - Election Day	0	0	0	0	1	0	3	0	0	202	4	0	0	0	4	0
Precinct 7349	0	0	4	2	2	0	20	0	0	912	29	0	0	1	28	0
Precinct 7501 - Vote By Mail	0	0	3	2	0	1	11	0	0	456	18	0	0	1	17	0
Precinct 7501 - Election Day	0	0	0	0	0	0	5	0	0	95	7	0	0	2	5	0
Precinct 7501	0	0	3	2	0	1	16	0	0	551	25	0	0	3	22	0
Precinct 7502 - Vote By Mail	0	0	2	1	0	0	12	0	0	668	23	0	0	8	15	0
Precinct 7502 - Election Day	0	0	1	0	0	0	3	0	0	121	4	0	0	0	4	0
Precinct 7502	0	0	3	1	0	0	15	0	0	789	27	0	0	8	19	0
Precinct 7503 - Vote By Mail	1	1	6	0	1	0	10	0	0	614	19	0	0	0	19	0
Precinct 7503 - Election Day	0	0	0	0	0	0	6	0	0	148	6	0	0	0	6	0
Precinct 7503	1	1	6	0	1	0	16	0	0	762	25	0	0	0	25	0
Precinct 7504 - Vote By Mail	0	0	0	0	1	0	7	0	0	404	8	0	0	0	8	0
Precinct 7504 - Election Day	0	0	0	0	0	0	1	0	0	84	1	0	0	0	1	0
Precinct 7504	0	0	0	0	1	0	8	0	0	488	9	0	0	0	9	0
Precinct 7505 - Vote By Mail	0	2	2	0	0	2	29	0	0	729	41	0	0	6	35	0
Precinct 7505 - Election Day	0	0	0	1	0	0	1	0	0	133	2	0	0	0	2	0
Precinct 7505	0	2	2	1	0	2	30	0	0	862	43	0	0	6	37	0
Precinct 7506 - Vote By Mail	0	1	1	1	0	0	18	0	0	842	23	0	0	2	21	0
Precinct 7506 - Election Day	0	1	0	0	0	0	0	0	0	158	1	0	0	0	1	0
Precinct 7506	0	2	1	1	0	0	18	0	0	1,000	24	0	0	2	22	0
Precinct 7507 - Vote By Mail	0	0	0	0	0	0	7	0	0	694	9	0	0	2	7	0
Precinct 7507 - Election Day	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0
Precinct 7507	0	0	0	0	0	0	7	0	0	956	9	0	0	2	7	0
Precinct 7508 - Vote By Mail	1	0	3	0	0	0	17	0	0	618	22	0	0	1	21	0
Precinct 7508 - Election Day	0	0	0	0	0	0	3	0	0	126	3	0	0	0	3	0
Precinct 7508	1	0	3	0	0	0	20	0	0	744	25	0	0	1	24	0
Precinct 7509/7511 - Vote By Mail	0	1	1	0	0	0	12	0	0	756	16	0	0	2	14	0
Precinct 7509/7511 - Election Day	1	0	0	0	0	0	8	0	0	173	9	0	0	0	9	0
Precinct 7509/7511	1	1	1	0	0	0	20	0	0	929	25	0	0	2	23	0
Precinct 7512 - Vote By Mail	0	1	0	0	0	0	34	0	0	475	36	0	0	1	35	0
Precinct 7512 - Election Day	0	0	0	0	1	0	7	0	0	125	8	0	0	0	8	0
Precinct 7512	0	1	0	0	1	0	41	0	0	600	44	0	0	1	43	0
Precinct 7513 - Vote By Mail	0	0	0	1	0	0	12	0	0	575	13	0	0	0	13	0
Precinct 7513 - Election Day	0	1	0	0	0	0	2	0	0	231	3	0	0	0	3	0
Precinct 7513	0	1	0	1	0	0	14	0	0	806	16	0	0	0	16	0
Precinct 7514 - Vote By Mail	1	0	2	0	0	0	10	0	0	709	13	0	0	0	13	0
Precinct 7514 - Election Day	0	0	0	0	0	0	1	0	0	207	1	0	0	0	1	0
Precinct 7514	1	0	2	0	0	0	11	0	0	916	14	0	0	0	14	0
Precinct 7515 - Vote By Mail	0	0	0	1	0	0	11	0	0	663	16	0	0	4	12	0
Precinct 7515 - Election Day	0	0	0	0	0	0	1	0	0	201	1	0	0	0	1	0
Precinct 7515	0	0	0	1	0	0	12	0	0	864	17	0	0	4	13	0
Precinct 7516 - Vote By Mail	1	1	2	0	0	0	23	0	0	773	28	0	0	1	27	0
Precinct 7516 - Election Day	0	0	0	0	0	0	4	0	0	147	4	0	0	0	4	0
Precinct 7516	1	1	2	0	0	0	27	0	0	920	32	0	0	1	31	0
Precinct 7517 - Vote By Mail	0	1	2	0	0	0	3	0	0	645	8	0	0	2	6	0
Precinct 7517 - Election Day	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0
Precinct 7517	0	1	2	0	0	0	3	0	0	868	8	0	0	2	6	0
Precinct 7518 - Vote By Mail	0	2	1	0	0	0	4	0	0	708	10	0	0	3	7	0
Precinct 7518 - Election Day	0	0	0	0	0	0	0	0	0	218	1	0	0	1	0	0
Precinct 7518	0	2	1	0	0	0	4	0	0	926	11	0	0	4	7	0
Precinct 7519 - Vote By Mail	0	0	0	0	0	0	5	0	0	543	6	0	0	1	5	0
Precinct 7519 - Election Day	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0
Precinct 7519	0	0	0	0	0	0	5	0	0	715	6	0	0	1	5	0
Precinct 7521 - Vote By Mail	0	1	0	0	0	0	5	0	0	597	7	0	0	1	6	0
Precinct 7521 - Election Day	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0
Precinct 7521	0	1	0	0	0	0	5	0	0	779	7	0	0	1	6	0
Precinct 7522 - Vote By Mail	0	0	2	0	0	0	0	0	0	588	3	0	0	1	2	0
Precinct 7522 - Election Day	0	0	1	0	0	0	1	0	0	171	2	0	0	0	2	0
Precinct 7522	0	0	3	0	0	0	1	0	0	759	5	0	0	1	4	0
Precinct 7523 - Vote By Mail	0	0	0	0	0	0	6	0	0	564	8	0	0	2	6	0
Precinct 7523 - Election Day	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0
Precinct 7523	0	0	0	0	0	0	6	0	0	744	8	0	0	2	6	0
Precinct 7524 - Vote By Mail	0	0	0	0	0	0	2	0	0	480	2	0	0	0	2	0
Precinct 7524 - Election Day	0	0	0	0	0	0	1	0	0	144	2	0	0	0	2	1
Precinct 7524	0	0	0	0	0	0	3	0	0	624	4	0	0	0	4	1
Precinct 7525 - Vote By Mail	0	1	1	0	0	0	1	0	0	594	5	0	0	2	3	0
Precinct 7525 - Election Day	0	0	0	0	0	0	1	0	0	170	1	0	0	0	1	0
Precinct 7525	0	1	1	0	0	0	2	0	0	764	6	0	0	2	4	0
Precinct 7526 - Vote By Mail	0	1	0	0	0	0	6	0	0	826	7	0	0	0	7	0
Precinct 7526 - Election Day	0	0	0	1	0	0	1	0	0	162	2	0	0	0	2	0
Precinct 7526	0	1	0	1	0	0	7	0	0	988	9	0	0	0	9	0
Precinct 7527/7528 - Vote By Mail	0	0	2	0	0	0	7	0	0	538	10	0	0	1	9	0
Precinct 7527/7528 - Election Day	0	0	0	0	0	0	8	0	0	172	9	0	0	1	8	0
Precinct 7527/7528	0	0	2	0	0	0	15	0	0	710	19	0	0	2	17	0
Precinct 7529 - Vote By Mail	0	0	2	0	0	0	2	0	0	749	4	0	0	0	4	0
Precinct 7529 - Election Day	0	0	0	0	0	0	2	0	0	154	3	0	0	0	3	1
Precinct 7529	0	0	2	0	0	0	4	0	0	903	7	0	0	0	7	1
Precinct 7531 - Vote By Mail	0	0	1	0	0	0	5	0	0	714	6	0	0	0	6	0
Precinct 7531 - Election Day	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0
Precinct 7531	0	0	1	0	0	0	5	0	0	873	6	0	0	0	6	0
Precinct 7532 - Vote By Mail	0	0	1	0	0	1	5	0	0	668	7	0	0	0	7	0
Precinct 7532 - Election Day	0	0	0	0	0	0	5	0	0	167	5	0	0	0	5	0
Precinct 7532	0	0	1	0	0	1	10	0	0	835	12	0	0	0	12	0
Precinct 7533 - Vote By Mail	0	1	1	0	0	0	5	0	0	776	7	0	0	0	7	0
Precinct 7533 - Election Day	0	0	1	0	0	0	3	0	0	194	5	0	0	1	4	0
Precinct 7533	0	1	2	0	0	0	8	0	0	970	12	0	0	1	11	0
Precinct 7534 - Vote By Mail	0	0	1	0	1	0	6	0	0	670	10	0	0	2	8	0
Precinct 7534 - Election Day	0	0	0	0	0	0	1	0	0	233	2	0	0	1	1	0
Precinct 7534	0	0	1	0	1	0	7	0	0	903	12	0	0	3	9	0
Precinct 7535 - Vote By Mail	0	0	0	0	1	0	3	0	0	606	5	0	0	1	4	0
Precinct 7535 - Election Day	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0
Precinct 7535	0	0	0	0	1	0	3	0	0	745	5	0	0	1	4	0
Precinct 7536 - Vote By Mail	0	1	1	0	0	0	2	0	0	670	4	0	0	0	4	0
Precinct 7536 - Election Day	0	0	0	0	0	0	3	0	0	163	3	0	0	0	3	0
Precinct 7536	0	1	1	0	0	0	5	0	0	833	7	0	0	0	7	0
Precinct 7537 - Vote By Mail	0	1	0	0	0	1	4	0	0	619	7	0	0	1	6	0
Precinct 7537 - Election Day	0	0	0	0	0	0	1	0	0	126	1	0	0	0	1	0
Precinct 7537	0	1	0	0	0	1	5	0	0	745	8	0	0	1	7	0
Precinct 7538 - Vote By Mail	1	2	2	1	0	0	3	0	0	562	9	0	0	0	9	0
Precinct 7538 - Election Day	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0
Precinct 7538	1	2	2	1	0	0	3	0	0	751	9	0	0	0	9	0
Precinct 7539 - Vote By Mail	0	0	1	0	0	0	1	0	0	696	3	0	0	1	2	0
Precinct 7539 - Election Day	0	0	0	0	0	0	2	0	0	225	2	0	0	0	2	0
Precinct 7539	0	0	1	0	0	0	3	0	0	921	5	0	0	1	4	0
Precinct 7541 - Vote By Mail	0	0	0	0	0	0	2	0	0	600	5	0	0	3	2	0
Precinct 7541 - Election Day	0	0	0	0	0	0	1	0	0	170	1	0	0	0	1	0
Precinct 7541	0	0	0	0	0	0	3	0	0	770	6	0	0	3	3	0
Precinct 7542 - Vote By Mail	0	0	3	0	0	0	2	0	0	632	5	0	0	0	5	0
Precinct 7542 - Election Day	0	1	0	0	0	0	0	0	0	192	1	0	0	0	1	0
Precinct 7542	0	1	3	0	0	0	2	0	0	824	6	0	0	0	6	0
Precinct 7543 - Vote By Mail	0	1	0	0	0	0	8	0	0	694	11	0	0	2	9	0
Precinct 7543 - Election Day	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0
Precinct 7543	0	1	0	0	0	0	8	0	0	924	11	0	0	2	9	0
Precinct 7544 - Vote By Mail	0	0	0	0	0	0	2	0	0	731	2	0	0	0	2	0
Precinct 7544 - Election Day	0	0	1	0	0	0	2	0	0	168	4	0	0	1	3	0
Precinct 7544	0	0	1	0	0	0	4	0	0	899	6	0	0	1	5	0
Precinct 7545 - Vote By Mail	0	2	3	0	1	0	7	0	0	723	14	0	0	1	13	0
Precinct 7545 - Election Day	0	0	0	0	0	0	1	0	0	172	1	0	0	0	1	0
Precinct 7545	0	2	3	0	1	0	8	0	0	895	15	0	0	1	14	0
Precinct 7546 - Vote By Mail	0	1	3	0	0	0	1	0	0	770	6	0	0	1	5	0
Precinct 7546 - Election Day	0	0	1	0	0	0	4	0	0	183	5	0	0	0	5	0
Precinct 7546	0	1	4	0	0	0	5	0	0	953	11	0	0	1	10	0
Precinct 7547 - Vote By Mail	0	0	0	0	0	0	6	0	0	798	7	0	0	1	6	0
Precinct 7547 - Election Day	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0
Precinct 7547	0	0	0	0	0	0	6	0	0	981	7	0	0	1	6	0
Precinct 7548 - Vote By Mail	0	0	3	0	0	0	4	0	0	802	7	0	0	0	7	0
Precinct 7548 - Election Day	0	0	1	0	0	0	4	0	0	249	5	0	0	0	5	0
Precinct 7548	0	0	4	0	0	0	8	0	0	1,051	12	0	0	0	12	0
Precinct 7549 - Vote By Mail	0	0	1	1	0	0	6	0	0	660	9	0	0	1	8	0
Precinct 7549 - Election Day	0	0	0	0	0	0	3	0	0	146	3	0	0	0	3	0
Precinct 7549	0	0	1	1	0	0	9	0	0	806	12	0	0	1	11	0
Precinct 7551 - Vote By Mail	0	0	2	0	0	0	1	0	0	587	6	0	0	3	3	0
Precinct 7551 - Election Day	0	0	0	0	0	0	1	0	0	136	3	0	0	2	1	0
Precinct 7551	0	0	2	0	0	0	2	0	0	723	9	0	0	5	4	0
Precinct 7552 - Vote By Mail	0	0	3	0	0	1	5	0	0	561	9	0	0	0	9	0
Precinct 7552 - Election Day	0	0	0	1	0	0	1	0	0	124	2	0	0	0	2	0
Precinct 7552	0	0	3	1	0	1	6	0	0	685	11	0	0	0	11	0
Precinct 7553 MB - Vote By Mail	0	0	1	1	0	0	6	0	0	211	8	0	0	0	8	0
Precinct 7553 MB - Election Day	0	0	0	0	0	0	0	0	0	-20	0	0	0	0	0	0
Precinct 7553 MB	0	0	1	1	0	0	6	0	0	191	8	0	0	0	8	0
Precinct 7554 - Vote By Mail	0	1	0	1	0	0	4	0	0	653	7	0	0	1	6	0
Precinct 7554 - Election Day	0	0	1	0	0	0	3	0	0	168	4	0	0	0	4	0
Precinct 7554	0	1	1	1	0	0	7	0	0	821	11	0	0	1	10	0
