Subtotal Area	DOROTHY CHOU PROUDFOOT	MICHELLE TONG	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Supervisorial District 11 - Vote By Mail	4,924	6,567	30,643	13,440	0	29	1,920	11,491	0
Supervisorial District 11 - Election Day	1,226	2,124	8,032	4,053	0	2	667	3,384	34
Supervisorial District 11	6,150	8,691	38,675	17,493	0	31	2,587	14,875	34
Bayview/Hunters Point - Vote By Mail	2,095	2,839	15,464	5,944	0	10	1,000	4,934	0
Bayview/Hunters Point - Election Day	463	786	5,021	1,583	0	1	316	1,266	17
Bayview/Hunters Point	2,558	3,625	20,485	7,527	0	11	1,316	6,200	17
Chinatown - Vote By Mail	2,586	2,388	14,029	6,280	0	12	1,294	4,974	0
Chinatown - Election Day	900	1,141	3,238	2,815	0	4	755	2,056	15
Chinatown	3,486	3,529	17,267	9,095	0	16	2,049	7,030	15
Civic Center/Downtown - Vote By Mail	3,325	4,302	22,050	9,508	0	20	1,861	7,627	0
Civic Center/Downtown - Election Day	1,220	1,973	5,969	4,204	0	4	979	3,221	28
Civic Center/Downtown	4,545	6,275	28,019	13,712	0	24	2,840	10,848	28
Diamond Heights - Vote By Mail	1,315	1,533	5,630	3,494	0	3	643	2,848	0
Diamond Heights - Election Day	461	537	1,430	1,249	0	0	249	1,000	2
Diamond Heights	1,776	2,070	7,060	4,743	0	3	892	3,848	2
Excelsior - Vote By Mail	3,736	4,910	22,700	10,125	0	22	1,457	8,646	0
Excelsior - Election Day	930	1,552	5,893	3,002	0	2	492	2,508	26
Excelsior	4,666	6,462	28,593	13,127	0	24	1,949	11,154	26
Haight Ashbury - Vote By Mail	1,953	2,795	11,526	5,973	0	6	1,219	4,748	0
Haight Ashbury - Election Day	1,014	1,674	2,336	3,502	0	0	802	2,700	12
Haight Ashbury	2,967	4,469	13,862	9,475	0	6	2,021	7,448	12
Ingleside - Vote By Mail	1,518	2,026	9,818	4,131	0	7	580	3,544	0
Ingleside - Election Day	383	722	2,577	1,320	0	0	206	1,114	9
Ingleside	1,901	2,748	12,395	5,451	0	7	786	4,658	9
Inner Sunset - Vote By Mail	1,423	1,822	7,628	4,028	0	0	783	3,245	0
Inner Sunset - Election Day	658	1,098	2,030	2,242	0	0	476	1,766	10
Inner Sunset	2,081	2,920	9,658	6,270	0	0	1,259	5,011	10
Lake Merced - Vote By Mail	1,271	1,352	7,416	3,142	0	2	517	2,623	0
Lake Merced - Election Day	352	410	842	939	0	1	169	769	7
Lake Merced	1,623	1,762	8,258	4,081	0	3	686	3,392	7
Laurel Heights/Anza Vista - Vote By Mail	1,460	1,728	8,172	3,953	0	5	760	3,188	0
Laurel Heights/Anza Vista - Election Day	643	917	1,850	2,034	0	2	467	1,565	5
Laurel Heights/Anza Vista	2,103	2,645	10,022	5,987	0	7	1,227	4,753	5
Marina Pacific Heights - Vote By Mail	6,457	5,432	33,509	15,534	0	3	3,642	11,889	0
Marina Pacific Heights - Election Day	2,564	3,006	5,931	7,964	0	3	2,353	5,608	38
Marina Pacific Heights	9,021	8,438	39,440	23,498	0	6	5,995	17,497	38
Mission - Vote By Mail	3,370	6,407	23,572	11,865	0	15	2,073	9,777	0
Mission - Election Day	1,205	3,158	7,433	5,385	0	4	983	4,398	35
Mission	4,575	9,565	31,005	17,250	0	19	3,056	14,175	35
North Bernal Heights - Vote By Mail	1,167	2,075	6,791	3,992	0	2	748	3,242	0
North Bernal Heights - Election Day	445	1,049	1,942	1,795	0	1	291	1,503	9
North Bernal Heights	1,612	3,124	8,733	5,787	0	3	1,039	4,745	9
North Embarcadero - Vote By Mail	1,139	976	5,779	2,678	0	3	560	2,115	0
North Embarcadero - Election Day	448	435	1,309	1,197	0	0	309	888	5
North Embarcadero	1,587	1,411	7,088	3,875	0	3	869	3,003	5
Noe Valley - Vote By Mail	2,787	3,641	13,553	8,168	0	2	1,738	6,428	0
Noe Valley - Election Day	998	1,712	3,435	3,395	0	0	675	2,720	10
Noe Valley	3,785	5,353	16,988	11,563	0	2	2,413	9,148	10
Portola - Vote By Mail	1,251	1,664	7,830	3,526	0	7	604	2,915	0
Portola - Election Day	303	456	1,802	958	0	0	194	764	5
Portola	1,554	2,120	9,632	4,484	0	7	798	3,679	5
Potrero Hill - Vote By Mail	2,498	3,061	14,623	6,960	0	5	1,396	5,559	0
Potrero Hill - Election Day	726	1,273	2,733	2,592	0	0	580	2,012	13
