Subtotal Area	JESSICA HO	ADAM KIM	TUAN NGUYEN	ARTHUR TOM	TREVOR MCNEIL	GORDON MAR	MIKE MURPHY	LOU ANN BASSAN	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
Precinct 9434 - Vote By Mail	0	0	0	0	0	0	0	0	979	0	0	0	0	0	0	0
Precinct 9435 - Election Day	0	0	0	0	0	0	0	0	969	0	0	0	0	0	0	0
Precinct 9435 - Vote By Mail	0	0	0	0	0	0	0	0	969	0	0	0	0	0	0	0
Precinct 9436 - Election Day	0	0	0	0	0	0	0	0	1,006	0	0	0	0	0	0	0
Precinct 9436 - Vote By Mail	0	0	0	0	0	0	0	0	1,006	0	0	0	0	0	0	0
Precinct 9437 - Election Day	0	0	0	0	0	0	0	0	897	0	0	0	0	0	0	0
Precinct 9437 - Vote By Mail	0	0	0	0	0	0	0	0	897	0	0	0	0	0	0	0
Precinct 9438 - Election Day	0	0	0	0	0	0	0	0	948	0	0	0	0	0	0	0
Precinct 9438 - Vote By Mail	0	0	0	0	0	0	0	0	948	0	0	0	0	0	0	0
Precinct 9439 - Election Day	0	0	0	0	0	0	0	0	879	0	0	0	0	0	0	0
Precinct 9439 - Vote By Mail	0	0	0	0	0	0	0	0	879	0	0	0	0	0	0	0
Precinct 9441 - Election Day	0	0	0	0	0	0	0	0	980	0	0	0	0	0	0	0
Precinct 9441 - Vote By Mail	0	0	0	0	0	0	0	0	980	0	0	0	0	0	0	0
Precinct 9442 - Election Day	0	0	0	0	0	0	0	0	1,008	0	0	0	0	0	0	0
Precinct 9442 - Vote By Mail	0	0	0	0	0	0	0	0	1,008	0	0	0	0	0	0	0
Precinct 9443 - Election Day	0	0	0	0	0	0	0	0	937	0	0	0	0	0	0	0
Precinct 9443 - Vote By Mail	0	0	0	0	0	0	0	0	937	0	0	0	0	0	0	0
Precinct 9444 - Election Day	0	0	0	0	0	0	0	0	937	0	0	0	0	0	0	0
Precinct 9444 - Vote By Mail	0	0	0	0	0	0	0	0	937	0	0	0	0	0	0	0
Precinct 9445 - Election Day	0	0	0	0	0	0	0	0	981	0	0	0	0	0	0	0
Precinct 9445 - Vote By Mail	0	0	0	0	0	0	0	0	981	0	0	0	0	0	0	0
Precinct 9446 - Election Day	0	0	0	0	0	0	0	0	1,090	0	0	0	0	0	0	0
Precinct 9446 - Vote By Mail	0	0	0	0	0	0	0	0	1,090	0	0	0	0	0	0	0
Precinct 9447 - Election Day	0	0	0	0	0	0	0	0	906	0	0	0	0	0	0	0
Precinct 9447 - Vote By Mail	0	0	0	0	0	0	0	0	906	0	0	0	0	0	0	0
Precinct 9448 - Election Day	0	0	0	0	0	0	0	0	909	0	0	0	0	0	0	0
Precinct 9448 - Vote By Mail	0	0	0	0	0	0	0	0	909	0	0	0	0	0	0	0
Precinct 9449 - Election Day	0	0	0	0	0	0	0	0	830	0	0	0	0	0	0	0
Precinct 9449 - Vote By Mail	0	0	0	0	0	0	0	0	830	0	0	0	0	0	0	0
Precinct 9451 - Election Day	0	0	0	0	0	0	0	0	420	0	0	0	0	0	0	0
Precinct 9451 - Vote By Mail	0	0	0	0	0	0	0	0	420	0	0	0	0	0	0	0
Precinct 9452 - Election Day	0	0	0	0	0	0	0	0	840	0	0	0	0	0	0	0
Precinct 9452 - Vote By Mail	0	0	0	0	0	0	0	0	840	0	0	0	0	0	0	0
Precinct 9453 - Election Day	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0
Precinct 9453 - Vote By Mail	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0
Congressional District 12	0	0	0	0	0	0	0	0	42,453	0	0	0	0	0	0	0
Congressional District 14	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0
Assembly District 19	0	0	0	0	0	0	0	0	42,953	0	0	0	0	0	0	0
BART District 8	0	0	0	0	0	0	0	0	42,363	0	0	0	0	0	0	0
BART District 9	0	0	0	0	0	0	0	0	590	0	0	0	0	0	0	0
Supervisorial District 4	0	0	0	0	0	0	0	0	42,953	0	0	0	0	0	0	0
Inner Sunset	0	0	0	0	0	0	0	0	590	0	0	0	0	0	0	0
Sunset	0	0	0	0	0	0	0	0	42,363	0	0	0	0	0	0	0
