Subtotal Area	JOHN RIZZO	BRIGITTE DAVILA	VICTOR OLIVIERI	THEA SELBY	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 1122 - None	0	0	0	0	632	0	0	0	0	0	0
Precinct 1122 - None	0	0	0	0	632	0	0	0	0	0	0
Precinct 1123 - None	0	0	0	0	915	0	0	0	0	0	0
Precinct 1123 - None	0	0	0	0	915	0	0	0	0	0	0
Precinct 1124 - None	0	0	0	0	819	0	0	0	0	0	0
Precinct 1124 - None	0	0	0	0	819	0	0	0	0	0	0
Precinct 1125 - None	0	0	0	0	1,047	0	0	0	0	0	0
Precinct 1125 - None	0	0	0	0	1,047	0	0	0	0	0	0
Precinct 1126 - None	0	0	0	0	922	0	0	0	0	0	0
Precinct 1126 - None	0	0	0	0	922	0	0	0	0	0	0
Precinct 1127 - None	0	0	0	0	920	0	0	0	0	0	0
Precinct 1127 - None	0	0	0	0	920	0	0	0	0	0	0
Precinct 1128 - None	0	0	0	0	838	0	0	0	0	0	0
Precinct 1128 - None	0	0	0	0	838	0	0	0	0	0	0
Precinct 1129 - None	0	0	0	0	980	0	0	0	0	0	0
Precinct 1129 - None	0	0	0	0	980	0	0	0	0	0	0
Precinct 1131 - None	0	0	0	0	797	0	0	0	0	0	0
Precinct 1131 - None	0	0	0	0	797	0	0	0	0	0	0
Precinct 1132 - None	0	0	0	0	969	0	0	0	0	0	0
Precinct 1132 - None	0	0	0	0	969	0	0	0	0	0	0
Precinct 1133 - None	0	0	0	0	863	0	0	0	0	0	0
Precinct 1133 - None	0	0	0	0	863	0	0	0	0	0	0
Precinct 1134 - None	0	0	0	0	759	0	0	0	0	0	0
Precinct 1134 - None	0	0	0	0	759	0	0	0	0	0	0
Precinct 1135 - None	0	0	0	0	540	0	0	0	0	0	0
Precinct 1135 - None	0	0	0	0	540	0	0	0	0	0	0
Precinct 1136 - None	0	0	0	0	829	0	0	0	0	0	0
Precinct 1136 - None	0	0	0	0	829	0	0	0	0	0	0
Precinct 1141 - None	0	0	0	0	1,041	0	0	0	0	0	0
Precinct 1141 - None	0	0	0	0	1,041	0	0	0	0	0	0
Precinct 1142 - None	0	0	0	0	861	0	0	0	0	0	0
Precinct 1142 - None	0	0	0	0	861	0	0	0	0	0	0
Precinct 1143 - None	0	0	0	0	1,034	0	0	0	0	0	0
Precinct 1143 - None	0	0	0	0	1,034	0	0	0	0	0	0
Precinct 1144 - None	0	0	0	0	907	0	0	0	0	0	0
Precinct 1144 - None	0	0	0	0	907	0	0	0	0	0	0
Precinct 1145 - None	0	0	0	0	888	0	0	0	0	0	0
Precinct 1145 - None	0	0	0	0	888	0	0	0	0	0	0
Precinct 1146 - None	0	0	0	0	1,011	0	0	0	0	0	0
Precinct 1146 - None	0	0	0	0	1,011	0	0	0	0	0	0
Precinct 1147 - None	0	0	0	0	877	0	0	0	0	0	0
Precinct 1147 - None	0	0	0	0	877	0	0	0	0	0	0
Precinct 1148 - None	0	0	0	0	962	0	0	0	0	0	0
Precinct 1148 - None	0	0	0	0	962	0	0	0	0	0	0
Precinct 1149 - None	0	0	0	0	907	0	0	0	0	0	0
Precinct 1149 - None	0	0	0	0	907	0	0	0	0	0	0
Precinct 1152 - None	0	0	0	0	864	0	0	0	0	0	0
Precinct 1152 - None	0	0	0	0	864	0	0	0	0	0	0
Precinct 1153 - None	0	0	0	0	951	0	0	0	0	0	0
Precinct 1153 - None	0	0	0	0	951	0	0	0	0	0	0
Precinct 7001 - None	0	0	0	0	776	0	0	0	0	0	0
Precinct 7001 - None	0	0	0	0	776	0	0	0	0	0	0
Precinct 7002 - None	0	0	0	0	706	0	0	0	0	0	0
Precinct 7002 - None	0	0	0	0	706	0	0	0	0	0	0
Precinct 7003 - None	0	0	0	0	884	0	0	0	0	0	0
Precinct 7003 - None	0	0	0	0	884	0	0	0	0	0	0
Precinct 7004 - None	0	0	0	0	881	0	0	0	0	0	0
Precinct 7004 - None	0	0	0	0	881	0	0	0	0	0	0
Precinct 7005 - None	0	0	0	0	847	0	0	0	0	0	0
Precinct 7005 - None	0	0	0	0	847	0	0	0	0	0	0
Precinct 7006 - None	0	0	0	0	917	0	0	0	0	0	0
Precinct 7006 - None	0	0	0	0	917	0	0	0	0	0	0
Precinct 7007 - None	0	0	0	0	949	0	0	0	0	0	0
Precinct 7007 - None	0	0	0	0	949	0	0	0	0	0	0
Precinct 7008 - None	0	0	0	0	932	0	0	0	0	0	0
Precinct 7008 - None	0	0	0	0	932	0	0	0	0	0	0
Precinct 7009 - None	0	0	0	0	905	0	0	0	0	0	0
Precinct 7009 - None	0	0	0	0	905	0	0	0	0	0	0
Precinct 7011 - None	0	0	0	0	985	0	0	0	0	0	0
Precinct 7011 - None	0	0	0	0	985	0	0	0	0	0	0
Precinct 7012 - None	0	0	0	0	1,109	0	0	0	0	0	0
Precinct 7012 - None	0	0	0	0	1,109	0	0	0	0	0	0
Precinct 7013 - None	0	0	0	0	956	0	0	0	0	0	0
Precinct 7013 - None	0	0	0	0	956	0	0	0	0	0	0
Precinct 7014 - None	0	0	0	0	1,460	0	0	0	0	0	0
Precinct 7014 - None	0	0	0	0	1,460	0	0	0	0	0	0
Precinct 7015 MB - None	0	0	0	0	95	0	0	0	0	0	0
Precinct 7016 - None	0	0	0	0	918	0	0	0	0	0	0
Precinct 7016 - None	0	0	0	0	918	0	0	0	0	0	0
Precinct 7017 - None	0	0	0	0	754	0	0	0	0	0	0
Precinct 7017 - None	0	0	0	0	754	0	0	0	0	0	0
Precinct 7018 - None	0	0	0	0	977	0	0	0	0	0	0
Precinct 7018 - None	0	0	0	0	977	0	0	0	0	0	0
Precinct 7019 - None	0	0	0	0	899	0	0	0	0	0	0
Precinct 7019 - None	0	0	0	0	899	0	0	0	0	0	0
Precinct 7021 - None	0	0	0	0	947	0	0	0	0	0	0
Precinct 7021 - None	0	0	0	0	947	0	0	0	0	0	0
Precinct 7022 - None	0	0	0	0	945	0	0	0	0	0	0
Precinct 7022 - None	0	0	0	0	945	0	0	0	0	0	0
Precinct 7023 - None	0	0	0	0	928	0	0	0	0	0	0
Precinct 7023 - None	0	0	0	0	928	0	0	0	0	0	0
Precinct 7024 - None	0	0	0	0	414	0	0	0	0	0	0
Precinct 7024 - None	0	0	0	0	414	0	0	0	0	0	0
Precinct 7025 - None	0	0	0	0	477	0	0	0	0	0	0
Precinct 7025 - None	0	0	0	0	477	0	0	0	0	0	0
Precinct 7026 - None	0	0	0	0	1,011	0	0	0	0	0	0
Precinct 7026 - None	0	0	0	0	1,011	0	0	0	0	0	0
Precinct 7027 - None	0	0	0	0	869	0	0	0	0	0	0
Precinct 7027 - None	0	0	0	0	869	0	0	0	0	0	0
Precinct 7028 - None	0	0	0	0	850	0	0	0	0	0	0
Precinct 7028 - None	0	0	0	0	850	0	0	0	0	0	0
Precinct 7029 - None	0	0	0	0	901	0	0	0	0	0	0
Precinct 7029 - None	0	0	0	0	901	0	0	0	0	0	0
Precinct 7030 - None	0	0	0	0	759	0	0	0	0	0	0
Precinct 7030 - None	0	0	0	0	759	0	0	0	0	0	0
Precinct 7031 - None	0	0	0	0	641	0	0	0	0	0	0
Precinct 7031 - None	0	0	0	0	641	0	0	0	0	0	0
Precinct 7032 - None	0	0	0	0	904	0	0	0	0	0	0
Precinct 7032 - None	0	0	0	0	904	0	0	0	0	0	0
Precinct 7033 - None	0	0	0	0	798	0	0	0	0	0	0
Precinct 7033 - None	0	0	0	0	798	0	0	0	0	0	0
Precinct 7034 - None	0	0	0	0	958	0	0	0	0	0	0
Precinct 7034 - None	0	0	0	0	958	0	0	0	0	0	0
Precinct 7035 - None	0	0	0	0	606	0	0	0	0	0	0
Precinct 7035 - None	0	0	0	0	606	0	0	0	0	0	0
Precinct 7036 - None	0	0	0	0	921	0	0	0	0	0	0
Precinct 7036 - None	0	0	0	0	921	0	0	0	0	0	0
Precinct 7037 - None	0	0	0	0	735	0	0	0	0	0	0
Precinct 7037 - None	0	0	0	0	735	0	0	0	0	0	0
Precinct 7038 - None	0	0	0	0	911	0	0	0	0	0	0
Precinct 7038 - None	0	0	0	0	911	0	0	0	0	0	0
Precinct 7039 - None	0	0	0	0	784	0	0	0	0	0	0
Precinct 7039 - None	0	0	0	0	784	0	0	0	0	0	0
Precinct 7041 MB - None	0	0	0	0	61	0	0	0	0	0	0
Precinct 7042 - None	0	0	0	0	639	0	0	0	0	0	0
Precinct 7042 - None	0	0	0	0	639	0	0	0	0	0	0
Precinct 7043 - None	0	0	0	0	957	0	0	0	0	0	0
Precinct 7043 - None	0	0	0	0	957	0	0	0	0	0	0
Precinct 7044 - None	0	0	0	0	827	0	0	0	0	0	0
Precinct 7044 - None	0	0	0	0	827	0	0	0	0	0	0
Precinct 7045 - None	0	0	0	0	779	0	0	0	0	0	0
Precinct 7045 - None	0	0	0	0	779	0	0	0	0	0	0
Precinct 7046 - None	0	0	0	0	402	0	0	0	0	0	0
Precinct 7046 - None	0	0	0	0	402	0	0	0	0	0	0
Precinct 7047 - None	0	0	0	0	823	0	0	0	0	0	0
Precinct 7047 - None	0	0	0	0	823	0	0	0	0	0	0
Precinct 7048 - None	0	0	0	0	858	0	0	0	0	0	0
Precinct 7048 - None	0	0	0	0	858	0	0	0	0	0	0
Precinct 7049 - None	0	0	0	0	792	0	0	0	0	0	0
Precinct 7049 - None	0	0	0	0	792	0	0	0	0	0	0
Precinct 7051 - None	0	0	0	0	861	0	0	0	0	0	0
Precinct 7051 - None	0	0	0	0	861	0	0	0	0	0	0
Precinct 7052 - None	0	0	0	0	852	0	0	0	0	0	0
Precinct 7052 - None	0	0	0	0	852	0	0	0	0	0	0
Precinct 7053 - None	0	0	0	0	548	0	0	0	0	0	0
Precinct 7053 - None	0	0	0	0	548	0	0	0	0	0	0
Precinct 7054 - None	0	0	0	0	1,073	0	0	0	0	0	0
Precinct 7054 - None	0	0	0	0	1,073	0	0	0	0	0	0
Precinct 7055 - None	0	0	0	0	808	0	0	0	0	0	0
Precinct 7055 - None	0	0	0	0	808	0	0	0	0	0	0
Precinct 7101 MB - None	0	0	0	0	155	0	0	0	0	0	0
Precinct 7201 - None	0	0	0	0	936	0	0	0	0	0	0
Precinct 7201 - None	0	0	0	0	936	0	0	0	0	0	0
Precinct 7202 - None	0	0	0	0	850	0	0	0	0	0	0
Precinct 7202 - None	0	0	0	0	850	0	0	0	0	0	0
Precinct 7203 - None	0	0	0	0	921	0	0	0	0	0	0
Precinct 7203 - None	0	0	0	0	921	0	0	0	0	0	0
Precinct 7204 - None	0	0	0	0	918	0	0	0	0	0	0
Precinct 7204 - None	0	0	0	0	918	0	0	0	0	0	0
Precinct 7205 - None	0	0	0	0	875	0	0	0	0	0	0
Precinct 7205 - None	0	0	0	0	875	0	0	0	0	0	0
Precinct 7206 - None	0	0	0	0	378	0	0	0	0	0	0
Precinct 7206 - None	0	0	0	0	378	0	0	0	0	0	0
Precinct 7207 - None	0	0	0	0	812	0	0	0	0	0	0
Precinct 7207 - None	0	0	0	0	812	0	0	0	0	0	0
Precinct 7208 - None	0	0	0	0	600	0	0	0	0	0	0
Precinct 7208 - None	0	0	0	0	600	0	0	0	0	0	0
Precinct 7209 - None	0	0	0	0	626	0	0	0	0	0	0
Precinct 7209 - None	0	0	0	0	626	0	0	0	0	0	0
Precinct 7301 - None	0	0	0	0	1,016	0	0	0	0	0	0
Precinct 7301 - None	0	0	0	0	1,016	0	0	0	0	0	0
Precinct 7302 - None	0	0	0	0	814	0	0	0	0	0	0
Precinct 7302 - None	0	0	0	0	814	0	0	0	0	0	0
Precinct 7303 - None	0	0	0	0	1,042	0	0	0	0	0	0
Precinct 7303 - None	0	0	0	0	1,042	0	0	0	0	0	0
Precinct 7304 - None	0	0	0	0	1,002	0	0	0	0	0	0
Precinct 7304 - None	0	0	0	0	1,002	0	0	0	0	0	0
Precinct 7305 - None	0	0	0	0	871	0	0	0	0	0	0
Precinct 7305 - None	0	0	0	0	871	0	0	0	0	0	0
Precinct 7306 - None	0	0	0	0	1,056	0	0	0	0	0	0
Precinct 7306 - None	0	0	0	0	1,056	0	0	0	0	0	0
Precinct 7307 - None	0	0	0	0	767	0	0	0	0	0	0
Precinct 7307 - None	0	0	0	0	767	0	0	0	0	0	0
Precinct 7308 - None	0	0	0	0	603	0	0	0	0	0	0
Precinct 7308 - None	0	0	0	0	603	0	0	0	0	0	0
Precinct 7309 - None	0	0	0	0	884	0	0	0	0	0	0
Precinct 7309 - None	0	0	0	0	884	0	0	0	0	0	0
Precinct 7311 - None	0	0	0	0	917	0	0	0	0	0	0
Precinct 7311 - None	0	0	0	0	917	0	0	0	0	0	0
Precinct 7312 - None	0	0	0	0	821	0	0	0	0	0	0
Precinct 7312 - None	0	0	0	0	821	0	0	0	0	0	0
Precinct 7313 - None	0	0	0	0	968	0	0	0	0	0	0
Precinct 7313 - None	0	0	0	0	968	0	0	0	0	0	0
Precinct 7314 - None	0	0	0	0	787	0	0	0	0	0	0
Precinct 7314 - None	0	0	0	0	787	0	0	0	0	0	0
Precinct 7315 - None	0	0	0	0	760	0	0	0	0	0	0
