Subtotal Area	DAVID CHIU	ALEJANDRO FERNANDEZ	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7012 - None	0	0	1,109	0	0	0	0	0
Precinct 7013 - None	0	0	956	0	0	0	0	0
Precinct 7013 - None	0	0	956	0	0	0	0	0
Precinct 7014 - None	0	0	1,460	0	0	0	0	0
Precinct 7014 - None	0	0	1,460	0	0	0	0	0
Precinct 7015 MB - None	0	0	95	0	0	0	0	0
Precinct 7016 - None	0	0	918	0	0	0	0	0
Precinct 7016 - None	0	0	918	0	0	0	0	0
Precinct 7017 - None	0	0	754	0	0	0	0	0
Precinct 7017 - None	0	0	754	0	0	0	0	0
Precinct 7018 - None	0	0	977	0	0	0	0	0
Precinct 7018 - None	0	0	977	0	0	0	0	0
Precinct 7019 - None	0	0	899	0	0	0	0	0
Precinct 7019 - None	0	0	899	0	0	0	0	0
Precinct 7021 - None	0	0	947	0	0	0	0	0
Precinct 7021 - None	0	0	947	0	0	0	0	0
Precinct 7022 - None	0	0	945	0	0	0	0	0
Precinct 7022 - None	0	0	945	0	0	0	0	0
Precinct 7023 - None	0	0	928	0	0	0	0	0
Precinct 7023 - None	0	0	928	0	0	0	0	0
Precinct 7024 - None	0	0	414	0	0	0	0	0
Precinct 7024 - None	0	0	414	0	0	0	0	0
Precinct 7025 - None	0	0	477	0	0	0	0	0
Precinct 7025 - None	0	0	477	0	0	0	0	0
Precinct 7026 - None	0	0	1,011	0	0	0	0	0
Precinct 7026 - None	0	0	1,011	0	0	0	0	0
Precinct 7027 - None	0	0	869	0	0	0	0	0
Precinct 7027 - None	0	0	869	0	0	0	0	0
Precinct 7028 - None	0	0	850	0	0	0	0	0
Precinct 7028 - None	0	0	850	0	0	0	0	0
Precinct 7029 - None	0	0	901	0	0	0	0	0
Precinct 7029 - None	0	0	901	0	0	0	0	0
Precinct 7030 - None	0	0	759	0	0	0	0	0
Precinct 7030 - None	0	0	759	0	0	0	0	0
Precinct 7031 - None	0	0	641	0	0	0	0	0
Precinct 7031 - None	0	0	641	0	0	0	0	0
Precinct 7032 - None	0	0	904	0	0	0	0	0
Precinct 7032 - None	0	0	904	0	0	0	0	0
Precinct 7033 - None	0	0	798	0	0	0	0	0
Precinct 7033 - None	0	0	798	0	0	0	0	0
Precinct 7034 - None	0	0	958	0	0	0	0	0
Precinct 7034 - None	0	0	958	0	0	0	0	0
Precinct 7035 - None	0	0	606	0	0	0	0	0
Precinct 7035 - None	0	0	606	0	0	0	0	0
Precinct 7036 - None	0	0	921	0	0	0	0	0
Precinct 7036 - None	0	0	921	0	0	0	0	0
Precinct 7037 - None	0	0	735	0	0	0	0	0
Precinct 7037 - None	0	0	735	0	0	0	0	0
Precinct 7038 - None	0	0	911	0	0	0	0	0
Precinct 7038 - None	0	0	911	0	0	0	0	0
Precinct 7039 - None	0	0	784	0	0	0	0	0
Precinct 7039 - None	0	0	784	0	0	0	0	0
Precinct 7041 MB - None	0	0	61	0	0	0	0	0
Precinct 7042 - None	0	0	639	0	0	0	0	0
Precinct 7042 - None	0	0	639	0	0	0	0	0
Precinct 7043 - None	0	0	957	0	0	0	0	0
Precinct 7043 - None	0	0	957	0	0	0	0	0
Precinct 7044 - None	0	0	827	0	0	0	0	0
Precinct 7044 - None	0	0	827	0	0	0	0	0
Precinct 7045 - None	0	0	779	0	0	0	0	0
Precinct 7045 - None	0	0	779	0	0	0	0	0
Precinct 7046 - None	0	0	402	0	0	0	0	0
Precinct 7046 - None	0	0	402	0	0	0	0	0
Precinct 7047 - None	0	0	823	0	0	0	0	0
Precinct 7047 - None	0	0	823	0	0	0	0	0
Precinct 7048 - None	0	0	858	0	0	0	0	0
Precinct 7048 - None	0	0	858	0	0	0	0	0
Precinct 7049 - None	0	0	792	0	0	0	0	0
Precinct 7049 - None	0	0	792	0	0	0	0	0
Precinct 7051 - None	0	0	861	0	0	0	0	0
Precinct 7051 - None	0	0	861	0	0	0	0	0
Precinct 7052 - None	0	0	852	0	0	0	0	0
Precinct 7052 - None	0	0	852	0	0	0	0	0
Precinct 7053 - None	0	0	548	0	0	0	0	0
Precinct 7053 - None	0	0	548	0	0	0	0	0
Precinct 7054 - None	0	0	1,073	0	0	0	0	0
Precinct 7054 - None	0	0	1,073	0	0	0	0	0
Precinct 7055 - None	0	0	808	0	0	0	0	0
Precinct 7055 - None	0	0	808	0	0	0	0	0
Precinct 7101 MB - None	0	0	155	0	0	0	0	0
Precinct 7201 - None	0	0	936	0	0	0	0	0
Precinct 7201 - None	0	0	936	0	0	0	0	0
Precinct 7202 - None	0	0	850	0	0	0	0	0
Precinct 7202 - None	0	0	850	0	0	0	0	0
Precinct 7203 - None	0	0	921	0	0	0	0	0
Precinct 7203 - None	0	0	921	0	0	0	0	0
Precinct 7204 - None	0	0	918	0	0	0	0	0
Precinct 7204 - None	0	0	918	0	0	0	0	0
Precinct 7205 - None	0	0	875	0	0	0	0	0
Precinct 7205 - None	0	0	875	0	0	0	0	0
Precinct 7206 - None	0	0	378	0	0	0	0	0
Precinct 7206 - None	0	0	378	0	0	0	0	0
Precinct 7207 - None	0	0	812	0	0	0	0	0
Precinct 7207 - None	0	0	812	0	0	0	0	0
Precinct 7208 - None	0	0	600	0	0	0	0	0
Precinct 7208 - None	0	0	600	0	0	0	0	0
Precinct 7209 - None	0	0	626	0	0	0	0	0
Precinct 7209 - None	0	0	626	0	0	0	0	0
Precinct 7301 - None	0	0	1,016	0	0	0	0	0
