Subtotal Area	LAWRENCE "STARK" DAGESSE	RAFAEL MANDELMAN	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
Precinct 7847 - Election Day	0	0	929	0	0	0	0	0	0	0
Precinct 7847 - Vote By Mail	0	0	929	0	0	0	0	0	0	0
Precinct 7848 - Election Day	0	0	834	0	0	0	0	0	0	0
Precinct 7848 - Vote By Mail	0	0	834	0	0	0	0	0	0	0
Precinct 7849 - Election Day	0	0	929	0	0	0	0	0	0	0
Precinct 7849 - Vote By Mail	0	0	929	0	0	0	0	0	0	0
Precinct 7851 - Election Day	0	0	513	0	0	0	0	0	0	0
Precinct 7851 - Vote By Mail	0	0	513	0	0	0	0	0	0	0
Precinct 7852 - Election Day	0	0	647	0	0	0	0	0	0	0
Precinct 7852 - Vote By Mail	0	0	647	0	0	0	0	0	0	0
Precinct 7853 - Election Day	0	0	850	0	0	0	0	0	0	0
Precinct 7853 - Vote By Mail	0	0	850	0	0	0	0	0	0	0
Precinct 7854 - Election Day	0	0	894	0	0	0	0	0	0	0
Precinct 7854 - Vote By Mail	0	0	894	0	0	0	0	0	0	0
Precinct 7855 - Election Day	0	0	986	0	0	0	0	0	0	0
Precinct 7855 - Vote By Mail	0	0	986	0	0	0	0	0	0	0
Precinct 7856 - Election Day	0	0	800	0	0	0	0	0	0	0
Precinct 7856 - Vote By Mail	0	0	800	0	0	0	0	0	0	0
Precinct 7857 - Election Day	0	0	933	0	0	0	0	0	0	0
Precinct 7857 - Vote By Mail	0	0	933	0	0	0	0	0	0	0
Precinct 7858 - Election Day	0	0	775	0	0	0	0	0	0	0
Precinct 7858 - Vote By Mail	0	0	775	0	0	0	0	0	0	0
Precinct 7859 - Election Day	0	0	891	0	0	0	0	0	0	0
Precinct 7859 - Vote By Mail	0	0	891	0	0	0	0	0	0	0
Precinct 7861 - Election Day	0	0	859	0	0	0	0	0	0	0
Precinct 7861 - Vote By Mail	0	0	859	0	0	0	0	0	0	0
Precinct 7862 - Election Day	0	0	866	0	0	0	0	0	0	0
Precinct 7862 - Vote By Mail	0	0	866	0	0	0	0	0	0	0
Precinct 7863 - Election Day	0	0	907	0	0	0	0	0	0	0
Precinct 7863 - Vote By Mail	0	0	907	0	0	0	0	0	0	0
Precinct 7864 - Election Day	0	0	807	0	0	0	0	0	0	0
Precinct 7864 - Vote By Mail	0	0	807	0	0	0	0	0	0	0
Precinct 7865 - Election Day	0	0	823	0	0	0	0	0	0	0
Precinct 7865 - Vote By Mail	0	0	823	0	0	0	0	0	0	0
Precinct 7866 - Election Day	0	0	836	0	0	0	0	0	0	0
Precinct 7866 - Vote By Mail	0	0	836	0	0	0	0	0	0	0
Precinct 7867 - Election Day	0	0	955	0	0	0	0	0	0	0
Precinct 7867 - Vote By Mail	0	0	955	0	0	0	0	0	0	0
Precinct 7868 - Election Day	0	0	881	0	0	0	0	0	0	0
Precinct 7868 - Vote By Mail	0	0	881	0	0	0	0	0	0	0
Precinct 7869 - Election Day	0	0	867	0	0	0	0	0	0	0
Precinct 7869 - Vote By Mail	0	0	867	0	0	0	0	0	0	0
Precinct 7871 - Election Day	0	0	900	0	0	0	0	0	0	0
Precinct 7871 - Vote By Mail	0	0	900	0	0	0	0	0	0	0
Precinct 7872 - Election Day	0	0	862	0	0	0	0	0	0	0
Precinct 7872 - Vote By Mail	0	0	862	0	0	0	0	0	0	0
Precinct 7873 - Election Day	0	0	861	0	0	0	0	0	0	0
Precinct 7873 - Vote By Mail	0	0	861	0	0	0	0	0	0	0
Precinct 7874 - Election Day	0	0	477	0	0	0	0	0	0	0
Precinct 7874 - Vote By Mail	0	0	477	0	0	0	0	0	0	0
Precinct 7875 - Election Day	0	0	623	0	0	0	0	0	0	0
Precinct 7875 - Vote By Mail	0	0	623	0	0	0	0	0	0	0
Precinct 7876 - Election Day	0	0	498	0	0	0	0	0	0	0
Precinct 7876 - Vote By Mail	0	0	498	0	0	0	0	0	0	0
Precinct 9801 - Election Day	0	0	408	0	0	0	0	0	0	0
Precinct 9801 - Vote By Mail	0	0	408	0	0	0	0	0	0	0
Congressional District 12	0	0	57,714	0	0	0	0	0	0	0
Congressional District 14	0	0	408	0	0	0	0	0	0	0
Assembly District 17	0	0	57,714	0	0	0	0	0	0	0
Assembly District 19	0	0	408	0	0	0	0	0	0	0
BART District 9	0	0	58,122	0	0	0	0	0	0	0
Supervisorial District 8	0	0	58,122	0	0	0	0	0	0	0
Diamond Heights	0	0	6,473	0	0	0	0	0	0	0
Excelsior	0	0	408	0	0	0	0	0	0	0
Mission	0	0	9,626	0	0	0	0	0	0	0
Noe Valley	0	0	16,964	0	0	0	0	0	0	0
South of Bernal Heights	0	0	3,690	0	0	0	0	0	0	0
Upper Market/Eureka Valley	0	0	18,966	0	0	0	0	0	0	0
Western Addition	0	0	1,995	0	0	0	0	0	0	0
