Subtotal Area	KONSTANTINOS RODITIS	BETTY T. YEE	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted
Precinct 7005 - Vote By Mail	0	0	847	0	0	0	0	0
Precinct 7006 - Election Day	0	0	917	0	0	0	0	0
Precinct 7006 - Vote By Mail	0	0	917	0	0	0	0	0
Precinct 7007 - Election Day	0	0	949	0	0	0	0	0
Precinct 7007 - Vote By Mail	0	0	949	0	0	0	0	0
Precinct 7008 - Election Day	0	0	932	0	0	0	0	0
Precinct 7008 - Vote By Mail	0	0	932	0	0	0	0	0
Precinct 7009 - Election Day	0	0	905	0	0	0	0	0
Precinct 7009 - Vote By Mail	0	0	905	0	0	0	0	0
Precinct 7011 - Election Day	0	0	985	0	0	0	0	0
Precinct 7011 - Vote By Mail	0	0	985	0	0	0	0	0
Precinct 7012 - Election Day	0	0	1,109	0	0	0	0	0
Precinct 7012 - Vote By Mail	0	0	1,109	0	0	0	0	0
Precinct 7013 - Election Day	0	0	956	0	0	0	0	0
Precinct 7013 - Vote By Mail	0	0	956	0	0	0	0	0
Precinct 7014 - Election Day	0	0	1,460	0	0	0	0	0
Precinct 7014 - Vote By Mail	0	0	1,460	0	0	0	0	0
Precinct 7015 MB - Vote By Mail	0	0	95	0	0	0	0	0
Precinct 7016 - Election Day	0	0	918	0	0	0	0	0
Precinct 7016 - Vote By Mail	0	0	918	0	0	0	0	0
Precinct 7017 - Election Day	0	0	754	0	0	0	0	0
Precinct 7017 - Vote By Mail	0	0	754	0	0	0	0	0
Precinct 7018 - Election Day	0	0	977	0	0	0	0	0
Precinct 7018 - Vote By Mail	0	0	977	0	0	0	0	0
Precinct 7019 - Election Day	0	0	899	0	0	0	0	0
Precinct 7019 - Vote By Mail	0	0	899	0	0	0	0	0
Precinct 7021 - Election Day	0	0	947	0	0	0	0	0
Precinct 7021 - Vote By Mail	0	0	947	0	0	0	0	0
Precinct 7022 - Election Day	0	0	945	0	0	0	0	0
Precinct 7022 - Vote By Mail	0	0	945	0	0	0	0	0
Precinct 7023 - Election Day	0	0	928	0	0	0	0	0
Precinct 7023 - Vote By Mail	0	0	928	0	0	0	0	0
Precinct 7024 - Election Day	0	0	414	0	0	0	0	0
Precinct 7024 - Vote By Mail	0	0	414	0	0	0	0	0
Precinct 7025 - Election Day	0	0	477	0	0	0	0	0
Precinct 7025 - Vote By Mail	0	0	477	0	0	0	0	0
Precinct 7026 - Election Day	0	0	1,011	0	0	0	0	0
Precinct 7026 - Vote By Mail	0	0	1,011	0	0	0	0	0
Precinct 7027 - Election Day	0	0	869	0	0	0	0	0
Precinct 7027 - Vote By Mail	0	0	869	0	0	0	0	0
Precinct 7028 - Election Day	0	0	850	0	0	0	0	0
Precinct 7028 - Vote By Mail	0	0	850	0	0	0	0	0
Precinct 7029 - Election Day	0	0	901	0	0	0	0	0
Precinct 7029 - Vote By Mail	0	0	901	0	0	0	0	0
Precinct 7030 - Election Day	0	0	759	0	0	0	0	0
Precinct 7030 - Vote By Mail	0	0	759	0	0	0	0	0
Precinct 7031 - Election Day	0	0	641	0	0	0	0	0
Precinct 7031 - Vote By Mail	0	0	641	0	0	0	0	0
Precinct 7032 - Election Day	0	0	904	0	0	0	0	0
Precinct 7032 - Vote By Mail	0	0	904	0	0	0	0	0
Precinct 7033 - Election Day	0	0	798	0	0	0	0	0
Precinct 7033 - Vote By Mail	0	0	798	0	0	0	0	0
Precinct 7034 - Election Day	0	0	958	0	0	0	0	0
Precinct 7034 - Vote By Mail	0	0	958	0	0	0	0	0
Precinct 7035 - Election Day	0	0	606	0	0	0	0	0
Precinct 7035 - Vote By Mail	0	0	606	0	0	0	0	0
Precinct 7036 - Election Day	0	0	921	0	0	0	0	0
Precinct 7036 - Vote By Mail	0	0	921	0	0	0	0	0
Precinct 7037 - Election Day	0	0	735	0	0	0	0	0
Precinct 7037 - Vote By Mail	0	0	735	0	0	0	0	0
Precinct 7038 - Election Day	0	0	911	0	0	0	0	0
Precinct 7038 - Vote By Mail	0	0	911	0	0	0	0	0
Precinct 7039 - Election Day	0	0	784	0	0	0	0	0
Precinct 7039 - Vote By Mail	0	0	784	0	0	0	0	0
Precinct 7041 MB - Vote By Mail	0	0	61	0	0	0	0	0
Precinct 7042 - Election Day	0	0	639	0	0	0	0	0
Precinct 7042 - Vote By Mail	0	0	639	0	0	0	0	0
Precinct 7043 - Election Day	0	0	957	0	0	0	0	0
Precinct 7043 - Vote By Mail	0	0	957	0	0	0	0	0
Precinct 7044 - Election Day	0	0	827	0	0	0	0	0
Precinct 7044 - Vote By Mail	0	0	827	0	0	0	0	0
Precinct 7045 - Election Day	0	0	779	0	0	0	0	0
Precinct 7045 - Vote By Mail	0	0	779	0	0	0	0	0
Precinct 7046 - Election Day	0	0	402	0	0	0	0	0
Precinct 7046 - Vote By Mail	0	0	402	0	0	0	0	0
Precinct 7047 - Election Day	0	0	823	0	0	0	0	0
Precinct 7047 - Vote By Mail	0	0	823	0	0	0	0	0
Precinct 7048 - Election Day	0	0	858	0	0	0	0	0
Precinct 7048 - Vote By Mail	0	0	858	0	0	0	0	0
Precinct 7049 - Election Day	0	0	792	0	0	0	0	0
Precinct 7049 - Vote By Mail	0	0	792	0	0	0	0	0
Precinct 7051 - Election Day	0	0	861	0	0	0	0	0
Precinct 7051 - Vote By Mail	0	0	861	0	0	0	0	0
Precinct 7052 - Election Day	0	0	852	0	0	0	0	0
Precinct 7052 - Vote By Mail	0	0	852	0	0	0	0	0
Precinct 7053 - Election Day	0	0	548	0	0	0	0	0
Precinct 7053 - Vote By Mail	0	0	548	0	0	0	0	0
Precinct 7054 - Election Day	0	0	1,073	0	0	0	0	0
Precinct 7054 - Vote By Mail	0	0	1,073	0	0	0	0	0
Precinct 7055 - Election Day	0	0	808	0	0	0	0	0
Precinct 7055 - Vote By Mail	0	0	808	0	0	0	0	0
Precinct 7101 MB - Vote By Mail	0	0	155	0	0	0	0	0
Precinct 7201 - Election Day	0	0	936	0	0	0	0	0
Precinct 7201 - Vote By Mail	0	0	936	0	0	0	0	0
Precinct 7202 - Election Day	0	0	850	0	0	0	0	0
Precinct 7202 - Vote By Mail	0	0	850	0	0	0	0	0
Precinct 7203 - Election Day	0	0	921	0	0	0	0	0
Precinct 7203 - Vote By Mail	0	0	921	0	0	0	0	0
Precinct 7204 - Election Day	0	0	918	0	0	0	0	0
Precinct 7204 - Vote By Mail	0	0	918	0	0	0	0	0
Precinct 7205 - Election Day	0	0	875	0	0	0	0	0
Precinct 7205 - Vote By Mail	0	0	875	0	0	0	0	0
Precinct 7206 - Election Day	0	0	378	0	0	0	0	0
Precinct 7206 - Vote By Mail	0	0	378	0	0	0	0	0
Precinct 7207 - Election Day	0	0	812	0	0	0	0	0
Precinct 7207 - Vote By Mail	0	0	812	0	0	0	0	0
Precinct 7208 - Election Day	0	0	600	0	0	0	0	0
Precinct 7208 - Vote By Mail	0	0	600	0	0	0	0	0
Precinct 7209 - Election Day	0	0	626	0	0	0	0	0
Precinct 7209 - Vote By Mail	0	0	626	0	0	0	0	0
Precinct 7301 - Election Day	0	0	1,016	0	0	0	0	0
Precinct 7301 - Vote By Mail	0	0	1,016	0	0	0	0	0
Precinct 7302 - Election Day	0	0	814	0	0	0	0	0
Precinct 7302 - Vote By Mail	0	0	814	0	0	0	0	0
Precinct 7303 - Election Day	0	0	1,042	0	0	0	0	0
Precinct 7303 - Vote By Mail	0	0	1,042	0	0	0	0	0
Precinct 7304 - Election Day	0	0	1,002	0	0	0	0	0
Precinct 7304 - Vote By Mail	0	0	1,002	0	0	0	0	0
