Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted
All Precincts	97,863	130,916	481,991	253,583	-56	102	24,758	228,779
All Precincts - Election Day	36,089	44,794	481,991	89,756	-87	42	8,918	80,883
All Precincts - Vote By Mail	61,774	86,122	481,991	163,827	31	60	15,840	147,896
Precinct 1101 - Election Day	34	43	544	83	-1	0	7	77
Precinct 1101 - Vote By Mail	95	92	544	198	1	0	10	187
Precinct 1102 - Election Day	79	93	964	188	1	0	15	172
Precinct 1102 - Vote By Mail	127	175	964	337	-2	1	36	302
Precinct 1103 - Election Day	70	82	914	163	0	1	10	152
Precinct 1103 - Vote By Mail	135	179	914	348	0	0	34	314
Precinct 1104/1105 - Election Day	77	77	953	167	0	0	13	154
Precinct 1104/1105 - Vote By Mail	128	134	953	292	1	0	29	262
Precinct 1106 - Election Day	49	58	740	113	0	0	6	107
Precinct 1106 - Vote By Mail	98	112	740	231	-1	0	22	210
Precinct 1107 - Election Day	45	43	721	101	0	1	12	88
Precinct 1107 - Vote By Mail	95	113	721	240	1	0	31	208
Precinct 1108 - Election Day	60	70	882	156	0	0	26	130
Precinct 1108 - Vote By Mail	138	165	882	328	1	0	24	303
Precinct 1109 - Election Day	53	62	758	124	-3	1	11	115
Precinct 1109 - Vote By Mail	113	117	758	265	3	0	32	230
Precinct 1111 - Election Day	60	56	938	132	-2	0	18	116
Precinct 1111 - Vote By Mail	148	149	938	330	5	0	28	297
Precinct 1112 - Election Day	46	40	702	96	2	0	8	86
Precinct 1112 - Vote By Mail	96	98	702	221	0	0	27	194
Precinct 1113 - Election Day	39	32	701	82	-1	0	12	71
Precinct 1113 - Vote By Mail	111	118	701	272	0	0	43	229
Precinct 1114 - Election Day	59	62	915	139	0	0	18	121
Precinct 1114 - Vote By Mail	141	115	915	280	1	0	23	256
Precinct 1115 - Election Day	37	47	835	97	0	0	13	84
Precinct 1115 - Vote By Mail	122	114	835	279	-1	0	44	236
Precinct 1116 - Election Day	54	61	842	141	-1	0	27	115
Precinct 1116 - Vote By Mail	146	100	842	275	0	0	29	246
Precinct 1117 - Election Day	51	68	827	138	-1	0	20	119
Precinct 1117 - Vote By Mail	111	109	827	240	0	0	20	220
Precinct 1118 - Election Day	69	67	974	158	2	0	20	136
Precinct 1118 - Vote By Mail	129	159	974	335	2	0	45	288
Precinct 1119 - Election Day	51	38	745	97	-1	0	9	89
Precinct 1119 - Vote By Mail	128	133	745	274	-1	0	14	261
Precinct 1121 - Election Day	53	41	653	104	0	0	10	94
Precinct 1121 - Vote By Mail	90	107	653	221	1	0	23	197
Precinct 1122 - Election Day	29	31	607	69	0	0	9	60
Precinct 1122 - Vote By Mail	96	91	607	213	-1	0	27	187
Precinct 1123 - Election Day	49	55	876	118	-1	1	14	104
Precinct 1123 - Vote By Mail	106	138	876	254	-2	0	12	244
Precinct 1124 - Election Day	46	41	773	109	0	0	22	87
Precinct 1124 - Vote By Mail	97	87	773	200	-1	0	17	184
Precinct 1125 - Election Day	43	32	987	80	-2	0	7	75
Precinct 1125 - Vote By Mail	159	138	987	329	-4	1	35	297
Precinct 1126 - Election Day	38	43	900	92	-1	0	12	81
Precinct 1126 - Vote By Mail	133	133	900	292	-1	0	27	266
Precinct 1127 - Election Day	60	62	875	141	-1	0	20	122
Precinct 1127 - Vote By Mail	116	141	875	277	-1	0	21	257
Precinct 1128 - Election Day	50	46	813	104	0	1	7	96
Precinct 1128 - Vote By Mail	118	107	813	246	-1	0	22	225
Precinct 1129 - Election Day	60	48	924	120	0	0	12	108
Precinct 1129 - Vote By Mail	141	108	924	274	2	0	23	249
Precinct 1131 - Election Day	33	43	783	85	0	0	9	76
Precinct 1131 - Vote By Mail	128	128	783	288	0	0	32	256
Precinct 1132 - Election Day	52	45	910	112	0	0	15	97
Precinct 1132 - Vote By Mail	167	132	910	324	-3	0	28	299
Precinct 1133 - Election Day	39	49	826	99	0	0	11	88
Precinct 1133 - Vote By Mail	134	139	826	292	-2	0	21	273
Precinct 1134 - Election Day	58	52	727	126	0	0	16	110
Precinct 1134 - Vote By Mail	90	127	727	241	-1	0	25	217
Precinct 1135 - Election Day	36	30	511	71	-1	0	6	66
Precinct 1135 - Vote By Mail	77	113	511	217	2	0	25	190
Precinct 1136 - Election Day	42	42	807	97	0	2	11	84
Precinct 1136 - Vote By Mail	109	155	807	287	1	0	22	264
Precinct 1141 - Election Day	69	66	998	149	1	0	13	135
Precinct 1141 - Vote By Mail	173	173	998	368	0	1	21	346
Precinct 1142 - Election Day	50	56	822	120	0	0	14	106
Precinct 1142 - Vote By Mail	136	106	822	266	0	0	24	242
Precinct 1143 - Election Day	69	66	989	147	1	0	11	135
Precinct 1143 - Vote By Mail	165	110	989	311	2	0	34	275
Precinct 1144 - Election Day	74	66	870	148	-2	0	10	140
Precinct 1144 - Vote By Mail	126	113	870	264	-1	0	26	239
Precinct 1145 - Election Day	58	56	879	136	1	2	19	114
Precinct 1145 - Vote By Mail	164	178	879	370	-2	0	30	342
Precinct 1146 - Election Day	65	50	971	124	0	0	9	115
Precinct 1146 - Vote By Mail	180	119	971	326	-1	0	28	299
Precinct 1147 - Election Day	79	66	853	166	2	0	19	145
Precinct 1147 - Vote By Mail	136	116	853	279	1	0	26	252
Precinct 1148 - Election Day	58	51	918	121	0	0	12	109
Precinct 1148 - Vote By Mail	146	140	918	314	0	0	28	286
Precinct 1149 - Election Day	72	60	873	148	-2	0	18	132
Precinct 1149 - Vote By Mail	137	113	873	285	1	0	34	250
Precinct 1152 - Election Day	62	53	838	125	-2	0	12	115
Precinct 1152 - Vote By Mail	127	132	838	286	0	0	27	259
Precinct 1153 - Election Day	50	75	909	139	0	0	14	125
Precinct 1153 - Vote By Mail	134	148	909	306	2	0	22	282
Precinct 7001 - Election Day	63	46	735	119	-1	0	11	109
Precinct 7001 - Vote By Mail	97	138	735	266	2	0	29	235
Precinct 7002 - Election Day	55	66	641	132	0	0	11	121
Precinct 7002 - Vote By Mail	71	92	641	173	1	0	9	163
Precinct 7003 - Election Day	76	97	864	188	0	0	15	173
Precinct 7003 - Vote By Mail	116	195	864	340	0	0	29	311
Precinct 7004 - Election Day	62	96	835	175	0	0	17	158
Precinct 7004 - Vote By Mail	115	170	835	306	-1	1	21	285
Precinct 7005 - Election Day	89	76	812	180	1	0	14	165
Precinct 7005 - Vote By Mail	140	133	812	295	1	0	21	273
Precinct 7006 - Election Day	104	85	884	213	1	0	23	189
Precinct 7006 - Vote By Mail	127	139	884	290	-2	0	26	266
Precinct 7007 - Election Day	101	122	916	233	-2	0	12	223
Precinct 7007 - Vote By Mail	117	179	916	323	-1	0	28	296
Precinct 7008 - Election Day	88	80	861	187	0	0	19	168
Precinct 7008 - Vote By Mail	119	192	861	345	1	0	33	311
Precinct 7009 - Election Day	69	50	864	133	-1	0	15	119
Precinct 7009 - Vote By Mail	153	136	864	312	-1	0	24	289
Precinct 7011 - Election Day	54	67	976	141	0	0	20	121
Precinct 7011 - Vote By Mail	93	95	976	205	0	0	17	188
Precinct 7012 - Election Day	94	112	1,061	224	0	0	18	206
Precinct 7012 - Vote By Mail	144	194	1,061	383	1	0	44	338
Precinct 7013 - Election Day	61	63	805	132	0	0	8	124
Precinct 7013 - Vote By Mail	101	132	805	251	-2	0	20	233
Precinct 7014 - Election Day	87	97	1,213	188	-3	0	7	184
Precinct 7014 - Vote By Mail	168	242	1,213	434	-1	0	25	410
Precinct 7015 MB - Vote By Mail	21	10	93	34	1	0	2	31
Precinct 7016 - Election Day	54	39	891	112	0	0	19	93
Precinct 7016 - Vote By Mail	79	114	891	221	-1	0	29	193
Precinct 7017 - Election Day	21	36	734	79	0	1	21	57
Precinct 7017 - Vote By Mail	60	91	734	167	-1	0	17	151
Precinct 7018 - Election Day	37	42	908	88	-2	0	11	79
Precinct 7018 - Vote By Mail	138	170	908	343	2	0	33	308
Precinct 7019 - Election Day	45	52	864	111	2	0	12	97
Precinct 7019 - Vote By Mail	133	175	864	349	-1	0	42	308
Precinct 7021 - Election Day	60	50	927	129	1	0	18	110
Precinct 7021 - Vote By Mail	101	98	927	220	-3	0	24	199
Precinct 7022 - Election Day	65	77	923	164	0	0	22	142
Precinct 7022 - Vote By Mail	112	125	923	270	3	0	30	237
Precinct 7023 - Election Day	47	60	906	131	1	0	23	107
Precinct 7023 - Vote By Mail	122	155	906	301	-4	0	28	277
Precinct 7024 - Election Day	11	11	386	30	0	0	8	22
Precinct 7024 - Vote By Mail	18	26	386	47	0	0	3	44
Precinct 7025 - Election Day	26	30	448	66	2	0	8	56
Precinct 7025 - Vote By Mail	29	43	448	78	1	0	5	72
Precinct 7026 - Election Day	34	44	971	90	0	0	12	78
Precinct 7026 - Vote By Mail	165	151	971	350	4	2	28	316
Precinct 7027 - Election Day	53	59	845	136	-1	0	25	112
Precinct 7027 - Vote By Mail	119	113	845	271	2	0	37	232
Precinct 7028 - Election Day	70	74	835	157	0	0	13	144
Precinct 7028 - Vote By Mail	68	99	835	180	-2	0	15	167
Precinct 7029 - Election Day	46	53	855	115	0	0	16	99
Precinct 7029 - Vote By Mail	65	85	855	166	1	0	15	150
Precinct 7030 - Election Day	46	44	729	94	-2	0	6	90
Precinct 7030 - Vote By Mail	140	112	729	277	3	0	22	252
Precinct 7031 - Election Day	21	22	611	50	0	0	7	43
Precinct 7031 - Vote By Mail	99	92	611	224	3	0	30	191
Precinct 7032 - Election Day	52	47	867	126	-1	0	28	99
Precinct 7032 - Vote By Mail	109	101	867	238	1	0	27	210
Precinct 7033 - Election Day	49	64	765	135	0	0	22	113
Precinct 7033 - Vote By Mail	79	79	765	181	-1	0	24	158
Precinct 7034 - Election Day	33	54	914	97	0	0	10	87
Precinct 7034 - Vote By Mail	55	82	914	154	1	0	16	137
Precinct 7035 - Election Day	25	44	553	73	0	0	4	69
Precinct 7035 - Vote By Mail	59	99	553	170	0	0	12	158
Precinct 7036 - Election Day	24	24	898	52	0	0	4	48
Precinct 7036 - Vote By Mail	103	133	898	265	0	0	29	236
Precinct 7037 - Election Day	26	34	730	73	-1	0	14	60
Precinct 7037 - Vote By Mail	28	27	730	64	3	0	6	55
Precinct 7038 - Election Day	32	39	880	84	0	0	13	71
Precinct 7038 - Vote By Mail	131	99	880	255	-1	0	26	230
Precinct 7039 - Election Day	48	52	768	111	-1	0	12	100
Precinct 7039 - Vote By Mail	67	131	768	225	1	0	26	198
