Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted
All Precincts	144,686	93,447	481,991	253,583	-56	143	15,363	238,133
All Precincts - Election Day	55,011	28,745	481,991	89,756	-87	52	6,035	83,756
All Precincts - Vote By Mail	89,675	64,702	481,991	163,827	31	91	9,328	154,377
Precinct 1101 - Election Day	38	43	544	83	-1	0	3	81
Precinct 1101 - Vote By Mail	91	98	544	198	1	0	8	189
Precinct 1102 - Election Day	97	81	964	188	1	0	9	178
Precinct 1102 - Vote By Mail	153	170	964	337	-2	0	16	323
Precinct 1103 - Election Day	98	60	914	163	0	0	5	158
Precinct 1103 - Vote By Mail	164	163	914	348	0	2	19	327
Precinct 1104/1105 - Election Day	84	73	953	167	0	0	10	157
Precinct 1104/1105 - Vote By Mail	159	122	953	292	1	0	10	281
Precinct 1106 - Election Day	54	55	740	113	0	1	3	109
Precinct 1106 - Vote By Mail	104	114	740	231	-1	0	14	218
Precinct 1107 - Election Day	52	39	721	101	0	0	10	91
Precinct 1107 - Vote By Mail	90	136	721	240	1	1	12	226
Precinct 1108 - Election Day	82	57	882	156	0	0	17	139
Precinct 1108 - Vote By Mail	151	158	882	328	1	0	18	309
Precinct 1109 - Election Day	70	47	758	124	-3	0	10	117
Precinct 1109 - Vote By Mail	98	148	758	265	3	0	16	246
Precinct 1111 - Election Day	69	51	938	132	-2	0	14	120
Precinct 1111 - Vote By Mail	135	178	938	330	5	0	12	313
Precinct 1112 - Election Day	60	28	702	96	2	0	6	88
Precinct 1112 - Vote By Mail	95	117	702	221	0	0	9	212
Precinct 1113 - Election Day	48	30	701	82	-1	0	5	78
Precinct 1113 - Vote By Mail	104	151	701	272	0	1	16	255
Precinct 1114 - Election Day	71	53	915	139	0	1	14	124
Precinct 1114 - Vote By Mail	118	147	915	280	1	0	14	265
Precinct 1115 - Election Day	50	40	835	97	0	0	7	90
Precinct 1115 - Vote By Mail	109	145	835	279	-1	0	26	254
Precinct 1116 - Election Day	81	45	842	141	-1	1	15	126
Precinct 1116 - Vote By Mail	110	146	842	275	0	0	19	256
Precinct 1117 - Election Day	70	50	827	138	-1	0	19	120
Precinct 1117 - Vote By Mail	110	118	827	240	0	0	12	228
Precinct 1118 - Election Day	82	58	974	158	2	0	16	140
Precinct 1118 - Vote By Mail	147	161	974	335	2	0	25	308
Precinct 1119 - Election Day	55	35	745	97	-1	0	8	90
Precinct 1119 - Vote By Mail	127	140	745	274	-1	0	8	267
Precinct 1121 - Election Day	37	61	653	104	0	0	6	98
Precinct 1121 - Vote By Mail	80	125	653	221	1	0	15	205
Precinct 1122 - Election Day	35	29	607	69	0	0	5	64
Precinct 1122 - Vote By Mail	76	129	607	213	-1	0	9	205
Precinct 1123 - Election Day	65	44	876	118	-1	0	10	109
Precinct 1123 - Vote By Mail	104	144	876	254	-2	0	8	248
Precinct 1124 - Election Day	59	35	773	109	0	0	15	94
Precinct 1124 - Vote By Mail	91	98	773	200	-1	0	12	189
Precinct 1125 - Election Day	42	31	987	80	-2	0	9	73
Precinct 1125 - Vote By Mail	109	199	987	329	-4	0	25	308
Precinct 1126 - Election Day	44	41	900	92	-1	0	8	85
Precinct 1126 - Vote By Mail	133	137	900	292	-1	2	21	270
Precinct 1127 - Election Day	72	59	875	141	-1	0	11	131
Precinct 1127 - Vote By Mail	100	163	875	277	-1	0	15	263
Precinct 1128 - Election Day	39	61	813	104	0	0	4	100
Precinct 1128 - Vote By Mail	99	133	813	246	-1	0	15	232
Precinct 1129 - Election Day	58	52	924	120	0	0	10	110
Precinct 1129 - Vote By Mail	113	149	924	274	2	0	10	262
Precinct 1131 - Election Day	49	29	783	85	0	0	7	78
Precinct 1131 - Vote By Mail	100	170	783	288	0	0	18	270
Precinct 1132 - Election Day	53	47	910	112	0	0	12	100
Precinct 1132 - Vote By Mail	126	192	910	324	-3	0	9	318
Precinct 1133 - Election Day	37	53	826	99	0	0	9	90
Precinct 1133 - Vote By Mail	127	151	826	292	-2	1	15	278
Precinct 1134 - Election Day	70	44	727	126	0	1	11	114
Precinct 1134 - Vote By Mail	77	151	727	241	-1	0	14	228
Precinct 1135 - Election Day	46	22	511	71	-1	0	4	68
Precinct 1135 - Vote By Mail	89	109	511	217	2	0	17	198
Precinct 1136 - Election Day	44	42	807	97	0	0	11	86
Precinct 1136 - Vote By Mail	120	151	807	287	1	0	15	271
Precinct 1141 - Election Day	64	68	998	149	1	0	16	132
Precinct 1141 - Vote By Mail	164	187	998	368	0	1	16	351
Precinct 1142 - Election Day	63	52	822	120	0	0	5	115
Precinct 1142 - Vote By Mail	129	122	822	266	0	0	15	251
Precinct 1143 - Election Day	91	49	989	147	1	0	6	140
Precinct 1143 - Vote By Mail	144	135	989	311	2	0	30	279
Precinct 1144 - Election Day	87	59	870	148	-2	0	4	146
Precinct 1144 - Vote By Mail	110	140	870	264	-1	0	15	250
Precinct 1145 - Election Day	79	44	879	136	1	1	11	123
Precinct 1145 - Vote By Mail	181	169	879	370	-2	1	21	350
Precinct 1146 - Election Day	69	47	971	124	0	0	8	116
Precinct 1146 - Vote By Mail	157	155	971	326	-1	0	15	312
Precinct 1147 - Election Day	103	54	853	166	2	0	7	157
Precinct 1147 - Vote By Mail	132	128	853	279	1	2	16	260
Precinct 1148 - Election Day	54	60	918	121	0	0	7	114
Precinct 1148 - Vote By Mail	100	197	918	314	0	0	17	297
Precinct 1149 - Election Day	80	65	873	148	-2	0	5	145
Precinct 1149 - Vote By Mail	119	147	873	285	1	1	17	266
Precinct 1152 - Election Day	71	50	838	125	-2	0	6	121
Precinct 1152 - Vote By Mail	117	153	838	286	0	0	16	270
Precinct 1153 - Election Day	55	79	909	139	0	0	5	134
Precinct 1153 - Vote By Mail	146	148	909	306	2	0	10	294
Precinct 7001 - Election Day	85	28	735	119	-1	0	7	113
Precinct 7001 - Vote By Mail	154	91	735	266	2	0	19	245
Precinct 7002 - Election Day	100	28	641	132	0	0	4	128
Precinct 7002 - Vote By Mail	116	51	641	173	1	0	5	167
Precinct 7003 - Election Day	124	56	864	188	0	1	7	180
Precinct 7003 - Vote By Mail	210	115	864	340	0	0	15	325
Precinct 7004 - Election Day	103	59	835	175	0	0	13	162
Precinct 7004 - Vote By Mail	191	110	835	306	-1	0	6	301
Precinct 7005 - Election Day	128	39	812	180	1	1	11	167
