Subtotal Area	CYNTHIA MING-MEI LEE	ELIZABETH ZAREH	KWIXUAN H. MALOOF	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7913 - Election Day	79	17	101	887	240	0	0	41	199	2
Precinct 7913 - Vote By Mail	90	20	100	887	244	-1	0	35	210	0
Precinct 7914 - Election Day	60	20	89	833	208	0	0	37	171	2
Precinct 7914 - Vote By Mail	89	19	101	833	253	1	0	41	211	2
Precinct 7915 - Election Day	64	20	80	802	213	0	0	49	164	0
Precinct 7915 - Vote By Mail	84	17	85	802	222	1	1	34	186	0
Precinct 7916 - Election Day	69	16	90	887	215	0	0	39	176	1
Precinct 7916 - Vote By Mail	124	14	107	887	289	0	0	43	246	1
Precinct 7917 - Election Day	63	24	116	983	254	-1	0	50	205	2
Precinct 7917 - Vote By Mail	93	28	124	983	287	0	1	38	248	3
Precinct 7918 - Election Day	60	16	75	790	191	0	0	39	152	1
Precinct 7918 - Vote By Mail	105	15	78	790	234	-1	0	37	198	0
Precinct 7919 - Election Day	70	28	82	857	217	0	0	37	180	0
Precinct 7919 - Vote By Mail	90	18	96	857	241	0	0	37	204	0
Precinct 7921 - Election Day	39	18	63	883	151	-1	0	29	123	3
Precinct 7921 - Vote By Mail	78	38	59	883	210	0	0	35	175	0
Precinct 7922 - Election Day	42	13	88	797	182	1	0	37	144	1
Precinct 7922 - Vote By Mail	90	32	80	797	241	1	0	37	203	1
Precinct 7923 - Election Day	53	21	93	863	202	0	0	34	168	1
Precinct 7923 - Vote By Mail	83	23	98	863	241	0	1	35	205	1
Precinct 7924 - Election Day	46	24	68	806	172	1	0	30	141	3
Precinct 7924 - Vote By Mail	101	25	91	806	247	0	0	29	218	1
Precinct 7925 - Election Day	21	17	54	570	114	0	0	22	92	0
Precinct 7925 - Vote By Mail	80	15	71	570	191	0	0	25	166	0
Precinct 7926 - Election Day	66	13	66	768	177	0	0	30	147	2
Precinct 7926 - Vote By Mail	119	19	104	768	296	0	0	52	244	2
Precinct 7927 - Election Day	58	11	81	733	187	0	0	34	153	3
Precinct 7927 - Vote By Mail	135	16	95	733	289	-1	0	44	246	0
Precinct 7928 - Election Day	92	18	99	899	253	-1	0	45	209	0
Precinct 7928 - Vote By Mail	142	23	94	899	297	2	0	36	259	0
Precinct 7929 - Election Day	73	7	70	840	200	-1	0	50	151	1
Precinct 7929 - Vote By Mail	174	18	122	840	367	2	0	51	314	0
Precinct 7931 - Election Day	87	6	49	732	189	0	0	47	142	0
Precinct 7931 - Vote By Mail	148	18	94	732	317	-1	0	56	262	2
Precinct 7932 - Election Day	51	5	39	551	112	0	0	16	96	1
Precinct 7932 - Vote By Mail	116	9	60	551	225	0	0	40	185	0
Precinct 7933 MB - Vote By Mail	4	0	0	8	4	0	0	0	4	0
Precinct 7934 - Election Day	56	12	83	885	195	-4	0	47	152	1
Precinct 7934 - Vote By Mail	149	15	113	885	328	2	0	47	279	2
Precinct 7935 - Election Day	104	16	105	938	283	0	0	56	227	2
Precinct 7935 - Vote By Mail	164	21	126	938	370	2	0	57	311	0
Precinct 7936 - Election Day	75	12	113	832	246	-1	0	47	200	0
Precinct 7936 - Vote By Mail	132	17	125	832	326	1	0	50	275	1
Precinct 7937 - Election Day	80	17	84	874	223	0	1	41	181	0
Precinct 7937 - Vote By Mail	147	18	97	874	309	0	0	44	265	3
Precinct 7938 - Election Day	55	15	54	774	162	0	0	37	125	1
Precinct 7938 - Vote By Mail	114	18	84	774	247	0	0	31	216	0
Precinct 7939 - Election Day	66	13	61	667	186	2	0	43	141	1
Precinct 7939 - Vote By Mail	104	6	77	667	230	1	0	42	187	0
Precinct 7941 - Election Day	63	12	57	728	167	1	0	32	134	2
Precinct 7941 - Vote By Mail	94	21	86	728	236	1	0	34	201	0
Precinct 7942 - Election Day	52	18	50	893	166	1	0	44	121	1
Precinct 7942 - Vote By Mail	121	31	81	893	286	-1	0	52	235	2
Precinct 7943 - Election Day	79	24	58	887	192	0	0	30	162	1
Precinct 7943 - Vote By Mail	166	28	76	887	319	2	0	46	271	1
Precinct 7944 - Election Day	79	14	73	769	201	-1	0	34	168	2
Precinct 7944 - Vote By Mail	103	18	76	769	235	0	0	38	197	0
Precinct 7945 - Election Day	46	10	42	897	118	0	0	19	99	1
Precinct 7945 - Vote By Mail	123	19	102	897	294	3	0	47	244	0
Precinct 7946 - Election Day	52	12	43	909	134	1	0	24	109	2
Precinct 7946 - Vote By Mail	180	44	55	909	348	3	4	58	283	4
Precinct 7947 - Election Day	55	19	23	894	128	-1	0	31	98	1
Precinct 7947 - Vote By Mail	173	35	49	894	327	-1	0	70	258	1
Precinct 7948 - Election Day	66	19	49	900	165	0	0	30	135	1
Precinct 7948 - Vote By Mail	177	31	60	900	313	-2	0	45	270	2
Precinct 7949 - Election Day	30	9	17	552	78	3	0	19	56	0
Precinct 7949 - Vote By Mail	149	17	23	552	224	0	0	34	190	1
Precinct 7951 - Election Day	47	8	25	830	97	0	1	16	80	0
Precinct 7951 - Vote By Mail	211	30	50	830	341	0	0	48	293	2
Precinct 7952 - Election Day	40	17	18	823	100	0	0	24	76	1
Precinct 7952 - Vote By Mail	172	32	47	823	288	-1	0	37	252	1
Precinct 7953 - Election Day	42	13	28	795	103	-2	0	21	84	1
Precinct 7953 - Vote By Mail	161	29	54	795	294	0	0	49	245	1
Precinct 7955 - Election Day	52	14	30	854	116	0	0	20	96	0
Precinct 7955 - Vote By Mail	181	32	54	854	320	0	0	53	267	0
Precinct 7956 - Election Day	34	9	17	779	101	0	0	41	60	0
Precinct 7956 - Vote By Mail	151	17	46	779	247	3	0	30	214	0
Precinct 7957 - Election Day	36	8	26	623	97	1	0	24	72	2
Precinct 7957 - Vote By Mail	111	20	41	623	217	0	0	44	173	1
Precinct 7958 MB - Vote By Mail	57	12	16	263	104	0	0	18	86	1
Precinct 7959 - Election Day	27	14	46	695	110	0	0	23	87	0
Precinct 7959 - Vote By Mail	91	14	51	695	190	0	0	32	158	2
Precinct 9001 MB - Vote By Mail	56	14	17	257	101	2	0	11	88	1
Precinct 9101 - Election Day	90	19	36	833	190	0	0	44	146	1
Precinct 9101 - Vote By Mail	193	34	39	833	323	0	0	57	266	0
Precinct 9102 - Election Day	91	13	39	950	182	-1	0	40	143	0
Precinct 9102 - Vote By Mail	196	28	56	950	335	4	0	51	280	0
Precinct 9103 - Election Day	90	9	38	924	174	0	0	36	138	1
Precinct 9103 - Vote By Mail	177	19	52	924	302	0	0	50	252	4
Precinct 9104 - Election Day	61	16	51	937	176	0	0	45	131	3
Precinct 9104 - Vote By Mail	190	32	56	937	332	0	0	54	278	0
Precinct 9105 - Election Day	83	21	31	888	191	1	0	54	136	1
Precinct 9105 - Vote By Mail	202	17	69	888	339	-1	0	50	290	2
Precinct 9106 - Election Day	112	10	42	907	213	1	0	48	164	0
Precinct 9106 - Vote By Mail	191	25	57	907	334	4	0	57	273	0
Precinct 9107 - Election Day	80	12	39	806	164	0	0	33	131	0
Precinct 9107 - Vote By Mail	121	22	57	806	246	1	0	45	200	0
Precinct 9108 - Election Day	73	21	59	761	185	-1	0	32	154	1
Precinct 9108 - Vote By Mail	124	19	39	761	220	-1	0	39	182	0
Precinct 9109 - Election Day	105	11	41	848	205	-1	0	48	158	1
Precinct 9109 - Vote By Mail	166	15	55	848	285	4	1	44	236	0
Precinct 9111 - Election Day	72	16	32	756	150	0	0	30	120	0
Precinct 9111 - Vote By Mail	117	12	59	756	226	-1	0	37	190	2
Precinct 9112 - Election Day	93	18	56	918	211	0	0	43	168	1
Precinct 9112 - Vote By Mail	160	12	68	918	295	0	0	55	240	0
Precinct 9113 - Election Day	106	18	51	959	231	0	0	55	176	1
Precinct 9113 - Vote By Mail	197	19	66	959	351	1	0	67	283	1
Precinct 9114 - Election Day	72	13	38	820	170	0	1	45	124	1
Precinct 9114 - Vote By Mail	139	21	59	820	273	1	1	52	219	0
Precinct 9115 - Election Day	76	12	52	873	172	0	0	31	141	1
Precinct 9115 - Vote By Mail	141	20	82	873	287	2	0	42	243	0
Precinct 9116 - Election Day	82	12	61	903	193	2	0	32	159	4
Precinct 9116 - Vote By Mail	155	23	78	903	314	4	1	52	257	1
Precinct 9117 - Election Day	78	20	44	756	180	2	0	36	142	0
Precinct 9117 - Vote By Mail	176	20	42	756	285	1	0	46	238	0
Precinct 9118 - Election Day	80	17	36	923	184	0	0	50	134	1
Precinct 9118 - Vote By Mail	159	21	46	923	268	0	0	41	227	1
Precinct 9119 - Election Day	64	16	36	856	152	-2	0	38	116	0
Precinct 9119 - Vote By Mail	191	27	64	856	323	0	0	40	283	1
Precinct 9121 - Election Day	99	12	34	890	188	0	0	42	146	1
Precinct 9121 - Vote By Mail	165	20	49	890	274	0	1	38	235	1
Precinct 9122 - Election Day	63	7	35	913	131	0	0	26	105	0
Precinct 9122 - Vote By Mail	172	15	46	913	292	1	0	58	233	0
Precinct 9123 - Election Day	80	15	50	829	175	0	0	30	145	0
Precinct 9123 - Vote By Mail	148	24	53	829	270	1	0	44	225	0
Precinct 9124 - Election Day	71	18	29	832	150	0	0	32	118	0
Precinct 9124 - Vote By Mail	154	25	52	832	290	1	0	56	233	2
Precinct 9125 - Election Day	66	9	46	822	159	1	0	36	122	1
Precinct 9125 - Vote By Mail	185	15	56	822	299	-3	0	44	258	2
Precinct 9126 - Election Day	80	15	46	945	186	0	0	44	142	1
Precinct 9126 - Vote By Mail	213	14	65	945	350	0	0	58	292	0
Precinct 9127 - Election Day	107	12	40	908	209	0	0	50	159	0
Precinct 9127 - Vote By Mail	189	9	63	908	315	-1	0	54	262	1
Precinct 9128 - Election Day	92	17	43	805	188	0	0	36	152	0
Precinct 9128 - Vote By Mail	173	17	46	805	296	0	0	60	236	0
Precinct 9129 - Election Day	94	8	38	713	173	0	0	31	142	2
Precinct 9129 - Vote By Mail	120	17	42	713	225	3	0	43	179	0
Precinct 9131 - Election Day	62	15	45	740	151	0	0	27	124	2
Precinct 9131 - Vote By Mail	162	13	59	740	274	2	0	38	234	0
Precinct 9132 - Election Day	64	12	50	827	167	0	0	39	128	2
Precinct 9132 - Vote By Mail	129	17	57	827	251	0	0	47	204	1
Precinct 9133 - Election Day	95	6	49	1,007	188	0	0	38	150	0
Precinct 9133 - Vote By Mail	217	26	79	1,007	388	1	1	64	322	0
Precinct 9134 - Election Day	51	11	36	893	132	0	0	33	99	1
Precinct 9134 - Vote By Mail	164	20	67	893	297	3	0	43	251	0
Precinct 9135 - Election Day	60	16	39	778	149	0	0	32	117	2
Precinct 9135 - Vote By Mail	134	41	46	778	269	1	0	46	222	1
Precinct 9136 - Election Day	90	18	46	894	191	0	0	36	155	1
Precinct 9136 - Vote By Mail	142	26	61	894	289	4	0	56	229	0
Precinct 9137 - Election Day	77	27	53	946	201	0	0	44	157	0
Precinct 9137 - Vote By Mail	170	26	64	946	323	3	0	59	261	1
Precinct 9138 - Election Day	68	7	36	892	155	-1	0	44	112	1
Precinct 9138 - Vote By Mail	202	18	54	892	323	-2	0	50	275	1
Precinct 9139 - Election Day	84	10	35	912	163	-1	0	34	130	1
Precinct 9139 - Vote By Mail	227	35	45	912	356	1	1	47	307	0
Precinct 9141 - Election Day	74	15	48	904	168	2	0	29	137	0
Precinct 9141 - Vote By Mail	206	21	57	904	328	-1	0	45	284	0
Precinct 9142 - Election Day	106	16	59	921	219	1	0	34	184	3
Precinct 9142 - Vote By Mail	161	17	67	921	288	-1	0	44	245	0
Precinct 9143 - Election Day	85	16	51	887	196	0	0	43	153	1
Precinct 9143 - Vote By Mail	176	25	55	887	315	3	0	56	256	0
Precinct 9144 - Election Day	97	17	60	931	221	1	0	45	175	1
Precinct 9144 - Vote By Mail	182	13	61	931	322	-2	0	68	256	0
Precinct 9145 - Election Day	90	13	47	837	197	0	0	46	151	1
Precinct 9145 - Vote By Mail	156	16	55	837	282	0	1	53	228	1
Precinct 9146 - Election Day	85	15	63	866	206	0	0	42	164	1
Precinct 9146 - Vote By Mail	148	18	71	866	297	-1	0	60	238	1
Precinct 9147 - Election Day	102	15	72	920	227	1	0	36	190	1
Precinct 9147 - Vote By Mail	159	15	82	920	318	-2	1	63	256	0
Precinct 9148 - Election Day	114	18	55	946	226	0	0	37	189	2
Precinct 9148 - Vote By Mail	174	19	79	946	322	3	0	47	272	0
Precinct 9149 - Election Day	79	15	64	884	196	0	0	38	158	0
Precinct 9149 - Vote By Mail	150	17	83	884	296	-1	0	46	251	1
Precinct 9151 - Election Day	71	11	36	806	152	-1	0	35	118	0
Precinct 9151 - Vote By Mail	157	17	42	806	267	-1	0	52	216	0
Precinct 9152 - Election Day	28	6	18	712	67	1	0	14	52	0
Precinct 9152 - Vote By Mail	55	22	40	712	138	1	0	19	118	1
Precinct 9201 - Election Day	84	19	62	953	201	0	0	35	166	1
Precinct 9201 - Vote By Mail	109	26	47	953	229	2	0	44	183	1
Precinct 9202 - Election Day	86	27	30	908	184	-1	0	42	143	0
Precinct 9202 - Vote By Mail	105	16	49	908	218	0	1	47	170	0
Precinct 9203 - Election Day	69	21	17	968	145	0	0	38	107	0
Precinct 9203 - Vote By Mail	169	34	32	968	300	4	0	60	236	1
Precinct 9204 - Election Day	64	17	19	809	147	0	0	46	101	1
Precinct 9204 - Vote By Mail	126	24	25	809	223	-3	0	51	175	0
Precinct 9205 - Election Day	45	14	16	694	113	0	0	38	75	0
Precinct 9205 - Vote By Mail	103	16	30	694	201	2	0	50	149	0
Precinct 9206 - Election Day	68	20	18	887	135	-1	0	29	107	1
Precinct 9206 - Vote By Mail	175	32	31	887	294	0	0	56	238	0
Precinct 9207 - Election Day	81	18	9	913	148	0	0	40	108	0
Precinct 9207 - Vote By Mail	151	20	27	913	249	1	0	50	198	0
Precinct 9208 - Election Day	61	21	23	936	147	0	1	39	107	2
Precinct 9208 - Vote By Mail	115	39	25	936	240	-1	0	61	180	1
Precinct 9209 - Election Day	50	19	16	675	121	-1	0	37	85	0
Precinct 9209 - Vote By Mail	111	17	11	675	188	0	1	45	142	3
Precinct 9211 - Election Day	57	15	25	834	130	0	0	33	97	0
Precinct 9211 - Vote By Mail	105	33	22	834	212	1	0	51	160	0
Precinct 9212 - Election Day	57	12	23	764	121	0	0	29	92	0
Precinct 9212 - Vote By Mail	96	25	31	764	205	3	0	49	153	1
Precinct 9213 - Election Day	63	14	29	890	140	0	0	34	106	0
Precinct 9213 - Vote By Mail	140	15	35	890	260	2	0	68	190	0
Precinct 9214 - Election Day	34	12	12	581	92	0	0	34	58	0
Precinct 9214 - Vote By Mail	120	22	17	581	203	2	0	42	159	0
Precinct 9215 - Election Day	60	15	12	626	130	0	0	43	87	0
Precinct 9215 - Vote By Mail	119	5	15	626	170	-1	0	32	139	0
Precinct 9216 - Election Day	69	17	12	798	134	-1	0	37	98	0
Precinct 9216 - Vote By Mail	112	17	19	798	206	0	0	58	148	0
Precinct 9217 - Election Day	58	18	14	684	123	0	0	33	90	0
Precinct 9217 - Vote By Mail	100	27	18	684	187	3	0	39	145	0
Precinct 9218 - Election Day	54	21	14	797	119	0	0	29	90	1
Precinct 9218 - Vote By Mail	113	21	28	797	225	2	0	61	162	0
Precinct 9219 - Election Day	65	20	24	733	146	0	0	35	111	2
Precinct 9219 - Vote By Mail	105	17	26	733	187	0	0	39	148	0
Precinct 9221 - Election Day	68	7	9	641	121	0	1	35	85	1
Precinct 9221 - Vote By Mail	191	14	22	641	278	1	1	49	227	0
Precinct 9222 - Election Day	77	17	13	842	139	-1	0	32	108	1
Precinct 9222 - Vote By Mail	168	26	15	842	268	3	0	56	209	0
Precinct 9223 - Election Day	51	6	12	606	88	1	0	18	69	0
Precinct 9223 - Vote By Mail	117	28	15	606	202	1	0	41	160	0
Precinct 9224 - Election Day	78	14	28	912	171	6	0	43	122	2
Precinct 9224 - Vote By Mail	164	28	36	912	308	7	0	71	230	2
Precinct 9225 - Election Day	79	26	22	898	161	0	0	34	127	0
Precinct 9225 - Vote By Mail	123	20	43	898	243	0	0	56	187	1
Precinct 9226 - Election Day	81	13	16	905	143	-1	0	33	111	1
Precinct 9226 - Vote By Mail	175	28	31	905	312	0	0	76	236	2
Precinct 9227 - Election Day	79	14	16	729	140	0	0	30	110	1
Precinct 9227 - Vote By Mail	195	24	25	729	304	-1	1	57	247	3
Precinct 9228 - Election Day	95	10	21	726	175	3	0	46	126	0
Precinct 9228 - Vote By Mail	176	23	23	726	277	4	0	51	222	0
Precinct 9229 - Election Day	74	11	18	596	130	-1	0	27	104	1
Precinct 9229 - Vote By Mail	148	10	24	596	219	-1	0	38	182	0
Precinct 9231 - Election Day	130	12	40	919	221	-2	0	40	183	1
Precinct 9231 - Vote By Mail	178	16	49	919	294	-2	0	53	243	0
Precinct 9232 - Election Day	70	14	28	701	151	0	0	39	112	0
Precinct 9232 - Vote By Mail	167	16	35	701	274	1	0	54	219	1
Precinct 9233 - Election Day	74	13	8	774	139	0	0	44	95	0
Precinct 9233 - Vote By Mail	189	19	29	774	308	2	0	69	237	0
Precinct 9234 - Election Day	69	12	18	731	131	-1	0	33	99	0
Precinct 9234 - Vote By Mail	180	13	31	731	281	3	1	52	225	1
Precinct 9235 - Election Day	92	20	17	842	174	1	0	44	129	0
Precinct 9235 - Vote By Mail	175	25	28	842	298	-1	0	70	229	1
Precinct 9236 - Election Day	70	7	13	658	130	0	0	40	90	0
Precinct 9236 - Vote By Mail	125	19	15	658	207	3	0	44	160	1
Precinct 9237 - Election Day	70	18	20	880	145	0	0	36	109	1
Precinct 9237 - Vote By Mail	177	30	35	880	331	-1	0	88	244	2
Precinct 9238 - Election Day	66	13	18	792	130	0	0	33	97	0
Precinct 9238 - Vote By Mail	163	23	27	792	271	-1	0	59	213	0
Precinct 9239 - Election Day	64	14	10	835	117	0	0	27	90	2
Precinct 9239 - Vote By Mail	196	26	36	835	318	0	0	60	258	0
Precinct 9241 - Election Day	94	14	20	961	158	1	0	28	129	1
Precinct 9241 - Vote By Mail	205	28	38	961	322	2	0	48	272	1
Precinct 9242 - Election Day	63	17	20	940	154	0	0	53	101	1
Precinct 9242 - Vote By Mail	181	21	37	940	300	3	0	56	241	2
Precinct 9243 - Election Day	66	14	17	572	135	0	1	36	98	1
Precinct 9243 - Vote By Mail	107	17	25	572	188	1	0	38	149	0
Precinct 9244 - Election Day	81	16	14	880	149	1	0	35	113	2
Precinct 9244 - Vote By Mail	141	15	45	880	269	-1	0	69	201	0
Precinct 9245 - Election Day	63	14	15	706	128	0	0	34	94	2
Precinct 9245 - Vote By Mail	128	14	30	706	226	2	0	51	173	1
Precinct 9246 - Election Day	68	14	15	910	139	0	0	42	97	0
Precinct 9246 - Vote By Mail	150	20	47	910	299	-1	1	81	218	1
Precinct 9247 - Election Day	68	19	36	936	151	-1	0	29	123	0
Precinct 9247 - Vote By Mail	151	35	55	936	303	1	0	61	241	0
Precinct 9248 - Election Day	76	22	31	898	181	0	0	52	129	0
Precinct 9248 - Vote By Mail	152	20	40	898	282	6	0	64	212	0
Precinct 9249 - Election Day	82	16	37	910	187	1	0	50	136	1
Precinct 9249 - Vote By Mail	190	21	40	910	314	3	1	58	252	1
Precinct 9251 - Election Day	107	15	34	946	204	0	0	48	156	0
Precinct 9251 - Vote By Mail	194	23	57	946	342	-1	0	69	274	0
Precinct 9252 - Election Day	67	9	33	913	140	-1	0	31	110	1
Precinct 9252 - Vote By Mail	199	33	55	913	352	1	0	62	289	2
Precinct 9253 - Election Day	61	16	21	751	138	4	0	35	99	1
Precinct 9253 - Vote By Mail	149	28	33	751	272	0	1	61	210	0
Precinct 9254 - Election Day	78	13	38	889	168	0	0	37	131	2
Precinct 9254 - Vote By Mail	185	30	43	889	318	-2	0	62	258	0
Precinct 9255 - Election Day	41	22	39	545	126	0	0	24	102	0
Precinct 9255 - Vote By Mail	56	20	29	545	128	1	0	22	105	0
Precinct 9256 - Election Day	32	6	12	433	77	0	0	27	50	0
Precinct 9256 - Vote By Mail	47	9	26	433	103	-1	0	22	82	0
Precinct 9257 MB - Vote By Mail	66	8	50	312	150	-1	0	26	125	1
Precinct 9258 - Election Day	64	8	25	699	127	0	0	30	97	0
Precinct 9258 - Vote By Mail	143	17	47	699	244	-2	0	39	207	0
Precinct 9401 - Election Day	66	13	73	970	194	-1	0	41	154	2
Precinct 9401 - Vote By Mail	151	20	74	970	293	-2	0	48	247	2
Precinct 9402 - Election Day	88	19	49	931	197	0	0	40	157	1
Precinct 9402 - Vote By Mail	166	18	61	931	307	1	0	61	245	0
Precinct 9403 - Election Day	76	16	40	853	167	0	0	35	132	0
Precinct 9403 - Vote By Mail	149	16	72	853	286	2	0	46	238	1
Precinct 9404 - Election Day	62	14	46	889	153	0	0	31	122	0
Precinct 9404 - Vote By Mail	169	24	63	889	320	3	0	61	256	0
Precinct 9405 - Election Day	81	13	31	757	160	-1	0	36	125	0
Precinct 9405 - Vote By Mail	143	21	38	757	245	1	0	41	203	1
Precinct 9406 - Election Day	92	13	44	815	179	0	0	30	149	0
Precinct 9406 - Vote By Mail	151	12	57	815	277	1	0	54	222	2
Precinct 9407 - Election Day	92	13	38	861	191	1	0	46	144	1
Precinct 9407 - Vote By Mail	158	21	63	861	284	-1	0	43	242	0
Precinct 9408 - Election Day	80	10	55	837	187	1	0	41	145	0
Precinct 9408 - Vote By Mail	127	11	70	837	246	-2	0	40	208	0
Precinct 9409 - Election Day	67	9	41	565	140	0	0	23	117	0
Precinct 9409 - Vote By Mail	89	5	46	565	170	2	0	28	140	0
Precinct 9411 - Election Day	70	11	57	936	175	-1	0	37	139	1
Precinct 9411 - Vote By Mail	125	22	70	936	261	1	0	42	218	1
Precinct 9412 - Election Day	73	15	41	843	164	0	0	31	133	4
Precinct 9412 - Vote By Mail	149	19	65	843	285	0	0	50	235	2
Precinct 9413 - Election Day	82	19	33	858	172	-1	0	39	134	0
Precinct 9413 - Vote By Mail	160	23	51	858	310	3	0	73	234	0
Precinct 9414 - Election Day	69	6	25	862	159	1	0	56	102	2
Precinct 9414 - Vote By Mail	189	15	46	862	307	1	0	53	253	3
Precinct 9415 - Election Day	59	11	27	755	121	0	0	24	97	0
Precinct 9415 - Vote By Mail	191	10	34	755	284	-2	0	50	236	1
Precinct 9416 - Election Day	97	12	46	962	198	0	0	42	156	1
Precinct 9416 - Vote By Mail	188	14	51	962	316	3	0	60	253	0
Precinct 9417 - Election Day	58	6	26	714	117	-1	0	27	91	1
Precinct 9417 - Vote By Mail	163	30	40	714	286	8	0	44	234	1
Precinct 9418 - Election Day	75	19	27	753	157	1	0	35	121	0
Precinct 9418 - Vote By Mail	168	14	27	753	269	0	0	58	211	2
Precinct 9419 - Election Day	72	14	37	893	167	0	0	44	123	0
Precinct 9419 - Vote By Mail	197	16	57	893	326	1	2	53	270	0
Precinct 9421 - Election Day	69	10	28	878	150	-1	0	43	108	1
Precinct 9421 - Vote By Mail	203	11	40	878	316	-1	0	62	255	1
Precinct 9422 - Election Day	96	17	37	1,010	200	-1	0	51	150	0
Precinct 9422 - Vote By Mail	214	27	50	1,010	358	0	0	66	292	1
Precinct 9423 - Election Day	68	16	31	853	147	0	0	32	115	0
Precinct 9423 - Vote By Mail	176	13	50	853	292	-1	0	52	241	2
Precinct 9424 - Election Day	65	16	37	910	146	1	0	27	118	0
Precinct 9424 - Vote By Mail	215	26	40	910	331	-1	1	48	283	2
Precinct 9425 - Election Day	66	6	27	903	136	1	0	36	99	0
Precinct 9425 - Vote By Mail	192	15	40	903	313	3	0	62	248	1
Precinct 9426 - Election Day	72	15	26	801	143	-1	0	30	114	1
Precinct 9426 - Vote By Mail	171	13	29	801	283	1	0	68	214	1
Precinct 9427 - Election Day	80	5	16	889	129	-1	0	27	103	2
Precinct 9427 - Vote By Mail	199	21	44	889	333	1	0	67	265	1
Precinct 9428 - Election Day	51	12	26	892	122	-1	0	31	92	3
Precinct 9428 - Vote By Mail	220	15	56	892	346	-1	0	54	293	2
Precinct 9429 - Election Day	84	12	36	866	173	0	0	40	133	1
Precinct 9429 - Vote By Mail	211	23	36	866	308	0	0	37	271	1
Precinct 9431 - Election Day	88	8	25	954	152	-1	0	31	122	1
Precinct 9431 - Vote By Mail	246	24	25	954	352	4	2	49	297	2
Precinct 9432 - Election Day	85	10	23	901	155	0	0	36	119	1
Precinct 9432 - Vote By Mail	196	12	36	901	307	0	0	59	248	4
Precinct 9433 - Election Day	75	10	30	912	155	0	0	37	118	3
Precinct 9433 - Vote By Mail	194	10	45	912	317	-2	0	70	249	0
Precinct 9434 - Election Day	90	10	33	963	188	0	0	53	135	2
Precinct 9434 - Vote By Mail	234	20	52	963	349	-1	1	43	306	0
Precinct 9435 - Election Day	90	13	46	934	195	0	0	45	150	1
Precinct 9435 - Vote By Mail	178	24	45	934	320	2	0	71	247	0
Precinct 9436 - Election Day	93	14	20	941	161	0	0	34	127	0
Precinct 9436 - Vote By Mail	211	19	44	941	337	0	0	62	275	1
Precinct 9437 - Election Day	91	19	20	873	170	0	0	40	130	0
Precinct 9437 - Vote By Mail	215	21	35	873	324	1	0	52	271	0
Precinct 9438 - Election Day	62	16	28	918	129	1	0	21	107	1
Precinct 9438 - Vote By Mail	225	17	41	918	336	-1	0	54	283	0
Precinct 9439 - Election Day	69	11	20	827	126	0	0	25	101	1
Precinct 9439 - Vote By Mail	193	25	33	827	314	-1	0	63	252	1
Precinct 9441 - Election Day	91	16	50	939	205	-1	0	47	159	2
Precinct 9441 - Vote By Mail	216	18	51	939	337	-1	0	52	286	1
Precinct 9442 - Election Day	99	16	47	970	200	0	0	37	163	1
Precinct 9442 - Vote By Mail	186	25	47	970	325	0	0	61	264	6
Precinct 9443 - Election Day	65	15	34	886	138	0	0	23	115	1
Precinct 9443 - Vote By Mail	181	22	52	886	304	2	0	46	256	1
Precinct 9444 - Election Day	49	11	24	901	118	-1	0	34	85	1
Precinct 9444 - Vote By Mail	190	28	31	901	312	-1	0	63	250	1
Precinct 9445 - Election Day	76	10	36	945	154	0	0	30	124	2
Precinct 9445 - Vote By Mail	215	19	53	945	342	0	0	53	289	2
Precinct 9446 - Election Day	86	9	30	1,043	164	2	0	36	126	1
Precinct 9446 - Vote By Mail	250	34	52	1,043	417	-3	1	82	337	1
Precinct 9447 - Election Day	82	12	38	891	171	1	0	37	133	1
Precinct 9447 - Vote By Mail	202	17	46	891	327	1	1	60	265	0
Precinct 9448 - Election Day	74	10	42	877	159	0	0	32	127	1
Precinct 9448 - Vote By Mail	184	22	40	877	307	-2	0	62	247	1
Precinct 9449 - Election Day	49	8	22	784	97	-1	0	19	79	0
Precinct 9449 - Vote By Mail	194	15	40	784	302	4	0	49	249	0
Precinct 9451 - Election Day	38	3	10	414	57	0	0	6	51	0
Precinct 9451 - Vote By Mail	98	16	16	414	154	3	0	20	131	1
Precinct 9452 - Election Day	91	14	32	799	175	1	1	36	137	0
Precinct 9452 - Vote By Mail	162	20	37	799	281	0	0	61	220	1
Precinct 9453 - Election Day	51	14	10	488	90	0	0	15	75	0
Precinct 9453 - Vote By Mail	111	9	22	488	175	0	0	33	142	0
Precinct 9501 MB - Vote By Mail	30	8	12	149	71	-2	0	23	50	0
Precinct 9502 MB - Vote By Mail	64	7	21	233	116	0	0	23	93	1
Precinct 9503/9504 - Election Day	57	14	24	725	128	-2	0	35	95	0
Precinct 9503/9504 - Vote By Mail	91	17	35	725	184	0	0	41	143	0
Precinct 9505 - Election Day	64	14	29	756	147	-2	0	41	108	1
Precinct 9505 - Vote By Mail	115	30	67	756	274	0	0	61	213	1
Precinct 9506 - Election Day	51	14	38	771	134	0	0	30	104	1
Precinct 9506 - Vote By Mail	113	20	50	771	217	1	0	33	183	0
Precinct 9507 - Election Day	69	10	48	733	170	1	0	41	128	1
