Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted
Precinct 7005 - Election Day	128	34	812	180	1	0	17	162
Precinct 7005 - Vote By Mail	200	73	812	295	1	0	21	273
Precinct 7006 - Election Day	146	49	884	213	1	0	17	195
Precinct 7006 - Vote By Mail	206	65	884	290	-2	0	21	271
Precinct 7007 - Election Day	155	58	916	233	-2	0	22	213
Precinct 7007 - Vote By Mail	223	80	916	323	-1	0	21	303
Precinct 7008 - Election Day	117	50	861	187	0	1	19	167
Precinct 7008 - Vote By Mail	227	87	861	345	1	1	29	314
Precinct 7009 - Election Day	81	38	864	133	-1	0	15	119
Precinct 7009 - Vote By Mail	209	69	864	312	-1	0	35	278
Precinct 7011 - Election Day	78	41	976	141	0	0	22	119
Precinct 7011 - Vote By Mail	119	68	976	205	0	0	18	187
Precinct 7012 - Election Day	150	61	1,061	224	0	0	13	211
Precinct 7012 - Vote By Mail	243	106	1,061	383	1	0	33	349
Precinct 7013 - Election Day	97	29	805	132	0	0	6	126
Precinct 7013 - Vote By Mail	168	70	805	251	-2	0	15	238
Precinct 7014 - Election Day	137	45	1,213	188	-3	0	9	182
Precinct 7014 - Vote By Mail	286	119	1,213	434	-1	0	30	405
Precinct 7015 MB - Vote By Mail	26	6	93	34	1	0	1	32
Precinct 7016 - Election Day	53	40	891	112	0	0	19	93
Precinct 7016 - Vote By Mail	114	80	891	221	-1	0	28	194
Precinct 7017 - Election Day	28	27	734	79	0	0	24	55
Precinct 7017 - Vote By Mail	75	73	734	167	-1	0	20	148
Precinct 7018 - Election Day	41	36	908	88	-2	0	13	77
Precinct 7018 - Vote By Mail	200	112	908	343	2	1	28	312
Precinct 7019 - Election Day	63	32	864	111	2	0	14	95
Precinct 7019 - Vote By Mail	215	102	864	349	-1	0	33	317
Precinct 7021 - Election Day	68	42	927	129	1	0	18	110
Precinct 7021 - Vote By Mail	126	73	927	220	-3	0	24	199
Precinct 7022 - Election Day	79	62	923	164	0	0	23	141
Precinct 7022 - Vote By Mail	144	92	923	270	3	1	30	236
Precinct 7023 - Election Day	63	47	906	131	1	0	20	110
Precinct 7023 - Vote By Mail	171	102	906	301	-4	0	32	273
Precinct 7024 - Election Day	9	14	386	30	0	0	7	23
Precinct 7024 - Vote By Mail	27	18	386	47	0	0	2	45
Precinct 7025 - Election Day	25	28	448	66	2	0	11	53
Precinct 7025 - Vote By Mail	43	27	448	78	1	0	7	70
Precinct 7026 - Election Day	48	27	971	90	0	0	15	75
Precinct 7026 - Vote By Mail	207	94	971	350	4	0	45	301
Precinct 7027 - Election Day	63	52	845	136	-1	0	22	115
Precinct 7027 - Vote By Mail	135	98	845	271	2	0	36	233
Precinct 7028 - Election Day	67	74	835	157	0	0	16	141
Precinct 7028 - Vote By Mail	91	72	835	180	-2	0	19	163
Precinct 7029 - Election Day	47	51	855	115	0	0	17	98
Precinct 7029 - Vote By Mail	81	69	855	166	1	0	15	150
Precinct 7030 - Election Day	57	29	729	94	-2	0	10	86
Precinct 7030 - Vote By Mail	177	73	729	277	3	0	24	250
Precinct 7031 - Election Day	28	15	611	50	0	0	7	43
Precinct 7031 - Vote By Mail	137	58	611	224	3	0	26	195
Precinct 7032 - Election Day	50	46	867	126	-1	0	31	96
Precinct 7032 - Vote By Mail	116	91	867	238	1	0	30	207
Precinct 7033 - Election Day	60	52	765	135	0	0	23	112
Precinct 7033 - Vote By Mail	91	67	765	181	-1	0	24	158
Precinct 7034 - Election Day	39	45	914	97	0	0	13	84
Precinct 7034 - Vote By Mail	63	73	914	154	1	0	17	136
Precinct 7035 - Election Day	37	27	553	73	0	0	9	64
Precinct 7035 - Vote By Mail	94	63	553	170	0	0	13	157
Precinct 7036 - Election Day	34	15	898	52	0	0	3	49
Precinct 7036 - Vote By Mail	171	67	898	265	0	0	27	238
Precinct 7037 - Election Day	28	30	730	73	-1	0	16	58
Precinct 7037 - Vote By Mail	35	16	730	64	3	0	10	51
Precinct 7038 - Election Day	36	33	880	84	0	0	15	69
Precinct 7038 - Vote By Mail	155	70	880	255	-1	0	31	225
