Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts - Total	105,746	129,611	481,991	253,583	-56	160	18,122	235,357
All Precincts - Election Day	36,729	46,213	481,991	89,756	-87	49	6,852	82,942
All Precincts - Vote By Mail	69,017	83,398	481,991	163,827	31	111	11,270	152,415
Precinct 1101 - Election Day	35	46	544	83	-1	0	3	81
Precinct 1101 - Vote By Mail	83	107	544	198	1	0	7	190
Precinct 1102 - Election Day	58	119	964	188	1	0	10	177
Precinct 1102 - Vote By Mail	98	216	964	337	-2	0	25	314
Precinct 1103 - Election Day	64	92	914	163	0	0	7	156
Precinct 1103 - Vote By Mail	158	170	914	348	0	0	20	328
Precinct 1104/1105 - Election Day	66	90	953	167	0	0	11	156
Precinct 1104/1105 - Vote By Mail	128	142	953	292	1	0	21	270
Precinct 1106 - Election Day	53	54	740	113	0	0	6	107
Precinct 1106 - Vote By Mail	88	132	740	231	-1	2	10	220
Precinct 1107 - Election Day	45	47	721	101	0	0	9	92
Precinct 1107 - Vote By Mail	96	129	721	240	1	0	14	225
Precinct 1108 - Election Day	78	58	882	156	0	1	19	136
Precinct 1108 - Vote By Mail	152	153	882	328	1	0	22	305
Precinct 1109 - Election Day	59	57	758	124	-3	0	11	116
Precinct 1109 - Vote By Mail	101	140	758	265	3	1	20	241
Precinct 1111 - Election Day	52	67	938	132	-2	0	15	119
Precinct 1111 - Vote By Mail	131	175	938	330	5	0	19	306
Precinct 1112 - Election Day	35	52	702	96	2	0	7	87
Precinct 1112 - Vote By Mail	96	114	702	221	0	0	11	210
Precinct 1113 - Election Day	31	45	701	82	-1	0	7	76
Precinct 1113 - Vote By Mail	101	155	701	272	0	0	16	256
Precinct 1114 - Election Day	53	71	915	139	0	0	15	124
Precinct 1114 - Vote By Mail	128	134	915	280	1	0	17	262
Precinct 1115 - Election Day	40	49	835	97	0	0	8	89
Precinct 1115 - Vote By Mail	107	143	835	279	-1	1	29	250
Precinct 1116 - Election Day	62	62	842	141	-1	0	18	124
Precinct 1116 - Vote By Mail	101	144	842	275	0	0	30	245
Precinct 1117 - Election Day	66	51	827	138	-1	0	22	117
Precinct 1117 - Vote By Mail	113	116	827	240	0	0	11	229
Precinct 1118 - Election Day	69	70	974	158	2	0	17	139
Precinct 1118 - Vote By Mail	139	166	974	335	2	0	28	305
Precinct 1119 - Election Day	47	42	745	97	-1	0	9	89
Precinct 1119 - Vote By Mail	127	134	745	274	-1	0	14	261
Precinct 1121 - Election Day	31	66	653	104	0	0	7	97
Precinct 1121 - Vote By Mail	85	119	653	221	1	0	16	204
Precinct 1122 - Election Day	26	34	607	69	0	0	9	60
Precinct 1122 - Vote By Mail	70	125	607	213	-1	0	19	195
