Subtotal Area	MARK BURNS	CATHLEEN GALGIANI	BARRY CHANG	MALIA COHEN	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7918 - None	6	34	9	110	790	234	-1	0	74	161	2
Precinct 7919 - None	5	36	11	103	857	217	0	1	56	160	5
Precinct 7919 - None	13	39	9	113	857	241	0	0	64	177	3
Precinct 7921 - None	7	26	9	70	883	151	-1	0	38	114	2
Precinct 7921 - None	26	31	11	88	883	210	0	0	51	159	3
Precinct 7922 - None	6	33	10	75	797	182	1	0	48	133	9
Precinct 7922 - None	9	42	9	144	797	241	1	1	35	204	0
Precinct 7923 - None	8	28	9	98	863	202	0	0	53	149	6
Precinct 7923 - None	15	37	9	109	863	241	0	0	68	173	3
Precinct 7924 - None	5	30	8	79	806	172	1	0	44	127	5
Precinct 7924 - None	14	47	25	110	806	247	0	0	50	197	1
Precinct 7925 - None	2	21	1	53	570	114	0	0	36	78	1
Precinct 7925 - None	6	24	9	86	570	191	0	2	62	127	2
Precinct 7926 - None	7	26	5	81	768	177	0	0	53	124	5
Precinct 7926 - None	20	48	12	128	768	296	0	0	84	212	4
Precinct 7927 - None	1	25	8	97	733	187	0	0	53	134	3
Precinct 7927 - None	8	51	11	134	733	289	-1	0	84	206	2
Precinct 7928 - None	11	41	20	114	899	253	-1	0	63	191	5
Precinct 7928 - None	7	49	9	157	899	297	2	0	70	225	3
Precinct 7929 - None	4	34	7	92	840	200	-1	0	60	141	4
Precinct 7929 - None	15	44	14	195	840	367	2	0	95	270	2
Precinct 7931 - None	6	18	3	121	732	189	0	0	40	149	1
Precinct 7931 - None	8	43	18	177	732	317	-1	1	68	249	3
Precinct 7932 - None	5	21	4	55	551	112	0	0	26	86	1
Precinct 7932 - None	9	29	19	111	551	225	0	0	55	170	2
Precinct 7933 MB - None	0	0	1	3	8	4	0	0	0	4	0
Precinct 7934 - None	7	31	9	79	885	195	-4	0	72	127	1
Precinct 7934 - None	11	45	13	170	885	328	2	0	84	242	3
Precinct 7935 - None	9	38	8	136	938	283	0	0	91	192	1
Precinct 7935 - None	15	51	14	197	938	370	2	1	88	279	2
Precinct 7936 - None	7	36	11	118	832	246	-1	0	73	174	2
Precinct 7936 - None	10	51	7	172	832	326	1	1	81	243	3
Precinct 7937 - None	5	33	8	120	874	223	0	0	57	166	0
Precinct 7937 - None	14	54	10	165	874	309	0	1	63	245	2
Precinct 7938 - None	10	27	13	70	774	162	0	0	41	121	1
Precinct 7938 - None	9	50	15	110	774	247	0	0	59	188	4
Precinct 7939 - None	6	28	4	92	667	186	2	0	51	133	3
Precinct 7939 - None	15	29	5	122	667	230	1	1	56	172	1
Precinct 7941 - None	8	30	8	80	728	167	1	0	37	129	3
Precinct 7941 - None	8	33	13	125	728	236	1	0	55	180	1
Precinct 7942 - None	11	23	6	77	893	166	1	1	44	120	3
Precinct 7942 - None	11	46	33	135	893	286	-1	0	61	226	1
Precinct 7943 - None	16	34	15	88	887	192	0	0	39	153	0
Precinct 7943 - None	26	65	28	141	887	319	2	0	54	263	3
Precinct 7944 - None	4	29	5	106	769	201	-1	0	55	147	3
Precinct 7944 - None	12	25	18	129	769	235	0	0	51	184	0
