Subtotal Area	MARK BURNS	CATHLEEN GALGIANI	BARRY CHANG	MALIA COHEN	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 9411 - None	14	30	10	83	936	175	-1	0	34	142	5
Precinct 9411 - None	30	33	30	125	936	261	1	0	39	221	3
Precinct 9412 - None	17	21	15	79	843	164	0	0	31	133	1
Precinct 9412 - None	29	34	46	91	843	285	0	2	81	202	2
Precinct 9413 - None	13	29	20	64	858	172	-1	0	47	126	0
Precinct 9413 - None	38	33	55	116	858	310	3	0	63	244	2
Precinct 9414 - None	16	18	20	63	862	159	1	0	38	120	3
Precinct 9414 - None	35	47	45	119	862	307	1	3	54	249	3
Precinct 9415 - None	16	17	14	48	755	121	0	0	26	95	0
Precinct 9415 - None	45	30	46	104	755	284	-2	0	61	225	0
Precinct 9416 - None	16	32	20	90	962	198	0	0	39	159	1
Precinct 9416 - None	26	34	85	107	962	316	3	0	60	253	1
Precinct 9417 - None	15	14	18	46	714	117	-1	0	25	93	0
Precinct 9417 - None	56	26	55	99	714	286	8	1	41	236	0
Precinct 9418 - None	15	23	25	55	753	157	1	0	36	120	2
Precinct 9418 - None	34	21	40	102	753	269	0	1	70	198	1
Precinct 9419 - None	26	12	21	66	893	167	0	0	41	126	1
Precinct 9419 - None	64	45	49	110	893	326	1	1	56	268	0
Precinct 9421 - None	18	18	16	58	878	150	-1	0	40	111	1
Precinct 9421 - None	47	40	77	89	878	316	-1	0	64	253	0
Precinct 9422 - None	26	32	22	80	1,010	200	-1	0	41	160	0
Precinct 9422 - None	57	55	64	121	1,010	358	0	1	60	297	0
Precinct 9423 - None	15	16	20	63	853	147	0	0	32	115	1
Precinct 9423 - None	37	43	37	116	853	292	-1	0	58	235	2
Precinct 9424 - None	16	25	15	51	910	146	1	0	38	107	0
Precinct 9424 - None	40	57	64	121	910	331	-1	0	49	283	1
Precinct 9425 - None	15	27	12	47	903	136	1	0	33	102	1
Precinct 9425 - None	47	34	84	87	903	313	3	0	57	253	1
Precinct 9426 - None	26	10	22	53	801	143	-1	0	33	111	0
Precinct 9426 - None	57	15	42	101	801	283	1	3	64	215	0
Precinct 9427 - None	22	21	27	36	889	129	-1	0	23	107	1
Precinct 9427 - None	64	35	66	98	889	333	1	0	64	268	5
Precinct 9428 - None	19	15	12	43	892	122	-1	0	32	91	2
Precinct 9428 - None	42	37	74	120	892	346	-1	0	70	277	4
Precinct 9429 - None	28	18	29	65	866	173	0	0	30	143	3
Precinct 9429 - None	48	25	73	102	866	308	0	0	59	249	1
Precinct 9431 - None	23	13	21	68	954	152	-1	0	28	125	0
Precinct 9431 - None	55	53	69	128	954	352	4	0	43	305	0
Precinct 9432 - None	20	23	28	57	901	155	0	0	27	128	0
Precinct 9432 - None	29	31	81	99	901	307	0	1	65	241	1
Precinct 9433 - None	29	21	17	60	912	155	0	0	25	130	3
Precinct 9433 - None	59	30	63	99	912	317	-2	1	66	252	1
Precinct 9434 - None	25	19	25	72	963	188	0	0	47	141	0
Precinct 9434 - None	51	48	69	136	963	349	-1	1	44	305	1
Precinct 9435 - None	34	23	22	76	934	195	0	0	39	156	1
Precinct 9435 - None	41	32	61	111	934	320	2	1	71	246	1
Precinct 9436 - None	26	25	22	65	941	161	0	0	21	140	2
Precinct 9436 - None	45	46	80	104	941	337	0	0	60	277	2
Precinct 9437 - None	26	23	22	64	873	170	0	0	35	135	0
Precinct 9437 - None	69	40	61	99	873	324	1	0	54	269	0
Precinct 9438 - None	16	20	14	51	918	129	1	0	24	104	3
Precinct 9438 - None	53	39	91	88	918	336	-1	0	64	273	2
Precinct 9439 - None	9	17	20	51	827	126	0	0	26	100	3
Precinct 9439 - None	62	31	51	105	827	314	-1	0	64	251	2
Precinct 9441 - None	20	26	31	82	939	205	-1	0	43	163	4
Precinct 9441 - None	54	41	67	115	939	337	-1	0	60	278	1
Precinct 9442 - None	28	20	12	99	970	200	0	0	41	159	0
Precinct 9442 - None	48	48	62	117	970	325	0	0	49	276	1
Precinct 9443 - None	15	23	12	60	886	138	0	0	27	111	1
Precinct 9443 - None	33	48	68	100	886	304	2	0	51	251	2
Precinct 9444 - None	17	21	12	44	901	118	-1	0	24	95	1
Precinct 9444 - None	57	32	64	95	901	312	-1	2	62	249	1
Precinct 9445 - None	23	23	13	63	945	154	0	0	30	124	2
Precinct 9445 - None	42	46	63	120	945	342	0	0	68	274	3
Precinct 9446 - None	13	24	23	69	1,043	164	2	0	32	130	1
Precinct 9446 - None	83	62	65	124	1,043	417	-3	0	85	335	1
Precinct 9447 - None	16	22	16	69	891	171	1	0	45	125	2
Precinct 9447 - None	36	41	65	129	891	327	1	1	54	271	0
Precinct 9448 - None	22	21	8	68	877	159	0	1	37	121	2
Precinct 9448 - None	42	40	68	99	877	307	-2	0	58	251	2
Precinct 9449 - None	15	11	16	40	784	97	-1	1	15	82	0
Precinct 9449 - None	54	32	80	88	784	302	4	1	43	254	0
Precinct 9451 - None	6	11	6	29	414	57	0	0	4	53	1
Precinct 9451 - None	30	21	23	52	414	154	3	0	23	128	2
Precinct 9452 - None	30	30	12	65	799	175	1	0	37	137	0
Precinct 9452 - None	47	27	46	107	799	281	0	0	52	229	2
Precinct 9453 - None	15	10	8	43	488	90	0	0	12	78	2
Precinct 9453 - None	25	27	27	56	488	175	0	0	40	135	0
Precinct 9501 MB - None	6	19	3	25	149	71	-2	0	19	54	1
Precinct 9502 MB - None	9	14	8	60	233	116	0	0	24	92	1
Precinct 9503/9504 - None	8	21	11	58	725	128	-2	0	32	98	0
Precinct 9503/9504 - None	12	22	5	106	725	184	0	1	37	146	1
Precinct 9505 - None	11	19	8	80	756	147	-2	0	31	118	0
Precinct 9505 - None	12	41	16	144	756	274	0	0	58	216	3
Precinct 9506 - None	4	16	7	76	771	134	0	1	30	103	0
Precinct 9506 - None	14	21	17	111	771	217	1	1	51	164	1
Precinct 9507 - None	5	24	6	82	733	170	1	0	49	120	3
Precinct 9507 - None	7	27	5	127	733	218	-2	0	49	171	5
Precinct 9508 - None	5	25	9	91	784	180	0	0	44	136	6
Precinct 9508 - None	3	35	11	142	784	258	3	0	61	194	3
Precinct 9509 - None	9	17	6	94	719	165	0	0	37	128	2
Precinct 9509 - None	4	34	9	122	719	239	-1	1	69	170	1
Precinct 9511 - None	12	17	6	72	600	147	0	0	40	107	0
Precinct 9511 - None	12	17	8	82	600	177	2	0	52	123	4
Precinct 9512 - None	8	17	4	72	771	161	0	1	54	106	5
Precinct 9512 - None	13	30	11	131	771	251	-5	0	69	187	2
Precinct 9513 - None	8	17	2	114	864	200	0	0	58	142	1
Precinct 9513 - None	10	38	5	137	864	261	5	0	65	191	1
Precinct 9514/9522 - None	15	42	13	105	869	229	0	0	54	175	0
Precinct 9514/9522 - None	12	35	8	115	869	257	1	1	84	171	1
Precinct 9515 - None	7	15	6	92	685	159	0	0	38	121	1
Precinct 9515 - None	18	28	18	111	685	243	0	2	66	175	0
Precinct 9516 - None	19	31	12	81	864	206	0	1	57	148	5
Precinct 9516 - None	18	41	27	123	864	269	1	0	58	210	1
Precinct 9517 - None	9	26	12	96	768	197	0	0	53	144	1
Precinct 9517 - None	19	18	13	123	768	235	1	0	59	175	2
Precinct 9518 - None	6	25	8	96	783	180	1	0	42	137	2
Precinct 9518 - None	16	27	19	115	783	242	0	0	62	180	3
Precinct 9519 - None	13	30	6	98	850	217	0	0	69	148	1
Precinct 9519 - None	15	43	13	134	850	294	-1	0	88	207	2
Precinct 9521 - None	9	34	12	129	893	254	0	1	67	186	2
Precinct 9521 - None	15	37	9	143	893	290	3	0	82	205	1
Precinct 9701 - None	11	19	8	71	665	156	0	0	46	110	1
Precinct 9701 - None	24	26	34	88	665	235	0	0	63	172	0
Precinct 9702 - None	10	26	9	89	710	194	0	0	56	138	4
Precinct 9702 - None	22	28	15	97	710	231	0	0	68	163	1
Precinct 9703 - None	25	27	19	74	931	182	1	0	35	146	1
Precinct 9703 - None	53	43	63	141	931	373	1	0	66	306	6
Precinct 9704 - None	17	29	13	88	942	191	0	0	44	147	0
Precinct 9704 - None	35	36	41	163	942	354	-1	1	77	277	2
Precinct 9705 - None	20	37	11	83	879	208	1	0	56	151	0
Precinct 9705 - None	18	36	34	152	879	309	0	1	67	241	1
Precinct 9706 MB - None	2	4	2	16	51	32	0	0	8	24	0
Precinct 9707 - None	23	13	12	50	799	121	0	0	22	99	1
Precinct 9707 - None	51	53	60	140	799	355	-4	1	53	305	1
Precinct 9708 - None	12	20	11	102	919	193	1	0	46	146	1
Precinct 9708 - None	30	40	25	144	919	324	2	1	80	241	2
Precinct 9709 - None	17	22	23	78	998	196	1	0	53	142	2
Precinct 9709 - None	55	46	47	131	998	355	1	0	74	280	1
Precinct 9711 - None	19	22	12	75	625	167	0	0	35	132	4
Precinct 9711 - None	29	24	18	129	625	254	0	1	53	200	0
Precinct 9712 - None	18	16	7	61	651	134	-1	0	31	104	2
Precinct 9712 - None	48	48	18	128	651	288	1	0	45	242	0
Precinct 9713 - None	26	16	19	46	930	161	0	0	53	108	1
Precinct 9713 - None	52	38	47	153	930	362	1	0	70	291	1
Precinct 9714 - None	23	15	12	64	911	154	0	0	39	115	1
Precinct 9714 - None	68	41	36	150	911	367	2	0	68	297	2
Precinct 9715 - None	14	27	9	73	566	162	0	0	37	125	2
Precinct 9715 - None	46	33	11	93	566	218	1	0	34	183	0
Precinct 9716 - None	26	23	10	94	928	198	-1	0	44	155	2
Precinct 9716 - None	45	52	57	138	928	368	4	0	70	294	2
Precinct 9717 - None	31	32	18	78	967	206	-1	1	47	159	0
Precinct 9717 - None	49	65	43	149	967	371	6	0	58	307	1
Precinct 9718 - None	29	27	9	90	843	183	-2	0	29	156	1
Precinct 9718 - None	62	70	34	153	843	385	3	1	61	320	1
Precinct 9719 - None	24	26	9	91	863	186	0	0	35	151	1
Precinct 9719 - None	63	35	31	170	863	389	1	0	86	302	3
Precinct 9721 - None	33	22	8	87	653	182	-1	0	32	151	1
Precinct 9721 - None	44	26	13	101	653	250	1	2	62	185	1
Precinct 9722 - None	13	9	7	39	593	86	0	0	18	68	0
Precinct 9722 - None	59	31	28	120	593	269	-3	0	31	241	3
Precinct 9723 - None	13	7	9	31	458	74	0	0	13	61	1
Precinct 9723 - None	50	26	30	63	458	198	1	0	27	170	1
Precinct 9724 - None	30	24	24	44	950	144	0	1	21	122	0
Precinct 9724 - None	99	46	71	108	950	386	-1	1	61	325	1
Precinct 9725 - None	28	13	10	43	941	118	-1	0	24	95	1
Precinct 9725 - None	85	41	40	128	941	350	0	0	54	296	2
Precinct 9726 - None	15	15	3	34	685	83	0	0	16	67	0
Precinct 9726 - None	26	23	10	61	685	137	0	0	16	121	1
Precinct 9727 - None	9	9	2	27	435	60	1	0	12	47	0
Precinct 9727 - None	62	19	12	82	435	205	2	0	28	175	0
Precinct 9728 - None	43	27	11	91	906	204	0	0	31	173	1
Precinct 9728 - None	84	58	32	137	906	378	-2	1	66	313	2
Precinct 9729 - None	39	16	9	67	782	161	1	0	29	131	0
Precinct 9729 - None	72	32	23	116	782	304	0	0	61	243	0
Precinct 9731 - None	29	21	10	49	529	138	0	0	28	110	1
Precinct 9731 - None	44	31	19	59	529	189	0	1	33	155	2
Precinct 9732 MB - None	5	8	1	24	73	43	1	0	4	38	0
Precinct 9733 MB - None	14	22	12	75	224	146	0	0	23	123	0
Precinct 9734 - None	25	12	8	60	577	122	0	0	17	105	0
Precinct 9734 - None	44	38	21	111	577	261	1	0	45	215	1
Precinct 9735 - None	25	18	5	84	782	167	1	1	29	136	4
Precinct 9735 - None	60	74	29	118	782	344	0	1	61	282	1
Precinct 9736 - None	25	19	7	66	699	145	0	0	28	117	0
Precinct 9736 - None	35	39	20	153	699	305	1	0	56	248	1
Precinct 9737 - None	18	26	7	97	792	175	-1	0	27	149	1
Precinct 9737 - None	47	47	25	154	792	343	-3	0	70	276	3
Precinct 9738 - None	11	14	4	48	830	99	0	0	20	79	2
Precinct 9738 - None	37	37	20	125	830	263	4	0	39	220	1
Precinct 9739 - None	15	18	6	64	826	126	0	1	20	105	2
Precinct 9739 - None	30	29	10	93	826	193	-3	1	33	162	0
Precinct 9741 - None	0	1	0	15	1,022	19	0	0	3	16	0
Precinct 9741 - None	0	3	0	19	1,022	24	0	0	2	22	0
Precinct 9742 - None	26	19	17	56	647	134	0	1	15	118	0
Precinct 9742 - None	36	21	25	67	647	187	1	0	36	150	1
Precinct 9743 - None	14	23	10	94	1,093	172	0	0	29	143	2
Precinct 9743 - None	36	50	18	157	1,093	317	2	0	54	261	0
Precinct 9744 - None	18	24	11	63	902	141	0	0	25	116	0
Precinct 9744 - None	33	29	15	115	902	234	1	1	40	192	0
Precinct 9745 - None	11	20	7	72	934	141	0	0	29	112	2
Precinct 9745 - None	26	40	7	107	934	205	-1	0	26	180	0
Precinct 9746 - None	39	28	8	80	867	192	0	0	37	155	0
Precinct 9746 - None	52	37	26	157	867	334	2	0	59	273	1
Precinct 9747 - None	16	26	14	105	940	198	0	0	37	161	0
Precinct 9747 - None	45	38	47	127	940	323	0	4	62	257	0
Precinct 9748 - None	18	15	13	80	913	164	0	0	33	131	5
Precinct 9748 - None	58	40	30	142	913	342	3	0	66	273	3
Precinct 9749 - None	14	16	20	63	893	143	-1	0	29	115	2
Precinct 9749 - None	21	44	69	95	893	266	0	1	35	230	1
Precinct 9751 - None	19	21	12	73	977	157	-1	1	29	128	3
Precinct 9751 - None	41	60	42	166	977	384	2	0	72	310	1
Precinct 9752 - None	19	21	4	68	692	143	0	0	31	112	0
Precinct 9752 - None	33	37	31	141	692	305	2	0	61	242	0
Precinct 9753 - None	11	22	9	67	735	148	0	0	38	110	1
Precinct 9753 - None	23	48	33	114	735	266	-1	1	46	220	2
Precinct 9754 - None	13	31	6	85	701	169	0	0	31	138	3
Precinct 9754 - None	21	35	29	159	701	296	1	1	50	244	0
Precinct 9755 - None	6	19	19	57	553	120	-1	0	19	102	1
Precinct 9755 - None	26	32	24	81	553	201	0	1	34	166	3
Precinct 9756 - None	8	17	15	63	908	126	-1	0	24	103	0
Precinct 9756 - None	54	45	53	104	908	297	6	0	35	256	0
Precinct 9801 - None	12	8	12	30	399	76	0	0	14	62	0
Precinct 9801 - None	16	30	13	70	399	148	0	0	15	133	4
Congressional District 12	20,447	34,667	19,554	96,977	426,647	225,360	215	315	51,588	173,242	1,597
Congressional District 14	3,998	3,851	3,224	12,099	55,344	28,223	31	43	4,792	23,357	185
Assembly District 17	10,725	24,309	11,796	64,978	280,269	147,301	86	225	34,079	112,911	1,103
Assembly District 19	13,720	14,209	10,982	44,098	201,722	106,282	160	133	22,301	83,688	679
BART District 7	1,321	2,356	1,646	7,066	36,166	15,261	16	29	2,731	12,485	96
BART District 8	14,908	15,613	12,563	44,833	215,670	112,119	160	153	23,250	88,556	639
BART District 9	8,216	20,549	8,569	57,177	230,155	126,203	70	176	30,399	95,558	1,047
Supervisorial District 1	2,492	2,908	2,464	9,461	40,919	22,431	37	32	4,879	17,483	158
Supervisorial District 2	3,637	3,719	1,028	9,788	48,242	24,389	59	24	6,000	18,306	134
Supervisorial District 3	1,916	3,205	2,277	6,732	38,273	18,567	-2	31	4,319	14,219	89
Supervisorial District 4	3,015	2,780	3,479	8,170	41,216	21,994	23	24	4,372	17,575	131
Supervisorial District 5	1,470	4,478	1,492	13,425	52,114	28,694	27	41	7,508	21,118	253
Supervisorial District 6	1,579	3,042	1,710	7,142	41,151	17,498	3	45	3,846	13,604	131
Supervisorial District 7	3,644	3,692	2,359	11,279	46,301	26,230	34	36	5,047	21,113	139
Supervisorial District 8	1,827	5,818	1,597	17,314	56,415	36,015	-8	22	9,167	26,834	278
Supervisorial District 9	1,353	3,548	1,678	10,299	41,665	22,565	25	35	5,404	17,101	223
Supervisorial District 10	1,428	2,814	2,192	8,272	39,848	17,900	39	34	3,008	14,819	113
Supervisorial District 11	2,084	2,514	2,502	7,194	35,847	17,300	9	34	2,830	14,427	133
Bayview/Hunters Point	610	1,118	1,092	3,935	19,131	7,881	23	20	1,042	6,796	41
Chinatown	809	1,294	1,190	2,709	16,742	8,038	-5	14	1,987	6,042	40
Civic Center/Downtown	1,131	2,260	1,343	4,777	27,631	12,231	3	35	2,606	9,587	76
Diamond Heights	342	685	314	2,189	6,857	4,487	1	4	925	3,557	27
Excelsior	1,617	2,021	1,905	5,081	26,541	12,895	5	26	2,141	10,723	99
Haight Ashbury	348	1,368	350	3,859	14,552	8,410	10	6	2,387	6,007	82
Ingleside	592	653	779	2,538	11,506	5,461	8	9	841	4,603	41
Inner Sunset	342	741	310	2,522	9,393	5,438	8	5	1,469	3,956	41
Lake Merced	577	483	305	1,484	8,641	3,424	2	5	552	2,865	16
Laurel Heights/Anza Vista	503	683	269	2,334	9,744	5,037	6	8	1,204	3,819	30
Marina Pacific Heights	2,842	3,077	770	7,530	38,757	19,070	49	18	4,672	14,331	112
Mission	751	2,584	872	7,345	30,096	16,088	11	30	4,300	11,747	195
Noe Valley	556	1,699	467	4,979	16,415	10,584	-11	5	2,811	7,779	78
North Bernal Heights	187	813	220	2,758	8,622	5,494	0	6	1,458	4,030	52
North Embarcadero	414	639	351	1,341	6,827	3,580	6	9	806	2,759	14
Portola	577	697	727	1,685	8,914	4,445	3	5	718	3,719	33
Potrero Hill	493	1,465	573	3,510	15,511	7,917	5	5	1,802	6,105	64
Richmond	2,197	2,537	2,280	8,257	35,688	19,724	30	27	4,250	15,417	146
Sea Cliff/Presidio Heights	696	625	254	1,848	7,813	4,593	10	3	1,135	3,445	22
South of Bernal Heights	295	836	282	2,669	9,230	5,452	8	2	1,315	4,127	45
South of Market	980	1,700	880	4,137	23,278	10,026	-3	17	2,242	7,770	73
Sunset	2,990	2,730	3,457	8,020	40,651	21,684	21	24	4,314	17,325	128
Upper Market/Eureka Valley	504	2,023	457	6,020	18,424	12,111	5	5	3,019	9,082	78
Visitation Valley	411	434	656	1,240	7,867	3,226	9	9	451	2,757	16
West of Twin Peaks	2,876	2,941	1,795	8,957	33,960	20,797	29	30	4,061	16,677	108
Western Addition	805	2,412	880	7,352	29,200	15,490	13	31	3,872	11,574	125
