Subtotal Area	KONSTANTINOS RODITIS	MARY LOU FINLEY	BETTY T. YEE	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7014 - Vote By Mail	21	12	333	1,213	434	0	0	68	366	0
Precinct 7015 MB - Vote By Mail	2	1	29	93	34	0	0	2	32	0
Precinct 7016 - Election Day	2	18	62	891	112	0	1	29	82	0
Precinct 7016 - Vote By Mail	8	10	147	891	221	0	0	55	166	1
Precinct 7017 - Election Day	2	5	46	734	79	0	0	26	53	0
Precinct 7017 - Vote By Mail	5	12	121	734	167	0	0	29	138	0
Precinct 7018 - Election Day	7	10	52	908	88	0	0	19	69	0
Precinct 7018 - Vote By Mail	20	15	240	908	343	0	0	68	275	0
Precinct 7019 - Election Day	4	7	66	864	111	0	0	33	78	1
Precinct 7019 - Vote By Mail	25	17	253	864	349	0	0	54	295	0
Precinct 7021 - Election Day	4	8	81	927	129	0	0	35	94	1
Precinct 7021 - Vote By Mail	15	22	148	927	220	0	1	34	185	0
Precinct 7022 - Election Day	4	14	98	923	164	0	0	48	116	0
Precinct 7022 - Vote By Mail	18	13	190	923	270	0	0	48	222	1
Precinct 7023 - Election Day	5	11	81	906	131	0	0	33	98	1
Precinct 7023 - Vote By Mail	6	13	204	906	301	0	0	77	224	1
Precinct 7024 - Election Day	0	3	13	386	30	0	0	13	17	1
Precinct 7024 - Vote By Mail	4	0	34	386	47	0	0	9	38	0
Precinct 7025 - Election Day	1	13	33	448	66	0	0	18	48	1
Precinct 7025 - Vote By Mail	1	9	56	448	78	0	0	12	66	0
Precinct 7026 - Election Day	3	9	56	971	90	0	0	22	68	0
Precinct 7026 - Vote By Mail	20	9	252	971	350	0	0	69	281	0
Precinct 7027 - Election Day	6	8	74	845	136	0	0	46	90	2
Precinct 7027 - Vote By Mail	17	17	196	845	271	0	1	40	230	0
Precinct 7028 - Election Day	3	16	101	835	157	0	0	37	120	0
Precinct 7028 - Vote By Mail	2	11	121	835	180	0	0	45	135	1
Precinct 7029 - Election Day	1	15	67	855	115	0	0	32	83	0
Precinct 7029 - Vote By Mail	8	12	116	855	166	0	0	30	136	0
Precinct 7030 - Election Day	14	8	56	729	94	0	0	16	78	0
Precinct 7030 - Vote By Mail	28	8	187	729	277	0	0	53	224	1
Precinct 7031 - Election Day	1	5	30	611	50	0	0	14	36	0
Precinct 7031 - Vote By Mail	22	12	140	611	224	0	0	50	174	0
Precinct 7032 - Election Day	7	7	69	867	126	0	0	42	84	1
Precinct 7032 - Vote By Mail	20	18	155	867	238	0	0	45	193	0
Precinct 7033 - Election Day	12	9	74	765	135	0	1	36	98	3
Precinct 7033 - Vote By Mail	5	14	133	765	181	0	0	29	152	0
Precinct 7034 - Election Day	1	12	57	914	97	0	0	27	70	0
Precinct 7034 - Vote By Mail	2	14	104	914	154	0	0	33	121	1
Precinct 7035 - Election Day	1	5	38	553	73	0	0	29	44	0
Precinct 7035 - Vote By Mail	11	7	118	553	170	0	0	34	136	0
Precinct 7036 - Election Day	6	6	26	898	52	0	0	14	38	0
Precinct 7036 - Vote By Mail	23	17	187	898	265	0	0	38	227	0
Precinct 7037 - Election Day	0	6	36	730	73	0	0	31	42	0
Precinct 7037 - Vote By Mail	7	5	41	730	64	0	0	11	53	0
Precinct 7038 - Election Day	5	11	44	880	84	0	0	23	61	1
Precinct 7038 - Vote By Mail	11	17	182	880	255	0	0	44	211	1
Precinct 7039 - Election Day	14	10	63	768	111	0	0	24	87	0
Precinct 7039 - Vote By Mail	15	18	138	768	225	0	0	50	175	4
Precinct 7041 MB - Vote By Mail	3	0	15	60	24	0	0	6	18	0
Precinct 7042 - Election Day	4	5	55	632	75	0	0	11	64	0
Precinct 7042 - Vote By Mail	18	11	125	632	191	0	0	36	155	1
Precinct 7043 - Election Day	3	6	52	915	97	0	0	36	61	0
Precinct 7043 - Vote By Mail	10	17	192	915	282	0	0	63	219	0
Precinct 7044 - Election Day	1	7	43	805	86	0	0	33	53	2
Precinct 7044 - Vote By Mail	10	7	79	805	125	0	0	29	96	0
Precinct 7045 - Election Day	11	6	46	763	87	0	0	24	63	0
Precinct 7045 - Vote By Mail	30	16	171	763	282	0	0	65	217	0
Precinct 7046 - Election Day	4	3	33	385	54	0	0	13	41	1
Precinct 7046 - Vote By Mail	12	6	97	385	136	0	0	21	115	0
Precinct 7047 - Election Day	2	3	40	781	68	0	0	23	45	0
Precinct 7047 - Vote By Mail	27	8	214	781	298	0	0	48	250	1
Precinct 7048 - Election Day	3	10	60	815	94	0	0	20	74	1
Precinct 7048 - Vote By Mail	16	12	171	815	248	0	0	49	199	0
Precinct 7049 - Election Day	9	11	60	751	108	0	0	27	81	1
Precinct 7049 - Vote By Mail	18	8	153	751	241	0	0	61	180	1
Precinct 7051 - Election Day	5	5	33	839	70	0	0	27	43	0
Precinct 7051 - Vote By Mail	41	13	188	839	302	0	0	60	242	0
Precinct 7052 - Election Day	3	5	84	806	120	0	0	28	92	0
Precinct 7052 - Vote By Mail	25	8	199	806	278	0	0	46	232	0
Precinct 7053 - Election Day	4	3	28	548	44	0	0	9	35	0
Precinct 7053 - Vote By Mail	20	7	138	548	205	0	0	40	165	0
Precinct 7054 - Election Day	5	13	86	1,024	141	0	0	37	104	0
Precinct 7054 - Vote By Mail	18	13	196	1,024	275	0	0	48	227	0
Precinct 7055 - Election Day	5	3	58	699	83	0	0	17	66	0
Precinct 7055 - Vote By Mail	22	9	182	699	256	0	0	43	213	0
Precinct 7101 MB - Vote By Mail	2	0	68	141	83	0	0	13	70	0
Precinct 7201 - Election Day	11	3	102	900	147	0	0	31	116	0
Precinct 7201 - Vote By Mail	42	4	213	900	333	0	0	74	259	0
Precinct 7202 - Election Day	19	1	82	830	138	0	0	36	102	0
Precinct 7202 - Vote By Mail	50	7	160	830	271	0	0	54	217	0
Precinct 7203 - Election Day	11	6	106	867	174	0	0	51	123	0
Precinct 7203 - Vote By Mail	21	4	172	867	243	0	0	45	198	1
Precinct 7204 - Election Day	12	6	92	888	157	0	0	47	110	0
Precinct 7204 - Vote By Mail	35	9	230	888	340	0	1	65	274	0
Precinct 7205 - Election Day	14	8	118	847	183	0	0	43	140	0
Precinct 7205 - Vote By Mail	39	2	201	847	309	0	0	67	242	0
Precinct 7206 - Election Day	6	3	62	375	88	0	0	16	72	1
Precinct 7206 - Vote By Mail	11	5	77	375	124	0	1	30	93	0
Precinct 7207 - Election Day	10	5	73	744	119	0	0	31	88	0
Precinct 7207 - Vote By Mail	17	6	164	744	231	0	0	44	187	0
Precinct 7208 - Election Day	3	3	53	567	76	0	0	17	59	0
Precinct 7208 - Vote By Mail	28	8	134	567	206	0	0	36	170	0
Precinct 7209 - Election Day	5	1	53	586	69	0	0	10	59	0
Precinct 7209 - Vote By Mail	32	3	231	586	326	0	1	59	266	0
Precinct 7301 - Election Day	10	7	84	1,002	150	0	0	47	103	2
Precinct 7301 - Vote By Mail	42	10	193	1,002	299	0	0	54	245	0
Precinct 7302 - Election Day	9	3	75	806	121	0	0	34	87	0
Precinct 7302 - Vote By Mail	38	11	235	806	352	0	0	68	284	0
Precinct 7303 - Election Day	15	7	101	986	167	0	0	44	123	0
Precinct 7303 - Vote By Mail	33	13	218	986	318	0	0	54	264	0
Precinct 7304 - Election Day	18	5	128	972	203	0	0	52	151	0
Precinct 7304 - Vote By Mail	25	7	235	972	330	0	0	63	267	0
Precinct 7305 - Election Day	20	6	110	851	171	0	0	35	136	0
Precinct 7305 - Vote By Mail	39	11	188	851	306	0	0	68	238	0
Precinct 7306 - Election Day	16	8	109	1,014	179	0	0	45	134	1
Precinct 7306 - Vote By Mail	27	11	208	1,014	302	0	0	56	246	0
Precinct 7307 - Election Day	9	8	95	726	143	0	0	31	112	0
Precinct 7307 - Vote By Mail	25	2	156	726	226	0	0	43	183	0
Precinct 7308 - Election Day	11	4	90	598	133	0	0	28	105	0
Precinct 7308 - Vote By Mail	21	4	135	598	204	0	0	44	160	0
Precinct 7309 - Election Day	14	6	107	826	160	0	0	33	127	0
Precinct 7309 - Vote By Mail	26	6	135	826	209	0	0	42	167	0
Precinct 7311 - Election Day	13	4	115	901	175	0	0	42	133	1
Precinct 7311 - Vote By Mail	25	4	190	901	266	0	0	47	219	0
Precinct 7312 - Election Day	13	2	82	810	128	0	0	31	97	0
Precinct 7312 - Vote By Mail	40	11	209	810	332	0	0	72	260	0
Precinct 7313 - Election Day	4	5	88	925	135	0	0	38	97	0
Precinct 7313 - Vote By Mail	33	8	208	925	315	0	0	66	249	0
Precinct 7314 - Election Day	8	1	48	760	92	0	0	35	57	0
Precinct 7314 - Vote By Mail	11	6	136	760	213	0	0	60	153	0
Precinct 7315 - Election Day	7	5	79	725	119	0	0	28	91	0
Precinct 7315 - Vote By Mail	11	1	132	725	178	0	0	34	144	0
Precinct 7316 - Election Day	8	7	78	824	122	0	0	29	93	0
Precinct 7316 - Vote By Mail	19	10	181	824	266	0	0	55	211	1
Precinct 7317 - Election Day	8	1	88	886	117	0	0	20	97	0
Precinct 7317 - Vote By Mail	35	6	232	886	340	0	0	67	273	0
Precinct 7318 - Election Day	8	3	76	709	123	0	0	36	87	0
Precinct 7318 - Vote By Mail	13	5	175	709	243	0	1	48	194	1
Precinct 7319 - Election Day	11	8	118	1,035	182	0	0	45	137	0
Precinct 7319 - Vote By Mail	40	6	189	1,035	296	0	0	61	235	0
Precinct 7321 - Election Day	3	3	60	644	100	0	0	34	66	0
Precinct 7321 - Vote By Mail	20	4	144	644	211	0	0	43	168	0
Precinct 7322 - Election Day	2	4	36	859	60	0	0	18	42	0
Precinct 7322 - Vote By Mail	10	9	210	859	304	0	1	74	229	0
Precinct 7323 - Election Day	10	5	92	881	146	0	1	38	107	0
Precinct 7323 - Vote By Mail	26	3	191	881	273	0	0	53	220	0
Precinct 7324 - Election Day	8	5	69	687	125	0	0	43	82	0
Precinct 7324 - Vote By Mail	16	4	135	687	198	0	0	43	155	0
Precinct 7325 - Election Day	8	9	95	870	150	0	0	38	112	0
Precinct 7325 - Vote By Mail	19	3	197	870	276	0	0	56	220	1
Precinct 7326 - Election Day	8	6	104	853	150	0	0	31	119	1
Precinct 7326 - Vote By Mail	23	2	180	853	256	0	0	51	205	0
Precinct 7327 - Election Day	4	3	38	684	62	0	0	17	45	0
Precinct 7327 - Vote By Mail	15	7	183	684	277	0	0	71	206	1
Precinct 7328 - Election Day	4	3	41	950	70	0	0	22	48	0
Precinct 7328 - Vote By Mail	30	10	232	950	391	0	1	118	272	0
Precinct 7329 - Election Day	12	3	39	610	71	0	0	17	54	0
Precinct 7329 - Vote By Mail	33	3	125	610	205	0	0	44	161	0
Precinct 7331 - Election Day	30	1	67	860	130	0	0	31	99	1
Precinct 7331 - Vote By Mail	52	6	220	860	357	0	0	79	278	0
Precinct 7332 - Election Day	5	5	103	799	154	0	0	41	113	0
Precinct 7332 - Vote By Mail	15	12	142	799	209	0	0	39	170	1
Precinct 7333 - Election Day	12	1	127	974	174	0	0	34	140	0
Precinct 7333 - Vote By Mail	29	6	205	974	323	0	0	81	242	2
Precinct 7334 - Election Day	7	6	77	854	113	0	0	23	90	0
Precinct 7334 - Vote By Mail	16	8	192	854	275	0	0	57	218	2
Precinct 7335 - Election Day	7	2	98	936	144	0	0	37	107	0
Precinct 7335 - Vote By Mail	49	5	229	936	354	0	1	68	285	2
Precinct 7336 - Election Day	8	4	97	920	155	0	0	46	109	0
Precinct 7336 - Vote By Mail	47	11	195	920	324	0	0	71	253	0
Precinct 7337 - Election Day	8	5	74	825	115	0	0	28	87	0
Precinct 7337 - Vote By Mail	38	5	198	825	305	0	0	64	241	0
Precinct 7338 - Election Day	7	1	71	884	100	0	0	21	79	0
Precinct 7338 - Vote By Mail	24	11	231	884	364	0	0	98	266	0
Precinct 7339 - Election Day	7	3	64	618	111	0	0	37	74	0
Precinct 7339 - Vote By Mail	11	8	129	618	181	0	1	32	148	0
Precinct 7341 - Election Day	5	7	77	877	124	0	0	35	89	0
Precinct 7341 - Vote By Mail	17	12	176	877	246	0	0	40	206	1
Precinct 7342 - Election Day	18	10	146	911	234	0	0	60	174	0
Precinct 7342 - Vote By Mail	20	9	179	911	251	0	0	43	208	0
Precinct 7343 - Election Day	5	5	95	707	144	0	0	39	105	0
Precinct 7343 - Vote By Mail	12	5	130	707	186	0	0	39	147	0
Precinct 7344 - Election Day	15	13	116	1,039	179	0	0	35	144	0
Precinct 7344 - Vote By Mail	24	7	239	1,039	334	0	0	64	270	0
Precinct 7345 - Election Day	9	15	124	1,077	183	0	0	34	149	1
Precinct 7345 - Vote By Mail	17	4	205	1,077	283	0	0	55	228	2
Precinct 7346 - Election Day	7	10	118	877	168	0	0	33	135	0
Precinct 7346 - Vote By Mail	13	15	148	877	221	0	0	44	177	1
Precinct 7347 - Election Day	6	6	89	968	137	0	0	35	102	1
Precinct 7347 - Vote By Mail	16	9	205	968	279	0	0	48	231	1
Precinct 7348 - Election Day	13	6	94	832	139	0	0	24	115	2
Precinct 7348 - Vote By Mail	18	6	135	832	202	0	0	42	160	1
Precinct 7349 - Election Day	12	6	97	921	147	0	0	32	115	0
Precinct 7349 - Vote By Mail	25	11	194	921	282	0	0	52	230	0
Precinct 7501 - Election Day	5	5	75	554	118	0	0	33	85	0
Precinct 7501 - Vote By Mail	19	5	97	554	168	0	0	47	121	0
Precinct 7502 - Election Day	10	5	71	741	113	0	0	27	86	0
Precinct 7502 - Vote By Mail	34	2	247	741	349	0	0	64	285	2
Precinct 7503 - Election Day	7	6	90	727	132	0	0	29	103	0
Precinct 7503 - Vote By Mail	17	7	158	727	226	0	0	43	183	1
Precinct 7504 - Election Day	6	0	47	484	76	0	0	23	53	0
Precinct 7504 - Vote By Mail	8	3	105	484	158	0	1	39	118	2
Precinct 7505 - Election Day	14	2	77	871	131	0	0	38	93	0
Precinct 7505 - Vote By Mail	33	10	273	871	417	0	0	101	316	0
Precinct 7506 - Election Day	5	7	89	920	133	0	0	32	101	0
Precinct 7506 - Vote By Mail	17	6	177	920	252	0	0	51	201	1
Precinct 7507 - Election Day	1	9	96	919	158	0	0	51	107	1
Precinct 7507 - Vote By Mail	14	14	174	919	255	0	0	52	203	1
Precinct 7508 - Election Day	7	4	59	702	106	0	0	34	72	2
Precinct 7508 - Vote By Mail	26	10	231	702	340	0	0	73	267	0
Precinct 7509/7511 - Election Day	11	7	118	909	171	0	0	35	136	0
Precinct 7509/7511 - Vote By Mail	16	21	216	909	319	0	0	66	253	0
Precinct 7512 - Election Day	10	2	48	604	96	0	0	35	61	1
Precinct 7512 - Vote By Mail	31	4	131	604	196	0	0	30	166	0
Precinct 7513 - Election Day	5	12	82	790	142	0	1	41	100	1
Precinct 7513 - Vote By Mail	20	11	129	790	208	0	0	48	160	0
Precinct 7514 - Election Day	4	2	51	863	95	0	0	37	58	1
Precinct 7514 - Vote By Mail	18	20	146	863	235	0	0	51	184	0
Precinct 7515 - Election Day	4	4	92	845	150	0	0	48	102	2
Precinct 7515 - Vote By Mail	18	5	200	845	289	0	0	65	224	1
Precinct 7516 - Election Day	10	8	95	886	145	0	0	32	113	0
Precinct 7516 - Vote By Mail	33	13	253	886	378	0	0	78	300	1
Precinct 7517 - Election Day	5	9	159	863	228	0	0	54	174	1
Precinct 7517 - Vote By Mail	1	13	187	863	251	0	0	50	201	0
Precinct 7518 - Election Day	9	12	158	939	235	0	0	56	179	0
Precinct 7518 - Vote By Mail	12	5	237	939	298	0	0	44	254	0
Precinct 7519 - Election Day	3	9	132	726	179	0	0	35	144	0
Precinct 7519 - Vote By Mail	2	3	141	726	185	0	0	39	146	0
Precinct 7521 - Election Day	6	10	139	802	211	0	0	56	155	0
Precinct 7521 - Vote By Mail	3	7	153	802	215	0	0	52	163	0
Precinct 7522 - Election Day	5	6	120	743	175	0	0	44	131	0
Precinct 7522 - Vote By Mail	3	5	185	743	240	0	0	47	193	0
Precinct 7523 - Election Day	4	13	149	737	208	0	0	42	166	0
Precinct 7523 - Vote By Mail	8	12	164	737	223	0	0	39	184	0
Precinct 7524 - Election Day	4	13	89	646	143	0	0	37	106	0
Precinct 7524 - Vote By Mail	6	4	124	646	165	0	0	29	136	2
Precinct 7525 - Election Day	2	9	100	779	145	0	0	33	112	1
Precinct 7525 - Vote By Mail	6	13	155	779	214	0	0	40	174	0
Precinct 7526 - Election Day	7	6	148	947	197	0	0	35	162	1
Precinct 7526 - Vote By Mail	10	10	235	947	313	0	0	58	255	0
Precinct 7527/7528 - Election Day	13	8	87	729	162	0	1	52	109	1
Precinct 7527/7528 - Vote By Mail	14	10	157	729	237	0	1	55	181	0
Precinct 7529 - Election Day	4	10	141	925	214	0	0	57	157	2
Precinct 7529 - Vote By Mail	13	13	208	925	300	0	0	66	234	0
Precinct 7531 - Election Day	3	15	123	847	179	0	0	38	141	0
Precinct 7531 - Vote By Mail	6	10	193	847	263	0	0	54	209	0
Precinct 7532 - Election Day	5	6	118	823	172	0	0	43	129	0
Precinct 7532 - Vote By Mail	18	3	172	823	226	0	0	33	193	0
Precinct 7533 - Election Day	11	17	194	951	268	0	0	45	223	1
Precinct 7533 - Vote By Mail	17	9	204	951	297	0	1	66	230	0
Precinct 7534 - Election Day	4	6	179	883	241	0	0	52	189	0
Precinct 7534 - Vote By Mail	7	10	188	883	240	0	0	35	205	0
Precinct 7535 - Election Day	6	3	146	743	201	0	0	45	156	1
Precinct 7535 - Vote By Mail	6	10	193	743	251	0	0	42	209	0
Precinct 7536 - Election Day	8	8	139	856	206	0	0	50	156	1
Precinct 7536 - Vote By Mail	9	9	196	856	279	0	0	65	214	0
Precinct 7537 - Election Day	4	8	129	734	187	0	0	46	141	0
Precinct 7537 - Vote By Mail	6	10	162	734	225	0	1	45	179	1
Precinct 7538 - Election Day	3	6	154	757	223	0	0	60	163	0
Precinct 7538 - Vote By Mail	2	6	193	757	256	0	0	54	202	1
Precinct 7539 - Election Day	8	12	156	884	250	0	0	74	176	0
Precinct 7539 - Vote By Mail	5	12	216	884	286	0	1	52	233	0
Precinct 7541 - Election Day	6	7	132	791	215	0	0	69	146	1
Precinct 7541 - Vote By Mail	6	5	194	791	245	0	0	39	206	1
Precinct 7542 - Election Day	0	9	124	787	183	0	0	50	133	0
Precinct 7542 - Vote By Mail	3	11	184	787	247	0	0	49	198	0
Precinct 7543 - Election Day	3	9	124	910	187	0	0	50	137	1
Precinct 7543 - Vote By Mail	11	5	252	910	332	0	0	64	268	0
Precinct 7544 - Election Day	8	5	136	877	186	0	0	35	151	2
Precinct 7544 - Vote By Mail	8	7	242	877	331	0	1	73	257	0
Precinct 7545 - Election Day	6	5	123	877	179	0	0	45	134	0
Precinct 7545 - Vote By Mail	15	9	208	877	291	0	0	59	232	0
Precinct 7546 - Election Day	6	11	151	913	219	0	0	51	168	0
Precinct 7546 - Vote By Mail	10	9	238	913	310	0	0	53	257	0
Precinct 7547 - Election Day	5	8	161	987	244	0	0	69	175	1
Precinct 7547 - Vote By Mail	8	8	233	987	322	0	0	73	249	0
Precinct 7548 - Election Day	8	9	156	1,054	236	0	0	63	173	0
Precinct 7548 - Vote By Mail	10	10	252	1,054	345	0	0	71	274	2
Precinct 7549 - Election Day	5	5	118	785	165	0	0	37	128	0
Precinct 7549 - Vote By Mail	12	10	209	785	281	0	0	48	233	2
Precinct 7551 - Election Day	4	11	133	705	199	0	1	50	148	0
Precinct 7551 - Vote By Mail	4	6	183	705	240	0	0	47	193	0
Precinct 7552 - Election Day	4	7	134	718	191	0	0	46	145	0
Precinct 7552 - Vote By Mail	11	4	161	718	232	0	0	56	176	0
Precinct 7553 MB - Vote By Mail	6	1	64	171	87	0	0	16	71	0
Precinct 7554 - Election Day	5	6	128	785	179	0	0	38	141	2
Precinct 7554 - Vote By Mail	24	6	240	785	323	0	0	53	270	0
Precinct 7555 - Election Day	7	6	180	847	242	0	0	48	194	1
Precinct 7555 - Vote By Mail	12	3	225	847	304	0	0	64	240	0
Precinct 7556/7557 - Election Day	19	2	148	961	223	0	0	54	169	0
Precinct 7556/7557 - Vote By Mail	17	8	320	961	422	0	0	77	345	0
Precinct 7601 - Election Day	14	13	69	744	128	0	0	32	96	0
Precinct 7601 - Vote By Mail	13	20	98	744	185	0	0	52	133	2
Precinct 7602 - Election Day	9	7	93	880	147	0	0	38	109	0
Precinct 7602 - Vote By Mail	15	18	168	880	243	0	0	42	201	0
Precinct 7603 - Election Day	7	10	98	826	152	0	1	36	115	0
Precinct 7603 - Vote By Mail	7	11	159	826	215	0	0	38	177	0
Precinct 7604 - Election Day	14	10	74	906	133	0	0	34	99	1
Precinct 7604 - Vote By Mail	17	12	156	906	233	0	1	46	186	1
Precinct 7605 - Election Day	1	9	46	651	77	0	0	21	56	0
Precinct 7605 - Vote By Mail	12	7	94	651	155	0	3	39	113	0
Precinct 7606 - Election Day	10	15	67	895	127	0	0	35	92	0
Precinct 7606 - Vote By Mail	16	24	133	895	212	0	0	37	175	2
Precinct 7607 - Election Day	3	10	80	955	120	0	0	27	93	0
Precinct 7607 - Vote By Mail	20	12	186	955	265	0	0	47	218	0
Precinct 7608 - Election Day	4	7	18	388	46	0	0	17	29	0
Precinct 7608 - Vote By Mail	15	12	72	388	119	0	0	20	99	0
Precinct 7609 - Election Day	4	11	49	916	101	0	0	36	65	1
Precinct 7609 - Vote By Mail	19	21	190	916	297	0	0	67	230	0
Precinct 7611 - Election Day	7	8	34	756	76	0	0	26	50	1
Precinct 7611 - Vote By Mail	11	19	120	756	204	0	0	54	150	0
Precinct 7612 - Election Day	4	3	51	574	76	0	0	18	58	0
Precinct 7612 - Vote By Mail	15	6	133	574	210	0	0	56	154	0
Precinct 7613 - Election Day	6	13	92	887	140	0	0	29	111	0
Precinct 7613 - Vote By Mail	14	15	139	887	215	0	0	47	168	0
Precinct 7614 - Election Day	6	12	71	1,015	123	0	0	34	89	0
Precinct 7614 - Vote By Mail	26	22	157	1,015	238	0	0	32	206	1
Precinct 7615 - Election Day	5	6	50	832	108	0	2	44	62	1
Precinct 7615 - Vote By Mail	9	14	113	832	170	0	0	34	136	0
Precinct 7616 - Election Day	4	3	94	951	129	0	0	27	102	1
Precinct 7616 - Vote By Mail	23	8	244	951	331	0	0	56	275	0
Precinct 7617 - Election Day	5	9	34	751	84	0	0	36	48	0
Precinct 7617 - Vote By Mail	16	23	120	751	223	0	0	63	160	1
Precinct 7618 - Election Day	8	9	74	866	123	0	0	32	91	0
Precinct 7618 - Vote By Mail	18	13	188	866	272	0	0	51	221	2
Precinct 7619 - Election Day	10	6	102	993	154	0	0	36	118	0
Precinct 7619 - Vote By Mail	23	14	224	993	308	0	0	46	262	1
Precinct 7621 - Election Day	14	6	108	1,132	163	0	0	34	129	1
Precinct 7621 - Vote By Mail	27	14	248	1,132	346	0	0	56	290	1
Precinct 7622 - Election Day	8	14	50	964	99	0	1	26	72	0
Precinct 7622 - Vote By Mail	14	20	114	964	193	0	1	44	148	0
Precinct 7623 - Election Day	7	6	79	712	122	0	1	29	92	0
Precinct 7623 - Vote By Mail	9	8	128	712	196	0	0	51	145	0
Precinct 7624 - Election Day	6	9	65	905	104	0	0	24	80	0
Precinct 7624 - Vote By Mail	11	16	142	905	195	0	0	26	169	0
Precinct 7625 - Election Day	3	4	37	821	73	0	0	29	44	0
Precinct 7625 - Vote By Mail	36	15	262	821	415	0	3	99	313	0
Precinct 7626 - Election Day	8	2	86	1,081	128	0	0	32	96	0
Precinct 7626 - Vote By Mail	30	4	255	1,081	361	0	0	72	289	0
Precinct 7627 - Election Day	15	3	75	1,075	116	0	0	22	94	1
Precinct 7627 - Vote By Mail	42	7	198	1,075	319	0	0	72	247	0
Precinct 7628 - Election Day	7	3	106	906	156	0	0	39	117	1
Precinct 7628 - Vote By Mail	11	10	185	906	267	0	0	60	207	1
Precinct 7629 - Election Day	4	3	82	805	108	0	0	19	89	0
Precinct 7629 - Vote By Mail	17	7	139	805	206	0	0	43	163	0
Precinct 7631 - Election Day	6	6	100	1,085	146	0	0	34	112	0
Precinct 7631 - Vote By Mail	29	9	235	1,085	339	0	0	66	273	0
Precinct 7632 - Election Day	9	11	103	965	167	0	0	44	123	0
Precinct 7632 - Vote By Mail	17	13	204	965	286	0	0	50	236	2
Precinct 7633 - Election Day	5	4	62	702	90	0	0	19	71	0
Precinct 7633 - Vote By Mail	18	7	175	702	253	0	0	53	200	0
Precinct 7634 - Election Day	11	13	70	859	120	0	0	26	94	0
Precinct 7634 - Vote By Mail	28	20	191	859	291	0	1	50	240	1
Precinct 7635 - Election Day	7	1	63	782	89	0	0	17	72	1
Precinct 7635 - Vote By Mail	11	12	181	782	242	0	0	37	205	1
Precinct 7636 - Election Day	4	6	101	920	134	0	0	22	112	1
Precinct 7636 - Vote By Mail	23	4	164	920	251	0	0	60	191	0
Precinct 7637 - Election Day	15	3	53	732	89	0	0	18	71	0
Precinct 7637 - Vote By Mail	23	6	171	732	249	0	0	49	200	0
Precinct 7638 - Election Day	15	5	80	1,365	129	0	0	29	100	0
Precinct 7638 - Vote By Mail	79	2	332	1,365	492	0	0	78	414	1
Precinct 7639 - Election Day	14	3	61	962	110	0	0	31	79	1
Precinct 7639 - Vote By Mail	31	4	223	962	319	0	0	61	258	0
Precinct 7641 - Election Day	10	3	70	931	114	0	0	31	83	0
Precinct 7641 - Vote By Mail	47	12	240	931	374	0	0	75	299	0
Precinct 7642 - Election Day	3	3	54	909	84	0	0	24	60	0
Precinct 7642 - Vote By Mail	31	9	128	909	268	0	0	99	169	1
Precinct 7643 - Election Day	5	4	56	871	99	0	0	33	66	1
Precinct 7643 - Vote By Mail	31	7	261	871	355	0	0	56	299	0
Precinct 7644 - Election Day	4	7	106	1,082	156	0	0	39	117	0
Precinct 7644 - Vote By Mail	12	8	211	1,082	291	0	0	59	232	1
Precinct 7645 - Election Day	7	3	36	631	63	0	0	15	48	2
Precinct 7645 - Vote By Mail	29	4	155	631	241	0	0	52	189	1
Precinct 7646 - Election Day	3	4	74	1,035	110	0	0	28	82	1
Precinct 7646 - Vote By Mail	28	6	232	1,035	326	0	0	60	266	0
Precinct 7647 - Election Day	10	12	63	1,027	107	0	0	20	87	2
Precinct 7647 - Vote By Mail	12	17	107	1,027	185	0	0	49	136	0
Precinct 7648 MB - Vote By Mail	0	0	0	2	0	0	0	0	0	0
Precinct 7649 - Election Day	4	9	62	877	97	0	0	21	76	1
Precinct 7649 - Vote By Mail	23	17	149	877	234	0	0	44	190	1
Precinct 7651 - Election Day	3	4	27	555	48	0	0	14	34	0
Precinct 7651 - Vote By Mail	9	2	112	555	155	0	0	32	123	0
Precinct 7652 - Election Day	2	4	48	580	68	0	0	14	54	0
Precinct 7652 - Vote By Mail	10	4	110	580	163	0	0	39	124	0
Precinct 7653 - Election Day	12	6	83	1,092	137	0	0	36	101	0
Precinct 7653 - Vote By Mail	22	10	224	1,092	321	0	0	64	257	1
Precinct 7701 - Election Day	18	8	141	1,012	225	0	0	58	167	0
Precinct 7701 - Vote By Mail	29	16	280	1,012	383	0	0	58	325	0
Precinct 7702 - Election Day	9	5	77	704	117	0	0	26	91	0
Precinct 7702 - Vote By Mail	40	5	208	704	302	0	0	49	253	0
Precinct 7703 MB - Vote By Mail	4	5	35	172	66	0	1	21	44	0
Precinct 7704 - Election Day	22	6	132	977	208	0	0	48	160	0
Precinct 7704 - Vote By Mail	43	13	266	977	396	0	0	73	323	1
Precinct 7705 - Election Day	10	5	84	547	123	0	0	24	99	0
Precinct 7705 - Vote By Mail	23	6	153	547	227	0	0	45	182	0
Precinct 7706 - Election Day	22	6	128	821	189	0	0	33	156	0
Precinct 7706 - Vote By Mail	48	7	222	821	341	0	0	63	278	1
Precinct 7707 - Election Day	13	8	136	839	200	0	0	43	157	0
