Subtotal Area	KONSTANTINOS RODITIS	MARY LOU FINLEY	BETTY T. YEE	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 9516 - Vote By Mail	17	15	183	864	269	0	0	53	216	1
Precinct 9517 - Election Day	8	11	140	768	197	0	0	38	159	0
Precinct 9517 - Vote By Mail	18	8	178	768	235	0	0	31	204	0
Precinct 9518 - Election Day	6	7	134	783	180	0	0	33	147	0
Precinct 9518 - Vote By Mail	16	7	178	783	242	0	1	40	201	0
Precinct 9519 - Election Day	11	4	153	850	217	0	0	48	169	1
Precinct 9519 - Vote By Mail	12	7	233	850	294	0	0	42	252	0
Precinct 9521 - Election Day	8	9	195	893	254	0	0	41	213	1
Precinct 9521 - Vote By Mail	10	5	227	893	290	0	0	48	242	0
Precinct 9701 - Election Day	5	9	110	665	156	0	0	32	124	0
Precinct 9701 - Vote By Mail	16	5	175	665	235	0	0	38	197	1
Precinct 9702 - Election Day	7	3	150	710	194	0	0	33	161	1
Precinct 9702 - Vote By Mail	13	7	162	710	231	0	1	48	182	0
Precinct 9703 - Election Day	19	9	120	931	182	0	0	33	149	1
Precinct 9703 - Vote By Mail	35	15	266	931	373	0	1	56	316	0
Precinct 9704 - Election Day	15	2	151	942	191	0	0	23	168	0
Precinct 9704 - Vote By Mail	24	12	261	942	354	0	0	57	297	0
Precinct 9705 - Election Day	10	8	157	879	208	0	0	33	175	0
Precinct 9705 - Vote By Mail	14	7	247	879	309	0	0	41	268	0
Precinct 9706 MB - Vote By Mail	1	1	26	51	32	0	0	4	28	0
Precinct 9707 - Election Day	14	6	83	799	121	0	0	17	104	1
Precinct 9707 - Vote By Mail	38	6	250	799	355	0	0	60	295	1
Precinct 9708 - Election Day	11	5	143	919	193	0	0	34	159	0
Precinct 9708 - Vote By Mail	20	9	233	919	324	0	0	60	264	2
Precinct 9709 - Election Day	21	7	121	998	196	0	0	46	150	1
Precinct 9709 - Vote By Mail	35	4	255	998	355	0	0	61	294	0
Precinct 9711 - Election Day	18	4	115	625	167	0	0	29	138	1
Precinct 9711 - Vote By Mail	30	7	188	625	254	0	0	29	225	0
Precinct 9712 - Election Day	12	1	93	651	134	0	0	25	109	3
Precinct 9712 - Vote By Mail	37	6	198	651	288	0	0	47	241	0
