Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted
All Precincts	90,334	146,997	481,991	253,583	-56	220	16,088	237,331
All Precincts - Election Day	29,522	54,326	481,991	89,756	-87	66	5,929	83,848
All Precincts - Vote By Mail	60,812	92,671	481,991	163,827	31	154	10,159	153,483
Precinct 1101 - Election Day	48	33	544	83	-1	0	3	81
Precinct 1101 - Vote By Mail	87	103	544	198	1	0	7	190
Precinct 1102 - Election Day	67	110	964	188	1	0	10	177
Precinct 1102 - Vote By Mail	123	194	964	337	-2	1	21	317
Precinct 1103 - Election Day	53	104	914	163	0	1	5	157
Precinct 1103 - Vote By Mail	133	198	914	348	0	0	17	331
Precinct 1104/1105 - Election Day	74	79	953	167	0	0	14	153
Precinct 1104/1105 - Vote By Mail	128	153	953	292	1	1	9	281
Precinct 1106 - Election Day	46	63	740	113	0	0	4	109
Precinct 1106 - Vote By Mail	110	110	740	231	-1	0	12	220
Precinct 1107 - Election Day	34	58	721	101	0	0	9	92
Precinct 1107 - Vote By Mail	102	119	721	240	1	0	18	221
Precinct 1108 - Election Day	68	69	882	156	0	1	18	137
Precinct 1108 - Vote By Mail	146	158	882	328	1	0	23	304
Precinct 1109 - Election Day	44	74	758	124	-3	0	9	118
Precinct 1109 - Vote By Mail	116	128	758	265	3	0	18	244
Precinct 1111 - Election Day	49	70	938	132	-2	0	15	119
Precinct 1111 - Vote By Mail	157	155	938	330	5	0	13	312
Precinct 1112 - Election Day	31	58	702	96	2	0	5	89
Precinct 1112 - Vote By Mail	99	101	702	221	0	0	21	200
Precinct 1113 - Election Day	25	53	701	82	-1	0	5	78
Precinct 1113 - Vote By Mail	117	124	701	272	0	0	31	241
Precinct 1114 - Election Day	63	63	915	139	0	0	13	126
Precinct 1114 - Vote By Mail	125	133	915	280	1	0	21	258
Precinct 1115 - Election Day	32	57	835	97	0	0	8	89
Precinct 1115 - Vote By Mail	125	123	835	279	-1	0	32	248
Precinct 1116 - Election Day	51	75	842	141	-1	0	16	126
Precinct 1116 - Vote By Mail	136	121	842	275	0	0	18	257
Precinct 1117 - Election Day	73	49	827	138	-1	0	17	122
Precinct 1117 - Vote By Mail	137	90	827	240	0	0	13	227
Precinct 1118 - Election Day	59	84	974	158	2	0	13	143
Precinct 1118 - Vote By Mail	155	160	974	335	2	0	18	315
Precinct 1119 - Election Day	38	51	745	97	-1	0	9	89
Precinct 1119 - Vote By Mail	118	145	745	274	-1	0	12	263
Precinct 1121 - Election Day	39	58	653	104	0	0	7	97
Precinct 1121 - Vote By Mail	125	80	653	221	1	0	15	205
Precinct 1122 - Election Day	30	33	607	69	0	0	6	63
Precinct 1122 - Vote By Mail	102	99	607	213	-1	0	13	201
Precinct 1123 - Election Day	63	46	876	118	-1	0	10	109
Precinct 1123 - Vote By Mail	127	121	876	254	-2	0	8	248
Precinct 1124 - Election Day	49	46	773	109	0	1	13	95
Precinct 1124 - Vote By Mail	111	79	773	200	-1	0	11	190
Precinct 1125 - Election Day	34	40	987	80	-2	0	8	74
Precinct 1125 - Vote By Mail	169	141	987	329	-4	0	23	310
Precinct 1126 - Election Day	43	43	900	92	-1	0	7	86
Precinct 1126 - Vote By Mail	153	116	900	292	-1	0	24	269
Precinct 1127 - Election Day	61	68	875	141	-1	1	12	129
Precinct 1127 - Vote By Mail	145	119	875	277	-1	0	14	264
Precinct 1128 - Election Day	49	52	813	104	0	0	3	101
Precinct 1128 - Vote By Mail	155	77	813	246	-1	1	14	232
Precinct 1129 - Election Day	51	57	924	120	0	1	11	108
Precinct 1129 - Vote By Mail	142	117	924	274	2	0	13	259
Precinct 1131 - Election Day	41	39	783	85	0	0	5	80
Precinct 1131 - Vote By Mail	146	116	783	288	0	0	26	262
Precinct 1132 - Election Day	54	48	910	112	0	0	10	102
Precinct 1132 - Vote By Mail	157	146	910	324	-3	0	24	303
Precinct 1133 - Election Day	40	51	826	99	0	0	8	91
Precinct 1133 - Vote By Mail	148	138	826	292	-2	0	8	286
Precinct 1134 - Election Day	48	69	727	126	0	0	9	117
Precinct 1134 - Vote By Mail	96	125	727	241	-1	0	21	221
Precinct 1135 - Election Day	33	34	511	71	-1	0	5	67
Precinct 1135 - Vote By Mail	98	104	511	217	2	0	13	202
Precinct 1136 - Election Day	47	37	807	97	0	0	13	84
Precinct 1136 - Vote By Mail	120	147	807	287	1	1	18	267
Precinct 1141 - Election Day	56	81	998	149	1	0	11	137
Precinct 1141 - Vote By Mail	167	187	998	368	0	0	14	354
Precinct 1142 - Election Day	52	58	822	120	0	0	10	110
Precinct 1142 - Vote By Mail	107	146	822	266	0	1	12	253
Precinct 1143 - Election Day	50	92	989	147	1	0	4	142
Precinct 1143 - Vote By Mail	135	153	989	311	2	0	21	288
Precinct 1144 - Election Day	59	82	870	148	-2	0	9	141
Precinct 1144 - Vote By Mail	118	130	870	264	-1	0	17	248
Precinct 1145 - Election Day	44	75	879	136	1	0	16	119
Precinct 1145 - Vote By Mail	157	194	879	370	-2	0	21	351
Precinct 1146 - Election Day	42	76	971	124	0	0	6	118
Precinct 1146 - Vote By Mail	172	137	971	326	-1	1	17	309
Precinct 1147 - Election Day	49	99	853	166	2	0	16	148
Precinct 1147 - Vote By Mail	130	132	853	279	1	0	16	262
Precinct 1148 - Election Day	51	60	918	121	0	0	10	111
Precinct 1148 - Vote By Mail	161	137	918	314	0	0	16	298
Precinct 1149 - Election Day	60	83	873	148	-2	0	7	143
Precinct 1149 - Vote By Mail	136	133	873	285	1	0	15	269
Precinct 1152 - Election Day	49	71	838	125	-2	0	7	120
Precinct 1152 - Vote By Mail	145	123	838	286	0	0	18	268
Precinct 1153 - Election Day	67	65	909	139	0	0	7	132
Precinct 1153 - Vote By Mail	125	164	909	306	2	0	15	289
Precinct 7001 - Election Day	19	96	735	119	-1	0	5	115
Precinct 7001 - Vote By Mail	77	172	735	266	2	0	15	249
Precinct 7002 - Election Day	48	79	641	132	0	0	5	127
Precinct 7002 - Vote By Mail	48	117	641	173	1	0	7	165
Precinct 7003 - Election Day	49	132	864	188	0	0	7	181
Precinct 7003 - Vote By Mail	93	231	864	340	0	0	16	324
Precinct 7004 - Election Day	34	127	835	175	0	0	14	161
Precinct 7004 - Vote By Mail	72	225	835	306	-1	2	8	297
Precinct 7005 - Election Day	34	133	812	180	1	0	12	167
Precinct 7005 - Vote By Mail	76	206	812	295	1	0	12	282
Precinct 7006 - Election Day	51	151	884	213	1	0	10	202
Precinct 7006 - Vote By Mail	84	193	884	290	-2	0	15	277
Precinct 7007 - Election Day	78	146	916	233	-2	0	11	224
Precinct 7007 - Vote By Mail	82	227	916	323	-1	0	15	309
Precinct 7008 - Election Day	50	122	861	187	0	1	14	172
Precinct 7008 - Vote By Mail	103	222	861	345	1	0	19	325
Precinct 7009 - Election Day	34	84	864	133	-1	0	16	118
Precinct 7009 - Vote By Mail	107	191	864	312	-1	0	15	298
Precinct 7011 - Election Day	45	83	976	141	0	0	13	128
Precinct 7011 - Vote By Mail	72	121	976	205	0	1	11	193
Precinct 7012 - Election Day	72	142	1,061	224	0	1	9	214
Precinct 7012 - Vote By Mail	112	244	1,061	383	1	0	26	356
Precinct 7013 - Election Day	31	95	805	132	0	0	6	126
Precinct 7013 - Vote By Mail	69	177	805	251	-2	0	7	246
Precinct 7014 - Election Day	54	131	1,213	188	-3	0	6	185
Precinct 7014 - Vote By Mail	117	301	1,213	434	-1	0	17	418
Precinct 7015 MB - Vote By Mail	7	25	93	34	1	0	1	32
Precinct 7016 - Election Day	53	45	891	112	0	0	14	98
Precinct 7016 - Vote By Mail	116	90	891	221	-1	0	16	206
Precinct 7017 - Election Day	45	15	734	79	0	1	18	60
Precinct 7017 - Vote By Mail	77	74	734	167	-1	1	16	151
Precinct 7018 - Election Day	34	47	908	88	-2	0	9	81
Precinct 7018 - Vote By Mail	167	149	908	343	2	0	25	316
Precinct 7019 - Election Day	58	42	864	111	2	0	9	100
Precinct 7019 - Vote By Mail	166	159	864	349	-1	0	25	325
Precinct 7021 - Election Day	56	59	927	129	1	0	13	115
Precinct 7021 - Vote By Mail	107	94	927	220	-3	0	22	201
Precinct 7022 - Election Day	63	84	923	164	0	1	16	147
Precinct 7022 - Vote By Mail	125	116	923	270	3	0	26	241
Precinct 7023 - Election Day	68	47	906	131	1	0	15	115
Precinct 7023 - Vote By Mail	157	121	906	301	-4	1	26	278
Precinct 7024 - Election Day	15	8	386	30	0	0	7	23
Precinct 7024 - Vote By Mail	29	17	386	47	0	0	1	46
Precinct 7025 - Election Day	35	24	448	66	2	0	5	59
Precinct 7025 - Vote By Mail	35	39	448	78	1	0	3	74
Precinct 7026 - Election Day	38	39	971	90	0	0	13	77
Precinct 7026 - Vote By Mail	173	143	971	350	4	0	30	316
Precinct 7027 - Election Day	68	46	845	136	-1	0	23	114
Precinct 7027 - Vote By Mail	124	123	845	271	2	0	22	247
Precinct 7028 - Election Day	75	72	835	157	0	0	10	147
Precinct 7028 - Vote By Mail	87	77	835	180	-2	0	18	164
Precinct 7029 - Election Day	57	44	855	115	0	0	14	101
Precinct 7029 - Vote By Mail	84	71	855	166	1	0	10	155
Precinct 7030 - Election Day	45	48	729	94	-2	0	3	93
Precinct 7030 - Vote By Mail	134	124	729	277	3	0	16	258
Precinct 7031 - Election Day	23	20	611	50	0	0	7	43
Precinct 7031 - Vote By Mail	117	80	611	224	3	1	23	197
Precinct 7032 - Election Day	52	52	867	126	-1	1	22	104
Precinct 7032 - Vote By Mail	135	82	867	238	1	0	20	217
Precinct 7033 - Election Day	55	61	765	135	0	0	19	116
Precinct 7033 - Vote By Mail	98	67	765	181	-1	0	17	165
Precinct 7034 - Election Day	56	34	914	97	0	0	7	90
Precinct 7034 - Vote By Mail	91	47	914	154	1	0	15	138
Precinct 7035 - Election Day	41	29	553	73	0	0	3	70
Precinct 7035 - Vote By Mail	69	89	553	170	0	0	12	158
Precinct 7036 - Election Day	30	20	898	52	0	1	1	50
Precinct 7036 - Vote By Mail	148	98	898	265	0	0	19	246
Precinct 7037 - Election Day	37	25	730	73	-1	0	12	62
Precinct 7037 - Vote By Mail	33	26	730	64	3	0	2	59
Precinct 7038 - Election Day	33	41	880	84	0	0	10	74
Precinct 7038 - Vote By Mail	145	89	880	255	-1	0	22	234
Precinct 7039 - Election Day	51	54	768	111	-1	0	7	105
Precinct 7039 - Vote By Mail	107	97	768	225	1	0	20	204
Precinct 7041 MB - Vote By Mail	14	10	60	24	0	0	0	24
Precinct 7042 - Election Day	34	36	632	75	0	0	5	70
Precinct 7042 - Vote By Mail	78	89	632	191	2	0	22	167
Precinct 7043 - Election Day	44	36	915	97	1	1	15	80
Precinct 7043 - Vote By Mail	143	113	915	282	2	0	24	256
Precinct 7044 - Election Day	51	23	805	86	-1	0	13	74
Precinct 7044 - Vote By Mail	64	50	805	125	-1	0	12	114
Precinct 7045 - Election Day	43	37	763	87	-1	0	8	80
Precinct 7045 - Vote By Mail	144	118	763	282	1	1	18	262
Precinct 7046 - Election Day	25	25	385	54	0	0	4	50
Precinct 7046 - Vote By Mail	66	59	385	136	0	0	11	125
Precinct 7047 - Election Day	30	37	781	68	-1	0	2	67
Precinct 7047 - Vote By Mail	148	133	781	298	1	3	13	281
Precinct 7048 - Election Day	50	35	815	94	0	0	9	85
Precinct 7048 - Vote By Mail	137	87	815	248	-1	0	25	224
Precinct 7049 - Election Day	56	40	751	108	0	0	12	96
Precinct 7049 - Vote By Mail	124	90	751	241	0	0	27	214
Precinct 7051 - Election Day	33	27	839	70	-2	0	12	60
Precinct 7051 - Vote By Mail	157	119	839	302	2	0	24	276
Precinct 7052 - Election Day	60	51	806	120	-1	0	10	111
Precinct 7052 - Vote By Mail	134	129	806	278	2	0	13	263
