Subtotal Area	GERALD PLUMMER	TOM PALZER	JOHN THOMPSON PARKER	DOUGLAS HOWARD PIERCE	HERBERT G. PETERS	JAMES P BRADLEY	ARUN K. BHUMITRA	JERRY JOSEPH LAWS	PATRICK LITTLE	TIM GILDERSLEEVE	MICHAEL FAHMY GIRGIS	DON J. GRUNDMANN	RASH BIHARI GHOSH	LING LING SHI	JOHN "JACK" CREW	ERIN CRUZ	DERRICK MICHAEL REID	DIANNE FEINSTEIN	COLLEEN SHEA FERNALD	ADRIENNE NICOLE EDWARDS	PAUL A TAYLOR	DONNIE O. TURNER	PAT HARRIS	ALISON HARTSON	JASON M. HANANIA	DAVID HILDEBRAND	LEE OLSON	ROQUE "ROCKY" DE LA FUENTE	KEVIN DE LEON	KEVIN MOTTUS	DAVID MOORE	MARIO NABLIBA	SEELAM PRABHAKAR REDDY	MICHAEL V. ZIESING	URSULA M. SCHILLING	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7503 - None	2	1	0	0	0	6	2	0	0	0	0	0	0	1	0	1	5	151	1	1	2	0	1	0	0	0	1	3	37	0	0	0	0	0	0	727	226	2	2	7	215	0
Precinct 7504 - None	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	2	50	0	0	1	2	2	1	0	0	0	0	8	0	2	0	0	0	0	484	76	0	0	5	71	0
Precinct 7504 - None	0	0	1	1	1	2	3	0	0	0	0	0	0	3	1	1	4	93	1	1	1	0	1	2	0	0	0	0	22	0	0	0	0	0	0	484	158	1	1	18	138	0
Precinct 7505 - None	0	0	1	0	0	2	3	0	0	1	0	1	1	1	0	0	0	89	0	0	0	0	1	4	0	1	0	2	12	1	0	0	0	0	0	871	131	0	2	9	120	0
Precinct 7505 - None	1	1	2	0	3	7	8	2	1	0	0	0	0	2	0	3	3	289	2	3	2	0	3	4	2	2	0	3	39	4	2	0	0	0	0	871	417	1	3	25	388	0
Precinct 7506 - None	1	1	0	0	2	0	1	0	3	0	0	0	0	0	0	0	1	66	0	4	0	5	4	3	1	1	0	1	29	0	0	0	0	0	0	920	133	1	0	9	123	0
Precinct 7506 - None	0	1	4	0	1	1	7	0	0	0	0	1	1	2	1	1	4	154	2	2	6	0	3	4	1	2	3	2	30	1	1	0	0	0	0	920	252	2	1	14	235	0
Precinct 7507 - None	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	3	96	1	0	1	0	6	3	0	0	1	2	23	0	0	0	0	0	0	919	158	-1	2	14	143	2
Precinct 7507 - None	1	1	1	1	0	1	4	1	0	0	0	1	0	3	1	0	0	152	0	2	1	2	1	2	0	0	1	1	50	3	1	3	0	0	0	919	255	4	0	17	234	0
Precinct 7508 - None	0	0	2	0	0	6	0	0	0	0	0	0	1	1	0	0	1	53	0	1	2	1	4	0	0	0	0	1	20	0	0	1	0	0	0	702	106	0	1	11	94	0
Precinct 7508 - None	0	1	0	0	2	5	2	6	0	0	0	0	0	2	0	4	1	220	2	0	2	1	4	1	0	0	2	2	60	1	0	0	0	0	0	702	340	0	3	19	318	0
Precinct 7509/7511 - None	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	104	1	4	4	1	3	1	0	0	0	1	40	0	0	1	0	0	0	909	171	-2	0	6	167	1
Precinct 7509/7511 - None	0	2	1	0	0	0	3	0	1	0	0	1	1	1	0	1	4	201	0	3	2	1	4	3	0	3	0	1	63	2	1	4	0	0	0	909	319	0	2	14	303	0
Precinct 7512 - None	0	0	1	1	0	3	1	0	0	0	0	0	1	2	0	1	0	45	0	1	3	0	5	1	0	3	0	1	15	0	0	1	0	0	0	604	96	2	0	8	86	1
Precinct 7512 - None	1	0	1	1	0	3	11	2	3	0	0	0	0	0	0	8	1	98	1	0	4	0	3	2	0	2	0	0	32	1	3	1	0	0	0	604	196	2	4	12	178	0
Precinct 7513 - None	0	0	0	3	1	0	2	0	0	0	1	0	0	0	0	0	2	80	0	0	1	0	4	5	0	1	0	1	21	1	0	0	0	0	0	790	142	0	3	16	123	0
Precinct 7513 - None	0	3	0	2	1	7	2	0	2	0	0	1	0	3	0	1	0	113	1	4	5	1	5	4	1	0	2	1	24	2	1	0	0	0	0	790	208	0	3	19	186	0
Precinct 7514 - None	0	0	1	1	0	0	2	0	1	1	0	0	0	0	2	0	2	48	1	2	1	1	6	2	0	1	0	0	4	1	0	1	0	0	0	863	95	-2	2	16	79	1
Precinct 7514 - None	1	0	3	1	1	6	2	1	2	0	0	0	0	1	2	2	3	130	3	5	1	0	5	3	1	0	3	3	18	1	3	0	0	0	0	863	235	2	1	31	201	0
Precinct 7515 - None	0	2	2	1	1	1	0	0	0	0	0	0	0	1	0	0	1	87	0	3	0	0	6	3	0	0	2	1	18	0	0	0	0	0	0	845	150	0	1	20	129	0
Precinct 7515 - None	1	2	1	0	0	2	1	1	1	0	0	0	1	3	1	4	4	175	0	4	0	0	3	3	0	0	0	3	43	0	3	1	0	0	0	845	289	3	1	26	259	2
Precinct 7516 - None	1	0	1	0	0	1	0	0	2	0	0	0	1	1	3	0	3	86	0	1	1	0	6	4	0	0	0	0	18	1	0	2	0	0	0	886	145	0	1	12	132	0
Precinct 7516 - None	0	1	1	0	3	6	2	1	2	0	0	1	0	1	2	3	10	236	0	1	3	3	4	8	2	1	2	1	54	0	1	2	0	0	0	886	378	0	2	23	353	2
Precinct 7517 - None	1	0	4	0	0	0	1	0	0	0	0	0	1	0	0	0	2	133	1	1	1	1	0	6	1	2	0	0	63	0	0	0	0	0	0	863	228	-1	1	10	218	0
Precinct 7517 - None	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	160	0	1	1	0	5	0	0	1	0	0	70	1	0	0	0	0	0	863	251	0	0	10	241	0
Precinct 7518 - None	0	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0	3	133	0	1	0	0	3	3	0	1	0	0	77	0	0	0	0	0	0	939	235	0	0	9	226	0
Precinct 7518 - None	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	1	2	173	0	2	1	0	3	5	0	0	1	0	88	0	1	1	0	0	0	939	298	0	3	11	284	1
Precinct 7519 - None	0	0	0	0	0	1	1	0	1	0	0	2	1	0	0	0	1	89	0	3	2	1	4	1	1	1	1	1	60	0	0	0	0	0	0	726	179	0	0	8	171	0
Precinct 7519 - None	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	2	102	0	1	1	0	5	4	0	0	1	0	54	0	0	0	0	0	0	726	185	1	0	9	175	0
Precinct 7521 - None	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	1	117	0	2	0	0	2	4	0	1	0	2	58	3	0	0	0	0	0	802	211	0	0	16	195	0
Precinct 7521 - None	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	125	1	0	0	0	3	3	0	0	0	0	69	0	0	0	0	0	0	802	215	-1	0	11	205	0
Precinct 7522 - None	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	2	95	0	3	1	0	1	7	0	0	0	0	55	0	0	0	0	0	0	743	175	-1	0	7	169	0
Precinct 7522 - None	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	144	0	0	0	0	3	5	0	1	1	0	74	0	0	0	0	0	0	743	240	-2	0	10	232	0
Precinct 7523 - None	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	3	92	0	5	1	4	4	5	0	1	0	0	79	0	0	1	0	0	0	737	208	0	0	10	198	0
Precinct 7523 - None	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	132	0	1	2	1	6	3	0	0	0	0	62	0	0	1	0	0	0	737	223	-2	0	12	213	1
Precinct 7524 - None	2	0	4	0	0	1	0	0	0	0	0	0	0	0	0	1	1	82	0	0	0	0	2	3	1	3	0	0	27	0	0	0	0	0	0	646	143	2	1	13	127	0
Precinct 7524 - None	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	103	1	1	1	0	3	3	0	1	0	0	38	0	1	0	0	0	0	646	165	1	0	7	157	0
Precinct 7525 - None	0	0	2	3	0	0	1	0	0	0	0	0	0	0	0	0	2	81	0	1	0	0	3	2	1	0	0	0	32	1	0	0	0	0	0	779	145	-3	0	18	130	1
Precinct 7525 - None	1	0	1	0	0	1	0	1	0	0	0	0	1	0	1	2	1	132	0	2	2	0	2	3	2	0	0	0	47	0	1	0	0	0	0	779	214	4	3	7	200	0
Precinct 7526 - None	0	0	2	0	1	1	0	0	1	0	0	0	0	0	0	0	2	123	0	0	2	0	4	0	1	0	0	0	49	0	1	1	0	0	0	947	197	1	1	6	189	1
Precinct 7526 - None	0	0	2	2	0	2	1	1	2	0	0	1	0	0	0	2	6	177	0	3	3	0	2	6	0	1	0	0	87	0	0	1	0	0	0	947	313	2	1	11	299	0
Precinct 7527/7528 - None	0	1	0	0	1	0	2	0	0	1	1	0	0	1	0	0	2	77	0	2	4	1	2	2	2	3	0	1	45	1	1	0	0	0	0	729	162	0	1	11	150	0
Precinct 7527/7528 - None	0	0	3	0	0	2	1	3	0	0	0	1	1	1	2	1	0	129	0	2	3	0	2	2	0	1	0	0	58	1	0	0	0	0	0	729	237	4	3	17	213	0
Precinct 7529 - None	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	105	0	2	0	2	2	4	1	2	0	2	81	0	0	1	0	0	0	925	214	-1	0	9	206	0
Precinct 7529 - None	0	0	1	3	0	4	0	0	0	1	0	0	0	0	1	1	1	149	1	2	1	1	3	2	0	1	0	0	112	0	0	0	0	0	0	925	300	2	0	14	284	0
Precinct 7531 - None	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	3	96	0	2	0	0	1	2	1	0	0	0	56	0	0	0	0	0	0	847	179	0	0	13	166	0
Precinct 7531 - None	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	143	0	1	3	0	0	7	0	1	0	1	96	0	1	1	0	0	0	847	263	0	0	5	258	0
Precinct 7532 - None	0	0	1	0	0	3	4	0	1	0	0	0	0	0	0	0	0	97	1	0	0	2	2	4	0	2	0	0	43	1	1	0	0	0	0	823	172	1	1	8	162	0
Precinct 7532 - None	1	0	0	1	0	3	0	1	1	0	0	0	0	0	0	0	2	132	0	0	2	2	5	4	2	2	0	0	52	3	1	1	0	0	0	823	226	0	0	11	215	0
Precinct 7533 - None	0	0	4	0	0	1	1	0	0	0	0	0	0	0	0	3	4	131	0	5	1	1	4	2	1	1	0	3	93	0	0	1	0	0	0	951	268	-1	1	10	258	2
Precinct 7533 - None	0	1	3	0	0	1	2	0	1	0	0	0	1	0	0	2	6	142	0	2	2	0	4	7	1	1	0	1	103	0	0	0	0	0	0	951	297	0	1	16	280	0
Precinct 7534 - None	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	2	126	0	2	0	0	3	7	0	1	0	1	79	0	2	0	0	0	0	883	241	0	0	14	227	0
Precinct 7534 - None	0	0	4	0	0	2	1	0	0	0	0	0	0	0	0	2	3	133	1	1	0	0	4	7	1	1	0	0	69	2	0	1	0	0	0	883	240	-1	1	8	232	0
Precinct 7535 - None	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	5	109	1	2	1	1	2	4	0	0	0	1	59	0	0	2	0	0	0	743	201	0	0	9	192	0
Precinct 7535 - None	0	0	2	0	0	0	0	1	0	0	0	0	1	1	2	2	2	144	0	2	0	0	0	5	0	1	1	2	73	1	0	1	0	0	0	743	251	0	1	9	241	0
Precinct 7536 - None	0	0	3	1	1	1	1	0	0	0	0	0	1	1	0	0	2	99	0	1	0	1	1	2	0	1	1	0	75	0	0	1	0	0	0	856	206	-1	0	14	193	0
Precinct 7536 - None	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	3	166	0	2	1	0	1	7	1	0	0	1	82	0	0	1	0	0	0	856	279	0	2	9	268	0
Precinct 7537 - None	0	0	0	1	0	1	0	0	1	0	0	0	2	0	1	0	2	97	1	2	2	0	6	0	0	1	0	1	61	0	1	0	0	0	0	734	187	0	0	7	180	0
Precinct 7537 - None	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	119	1	0	1	0	1	4	3	2	0	0	78	1	0	1	0	0	0	734	225	1	0	8	216	0
Precinct 7538 - None	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	2	111	0	1	0	0	1	2	0	0	1	0	84	0	1	0	0	0	0	757	223	0	1	14	208	0
Precinct 7538 - None	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	152	1	1	2	0	9	5	0	0	0	1	69	0	0	0	0	0	0	757	256	0	0	11	245	0
Precinct 7539 - None	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	3	116	0	7	1	0	2	1	1	2	1	1	95	2	0	0	0	0	0	884	250	1	1	13	235	0
