Subtotal Area	GERALD PLUMMER	TOM PALZER	JOHN THOMPSON PARKER	DOUGLAS HOWARD PIERCE	HERBERT G. PETERS	JAMES P BRADLEY	ARUN K. BHUMITRA	JERRY JOSEPH LAWS	PATRICK LITTLE	TIM GILDERSLEEVE	MICHAEL FAHMY GIRGIS	DON J. GRUNDMANN	RASH BIHARI GHOSH	LING LING SHI	JOHN "JACK" CREW	ERIN CRUZ	DERRICK MICHAEL REID	DIANNE FEINSTEIN	COLLEEN SHEA FERNALD	ADRIENNE NICOLE EDWARDS	PAUL A TAYLOR	DONNIE O. TURNER	PAT HARRIS	ALISON HARTSON	JASON M. HANANIA	DAVID HILDEBRAND	LEE OLSON	ROQUE "ROCKY" DE LA FUENTE	KEVIN DE LEON	KEVIN MOTTUS	DAVID MOORE	MARIO NABLIBA	SEELAM PRABHAKAR REDDY	MICHAEL V. ZIESING	URSULA M. SCHILLING	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7603 - None	0	0	1	1	0	1	0	0	2	0	0	0	0	0	0	0	1	77	0	2	0	0	3	12	0	2	1	2	41	0	0	0	0	0	0	826	152	1	1	4	146	0
Precinct 7603 - None	1	0	5	0	0	1	1	0	1	0	0	0	0	1	2	1	1	120	1	1	0	1	4	7	0	1	1	1	54	0	1	3	0	0	0	826	215	0	1	5	209	0
Precinct 7604 - None	0	1	2	1	1	5	1	0	1	0	0	1	0	0	1	1	1	69	3	1	2	0	4	2	0	0	0	0	23	0	2	1	0	0	0	906	133	0	1	8	124	1
Precinct 7604 - None	1	0	4	2	0	0	2	0	0	0	0	0	1	0	0	4	2	130	0	4	7	0	2	5	0	1	3	1	50	2	1	1	0	0	0	906	233	-2	2	9	224	1
Precinct 7605 - None	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	42	0	3	1	0	2	1	0	0	2	1	16	0	0	1	0	0	0	651	77	0	0	4	73	0
Precinct 7605 - None	0	0	1	0	1	1	1	2	0	0	0	0	0	0	0	1	1	94	0	2	1	1	1	2	0	0	0	2	25	1	1	1	0	0	0	651	155	3	3	10	139	0
Precinct 7606 - None	0	0	1	0	0	3	1	0	2	0	1	0	0	0	1	0	3	55	2	2	8	1	2	1	1	2	1	1	26	0	2	0	0	0	0	895	127	1	1	9	116	0
Precinct 7606 - None	0	1	4	1	0	5	2	1	0	0	0	0	1	2	1	1	3	104	0	4	2	1	1	3	1	0	2	1	56	0	2	0	0	0	0	895	212	1	2	9	200	1
Precinct 7607 - None	1	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	1	66	1	2	1	1	2	3	0	2	2	0	19	1	0	1	0	0	0	955	120	0	0	12	108	0
Precinct 7607 - None	0	2	4	1	0	0	1	0	4	0	1	0	0	2	2	3	3	137	2	2	2	1	8	5	0	1	3	1	62	1	2	3	0	0	0	955	265	-4	1	14	254	1
Precinct 7608 - None	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	2	2	28	0	0	1	0	1	0	0	0	0	0	4	0	0	0	0	0	0	388	46	1	0	3	42	0
Precinct 7608 - None	0	1	0	1	0	0	0	0	4	1	0	0	0	3	1	1	5	67	1	3	2	0	3	2	1	0	1	1	7	0	0	1	0	0	0	388	119	-2	0	15	106	0
Precinct 7609 - None	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	49	0	3	2	1	8	1	0	0	0	0	13	0	0	0	0	0	0	916	101	0	2	17	82	0
Precinct 7609 - None	0	0	4	5	0	3	3	2	1	0	0	1	2	7	0	2	1	170	0	7	2	0	6	4	1	3	5	0	17	1	2	3	0	0	0	916	297	2	4	37	254	2
Precinct 7611 - None	0	0	3	3	0	0	2	0	0	0	0	1	0	0	1	3	0	38	2	1	0	0	1	1	0	1	0	0	8	0	0	0	0	0	0	756	76	0	0	10	66	1
Precinct 7611 - None	0	0	1	0	1	0	4	1	2	0	0	1	1	3	0	0	1	119	3	1	0	0	2	4	2	2	2	3	20	1	1	0	0	0	0	756	204	2	1	26	175	0
Precinct 7612 - None	0	0	0	1	0	0	0	1	0	0	0	0	1	2	1	2	0	43	0	0	0	0	2	1	0	1	0	0	12	0	0	0	0	0	0	574	76	0	2	7	67	0
Precinct 7612 - None	0	0	2	1	0	4	5	0	2	0	0	1	0	0	1	1	0	122	0	1	1	0	4	1	0	1	1	1	39	5	0	0	0	0	0	574	210	-1	5	13	193	0
Precinct 7613 - None	0	0	3	0	0	0	1	1	0	1	0	0	1	1	0	1	1	73	1	6	1	1	8	1	0	1	1	0	23	1	3	1	0	0	0	887	140	0	0	9	131	0
Precinct 7613 - None	0	2	3	2	0	3	0	0	3	0	0	2	0	1	1	0	0	117	1	2	6	1	9	7	2	0	0	1	30	0	0	0	0	0	0	887	215	2	2	18	193	0
Precinct 7614 - None	1	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	2	66	1	0	1	0	5	2	1	3	0	1	23	0	0	0	0	0	0	1,015	123	-2	0	14	111	0
Precinct 7614 - None	0	0	5	1	1	7	2	2	3	0	0	0	1	2	1	0	2	138	1	1	5	0	7	4	0	1	1	0	32	1	1	0	0	0	0	1,015	238	0	3	14	221	2
Precinct 7615 - None	0	1	2	1	2	0	1	0	0	0	0	0	1	0	0	4	6	39	2	3	2	0	4	0	1	3	1	2	16	1	0	3	0	0	0	832	108	0	3	10	95	0
Precinct 7615 - None	0	0	2	0	0	3	1	2	0	0	1	0	0	2	0	2	4	86	3	1	6	1	4	2	1	2	4	0	25	0	2	1	0	0	0	832	170	0	0	15	155	0
Precinct 7616 - None	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	1	0	81	0	0	0	0	6	2	0	0	1	0	29	0	1	0	0	0	0	951	129	-1	0	4	126	1
Precinct 7616 - None	0	0	0	1	0	4	1	1	0	0	0	0	0	1	0	2	4	186	0	2	0	0	7	8	0	0	0	2	93	0	2	1	0	0	0	951	331	2	0	13	316	1
Precinct 7617 - None	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	49	3	2	1	1	4	1	0	0	1	1	7	1	1	0	0	0	0	751	84	-1	1	10	74	0
Precinct 7617 - None	1	1	1	1	0	2	1	1	2	0	0	0	0	4	0	2	3	126	3	0	4	2	6	2	1	0	3	2	22	3	2	1	0	0	0	751	223	2	1	23	197	1
Precinct 7618 - None	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	1	1	52	0	1	1	1	6	1	1	0	0	1	39	0	0	0	0	0	0	866	123	1	1	8	113	1
Precinct 7618 - None	0	0	2	0	0	2	1	0	1	0	0	0	1	2	0	1	5	158	1	3	3	0	3	6	0	0	0	1	61	3	0	3	0	0	0	866	272	-3	1	16	258	1
Precinct 7619 - None	0	0	4	1	0	3	0	0	0	0	0	1	0	0	0	0	3	62	0	1	1	0	3	5	0	0	0	3	51	0	1	0	0	0	0	993	154	-1	0	15	140	1
Precinct 7619 - None	1	0	2	0	0	3	2	2	0	0	0	0	0	3	0	0	1	163	3	3	6	0	5	7	4	2	2	1	85	0	0	3	0	0	0	993	308	-1	0	11	298	0
Precinct 7621 - None	0	1	1	1	1	1	0	0	5	0	0	0	0	0	0	2	0	84	0	1	1	1	4	5	1	0	1	2	40	1	1	0	0	0	0	1,132	163	-1	0	9	155	1
Precinct 7621 - None	0	0	4	1	1	8	1	3	6	1	0	0	0	3	0	2	4	174	3	1	6	2	3	10	1	0	1	5	86	2	1	0	0	0	0	1,132	346	3	3	11	329	0
Precinct 7622 - None	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	1	48	1	2	2	0	3	3	0	0	0	0	19	1	2	0	0	0	0	964	99	2	0	9	88	0
Precinct 7622 - None	0	0	0	1	0	4	0	2	1	1	0	0	0	1	0	6	1	102	1	1	5	1	3	6	1	1	1	1	30	0	0	0	0	0	0	964	193	1	4	17	171	1
Precinct 7623 - None	0	0	10	0	0	1	1	0	1	0	0	0	1	2	0	2	3	57	0	0	2	8	1	4	0	1	0	0	33	0	0	0	0	0	0	712	122	-15	2	7	128	1
Precinct 7623 - None	1	0	1	1	0	1	2	0	1	1	0	1	0	1	0	0	3	106	0	1	3	2	4	3	1	1	1	1	37	0	3	0	0	0	0	712	196	2	3	15	176	0
Precinct 7624 - None	1	0	3	0	0	2	0	0	0	0	0	0	0	0	1	1	0	61	0	2	2	0	5	2	0	0	0	1	16	0	1	0	0	0	0	905	104	1	0	5	98	0
Precinct 7624 - None	0	1	2	1	1	3	0	0	0	0	0	0	0	0	1	3	2	114	1	3	4	2	7	0	0	1	0	2	29	1	0	1	0	0	0	905	195	1	1	14	179	0
Precinct 7625 - None	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	42	2	0	3	0	3	0	0	0	0	1	5	0	0	0	0	0	0	821	73	0	0	14	59	0
Precinct 7625 - None	1	0	3	3	0	3	2	0	2	0	0	1	0	6	4	4	1	249	2	0	7	2	14	2	3	2	1	5	26	3	2	5	0	0	0	821	415	0	9	53	353	0
Precinct 7626 - None	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	1	84	0	1	0	0	2	1	0	0	1	0	26	0	0	0	0	0	0	1,081	128	1	1	5	121	0
Precinct 7626 - None	0	0	1	2	0	7	2	0	0	1	2	1	0	0	0	4	2	226	1	3	8	0	1	5	5	0	0	2	63	1	0	3	0	0	0	1,081	361	1	3	17	340	0
Precinct 7627 - None	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	3	2	70	0	0	3	0	0	2	1	0	0	1	23	1	0	0	0	0	0	1,075	116	-1	1	5	111	0
Precinct 7627 - None	0	1	0	0	0	10	2	0	1	0	0	0	0	0	0	4	7	207	0	3	9	0	3	5	0	2	1	2	48	0	0	2	0	0	0	1,075	319	0	1	11	307	0
Precinct 7628 - None	0	1	0	0	2	1	1	0	0	0	0	0	1	0	1	2	0	81	0	1	0	0	6	2	0	0	0	1	40	0	1	0	0	0	0	906	156	0	2	13	141	0
Precinct 7628 - None	0	0	2	2	0	2	0	1	1	0	0	0	0	0	1	3	0	143	0	2	5	1	9	4	0	3	0	0	68	0	2	1	0	0	0	906	267	0	2	14	251	1
Precinct 7629 - None	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	55	0	1	1	0	2	1	0	2	1	0	34	0	1	0	0	0	0	805	108	-1	0	8	101	0
Precinct 7629 - None	1	0	3	0	0	4	1	0	1	0	0	0	0	0	0	0	3	118	0	0	1	0	2	4	0	0	2	0	45	2	0	0	0	0	0	805	206	2	2	14	188	1
Precinct 7631 - None	0	0	0	0	1	2	1	1	1	0	0	0	0	0	1	1	5	74	0	1	0	2	5	2	1	0	1	0	34	1	0	0	0	0	0	1,085	146	-1	1	12	134	0
Precinct 7631 - None	1	0	0	1	0	8	5	0	0	0	0	0	3	3	1	3	6	187	1	3	5	0	7	10	0	0	0	3	70	0	0	0	0	0	0	1,085	339	2	1	19	317	0
Precinct 7632 - None	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	2	93	1	2	1	0	2	7	2	0	0	0	40	2	1	1	0	0	0	965	167	1	0	7	159	0
Precinct 7632 - None	0	0	2	0	0	6	0	0	0	0	0	0	1	0	0	2	5	147	1	0	2	2	1	10	0	0	3	1	90	0	2	0	0	0	0	965	286	0	1	10	275	0
Precinct 7633 - None	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	52	0	2	0	1	0	1	1	0	0	3	18	0	2	0	0	0	0	702	90	0	0	5	85	0
Precinct 7633 - None	0	0	0	1	0	0	2	0	2	0	0	1	0	5	0	2	4	156	0	0	4	0	4	7	1	0	1	0	40	0	0	2	0	0	0	702	253	0	2	19	232	0
Precinct 7634 - None	0	0	1	0	0	4	0	1	0	0	0	0	0	0	0	0	1	62	2	1	4	0	4	2	0	0	1	2	15	0	1	0	0	0	0	859	120	1	3	14	102	1
Precinct 7634 - None	0	3	2	0	1	3	3	2	1	0	0	0	0	3	2	2	3	191	1	2	2	0	3	4	3	0	1	2	34	1	3	1	0	0	0	859	291	2	5	11	273	0
Precinct 7635 - None	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	47	0	1	1	0	6	0	0	1	1	2	20	0	0	0	0	0	0	782	89	0	0	4	85	1
Precinct 7635 - None	1	0	3	0	1	2	0	0	3	0	0	1	0	1	0	1	4	125	1	4	2	1	4	12	3	0	0	0	54	1	0	0	0	0	0	782	242	3	1	13	225	1
Precinct 7636 - None	0	0	2	0	1	1	1	0	1	0	0	0	0	0	0	0	2	92	0	3	0	1	0	2	1	1	0	1	14	0	0	0	0	0	0	920	134	-1	0	12	123	0
Precinct 7636 - None	0	1	1	1	0	3	0	0	1	0	0	0	0	0	0	6	5	166	0	0	3	2	1	10	1	0	0	0	37	0	0	1	0	0	0	920	251	-1	1	11	240	1
Precinct 7637 - None	0	0	1	1	0	3	2	1	1	0	0	1	0	0	0	0	1	49	0	0	1	0	1	1	0	0	1	1	18	0	0	0	0	0	0	732	89	0	2	4	83	0
Precinct 7637 - None	2	0	2	0	0	7	4	0	1	0	0	0	0	0	1	0	1	164	0	0	2	1	2	3	0	0	1	1	40	0	0	2	0	0	0	732	249	0	3	12	234	0
Precinct 7638 - None	0	2	0	1	0	4	3	0	0	0	0	0	0	0	0	0	3	80	0	0	2	0	1	5	0	1	0	2	16	0	0	0	0	0	0	1,365	129	0	1	8	120	0
Precinct 7638 - None	0	0	0	0	1	22	3	1	1	0	0	0	0	1	0	3	13	323	0	1	13	0	1	3	3	0	0	6	69	3	0	1	0	0	0	1,365	492	2	1	20	469	1
Precinct 7639 - None	2	0	0	0	0	7	0	0	1	0	0	0	0	1	0	0	1	65	0	0	0	1	1	2	1	1	0	0	15	0	0	0	0	0	0	962	110	1	0	10	99	1
Precinct 7639 - None	0	2	2	0	0	12	2	0	0	0	0	1	0	1	1	2	7	202	0	3	7	0	1	2	4	0	0	0	54	1	0	1	0	0	0	962	319	-2	3	12	306	1
Precinct 7641 - None	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	4	75	0	1	2	0	2	0	0	0	1	0	18	0	0	0	0	0	0	931	114	0	0	7	107	0
Precinct 7641 - None	0	2	3	2	0	10	9	0	2	0	0	0	3	3	1	4	5	219	0	3	4	1	3	3	0	1	2	4	61	2	1	2	0	0	0	931	374	0	2	22	350	0
Precinct 7642 - None	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	58	0	1	1	1	2	1	0	0	0	0	13	0	0	0	0	0	0	909	84	0	0	3	81	0
Precinct 7642 - None	1	2	0	0	0	1	6	1	0	0	1	0	1	1	1	2	4	177	1	1	7	5	3	5	2	0	0	4	19	0	0	1	0	0	0	909	268	0	2	19	247	1
Precinct 7643 - None	1	0	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2	67	0	0	0	0	1	1	0	0	2	0	10	1	0	0	0	0	0	871	99	0	0	8	91	0
Precinct 7643 - None	0	2	0	0	1	12	4	0	1	0	0	0	2	2	0	1	5	233	1	3	3	1	6	4	0	1	3	1	47	1	0	1	0	0	0	871	355	2	1	16	336	1
Precinct 7644 - None	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	99	0	4	0	1	0	1	1	0	1	1	35	1	0	0	0	0	0	1,082	156	-2	0	10	148	0
Precinct 7644 - None	0	0	0	0	2	3	6	1	0	1	0	1	1	2	0	0	2	168	1	2	1	2	5	5	0	1	1	1	60	3	0	2	0	0	0	1,082	291	1	1	18	271	0
Precinct 7645 - None	0	0	0	0	1	4	1	1	0	0	0	0	0	0	0	0	1	36	0	1	2	0	0	1	0	0	0	0	9	1	1	0	0	0	0	631	63	0	0	4	59	0
Precinct 7645 - None	0	0	0	0	0	9	1	0	2	0	1	1	1	1	2	0	3	167	0	0	6	0	0	4	0	6	1	1	28	0	1	2	0	0	0	631	241	-3	1	6	237	0
Precinct 7646 - None	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	60	0	1	0	0	1	2	0	1	1	0	29	0	1	0	0	0	0	1,035	110	0	0	8	102	0
Precinct 7646 - None	0	0	1	1	0	8	2	0	3	0	0	0	1	0	1	4	1	220	0	2	1	0	2	9	2	2	0	3	45	1	0	0	0	0	0	1,035	326	0	1	15	310	1
Precinct 7647 - None	0	2	2	0	0	1	1	1	0	0	0	0	0	0	0	0	1	56	1	4	4	1	5	5	0	0	2	0	12	0	1	0	0	0	0	1,027	107	0	0	6	101	2
Precinct 7647 - None	1	1	3	1	1	0	0	0	1	0	0	0	0	3	2	0	2	108	0	4	2	1	3	3	0	0	1	1	26	0	0	1	0	0	0	1,027	185	0	3	17	165	0
Precinct 7648 MB - None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Precinct 7649 - None	1	2	2	0	1	0	0	0	0	0	0	0	1	1	0	0	0	52	0	1	3	1	6	2	0	0	0	0	15	0	0	2	0	0	0	877	97	1	0	6	90	0
Precinct 7649 - None	0	1	0	1	1	3	3	2	2	0	0	1	0	2	2	3	5	108	2	2	5	0	10	4	0	1	2	1	49	3	4	0	0	0	0	877	234	2	1	14	217	0
Precinct 7651 - None	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	35	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	555	48	0	1	2	45	0
Precinct 7651 - None	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	100	1	1	0	1	2	5	0	0	0	1	31	0	0	0	0	0	0	555	155	0	0	8	147	0
Precinct 7652 - None	0	0	2	0	0	1	0	0	2	0	0	0	1	1	0	0	2	40	0	1	0	0	1	1	0	1	0	0	10	0	0	0	0	0	0	580	68	-1	2	4	63	0
Precinct 7652 - None	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	115	0	3	4	0	4	2	0	0	1	1	21	2	2	0	0	0	0	580	163	-3	0	7	159	0
Precinct 7653 - None	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	75	0	3	2	2	3	2	2	0	0	2	29	0	0	0	0	0	0	1,092	137	1	1	8	127	0
Precinct 7653 - None	0	2	2	0	0	6	2	0	0	0	0	0	1	2	0	1	3	211	0	2	3	0	2	2	2	4	1	1	54	1	0	2	0	0	0	1,092	321	0	1	12	308	4
Precinct 7701 - None	1	0	0	0	0	1	2	2	1	0	0	0	0	0	1	1	1	122	0	0	2	1	5	7	0	0	0	1	56	3	0	2	0	0	0	1,012	225	0	0	15	210	1
Precinct 7701 - None	0	0	1	1	0	1	1	1	0	0	0	0	1	2	0	6	4	238	1	2	4	0	8	13	2	2	0	2	70	1	0	1	0	0	0	1,012	383	2	0	19	362	0
Precinct 7702 - None	0	0	0	2	0	1	3	1	0	0	0	0	0	1	0	1	3	71	1	0	3	0	1	0	0	0	0	0	22	2	0	0	0	0	0	704	117	0	0	5	112	0
Precinct 7702 - None	0	0	1	0	0	7	3	0	0	0	0	2	0	0	0	1	6	190	0	2	10	1	4	1	0	1	1	2	51	1	0	3	0	0	0	704	302	-1	2	14	287	0
Precinct 7703 MB - None	0	0	1	1	0	1	1	0	0	0	0	1	0	2	0	0	1	37	0	0	3	0	2	0	0	0	0	0	3	0	0	1	0	0	0	172	66	1	4	7	54	0
Precinct 7704 - None	1	1	0	0	0	2	1	2	4	0	0	2	0	0	1	1	2	130	0	4	5	1	2	1	0	1	0	2	27	3	0	0	0	0	0	977	208	0	0	15	193	0
Precinct 7704 - None	0	3	2	0	0	7	6	0	2	0	0	0	1	4	1	3	6	241	0	3	4	0	1	10	2	0	2	7	53	0	3	1	0	0	0	977	396	1	2	29	364	2
Precinct 7705 - None	0	0	0	0	0	2	3	0	0	0	0	0	1	0	0	1	3	90	0	0	1	0	0	1	0	0	0	1	14	0	1	0	0	0	0	547	123	0	0	5	118	0
Precinct 7705 - None	0	0	0	0	0	3	2	0	1	0	0	0	0	0	2	0	0	170	1	2	2	1	2	3	0	1	0	1	24	1	0	0	0	0	0	547	227	0	1	10	216	0
Precinct 7706 - None	0	2	0	0	0	3	7	0	1	0	0	1	1	0	1	0	0	113	0	2	3	1	1	5	1	0	0	3	33	1	3	1	0	0	0	821	189	0	0	5	184	1
Precinct 7706 - None	0	2	2	0	0	5	5	1	0	0	0	0	0	0	4	7	7	223	0	0	8	1	1	3	0	0	2	2	51	0	0	0	0	0	0	821	341	0	2	14	325	1
Precinct 7707 - None	0	0	1	0	0	4	5	0	0	0	0	0	0	1	1	2	0	133	0	0	4	0	2	4	0	0	0	2	28	1	0	0	0	0	0	839	200	1	1	10	188	0
Precinct 7707 - None	0	2	3	0	0	4	0	2	1	0	0	0	1	2	0	9	0	262	0	1	8	1	0	1	0	1	0	3	59	1	1	0	0	0	0	839	379	-1	0	18	362	0
Precinct 7708 - None	1	0	2	0	0	1	2	1	0	0	0	1	0	1	0	3	0	125	0	1	3	1	1	1	0	0	1	1	28	1	1	0	0	0	0	860	181	1	0	4	176	0
Precinct 7708 - None	0	3	2	0	0	6	2	1	0	0	0	0	1	2	1	2	5	262	0	3	5	1	0	4	0	3	0	1	75	2	0	2	0	0	0	860	400	-1	1	17	383	0
Precinct 7709 - None	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	42	0	1	1	1	3	1	0	0	1	1	20	1	0	0	0	0	0	383	85	1	0	7	77	0
Precinct 7709 - None	0	0	0	0	0	1	1	2	1	0	1	0	0	0	2	1	1	94	0	0	0	0	3	6	0	0	2	1	45	0	0	1	0	0	0	383	174	0	0	12	162	0
Precinct 7711 - None	0	0	4	1	0	2	1	0	0	0	0	1	2	0	1	0	0	108	0	0	0	0	1	3	3	0	0	0	33	0	0	0	0	0	0	772	162	0	0	2	160	0
Precinct 7711 - None	0	2	5	1	0	6	5	1	1	0	0	0	3	1	0	1	4	210	0	1	4	0	2	9	0	1	0	1	72	2	0	0	0	0	0	772	344	0	3	9	332	0
Precinct 7712 - None	0	1	2	0	0	1	0	0	0	0	0	0	0	0	1	1	2	66	0	1	2	1	0	2	0	1	0	2	42	1	0	0	0	0	0	524	131	0	0	5	126	0
Precinct 7712 - None	0	0	3	0	0	1	2	1	0	0	0	0	0	3	2	0	0	139	1	2	4	0	1	2	0	0	8	3	54	2	0	0	0	0	0	524	230	-1	0	3	228	0
Precinct 7801 - None	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	145	0	1	0	1	4	1	0	2	0	0	55	0	0	0	0	0	0	970	230	1	1	12	216	0
Precinct 7801 - None	0	2	1	0	0	1	4	0	0	0	0	0	0	0	0	1	4	273	0	2	5	0	1	4	4	1	0	0	110	1	0	0	0	0	0	970	424	-2	1	11	414	0
Precinct 7802 - None	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	133	0	2	0	0	6	0	1	0	1	0	51	0	0	1	0	0	0	762	205	-1	0	7	199	0
Precinct 7802 - None	0	2	1	0	1	1	4	1	0	0	0	0	1	0	0	0	1	209	1	0	3	0	3	6	0	0	0	0	63	0	0	0	0	0	0	762	313	2	0	14	297	0
Precinct 7803 - None	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	96	0	0	2	0	1	3	0	1	0	0	31	0	0	0	0	0	0	823	143	0	0	4	139	0
Precinct 7803 - None	0	1	0	1	0	5	4	0	0	0	0	0	0	0	0	1	3	290	1	1	0	0	2	4	0	1	2	2	81	0	0	0	0	0	0	823	412	-1	0	14	399	0
Precinct 7804 - None	0	0	1	0	0	2	0	0	0	0	0	0	1	0	1	1	0	144	1	5	1	1	3	5	1	2	0	1	57	0	1	0	0	0	0	891	236	0	1	7	228	0
Precinct 7804 - None	0	0	0	1	0	1	0	3	2	0	0	0	0	0	0	0	2	265	0	0	2	0	1	1	1	0	1	2	94	0	0	0	0	0	0	891	394	0	0	18	376	0
Precinct 7805 - None	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	1	103	0	1	0	0	1	4	0	0	0	0	50	0	0	0	0	0	0	785	176	1	0	9	166	0
Precinct 7805 - None	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	230	0	0	2	2	1	2	1	2	0	2	86	1	1	0	0	0	0	785	348	-1	1	13	335	0
Precinct 7806 - None	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	1	96	0	1	0	0	2	0	0	0	0	1	49	0	0	0	0	0	0	699	163	0	0	9	154	0
Precinct 7806 - None	0	2	0	0	0	2	1	0	0	1	0	0	0	1	0	2	1	172	0	3	1	0	1	1	0	3	0	1	71	1	0	0	0	0	0	699	283	3	0	16	264	0
Precinct 7807 - None	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	1	1	129	0	4	0	1	5	1	0	1	0	0	63	0	0	1	0	0	0	796	228	2	0	14	212	0
Precinct 7807 - None	0	0	2	0	1	1	1	0	0	0	0	0	0	0	1	0	2	156	0	2	1	0	5	3	0	1	0	2	83	0	0	0	0	0	0	796	273	0	1	9	263	2
Precinct 7808 - None	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	113	0	1	0	0	3	5	0	3	2	0	42	0	0	0	0	0	0	655	178	0	0	5	173	0
Precinct 7808 - None	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	1	1	128	0	0	0	0	1	4	0	1	0	2	88	1	0	1	0	0	0	655	243	0	1	9	233	1
Precinct 7809 - None	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	75	0	0	1	0	3	4	0	0	0	1	58	0	1	0	0	0	0	742	160	-1	2	14	145	0
Precinct 7809 - None	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	162	0	2	0	1	2	3	1	1	0	0	74	0	0	0	0	0	0	742	267	0	1	12	254	2
Precinct 7811 - None	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	3	89	0	2	1	0	4	2	0	2	0	0	72	0	0	0	0	0	0	726	186	-1	0	8	179	0
Precinct 7811 - None	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	2	134	0	0	0	0	3	5	0	0	0	0	78	1	0	1	0	0	0	726	243	1	1	11	230	1
Precinct 7812 - None	0	2	2	0	0	0	5	2	1	0	0	0	0	0	1	2	1	99	0	1	0	0	5	3	1	1	0	1	56	0	0	2	0	0	0	843	207	0	2	20	185	0
Precinct 7812 - None	0	2	2	3	0	2	2	0	0	0	0	0	0	0	0	0	5	175	0	1	1	1	2	2	0	2	1	0	75	0	0	0	0	0	0	843	292	-2	4	12	278	2
Precinct 7813 - None	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	135	0	2	2	1	6	3	1	0	0	1	74	1	0	0	0	0	0	988	251	-1	0	19	233	1
Precinct 7813 - None	0	0	1	0	0	0	2	0	2	0	0	0	2	1	1	0	2	198	0	2	2	0	2	3	0	3	0	2	119	3	1	0	0	0	0	988	362	1	0	15	346	0
Precinct 7814 - None	0	0	1	2	0	0	0	0	3	0	0	0	0	0	1	2	0	73	0	0	2	0	4	3	1	1	0	3	63	1	0	1	0	0	0	892	173	-1	3	10	161	0
Precinct 7814 - None	1	1	1	0	0	2	1	0	0	0	0	0	0	1	1	0	4	122	1	5	0	2	5	2	1	2	0	1	54	0	1	1	0	0	0	892	223	1	2	10	210	1
Precinct 7815 - None	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	123	0	1	0	1	3	3	0	0	1	2	36	0	0	0	0	0	0	914	178	-1	0	5	174	0
Precinct 7815 - None	0	0	2	0	0	2	3	0	0	0	0	1	0	0	0	0	0	271	0	2	1	0	1	5	0	0	1	0	110	0	1	1	0	0	0	914	407	0	1	5	401	0
Precinct 7816 - None	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	3	128	0	1	1	1	3	3	1	0	0	0	50	0	0	1	0	0	0	858	202	1	0	4	197	0
