Subtotal Area	JOSH JONES	J. BRIBIESCA	GLORIA ESTELA LA RIVA	PETER Y LIU	ANTONIO VILLARAIGOSA	YVONNE GIRARD	ROBERT DAVIDSON GRIFFIS	SHUBHAM GOEL	TRAVIS ALLEN	AKINYEMI AGBEDE	JOHNNY WATTENBURG	NICKOLAS WILDSTAR	DESMOND SILVEIRA	MICHAEL SHELLENBERGER	ZOLTAN ISTVAN	CHRISTOPHER N. CARLSON	THOMAS JEFFERSON CARES	JOHN CHIANG	JOHN H. COX	AMANDA RENTERIA	DELAINE EASTIN	JEFFREY EDWARD TAYLOR	KLEMENT TINAJ	HAKAN "HAWK" MIKADO	ALBERT CAESAR MEZZETTI	GAVIN NEWSOM	ROBERT C. NEWMAN, II	K. PEARCE	VERONIKA FIMBRES	ARMANDO M. ARREOLA	ARMAN SOLTANI	PETER CRAWFORD VALENTINO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted	Writein Votes
Precinct 9436 - Election Day	0	0	3	2	9	0	0	0	7	0	0	0	0	0	2	0	0	11	23	3	11	0	1	0	0	87	0	0	0	0	0	0	941	161	0	0	2	159	0
Precinct 9436 - Vote By Mail	1	0	0	6	13	0	0	0	15	0	0	0	0	0	0	0	0	54	35	3	17	0	0	0	0	181	0	0	2	0	0	0	941	337	0	5	5	327	0
Precinct 9437 - Election Day	1	0	0	3	13	1	1	0	1	0	0	0	0	0	1	0	0	28	18	3	16	0	0	0	0	74	4	0	0	0	0	0	873	170	0	0	5	165	1
Precinct 9437 - Vote By Mail	0	0	1	9	22	0	0	0	26	0	0	0	0	1	0	0	0	56	36	5	22	0	0	1	1	127	4	0	0	0	0	0	873	324	0	4	9	311	0
Precinct 9438 - Election Day	0	0	1	1	8	1	0	0	3	0	0	0	0	0	0	0	0	18	13	3	17	0	1	0	1	56	1	0	0	0	0	0	918	129	0	2	3	124	0
Precinct 9438 - Vote By Mail	1	0	2	4	20	0	1	0	19	0	0	0	0	1	1	0	0	50	39	3	18	0	0	0	0	159	2	0	0	0	0	0	918	336	0	10	6	320	0
Precinct 9439 - Election Day	0	0	0	0	12	0	0	0	4	1	0	0	0	0	0	0	0	15	10	1	16	0	0	0	1	63	1	0	0	0	0	0	827	126	0	1	1	124	0
Precinct 9439 - Vote By Mail	0	0	0	0	14	0	0	0	24	1	0	0	1	1	2	0	0	52	39	3	10	0	0	0	1	154	3	0	0	0	0	0	827	314	0	0	7	307	2
Precinct 9441 - Election Day	1	1	0	0	16	0	0	0	5	0	0	0	0	0	0	1	0	19	14	4	31	0	1	0	1	106	2	0	0	0	0	0	939	205	0	1	2	202	0
Precinct 9441 - Vote By Mail	2	0	2	4	19	0	0	0	16	0	0	0	1	0	2	1	0	37	32	7	38	0	0	0	0	164	0	0	0	0	0	0	939	337	0	7	4	326	1
Precinct 9442 - Election Day	0	0	0	0	13	0	0	0	7	0	0	0	0	0	1	4	0	14	20	0	17	0	0	0	0	119	0	0	0	0	0	0	970	200	0	1	4	195	0
Precinct 9442 - Vote By Mail	3	2	0	3	7	0	0	0	18	0	0	1	0	1	1	0	0	53	33	5	26	0	0	0	1	155	5	0	0	0	0	0	970	325	0	8	3	314	0
Precinct 9443 - Election Day	1	0	0	0	14	0	0	0	5	0	0	1	0	0	0	0	1	12	13	0	17	0	0	0	0	72	1	0	0	0	0	0	886	138	0	0	1	137	0
Precinct 9443 - Vote By Mail	0	1	2	1	14	0	0	0	11	2	0	1	0	0	0	3	0	51	16	10	19	0	0	0	0	161	2	0	0	0	0	0	886	304	0	7	2	295	1
Precinct 9444 - Election Day	0	0	2	0	9	0	0	1	4	0	0	1	0	0	0	0	0	16	13	2	12	0	0	0	0	50	1	0	0	0	0	0	901	118	0	3	3	112	1
Precinct 9444 - Vote By Mail	1	0	0	3	16	0	0	0	27	1	0	0	1	0	1	0	1	53	32	5	24	0	0	0	0	135	0	0	0	0	0	0	901	312	0	4	8	300	0
Precinct 9445 - Election Day	2	0	0	0	9	0	0	1	9	0	1	0	0	0	1	0	0	21	17	3	18	1	0	0	0	68	0	0	0	0	0	0	945	154	0	1	2	151	0
Precinct 9445 - Vote By Mail	1	0	2	2	14	0	1	0	15	0	0	0	0	0	0	1	0	47	32	12	29	2	0	1	0	168	1	0	0	0	0	0	945	342	0	4	10	328	0
Precinct 9446 - Election Day	1	0	0	0	9	0	0	0	6	0	0	0	0	0	0	0	0	12	15	3	16	0	0	1	0	90	0	0	0	0	0	0	1,043	164	0	0	11	153	0
Precinct 9446 - Vote By Mail	3	0	0	1	12	0	0	0	33	0	0	0	1	2	2	0	0	57	50	3	26	0	0	2	1	204	4	0	0	0	0	0	1,043	417	0	4	12	401	0
Precinct 9447 - Election Day	2	0	0	0	12	0	0	0	5	0	0	0	0	0	2	0	1	24	13	5	21	0	0	0	1	82	1	0	0	0	0	0	891	171	0	0	2	169	0
Precinct 9447 - Vote By Mail	0	1	0	0	27	0	0	0	18	0	0	1	0	3	0	0	0	47	26	0	19	1	0	1	1	170	0	0	0	0	0	0	891	327	0	3	8	316	1
Precinct 9448 - Election Day	1	0	0	0	13	0	0	0	0	0	0	0	0	1	0	1	0	20	20	4	24	0	0	0	0	71	1	0	0	0	0	0	877	159	0	1	2	156	0
Precinct 9448 - Vote By Mail	1	0	2	6	21	3	0	0	15	0	0	0	0	0	0	1	1	56	23	3	19	2	0	0	0	132	3	0	0	0	0	0	877	307	0	11	8	288	0
Precinct 9449 - Election Day	1	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	18	13	1	10	0	0	0	0	46	0	0	0	0	0	0	784	97	0	1	0	96	0
Precinct 9449 - Vote By Mail	2	0	0	4	20	0	0	0	17	0	0	0	0	0	0	2	0	51	33	6	16	0	0	1	1	137	0	0	0	0	0	0	784	302	0	6	6	290	0
Precinct 9451 - Election Day	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	9	6	1	4	0	0	0	0	34	0	0	0	0	0	0	414	57	0	1	0	56	0
Precinct 9451 - Vote By Mail	0	0	0	1	10	0	0	0	10	0	0	0	0	1	0	0	0	24	27	3	3	0	0	0	1	70	2	0	0	0	0	0	414	154	0	0	2	152	0
Precinct 9452 - Election Day	0	0	1	1	14	0	0	0	4	0	0	0	0	0	1	0	0	14	35	3	18	0	0	0	0	82	0	0	0	0	0	0	799	175	0	0	2	173	0
Precinct 9452 - Vote By Mail	0	1	2	2	17	0	0	0	14	0	0	0	1	0	0	0	0	45	32	1	23	1	0	0	1	133	1	0	0	0	0	0	799	281	0	2	5	274	0
Precinct 9453 - Election Day	0	0	0	0	7	0	0	1	1	0	1	0	0	0	0	0	0	15	15	4	6	0	0	0	0	39	0	0	0	0	0	0	488	90	0	1	0	89	0
Precinct 9453 - Vote By Mail	0	0	0	0	16	0	0	0	5	0	0	0	0	0	0	1	0	15	22	0	16	0	0	0	0	95	1	0	0	0	0	0	488	175	0	3	1	171	0
Precinct 9501 MB - Vote By Mail	1	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	1	8	1	7	0	0	0	0	39	0	0	0	0	0	0	149	71	0	1	1	69	0
Precinct 9502 MB - Vote By Mail	0	1	0	0	15	0	0	0	0	0	0	1	0	0	0	0	0	7	7	2	10	0	0	0	0	66	1	0	0	0	0	0	233	116	0	0	5	111	1
Precinct 9503/9504 - Election Day	0	0	0	0	8	1	0	0	0	0	0	0	0	0	1	0	0	8	2	6	10	0	0	0	3	73	0	0	0	0	0	0	725	128	0	6	10	112	0
Precinct 9503/9504 - Vote By Mail	0	0	2	0	14	0	0	0	3	0	0	0	0	0	1	0	0	6	7	5	14	0	0	0	0	123	0	0	0	0	0	0	725	184	0	5	4	175	0
Precinct 9505 - Election Day	2	0	1	0	19	0	0	0	1	0	0	0	0	1	0	0	0	5	5	1	16	0	1	0	0	86	0	0	0	0	0	0	756	147	0	4	5	138	0
Precinct 9505 - Vote By Mail	1	0	0	0	39	0	0	0	5	0	0	1	0	0	0	0	0	12	6	1	21	0	0	0	0	165	1	0	0	0	0	0	756	274	0	11	11	252	0
Precinct 9506 - Election Day	0	0	0	0	9	0	0	0	0	0	0	0	0	3	0	0	0	4	3	3	16	0	0	0	3	84	0	0	0	0	0	0	771	134	0	5	4	125	0
Precinct 9506 - Vote By Mail	1	0	0	0	12	0	0	0	4	0	0	1	0	1	0	0	0	13	3	4	30	0	0	0	0	133	0	0	0	0	0	0	771	217	0	9	5	203	1
Precinct 9507 - Election Day	0	1	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	5	4	4	30	0	1	0	1	100	1	0	0	0	0	1	733	170	0	1	3	166	0
Precinct 9507 - Vote By Mail	0	0	4	0	15	0	0	0	2	1	0	0	0	0	0	0	0	13	2	6	31	0	0	1	0	136	0	0	0	0	0	0	733	218	0	1	6	211	0
Precinct 9508 - Election Day	2	0	1	2	22	0	1	0	0	0	0	1	0	0	1	0	0	10	1	1	41	0	0	0	0	94	1	0	0	0	0	0	784	180	0	1	1	178	0
Precinct 9508 - Vote By Mail	2	0	1	0	25	0	0	0	2	0	0	0	0	0	2	0	0	21	0	1	44	0	0	0	0	152	0	0	0	0	0	0	784	258	0	4	4	250	0
Precinct 9509 - Election Day	1	0	1	0	10	0	0	0	0	0	0	0	0	0	0	1	0	7	8	1	37	0	0	0	0	97	0	0	0	0	0	0	719	165	0	0	2	163	0
Precinct 9509 - Vote By Mail	2	0	0	0	11	0	0	0	1	0	0	0	0	0	1	1	1	22	5	5	31	0	0	0	0	153	0	0	0	0	0	0	719	239	0	4	2	233	0
Precinct 9511 - Election Day	0	1	0	0	13	0	0	0	3	0	0	1	0	1	0	0	0	9	5	1	41	1	0	0	0	68	0	0	0	0	0	0	600	147	0	0	3	144	0
Precinct 9511 - Vote By Mail	1	0	0	0	13	0	0	0	1	1	0	0	0	0	1	0	0	13	9	2	27	1	0	0	0	101	1	0	0	0	0	0	600	177	0	0	6	171	0
Precinct 9512 - Election Day	0	1	1	0	13	0	0	0	0	1	0	0	0	0	0	1	1	2	4	3	35	0	0	0	0	96	0	0	0	0	0	0	771	161	0	1	2	158	0
Precinct 9512 - Vote By Mail	0	0	0	0	22	0	0	0	0	0	0	0	0	3	1	0	0	16	9	3	45	0	0	0	0	142	0	0	0	0	0	0	771	251	0	3	7	241	0
Precinct 9513 - Election Day	4	1	1	0	21	0	0	0	1	0	0	0	0	0	1	0	0	4	7	1	31	0	1	0	0	116	0	0	0	0	0	0	864	200	0	5	6	189	0
Precinct 9513 - Vote By Mail	2	0	0	0	23	0	0	0	1	1	0	0	0	1	2	2	0	13	5	0	46	0	0	0	0	148	0	0	0	0	0	0	864	261	0	7	9	245	1
Precinct 9514/9522 - Election Day	1	2	0	3	23	0	0	0	1	0	0	1	0	4	1	0	0	12	10	4	39	0	0	0	0	123	1	0	0	0	0	0	869	229	0	1	3	225	0
Precinct 9514/9522 - Vote By Mail	1	0	0	0	25	0	0	0	4	0	0	0	0	0	2	0	0	17	6	5	36	0	0	1	0	146	0	0	0	0	0	0	869	257	0	5	9	243	0
Precinct 9515 - Election Day	4	0	0	1	19	0	0	0	2	0	0	1	0	0	0	0	0	14	7	5	19	0	0	0	0	83	1	0	0	0	0	0	685	159	0	0	2	157	1
Precinct 9515 - Vote By Mail	1	0	1	0	20	0	0	0	4	0	0	0	1	0	2	0	0	25	13	4	35	0	0	1	0	129	0	0	0	0	0	0	685	243	0	4	3	236	0
Precinct 9516 - Election Day	1	1	3	0	17	0	0	0	2	0	0	1	0	0	0	1	0	14	15	1	47	0	0	0	0	93	0	0	0	0	0	0	864	206	0	6	4	196	0
Precinct 9516 - Vote By Mail	1	1	2	0	20	0	0	0	1	0	1	0	0	1	0	0	0	24	10	0	35	0	0	0	0	165	3	0	0	0	0	0	864	269	0	3	2	264	0
Precinct 9517 - Election Day	0	3	3	0	18	0	0	0	3	1	0	1	0	1	0	1	0	14	3	2	41	1	0	1	0	94	1	0	0	0	0	0	768	197	0	5	4	188	0
Precinct 9517 - Vote By Mail	0	1	1	0	12	1	0	0	7	1	0	0	0	0	1	0	0	19	13	10	45	0	0	0	0	119	0	0	0	0	0	0	768	235	0	2	3	230	0
Precinct 9518 - Election Day	0	1	1	0	24	0	1	0	1	0	0	0	0	1	0	0	0	14	3	5	40	0	0	0	1	86	0	0	0	0	0	0	783	180	0	0	2	178	0
Precinct 9518 - Vote By Mail	2	0	1	0	13	0	1	0	3	0	1	0	0	0	1	0	1	19	12	7	33	0	0	0	1	140	1	0	0	0	0	0	783	242	0	4	2	236	0
Precinct 9519 - Election Day	0	0	1	2	19	0	0	0	2	1	0	0	0	2	0	0	0	11	8	2	29	0	0	0	0	134	1	0	0	0	0	0	850	217	0	1	4	212	0
