Subtotal Area	JOSH JONES	J. BRIBIESCA	GLORIA ESTELA LA RIVA	PETER Y LIU	ANTONIO VILLARAIGOSA	YVONNE GIRARD	ROBERT DAVIDSON GRIFFIS	SHUBHAM GOEL	TRAVIS ALLEN	AKINYEMI AGBEDE	JOHNNY WATTENBURG	NICKOLAS WILDSTAR	DESMOND SILVEIRA	MICHAEL SHELLENBERGER	ZOLTAN ISTVAN	CHRISTOPHER N. CARLSON	THOMAS JEFFERSON CARES	JOHN CHIANG	JOHN H. COX	AMANDA RENTERIA	DELAINE EASTIN	JEFFREY EDWARD TAYLOR	KLEMENT TINAJ	HAKAN "HAWK" MIKADO	ALBERT CAESAR MEZZETTI	GAVIN NEWSOM	ROBERT C. NEWMAN, II	K. PEARCE	VERONIKA FIMBRES	ARMANDO M. ARREOLA	ARMAN SOLTANI	PETER CRAWFORD VALENTINO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted	Writein Votes
Precinct 9716 - Vote By Mail	1	0	0	2	43	0	0	0	21	0	1	0	0	2	1	1	0	46	26	4	26	0	1	0	0	179	3	0	0	0	0	0	928	368	0	3	8	357	0
Precinct 9717 - Election Day	1	0	0	0	21	0	0	1	6	0	0	0	0	2	0	0	0	19	25	1	20	0	0	0	0	105	0	0	0	0	0	0	967	206	0	1	4	201	0
Precinct 9717 - Vote By Mail	1	1	2	0	26	0	1	0	8	1	1	1	0	1	2	0	0	37	30	5	31	0	0	0	0	211	5	0	0	0	0	0	967	371	0	4	3	364	0
Precinct 9718 - Election Day	0	0	0	0	14	1	0	0	3	0	0	0	0	1	0	0	0	16	20	5	22	2	0	0	0	96	1	0	0	0	0	0	843	183	0	0	1	182	1
Precinct 9718 - Vote By Mail	0	0	2	0	27	2	0	0	12	0	0	0	0	1	3	1	0	23	53	2	33	0	0	0	0	219	0	0	0	0	0	0	843	385	0	5	2	378	0
Precinct 9719 - Election Day	0	0	0	0	24	0	0	0	5	0	0	0	0	2	0	0	0	5	19	1	15	0	0	0	1	106	0	0	0	0	0	0	863	186	0	7	1	178	0
Precinct 9719 - Vote By Mail	1	0	0	0	46	0	0	0	8	0	0	1	0	0	2	0	0	20	50	5	15	0	0	0	0	232	0	0	0	0	0	0	863	389	0	4	5	380	0
Precinct 9721 - Election Day	0	0	1	0	21	0	0	0	7	0	0	1	0	0	0	0	0	7	21	8	6	0	0	0	0	103	1	0	0	0	0	0	653	182	0	3	2	177	1
Precinct 9721 - Vote By Mail	0	0	2	1	23	0	0	0	8	0	0	0	0	2	0	0	0	20	30	1	7	0	0	0	1	142	1	0	0	0	0	0	653	250	0	4	7	239	1
Precinct 9722 - Election Day	0	1	0	0	9	0	0	0	2	1	0	0	0	0	0	0	0	9	12	0	5	0	0	0	0	47	0	0	0	0	0	0	593	86	0	0	0	86	0
Precinct 9722 - Vote By Mail	2	0	0	4	32	0	0	0	5	1	0	0	0	0	0	0	0	19	51	2	21	1	0	0	0	119	1	0	0	0	0	0	593	269	0	4	6	259	1
Precinct 9723 - Election Day	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	8	15	0	2	0	0	1	0	38	0	0	0	0	0	0	458	74	0	1	0	73	1
Precinct 9723 - Vote By Mail	0	0	0	0	4	0	0	0	7	0	0	2	0	0	0	0	0	34	30	1	8	0	0	0	0	105	0	0	0	0	0	0	458	198	0	3	3	192	1
Precinct 9724 - Election Day	1	0	0	1	9	0	0	0	3	0	0	0	0	0	0	0	0	24	29	1	6	0	0	0	0	68	0	0	0	0	0	0	950	144	0	1	1	142	0
Precinct 9724 - Vote By Mail	1	0	0	6	22	0	0	0	21	0	0	1	0	0	1	0	0	61	61	2	14	0	0	0	1	173	0	0	0	0	0	0	950	386	0	9	13	364	0
Precinct 9725 - Election Day	1	0	0	2	12	0	0	0	7	0	0	0	0	0	0	0	1	13	26	0	13	0	0	0	0	41	0	0	0	0	0	0	941	118	0	1	1	116	0
Precinct 9725 - Vote By Mail	0	0	0	0	25	0	0	0	19	0	1	1	0	1	0	1	0	47	55	5	19	0	0	0	0	160	5	0	0	0	0	0	941	350	0	3	8	339	0
Precinct 9726 - Election Day	1	0	1	0	6	0	0	0	1	0	0	0	0	0	0	0	0	8	11	1	9	0	1	0	0	37	2	0	0	0	0	0	685	83	0	1	4	78	0
Precinct 9726 - Vote By Mail	0	0	0	4	10	0	0	0	11	0	0	0	0	0	0	0	0	16	17	1	6	1	0	0	2	64	1	0	0	0	0	0	685	137	0	2	2	133	0
Precinct 9727 - Election Day	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	1	3	9	1	4	0	0	0	1	33	0	0	0	0	0	0	435	60	0	0	2	58	0
Precinct 9727 - Vote By Mail	1	0	0	0	11	0	0	0	13	0	0	0	0	0	0	0	0	21	44	2	12	0	0	0	0	96	1	0	0	0	0	0	435	205	0	1	3	201	0
Precinct 9728 - Election Day	0	0	0	1	12	0	0	0	6	0	0	0	0	0	0	0	0	11	39	1	15	0	0	0	0	117	0	0	0	0	0	0	906	204	0	0	1	203	1
Precinct 9728 - Vote By Mail	0	0	0	3	43	1	0	0	16	0	0	0	0	0	0	0	0	36	54	5	14	0	0	2	1	188	3	0	0	0	0	0	906	378	0	7	4	367	1
Precinct 9729 - Election Day	0	1	0	0	20	0	0	0	1	0	0	0	0	0	0	0	0	10	40	1	8	0	0	0	1	75	0	0	0	0	0	0	782	161	0	1	3	157	0
Precinct 9729 - Vote By Mail	0	0	0	0	40	0	0	0	15	0	0	0	0	0	1	1	0	17	45	1	10	0	0	0	0	169	0	0	0	0	0	0	782	304	0	1	4	299	0
Precinct 9731 - Election Day	1	0	0	0	13	1	0	0	5	0	0	0	0	0	0	0	0	10	22	0	7	0	0	0	0	75	0	0	0	0	0	0	529	138	0	3	1	134	0
Precinct 9731 - Vote By Mail	1	0	0	0	17	0	1	0	4	0	0	0	0	2	0	1	0	21	30	0	11	0	0	0	0	95	0	0	0	0	0	0	529	189	0	3	3	183	0
Precinct 9732 MB - Vote By Mail	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	0	0	0	26	0	0	0	0	0	0	73	43	0	0	1	42	0
Precinct 9733 MB - Vote By Mail	1	0	0	0	10	0	0	0	4	0	0	0	0	0	0	0	0	6	11	5	11	0	0	0	0	95	0	0	0	0	0	0	224	146	0	2	1	143	0
Precinct 9734 - Election Day	0	0	0	1	10	0	0	0	4	0	0	0	0	0	1	0	0	6	20	1	5	0	0	0	0	73	0	0	0	0	0	0	577	122	0	1	0	121	0
Precinct 9734 - Vote By Mail	0	0	0	1	16	0	0	1	3	0	0	0	0	0	0	0	0	20	38	2	11	0	0	0	0	159	0	0	0	0	0	0	577	261	0	6	3	252	1
Precinct 9735 - Election Day	1	1	0	0	12	0	0	0	6	0	0	0	0	1	0	0	0	14	16	2	9	0	0	0	1	93	0	0	0	0	0	0	782	167	0	4	6	157	1
Precinct 9735 - Vote By Mail	0	0	0	1	37	0	0	0	13	0	1	0	0	0	0	0	0	35	43	2	15	1	0	0	0	185	1	0	0	0	0	0	782	344	0	5	5	334	0
Precinct 9736 - Election Day	1	0	0	0	9	0	0	0	4	1	0	0	1	0	0	0	0	3	16	3	14	0	0	1	0	88	2	0	0	0	0	0	699	145	0	0	2	143	0
Precinct 9736 - Vote By Mail	0	1	0	0	22	0	0	0	6	0	0	0	0	1	0	0	0	18	22	7	25	0	0	1	0	192	0	0	0	0	0	0	699	305	0	4	6	295	0
Precinct 9737 - Election Day	1	0	0	0	14	0	0	0	6	0	0	1	0	0	0	0	0	11	15	2	19	0	0	0	2	102	2	0	0	0	0	0	792	175	0	0	0	175	0
Precinct 9737 - Vote By Mail	0	0	1	0	43	0	0	0	12	0	0	0	0	0	0	0	0	21	39	2	22	0	0	0	1	194	0	0	0	0	0	0	792	343	0	3	5	335	0
Precinct 9738 - Election Day	0	1	0	0	5	0	0	0	3	1	0	1	0	0	1	0	0	11	12	2	12	0	0	0	0	47	0	0	0	0	0	0	830	99	0	0	3	96	0
Precinct 9738 - Vote By Mail	1	1	1	0	21	0	0	0	8	1	0	0	0	0	0	0	1	21	29	1	21	0	1	1	1	144	1	0	0	0	0	0	830	263	0	4	4	255	1
Precinct 9739 - Election Day	1	0	1	0	9	0	0	0	3	0	0	0	0	0	0	0	1	4	11	2	21	0	0	0	1	68	1	0	0	0	0	0	826	126	0	2	1	123	0
Precinct 9739 - Vote By Mail	1	0	2	0	20	1	1	0	3	1	0	0	1	0	0	0	0	12	17	3	22	0	0	0	1	92	3	0	0	0	0	0	826	193	0	6	7	180	0
Precinct 9741 - Election Day	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	3	0	0	0	0	7	0	0	0	0	0	0	1,022	19	0	0	2	17	0
Precinct 9741 - Vote By Mail	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	5	0	0	0	0	12	0	0	0	0	0	0	1,022	24	0	1	2	21	0
Precinct 9742 - Election Day	1	0	0	0	7	0	0	0	4	1	0	0	1	0	0	0	0	23	22	0	13	0	1	0	0	58	0	0	0	0	0	0	647	134	0	0	3	131	0
Precinct 9742 - Vote By Mail	0	0	0	0	8	1	0	0	2	0	1	0	0	0	0	0	0	29	24	0	9	1	0	0	0	102	0	0	0	0	0	0	647	187	0	7	2	178	1
Precinct 9743 - Election Day	0	0	3	0	23	0	0	0	2	0	0	0	0	0	0	0	0	6	16	6	21	0	0	0	0	86	0	0	0	0	0	0	1,093	172	0	3	6	163	0
Precinct 9743 - Vote By Mail	1	1	1	0	27	0	1	0	6	1	0	0	0	0	1	3	0	16	29	9	15	0	1	1	0	193	2	0	0	0	0	0	1,093	317	0	1	8	308	0
Precinct 9744 - Election Day	0	0	1	0	10	1	0	0	5	2	0	0	1	0	0	0	0	8	16	7	18	0	0	1	1	62	0	0	0	0	0	0	902	141	0	5	3	133	0
Precinct 9744 - Vote By Mail	3	0	0	1	25	0	0	0	8	2	0	0	0	1	0	0	0	8	32	3	24	0	0	0	0	119	1	0	0	0	0	0	902	234	0	2	5	227	0
Precinct 9745 - Election Day	1	0	0	1	8	0	0	0	0	0	0	1	0	0	0	0	0	11	18	3	14	0	1	0	0	79	0	0	1	0	0	0	934	141	0	1	2	138	0
Precinct 9745 - Vote By Mail	0	0	0	0	14	1	0	0	4	0	1	0	0	2	0	0	0	15	23	6	17	0	0	0	0	114	2	0	0	0	0	0	934	205	0	5	1	199	0
Precinct 9746 - Election Day	1	1	1	0	19	0	0	0	4	0	0	0	0	0	0	0	0	10	37	2	10	0	1	0	2	98	1	0	0	0	0	0	867	192	0	2	3	187	0
Precinct 9746 - Vote By Mail	0	0	0	0	34	0	0	0	14	0	0	1	0	0	0	3	0	29	43	8	21	0	0	0	0	170	1	0	0	0	0	0	867	334	0	4	6	324	0
Precinct 9747 - Election Day	0	0	1	0	23	0	0	0	6	0	0	0	0	1	1	0	0	8	9	3	19	0	0	0	0	121	0	0	0	0	0	0	940	198	0	1	5	192	0
Precinct 9747 - Vote By Mail	0	0	0	2	25	0	0	0	13	0	0	1	0	1	0	0	0	26	28	0	27	0	0	0	0	183	3	0	0	0	0	0	940	323	0	5	9	309	0
Precinct 9748 - Election Day	1	0	0	0	17	0	0	0	4	1	0	0	0	0	0	0	0	18	16	2	13	0	0	0	0	84	3	0	0	0	0	0	913	164	0	0	3	161	2
Precinct 9748 - Vote By Mail	0	0	0	1	18	2	0	3	8	0	0	0	0	0	1	2	0	32	36	6	26	0	0	0	0	191	4	0	0	0	0	0	913	342	0	8	4	330	0
Precinct 9749 - Election Day	2	0	2	1	8	0	0	0	5	0	0	0	1	1	1	0	0	15	9	1	17	0	0	0	0	68	0	0	0	0	0	0	893	143	0	3	9	131	0
Precinct 9749 - Vote By Mail	0	0	2	0	19	0	0	0	5	0	0	0	0	2	0	0	1	38	14	5	25	0	0	0	0	133	5	0	0	0	0	0	893	266	0	11	6	249	0
Precinct 9751 - Election Day	0	2	1	1	12	0	0	0	0	1	0	0	0	0	1	1	0	4	20	2	14	0	0	0	1	88	1	0	0	0	0	0	977	157	0	3	5	149	0
Precinct 9751 - Vote By Mail	0	2	0	4	45	1	0	0	12	0	1	0	0	0	1	0	0	33	30	7	22	0	0	0	0	207	4	0	0	0	0	0	977	384	0	9	5	370	1
Precinct 9752 - Election Day	1	0	2	0	14	0	0	0	4	0	0	2	0	0	0	0	0	12	14	1	8	0	0	0	0	79	1	0	0	0	0	0	692	143	0	2	3	138	0
Precinct 9752 - Vote By Mail	2	0	1	1	31	0	0	0	3	0	0	0	0	1	0	0	1	19	27	1	34	0	0	0	1	168	1	0	0	0	0	0	692	305	0	5	8	292	1
Precinct 9753 - Election Day	0	0	1	0	11	0	0	0	2	0	0	0	0	0	0	0	0	15	7	2	18	0	2	0	0	88	0	0	0	0	0	0	735	148	0	1	0	147	1
Precinct 9753 - Vote By Mail	0	1	1	0	27	0	0	0	6	0	0	0	0	1	0	0	1	20	19	6	35	0	2	0	3	132	1	0	0	0	0	0	735	266	0	8	3	255	0
Precinct 9754 - Election Day	3	0	0	0	20	0	0	0	3	0	0	0	0	0	0	1	1	12	10	0	22	0	0	0	0	94	0	0	0	0	0	0	701	169	0	1	2	166	0
Precinct 9754 - Vote By Mail	0	1	2	0	25	0	0	0	2	1	0	0	1	2	0	0	0	16	19	2	36	0	0	0	1	177	0	0	0	0	0	0	701	296	0	7	4	285	0
Precinct 9755 - Election Day	0	1	0	0	13	0	0	0	3	0	0	0	1	0	0	0	0	9	4	0	15	0	0	0	0	72	1	0	0	0	0	0	553	120	0	0	1	119	0
Precinct 9755 - Vote By Mail	0	0	0	1	25	1	0	0	8	0	0	0	0	1	2	0	0	18	15	1	16	0	1	0	0	104	0	0	0	0	0	0	553	201	0	2	6	193	0
Precinct 9756 - Election Day	1	0	0	0	8	0	1	0	5	0	0	1	0	0	0	0	0	14	9	1	11	0	0	0	0	72	0	0	0	0	0	0	908	126	0	0	3	123	0
Precinct 9756 - Vote By Mail	1	0	2	3	14	2	0	0	23	0	0	0	0	0	1	0	0	37	29	2	19	2	1	0	0	149	1	0	0	0	0	0	908	297	0	6	5	286	0
Precinct 9801 - Election Day	0	0	0	0	8	1	1	0	2	0	0	2	0	0	0	0	0	4	8	0	13	0	0	0	0	34	2	0	0	0	0	0	399	76	0	1	0	75	0
Precinct 9801 - Vote By Mail	0	0	4	0	17	0	0	0	5	0	0	1	0	0	1	0	0	16	5	7	10	0	1	0	0	73	0	0	0	0	0	0	399	148	0	7	1	140	0
Congressional District 12	751	236	724	428	19,710	144	116	32	4,352	178	47	235	72	573	517	267	522	19,087	13,218	2,786	26,090	129	169	173	286	125,447	582	0	24	0	0	1	426,647	225,360	0	3,570	4,705	217,085	189
Congressional District 14	73	31	97	122	2,501	28	24	6	975	28	9	31	15	59	35	33	21	2,624	2,759	349	2,150	24	19	21	50	14,817	119	0	1	0	0	0	55,344	28,223	0	604	567	27,052	31
Assembly District 17	452	141	525	192	13,447	89	70	19	2,357	126	27	143	44	380	320	186	488	11,791	6,540	1,695	18,146	80	115	98	174	83,520	288	0	17	0	0	0	280,269	147,301	0	2,580	3,142	141,579	109
Assembly District 19	372	126	296	358	8,764	83	70	19	2,970	80	29	123	43	252	232	114	55	9,920	9,437	1,440	10,094	73	73	96	162	56,744	413	0	8	0	0	1	201,722	106,282	0	1,594	2,130	102,558	111
BART District 7	23	18	52	39	1,270	12	5	5	385	18	1	13	6	33	44	15	82	1,493	727	220	1,065	14	13	16	22	8,901	30	0	0	0	0	0	36,166	15,261	0	378	345	14,538	16
BART District 8	366	124	283	377	9,122	90	64	19	3,263	76	33	127	42	264	233	111	129	11,280	10,205	1,457	9,587	80	92	94	170	59,662	425	0	12	0	0	0	215,670	112,119	0	1,814	2,405	107,900	113
BART District 9	435	125	486	134	11,819	70	71	14	1,679	112	22	126	39	335	275	174	332	8,938	5,045	1,458	17,588	59	83	84	144	71,701	246	0	13	0	0	1	230,155	126,203	0	1,982	2,522	121,699	91
Supervisorial District 1	93	28	68	52	1,629	19	12	4	488	11	6	34	8	50	51	17	4	2,295	1,691	295	2,805	15	18	31	25	11,802	75	0	2	0	0	0	40,919	22,431	0	344	432	21,655	27
Supervisorial District 2	49	24	29	33	2,623	17	12	3	485	15	3	26	3	59	71	17	23	1,293	2,439	390	1,601	5	19	11	23	14,418	89	0	1	0	0	0	48,242	24,389	0	198	393	23,798	17
Supervisorial District 3	62	18	47	28	1,536	11	12	0	399	10	4	16	6	46	42	22	72	2,178	1,273	236	1,626	13	20	8	25	9,878	36	0	5	0	0	0	38,273	18,567	0	372	553	17,642	13
Supervisorial District 4	103	23	58	130	1,304	16	16	6	868	16	7	22	16	59	45	34	14	2,893	2,162	293	2,103	25	17	23	45	10,717	105	0	4	0	0	0	41,216	21,994	0	316	527	21,151	27
Supervisorial District 5	112	37	94	31	2,510	12	22	2	251	28	3	31	9	86	71	47	60	1,771	895	377	4,276	13	26	21	33	16,742	66	0	0	0	0	1	52,114	28,694	0	433	610	27,651	24
Supervisorial District 6	53	30	82	25	1,354	13	12	5	314	19	5	29	9	51	60	21	83	1,543	926	293	1,601	10	12	19	18	9,977	45	0	2	0	0	0	41,151	17,498	0	428	443	16,627	16
Supervisorial District 7	74	24	77	70	2,242	27	7	5	678	22	13	22	8	56	46	23	26	2,301	2,719	290	2,179	17	20	20	43	14,336	93	0	3	0	0	0	46,301	26,230	0	316	451	25,463	22
Supervisorial District 8	108	18	96	18	3,384	12	11	6	287	28	6	34	7	87	79	32	74	2,006	1,149	338	4,911	7	11	14	33	22,303	44	0	3	0	0	0	56,415	36,015	0	298	587	35,130	24
Supervisorial District 9	72	25	122	26	2,475	13	8	4	352	16	3	22	7	62	36	37	55	1,681	744	234	4,141	8	16	16	33	11,372	37	0	5	0	0	0	41,665	22,565	0	469	455	21,641	19
Supervisorial District 10	49	21	56	52	1,548	17	7	1	508	25	3	16	6	37	34	26	94	1,855	739	173	1,504	17	20	16	27	10,116	37	0	0	0	0	0	39,848	17,900	0	463	417	17,020	16
Supervisorial District 11	49	19	92	85	1,606	15	21	2	697	16	3	14	8	39	17	24	38	1,895	1,240	216	1,493	23	9	15	31	8,603	74	0	0	0	0	0	35,847	17,300	0	537	404	16,359	15
Bayview/Hunters Point	15	8	37	32	640	7	3	1	257	17	0	5	5	12	11	7	56	857	279	73	459	11	9	8	19	4,539	14	0	0	0	0	0	19,131	7,881	0	293	199	7,389	8
Chinatown	24	7	10	19	585	4	4	0	174	1	2	5	4	15	16	11	31	1,122	529	84	625	4	9	5	9	4,281	15	0	1	0	0	0	16,742	8,038	0	169	268	7,601	5
Civic Center/Downtown	60	16	71	12	987	7	7	1	239	19	6	19	7	37	28	17	59	1,152	696	179	1,226	14	15	10	14	6,580	30	0	5	0	0	0	27,631	12,231	0	323	380	11,528	15
Diamond Heights	12	0	11	5	401	1	0	0	56	3	0	4	2	11	4	5	16	320	245	44	387	3	4	5	10	2,799	6	0	1	0	0	0	6,857	4,487	0	58	69	4,360	5
Excelsior	37	12	80	55	1,209	12	21	2	511	9	2	11	7	22	13	18	29	1,446	1,008	156	1,139	23	9	9	21	6,294	64	0	0	0	0	0	26,541	12,895	0	399	269	12,227	8
Haight Ashbury	34	6	32	4	750	4	4	2	55	9	0	7	3	28	14	13	17	439	173	105	1,442	1	7	3	9	4,997	19	0	0	0	0	0	14,552	8,410	0	70	156	8,184	7
Ingleside	16	7	22	34	471	6	2	0	231	7	1	7	2	20	7	6	10	573	306	76	449	2	2	6	10	2,838	18	0	0	0	0	0	11,506	5,461	0	166	159	5,136	7
Inner Sunset	26	13	21	13	483	2	8	0	62	4	2	8	2	12	19	9	3	366	249	82	851	2	3	8	6	3,007	15	0	0	0	0	0	9,393	5,438	0	58	100	5,280	4
Lake Merced	12	3	10	15	260	3	2	0	113	8	2	6	2	4	3	4	3	327	447	56	270	1	4	4	7	1,709	18	0	1	0	0	0	8,641	3,424	0	51	76	3,297	3
Laurel Heights/Anza Vista	16	5	9	3	438	2	2	0	70	5	0	9	2	8	14	6	1	348	321	92	600	0	5	5	3	2,899	15	0	0	0	0	1	9,744	5,037	0	59	96	4,882	3
Marina Pacific Heights	43	23	20	27	2,022	19	10	2	379	10	2	20	2	58	59	12	25	973	1,947	322	1,190	6	15	10	17	11,289	70	0	1	0	0	0	38,757	19,070	0	165	317	18,588	15
Mission	63	18	98	12	1,915	6	8	1	144	15	4	15	3	61	33	30	43	996	377	193	3,385	7	12	7	24	7,994	22	0	4	0	0	0	30,096	16,088	0	278	304	15,506	16
Noe Valley	32	2	19	8	970	3	3	3	89	9	1	13	2	25	25	7	17	624	362	92	1,429	2	1	5	8	6,566	13	0	1	0	0	0	16,415	10,584	0	63	182	10,339	8
North Bernal Heights	16	7	30	1	559	0	0	1	34	4	0	1	2	13	9	3	9	268	111	54	1,123	2	6	3	5	3,060	7	0	0	0	0	0	8,622	5,494	0	58	105	5,331	3
North Embarcadero	13	5	8	4	335	2	1	0	78	1	0	1	0	8	7	4	17	346	290	46	281	2	1	1	9	1,972	7	0	1	0	0	0	6,827	3,580	0	75	65	3,440	0
Portola	8	4	15	18	354	6	2	1	203	2	0	1	2	8	5	4	9	644	344	36	330	1	0	6	10	2,142	14	0	0	0	0	0	8,914	4,445	0	158	115	4,172	3
Potrero Hill	22	10	13	8	768	6	4	0	103	6	1	13	1	23	25	15	29	631	315	106	973	4	1	6	6	4,600	11	0	0	0	0	0	15,511	7,917	0	52	159	7,706	6
Richmond	79	24	63	51	1,404	16	11	4	453	9	6	28	6	42	43	16	3	2,075	1,498	248	2,485	15	14	23	25	10,279	70	0	2	0	0	0	35,688	19,724	0	312	396	19,016	24
Sea Cliff/Presidio Heights	10	3	10	4	517	2	0	1	83	3	1	4	1	8	10	3	3	322	458	46	301	0	5	6	5	2,674	15	0	0	0	0	0	7,813	4,593	0	38	57	4,498	3
South of Bernal Heights	17	0	23	1	554	5	1	2	66	5	1	10	1	10	8	11	12	323	180	49	872	2	2	2	9	3,118	5	0	1	0	0	0	9,230	5,452	0	66	93	5,293	3
South of Market	15	17	32	14	800	9	10	4	183	8	1	14	3	30	44	9	37	877	590	177	914	2	7	9	6	5,738	24	0	0	0	0	0	23,278	10,026	0	209	236	9,581	7
Sunset	101	23	58	129	1,275	16	14	6	863	16	7	22	16	59	43	34	14	2,865	2,142	288	2,055	25	17	22	44	10,562	103	0	4	0	0	0	40,651	21,684	0	312	522	20,850	27
Upper Market/Eureka Valley	37	11	23	3	1,094	3	5	2	65	4	3	11	3	20	30	9	22	583	296	95	1,515	1	4	7	5	7,980	13	0	2	0	0	0	18,424	12,111	0	79	180	11,852	6
Visitation Valley	10	6	8	15	224	6	1	0	161	2	2	3	0	7	4	5	18	479	202	27	127	3	10	3	4	1,663	15	0	0	0	0	0	7,867	3,226	0	131	87	3,008	3
West of Twin Peaks	52	20	56	44	1,843	21	4	5	515	13	11	14	5	44	40	16	21	1,784	2,136	214	1,660	10	10	12	33	11,574	67	0	1	0	0	0	33,960	20,797	0	235	318	20,244	19
Western Addition	54	17	42	19	1,353	4	13	0	140	17	1	15	4	47	38	26	39	971	476	195	2,152	10	16	9	18	9,110	31	0	0	0	0	0	29,200	15,490	0	297	364	14,829	12
