Subtotal Area	DAVID CHIU	ALEJANDRO FERNANDEZ	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted	Writein Votes
All Precincts	93,212	20,639	280,269	147,301	86	58	32,145	115,012	1,161
All Precincts - Election Day	31,164	8,394	280,269	52,419	-57	11	12,393	40,072	514
All Precincts - Vote By Mail	62,048	12,245	280,269	94,882	143	47	19,752	74,940	647
Precinct 1141 - Election Day	80	34	998	149	0	0	34	115	1
Precinct 1141 - Vote By Mail	216	73	998	368	0	0	75	293	4
Precinct 1142 - Election Day	71	26	822	120	0	0	22	98	1
Precinct 1142 - Vote By Mail	153	59	822	266	1	0	51	214	2
Precinct 1143 - Election Day	65	48	989	147	-1	0	34	114	1
Precinct 1143 - Vote By Mail	154	73	989	311	0	1	79	231	4
Precinct 1144 - Election Day	63	45	870	148	-1	1	38	110	2
Precinct 1144 - Vote By Mail	155	52	870	264	-2	0	46	220	13
Precinct 1145 - Election Day	79	20	879	136	1	0	36	99	0
Precinct 1145 - Vote By Mail	227	65	879	370	0	0	74	296	4
Precinct 1146 - Election Day	59	23	971	124	1	0	37	86	4
Precinct 1146 - Vote By Mail	216	66	971	326	0	1	41	284	2
Precinct 1147 - Election Day	86	40	853	166	1	0	38	127	1
Precinct 1147 - Vote By Mail	168	53	853	279	-1	0	58	222	1
Precinct 1148 - Election Day	59	35	918	121	0	0	26	95	1
Precinct 1148 - Vote By Mail	204	48	918	314	1	0	61	252	0
Precinct 1149 - Election Day	70	48	873	148	-2	0	30	120	2
Precinct 1149 - Vote By Mail	184	46	873	285	0	0	54	231	1
Precinct 1152 - Election Day	65	21	838	125	-1	0	35	91	5
Precinct 1152 - Vote By Mail	168	50	838	286	1	0	63	222	4
Precinct 1153 - Election Day	74	28	909	139	0	0	34	105	3
Precinct 1153 - Vote By Mail	189	66	909	306	0	0	51	255	0
Precinct 7001 - Election Day	63	18	735	119	-2	0	40	81	0
Precinct 7001 - Vote By Mail	172	30	735	266	6	0	58	202	0
Precinct 7002 - Election Day	85	19	641	132	1	0	26	105	1
Precinct 7002 - Vote By Mail	117	27	641	173	0	0	28	145	1
Precinct 7003 - Election Day	119	28	864	188	-1	0	38	151	4
Precinct 7003 - Vote By Mail	227	35	864	340	1	0	73	266	4
Precinct 7004 - Election Day	125	11	835	175	-1	0	39	137	1
Precinct 7004 - Vote By Mail	201	29	835	306	6	0	68	232	2
Precinct 7005 - Election Day	121	24	812	180	-1	0	34	147	2
Precinct 7005 - Vote By Mail	209	28	812	295	2	0	56	237	0
Precinct 7006 - Election Day	124	32	884	213	-1	0	56	158	2
Precinct 7006 - Vote By Mail	172	47	884	290	1	0	64	225	6
Precinct 7007 - Election Day	157	33	916	233	-4	0	45	192	2
Precinct 7007 - Vote By Mail	225	30	916	323	2	0	65	256	1
Precinct 7008 - Election Day	114	28	861	187	0	0	44	143	1
Precinct 7008 - Vote By Mail	224	37	861	345	0	0	83	262	1
Precinct 7009 - Election Day	74	27	864	133	-1	0	31	103	2
Precinct 7009 - Vote By Mail	209	33	864	312	-2	0	71	243	1
Precinct 7011 - Election Day	89	22	976	141	0	0	27	114	3
Precinct 7011 - Vote By Mail	139	26	976	205	1	0	39	165	0
Precinct 7012 - Election Day	134	42	1,061	224	0	0	44	180	4
Precinct 7012 - Vote By Mail	262	41	1,061	383	0	0	79	304	1
Precinct 7013 - Election Day	87	17	805	132	0	0	25	107	3
Precinct 7013 - Vote By Mail	179	28	805	251	2	0	41	208	1
Precinct 7014 - Election Day	116	27	1,213	188	-2	0	45	145	2
Precinct 7014 - Vote By Mail	308	35	1,213	434	-1	0	89	346	3
Precinct 7015 MB - Vote By Mail	21	6	93	34	0	0	7	27	0
Precinct 7016 - Election Day	51	27	891	112	2	0	31	79	1
Precinct 7016 - Vote By Mail	132	41	891	221	2	0	44	175	2
Precinct 7017 - Election Day	39	15	734	79	0	0	25	54	0
Precinct 7017 - Vote By Mail	108	28	734	167	1	0	30	136	0
Precinct 7018 - Election Day	48	21	908	88	-1	0	20	69	0
Precinct 7018 - Vote By Mail	239	37	908	343	5	1	59	278	2
Precinct 7019 - Election Day	60	23	864	111	2	0	25	84	1
Precinct 7019 - Vote By Mail	246	60	864	349	-1	0	42	308	2
Precinct 7021 - Election Day	58	40	927	129	0	0	30	99	1
Precinct 7021 - Vote By Mail	141	34	927	220	-1	0	46	175	0
Precinct 7022 - Election Day	101	31	923	164	-1	0	33	132	0
Precinct 7022 - Vote By Mail	180	37	923	270	2	0	48	220	3
Precinct 7023 - Election Day	80	18	906	131	-1	0	32	100	2
Precinct 7023 - Vote By Mail	204	37	906	301	-3	0	62	242	1
Precinct 7024 - Election Day	11	6	386	30	0	0	10	20	3
Precinct 7024 - Vote By Mail	29	11	386	47	1	0	6	40	0
Precinct 7025 - Election Day	28	23	448	66	1	0	14	51	0
Precinct 7025 - Vote By Mail	51	14	448	78	2	0	10	66	1
Precinct 7026 - Election Day	47	21	971	90	-1	0	22	69	1
Precinct 7026 - Vote By Mail	239	50	971	350	8	0	53	289	0
Precinct 7027 - Election Day	69	22	845	136	2	0	41	93	2
Precinct 7027 - Vote By Mail	163	48	845	271	2	0	58	211	0
Precinct 7028 - Election Day	95	31	835	157	-1	0	32	126	0
Precinct 7028 - Vote By Mail	108	30	835	180	0	0	39	141	3
Precinct 7029 - Election Day	55	36	855	115	1	0	23	91	0
Precinct 7029 - Vote By Mail	102	25	855	166	2	2	34	128	1
Precinct 7030 - Election Day	59	14	729	94	0	0	20	74	1
Precinct 7030 - Vote By Mail	166	52	729	277	0	0	59	218	0
Precinct 7031 - Election Day	27	12	611	50	0	0	10	40	1
Precinct 7031 - Vote By Mail	146	39	611	224	0	0	38	186	1
Precinct 7032 - Election Day	58	29	867	126	-2	0	38	90	3
Precinct 7032 - Vote By Mail	142	48	867	238	1	0	46	191	1
Precinct 7033 - Election Day	60	38	765	135	0	0	35	100	2
Precinct 7033 - Vote By Mail	120	32	765	181	0	0	28	153	1
Precinct 7034 - Election Day	57	14	914	97	0	0	26	71	0
Precinct 7034 - Vote By Mail	100	28	914	154	-1	0	26	129	1
Precinct 7035 - Election Day	43	16	553	73	-1	0	15	59	0
Precinct 7035 - Vote By Mail	110	22	553	170	1	0	34	135	3
Precinct 7036 - Election Day	28	16	898	52	0	0	8	44	0
Precinct 7036 - Vote By Mail	146	64	898	265	0	0	50	215	5
Precinct 7037 - Election Day	39	10	730	73	0	0	23	50	1
Precinct 7037 - Vote By Mail	39	15	730	64	1	0	9	54	0
Precinct 7038 - Election Day	44	22	880	84	0	0	16	68	2
Precinct 7038 - Vote By Mail	179	39	880	255	0	1	33	221	3
Precinct 7039 - Election Day	64	28	768	111	0	0	19	92	0
Precinct 7039 - Vote By Mail	132	36	768	225	3	0	50	172	4
Precinct 7041 MB - Vote By Mail	14	4	60	24	1	0	5	18	0
Precinct 7042 - Election Day	48	11	632	75	0	0	13	62	3
Precinct 7042 - Vote By Mail	117	30	632	191	0	0	41	150	3
Precinct 7043 - Election Day	46	27	915	97	0	0	24	73	0
Precinct 7043 - Vote By Mail	186	47	915	282	0	1	48	233	0
Precinct 7044 - Election Day	38	18	805	86	-1	0	29	58	2
Precinct 7044 - Vote By Mail	69	28	805	125	-1	1	27	98	1
Precinct 7045 - Election Day	44	19	763	87	0	0	21	66	3
Precinct 7045 - Vote By Mail	165	50	763	282	1	0	63	218	3
Precinct 7046 - Election Day	26	17	385	54	0	0	10	44	1
Precinct 7046 - Vote By Mail	89	26	385	136	-1	1	20	116	1
Precinct 7047 - Election Day	43	11	781	68	-1	0	15	54	0
Precinct 7047 - Vote By Mail	189	60	781	298	2	0	46	250	1
Precinct 7048 - Election Day	54	22	815	94	0	0	17	77	1
Precinct 7048 - Vote By Mail	163	34	815	248	1	0	47	200	3
Precinct 7049 - Election Day	55	23	751	108	0	0	29	79	1
Precinct 7049 - Vote By Mail	141	52	751	241	0	0	48	193	0
Precinct 7051 - Election Day	41	18	839	70	-1	0	11	60	1
Precinct 7051 - Vote By Mail	187	54	839	302	2	0	54	246	5
Precinct 7052 - Election Day	78	19	806	120	-1	0	24	97	0
Precinct 7052 - Vote By Mail	180	43	806	278	1	0	54	223	0
Precinct 7053 - Election Day	29	5	548	44	0	0	10	34	0
Precinct 7053 - Vote By Mail	149	17	548	205	3	0	36	166	0
Precinct 7054 - Election Day	76	31	1,024	141	0	0	31	110	3
Precinct 7054 - Vote By Mail	170	55	1,024	275	1	0	47	227	2
Precinct 7055 - Election Day	48	6	699	83	-1	0	29	55	1
Precinct 7055 - Vote By Mail	173	26	699	256	2	0	53	201	2
Precinct 7101 MB - Vote By Mail	69	6	141	83	0	0	7	76	1
Precinct 7201 - Election Day	84	21	900	147	0	0	41	106	1
Precinct 7201 - Vote By Mail	206	37	900	333	0	0	88	245	2
Precinct 7202 - Election Day	88	13	830	138	-1	0	37	102	1
Precinct 7202 - Vote By Mail	165	41	830	271	-2	0	66	207	1
Precinct 7203 - Election Day	104	27	867	174	0	0	42	132	1
Precinct 7203 - Vote By Mail	158	28	867	243	1	0	53	189	3
Precinct 7204 - Election Day	89	26	888	157	0	0	41	116	1
Precinct 7204 - Vote By Mail	227	41	888	340	2	0	67	271	3
Precinct 7205 - Election Day	124	18	847	183	0	0	40	143	1
Precinct 7205 - Vote By Mail	202	38	847	309	0	0	68	241	1
Precinct 7206 - Election Day	54	11	375	88	0	0	21	67	2
Precinct 7206 - Vote By Mail	81	13	375	124	1	0	29	94	0
Precinct 7207 - Election Day	66	16	744	119	0	0	34	85	3
Precinct 7207 - Vote By Mail	135	39	744	231	2	0	53	176	2
Precinct 7208 - Election Day	40	18	567	76	0	0	18	58	0
Precinct 7208 - Vote By Mail	130	32	567	206	1	0	42	163	1
Precinct 7209 - Election Day	54	2	586	69	0	0	13	56	0
Precinct 7209 - Vote By Mail	232	23	586	326	3	0	67	256	1
Precinct 7301 - Election Day	85	28	1,002	150	0	0	35	115	2
Precinct 7301 - Vote By Mail	194	40	1,002	299	3	0	60	236	2
Precinct 7302 - Election Day	66	28	806	121	0	0	27	94	0
Precinct 7302 - Vote By Mail	234	44	806	352	0	0	73	279	1
Precinct 7303 - Election Day	109	19	986	167	-1	0	40	128	0
Precinct 7303 - Vote By Mail	221	43	986	318	1	0	51	266	2
Precinct 7304 - Election Day	137	32	972	203	1	0	32	170	1
Precinct 7304 - Vote By Mail	232	36	972	330	0	0	61	269	1
Precinct 7305 - Election Day	96	36	851	171	0	0	38	133	1
Precinct 7305 - Vote By Mail	201	46	851	306	-1	1	54	252	5
Precinct 7306 - Election Day	99	28	1,014	179	0	0	51	128	1
Precinct 7306 - Vote By Mail	184	45	1,014	302	-2	0	74	230	1
Precinct 7307 - Election Day	93	21	726	143	0	0	29	114	0
Precinct 7307 - Vote By Mail	147	26	726	226	2	0	51	173	0
Precinct 7308 - Election Day	88	23	598	133	0	0	22	111	0
Precinct 7308 - Vote By Mail	142	24	598	204	-1	0	38	167	1
Precinct 7309 - Election Day	95	22	826	160	-2	0	43	119	2
Precinct 7309 - Vote By Mail	124	24	826	209	0	0	60	149	1
Precinct 7311 - Election Day	109	25	901	175	-1	0	41	135	1
Precinct 7311 - Vote By Mail	191	22	901	266	0	0	53	213	0
Precinct 7312 - Election Day	83	16	810	128	0	0	28	100	1
Precinct 7312 - Vote By Mail	228	34	810	332	3	0	65	264	2
Precinct 7313 - Election Day	87	24	925	135	0	0	23	112	1
Precinct 7313 - Vote By Mail	227	37	925	315	-1	1	50	265	1
Precinct 7314 - Election Day	40	20	760	92	0	0	30	62	2
Precinct 7314 - Vote By Mail	135	16	760	213	-1	0	63	151	0
Precinct 7315 - Election Day	66	29	725	119	0	0	23	96	1
Precinct 7315 - Vote By Mail	119	25	725	178	1	0	33	144	0
Precinct 7316 - Election Day	82	13	824	122	0	0	25	97	2
Precinct 7316 - Vote By Mail	173	36	824	266	0	0	56	210	1
Precinct 7317 - Election Day	71	18	886	117	0	0	28	89	0
Precinct 7317 - Vote By Mail	222	48	886	340	2	0	66	272	2
Precinct 7318 - Election Day	67	20	709	123	0	0	35	88	1
Precinct 7318 - Vote By Mail	174	24	709	243	-2	0	47	198	0
Precinct 7319 - Election Day	113	27	1,035	182	0	0	40	142	2
Precinct 7319 - Vote By Mail	191	39	1,035	296	0	0	64	232	2
Precinct 7321 - Election Day	57	11	644	100	0	0	32	68	0
Precinct 7321 - Vote By Mail	132	31	644	211	0	0	47	164	1
Precinct 7322 - Election Day	27	10	859	60	0	0	22	38	1
Precinct 7322 - Vote By Mail	215	21	859	304	-1	0	68	237	1
Precinct 7323 - Election Day	90	21	881	146	1	0	33	112	1
Precinct 7323 - Vote By Mail	169	33	881	273	0	0	69	204	2
Precinct 7324 - Election Day	77	18	687	125	0	0	29	96	1
Precinct 7324 - Vote By Mail	142	12	687	198	0	1	43	154	0
Precinct 7325 - Election Day	88	25	870	150	0	0	37	113	0
Precinct 7325 - Vote By Mail	186	33	870	276	0	0	55	221	2
Precinct 7326 - Election Day	100	14	853	150	1	0	35	114	0
Precinct 7326 - Vote By Mail	170	40	853	256	-1	0	47	210	0
Precinct 7327 - Election Day	33	11	684	62	0	0	18	44	0
Precinct 7327 - Vote By Mail	186	41	684	277	1	0	49	227	0
Precinct 7328 - Election Day	42	10	950	70	0	0	18	52	0
Precinct 7328 - Vote By Mail	254	31	950	391	0	1	103	287	2
Precinct 7329 - Election Day	41	8	610	71	-1	0	20	52	3
Precinct 7329 - Vote By Mail	146	20	610	205	-2	0	40	167	1
Precinct 7331 - Election Day	83	18	860	130	0	0	26	104	3
Precinct 7331 - Vote By Mail	244	40	860	357	-1	0	72	286	2
Precinct 7332 - Election Day	89	32	799	154	0	0	30	124	3
Precinct 7332 - Vote By Mail	133	30	799	209	0	0	43	166	3
Precinct 7333 - Election Day	102	31	974	174	1	0	39	134	1
Precinct 7333 - Vote By Mail	209	37	974	323	0	0	75	248	2
Precinct 7334 - Election Day	70	11	854	113	0	0	31	82	1
Precinct 7334 - Vote By Mail	184	34	854	275	-2	0	59	218	0
Precinct 7335 - Election Day	88	20	936	144	0	1	34	109	1
Precinct 7335 - Vote By Mail	232	49	936	354	-2	0	73	283	2
Precinct 7336 - Election Day	101	19	920	155	2	0	32	121	1
Precinct 7336 - Vote By Mail	198	43	920	324	0	0	81	243	2
Precinct 7337 - Election Day	66	18	825	115	0	0	30	85	1
Precinct 7337 - Vote By Mail	211	29	825	305	0	0	62	243	3
Precinct 7338 - Election Day	66	8	884	100	1	0	25	74	0
Precinct 7338 - Vote By Mail	245	41	884	364	-3	0	79	288	2
Precinct 7339 - Election Day	60	17	618	111	-1	0	33	79	2
Precinct 7339 - Vote By Mail	118	26	618	181	1	0	33	147	3
Precinct 7341 - Election Day	70	24	877	124	0	0	28	96	2
Precinct 7341 - Vote By Mail	158	36	877	246	-2	0	52	196	2
Precinct 7342 - Election Day	146	32	911	234	3	1	51	179	1
Precinct 7342 - Vote By Mail	161	38	911	251	0	0	49	202	3
Precinct 7343 - Election Day	88	22	707	144	0	0	33	111	1
Precinct 7343 - Vote By Mail	119	26	707	186	3	0	38	145	0
Precinct 7344 - Election Day	112	28	1,039	179	-1	0	38	142	2
Precinct 7344 - Vote By Mail	215	51	1,039	334	-1	0	68	267	1
Precinct 7345 - Election Day	117	25	1,077	183	0	0	40	143	1
Precinct 7345 - Vote By Mail	172	41	1,077	283	2	0	65	216	3
Precinct 7346 - Election Day	98	33	877	168	1	0	35	132	1
Precinct 7346 - Vote By Mail	140	42	877	221	-1	1	38	183	1
Precinct 7347 - Election Day	78	28	968	137	0	0	28	109	3
Precinct 7347 - Vote By Mail	195	32	968	279	0	0	50	229	2
Precinct 7348 - Election Day	76	34	832	139	-1	0	26	114	4
Precinct 7348 - Vote By Mail	135	19	832	202	1	0	47	154	0
Precinct 7349 - Election Day	91	28	921	147	-1	1	27	120	1
Precinct 7349 - Vote By Mail	189	30	921	282	0	0	61	221	2
Precinct 7501 - Election Day	71	14	554	118	-1	0	33	86	1
Precinct 7501 - Vote By Mail	105	22	554	168	0	0	39	129	2
Precinct 7502 - Election Day	67	17	741	113	1	0	28	84	0
Precinct 7502 - Vote By Mail	214	45	741	349	-4	0	88	265	6
Precinct 7503 - Election Day	75	25	727	132	1	0	30	101	1
Precinct 7503 - Vote By Mail	151	20	727	226	2	1	52	171	0
Precinct 7504 - Election Day	47	8	484	76	0	0	21	55	0
Precinct 7504 - Vote By Mail	112	6	484	158	1	0	36	121	3
Precinct 7505 - Election Day	90	16	871	131	0	0	24	107	1
Precinct 7505 - Vote By Mail	288	29	871	417	1	0	95	321	4
Precinct 7506 - Election Day	68	26	920	133	1	0	38	94	0
Precinct 7506 - Vote By Mail	156	41	920	252	2	0	52	198	1
Precinct 7507 - Election Day	81	31	919	158	-1	0	45	114	2
Precinct 7507 - Vote By Mail	167	38	919	255	4	0	45	206	1
Precinct 7508 - Election Day	60	19	702	106	0	0	26	80	1
Precinct 7508 - Vote By Mail	211	44	702	340	0	0	81	259	4
Precinct 7509/7511 - Election Day	108	21	909	171	-2	0	42	131	2
Precinct 7509/7511 - Vote By Mail	213	53	909	319	0	0	51	268	2
Precinct 7512 - Election Day	52	19	604	96	2	0	23	71	0
Precinct 7512 - Vote By Mail	106	34	604	196	2	0	54	140	0
Precinct 7513 - Election Day	82	21	790	142	0	0	38	104	1
Precinct 7513 - Vote By Mail	121	43	790	208	0	0	42	166	2
Precinct 7514 - Election Day	41	23	863	95	-2	0	32	65	1
Precinct 7514 - Vote By Mail	140	44	863	235	2	1	48	184	0
Precinct 7515 - Election Day	88	25	845	150	0	0	36	114	1
Precinct 7515 - Vote By Mail	170	50	845	289	3	0	65	221	1
Precinct 7516 - Election Day	88	25	886	145	0	0	32	113	0
Precinct 7516 - Vote By Mail	253	47	886	378	0	0	76	302	2
Precinct 7517 - Election Day	132	31	863	228	-1	0	62	167	4
Precinct 7517 - Vote By Mail	161	26	863	251	0	0	61	190	3
Precinct 7518 - Election Day	132	44	939	235	0	0	57	178	2
Precinct 7518 - Vote By Mail	188	30	939	298	0	0	80	218	0
Precinct 7519 - Election Day	107	34	726	179	0	0	36	143	2
Precinct 7519 - Vote By Mail	117	21	726	185	1	0	46	138	0
Precinct 7521 - Election Day	129	31	802	211	0	0	50	161	1
Precinct 7521 - Vote By Mail	125	25	802	215	-1	1	64	151	1
Precinct 7522 - Election Day	105	25	743	175	-1	0	44	132	2
Precinct 7522 - Vote By Mail	164	19	743	240	-2	0	58	184	1
Precinct 7523 - Election Day	105	38	737	208	0	0	62	146	3
Precinct 7523 - Vote By Mail	149	27	737	223	-2	0	48	177	1
Precinct 7524 - Election Day	83	17	646	143	2	0	40	101	1
Precinct 7524 - Vote By Mail	105	27	646	165	1	0	30	134	2
Precinct 7525 - Election Day	76	24	779	145	-3	0	46	102	2
Precinct 7525 - Vote By Mail	138	25	779	214	4	0	45	165	2
Precinct 7526 - Election Day	123	30	947	197	1	0	42	154	1
Precinct 7526 - Vote By Mail	208	30	947	313	2	0	71	240	2
Precinct 7527/7528 - Election Day	89	24	729	162	0	0	49	113	0
Precinct 7527/7528 - Vote By Mail	141	36	729	237	4	0	55	178	1
Precinct 7529 - Election Day	124	32	925	214	-1	0	58	157	1
Precinct 7529 - Vote By Mail	182	37	925	300	2	0	78	220	1
Precinct 7531 - Election Day	119	23	847	179	0	0	37	142	0
Precinct 7531 - Vote By Mail	164	22	847	263	0	0	76	187	1
Precinct 7532 - Election Day	95	24	823	172	1	0	51	120	1
Precinct 7532 - Vote By Mail	146	32	823	226	0	0	46	180	2
Precinct 7533 - Election Day	168	39	951	268	-1	0	60	209	2
Precinct 7533 - Vote By Mail	178	44	951	297	0	0	70	227	5
Precinct 7534 - Election Day	144	38	883	241	0	0	57	184	2
Precinct 7534 - Vote By Mail	142	38	883	240	-1	0	61	180	0
Precinct 7535 - Election Day	111	30	743	201	0	0	59	142	1
Precinct 7535 - Vote By Mail	151	31	743	251	0	0	68	183	1
Precinct 7536 - Election Day	124	32	856	206	-1	0	50	157	1
Precinct 7536 - Vote By Mail	177	30	856	279	0	0	72	207	0
Precinct 7537 - Election Day	118	23	734	187	0	0	43	144	3
Precinct 7537 - Vote By Mail	131	29	734	225	1	0	61	163	3
Precinct 7538 - Election Day	128	26	757	223	0	0	65	158	4
Precinct 7538 - Vote By Mail	165	31	757	256	0	0	58	198	2
Precinct 7539 - Election Day	143	36	884	250	1	0	69	180	1
Precinct 7539 - Vote By Mail	185	32	884	286	-1	0	68	219	2
Precinct 7541 - Election Day	116	36	791	215	1	0	60	154	2
Precinct 7541 - Vote By Mail	171	23	791	245	1	0	48	196	2
Precinct 7542 - Election Day	104	28	787	183	0	0	50	133	1
Precinct 7542 - Vote By Mail	160	20	787	247	1	0	66	180	0
Precinct 7543 - Election Day	120	22	910	187	-2	0	44	145	3
Precinct 7543 - Vote By Mail	228	34	910	332	0	0	69	263	1
Precinct 7544 - Election Day	107	25	877	186	0	0	52	134	2
Precinct 7544 - Vote By Mail	199	49	877	331	-3	0	85	249	1
Precinct 7545 - Election Day	111	29	877	179	-1	0	40	140	0
Precinct 7545 - Vote By Mail	201	30	877	291	0	0	58	233	2
Precinct 7546 - Election Day	135	24	913	219	0	0	59	160	1
Precinct 7546 - Vote By Mail	210	31	913	310	1	0	68	241	0
Precinct 7547 - Election Day	150	30	987	244	-2	0	63	183	3
Precinct 7547 - Vote By Mail	189	32	987	322	5	0	93	224	3
Precinct 7548 - Election Day	151	31	1,054	236	1	0	50	185	3
Precinct 7548 - Vote By Mail	212	49	1,054	345	4	0	77	264	3
Precinct 7549 - Election Day	110	17	785	165	-2	0	39	128	1
Precinct 7549 - Vote By Mail	182	30	785	281	1	0	67	213	1
Precinct 7551 - Election Day	119	29	705	199	-1	0	52	148	0
Precinct 7551 - Vote By Mail	159	16	705	240	2	0	61	177	2
Precinct 7552 - Election Day	128	26	718	191	0	0	36	155	1
Precinct 7552 - Vote By Mail	157	27	718	232	0	0	48	184	0
Precinct 7553 MB - Vote By Mail	66	12	171	87	2	0	7	78	0
Precinct 7554 - Election Day	101	29	785	179	-1	0	48	132	2
Precinct 7554 - Vote By Mail	216	33	785	323	0	0	71	252	3
Precinct 7555 - Election Day	157	29	847	242	0	0	55	187	1
Precinct 7555 - Vote By Mail	210	25	847	304	1	0	66	237	2
Precinct 7556/7557 - Election Day	133	27	961	223	-3	0	66	160	0
Precinct 7556/7557 - Vote By Mail	317	24	961	422	1	0	80	341	0
Precinct 7601 - Election Day	70	29	744	128	-1	0	28	101	2
Precinct 7601 - Vote By Mail	108	25	744	185	3	0	45	137	4
Precinct 7602 - Election Day	86	29	880	147	-3	0	35	115	0
Precinct 7602 - Vote By Mail	154	32	880	243	3	1	50	189	3
Precinct 7603 - Election Day	89	23	826	152	1	0	38	113	1
Precinct 7603 - Vote By Mail	140	27	826	215	0	0	48	167	0
Precinct 7604 - Election Day	69	28	906	133	0	0	32	101	4
Precinct 7604 - Vote By Mail	138	45	906	233	-2	0	48	187	4
Precinct 7605 - Election Day	38	18	651	77	0	0	18	59	3
Precinct 7605 - Vote By Mail	100	21	651	155	3	0	29	123	2
Precinct 7606 - Election Day	77	21	895	127	1	0	27	99	1
Precinct 7606 - Vote By Mail	113	42	895	212	1	0	51	160	5
Precinct 7607 - Election Day	76	22	955	120	0	0	21	99	1
Precinct 7607 - Vote By Mail	165	41	955	265	-4	1	60	208	2
Precinct 7608 - Election Day	26	8	388	46	1	0	11	34	0
Precinct 7608 - Vote By Mail	85	15	388	119	-2	0	19	102	2
Precinct 7609 - Election Day	46	21	916	101	0	0	33	68	1
Precinct 7609 - Vote By Mail	190	36	916	297	2	1	66	228	2
Precinct 7611 - Election Day	42	13	756	76	0	0	20	56	1
Precinct 7611 - Vote By Mail	144	22	756	204	2	0	33	169	3
Precinct 7612 - Election Day	50	9	574	76	0	1	16	59	0
