Subtotal Area	DAVID CHIU	ALEJANDRO FERNANDEZ	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted	Writein Votes
Precinct 7709 - Vote By Mail	104	26	383	174	0	0	41	133	3
Precinct 7711 - Election Day	97	29	772	162	0	0	34	128	2
Precinct 7711 - Vote By Mail	248	31	772	344	0	0	61	283	4
Precinct 7712 - Election Day	73	27	524	131	0	0	31	100	0
Precinct 7712 - Vote By Mail	143	40	524	230	-1	0	44	187	4
Precinct 7801 - Election Day	145	34	970	230	1	0	49	180	1
Precinct 7801 - Vote By Mail	299	40	970	424	-2	0	84	342	3
Precinct 7802 - Election Day	136	20	762	205	-1	0	49	157	1
Precinct 7802 - Vote By Mail	216	34	762	313	2	0	61	250	0
Precinct 7803 - Election Day	90	16	823	143	0	0	37	106	0
Precinct 7803 - Vote By Mail	294	37	823	412	-1	0	81	332	1
Precinct 7804 - Election Day	156	30	891	236	0	0	46	190	4
Precinct 7804 - Vote By Mail	269	45	891	394	0	0	78	316	2
Precinct 7805 - Election Day	125	28	785	176	1	0	21	154	1
Precinct 7805 - Vote By Mail	225	39	785	348	-1	0	82	267	3
Precinct 7806 - Election Day	93	23	699	163	0	0	46	117	1
Precinct 7806 - Vote By Mail	191	24	699	283	3	0	64	216	1
Precinct 7807 - Election Day	137	36	796	228	2	0	51	175	2
Precinct 7807 - Vote By Mail	179	31	796	273	0	0	59	214	4
Precinct 7808 - Election Day	119	18	655	178	0	0	41	137	0
Precinct 7808 - Vote By Mail	155	21	655	243	0	0	65	178	2
Precinct 7809 - Election Day	98	22	742	160	-1	0	40	121	1
Precinct 7809 - Vote By Mail	182	23	742	267	0	0	62	205	0
Precinct 7811 - Election Day	117	31	726	186	-1	0	37	150	2
Precinct 7811 - Vote By Mail	162	27	726	243	1	0	48	194	5
Precinct 7812 - Election Day	128	27	843	207	0	0	52	155	0
Precinct 7812 - Vote By Mail	194	34	843	292	-2	1	62	231	3
Precinct 7813 - Election Day	152	31	988	251	-1	0	66	186	3
Precinct 7813 - Vote By Mail	241	39	988	362	1	0	80	281	1
Precinct 7814 - Election Day	89	34	892	173	-1	0	48	126	3
Precinct 7814 - Vote By Mail	135	40	892	223	1	1	44	177	2
Precinct 7815 - Election Day	113	29	914	178	-1	0	36	143	1
Precinct 7815 - Vote By Mail	294	37	914	407	0	0	75	332	1
Precinct 7816 - Election Day	134	24	858	202	1	0	40	161	3
Precinct 7816 - Vote By Mail	276	43	858	390	0	0	69	321	2
Precinct 7817 - Election Day	152	23	795	215	-1	0	39	177	2
Precinct 7817 - Vote By Mail	208	34	795	309	2	0	62	245	3
Precinct 7818 - Election Day	97	30	823	172	0	0	45	127	0
Precinct 7818 - Vote By Mail	233	25	823	335	0	0	76	259	1
Precinct 7819 - Election Day	98	25	760	169	0	0	44	125	2
Precinct 7819 - Vote By Mail	185	39	760	297	1	0	67	229	5
Precinct 7821 - Election Day	156	25	947	229	0	0	48	181	0
Precinct 7821 - Vote By Mail	303	44	947	439	0	0	90	349	2
Precinct 7822 - Election Day	156	43	927	244	0	0	44	200	1
Precinct 7822 - Vote By Mail	247	35	927	343	1	0	60	282	0
Precinct 7823 - Election Day	158	26	857	237	0	0	50	187	3
Precinct 7823 - Vote By Mail	246	46	857	347	1	0	53	293	1
Precinct 7824 - Election Day	102	19	756	170	0	0	46	124	3
Precinct 7824 - Vote By Mail	193	32	756	274	3	0	45	226	1
Precinct 7825 - Election Day	99	26	580	160	-1	0	36	125	0
Precinct 7825 - Vote By Mail	141	21	580	215	0	0	51	164	2
Precinct 7826 - Election Day	144	20	665	214	0	0	48	166	2
Precinct 7826 - Vote By Mail	121	18	665	194	-2	0	57	139	0
Precinct 7827 - Election Day	115	35	828	199	0	0	46	153	3
Precinct 7827 - Vote By Mail	137	39	828	252	0	0	65	187	11
Precinct 7828 - Election Day	130	31	976	205	2	0	40	163	2
Precinct 7828 - Vote By Mail	267	48	976	397	-1	0	80	318	3
Precinct 7829 - Election Day	129	25	882	199	0	0	45	154	0
Precinct 7829 - Vote By Mail	283	32	882	391	-1	0	76	316	1
Precinct 7831 - Election Day	134	21	828	202	1	0	46	155	0
Precinct 7831 - Vote By Mail	254	40	828	369	1	0	73	295	1
Precinct 7832 - Election Day	109	15	781	162	-1	0	37	126	2
Precinct 7832 - Vote By Mail	245	42	781	343	-1	0	56	288	1
Precinct 7833 - Election Day	108	22	745	182	-1	0	53	130	0
Precinct 7833 - Vote By Mail	180	29	745	271	0	0	59	212	3
Precinct 7834 - Election Day	130	28	836	225	-1	0	64	162	4
Precinct 7834 - Vote By Mail	184	36	836	288	-1	0	67	222	2
Precinct 7835 - Election Day	122	20	808	175	0	0	31	144	2
Precinct 7835 - Vote By Mail	237	49	808	338	-1	0	51	288	2
Precinct 7836 - Election Day	129	29	979	199	0	0	38	161	3
Precinct 7836 - Vote By Mail	295	41	979	421	0	0	78	343	7
Precinct 7837 - Election Day	165	17	883	237	1	0	51	185	3
Precinct 7837 - Vote By Mail	243	21	883	339	0	0	75	264	0
Precinct 7838 - Election Day	143	18	891	210	0	0	48	162	1
Precinct 7838 - Vote By Mail	303	36	891	413	1	0	73	339	0
Precinct 7839 - Election Day	108	19	830	172	-2	0	46	128	1
Precinct 7839 - Vote By Mail	277	32	830	389	1	0	79	309	0
Precinct 7841 - Election Day	154	23	898	240	0	0	61	179	2
Precinct 7841 - Vote By Mail	234	35	898	353	0	0	80	273	4
Precinct 7842 - Election Day	129	35	873	214	0	0	48	166	2
Precinct 7842 - Vote By Mail	187	42	873	308	2	0	75	231	2
Precinct 7843 - Election Day	113	26	751	182	-1	0	40	143	4
Precinct 7843 - Vote By Mail	174	26	751	267	0	0	64	203	3
Precinct 7844 - Election Day	90	20	635	160	1	0	48	111	1
Precinct 7844 - Vote By Mail	156	28	635	245	-1	0	59	187	3
Precinct 7845 - Election Day	131	19	803	202	-1	0	53	150	0
Precinct 7845 - Vote By Mail	244	21	803	314	-1	0	49	266	1
Precinct 7846 - Election Day	134	26	871	221	-1	0	60	162	2
Precinct 7846 - Vote By Mail	225	32	871	330	3	0	69	258	1
Precinct 7847 - Election Day	133	24	878	207	0	0	47	160	3
Precinct 7847 - Vote By Mail	249	29	878	358	-2	0	81	279	1
Precinct 7848 - Election Day	147	16	838	209	-2	0	47	164	1
Precinct 7848 - Vote By Mail	239	28	838	346	-2	2	78	268	1
Precinct 7849 - Election Day	148	27	904	237	-1	0	60	178	3
Precinct 7849 - Vote By Mail	253	30	904	353	0	0	68	285	2
Precinct 7851 - Election Day	81	4	493	118	0	0	31	87	2
Precinct 7851 - Vote By Mail	153	17	493	204	0	0	33	171	1
Precinct 7852 - Election Day	72	16	634	104	0	0	15	89	1
Precinct 7852 - Vote By Mail	220	38	634	303	0	0	41	262	4
Precinct 7853 - Election Day	125	17	837	180	0	0	37	143	1
Precinct 7853 - Vote By Mail	234	41	837	333	0	0	58	275	0
Precinct 7854 - Election Day	121	27	874	216	0	0	67	149	1
Precinct 7854 - Vote By Mail	240	31	874	346	0	0	75	271	0
Precinct 7855 - Election Day	172	35	949	259	0	0	51	208	1
Precinct 7855 - Vote By Mail	237	30	949	359	-2	0	94	267	0
Precinct 7856 - Election Day	127	30	790	204	1	0	46	157	0
Precinct 7856 - Vote By Mail	240	21	790	312	-1	1	50	262	1
Precinct 7857 - Election Day	135	32	913	226	0	0	57	169	2
Precinct 7857 - Vote By Mail	202	54	913	350	0	0	92	258	2
Precinct 7858 - Election Day	109	32	743	192	0	0	49	143	2
Precinct 7858 - Vote By Mail	175	33	743	252	1	0	41	210	2
Precinct 7859 - Election Day	163	14	879	219	0	0	41	178	1
Precinct 7859 - Vote By Mail	228	35	879	352	0	0	89	263	0
Precinct 7861 - Election Day	121	23	835	184	0	0	38	146	2
Precinct 7861 - Vote By Mail	249	48	835	367	0	0	70	297	0
Precinct 7862 - Election Day	150	33	850	237	0	0	52	185	2
Precinct 7862 - Vote By Mail	225	29	850	323	-1	0	66	258	4
Precinct 7863 - Election Day	154	31	870	237	0	0	50	187	2
Precinct 7863 - Vote By Mail	202	30	870	302	0	0	67	235	3
Precinct 7864 - Election Day	104	41	773	188	0	0	42	146	1
Precinct 7864 - Vote By Mail	188	33	773	284	-2	0	63	223	2
Precinct 7865 - Election Day	102	22	808	178	0	0	52	126	2
Precinct 7865 - Vote By Mail	203	41	808	310	0	0	66	244	0
Precinct 7866 - Election Day	129	18	816	184	0	0	36	148	1
Precinct 7866 - Vote By Mail	280	31	816	389	0	1	76	312	1
Precinct 7867 - Election Day	139	21	932	209	0	0	46	163	3
Precinct 7867 - Vote By Mail	268	48	932	385	3	0	64	318	2
Precinct 7868 - Election Day	141	30	860	218	0	0	46	172	1
Precinct 7868 - Vote By Mail	237	36	860	324	1	0	48	275	2
Precinct 7869 - Election Day	135	30	842	219	1	1	50	167	2
Precinct 7869 - Vote By Mail	260	35	842	376	-1	0	78	299	4
Precinct 7871 - Election Day	166	34	882	240	-3	2	40	201	1
Precinct 7871 - Vote By Mail	262	26	882	364	1	0	71	292	4
Precinct 7872 - Election Day	172	27	864	242	0	0	43	199	0
Precinct 7872 - Vote By Mail	249	43	864	369	0	0	72	297	5
Precinct 7873 - Election Day	150	33	841	231	0	0	48	183	0
Precinct 7873 - Vote By Mail	274	42	841	387	0	0	70	317	1
Precinct 7874 - Election Day	65	8	453	85	0	0	11	74	1
Precinct 7874 - Vote By Mail	125	21	453	174	1	0	26	147	1
Precinct 7875 - Election Day	57	27	615	127	0	0	40	87	3
Precinct 7875 - Vote By Mail	113	36	615	203	-2	0	55	150	1
Precinct 7876 - Election Day	49	21	491	101	0	0	30	71	1
Precinct 7876 - Vote By Mail	101	12	491	148	-1	0	35	114	1
Precinct 7901 - Election Day	33	28	466	87	-1	0	26	62	1
Precinct 7901 - Vote By Mail	84	19	466	133	0	0	28	105	2
Precinct 7902 - Election Day	103	35	921	188	0	0	46	142	4
Precinct 7902 - Vote By Mail	155	37	921	259	0	0	64	195	3
Precinct 7903 - Election Day	64	41	819	144	0	0	38	106	1
Precinct 7903 - Vote By Mail	144	51	819	244	0	0	48	196	1
Precinct 7904 - Election Day	75	21	846	137	0	0	40	97	1
Precinct 7904 - Vote By Mail	146	44	846	248	-1	0	55	194	4
Precinct 7905 - Election Day	120	39	821	199	1	0	39	159	0
Precinct 7905 - Vote By Mail	172	45	821	275	3	0	54	218	1
Precinct 7906 - Election Day	85	26	769	164	1	0	50	113	2
Precinct 7906 - Vote By Mail	134	24	769	214	-1	0	55	160	2
Precinct 7907 - Election Day	105	42	926	201	2	0	50	149	2
Precinct 7907 - Vote By Mail	173	40	926	286	1	0	70	215	2
Precinct 7908 - Election Day	97	43	936	191	0	0	49	142	2
Precinct 7908 - Vote By Mail	163	42	936	267	0	0	58	209	4
Precinct 7909 - Election Day	106	37	726	190	0	0	44	146	3
Precinct 7909 - Vote By Mail	153	25	726	221	0	0	41	180	2
Precinct 7911 - Election Day	117	30	849	192	0	0	39	153	6
Precinct 7911 - Vote By Mail	151	36	849	250	1	0	59	190	3
Precinct 7912 - Election Day	119	32	1,036	215	2	0	57	156	5
Precinct 7912 - Vote By Mail	188	44	1,036	314	4	0	76	234	2
Precinct 7913 - Election Day	124	55	887	240	0	0	60	180	1
Precinct 7913 - Vote By Mail	157	34	887	244	-1	0	52	193	2
Precinct 7914 - Election Day	110	48	833	208	0	0	49	159	1
Precinct 7914 - Vote By Mail	166	24	833	253	1	4	56	192	2
Precinct 7915 - Election Day	112	46	802	213	0	0	54	159	1
Precinct 7915 - Vote By Mail	132	33	802	222	1	0	56	165	0
Precinct 7916 - Election Day	120	45	887	215	0	0	48	167	2
Precinct 7916 - Vote By Mail	181	42	887	289	0	0	62	227	4
Precinct 7917 - Election Day	121	57	983	254	-1	0	74	181	3
Precinct 7917 - Vote By Mail	169	58	983	287	0	1	58	228	1
Precinct 7918 - Election Day	106	31	790	191	0	0	51	140	3
