Subtotal Area	JEFF BLEICH	ELENI KOUNALAKIS	CAMERON GHARABIKLOU	TIM FERREIRA	DAVID FENNELL	DANNY THOMAS	COLE HARRIS	ED HERNANDEZ	DAVID R. HERNANDEZ	LYDIA ORTEGA	GAYLE MCLAUGHLIN	MARJAN S. FARIBA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7325 - None	26	42	6	1	3	0	3	18	3	1	19	0	870	150	0	0	28	122	0
Precinct 7325 - None	41	89	1	3	3	6	15	39	2	2	17	0	870	276	0	0	56	220	2
Precinct 7326 - None	20	36	2	5	1	2	9	21	3	4	22	0	853	150	0	0	24	126	1
Precinct 7326 - None	30	51	3	3	9	6	12	49	7	12	30	0	853	256	0	1	43	212	0
Precinct 7327 - None	11	12	0	0	2	4	2	4	1	1	8	0	684	62	0	1	16	45	0
Precinct 7327 - None	17	21	6	1	8	10	28	77	6	13	20	0	684	277	0	0	68	209	2
Precinct 7328 - None	12	13	0	2	1	1	2	8	3	0	5	0	950	70	0	1	22	47	0
Precinct 7328 - None	43	37	5	4	7	14	26	90	10	16	18	0	950	391	0	2	119	270	0
Precinct 7329 - None	17	16	1	1	0	0	8	7	0	7	3	0	610	71	0	0	11	60	0
Precinct 7329 - None	45	41	1	1	10	5	30	22	2	6	14	0	610	205	0	1	27	177	0
Precinct 7331 - None	31	24	1	3	5	1	20	18	2	4	10	0	860	130	0	0	10	120	1
Precinct 7331 - None	89	99	4	4	16	7	30	38	4	13	18	0	860	357	0	2	33	322	0
Precinct 7332 - None	18	44	0	3	2	1	3	25	2	0	29	0	799	154	0	1	26	127	0
Precinct 7332 - None	30	54	3	4	6	4	13	33	1	7	37	0	799	209	0	1	14	194	2
Precinct 7333 - None	26	49	1	3	2	3	6	28	2	2	29	0	974	174	0	0	23	151	0
Precinct 7333 - None	62	75	2	5	10	4	17	45	3	9	31	0	974	323	0	2	58	263	0
Precinct 7334 - None	22	23	1	6	4	0	2	9	3	1	26	0	854	113	0	0	16	97	0
Precinct 7334 - None	55	61	3	3	5	1	18	42	1	9	34	0	854	275	0	1	40	234	2
Precinct 7335 - None	32	39	4	0	1	0	6	19	2	2	20	0	936	144	0	0	19	125	0
Precinct 7335 - None	82	104	3	7	7	2	26	46	7	10	21	0	936	354	0	1	37	316	1
Precinct 7336 - None	28	33	2	2	1	1	5	32	1	2	31	0	920	155	0	0	17	138	0
Precinct 7336 - None	72	78	0	4	15	0	28	42	6	9	37	0	920	324	0	1	32	291	0
Precinct 7337 - None	23	30	1	4	3	2	7	9	2	3	14	0	825	115	0	0	17	98	0
Precinct 7337 - None	60	70	0	1	8	5	33	42	6	3	32	0	825	305	0	0	44	261	1
Precinct 7338 - None	19	24	1	1	3	3	8	9	0	0	16	0	884	100	0	0	16	84	0
Precinct 7338 - None	35	47	7	4	9	4	41	85	6	18	18	0	884	364	0	0	90	274	0
Precinct 7339 - None	17	29	0	3	0	0	6	15	3	3	19	0	618	111	0	0	16	95	0
Precinct 7339 - None	28	48	2	2	7	3	7	35	1	4	18	0	618	181	0	1	24	156	1
Precinct 7341 - None	18	29	3	3	2	1	3	22	1	2	25	0	877	124	0	0	15	109	0
Precinct 7341 - None	38	67	0	2	2	5	11	45	3	9	42	0	877	246	0	1	21	224	0
Precinct 7342 - None	40	61	3	2	9	2	4	37	6	2	47	0	911	234	0	0	21	213	0
Precinct 7342 - None	48	72	1	3	4	3	5	43	8	4	35	0	911	251	0	0	25	226	0
Precinct 7343 - None	20	35	1	3	0	3	3	21	3	0	34	0	707	144	0	0	21	123	0
Precinct 7343 - None	27	50	1	5	4	2	8	18	4	2	35	0	707	186	0	1	29	156	0
Precinct 7344 - None	22	52	3	2	7	3	9	28	0	4	26	0	1,039	179	0	0	23	156	0
Precinct 7344 - None	55	91	2	6	5	3	20	58	5	7	51	0	1,039	334	0	0	31	303	0
Precinct 7345 - None	33	35	1	3	3	2	6	29	1	4	45	0	1,077	183	0	0	20	163	1
Precinct 7345 - None	61	105	1	3	3	2	8	38	3	4	31	0	1,077	283	0	0	24	259	0
Precinct 7346 - None	35	35	0	1	4	2	2	33	3	2	35	0	877	168	0	0	15	153	1
Precinct 7346 - None	42	56	3	1	5	1	8	35	2	5	42	0	877	221	0	0	21	200	0
Precinct 7347 - None	25	30	1	1	1	1	2	31	0	2	29	0	968	137	0	0	13	124	1
Precinct 7347 - None	51	80	3	4	2	0	7	43	6	6	57	0	968	279	0	2	18	259	0
Precinct 7348 - None	21	34	1	0	2	1	8	25	3	4	25	0	832	139	0	0	13	126	2
Precinct 7348 - None	25	52	2	2	1	4	12	49	0	7	27	0	832	202	0	3	15	184	3
Precinct 7349 - None	20	37	0	1	3	1	10	20	5	1	27	0	921	147	0	1	21	125	0
Precinct 7349 - None	43	73	2	5	10	5	16	45	8	10	30	0	921	282	0	1	34	247	0
Precinct 7501 - None	34	36	0	3	2	0	3	15	2	1	7	0	554	118	0	0	15	103	0
Precinct 7501 - None	40	48	0	4	5	0	7	23	1	5	5	0	554	168	0	0	30	138	0
Precinct 7502 - None	24	28	2	1	3	1	7	12	4	0	19	0	741	113	0	0	11	102	1
Precinct 7502 - None	92	98	3	0	13	1	14	40	4	11	37	0	741	349	0	0	34	315	2
Precinct 7503 - None	24	34	1	2	1	3	4	24	1	2	17	0	727	132	0	1	18	113	0
Precinct 7503 - None	64	61	2	6	3	3	9	19	1	6	24	0	727	226	0	4	24	198	0
Precinct 7504 - None	13	22	2	1	2	2	2	7	1	2	8	0	484	76	0	0	13	63	1
Precinct 7504 - None	40	30	1	2	1	2	6	41	1	2	8	0	484	158	0	1	21	136	2
Precinct 7505 - None	46	33	1	2	3	0	6	13	2	2	9	0	871	131	0	0	14	117	0
Precinct 7505 - None	116	107	6	2	11	3	20	58	5	11	20	0	871	417	0	1	57	359	0
Precinct 7506 - None	19	31	1	1	1	2	4	30	3	3	20	0	920	133	0	0	18	115	0
Precinct 7506 - None	36	75	1	2	2	3	18	41	2	3	26	0	920	252	0	1	40	211	2
Precinct 7507 - None	18	40	5	2	3	3	2	26	2	5	18	0	919	158	0	0	33	125	1
Precinct 7507 - None	32	71	8	0	5	2	13	43	7	5	34	0	919	255	0	1	34	220	0
Precinct 7508 - None	22	22	0	3	3	1	7	16	3	3	15	0	702	106	0	0	11	95	0
Precinct 7508 - None	64	97	3	3	7	3	24	47	7	9	25	0	702	340	0	1	50	289	0
Precinct 7509/7511 - None	40	52	2	1	4	2	7	28	2	1	22	0	909	171	0	0	10	161	0
Precinct 7509/7511 - None	55	97	5	2	3	0	12	61	1	8	42	0	909	319	0	2	31	286	0
Precinct 7512 - None	12	23	1	1	3	2	8	16	1	2	15	0	604	96	0	0	11	85	1
Precinct 7512 - None	34	50	0	1	7	3	26	27	4	4	23	0	604	196	0	3	14	179	0
Precinct 7513 - None	19	40	1	2	2	3	3	18	2	2	24	0	790	142	0	1	24	117	1
Precinct 7513 - None	25	49	3	2	7	1	13	43	1	5	25	0	790	208	0	5	29	174	0
Precinct 7514 - None	6	27	2	0	2	1	0	13	5	3	4	0	863	95	0	0	32	63	0
Precinct 7514 - None	17	74	3	4	5	6	10	49	5	11	14	0	863	235	0	2	35	198	0
Precinct 7515 - None	27	37	3	1	2	0	3	25	0	3	22	0	845	150	0	0	25	125	2
Precinct 7515 - None	33	85	3	4	10	2	7	53	3	6	33	0	845	289	0	0	49	240	1
Precinct 7516 - None	25	51	0	9	2	3	7	14	0	2	13	0	886	145	0	0	19	126	0
Precinct 7516 - None	52	111	2	8	10	3	22	69	6	11	47	0	886	378	0	0	36	342	1
Precinct 7517 - None	38	68	1	3	0	0	3	31	0	2	53	0	863	228	0	0	28	200	1
Precinct 7517 - None	50	79	1	2	0	2	1	36	3	2	50	0	863	251	0	0	25	226	0
Precinct 7518 - None	37	57	3	5	1	0	2	35	2	3	67	0	939	235	0	0	23	212	0
Precinct 7518 - None	59	96	3	3	6	0	4	27	1	5	57	0	939	298	0	1	36	261	0
Precinct 7519 - None	24	29	1	4	0	0	3	31	2	5	62	0	726	179	0	0	17	162	1
Precinct 7519 - None	35	47	1	1	1	0	6	17	0	3	44	0	726	185	0	0	30	155	0
Precinct 7521 - None	36	49	4	3	1	0	4	21	4	6	58	0	802	211	0	0	25	186	0
Precinct 7521 - None	48	71	0	1	1	0	0	23	1	0	46	0	802	215	0	1	23	191	0
Precinct 7522 - None	27	42	1	2	3	0	3	24	0	0	52	0	743	175	0	0	21	154	0
Precinct 7522 - None	43	81	3	1	1	1	2	17	2	1	59	0	743	240	0	1	28	211	0
Precinct 7523 - None	31	36	2	3	2	1	2	31	1	3	73	0	737	208	0	1	22	185	0
Precinct 7523 - None	44	66	0	2	2	0	6	23	2	5	50	0	737	223	0	0	23	200	0
Precinct 7524 - None	30	32	2	4	2	2	1	19	1	1	29	0	646	143	0	0	20	123	0
Precinct 7524 - None	28	56	1	1	3	2	1	19	3	0	30	0	646	165	0	2	19	144	0
Precinct 7525 - None	18	44	3	1	1	0	2	21	2	2	24	0	779	145	0	0	27	118	0
Precinct 7525 - None	44	61	1	1	3	1	4	27	1	0	44	0	779	214	0	0	26	188	1
Precinct 7526 - None	46	60	2	2	0	1	2	21	4	0	38	0	947	197	0	1	19	177	1
Precinct 7526 - None	64	90	4	5	4	0	6	36	3	4	60	0	947	313	0	1	35	277	1
Precinct 7527/7528 - None	20	31	4	4	2	2	7	15	5	4	39	0	729	162	0	1	28	133	0
Precinct 7527/7528 - None	41	57	1	1	9	1	9	37	2	2	39	0	729	237	0	2	36	199	0
Precinct 7529 - None	23	56	2	0	1	1	3	25	1	3	73	0	925	214	0	0	25	189	1
Precinct 7529 - None	46	99	0	5	2	1	5	35	3	4	70	0	925	300	0	0	30	270	0
Precinct 7531 - None	34	43	1	5	0	0	1	11	2	1	56	0	847	179	0	0	25	154	0
Precinct 7531 - None	54	75	3	0	1	0	1	31	7	3	60	0	847	263	0	0	28	235	0
Precinct 7532 - None	24	43	0	1	4	1	7	31	0	4	34	0	823	172	0	0	23	149	0
Precinct 7532 - None	51	59	2	4	5	1	10	31	0	7	35	0	823	226	0	1	20	205	0
Precinct 7533 - None	49	64	2	4	1	2	1	31	1	7	90	0	951	268	0	0	15	253	1
Precinct 7533 - None	49	72	2	6	2	0	10	24	2	3	86	0	951	297	0	0	41	256	0
Precinct 7534 - None	44	46	2	5	1	0	1	42	2	2	76	0	883	241	0	0	20	221	0
Precinct 7534 - None	58	60	5	5	0	0	6	26	1	5	58	0	883	240	0	1	15	224	0
Precinct 7535 - None	33	55	1	2	2	2	2	20	0	1	56	0	743	201	0	0	27	174	0
Precinct 7535 - None	40	70	0	1	2	1	3	30	1	6	71	0	743	251	0	1	22	228	3
Precinct 7536 - None	34	48	2	2	2	0	4	21	1	1	62	0	856	206	0	0	29	177	0
Precinct 7536 - None	56	87	3	4	2	1	3	26	1	4	51	0	856	279	0	2	39	238	0
Precinct 7537 - None	26	51	1	4	1	2	3	26	2	5	45	0	734	187	0	0	21	166	0
Precinct 7537 - None	42	69	2	3	0	0	4	28	1	1	44	0	734	225	0	1	30	194	0
Precinct 7538 - None	31	52	0	5	0	3	2	28	1	1	70	0	757	223	0	0	30	193	0
Precinct 7538 - None	58	80	1	2	2	2	3	24	2	1	54	0	757	256	0	0	27	229	0
Precinct 7539 - None	19	62	2	4	1	1	4	27	1	3	89	0	884	250	0	0	37	213	0
Precinct 7539 - None	57	84	1	2	0	1	1	31	3	4	69	0	884	286	0	1	29	256	3
Precinct 7541 - None	27	44	2	2	0	3	3	31	1	6	59	0	791	215	0	0	36	179	1
Precinct 7541 - None	52	64	1	1	2	1	2	34	1	0	57	0	791	245	0	1	28	216	1
Precinct 7542 - None	23	51	2	4	1	1	0	23	1	0	55	0	787	183	0	1	21	161	0
Precinct 7542 - None	37	69	1	6	2	0	1	30	1	1	70	0	787	247	0	0	29	218	0
Precinct 7543 - None	36	51	0	2	1	3	2	25	4	2	39	0	910	187	0	1	21	165	0
Precinct 7543 - None	64	87	3	2	1	1	7	48	4	1	77	0	910	332	0	0	37	295	0
Precinct 7544 - None	30	54	1	5	1	1	0	22	5	2	43	0	877	186	0	0	21	165	1
Precinct 7544 - None	49	113	5	5	4	0	3	37	2	3	67	0	877	331	0	1	40	290	2
Precinct 7545 - None	31	53	2	2	2	3	3	22	2	5	38	0	877	179	0	0	16	163	0
Precinct 7545 - None	58	82	1	5	3	2	6	44	1	7	47	0	877	291	0	0	35	256	0
Precinct 7546 - None	50	58	1	4	6	0	1	24	3	1	48	0	913	219	0	0	23	196	0
Precinct 7546 - None	64	84	1	4	5	0	5	40	2	3	73	0	913	310	0	1	28	281	0
Precinct 7547 - None	49	49	2	4	1	1	2	18	2	0	69	0	987	244	0	0	46	198	1
Precinct 7547 - None	68	72	0	1	1	1	3	39	5	4	91	0	987	322	0	1	35	286	1
Precinct 7548 - None	51	55	4	1	2	3	3	37	1	3	57	0	1,054	236	0	0	19	217	0
Precinct 7548 - None	92	83	3	2	5	0	3	43	2	5	76	0	1,054	345	0	2	27	316	2
Precinct 7549 - None	34	43	0	4	1	1	2	19	1	1	37	0	785	165	0	1	21	143	0
Precinct 7549 - None	60	78	1	1	2	1	11	36	4	4	46	0	785	281	0	2	34	245	1
Precinct 7551 - None	46	43	2	1	2	0	7	30	1	1	43	0	705	199	0	1	22	176	0
Precinct 7551 - None	55	62	1	0	5	0	2	35	2	0	48	0	705	240	0	0	30	210	0
Precinct 7552 - None	54	44	3	0	0	0	1	20	0	2	40	0	718	191	0	1	26	164	0
Precinct 7552 - None	56	70	0	1	7	0	3	33	1	1	36	0	718	232	0	0	24	208	0
Precinct 7553 MB - None	33	23	1	0	1	1	2	7	1	4	6	0	171	87	0	0	8	79	0
Precinct 7554 - None	51	42	0	2	0	0	1	18	7	3	32	0	785	179	0	0	21	158	2
Precinct 7554 - None	110	105	0	4	10	0	7	26	4	2	27	0	785	323	0	1	27	295	0
Precinct 7555 - None	73	64	3	3	1	1	7	27	1	1	33	0	847	242	0	0	26	216	2
Precinct 7555 - None	84	80	1	3	1	0	6	38	0	2	48	0	847	304	0	0	41	263	0
Precinct 7556/7557 - None	65	58	0	1	6	0	9	17	5	2	29	0	961	223	0	0	31	192	0
Precinct 7556/7557 - None	118	131	1	3	6	1	9	43	3	6	51	0	961	422	0	4	46	372	0
Precinct 7601 - None	18	34	3	2	7	6	4	12	1	4	23	0	744	128	0	1	13	114	0
Precinct 7601 - None	22	37	2	7	3	6	9	29	6	8	30	0	744	185	0	0	24	161	2
Precinct 7602 - None	22	37	1	3	4	4	4	19	3	4	30	0	880	147	0	0	16	131	0
Precinct 7602 - None	32	66	2	5	3	3	5	47	3	8	43	0	880	243	0	0	26	217	0
Precinct 7603 - None	18	40	0	1	0	2	5	18	2	1	45	0	826	152	0	2	18	132	0
Precinct 7603 - None	19	73	5	5	1	5	7	31	2	5	41	0	826	215	0	0	20	195	1
Precinct 7604 - None	13	22	3	5	3	2	8	24	3	6	28	0	906	133	0	0	15	118	1
Precinct 7604 - None	29	68	2	3	4	7	8	38	7	7	39	0	906	233	0	2	18	213	1
Precinct 7605 - None	7	27	2	0	2	5	2	11	0	0	11	0	651	77	0	1	9	67	0
Precinct 7605 - None	18	35	1	5	3	3	5	41	1	7	12	0	651	155	0	3	21	131	0
Precinct 7606 - None	15	23	3	9	4	3	3	19	4	3	21	0	895	127	0	1	19	107	0
Precinct 7606 - None	30	53	3	3	1	3	8	41	1	5	40	0	895	212	0	0	23	189	1
Precinct 7607 - None	10	30	2	0	4	3	5	24	2	2	25	0	955	120	0	1	12	107	0
Precinct 7607 - None	35	85	2	4	4	6	16	43	2	7	43	0	955	265	0	1	16	248	1
Precinct 7608 - None	10	6	0	1	2	1	6	6	2	0	2	0	388	46	0	0	10	36	0
Precinct 7608 - None	13	11	2	1	3	5	12	26	5	8	11	0	388	119	0	0	22	97	0
Precinct 7609 - None	11	19	2	2	4	1	0	23	3	3	10	0	916	101	0	1	21	79	1
Precinct 7609 - None	32	43	4	5	5	15	33	60	5	12	17	0	916	297	0	2	64	231	0
Precinct 7611 - None	8	11	1	0	4	1	1	20	3	0	12	0	756	76	0	0	14	62	1
Precinct 7611 - None	18	55	7	3	6	7	8	35	4	7	22	0	756	204	0	1	30	173	1
Precinct 7612 - None	11	13	2	3	0	3	4	12	1	2	12	0	574	76	0	1	12	63	0
Precinct 7612 - None	29	44	4	0	5	4	17	49	2	4	20	0	574	210	0	2	30	178	0
Precinct 7613 - None	19	37	2	1	1	2	4	24	5	2	29	0	887	140	0	0	14	126	0
Precinct 7613 - None	21	69	4	1	6	3	11	37	3	6	26	0	887	215	0	2	25	188	1
Precinct 7614 - None	17	22	0	1	1	4	5	21	0	3	26	0	1,015	123	0	0	22	101	1
Precinct 7614 - None	34	62	3	5	6	6	10	48	7	5	31	0	1,015	238	0	3	18	217	0
Precinct 7615 - None	11	17	2	5	2	7	6	17	4	1	11	0	832	108	0	2	23	83	0
Precinct 7615 - None	15	27	5	3	5	6	8	42	3	10	22	0	832	170	0	1	23	146	0
Precinct 7616 - None	22	43	1	3	0	2	1	22	0	3	17	0	951	129	0	0	14	115	1
Precinct 7616 - None	78	98	3	5	7	1	8	45	2	7	45	0	951	331	0	0	32	299	0
Precinct 7617 - None	14	13	2	0	3	0	3	11	0	7	13	0	751	84	0	1	17	66	0
Precinct 7617 - None	22	47	2	4	11	7	11	46	5	11	16	0	751	223	0	1	39	183	1
Precinct 7618 - None	15	29	2	3	1	2	5	14	2	1	32	0	866	123	0	0	16	107	1
Precinct 7618 - None	34	97	2	5	5	3	9	34	1	7	43	0	866	272	0	0	31	241	1
Precinct 7619 - None	15	45	2	3	4	0	3	16	3	2	36	0	993	154	0	0	25	129	0
Precinct 7619 - None	59	79	5	3	4	0	17	43	3	6	63	0	993	308	0	0	26	282	0
Precinct 7621 - None	22	37	1	3	2	1	7	29	3	5	37	0	1,132	163	0	1	14	148	1
Precinct 7621 - None	52	103	2	4	8	8	17	52	6	9	46	0	1,132	346	0	0	38	308	1
Precinct 7622 - None	17	18	5	2	0	5	2	16	0	2	17	0	964	99	0	1	14	84	0
Precinct 7622 - None	26	36	0	3	1	5	10	38	8	5	25	1	964	193	0	4	31	158	0
Precinct 7623 - None	15	25	5	2	4	2	4	18	1	6	23	0	712	122	0	1	16	105	0
Precinct 7623 - None	31	46	4	3	1	3	12	31	7	5	26	0	712	196	0	2	25	169	0
Precinct 7624 - None	16	34	2	3	2	2	7	14	1	2	9	0	905	104	0	0	12	92	0
Precinct 7624 - None	35	42	6	3	3	9	12	29	7	8	25	0	905	195	0	1	14	180	1
Precinct 7625 - None	6	9	1	4	2	5	4	15	2	3	3	0	821	73	0	0	19	54	0
Precinct 7625 - None	48	48	7	3	7	12	37	109	3	24	24	0	821	415	0	5	88	322	0
Precinct 7626 - None	31	39	3	2	1	0	6	22	1	3	9	0	1,081	128	0	0	11	117	0
Precinct 7626 - None	89	118	5	11	9	1	19	30	0	7	31	0	1,081	361	0	0	39	322	2
Precinct 7627 - None	25	41	1	2	1	0	11	13	0	1	10	0	1,075	116	0	1	9	106	1
Precinct 7627 - None	90	90	2	6	5	3	28	37	3	12	11	0	1,075	319	0	0	32	287	0
Precinct 7628 - None	22	37	2	4	2	0	1	31	0	3	33	0	906	156	0	0	20	136	1
Precinct 7628 - None	42	80	2	3	2	0	13	35	3	5	47	0	906	267	0	3	31	233	1
Precinct 7629 - None	14	25	1	1	0	2	1	20	0	1	28	0	805	108	0	0	14	94	1
Precinct 7629 - None	39	54	3	3	2	3	11	33	1	4	27	0	805	206	0	1	25	180	0
Precinct 7631 - None	23	29	2	4	1	1	7	26	2	2	34	0	1,085	146	0	1	14	131	0
Precinct 7631 - None	69	100	4	8	4	4	14	44	2	12	36	0	1,085	339	0	0	42	297	0
Precinct 7632 - None	17	47	2	4	3	1	3	25	1	4	37	0	965	167	0	0	23	144	0
Precinct 7632 - None	57	81	5	10	3	1	15	36	1	3	57	0	965	286	0	0	16	270	1
Precinct 7633 - None	18	19	2	4	1	1	3	15	1	2	11	0	702	90	0	0	13	77	0
Precinct 7633 - None	39	54	8	3	13	4	16	55	2	7	24	0	702	253	0	0	28	225	0
Precinct 7634 - None	17	29	1	3	4	0	9	16	4	8	11	0	859	120	0	0	17	103	1
Precinct 7634 - None	49	75	4	5	8	3	19	53	4	11	19	0	859	291	0	4	35	252	2
Precinct 7635 - None	14	23	1	4	1	0	1	14	0	2	15	0	782	89	0	0	13	76	1
Precinct 7635 - None	52	66	4	3	0	2	6	35	2	11	32	0	782	242	0	0	27	215	2
Precinct 7636 - None	34	31	0	2	2	2	5	21	0	2	13	0	920	134	0	0	21	113	1
Precinct 7636 - None	50	86	2	4	4	1	6	34	3	8	21	0	920	251	0	1	31	219	0
Precinct 7637 - None	16	23	0	2	0	0	7	14	3	5	10	0	732	89	0	0	9	80	0
Precinct 7637 - None	53	86	1	7	4	1	11	34	2	6	17	0	732	249	0	1	26	222	0
Precinct 7638 - None	26	38	6	0	2	1	12	14	0	7	8	0	1,365	129	0	0	15	114	0
Precinct 7638 - None	107	159	2	10	19	3	42	50	4	19	24	0	1,365	492	0	1	51	440	1
Precinct 7639 - None	25	23	0	3	3	0	7	17	0	5	9	0	962	110	0	0	17	93	1
Precinct 7639 - None	61	105	1	5	5	0	21	37	3	10	24	0	962	319	0	0	47	272	0
Precinct 7641 - None	24	33	1	6	0	1	6	16	1	6	8	0	931	114	0	0	12	102	0
Precinct 7641 - None	91	93	5	6	7	3	33	51	8	12	27	0	931	374	0	1	37	336	0
Precinct 7642 - None	15	29	2	3	1	1	2	13	1	3	6	0	909	84	0	0	8	76	0
Precinct 7642 - None	40	129	6	5	11	0	16	22	1	6	11	0	909	268	0	0	21	247	0
Precinct 7643 - None	17	25	2	3	1	2	3	12	1	3	9	0	871	99	0	0	21	78	0
Precinct 7643 - None	58	105	0	7	2	6	25	74	4	20	22	0	871	355	0	2	30	323	0
Precinct 7644 - None	34	38	1	5	0	0	4	26	3	6	12	0	1,082	156	0	0	27	129	0
Precinct 7644 - None	60	93	5	3	5	1	12	37	0	12	26	0	1,082	291	0	1	36	254	0
Precinct 7645 - None	18	8	0	2	3	2	5	10	2	1	6	0	631	63	0	0	6	57	0
Precinct 7645 - None	71	68	0	6	5	1	14	21	2	8	10	0	631	241	0	1	34	206	0
Precinct 7646 - None	23	28	1	1	1	0	1	20	1	2	9	0	1,035	110	0	0	22	88	1
Precinct 7646 - None	82	94	3	1	9	6	16	47	0	6	25	0	1,035	326	0	0	37	289	0
Precinct 7647 - None	13	26	3	3	2	3	5	17	3	2	20	0	1,027	107	0	0	8	99	2
Precinct 7647 - None	32	52	0	4	5	3	4	23	2	5	28	0	1,027	185	0	0	27	158	0
Precinct 7648 MB - None	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Precinct 7649 - None	21	23	2	3	2	0	1	15	2	4	14	0	877	97	0	0	10	87	0
Precinct 7649 - None	32	53	2	7	11	3	13	35	7	10	32	0	877	234	0	1	28	205	0
Precinct 7651 - None	11	16	0	3	0	0	2	7	1	0	4	0	555	48	0	0	4	44	0
Precinct 7651 - None	36	47	3	3	4	2	6	24	0	5	8	0	555	155	0	0	17	138	0
Precinct 7652 - None	12	20	1	1	0	1	1	11	0	1	11	0	580	68	0	2	7	59	0
Precinct 7652 - None	40	53	1	4	2	0	4	21	2	1	15	0	580	163	0	2	18	143	0
Precinct 7653 - None	25	41	1	5	3	0	1	20	3	3	9	0	1,092	137	0	0	26	111	0
Precinct 7653 - None	85	85	2	5	3	1	8	47	7	9	23	0	1,092	321	0	0	42	279	4
Precinct 7701 - None	41	57	2	3	8	2	5	34	3	2	43	0	1,012	225	0	0	25	200	0
Precinct 7701 - None	88	107	5	4	12	2	10	55	7	4	44	0	1,012	383	0	1	44	338	0
Precinct 7702 - None	26	27	0	2	2	2	11	16	2	3	15	0	704	117	0	0	11	106	0
Precinct 7702 - None	58	84	5	3	16	2	24	47	6	5	21	0	704	302	0	0	31	271	0
Precinct 7703 MB - None	14	13	0	1	1	2	2	7	1	4	4	0	172	66	0	2	15	49	0
Precinct 7704 - None	39	63	1	4	5	2	11	29	3	8	19	0	977	208	0	0	23	185	1
Precinct 7704 - None	73	102	4	11	10	2	27	67	8	26	17	0	977	396	0	2	46	348	1
Precinct 7705 - None	28	43	0	1	5	0	2	17	1	3	7	0	547	123	0	0	16	107	0
Precinct 7705 - None	43	80	0	3	11	2	16	29	7	5	16	0	547	227	0	0	15	212	0
Precinct 7706 - None	47	57	2	0	4	3	16	23	4	4	21	0	821	189	0	0	8	181	0
Precinct 7706 - None	61	105	0	10	17	1	19	47	5	14	28	0	821	341	0	0	34	307	0
Precinct 7707 - None	53	55	0	2	1	1	14	21	5	2	30	0	839	200	0	0	16	184	0
Precinct 7707 - None	81	120	3	0	9	1	19	47	4	10	32	0	839	379	0	0	53	326	0
Precinct 7708 - None	38	70	1	2	4	2	4	23	1	5	15	0	860	181	0	0	16	165	0
Precinct 7708 - None	74	163	2	7	11	0	22	46	7	9	31	0	860	400	0	1	27	372	0
Precinct 7709 - None	15	16	0	2	1	2	1	15	0	2	20	0	383	85	0	0	11	74	0
Precinct 7709 - None	35	56	0	2	5	1	5	14	1	6	33	0	383	174	0	1	15	158	0
Precinct 7711 - None	35	47	0	1	2	3	5	15	2	3	33	0	772	162	0	0	16	146	0
Precinct 7711 - None	74	107	1	3	6	1	11	39	4	14	50	0	772	344	0	2	30	312	2
Precinct 7712 - None	21	35	0	2	5	0	5	25	0	2	30	0	524	131	0	0	6	125	0
Precinct 7712 - None	39	66	1	2	4	4	8	28	4	8	51	0	524	230	0	1	12	217	2
Precinct 7801 - None	59	68	0	2	2	0	3	24	2	3	46	0	970	230	0	0	21	209	0
Precinct 7801 - None	109	141	3	10	4	4	13	43	3	7	51	0	970	424	0	1	35	388	0
Precinct 7802 - None	68	42	0	3	2	0	1	21	1	1	43	0	762	205	0	1	22	182	0
Precinct 7802 - None	69	117	2	3	2	0	10	36	3	0	41	0	762	313	0	1	29	283	0
Precinct 7803 - None	36	35	1	0	1	1	5	16	1	1	27	0	823	143	0	0	19	124	0
Precinct 7803 - None	105	126	2	4	6	4	9	58	4	2	42	0	823	412	0	2	48	362	0
Precinct 7804 - None	42	74	0	2	2	1	4	40	1	5	37	0	891	236	0	0	28	208	0
Precinct 7804 - None	101	140	3	2	4	0	10	40	0	0	50	0	891	394	0	1	43	350	0
Precinct 7805 - None	27	55	1	0	1	2	0	24	1	1	48	0	785	176	0	0	16	160	0
Precinct 7805 - None	80	123	1	3	3	1	6	37	1	5	40	0	785	348	0	0	48	300	0
Precinct 7806 - None	33	45	0	2	0	2	1	17	0	1	39	0	699	163	0	0	23	140	0
Precinct 7806 - None	63	96	1	3	4	0	4	23	2	3	46	0	699	283	0	0	38	245	0
Precinct 7807 - None	41	69	2	3	1	0	2	29	2	2	58	0	796	228	0	0	19	209	0
Precinct 7807 - None	63	85	1	6	0	2	5	27	2	0	45	0	796	273	0	0	35	238	2
Precinct 7808 - None	31	56	0	2	1	1	1	27	1	2	35	0	655	178	0	0	21	157	0
Precinct 7808 - None	56	77	2	0	1	1	4	17	2	1	57	0	655	243	0	1	23	219	1
Precinct 7809 - None	18	56	0	0	0	0	2	25	3	0	39	0	742	160	0	0	17	143	0
Precinct 7809 - None	51	89	2	3	2	0	3	30	0	3	58	0	742	267	0	0	26	241	0
Precinct 7811 - None	33	48	0	2	1	1	0	22	3	3	54	0	726	186	0	0	19	167	0
Precinct 7811 - None	45	70	0	3	1	2	2	28	1	2	62	0	726	243	0	0	27	216	0
