Subtotal Area	JEFF BLEICH	ELENI KOUNALAKIS	CAMERON GHARABIKLOU	TIM FERREIRA	DAVID FENNELL	DANNY THOMAS	COLE HARRIS	ED HERNANDEZ	DAVID R. HERNANDEZ	LYDIA ORTEGA	GAYLE MCLAUGHLIN	MARJAN S. FARIBA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 1133 - None	13	22	0	1	2	4	3	19	6	2	16	0	826	99	0	0	11	88	0
Precinct 1133 - None	47	62	3	4	16	3	5	56	7	17	34	0	826	292	0	0	35	257	3
Precinct 1134 - None	19	32	1	5	0	1	2	26	7	1	19	0	727	126	0	0	11	115	2
Precinct 1134 - None	39	35	1	1	6	0	7	61	12	12	17	0	727	241	0	0	50	191	0
Precinct 1135 - None	8	19	1	1	0	0	2	15	1	5	10	0	511	71	0	0	9	62	0
Precinct 1135 - None	23	55	4	4	1	2	16	41	8	14	19	0	511	217	0	0	29	188	1
Precinct 1136 - None	9	22	1	2	2	0	6	19	6	6	11	0	807	97	0	1	11	85	1
Precinct 1136 - None	39	57	2	6	9	3	21	66	15	8	21	0	807	287	0	0	38	249	2
Precinct 1141 - None	18	36	1	0	2	0	10	32	2	5	24	0	998	149	0	0	18	131	1
Precinct 1141 - None	57	74	4	1	16	5	23	84	3	17	46	0	998	368	0	2	36	330	0
Precinct 1142 - None	15	23	1	2	0	4	9	27	5	1	18	0	822	120	0	0	15	105	0
Precinct 1142 - None	37	49	2	3	8	5	17	56	8	12	42	0	822	266	0	0	27	239	0
Precinct 1143 - None	18	19	2	1	1	3	4	42	4	9	33	0	989	147	0	0	10	137	1
Precinct 1143 - None	27	51	4	4	10	2	22	67	7	21	43	0	989	311	0	1	50	260	2
Precinct 1144 - None	21	35	2	2	0	1	11	29	5	3	24	0	870	148	0	1	14	133	0
Precinct 1144 - None	22	55	7	3	10	8	29	40	8	11	42	0	870	264	0	0	29	235	0
Precinct 1145 - None	20	33	1	1	4	0	5	21	4	4	27	0	879	136	0	0	16	120	0
Precinct 1145 - None	63	94	1	4	9	7	18	55	2	18	60	0	879	370	0	1	37	332	1
Precinct 1146 - None	18	21	0	1	4	3	4	20	5	5	31	0	971	124	0	0	10	114	2
Precinct 1146 - None	38	68	1	2	5	7	23	84	10	10	36	0	971	326	0	3	39	284	0
Precinct 1147 - None	15	29	0	1	2	1	7	29	12	4	40	0	853	166	0	0	25	141	1
Precinct 1147 - None	29	48	1	2	16	5	13	58	3	18	47	0	853	279	0	3	36	240	0
Precinct 1148 - None	24	13	0	3	6	4	4	30	6	4	14	0	918	121	0	0	13	108	0
Precinct 1148 - None	35	61	3	5	13	9	34	58	9	12	31	0	918	314	0	0	44	270	0
Precinct 1149 - None	12	30	4	2	5	1	7	30	6	11	24	0	873	148	0	1	15	132	0
Precinct 1149 - None	32	54	4	3	2	5	32	66	7	13	38	0	873	285	0	2	27	256	0
Precinct 1152 - None	22	23	0	0	7	1	9	9	4	9	24	0	838	125	0	0	16	109	1
Precinct 1152 - None	36	56	3	6	7	10	24	68	9	18	22	0	838	286	0	1	26	259	0
Precinct 1153 - None	21	34	1	0	7	0	5	29	8	6	9	0	909	139	0	3	16	120	0
Precinct 1153 - None	32	77	4	3	6	4	30	59	13	15	25	0	909	306	0	1	34	271	3
Precinct 7001 - None	20	26	1	0	0	2	2	19	2	2	27	0	735	119	0	0	17	102	1
Precinct 7001 - None	53	77	2	2	2	2	8	38	3	2	45	0	735	266	0	0	31	235	1
Precinct 7002 - None	25	35	0	1	1	0	1	24	1	3	31	0	641	132	0	0	10	122	0
Precinct 7002 - None	38	48	0	1	2	2	11	23	1	4	35	0	641	173	0	1	7	165	0
Precinct 7003 - None	51	46	3	1	0	2	6	17	1	2	42	0	864	188	0	0	17	171	0
Precinct 7003 - None	74	114	2	5	8	0	8	30	3	6	63	0	864	340	0	0	27	313	0
