Subtotal Area	MICHELLE BRAVO	LONDON BREED	MARK LENO	JANE KIM	RICHIE GREENBERG	ANGELA ALIOTO	AMY FARAH WEISS	ELLEN LEE ZHOU	ANTOINE R. ROGERS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
Precinct 7328 - Election Day	0	18	18	20	0	6	0	6	0	950	70	0	1	1	0	68	0
Precinct 7328 - Vote By Mail	0	122	78	110	9	13	0	57	0	950	391	-2	2	2	0	389	0
Precinct 7329 - Election Day	0	22	13	17	8	10	2	0	0	610	71	-1	0	0	0	72	0
Precinct 7329 - Vote By Mail	0	76	42	39	16	22	1	11	0	610	205	-4	1	1	0	207	0
Precinct 7331 - Election Day	0	38	35	28	5	21	2	0	0	860	130	0	0	0	0	130	1
Precinct 7331 - Vote By Mail	3	117	132	34	23	35	0	1	0	860	357	0	1	8	0	348	3
Precinct 7332 - Election Day	0	36	43	58	0	11	1	0	0	799	154	0	0	4	0	150	1
Precinct 7332 - Vote By Mail	1	66	45	63	5	13	2	12	0	799	209	-1	0	3	0	207	0
Precinct 7333 - Election Day	0	58	43	59	5	5	1	2	0	974	174	0	0	1	0	173	0
Precinct 7333 - Vote By Mail	1	102	80	90	11	17	3	12	0	974	323	1	0	4	0	318	2
Precinct 7334 - Election Day	0	30	26	41	0	9	2	2	0	854	113	0	0	2	0	111	1
Precinct 7334 - Vote By Mail	2	89	90	58	6	16	1	7	0	854	275	-2	1	5	0	271	2
Precinct 7335 - Election Day	0	44	45	43	5	4	0	2	0	936	144	0	1	0	0	143	0
Precinct 7335 - Vote By Mail	0	135	91	65	25	30	0	5	0	936	354	-4	3	2	0	353	2
Precinct 7336 - Election Day	0	53	42	42	4	11	0	1	0	920	155	1	0	1	0	153	0
Precinct 7336 - Vote By Mail	0	114	94	48	17	36	5	4	0	920	324	1	2	3	0	318	0
Precinct 7337 - Election Day	1	37	27	39	1	7	0	1	0	825	115	-1	0	2	0	114	1
Precinct 7337 - Vote By Mail	0	121	82	66	10	14	2	9	0	825	305	0	0	1	0	304	0
Precinct 7338 - Election Day	0	29	26	31	2	4	1	3	0	884	100	1	1	2	0	96	0
Precinct 7338 - Vote By Mail	0	117	78	84	8	19	2	64	0	884	364	-9	0	1	0	372	0
Precinct 7339 - Election Day	0	32	32	30	3	9	0	0	0	618	111	0	0	3	0	108	2
Precinct 7339 - Vote By Mail	0	64	63	36	3	6	3	6	0	618	181	-1	1	0	0	181	0
Precinct 7341 - Election Day	1	34	34	44	2	4	2	2	0	877	124	0	0	1	0	123	0
Precinct 7341 - Vote By Mail	1	86	73	56	7	13	5	2	0	877	246	-1	0	4	0	243	0
Precinct 7342 - Election Day	1	70	70	68	3	13	0	1	0	911	234	3	2	3	0	226	0
Precinct 7342 - Vote By Mail	0	80	75	64	7	8	6	4	0	911	251	0	1	4	0	246	2
Precinct 7343 - Election Day	2	38	38	52	3	6	0	0	0	707	144	0	0	5	0	139	0
Precinct 7343 - Vote By Mail	0	44	59	59	9	8	2	3	0	707	186	0	0	2	0	184	0
Precinct 7344 - Election Day	0	56	43	57	6	10	4	1	0	1,039	179	-2	1	2	0	178	1
Precinct 7344 - Vote By Mail	3	103	92	90	14	21	3	9	0	1,039	334	-1	0	0	0	335	0
Precinct 7345 - Election Day	0	55	46	70	6	4	1	1	0	1,077	183	0	0	0	0	183	0
Precinct 7345 - Vote By Mail	1	93	80	73	8	16	2	2	0	1,077	283	2	2	3	0	276	1
Precinct 7346 - Election Day	0	33	47	65	3	14	2	2	0	877	168	0	0	2	0	166	0
Precinct 7346 - Vote By Mail	1	65	71	54	5	18	6	2	0	877	221	-1	0	0	0	222	0
Precinct 7347 - Election Day	0	36	45	45	1	6	2	0	0	968	137	1	1	0	0	135	0
Precinct 7347 - Vote By Mail	0	89	84	79	5	21	2	1	0	968	279	-4	0	1	0	282	1
Precinct 7348 - Election Day	0	35	34	53	3	8	1	3	0	832	139	0	0	2	0	137	0
Precinct 7348 - Vote By Mail	0	61	50	61	10	10	1	3	0	832	202	1	1	3	0	197	1
Precinct 7349 - Election Day	2	39	38	50	7	5	2	2	0	921	147	-1	1	2	0	145	0
Precinct 7349 - Vote By Mail	0	80	80	80	11	17	2	9	0	921	282	-1	1	2	0	280	1
Precinct 7501 - Election Day	0	67	25	13	2	8	0	0	0	554	118	-1	0	4	0	115	0
Precinct 7501 - Vote By Mail	0	77	40	22	11	14	1	1	0	554	168	1	0	0	0	167	1
Precinct 7502 - Election Day	1	46	23	30	3	9	0	0	0	741	113	0	0	1	0	112	0
Precinct 7502 - Vote By Mail	7	148	81	80	16	23	1	1	0	741	349	-11	2	1	0	357	0
Precinct 7503 - Election Day	1	49	33	25	3	15	1	2	0	727	132	2	0	1	0	129	0
Precinct 7503 - Vote By Mail	0	94	53	49	14	13	1	0	0	727	226	-1	0	2	0	225	1
Precinct 7504 - Election Day	0	34	8	31	0	3	0	0	0	484	76	0	0	0	0	76	0
Precinct 7504 - Vote By Mail	1	57	36	52	5	3	0	3	0	484	158	1	0	0	0	157	0
Precinct 7505 - Election Day	0	46	45	28	4	6	0	2	0	871	131	0	0	0	0	131	0
Precinct 7505 - Vote By Mail	4	133	156	65	11	29	1	11	0	871	417	-2	3	4	0	412	2
Precinct 7506 - Election Day	1	76	17	34	3	2	0	0	0	920	133	-1	0	1	0	133	0
Precinct 7506 - Vote By Mail	1	131	50	39	11	11	2	3	0	920	252	0	0	4	0	248	0
Precinct 7507 - Election Day	0	82	29	27	1	6	2	5	0	919	158	0	1	4	0	153	1
Precinct 7507 - Vote By Mail	0	107	42	62	2	16	2	21	0	919	255	0	1	1	0	253	1
Precinct 7508 - Election Day	1	29	34	24	2	4	2	6	0	702	106	0	0	3	0	103	1
Precinct 7508 - Vote By Mail	1	115	81	66	18	26	1	18	0	702	340	3	3	6	0	328	2
Precinct 7509/7511 - Election Day	1	57	57	35	1	16	2	1	0	909	171	-1	1	1	0	170	0
Precinct 7509/7511 - Vote By Mail	4	110	122	59	7	12	1	4	0	909	319	-1	0	0	0	320	1
Precinct 7512 - Election Day	1	38	18	24	9	3	0	1	0	604	96	0	0	2	0	94	0
Precinct 7512 - Vote By Mail	0	68	44	36	27	12	0	5	0	604	196	1	2	1	0	192	0
Precinct 7513 - Election Day	0	70	22	40	3	5	0	1	0	790	142	0	1	0	0	141	0
Precinct 7513 - Vote By Mail	1	83	37	53	10	7	3	8	0	790	208	-1	3	2	0	204	2
Precinct 7514 - Election Day	0	85	6	9	0	1	0	1	0	863	95	-8	0	1	0	102	0
Precinct 7514 - Vote By Mail	2	151	16	43	4	6	0	13	0	863	235	-2	1	1	0	235	0
Precinct 7515 - Election Day	0	91	17	29	2	4	1	3	0	845	150	0	1	2	0	147	0
Precinct 7515 - Vote By Mail	1	150	33	74	5	9	2	10	0	845	289	1	1	3	0	284	0
Precinct 7516 - Election Day	0	53	37	32	4	14	1	1	0	886	145	0	1	2	0	142	0
Precinct 7516 - Vote By Mail	1	137	114	70	18	24	0	17	0	886	378	-6	0	2	0	382	1
Precinct 7517 - Election Day	0	80	52	86	7	2	1	0	0	863	228	-1	0	0	0	229	1
Precinct 7517 - Vote By Mail	0	94	64	75	2	16	0	0	0	863	251	-2	1	1	0	251	0
Precinct 7518 - Election Day	0	69	62	91	1	10	0	0	0	939	235	0	0	2	0	233	0
Precinct 7518 - Vote By Mail	0	109	79	85	5	16	3	2	0	939	298	-2	0	1	0	299	0
Precinct 7519 - Election Day	1	42	36	87	3	7	3	0	0	726	179	0	0	0	0	179	0
Precinct 7519 - Vote By Mail	0	78	37	57	3	6	1	0	0	726	185	0	2	1	0	182	0
Precinct 7521 - Election Day	0	65	55	71	4	7	3	2	0	802	211	0	0	4	0	207	0
Precinct 7521 - Vote By Mail	1	90	49	65	1	6	2	1	0	802	215	-2	0	2	0	215	0
Precinct 7522 - Election Day	0	73	35	61	2	3	0	0	0	743	175	-1	0	2	0	174	0
Precinct 7522 - Vote By Mail	0	109	53	73	1	4	0	0	0	743	240	-1	0	1	0	240	0
Precinct 7523 - Election Day	1	52	52	91	4	6	1	0	0	737	208	0	0	1	0	207	0
Precinct 7523 - Vote By Mail	0	96	56	61	3	3	1	0	0	737	223	-2	1	4	0	220	0
Precinct 7524 - Election Day	0	71	36	26	1	6	2	0	0	646	143	1	0	0	0	142	0
Precinct 7524 - Vote By Mail	1	84	37	33	0	5	1	2	0	646	165	1	1	0	0	163	0
Precinct 7525 - Election Day	0	76	18	44	1	6	0	0	0	779	145	0	0	0	0	145	0
Precinct 7525 - Vote By Mail	0	102	47	48	2	9	3	2	0	779	214	0	0	1	0	213	0
Precinct 7526 - Election Day	1	73	47	61	3	4	3	3	0	947	197	1	0	1	0	195	0
Precinct 7526 - Vote By Mail	0	118	93	78	5	10	2	2	0	947	313	3	0	0	0	310	2
Precinct 7527/7528 - Election Day	0	49	35	51	7	5	5	4	0	729	162	-2	2	6	0	156	0
Precinct 7527/7528 - Vote By Mail	2	98	42	64	7	9	5	5	0	729	237	0	2	3	0	232	0
Precinct 7529 - Election Day	0	60	64	76	1	10	2	1	0	925	214	-1	1	0	0	214	0
Precinct 7529 - Vote By Mail	0	106	84	86	9	5	3	1	0	925	300	1	2	3	0	294	0
Precinct 7531 - Election Day	0	64	39	65	1	4	4	0	0	847	179	-1	0	3	0	177	0
Precinct 7531 - Vote By Mail	0	102	58	86	6	3	2	0	0	847	263	2	0	4	0	257	0
Precinct 7532 - Election Day	1	63	45	43	9	6	0	3	0	823	172	0	2	0	0	170	0
Precinct 7532 - Vote By Mail	0	96	59	47	7	10	1	6	0	823	226	-1	1	0	0	226	0
Precinct 7533 - Election Day	0	80	70	108	1	5	2	0	0	951	268	-1	1	1	0	267	1
Precinct 7533 - Vote By Mail	1	104	58	104	10	13	3	0	0	951	297	2	1	0	0	294	1
Precinct 7534 - Election Day	1	73	55	98	1	3	5	0	0	883	241	1	0	4	0	236	0
Precinct 7534 - Vote By Mail	0	83	61	69	6	17	3	1	0	883	240	-1	0	1	0	240	0
Precinct 7535 - Election Day	1	70	50	69	2	7	2	0	0	743	201	-1	1	0	0	201	0
Precinct 7535 - Vote By Mail	0	89	54	85	4	8	1	4	0	743	251	2	2	2	0	245	0
Precinct 7536 - Election Day	0	56	66	61	1	12	6	0	0	856	206	0	0	4	0	202	0
Precinct 7536 - Vote By Mail	1	106	68	82	3	14	2	1	0	856	279	-2	2	2	0	277	0
Precinct 7537 - Election Day	0	56	48	71	1	6	4	0	0	734	187	0	0	1	0	186	0
Precinct 7537 - Vote By Mail	0	74	59	74	3	10	3	0	0	734	225	1	1	0	0	223	0
Precinct 7538 - Election Day	0	69	57	83	2	6	3	0	0	757	223	0	0	3	0	220	0
Precinct 7538 - Vote By Mail	0	97	76	67	6	7	4	0	0	757	256	-3	0	2	0	257	0
Precinct 7539 - Election Day	0	82	52	104	3	6	0	0	0	884	250	1	0	2	0	247	0
Precinct 7539 - Vote By Mail	0	115	62	90	4	12	4	0	0	884	286	-3	1	1	0	287	0
Precinct 7541 - Election Day	0	65	59	80	3	3	2	1	0	791	215	0	0	1	0	214	1
Precinct 7541 - Vote By Mail	1	95	66	66	0	11	3	2	0	791	245	-1	0	2	0	244	0
Precinct 7542 - Election Day	1	57	48	73	0	3	0	0	0	787	183	0	0	1	0	182	0
Precinct 7542 - Vote By Mail	0	94	61	75	4	3	7	0	0	787	247	-4	1	5	0	245	1
Precinct 7543 - Election Day	0	77	36	61	2	8	2	1	0	910	187	0	0	0	0	187	0
Precinct 7543 - Vote By Mail	2	126	107	81	4	8	4	0	0	910	332	-3	2	1	0	332	0
Precinct 7544 - Election Day	0	69	51	58	0	5	2	1	0	877	186	0	0	0	0	186	0
Precinct 7544 - Vote By Mail	1	118	102	86	3	13	2	3	0	877	331	-2	2	3	0	328	0
Precinct 7545 - Election Day	0	43	53	68	3	10	1	0	0	877	179	0	0	1	0	178	0
Precinct 7545 - Vote By Mail	0	107	89	68	8	13	0	2	0	877	291	0	0	4	0	287	0
Precinct 7546 - Election Day	1	83	64	57	2	6	3	0	0	913	219	0	0	2	0	217	1
Precinct 7546 - Vote By Mail	0	135	80	83	2	9	0	0	0	913	310	1	0	0	0	309	0
Precinct 7547 - Election Day	0	87	60	90	1	3	2	0	0	987	244	0	0	1	0	243	0
Precinct 7547 - Vote By Mail	0	129	74	98	2	8	6	0	0	987	322	4	0	1	0	317	0
Precinct 7548 - Election Day	1	94	45	83	0	9	1	1	0	1,054	236	1	0	1	0	234	0
Precinct 7548 - Vote By Mail	0	139	97	86	5	13	3	0	0	1,054	345	0	1	1	0	343	0
Precinct 7549 - Election Day	0	47	50	60	2	3	0	1	0	785	165	-1	2	0	0	164	1
Precinct 7549 - Vote By Mail	0	95	73	77	5	11	2	12	0	785	281	3	0	1	0	277	2
Precinct 7551 - Election Day	0	81	44	56	4	7	4	0	0	705	199	1	0	2	0	196	0
Precinct 7551 - Vote By Mail	0	109	39	86	1	5	0	1	0	705	240	-2	0	0	0	242	1
Precinct 7552 - Election Day	1	75	51	62	0	0	1	0	0	718	191	0	0	1	0	190	0
Precinct 7552 - Vote By Mail	0	104	64	52	2	11	0	0	0	718	232	-2	0	1	0	233	0
Precinct 7553 MB - Vote By Mail	0	33	28	20	3	1	0	0	0	171	87	1	0	1	0	85	0
Precinct 7554 - Election Day	0	87	44	41	0	6	0	1	0	785	179	-1	0	1	0	179	0
Precinct 7554 - Vote By Mail	0	171	93	43	3	9	2	1	0	785	323	-1	0	2	0	322	0
Precinct 7555 - Election Day	0	113	68	47	3	8	0	0	0	847	242	0	2	1	0	239	0
Precinct 7555 - Vote By Mail	1	119	90	73	3	12	1	0	0	847	304	-1	0	5	0	300	1
Precinct 7556/7557 - Election Day	1	89	78	42	5	9	0	0	0	961	223	-1	0	0	0	224	0
Precinct 7556/7557 - Vote By Mail	1	200	120	77	6	15	0	0	0	961	422	0	1	2	0	419	0
Precinct 7601 - Election Day	0	38	34	35	3	14	2	2	0	744	128	-2	2	0	0	128	0
Precinct 7601 - Vote By Mail	0	43	51	46	3	17	3	11	0	744	185	2	3	1	0	179	5
Precinct 7602 - Election Day	1	37	41	47	3	10	3	3	0	880	147	-1	2	1	0	145	0
Precinct 7602 - Vote By Mail	2	71	62	68	9	13	4	9	0	880	243	-1	5	1	0	238	0
Precinct 7603 - Election Day	0	24	39	76	4	5	0	2	0	826	152	-1	2	1	0	150	0
Precinct 7603 - Vote By Mail	0	57	67	60	4	10	5	9	0	826	215	-1	0	3	0	213	1
Precinct 7604 - Election Day	2	32	25	51	4	11	4	1	0	906	133	-1	1	1	0	132	2
Precinct 7604 - Vote By Mail	2	71	61	73	12	10	2	3	0	906	233	-3	0	1	0	235	1
Precinct 7605 - Election Day	1	27	19	21	1	5	1	1	0	651	77	0	0	1	0	76	0
Precinct 7605 - Vote By Mail	0	38	39	43	3	13	7	7	0	651	155	1	1	3	0	150	0
Precinct 7606 - Election Day	0	42	31	38	4	6	1	2	0	895	127	2	0	0	0	125	1
Precinct 7606 - Vote By Mail	3	68	49	71	4	10	1	2	0	895	212	-1	0	3	0	210	2
Precinct 7607 - Election Day	0	32	29	44	1	9	1	2	0	955	120	0	0	2	0	118	0
Precinct 7607 - Vote By Mail	1	65	80	83	11	12	2	11	0	955	265	-4	2	2	0	265	0
Precinct 7608 - Election Day	2	13	14	9	0	6	0	2	0	388	46	0	0	0	0	46	0
Precinct 7608 - Vote By Mail	0	38	22	24	5	10	3	16	0	388	119	0	1	0	0	118	0
Precinct 7609 - Election Day	0	28	17	38	0	6	1	7	0	916	101	0	1	3	0	97	0
Precinct 7609 - Vote By Mail	4	79	69	83	7	16	4	28	0	916	297	-2	1	6	0	292	2
Precinct 7611 - Election Day	0	25	16	24	1	4	0	4	0	756	76	0	1	0	0	75	1
Precinct 7611 - Vote By Mail	1	73	41	44	6	16	1	15	0	756	204	3	0	4	0	197	0
Precinct 7612 - Election Day	0	16	20	17	0	5	1	13	0	574	76	0	2	2	0	72	0
Precinct 7612 - Vote By Mail	1	64	41	40	13	14	0	34	0	574	210	1	0	2	0	207	0
Precinct 7613 - Election Day	0	42	30	52	2	9	1	1	0	887	140	0	0	3	0	137	0
Precinct 7613 - Vote By Mail	2	73	43	59	2	16	3	8	0	887	215	2	2	4	0	207	1
Precinct 7614 - Election Day	0	45	23	38	5	9	2	0	0	1,015	123	-3	0	3	0	123	1
Precinct 7614 - Vote By Mail	4	64	68	61	7	22	5	3	0	1,015	238	1	2	0	0	235	1
Precinct 7615 - Election Day	0	30	25	33	1	8	2	5	0	832	108	0	2	0	0	106	2
Precinct 7615 - Vote By Mail	0	61	32	46	1	11	1	15	0	832	170	-1	0	3	0	168	1
Precinct 7616 - Election Day	1	56	34	29	2	6	0	0	0	951	129	0	0	1	0	128	0
Precinct 7616 - Vote By Mail	1	156	92	63	5	10	5	0	0	951	331	-1	0	0	0	332	0
Precinct 7617 - Election Day	1	29	20	17	2	13	0	2	0	751	84	-2	1	1	0	84	0
Precinct 7617 - Vote By Mail	1	78	52	56	5	18	0	12	0	751	223	-2	3	0	0	222	0
Precinct 7618 - Election Day	0	35	43	37	2	1	1	3	0	866	123	0	0	1	0	122	0
Precinct 7618 - Vote By Mail	0	86	89	64	8	8	4	9	0	866	272	0	0	2	0	270	2
Precinct 7619 - Election Day	0	47	37	54	4	5	1	5	0	993	154	-1	0	2	0	153	0
Precinct 7619 - Vote By Mail	1	103	65	90	9	18	3	16	0	993	308	-3	1	5	0	305	0
Precinct 7621 - Election Day	1	63	33	48	6	8	3	2	0	1,132	163	-1	0	0	0	164	0
Precinct 7621 - Vote By Mail	0	129	75	101	9	25	2	4	0	1,132	346	-2	0	3	0	345	0
Precinct 7622 - Election Day	0	36	20	26	1	8	1	1	0	964	99	1	0	5	0	93	0
Precinct 7622 - Vote By Mail	1	53	48	56	7	20	3	0	0	964	193	-1	3	3	0	188	0
Precinct 7623 - Election Day	0	30	22	55	1	11	0	1	0	712	122	0	1	1	0	120	0
Precinct 7623 - Vote By Mail	2	52	49	64	6	9	3	8	0	712	196	2	1	0	0	193	0
Precinct 7624 - Election Day	0	35	25	26	3	12	1	1	0	905	104	-1	0	1	0	104	1
Precinct 7624 - Vote By Mail	1	61	33	70	3	19	3	4	0	905	195	0	1	0	0	194	0
Precinct 7625 - Election Day	0	27	17	16	1	7	0	5	0	821	73	0	0	0	0	73	0
Precinct 7625 - Vote By Mail	2	151	83	75	8	18	3	68	0	821	415	-1	2	6	0	408	0
Precinct 7626 - Election Day	0	52	26	32	6	7	1	0	0	1,081	128	1	0	3	0	124	0
Precinct 7626 - Vote By Mail	0	136	103	61	21	26	0	8	0	1,081	361	-1	1	4	0	357	2
Precinct 7627 - Election Day	0	44	25	24	9	10	1	0	0	1,075	116	1	0	2	0	113	0
Precinct 7627 - Vote By Mail	0	130	84	38	29	25	2	3	0	1,075	319	-2	1	7	0	313	2
Precinct 7628 - Election Day	0	51	42	47	3	8	2	0	0	906	156	0	2	1	0	153	0
Precinct 7628 - Vote By Mail	3	86	80	66	1	21	3	4	0	906	267	0	2	1	0	264	0
Precinct 7629 - Election Day	0	32	32	40	0	2	0	0	0	805	108	0	0	1	0	107	1
Precinct 7629 - Vote By Mail	1	71	57	44	9	13	2	3	0	805	206	-2	0	5	0	203	3
Precinct 7631 - Election Day	1	49	30	50	1	10	1	3	0	1,085	146	-2	1	2	0	145	0
Precinct 7631 - Vote By Mail	1	117	90	75	18	25	2	3	0	1,085	339	1	1	5	0	332	1
Precinct 7632 - Election Day	0	56	57	46	2	4	1	0	0	965	167	1	0	0	0	166	0
Precinct 7632 - Vote By Mail	0	98	88	71	8	15	2	1	0	965	286	0	1	2	0	283	0
Precinct 7633 - Election Day	0	26	23	24	4	9	0	2	0	702	90	0	0	1	0	89	1
Precinct 7633 - Vote By Mail	0	95	58	48	6	15	2	26	0	702	253	0	1	2	0	250	0
Precinct 7634 - Election Day	1	34	27	27	3	15	2	6	0	859	120	1	0	4	0	115	0
Precinct 7634 - Vote By Mail	0	111	73	56	13	25	1	9	0	859	291	0	2	1	0	288	0
Precinct 7635 - Election Day	0	26	34	23	2	2	1	0	0	782	89	1	0	0	0	88	0
Precinct 7635 - Vote By Mail	1	115	54	41	7	16	2	1	0	782	242	-1	2	4	0	237	0
Precinct 7636 - Election Day	0	61	27	31	4	7	0	2	0	920	134	-1	0	3	0	132	0
Precinct 7636 - Vote By Mail	0	112	62	41	14	18	1	0	0	920	251	1	0	2	0	248	0
Precinct 7637 - Election Day	2	37	13	24	4	7	0	2	0	732	89	0	0	0	0	89	0
Precinct 7637 - Vote By Mail	1	114	69	39	8	8	2	4	0	732	249	-1	0	3	0	247	2
Precinct 7638 - Election Day	0	67	17	27	8	5	0	0	0	1,365	129	1	0	4	0	124	0
Precinct 7638 - Vote By Mail	0	232	106	66	37	36	1	5	0	1,365	492	0	0	6	0	486	3
Precinct 7639 - Election Day	0	55	22	20	5	4	0	2	0	962	110	1	0	1	0	108	0
Precinct 7639 - Vote By Mail	1	140	83	50	9	16	2	6	0	962	319	-1	2	10	0	308	1
Precinct 7641 - Election Day	1	46	29	20	7	11	0	0	0	931	114	0	0	0	0	114	0
Precinct 7641 - Vote By Mail	0	142	102	56	32	16	3	20	0	931	374	-2	0	4	0	372	1
Precinct 7642 - Election Day	0	47	11	17	1	6	0	0	0	909	84	0	0	2	0	82	0
Precinct 7642 - Vote By Mail	1	157	37	36	12	12	3	1	0	909	268	0	1	8	0	259	0
Precinct 7643 - Election Day	0	37	27	23	1	3	1	4	0	871	99	0	0	3	0	96	0
Precinct 7643 - Vote By Mail	0	132	81	74	10	26	1	27	0	871	355	0	1	3	0	351	0
Precinct 7644 - Election Day	4	80	21	35	2	8	0	4	0	1,082	156	1	0	1	0	154	0
Precinct 7644 - Vote By Mail	0	126	56	67	6	14	2	12	0	1,082	291	1	0	6	0	284	1
Precinct 7645 - Election Day	0	30	9	12	3	4	1	0	0	631	63	0	0	1	0	62	3
Precinct 7645 - Vote By Mail	0	108	74	30	8	21	1	1	0	631	241	-4	1	1	0	243	0
Precinct 7646 - Election Day	0	43	18	37	0	6	2	1	0	1,035	110	0	0	3	0	107	0
Precinct 7646 - Vote By Mail	1	155	66	73	9	15	1	2	0	1,035	326	1	0	3	0	322	0
Precinct 7647 - Election Day	1	34	17	36	5	11	0	1	0	1,027	107	0	0	1	0	106	1
Precinct 7647 - Vote By Mail	1	73	47	49	0	8	3	1	0	1,027	185	-1	1	3	0	182	0
Precinct 7648 MB - Vote By Mail	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Precinct 7649 - Election Day	1	42	17	26	0	6	4	1	0	877	97	0	0	0	0	97	0
Precinct 7649 - Vote By Mail	1	83	55	46	4	20	2	16	0	877	234	2	3	2	0	227	0
Precinct 7651 - Election Day	0	33	5	3	2	2	1	0	0	555	48	1	0	0	0	47	1
Precinct 7651 - Vote By Mail	0	69	40	27	6	7	1	5	0	555	155	-1	0	1	0	155	0
Precinct 7652 - Election Day	0	30	12	16	1	7	0	1	0	580	68	0	0	1	0	67	0
Precinct 7652 - Vote By Mail	1	68	44	35	5	6	0	5	0	580	163	-3	1	0	0	165	1
Precinct 7653 - Election Day	2	57	24	36	2	9	1	2	0	1,092	137	2	0	2	0	133	0
Precinct 7653 - Vote By Mail	1	174	50	63	8	16	1	6	0	1,092	321	0	1	1	0	319	0
Precinct 7701 - Election Day	0	72	59	68	6	13	1	0	0	1,012	225	0	0	6	0	219	0
Precinct 7701 - Vote By Mail	1	149	98	84	10	26	2	4	0	1,012	383	-1	1	8	0	375	1
Precinct 7702 - Election Day	0	44	24	24	3	17	0	4	0	704	117	0	0	1	0	116	0
Precinct 7702 - Vote By Mail	0	113	92	44	15	29	1	3	0	704	302	0	1	4	0	297	0
Precinct 7703 MB - Vote By Mail	1	24	16	11	2	6	2	2	0	172	66	-1	1	1	0	65	1
Precinct 7704 - Election Day	2	81	47	49	8	18	1	1	0	977	208	0	0	1	0	207	0
Precinct 7704 - Vote By Mail	2	157	99	55	14	50	1	10	0	977	396	2	0	5	0	389	1
Precinct 7705 - Election Day	0	49	42	14	2	10	0	1	0	547	123	1	0	2	0	120	2
Precinct 7705 - Vote By Mail	1	92	65	30	11	21	0	3	0	547	227	0	0	2	0	225	2
Precinct 7706 - Election Day	0	70	52	34	10	21	0	0	0	821	189	0	0	1	0	188	1
Precinct 7706 - Vote By Mail	2	147	95	51	12	30	0	0	0	821	341	-1	0	3	0	339	2
Precinct 7707 - Election Day	0	75	48	38	6	21	2	5	0	839	200	2	0	2	0	196	1
Precinct 7707 - Vote By Mail	0	145	115	58	9	41	2	3	0	839	379	0	0	5	0	374	1
Precinct 7708 - Election Day	1	74	55	26	8	13	2	0	0	860	181	0	0	2	0	179	0
Precinct 7708 - Vote By Mail	0	159	122	65	11	32	2	7	0	860	400	-1	0	3	0	398	0
Precinct 7709 - Election Day	0	18	23	32	2	5	0	3	0	383	85	1	0	1	0	83	0
Precinct 7709 - Vote By Mail	0	58	47	46	5	11	2	3	0	383	174	1	0	1	0	172	0
Precinct 7711 - Election Day	1	51	50	43	1	13	1	1	0	772	162	0	0	1	0	161	0
Precinct 7711 - Vote By Mail	0	143	79	74	15	27	2	4	0	772	344	-3	1	1	0	345	1
Precinct 7712 - Election Day	0	44	32	39	4	6	2	1	0	524	131	1	1	1	0	128	0
Precinct 7712 - Vote By Mail	0	93	57	52	6	10	0	11	0	524	230	-1	1	1	0	229	0
Precinct 7801 - Election Day	0	84	83	47	1	10	1	0	0	970	230	0	0	3	0	227	1
Precinct 7801 - Vote By Mail	1	158	155	81	5	21	2	1	0	970	424	-5	1	4	0	424	0
Precinct 7802 - Election Day	2	87	71	33	1	9	1	0	0	762	205	-1	0	2	0	204	0
Precinct 7802 - Vote By Mail	0	115	115	54	8	15	1	0	0	762	313	-2	1	4	0	310	2
Precinct 7803 - Election Day	0	47	50	30	3	11	0	0	0	823	143	0	0	2	0	141	0
Precinct 7803 - Vote By Mail	1	129	200	46	12	14	2	4	0	823	412	-1	0	5	0	408	0
Precinct 7804 - Election Day	0	72	105	45	2	7	1	1	0	891	236	0	0	3	0	233	0
Precinct 7804 - Vote By Mail	0	150	164	63	6	5	3	1	0	891	394	-1	1	1	0	393	1
Precinct 7805 - Election Day	0	41	70	54	0	4	1	1	0	785	176	2	0	3	0	171	0
Precinct 7805 - Vote By Mail	0	111	163	50	6	10	3	0	0	785	348	0	1	4	0	343	0
Precinct 7806 - Election Day	1	48	53	54	0	4	1	0	0	699	163	1	0	1	0	161	0
Precinct 7806 - Vote By Mail	0	102	107	57	5	9	0	1	0	699	283	0	0	2	0	281	0
Precinct 7807 - Election Day	0	68	105	47	2	6	0	0	0	796	228	-1	0	1	0	228	0
Precinct 7807 - Vote By Mail	0	90	113	62	4	4	1	0	0	796	273	-1	0	0	0	274	0
Precinct 7808 - Election Day	2	60	66	44	1	2	0	1	0	655	178	0	0	2	0	176	0
Precinct 7808 - Vote By Mail	1	71	86	66	3	12	0	0	0	655	243	1	1	1	0	240	1
Precinct 7809 - Election Day	0	45	55	51	1	5	0	0	0	742	160	-1	1	3	0	157	0
Precinct 7809 - Vote By Mail	1	88	91	72	2	5	2	2	0	742	267	2	0	1	0	264	1
Precinct 7811 - Election Day	0	46	55	70	2	6	4	3	0	726	186	-1	0	1	0	186	0
Precinct 7811 - Vote By Mail	0	70	78	80	4	4	3	2	0	726	243	1	1	0	0	241	0
Precinct 7812 - Election Day	1	55	64	69	5	7	2	4	0	843	207	-1	0	1	0	207	0
Precinct 7812 - Vote By Mail	2	111	93	60	5	10	2	2	0	843	292	-1	3	4	0	286	1
