Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts - Total	133,190	105,774	481,991	253,583	-56	132	14,543	238,964
All Precincts - Election Day	52,313	31,914	481,991	89,756	-87	46	5,570	84,227
All Precincts - Vote By Mail	80,877	73,860	481,991	163,827	31	86	8,973	154,737
Precinct 1101 - Election Day	51	28	544	83	-1	0	5	79
Precinct 1101 - Vote By Mail	104	91	544	198	1	0	2	195
Precinct 1102 - Election Day	100	82	964	188	1	0	5	182
Precinct 1102 - Vote By Mail	135	182	964	337	-2	0	22	317
Precinct 1103 - Election Day	74	81	914	163	0	0	8	155
Precinct 1103 - Vote By Mail	150	173	914	348	0	0	25	323
Precinct 1104/1105 - Election Day	87	68	953	167	0	0	12	155
Precinct 1104/1105 - Vote By Mail	172	103	953	292	1	0	16	275
Precinct 1106 - Election Day	56	52	740	113	0	0	5	108
Precinct 1106 - Vote By Mail	116	108	740	231	-1	1	7	224
Precinct 1107 - Election Day	65	26	721	101	0	0	10	91
Precinct 1107 - Vote By Mail	92	135	721	240	1	0	12	227
Precinct 1108 - Election Day	95	46	882	156	0	0	15	141
Precinct 1108 - Vote By Mail	152	154	882	328	1	0	21	306
Precinct 1109 - Election Day	75	45	758	124	-3	0	7	120
Precinct 1109 - Vote By Mail	94	151	758	265	3	0	17	245
Precinct 1111 - Election Day	82	40	938	132	-2	0	12	122
Precinct 1111 - Vote By Mail	142	168	938	330	5	0	15	310
Precinct 1112 - Election Day	56	30	702	96	2	0	8	86
Precinct 1112 - Vote By Mail	97	115	702	221	0	0	9	212
Precinct 1113 - Election Day	56	20	701	82	-1	0	7	76
Precinct 1113 - Vote By Mail	106	151	701	272	0	0	15	257
Precinct 1114 - Election Day	87	40	915	139	0	0	12	127
Precinct 1114 - Vote By Mail	145	117	915	280	1	0	17	262
Precinct 1115 - Election Day	54	38	835	97	0	0	5	92
Precinct 1115 - Vote By Mail	123	133	835	279	-1	0	24	256
Precinct 1116 - Election Day	87	35	842	141	-1	0	20	122
Precinct 1116 - Vote By Mail	126	128	842	275	0	0	21	254
Precinct 1117 - Election Day	82	37	827	138	-1	0	20	119
Precinct 1117 - Vote By Mail	118	113	827	240	0	0	9	231
Precinct 1118 - Election Day	94	46	974	158	2	0	16	140
Precinct 1118 - Vote By Mail	132	179	974	335	2	0	22	311
Precinct 1119 - Election Day	64	29	745	97	-1	0	5	93
Precinct 1119 - Vote By Mail	132	129	745	274	-1	0	14	261
Precinct 1121 - Election Day	51	46	653	104	0	0	7	97
Precinct 1121 - Vote By Mail	82	123	653	221	1	0	15	205
Precinct 1122 - Election Day	32	29	607	69	0	0	8	61
Precinct 1122 - Vote By Mail	72	130	607	213	-1	0	12	202
Precinct 1123 - Election Day	73	35	876	118	-1	0	11	108
Precinct 1123 - Vote By Mail	119	133	876	254	-2	0	4	252
