Subtotal Area	CURTIS KARNOW	MARIA EVANGELISTA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7002 - None	38	71	641	132	1	0	22	109	0
Precinct 7002 - None	72	77	641	173	0	1	23	149	0
Precinct 7003 - None	68	74	864	188	-1	0	46	143	1
Precinct 7003 - None	147	127	864	340	1	0	65	274	0
Precinct 7004 - None	65	59	835	175	-1	0	51	125	1
Precinct 7004 - None	145	106	835	306	6	0	47	253	2
Precinct 7005 - None	64	78	812	180	-1	0	39	142	0
Precinct 7005 - None	116	122	812	295	2	0	55	238	0
Precinct 7006 - None	51	112	884	213	-1	0	50	164	1
Precinct 7006 - None	99	146	884	290	1	0	44	245	0
Precinct 7007 - None	74	111	916	233	-4	0	51	186	1
Precinct 7007 - None	155	113	916	323	2	0	52	269	1
Precinct 7008 - None	68	66	861	187	0	0	53	134	0
Precinct 7008 - None	155	116	861	345	0	0	74	271	0
Precinct 7009 - None	34	70	864	133	-1	0	29	105	1
Precinct 7009 - None	138	110	864	312	-2	0	66	248	0
Precinct 7011 - None	41	59	976	141	0	0	38	103	3
Precinct 7011 - None	72	94	976	205	1	0	36	168	2
Precinct 7012 - None	81	101	1,061	224	0	0	40	184	2
Precinct 7012 - None	162	153	1,061	383	0	0	66	317	2
Precinct 7013 - None	44	58	805	132	0	0	29	103	1
Precinct 7013 - None	106	101	805	251	2	0	41	208	1
Precinct 7014 - None	63	89	1,213	188	-2	0	38	152	0
Precinct 7014 - None	190	172	1,213	434	-1	0	72	363	1
Precinct 7015 MB - None	8	24	93	34	0	0	2	32	0
Precinct 7016 - None	19	56	891	112	2	0	35	75	0
Precinct 7016 - None	93	83	891	221	2	0	42	177	1
Precinct 7017 - None	25	24	734	79	0	0	30	49	0
Precinct 7017 - None	59	73	734	167	1	0	34	132	0
Precinct 7018 - None	20	43	908	88	-1	0	26	63	0
Precinct 7018 - None	163	103	908	343	5	0	70	268	2
Precinct 7019 - None	31	47	864	111	2	0	31	78	0
Precinct 7019 - None	179	109	864	349	-1	0	60	290	2
Precinct 7021 - None	34	66	927	129	0	0	28	101	1
Precinct 7021 - None	83	87	927	220	-1	0	49	172	2
Precinct 7022 - None	44	88	923	164	-1	0	32	133	1
Precinct 7022 - None	103	119	923	270	2	0	45	223	1
Precinct 7023 - None	27	70	906	131	-1	0	32	100	3
Precinct 7023 - None	121	130	906	301	-3	0	52	252	1
Precinct 7024 - None	7	13	386	30	0	0	10	20	0
Precinct 7024 - None	19	21	386	47	1	0	6	40	0
Precinct 7025 - None	16	35	448	66	1	0	13	52	1
Precinct 7025 - None	27	41	448	78	2	0	8	68	0
Precinct 7026 - None	27	40	971	90	-1	1	22	68	1
Precinct 7026 - None	185	98	971	350	8	0	58	284	1
Precinct 7027 - None	40	47	845	136	2	0	46	88	1
Precinct 7027 - None	106	97	845	271	2	0	65	204	1
Precinct 7028 - None	47	77	835	157	-1	0	34	124	0
Precinct 7028 - None	71	72	835	180	0	0	34	146	3
Precinct 7029 - None	26	60	855	115	1	0	28	86	0
Precinct 7029 - None	59	74	855	166	2	0	30	134	1
Precinct 7030 - None	29	45	729	94	0	0	18	76	2
Precinct 7030 - None	117	97	729	277	0	0	62	215	1
Precinct 7031 - None	17	21	611	50	0	0	11	39	1
Precinct 7031 - None	106	63	611	224	0	0	54	170	1
Precinct 7032 - None	31	55	867	126	-2	0	41	87	1
Precinct 7032 - None	95	94	867	238	1	0	48	189	0
Precinct 7033 - None	36	61	765	135	0	0	35	100	3
Precinct 7033 - None	69	82	765	181	0	1	29	151	0
Precinct 7034 - None	27	38	914	97	0	1	30	66	1
Precinct 7034 - None	49	67	914	154	-1	0	37	118	2
Precinct 7035 - None	20	34	553	73	-1	0	20	54	0
Precinct 7035 - None	60	74	553	170	1	0	33	136	2
Precinct 7036 - None	14	27	898	52	0	0	11	41	0
Precinct 7036 - None	121	97	898	265	0	0	42	223	5
Precinct 7037 - None	20	29	730	73	0	0	24	49	0
