Subtotal Area	CURTIS KARNOW	MARIA EVANGELISTA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7634 - None	41	45	859	120	1	0	32	87	1
Precinct 7634 - None	146	103	859	291	2	0	40	249	0
Precinct 7635 - None	24	44	782	89	0	0	20	69	1
Precinct 7635 - None	94	110	782	242	3	0	32	207	3
Precinct 7636 - None	59	42	920	134	-1	0	34	101	0
Precinct 7636 - None	95	100	920	251	-1	0	57	195	0
Precinct 7637 - None	32	37	732	89	0	0	19	70	1
Precinct 7637 - None	126	75	732	249	0	0	48	201	0
Precinct 7638 - None	54	38	1,365	129	0	0	37	92	0
Precinct 7638 - None	278	103	1,365	492	2	0	107	383	2
Precinct 7639 - None	43	34	962	110	1	0	30	79	2
Precinct 7639 - None	157	85	962	319	-2	0	78	243	1
Precinct 7641 - None	51	34	931	114	0	0	29	85	0
Precinct 7641 - None	198	95	931	374	0	0	79	295	2
Precinct 7642 - None	23	31	909	84	0	0	29	55	1
Precinct 7642 - None	77	82	909	268	0	0	108	160	1
Precinct 7643 - None	28	35	871	99	0	0	36	63	0
Precinct 7643 - None	180	106	871	355	2	1	66	286	0
Precinct 7644 - None	55	62	1,082	156	-2	0	41	117	0
Precinct 7644 - None	142	79	1,082	291	1	1	68	221	0
Precinct 7645 - None	28	24	631	63	0	0	10	53	1
Precinct 7645 - None	127	71	631	241	-3	0	45	199	1
Precinct 7646 - None	33	40	1,035	110	0	0	35	75	2
Precinct 7646 - None	178	81	1,035	326	0	0	67	259	0
Precinct 7647 - None	23	63	1,027	107	0	0	17	90	4
Precinct 7647 - None	58	94	1,027	185	0	0	33	152	0
Precinct 7648 MB - None	0	0	2	0	0	0	0	0	0
Precinct 7649 - None	34	40	877	97	1	1	19	76	2
Precinct 7649 - None	101	85	877	234	2	0	45	187	1
Precinct 7651 - None	20	20	555	48	0	0	8	40	0
Precinct 7651 - None	81	49	555	155	0	0	25	130	0
Precinct 7652 - None	26	28	580	68	-1	0	14	55	1
Precinct 7652 - None	72	55	580	163	-3	0	39	127	0
Precinct 7653 - None	44	58	1,092	137	1	0	34	102	0
Precinct 7653 - None	148	107	1,092	321	0	0	63	258	3
Precinct 7701 - None	72	94	1,012	225	0	0	57	168	2
Precinct 7701 - None	152	136	1,012	383	2	1	91	289	1
Precinct 7702 - None	55	41	704	117	0	0	21	96	0
Precinct 7702 - None	171	71	704	302	-1	0	60	243	1
Precinct 7703 MB - None	23	20	172	66	1	1	19	45	2
Precinct 7704 - None	89	71	977	208	0	0	46	162	2
Precinct 7704 - None	209	110	977	396	1	0	75	320	1
Precinct 7705 - None	62	33	547	123	0	0	28	95	0
Precinct 7705 - None	126	62	547	227	0	1	38	188	0
Precinct 7706 - None	97	65	821	189	0	0	27	162	0
Precinct 7706 - None	186	99	821	341	0	0	54	287	2
Precinct 7707 - None	93	64	839	200	1	0	42	157	0
Precinct 7707 - None	215	84	839	379	-1	0	81	299	0
Precinct 7708 - None	65	64	860	181	1	0	51	129	0
Precinct 7708 - None	214	134	860	400	-1	0	53	348	0
Precinct 7709 - None	21	43	383	85	1	0	20	64	0
Precinct 7709 - None	70	78	383	174	0	0	26	148	0
Precinct 7711 - None	57	70	772	162	0	0	35	127	0
Precinct 7711 - None	176	106	772	344	0	1	60	283	1
Precinct 7712 - None	49	56	524	131	0	0	26	105	0
Precinct 7712 - None	98	88	524	230	-1	0	42	189	3
Precinct 7801 - None	89	83	970	230	1	0	57	172	0
Precinct 7801 - None	237	122	970	424	-2	1	66	359	0
Precinct 7802 - None	85	71	762	205	-1	0	50	156	0
Precinct 7802 - None	143	106	762	313	2	0	62	249	0
Precinct 7803 - None	57	57	823	143	0	0	29	114	0
Precinct 7803 - None	221	122	823	412	-1	0	70	343	0
Precinct 7804 - None	94	103	891	236	0	0	37	199	2
Precinct 7804 - None	210	110	891	394	0	0	72	322	2
Precinct 7805 - None	63	90	785	176	1	0	22	153	0
Precinct 7805 - None	160	117	785	348	-1	0	71	278	1
Precinct 7806 - None	51	77	699	163	0	0	35	128	0
Precinct 7806 - None	138	91	699	283	3	0	51	229	0
Precinct 7807 - None	84	97	796	228	2	0	45	181	0
Precinct 7807 - None	114	99	796	273	0	0	58	215	2
Precinct 7808 - None	75	69	655	178	0	0	33	145	1
Precinct 7808 - None	95	103	655	243	0	0	45	198	0
Precinct 7809 - None	51	82	742	160	-1	0	28	133	0
Precinct 7809 - None	109	109	742	267	0	0	48	219	1
Precinct 7811 - None	52	102	726	186	-1	0	33	154	0
Precinct 7811 - None	93	109	726	243	1	0	40	202	0
Precinct 7812 - None	68	95	843	207	0	0	44	163	0
Precinct 7812 - None	126	117	843	292	-2	1	47	246	3
Precinct 7813 - None	69	118	988	251	-1	0	63	189	2
Precinct 7813 - None	146	147	988	362	1	0	67	294	1
Precinct 7814 - None	32	110	892	173	-1	0	32	142	0
Precinct 7814 - None	87	104	892	223	1	1	30	191	0
Precinct 7815 - None	67	74	914	178	-1	0	38	141	0
Precinct 7815 - None	199	142	914	407	0	0	66	341	0
Precinct 7816 - None	81	85	858	202	1	0	35	166	0
Precinct 7816 - None	197	120	858	390	0	0	73	317	0
Precinct 7817 - None	86	91	795	215	-1	0	39	177	0
Precinct 7817 - None	129	135	795	309	2	0	43	264	0
Precinct 7818 - None	63	71	823	172	0	0	37	135	1
Precinct 7818 - None	141	131	823	335	0	0	62	273	1
Precinct 7819 - None	49	84	760	169	0	0	35	134	1
Precinct 7819 - None	118	130	760	297	1	0	48	248	0
Precinct 7821 - None	82	97	947	229	0	0	50	179	0
Precinct 7821 - None	225	145	947	439	0	0	69	370	0
Precinct 7822 - None	92	106	927	244	0	0	46	198	0
Precinct 7822 - None	171	121	927	343	1	0	49	293	1
Precinct 7823 - None	74	123	857	237	0	0	39	198	1
Precinct 7823 - None	154	137	857	347	1	0	55	291	0
Precinct 7824 - None	61	72	756	170	0	0	35	135	2
Precinct 7824 - None	123	103	756	274	3	0	45	226	0
Precinct 7825 - None	57	69	580	160	-1	0	35	126	0
Precinct 7825 - None	88	92	580	215	0	0	35	180	0
Precinct 7826 - None	67	99	665	214	0	0	46	168	2
Precinct 7826 - None	71	83	665	194	-2	0	42	154	0
Precinct 7827 - None	45	116	828	199	0	0	38	161	0
Precinct 7827 - None	90	122	828	252	0	0	39	213	1
Precinct 7828 - None	72	85	976	205	2	0	45	158	1
Precinct 7828 - None	185	131	976	397	-1	0	80	318	2
Precinct 7829 - None	85	74	882	199	0	0	40	159	0
Precinct 7829 - None	211	109	882	391	-1	0	72	320	0
Precinct 7831 - None	85	79	828	202	1	0	37	164	0
Precinct 7831 - None	189	113	828	369	1	0	65	303	1
Precinct 7832 - None	69	55	781	162	-1	0	36	127	3
Precinct 7832 - None	170	109	781	343	-1	0	65	279	0
Precinct 7833 - None	57	79	745	182	-1	0	47	136	0
Precinct 7833 - None	93	127	745	271	0	0	51	220	0
Precinct 7834 - None	56	118	836	225	-1	0	51	175	1
Precinct 7834 - None	108	131	836	288	-1	0	49	240	1
Precinct 7835 - None	60	76	808	175	0	0	37	138	2
Precinct 7835 - None	165	119	808	338	-1	0	52	287	3
Precinct 7836 - None	86	80	979	199	0	0	31	168	2
Precinct 7836 - None	187	163	979	421	0	0	67	354	4
Precinct 7837 - None	106	84	883	237	1	1	45	190	0
Precinct 7837 - None	165	92	883	339	0	0	82	257	0
Precinct 7838 - None	90	78	891	210	0	0	42	168	0
Precinct 7838 - None	209	136	891	413	1	0	67	345	0
Precinct 7839 - None	82	48	830	172	-2	0	44	130	0
Precinct 7839 - None	209	115	830	389	1	0	64	324	0
Precinct 7841 - None	80	98	898	240	0	0	61	179	1
Precinct 7841 - None	156	125	898	353	0	0	69	284	3
Precinct 7842 - None	81	104	873	214	0	0	29	185	0
Precinct 7842 - None	126	132	873	308	2	0	47	259	1
Precinct 7843 - None	60	90	751	182	-1	0	32	151	1
Precinct 7843 - None	101	118	751	267	0	1	47	219	0
Precinct 7844 - None	50	80	635	160	1	0	29	130	0
Precinct 7844 - None	91	117	635	245	-1	0	37	209	1
Precinct 7845 - None	90	67	803	202	-1	0	46	157	0
Precinct 7845 - None	173	84	803	314	-1	0	58	257	0
Precinct 7846 - None	103	66	871	221	-1	0	50	172	3
Precinct 7846 - None	178	84	871	330	3	0	65	262	0
Precinct 7847 - None	78	84	878	207	0	0	44	163	1
Precinct 7847 - None	176	122	878	358	-2	0	62	298	0
Precinct 7848 - None	90	83	838	209	-2	0	36	175	2
Precinct 7848 - None	166	121	838	346	-2	1	58	289	2
Precinct 7849 - None	76	106	904	237	-1	0	56	182	0
Precinct 7849 - None	153	132	904	353	0	0	68	285	0
Precinct 7851 - None	55	30	493	118	0	0	33	85	0
Precinct 7851 - None	125	42	493	204	0	1	36	167	0
Precinct 7852 - None	47	37	634	104	0	0	20	84	0
Precinct 7852 - None	158	96	634	303	0	0	49	254	0
Precinct 7853 - None	75	58	837	180	0	0	45	135	2
Precinct 7853 - None	176	113	837	333	0	0	44	289	0
Precinct 7854 - None	77	86	874	216	0	1	51	164	1
Precinct 7854 - None	171	115	874	346	0	0	60	286	0
Precinct 7855 - None	106	109	949	259	0	0	44	215	0
Precinct 7855 - None	159	123	949	359	-2	1	77	283	1
Precinct 7856 - None	80	90	790	204	1	0	33	170	0
Precinct 7856 - None	148	105	790	312	-1	0	58	255	2
Precinct 7857 - None	65	108	913	226	0	0	52	174	1
Precinct 7857 - None	130	139	913	350	0	1	80	269	0
Precinct 7858 - None	42	106	743	192	0	0	44	148	0
Precinct 7858 - None	90	127	743	252	1	0	34	217	0
Precinct 7859 - None	99	77	879	219	0	0	42	177	1
Precinct 7859 - None	191	97	879	352	0	0	63	289	1
Precinct 7861 - None	73	79	835	184	0	0	31	153	1
Precinct 7861 - None	178	129	835	367	0	1	58	308	1
Precinct 7862 - None	100	93	850	237	0	0	44	193	0
Precinct 7862 - None	162	113	850	323	-1	0	48	276	1
Precinct 7863 - None	73	122	870	237	0	0	40	197	2
Precinct 7863 - None	117	135	870	302	0	0	50	252	0
Precinct 7864 - None	56	103	773	188	0	0	29	159	0
Precinct 7864 - None	118	116	773	284	-2	1	51	234	0
Precinct 7865 - None	56	83	808	178	0	0	39	139	0
Precinct 7865 - None	128	127	808	310	0	0	55	255	0
Precinct 7866 - None	78	67	816	184	0	0	38	146	1
Precinct 7866 - None	234	91	816	389	0	0	64	325	0
Precinct 7867 - None	81	63	932	209	0	1	61	147	3
Precinct 7867 - None	186	142	932	385	3	0	52	330	2
Precinct 7868 - None	86	99	860	218	0	0	31	187	2
Precinct 7868 - None	176	101	860	324	1	0	45	278	1
Precinct 7869 - None	85	94	842	219	1	0	39	179	0
Precinct 7869 - None	194	120	842	376	-1	0	63	314	0
Precinct 7871 - None	90	101	882	240	-3	0	51	192	1
Precinct 7871 - None	188	122	882	364	1	0	50	313	3
Precinct 7872 - None	85	92	864	242	0	0	65	177	0
Precinct 7872 - None	145	146	864	369	0	0	78	291	0
Precinct 7873 - None	95	89	841	231	0	0	46	185	1
Precinct 7873 - None	210	122	841	387	0	0	54	333	1
Precinct 7874 - None	35	36	453	85	0	0	14	71	0
Precinct 7874 - None	90	55	453	174	1	0	27	146	1
Precinct 7875 - None	33	68	615	127	0	0	25	102	1
Precinct 7875 - None	61	100	615	203	-2	0	42	163	2
Precinct 7876 - None	33	45	491	101	0	0	23	78	0
Precinct 7876 - None	57	56	491	148	-1	0	36	113	0
Precinct 7901 - None	15	43	466	87	-1	0	28	60	2
Precinct 7901 - None	42	64	466	133	0	0	26	107	1
Precinct 7902 - None	46	104	921	188	0	0	34	154	4
Precinct 7902 - None	73	135	921	259	0	0	50	209	1
Precinct 7903 - None	23	85	819	144	0	1	33	110	2
Precinct 7903 - None	79	126	819	244	0	0	38	206	1
Precinct 7904 - None	41	72	846	137	0	0	24	113	0
Precinct 7904 - None	95	115	846	248	-1	0	39	210	0
Precinct 7905 - None	62	95	821	199	1	0	39	159	2
Precinct 7905 - None	112	121	821	275	3	0	39	233	0
Precinct 7906 - None	32	93	769	164	1	0	38	125	0
Precinct 7906 - None	72	95	769	214	-1	0	48	167	0
Precinct 7907 - None	50	118	926	201	2	0	30	169	1
Precinct 7907 - None	101	139	926	286	1	0	44	241	1
Precinct 7908 - None	58	105	936	191	0	0	27	164	1
Precinct 7908 - None	103	128	936	267	0	0	35	232	1
Precinct 7909 - None	38	124	726	190	0	0	27	163	1
Precinct 7909 - None	73	112	726	221	0	0	36	185	0
Precinct 7911 - None	52	104	849	192	0	0	33	159	3
Precinct 7911 - None	79	125	849	250	1	0	43	206	2
Precinct 7912 - None	45	118	1,036	215	2	0	49	164	1
Precinct 7912 - None	118	137	1,036	314	4	0	54	256	1
Precinct 7913 - None	63	136	887	240	0	0	40	200	1
Precinct 7913 - None	78	134	887	244	-1	0	33	212	0
Precinct 7914 - None	56	120	833	208	0	0	32	176	0
Precinct 7914 - None	73	137	833	253	1	0	39	213	3
Precinct 7915 - None	48	121	802	213	0	0	44	169	0
Precinct 7915 - None	61	119	802	222	1	0	41	180	0
Precinct 7916 - None	52	123	887	215	0	0	39	176	1
Precinct 7916 - None	109	144	887	289	0	1	35	253	0
Precinct 7917 - None	41	161	983	254	-1	0	52	203	1
Precinct 7917 - None	85	165	983	287	0	1	36	250	0
Precinct 7918 - None	37	114	790	191	0	0	40	151	0
Precinct 7918 - None	80	116	790	234	-1	0	39	196	0
Precinct 7919 - None	39	142	857	217	0	0	36	181	0
Precinct 7919 - None	74	129	857	241	0	0	38	203	0
Precinct 7921 - None	36	88	883	151	-1	0	26	126	2
Precinct 7921 - None	74	104	883	210	0	0	32	178	0
Precinct 7922 - None	40	105	797	182	1	0	35	146	1
Precinct 7922 - None	78	128	797	241	1	0	33	207	1
Precinct 7923 - None	46	122	863	202	0	0	33	169	1
Precinct 7923 - None	70	136	863	241	0	0	35	206	0
Precinct 7924 - None	36	103	806	172	1	0	29	142	3
Precinct 7924 - None	86	135	806	247	0	0	26	221	0
Precinct 7925 - None	18	75	570	114	0	0	21	93	0
Precinct 7925 - None	65	100	570	191	0	0	26	165	0
Precinct 7926 - None	51	93	768	177	0	0	32	145	1
Precinct 7926 - None	108	132	768	296	0	0	53	243	3
Precinct 7927 - None	46	100	733	187	0	0	40	147	1
Precinct 7927 - None	118	127	733	289	-1	0	44	246	1
Precinct 7928 - None	85	123	899	253	-1	0	45	209	1
Precinct 7928 - None	117	142	899	297	2	0	36	259	0
Precinct 7929 - None	60	96	840	200	-1	0	44	157	1
Precinct 7929 - None	144	174	840	367	2	0	47	318	0
Precinct 7931 - None	68	81	732	189	0	0	40	149	0
Precinct 7931 - None	131	130	732	317	-1	0	56	262	1
Precinct 7932 - None	44	52	551	112	0	0	16	96	0
Precinct 7932 - None	101	84	551	225	0	0	40	185	0
Precinct 7933 MB - None	2	2	8	4	0	0	0	4	0
Precinct 7934 - None	39	111	885	195	-4	0	48	151	1
Precinct 7934 - None	120	154	885	328	2	0	50	276	2
Precinct 7935 - None	84	140	938	283	0	0	58	225	1
Precinct 7935 - None	144	168	938	370	2	0	56	312	0
Precinct 7936 - None	64	140	832	246	-1	0	43	204	0
Precinct 7936 - None	108	170	832	326	1	0	43	282	4
Precinct 7937 - None	64	119	874	223	0	1	39	183	0
Precinct 7937 - None	130	129	874	309	0	0	48	261	2
Precinct 7938 - None	37	85	774	162	0	0	39	123	1
Precinct 7938 - None	92	129	774	247	0	0	26	221	0
Precinct 7939 - None	57	89	667	186	2	0	36	148	2
Precinct 7939 - None	85	103	667	230	1	0	41	188	0
Precinct 7941 - None	53	80	728	167	1	0	30	136	3
Precinct 7941 - None	76	124	728	236	1	0	35	200	0
Precinct 7942 - None	44	78	893	166	1	0	43	122	0
Precinct 7942 - None	99	134	893	286	-1	0	52	235	2
Precinct 7943 - None	59	102	887	192	0	0	30	162	1
Precinct 7943 - None	121	145	887	319	2	1	50	266	0
Precinct 7944 - None	63	109	769	201	-1	0	30	172	0
Precinct 7944 - None	84	107	769	235	0	1	43	191	0
Precinct 7945 - None	37	59	897	118	0	0	21	97	1
Precinct 7945 - None	98	143	897	294	3	0	49	242	1
Precinct 7946 - None	41	65	909	134	1	0	25	108	2
Precinct 7946 - None	160	114	909	348	3	0	67	278	4
Precinct 7947 - None	33	67	894	128	-1	0	29	100	0
Precinct 7947 - None	155	90	894	327	-1	1	81	246	1
Precinct 7948 - None	52	79	900	165	0	0	33	132	1
Precinct 7948 - None	155	100	900	313	-2	0	59	256	1
Precinct 7949 - None	21	33	552	78	3	0	21	54	0
Precinct 7949 - None	133	49	552	224	0	0	42	182	0
Precinct 7951 - None	36	39	830	97	0	0	22	75	0
Precinct 7951 - None	168	109	830	341	0	0	63	278	1
Precinct 7952 - None	26	46	823	100	0	0	27	73	1
Precinct 7952 - None	141	101	823	288	-1	0	46	243	1
Precinct 7953 - None	33	53	795	103	-2	0	19	86	0
Precinct 7953 - None	156	84	795	294	0	0	54	240	0
Precinct 7955 - None	35	58	854	116	0	0	23	93	0
Precinct 7955 - None	156	102	854	320	0	0	62	258	0
Precinct 7956 - None	25	31	779	101	0	0	44	57	1
Precinct 7956 - None	144	65	779	247	3	1	34	209	0
Precinct 7957 - None	30	40	623	97	1	0	24	72	2
Precinct 7957 - None	89	78	623	217	0	0	49	168	1
Precinct 7958 MB - None	34	44	263	104	0	0	25	79	1
Precinct 7959 - None	26	63	695	110	0	0	19	91	2
Precinct 7959 - None	71	85	695	190	0	0	32	158	2
Precinct 9001 MB - None	49	40	257	101	2	0	10	89	0
Precinct 9101 - None	65	72	833	190	0	0	52	138	1
Precinct 9101 - None	161	94	833	323	0	0	68	255	0
Precinct 9102 - None	68	68	950	182	-1	0	46	137	1
Precinct 9102 - None	175	99	950	335	4	0	57	274	0
Precinct 9103 - None	74	59	924	174	0	1	39	134	1
Precinct 9103 - None	148	81	924	302	0	0	69	233	4
Precinct 9104 - None	41	89	937	176	0	0	43	133	3
Precinct 9104 - None	163	110	937	332	0	0	59	273	0
Precinct 9105 - None	86	54	888	191	1	0	49	141	1
Precinct 9105 - None	179	104	888	339	-1	0	55	285	2
Precinct 9106 - None	98	67	907	213	1	0	47	165	0
Precinct 9106 - None	170	99	907	334	4	1	59	270	1
Precinct 9107 - None	55	71	806	164	0	0	38	126	0
Precinct 9107 - None	100	92	806	246	1	0	53	192	0
Precinct 9108 - None	57	92	761	185	-1	0	36	150	1
Precinct 9108 - None	107	72	761	220	-1	0	42	179	0
Precinct 9109 - None	86	70	848	205	-1	0	49	157	1
Precinct 9109 - None	144	83	848	285	4	0	54	227	0
Precinct 9111 - None	44	65	756	150	0	0	41	109	0
Precinct 9111 - None	94	93	756	226	-1	0	40	187	0
Precinct 9112 - None	82	86	918	211	0	0	42	169	1
Precinct 9112 - None	138	102	918	295	0	0	55	240	0
Precinct 9113 - None	89	83	959	231	0	0	57	174	2
Precinct 9113 - None	170	99	959	351	1	0	81	269	0
Precinct 9114 - None	53	68	820	170	0	0	47	123	2
Precinct 9114 - None	112	105	820	273	1	1	54	217	0
Precinct 9115 - None	58	78	873	172	0	0	36	136	0
Precinct 9115 - None	116	124	873	287	2	1	44	240	0
Precinct 9116 - None	58	93	903	193	2	0	36	155	4
Precinct 9116 - None	140	114	903	314	4	0	54	256	2
Precinct 9117 - None	74	69	756	180	2	0	35	143	0
Precinct 9117 - None	155	73	756	285	1	0	56	228	0
Precinct 9118 - None	68	61	923	184	0	0	54	130	1
Precinct 9118 - None	133	80	923	268	0	0	55	213	0
Precinct 9119 - None	62	50	856	152	-2	0	42	112	0
Precinct 9119 - None	166	110	856	323	0	0	46	277	1
Precinct 9121 - None	79	67	890	188	0	0	40	148	2
Precinct 9121 - None	121	98	890	274	0	0	53	221	2
Precinct 9122 - None	54	50	913	131	0	0	27	104	0
Precinct 9122 - None	141	88	913	292	1	0	62	229	0
Precinct 9123 - None	67	70	829	175	0	0	38	137	0
Precinct 9123 - None	130	94	829	270	1	0	44	225	1
Precinct 9124 - None	57	57	832	150	0	0	36	114	0
Precinct 9124 - None	135	82	832	290	1	0	70	219	2
Precinct 9125 - None	55	65	822	159	1	0	37	121	1
Precinct 9125 - None	144	102	822	299	-3	1	53	248	2
Precinct 9126 - None	63	81	945	186	0	0	41	145	1
Precinct 9126 - None	170	102	945	350	0	0	78	272	0
Precinct 9127 - None	84	72	908	209	0	1	52	156	0
Precinct 9127 - None	154	104	908	315	-1	0	58	258	0
Precinct 9128 - None	75	72	805	188	0	0	41	147	0
Precinct 9128 - None	154	79	805	296	0	2	61	233	0
Precinct 9129 - None	69	68	713	173	0	0	33	140	3
Precinct 9129 - None	97	74	713	225	3	0	50	172	1
Precinct 9131 - None	56	66	740	151	0	0	27	124	2
Precinct 9131 - None	128	97	740	274	2	0	47	225	0
Precinct 9132 - None	49	79	827	167	0	0	38	129	1
Precinct 9132 - None	118	84	827	251	0	0	47	204	2
Precinct 9133 - None	77	75	1,007	188	0	0	36	152	0
Precinct 9133 - None	163	145	1,007	388	1	1	78	308	0
Precinct 9134 - None	40	61	893	132	0	0	30	102	1
Precinct 9134 - None	133	106	893	297	3	0	53	241	2
Precinct 9135 - None	50	63	778	149	0	0	34	115	2
Precinct 9135 - None	124	95	778	269	1	0	49	219	0
Precinct 9136 - None	68	84	894	191	0	0	38	153	1
Precinct 9136 - None	117	108	894	289	4	0	60	225	0
Precinct 9137 - None	64	88	946	201	0	0	49	152	0
Precinct 9137 - None	139	112	946	323	3	0	68	252	1
Precinct 9138 - None	66	45	892	155	-1	0	45	111	0
Precinct 9138 - None	177	89	892	323	-2	0	58	267	1
Precinct 9139 - None	71	58	912	163	-1	0	34	130	1
Precinct 9139 - None	188	98	912	356	1	0	69	286	0
Precinct 9141 - None	52	80	904	168	2	0	34	132	0
Precinct 9141 - None	176	101	904	328	-1	0	52	277	0
Precinct 9142 - None	73	107	921	219	1	0	36	182	2
Precinct 9142 - None	137	102	921	288	-1	0	50	239	0
Precinct 9143 - None	66	84	887	196	0	0	45	151	1
Precinct 9143 - None	149	101	887	315	3	0	62	250	0
Precinct 9144 - None	84	84	931	221	1	0	52	168	0
Precinct 9144 - None	167	87	931	322	-2	0	70	254	0
Precinct 9145 - None	79	75	837	197	0	0	43	154	0
Precinct 9145 - None	129	96	837	282	0	0	56	226	1
Precinct 9146 - None	74	86	866	206	0	0	45	161	1
Precinct 9146 - None	126	112	866	297	-1	0	59	239	1
Precinct 9147 - None	85	104	920	227	1	0	36	190	1
Precinct 9147 - None	128	118	920	318	-2	0	73	247	1
Precinct 9148 - None	93	94	946	226	0	0	37	189	2
Precinct 9148 - None	157	112	946	322	3	0	50	269	0
Precinct 9149 - None	74	79	884	196	0	0	42	154	1
Precinct 9149 - None	133	116	884	296	-1	0	47	250	1
Precinct 9151 - None	57	61	806	152	-1	0	35	118	0
Precinct 9151 - None	135	74	806	267	-1	0	59	209	0
Precinct 9152 - None	22	29	712	67	1	0	15	51	0
Precinct 9152 - None	57	58	712	138	1	0	21	116	1
Precinct 9201 - None	65	100	953	201	0	0	36	165	0
Precinct 9201 - None	86	92	953	229	2	0	49	178	0
Precinct 9202 - None	72	74	908	184	-1	0	39	146	0
Precinct 9202 - None	76	95	908	218	0	0	47	171	0
Precinct 9203 - None	59	46	968	145	0	0	39	106	1
Precinct 9203 - None	164	69	968	300	4	0	63	233	0
Precinct 9204 - None	60	40	809	147	0	0	46	101	1
Precinct 9204 - None	130	45	809	223	-3	1	50	175	0
Precinct 9205 - None	42	39	694	113	0	0	32	81	0
Precinct 9205 - None	91	58	694	201	2	0	50	149	0
Precinct 9206 - None	71	37	887	135	-1	0	28	108	0
Precinct 9206 - None	165	71	887	294	0	0	57	237	1
Precinct 9207 - None	73	34	913	148	0	0	41	107	0
Precinct 9207 - None	144	51	913	249	1	1	51	196	1
Precinct 9208 - None	62	46	936	147	0	0	37	110	2
Precinct 9208 - None	104	79	936	240	-1	0	58	183	0
Precinct 9209 - None	60	31	675	121	-1	0	31	91	0
Precinct 9209 - None	107	34	675	188	0	0	45	143	2
Precinct 9211 - None	50	48	834	130	0	0	32	98	0
Precinct 9211 - None	101	58	834	212	1	1	51	159	0
Precinct 9212 - None	49	40	764	121	0	0	31	90	1
Precinct 9212 - None	88	63	764	205	3	0	51	151	0
Precinct 9213 - None	56	54	890	140	0	0	30	110	0
Precinct 9213 - None	113	77	890	260	2	0	68	190	0
Precinct 9214 - None	37	22	581	92	0	0	33	59	0
Precinct 9214 - None	115	37	581	203	2	0	47	154	2
Precinct 9215 - None	58	33	626	130	0	0	39	91	0
Precinct 9215 - None	110	28	626	170	-1	0	32	139	1
Precinct 9216 - None	64	36	798	134	-1	0	35	100	0
Precinct 9216 - None	98	51	798	206	0	0	57	149	0
Precinct 9217 - None	52	37	684	123	0	1	33	89	0
Precinct 9217 - None	88	55	684	187	3	0	41	143	0
Precinct 9218 - None	54	36	797	119	0	0	28	91	1
Precinct 9218 - None	110	55	797	225	2	0	57	166	1
Precinct 9219 - None	58	53	733	146	0	0	33	113	2
Precinct 9219 - None	92	56	733	187	0	0	39	148	0
Precinct 9221 - None	60	27	641	121	0	0	33	88	1
Precinct 9221 - None	189	39	641	278	1	0	49	228	0
Precinct 9222 - None	73	30	842	139	-1	0	36	104	1
Precinct 9222 - None	160	51	842	268	3	0	53	212	1
Precinct 9223 - None	47	23	606	88	1	0	17	70	0
Precinct 9223 - None	125	36	606	202	1	0	40	161	0
Precinct 9224 - None	73	47	912	171	6	0	44	121	1
Precinct 9224 - None	152	83	912	308	7	0	66	235	0
Precinct 9225 - None	79	49	898	161	0	0	33	128	0
Precinct 9225 - None	116	74	898	243	0	0	53	190	0
Precinct 9226 - None	70	38	905	143	-1	0	35	109	1
Precinct 9226 - None	153	76	905	312	0	0	81	231	2
Precinct 9227 - None	72	35	729	140	0	0	32	108	1
Precinct 9227 - None	179	61	729	304	-1	1	63	241	1
Precinct 9228 - None	89	37	726	175	3	0	46	126	0
Precinct 9228 - None	168	49	726	277	4	0	56	217	0
Precinct 9229 - None	67	35	596	130	-1	0	29	102	0
Precinct 9229 - None	144	40	596	219	-1	0	36	184	0
Precinct 9231 - None	125	54	919	221	-2	0	42	181	2
Precinct 9231 - None	159	83	919	294	-2	0	54	242	0
Precinct 9232 - None	73	40	701	151	0	0	38	113	0
Precinct 9232 - None	169	51	701	274	1	1	52	220	0
Precinct 9233 - None	63	28	774	139	0	0	48	91	0
Precinct 9233 - None	172	60	774	308	2	0	74	232	0
Precinct 9234 - None	66	31	731	131	-1	0	34	98	1
Precinct 9234 - None	167	59	731	281	3	0	52	226	0
Precinct 9235 - None	83	44	842	174	1	0	46	127	0
Precinct 9235 - None	167	67	842	298	-1	0	64	235	1
Precinct 9236 - None	69	22	658	130	0	0	39	91	0
Precinct 9236 - None	121	42	658	207	3	0	41	163	0
Precinct 9237 - None	70	37	880	145	0	0	37	108	1
Precinct 9237 - None	175	65	880	331	-1	0	89	243	3
Precinct 9238 - None	61	33	792	130	0	0	36	94	0
Precinct 9238 - None	162	52	792	271	-1	0	58	214	0
Precinct 9239 - None	63	23	835	117	0	0	29	88	2
Precinct 9239 - None	173	80	835	318	0	0	64	254	1
Precinct 9241 - None	81	44	961	158	1	0	31	126	1
Precinct 9241 - None	191	81	961	322	2	0	47	273	1
Precinct 9242 - None	62	40	940	154	0	0	52	102	0
Precinct 9242 - None	152	86	940	300	3	0	58	239	1
Precinct 9243 - None	59	39	572	135	0	0	36	99	1
Precinct 9243 - None	94	57	572	188	1	0	36	151	0
Precinct 9244 - None	68	40	880	149	1	0	38	110	2
Precinct 9244 - None	124	78	880	269	-1	0	66	204	2
Precinct 9245 - None	59	33	706	128	0	0	36	92	0
