Subtotal Area	JEFF SHEEHY	LAWRENCE "STARK" DAGESSE	RAFAEL MANDELMAN	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
Precinct 7843 - Vote By Mail	76	7	158	751	267	1	0	24	0	242	1
Precinct 7844 - Election Day	44	1	94	635	160	0	0	21	0	139	0
Precinct 7844 - Vote By Mail	67	4	151	635	245	-1	0	24	0	222	0
Precinct 7845 - Election Day	72	2	106	803	202	0	0	22	0	180	0
Precinct 7845 - Vote By Mail	109	3	179	803	314	-2	0	25	0	291	0
Precinct 7846 - Election Day	80	3	123	871	221	0	0	15	0	206	0
Precinct 7846 - Vote By Mail	142	2	157	871	330	2	2	24	0	302	1
Precinct 7847 - Election Day	70	3	119	878	207	-2	0	15	0	194	2
Precinct 7847 - Vote By Mail	135	2	202	878	358	-2	0	21	0	339	0
Precinct 7848 - Election Day	68	1	129	838	209	-1	0	11	0	199	1
Precinct 7848 - Vote By Mail	123	1	198	838	346	-3	0	27	0	322	0
Precinct 7849 - Election Day	76	2	145	904	237	-1	0	15	0	223	0
Precinct 7849 - Vote By Mail	132	7	188	904	353	-2	0	27	0	328	1
Precinct 7851 - Election Day	56	4	41	493	118	0	0	16	0	102	1
Precinct 7851 - Vote By Mail	89	6	90	493	204	0	0	18	0	186	1
Precinct 7852 - Election Day	49	4	43	634	104	0	0	8	0	96	0
Precinct 7852 - Vote By Mail	137	8	139	634	303	-1	1	17	0	286	2
Precinct 7853 - Election Day	74	3	78	837	180	0	0	24	0	156	1
Precinct 7853 - Vote By Mail	139	2	168	837	333	1	1	22	0	309	0
Precinct 7854 - Election Day	75	2	124	874	216	-1	0	16	0	201	0
Precinct 7854 - Vote By Mail	127	3	185	874	346	-1	0	29	0	318	3
Precinct 7855 - Election Day	80	2	158	949	259	0	0	18	0	241	1
Precinct 7855 - Vote By Mail	137	2	191	949	359	-6	0	34	0	331	1
Precinct 7856 - Election Day	64	1	118	790	204	2	0	19	0	183	0
Precinct 7856 - Vote By Mail	106	5	186	790	312	-1	0	16	0	297	0
Precinct 7857 - Election Day	80	2	120	913	226	1	0	22	0	203	1
Precinct 7857 - Vote By Mail	113	3	203	913	350	-1	0	32	0	319	0
Precinct 7858 - Election Day	51	6	108	743	192	0	0	26	0	166	1
Precinct 7858 - Vote By Mail	69	4	162	743	252	0	1	16	0	235	0
Precinct 7859 - Election Day	92	1	108	879	219	0	0	17	0	202	1
Precinct 7859 - Vote By Mail	145	8	176	879	352	-1	0	24	0	329	0
Precinct 7861 - Election Day	55	6	103	835	184	0	0	19	0	165	1
Precinct 7861 - Vote By Mail	128	6	207	835	367	0	0	26	0	341	0
Precinct 7862 - Election Day	79	3	131	850	237	0	0	23	0	214	1
Precinct 7862 - Vote By Mail	121	6	170	850	323	-3	0	27	0	299	2
Precinct 7863 - Election Day	79	9	133	870	237	1	0	15	0	221	0
Precinct 7863 - Vote By Mail	116	3	162	870	302	-1	0	20	0	283	2
Precinct 7864 - Election Day	48	6	122	773	188	0	0	12	0	176	0
Precinct 7864 - Vote By Mail	94	3	172	773	284	-2	0	15	0	271	2
Precinct 7865 - Election Day	58	2	95	808	178	0	0	23	0	155	0
Precinct 7865 - Vote By Mail	109	5	172	808	310	-3	0	26	0	287	1
Precinct 7866 - Election Day	71	2	92	816	184	0	0	16	0	168	3
Precinct 7866 - Vote By Mail	152	7	197	816	389	0	2	30	0	357	1
Precinct 7867 - Election Day	87	5	99	932	209	0	0	17	0	192	1
Precinct 7867 - Vote By Mail	174	7	183	932	385	1	0	20	0	364	0
Precinct 7868 - Election Day	107	4	91	860	218	0	0	15	0	203	1
Precinct 7868 - Vote By Mail	139	10	155	860	324	-1	0	21	0	304	0
Precinct 7869 - Election Day	83	3	120	842	219	0	0	13	0	206	0
Precinct 7869 - Vote By Mail	132	3	221	842	376	-2	0	22	0	356	0
Precinct 7871 - Election Day	116	3	101	882	240	-2	3	19	0	220	0
Precinct 7871 - Vote By Mail	173	7	163	882	364	1	0	18	0	345	2
Precinct 7872 - Election Day	115	5	107	864	242	0	0	15	0	227	0
Precinct 7872 - Vote By Mail	174	6	174	864	369	-1	0	16	0	354	0
Precinct 7873 - Election Day	78	2	136	841	231	1	0	14	0	216	0
Precinct 7873 - Vote By Mail	167	1	192	841	387	-1	0	28	0	360	0
Precinct 7874 - Election Day	30	3	45	453	85	0	0	7	0	78	0
Precinct 7874 - Vote By Mail	58	4	100	453	174	0	0	11	0	163	1
Precinct 7875 - Election Day	41	3	64	615	127	0	0	18	0	109	1
Precinct 7875 - Vote By Mail	52	5	116	615	203	-1	1	27	0	176	3
Precinct 7876 - Election Day	46	3	40	491	101	0	0	11	0	90	1
Precinct 7876 - Vote By Mail	59	4	63	491	148	-1	0	23	0	126	0
Precinct 9801 - Election Day	29	3	31	399	76	-1	0	14	0	63	0
Precinct 9801 - Vote By Mail	66	5	57	399	148	0	0	17	0	131	3
Congressional District 12	12,540	583	19,863	56,016	35,791	-51	25	2,746	0	33,071	85
Congressional District 14	95	8	88	399	224	-1	0	31	0	194	3
Assembly District 17	12,540	583	19,863	56,016	35,791	-51	25	2,746	0	33,071	85
Assembly District 19	95	8	88	399	224	-1	0	31	0	194	3
BART District 9	12,635	591	19,951	56,415	36,015	-52	25	2,777	0	33,265	88
Supervisorial District 8	12,635	591	19,951	56,415	36,015	-52	25	2,777	0	33,265	88
Diamond Heights	1,800	81	1,924	6,333	4,126	-2	7	302	0	3,819	14
Excelsior	95	8	88	399	224	-1	0	31	0	194	3
Mission	1,551	111	3,259	9,297	5,435	-8	4	505	0	4,934	13
Noe Valley	3,727	149	5,911	16,415	10,584	-23	4	788	0	9,815	28
South of Bernal Heights	930	35	1,275	3,615	2,413	-4	1	171	0	2,245	5
Upper Market/Eureka Valley	4,184	176	6,880	18,424	12,111	-15	6	856	0	11,264	24
Western Addition	348	31	614	1,932	1,122	1	3	124	0	994	1
