Subtotal Area	STEVE POIZNER	RICARDO LARA	NATHALIE HRIZI	ASIF MAHMOOD	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7601 - None	27	75	33	21	744	185	3	0	25	157	1
Precinct 7602 - None	27	45	33	19	880	147	-3	0	25	125	1
Precinct 7602 - None	34	99	44	25	880	243	3	2	35	203	1
Precinct 7603 - None	23	51	28	18	826	152	1	0	31	120	0
Precinct 7603 - None	39	75	28	41	826	215	0	0	30	185	2
Precinct 7604 - None	29	42	25	17	906	133	0	0	18	115	2
Precinct 7604 - None	44	86	34	40	906	233	-2	0	30	205	1
Precinct 7605 - None	12	28	12	14	651	77	0	0	11	66	0
Precinct 7605 - None	22	61	17	22	651	155	3	1	28	123	1
Precinct 7606 - None	29	39	18	18	895	127	1	0	21	105	1
Precinct 7606 - None	35	79	44	21	895	212	1	0	30	181	2
Precinct 7607 - None	18	36	21	25	955	120	0	0	20	100	0
Precinct 7607 - None	53	120	40	28	955	265	-4	1	27	241	0
Precinct 7608 - None	8	16	3	7	388	46	1	0	11	34	0
Precinct 7608 - None	30	43	11	14	388	119	-2	1	21	99	1
Precinct 7609 - None	20	35	11	9	916	101	0	0	25	76	1
Precinct 7609 - None	60	113	19	43	916	297	2	0	59	236	1
Precinct 7611 - None	9	25	10	11	756	76	0	1	19	56	1
Precinct 7611 - None	33	73	23	31	756	204	2	0	40	162	2
Precinct 7612 - None	11	24	6	15	574	76	0	3	17	56	0
Precinct 7612 - None	49	74	16	30	574	210	-1	0	41	170	1
Precinct 7613 - None	21	57	23	21	887	140	0	0	18	122	0
Precinct 7613 - None	39	83	19	38	887	215	2	2	32	179	0
Precinct 7614 - None	16	49	21	13	1,015	123	-2	0	26	99	0
Precinct 7614 - None	41	83	41	37	1,015	238	0	1	34	203	1
Precinct 7615 - None	20	36	13	14	832	108	0	4	19	85	2
Precinct 7615 - None	29	69	17	30	832	170	0	0	24	146	1
Precinct 7616 - None	26	51	14	18	951	129	-1	0	20	110	1
Precinct 7616 - None	61	135	28	51	951	331	2	0	54	275	0
Precinct 7617 - None	24	22	10	10	751	84	-1	1	18	66	0
Precinct 7617 - None	46	86	27	19	751	223	2	0	43	178	0
Precinct 7618 - None	23	30	23	19	866	123	1	0	24	98	3
Precinct 7618 - None	53	100	37	34	866	272	-3	0	49	226	2
Precinct 7619 - None	27	44	36	16	993	154	-1	0	32	123	0
Precinct 7619 - None	73	113	41	39	993	308	-1	1	42	266	0
Precinct 7621 - None	32	55	30	16	1,132	163	-1	0	31	133	0
Precinct 7621 - None	83	131	35	51	1,132	346	3	1	42	300	0
Precinct 7622 - None	16	32	13	17	964	99	2	1	17	79	1
Precinct 7622 - None	35	76	28	19	964	193	1	2	32	158	0
Precinct 7623 - None	18	44	25	22	712	122	-15	1	18	118	9
Precinct 7623 - None	38	78	25	29	712	196	2	0	24	170	0
Precinct 7624 - None	23	42	13	12	905	104	1	0	13	90	0
Precinct 7624 - None	39	77	21	32	905	195	1	0	24	170	1
Precinct 7625 - None	9	26	5	12	821	73	0	0	21	52	0
Precinct 7625 - None	74	172	24	54	821	415	0	1	90	324	0
Precinct 7626 - None	34	37	12	21	1,081	128	1	0	23	104	0
Precinct 7626 - None	116	121	24	34	1,081	361	1	1	61	298	3
Precinct 7627 - None	34	40	7	18	1,075	116	-1	0	17	100	1
Precinct 7627 - None	127	91	8	41	1,075	319	0	1	51	267	0
Precinct 7628 - None	21	49	30	21	906	156	0	0	34	122	1
Precinct 7628 - None	45	110	37	32	906	267	0	1	42	224	0
Precinct 7629 - None	13	41	19	17	805	108	-1	0	19	90	0
Precinct 7629 - None	49	75	20	17	805	206	2	0	42	162	1
Precinct 7631 - None	27	43	27	22	1,085	146	-1	0	28	119	0
Precinct 7631 - None	81	130	32	45	1,085	339	2	0	49	288	0
Precinct 7632 - None	20	53	29	31	965	167	1	1	31	134	1
Precinct 7632 - None	52	117	44	48	965	286	0	0	25	261	0
Precinct 7633 - None	21	30	9	15	702	90	0	1	13	76	1
Precinct 7633 - None	59	98	15	43	702	253	0	0	37	216	1
Precinct 7634 - None	27	32	14	13	859	120	1	0	31	88	2
Precinct 7634 - None	74	106	26	44	859	291	2	1	37	251	1
Precinct 7635 - None	17	34	11	14	782	89	0	0	12	77	1
Precinct 7635 - None	42	76	35	50	782	242	3	0	32	207	4
Precinct 7636 - None	34	45	13	15	920	134	-1	0	28	107	0
Precinct 7636 - None	75	80	13	35	920	251	-1	0	49	203	0
Precinct 7637 - None	22	30	5	14	732	89	0	0	18	71	0
Precinct 7637 - None	83	94	13	30	732	249	0	0	29	220	0
Precinct 7638 - None	41	42	7	18	1,365	129	0	0	21	108	0
Precinct 7638 - None	186	167	13	48	1,365	492	2	0	74	416	2
Precinct 7639 - None	25	33	7	14	962	110	1	0	29	80	1
Precinct 7639 - None	98	99	23	40	962	319	-2	0	60	261	1
Precinct 7641 - None	36	40	5	13	931	114	0	0	20	94	0
Precinct 7641 - None	122	128	25	46	931	374	0	0	52	322	1
Precinct 7642 - None	16	36	5	10	909	84	0	0	17	67	0
Precinct 7642 - None	70	70	13	27	909	268	0	1	87	180	0
Precinct 7643 - None	15	31	9	19	871	99	0	0	23	76	2
Precinct 7643 - None	96	129	19	57	871	355	2	2	49	302	1
Precinct 7644 - None	27	54	12	30	1,082	156	-2	0	35	123	0
Precinct 7644 - None	67	109	19	45	1,082	291	1	0	50	240	0
Precinct 7645 - None	19	16	5	9	631	63	0	0	14	49	0
Precinct 7645 - None	91	78	10	33	631	241	-3	0	32	212	0
Precinct 7646 - None	16	42	6	15	1,035	110	0	0	30	80	1
Precinct 7646 - None	115	85	17	65	1,035	326	0	0	44	282	0
Precinct 7647 - None	17	43	19	16	1,027	107	0	0	8	99	4
Precinct 7647 - None	27	70	25	25	1,027	185	0	3	35	147	0
Precinct 7648 MB - None	0	0	0	0	2	0	0	0	0	0	0
Precinct 7649 - None	13	39	14	14	877	97	1	0	14	82	2
Precinct 7649 - None	45	80	34	34	877	234	2	0	35	197	4
Precinct 7651 - None	12	14	4	11	555	48	0	0	7	41	0
Precinct 7651 - None	49	47	9	25	555	155	0	0	24	131	1
Precinct 7652 - None	17	20	6	14	580	68	-1	1	11	57	0
Precinct 7652 - None	46	63	5	23	580	163	-3	0	29	137	0
Precinct 7653 - None	26	49	14	19	1,092	137	1	0	28	108	0
Precinct 7653 - None	102	105	22	43	1,092	321	0	0	48	273	1
Precinct 7701 - None	55	69	24	32	1,012	225	0	0	44	181	1
Precinct 7701 - None	111	119	33	52	1,012	383	2	1	64	316	1
Precinct 7702 - None	43	41	12	3	704	117	0	0	18	99	0
Precinct 7702 - None	106	97	22	32	704	302	-1	1	45	257	0
Precinct 7703 MB - None	7	24	9	9	172	66	1	2	14	49	0
Precinct 7704 - None	68	62	17	18	977	208	0	0	43	165	0
Precinct 7704 - None	129	117	23	62	977	396	1	1	62	332	1
Precinct 7705 - None	39	47	4	8	547	123	0	0	24	99	1
Precinct 7705 - None	87	72	12	30	547	227	0	0	25	202	1
Precinct 7706 - None	64	63	10	31	821	189	0	0	21	168	0
Precinct 7706 - None	106	115	24	41	821	341	0	2	51	288	2
Precinct 7707 - None	55	64	17	27	839	200	1	1	35	163	0
Precinct 7707 - None	110	139	17	51	839	379	-1	0	62	318	1
Precinct 7708 - None	53	67	17	19	860	181	1	1	21	158	2
Precinct 7708 - None	112	144	28	64	860	400	-1	0	52	349	1
Precinct 7709 - None	15	27	16	7	383	85	1	0	18	66	1
Precinct 7709 - None	37	53	24	33	383	174	0	0	27	147	0
Precinct 7711 - None	40	54	25	20	772	162	0	0	22	140	1
Precinct 7711 - None	95	125	36	37	772	344	0	0	49	295	2
Precinct 7712 - None	24	41	25	20	524	131	0	0	21	110	0
Precinct 7712 - None	53	88	34	23	524	230	-1	1	29	201	3
Precinct 7801 - None	60	70	27	36	970	230	1	0	36	193	0
Precinct 7801 - None	107	172	32	61	970	424	-2	0	53	373	1
Precinct 7802 - None	65	65	25	20	762	205	-1	0	31	175	0
Precinct 7802 - None	83	105	24	42	762	313	2	3	54	254	0
Precinct 7803 - None	31	54	19	13	823	143	0	0	26	117	0
Precinct 7803 - None	113	178	26	31	823	412	-1	0	65	348	0
Precinct 7804 - None	54	90	30	27	891	236	0	0	34	202	1
Precinct 7804 - None	106	169	22	36	891	394	0	0	60	334	1
Precinct 7805 - None	32	70	30	17	785	176	1	0	26	149	0
Precinct 7805 - None	79	142	34	37	785	348	-1	0	57	292	0
Precinct 7806 - None	32	54	26	19	699	163	0	0	32	131	0
Precinct 7806 - None	78	103	31	24	699	283	3	0	44	236	0
Precinct 7807 - None	37	75	35	28	796	228	2	0	51	175	0
Precinct 7807 - None	60	102	33	27	796	273	0	0	48	225	3
Precinct 7808 - None	31	72	19	19	655	178	0	1	36	141	0
Precinct 7808 - None	48	95	36	29	655	243	0	0	35	208	0
Precinct 7809 - None	15	69	33	13	742	160	-1	0	31	130	0
Precinct 7809 - None	48	109	35	35	742	267	0	0	40	227	0
Precinct 7811 - None	26	60	38	27	726	186	-1	0	36	151	0
Precinct 7811 - None	50	82	49	23	726	243	1	1	36	205	1
Precinct 7812 - None	35	76	36	25	843	207	0	1	34	172	0
Precinct 7812 - None	66	121	34	30	843	292	-2	0	39	255	4
Precinct 7813 - None	32	101	49	12	988	251	-1	0	55	197	3
Precinct 7813 - None	73	137	58	39	988	362	1	0	54	307	0
Precinct 7814 - None	20	59	53	12	892	173	-1	1	29	144	0
Precinct 7814 - None	34	88	46	20	892	223	1	1	33	188	0
Precinct 7815 - None	34	79	17	20	914	178	-1	0	29	150	0
Precinct 7815 - None	111	173	39	39	914	407	0	0	45	362	0
Precinct 7816 - None	32	95	16	26	858	202	1	0	30	171	2
Precinct 7816 - None	76	186	18	46	858	390	0	1	62	327	1
Precinct 7817 - None	35	100	35	21	795	215	-1	0	25	191	0
Precinct 7817 - None	55	127	45	38	795	309	2	0	41	266	1
Precinct 7818 - None	20	67	25	20	823	172	0	0	40	132	0
Precinct 7818 - None	53	147	41	33	823	335	0	0	61	274	0
Precinct 7819 - None	30	59	31	22	760	169	0	0	26	143	1
Precinct 7819 - None	62	107	31	45	760	297	1	1	48	247	2
Precinct 7821 - None	44	98	28	23	947	229	0	0	36	193	0
Precinct 7821 - None	106	185	44	39	947	439	0	0	65	374	0
Precinct 7822 - None	23	109	46	29	927	244	0	0	36	208	1
Precinct 7822 - None	65	145	26	53	927	343	1	1	52	289	0
Precinct 7823 - None	34	105	36	23	857	237	0	0	36	201	3
Precinct 7823 - None	70	146	41	44	857	347	1	2	43	301	0
Precinct 7824 - None	38	56	24	13	756	170	0	0	35	135	4
Precinct 7824 - None	62	114	26	37	756	274	3	0	32	239	0
Precinct 7825 - None	25	69	28	12	580	160	-1	0	27	134	0
Precinct 7825 - None	39	88	34	23	580	215	0	0	31	184	0
Precinct 7826 - None	24	90	37	18	665	214	0	0	43	171	2
Precinct 7826 - None	39	65	37	19	665	194	-2	0	36	160	0
Precinct 7827 - None	26	59	57	20	828	199	0	0	37	162	0
Precinct 7827 - None	50	79	62	21	828	252	0	1	35	216	4
Precinct 7828 - None	39	73	23	32	976	205	2	0	35	168	1
Precinct 7828 - None	93	179	25	48	976	397	-1	1	51	346	1
Precinct 7829 - None	48	60	33	22	882	199	0	0	36	163	0
Precinct 7829 - None	105	173	18	34	882	391	-1	2	59	331	1
Precinct 7831 - None	37	94	22	15	828	202	1	0	33	168	0
Precinct 7831 - None	83	166	23	39	828	369	1	0	56	312	1
Precinct 7832 - None	39	55	17	15	781	162	-1	0	33	130	4
Precinct 7832 - None	83	142	20	44	781	343	-1	0	55	289	0
Precinct 7833 - None	29	52	37	22	745	182	-1	0	41	142	2
Precinct 7833 - None	57	92	52	27	745	271	0	0	43	228	0
Precinct 7834 - None	38	63	49	20	836	225	-1	0	55	171	1
Precinct 7834 - None	58	98	62	23	836	288	-1	1	46	242	1
Precinct 7835 - None	34	70	14	20	808	175	0	0	34	141	3
Precinct 7835 - None	70	142	26	54	808	338	-1	0	47	292	0
Precinct 7836 - None	41	82	20	26	979	199	0	0	29	170	1
Precinct 7836 - None	102	170	35	65	979	421	0	0	48	373	1
Precinct 7837 - None	51	95	19	26	883	237	1	0	43	193	2
Precinct 7837 - None	92	128	19	39	883	339	0	0	60	279	1
Precinct 7838 - None	52	79	20	26	891	210	0	0	33	177	0
Precinct 7838 - None	96	180	36	43	891	413	1	0	57	355	0
Precinct 7839 - None	47	52	18	15	830	172	-2	0	42	132	0
Precinct 7839 - None	103	156	33	31	830	389	1	0	65	323	0
Precinct 7841 - None	55	78	33	27	898	240	0	0	44	196	3
Precinct 7841 - None	89	126	45	38	898	353	0	0	53	300	2
Precinct 7842 - None	45	79	33	25	873	214	0	0	31	183	1
Precinct 7842 - None	61	99	43	51	873	308	2	0	52	254	0
Precinct 7843 - None	31	75	33	15	751	182	-1	0	28	155	1
Precinct 7843 - None	48	117	38	24	751	267	0	0	40	227	0
Precinct 7844 - None	26	42	38	21	635	160	1	0	32	127	0
Precinct 7844 - None	38	87	45	26	635	245	-1	0	49	197	1
Precinct 7845 - None	43	75	24	17	803	202	-1	0	44	159	0
Precinct 7845 - None	71	131	19	42	803	314	-1	0	52	263	0
Precinct 7846 - None	67	63	26	19	871	221	-1	0	45	177	2
Precinct 7846 - None	87	117	22	33	871	330	3	0	67	260	1
Precinct 7847 - None	48	77	27	15	878	207	0	0	38	169	2
Precinct 7847 - None	69	142	31	47	878	358	-2	0	70	290	1
Precinct 7848 - None	39	80	17	29	838	209	-2	0	45	166	1
Precinct 7848 - None	113	120	31	27	838	346	-2	1	55	292	1
Precinct 7849 - None	54	75	39	19	904	237	-1	1	50	187	0
Precinct 7849 - None	81	116	38	55	904	353	0	0	63	290	0
Precinct 7851 - None	31	36	9	15	493	118	0	0	26	92	1
Precinct 7851 - None	77	57	10	27	493	204	0	0	32	172	1
Precinct 7852 - None	31	37	8	7	634	104	0	0	21	83	0
Precinct 7852 - None	81	132	17	42	634	303	0	0	31	272	0
Precinct 7853 - None	30	69	19	28	837	180	0	0	34	146	0
Precinct 7853 - None	84	147	20	45	837	333	0	0	37	296	0
Precinct 7854 - None	51	65	25	26	874	216	0	0	49	167	0
Precinct 7854 - None	103	122	33	37	874	346	0	1	50	295	0
Precinct 7855 - None	53	91	39	31	949	259	0	1	43	215	1
Precinct 7855 - None	98	119	43	34	949	359	-2	0	67	294	0
Precinct 7856 - None	34	83	32	20	790	204	1	0	34	169	0
Precinct 7856 - None	88	117	28	34	790	312	-1	0	44	269	2
Precinct 7857 - None	45	78	38	20	913	226	0	0	42	184	3
Precinct 7857 - None	68	108	63	45	913	350	0	0	65	285	1
Precinct 7858 - None	16	83	51	11	743	192	0	0	30	162	1
Precinct 7858 - None	42	84	61	33	743	252	1	1	30	220	0
Precinct 7859 - None	54	70	31	27	879	219	0	0	36	183	1
Precinct 7859 - None	108	130	26	37	879	352	0	0	50	302	1
Precinct 7861 - None	43	58	31	20	835	184	0	0	32	152	0
Precinct 7861 - None	82	168	39	28	835	367	0	0	49	318	1
Precinct 7862 - None	63	75	25	27	850	237	0	0	46	191	1
Precinct 7862 - None	84	120	39	27	850	323	-1	0	54	270	0
Precinct 7863 - None	47	79	44	32	870	237	0	0	33	204	2
Precinct 7863 - None	61	114	46	36	870	302	0	0	44	258	1
Precinct 7864 - None	40	73	29	16	773	188	0	0	29	159	1
Precinct 7864 - None	68	105	33	33	773	284	-2	0	47	239	0
Precinct 7865 - None	40	62	33	15	808	178	0	0	28	150	0
Precinct 7865 - None	62	111	37	36	808	310	0	0	64	246	0
Precinct 7866 - None	54	67	19	19	816	184	0	0	22	162	3
Precinct 7866 - None	132	122	22	42	816	389	0	2	69	318	0
Precinct 7867 - None	60	65	13	25	932	209	0	1	43	165	2
Precinct 7867 - None	106	138	41	45	932	385	3	0	51	331	1
Precinct 7868 - None	41	82	31	26	860	218	0	0	36	182	2
Precinct 7868 - None	78	143	22	39	860	324	1	1	40	282	0
Precinct 7869 - None	52	82	24	22	842	219	1	0	37	181	1
Precinct 7869 - None	114	123	38	43	842	376	-1	0	58	319	1
Precinct 7871 - None	52	89	19	33	882	240	-3	2	48	193	0
Precinct 7871 - None	85	149	23	42	882	364	1	1	60	302	3
Precinct 7872 - None	60	77	27	28	864	242	0	0	50	192	0
Precinct 7872 - None	86	132	30	49	864	369	0	1	71	297	0
Precinct 7873 - None	52	78	29	30	841	231	0	0	40	191	2
Precinct 7873 - None	111	135	42	39	841	387	0	1	59	327	0
Precinct 7874 - None	16	27	14	11	453	85	0	0	17	68	0
Precinct 7874 - None	36	71	18	26	453	174	1	0	21	152	1
Precinct 7875 - None	26	43	25	10	615	127	0	0	22	105	1
Precinct 7875 - None	28	75	30	34	615	203	-2	0	37	168	1
Precinct 7876 - None	13	37	7	21	491	101	0	0	22	79	1
Precinct 7876 - None	18	62	19	18	491	148	-1	0	32	117	0
Precinct 7901 - None	11	32	16	12	466	87	-1	0	15	73	2
Precinct 7901 - None	26	53	17	16	466	133	0	0	21	112	0
Precinct 7902 - None	21	69	51	19	921	188	0	0	27	161	1
Precinct 7902 - None	42	107	43	31	921	259	0	0	35	224	1
Precinct 7903 - None	20	53	32	14	819	144	0	1	22	121	2
Precinct 7903 - None	37	102	49	21	819	244	0	1	30	213	4
Precinct 7904 - None	26	47	37	11	846	137	0	0	16	121	0
Precinct 7904 - None	43	105	37	25	846	248	-1	0	38	211	1
Precinct 7905 - None	31	72	37	23	821	199	1	0	34	164	1
Precinct 7905 - None	61	104	36	33	821	275	3	1	37	234	0
Precinct 7906 - None	15	51	42	17	769	164	1	0	37	126	1
Precinct 7906 - None	36	86	38	20	769	214	-1	0	35	180	0
Precinct 7907 - None	26	65	61	17	926	201	2	0	29	170	1
Precinct 7907 - None	58	112	46	20	926	286	1	0	48	237	1
Precinct 7908 - None	30	67	44	16	936	191	0	1	32	158	1
Precinct 7908 - None	48	104	45	23	936	267	0	0	46	221	1
Precinct 7909 - None	27	57	62	15	726	190	0	0	29	161	0
Precinct 7909 - None	30	86	46	26	726	221	0	1	32	188	0
Precinct 7911 - None	22	80	36	24	849	192	0	0	26	166	4
Precinct 7911 - None	55	96	34	27	849	250	1	0	36	213	1
Precinct 7912 - None	20	67	59	18	1,036	215	2	0	46	167	3
Precinct 7912 - None	53	116	67	34	1,036	314	4	0	40	270	0
Precinct 7913 - None	26	85	75	20	887	240	0	0	34	206	0
Precinct 7913 - None	45	86	54	28	887	244	-1	0	32	213	0
Precinct 7914 - None	28	81	59	7	833	208	0	0	32	176	1
Precinct 7914 - None	33	103	57	27	833	253	1	4	28	220	0
Precinct 7915 - None	26	70	68	14	802	213	0	1	34	178	0
Precinct 7915 - None	47	71	52	22	802	222	1	2	27	192	0
Precinct 7916 - None	31	64	66	20	887	215	0	0	34	181	0
Precinct 7916 - None	52	113	63	22	887	289	0	0	39	250	0
Precinct 7917 - None	31	84	75	24	983	254	-1	0	39	216	2
Precinct 7917 - None	38	126	75	20	983	287	0	1	26	260	1
Precinct 7918 - None	21	61	50	20	790	191	0	0	37	154	2
Precinct 7918 - None	45	97	44	15	790	234	-1	0	33	202	1
Precinct 7919 - None	14	91	46	27	857	217	0	1	35	181	3
Precinct 7919 - None	32	96	57	24	857	241	0	0	32	209	0
Precinct 7921 - None	16	59	40	17	883	151	-1	0	18	134	2
Precinct 7921 - None	37	93	39	17	883	210	0	0	24	186	0
Precinct 7922 - None	14	56	75	16	797	182	1	0	20	161	0
Precinct 7922 - None	30	119	36	30	797	241	1	1	24	215	0
Precinct 7923 - None	22	70	54	28	863	202	0	0	28	174	0
Precinct 7923 - None	45	94	49	21	863	241	0	0	32	209	0
Precinct 7924 - None	18	60	56	15	806	172	1	0	21	150	1
Precinct 7924 - None	37	108	49	32	806	247	0	0	21	226	0
Precinct 7925 - None	12	40	27	9	570	114	0	0	26	88	0
Precinct 7925 - None	22	78	37	22	570	191	0	0	32	159	0
Precinct 7926 - None	27	54	47	21	768	177	0	0	26	151	2
Precinct 7926 - None	50	110	56	27	768	296	0	0	51	245	2
Precinct 7927 - None	22	60	50	22	733	187	0	0	32	155	1
Precinct 7927 - None	68	116	42	26	733	289	-1	0	38	252	0
Precinct 7928 - None	51	86	54	26	899	253	-1	0	37	217	0
Precinct 7928 - None	63	121	54	24	899	297	2	1	32	262	0
Precinct 7929 - None	42	59	43	22	840	200	-1	0	34	167	1
Precinct 7929 - None	88	143	54	34	840	367	2	0	46	319	0
Precinct 7931 - None	35	72	30	22	732	189	0	0	30	159	0
Precinct 7931 - None	66	144	32	30	732	317	-1	0	46	272	0
Precinct 7932 - None	21	36	23	12	551	112	0	0	20	92	0
Precinct 7932 - None	48	80	37	28	551	225	0	0	32	193	0
Precinct 7933 MB - None	1	0	0	1	8	4	0	0	2	2	0
Precinct 7934 - None	26	66	44	17	885	195	-4	0	46	153	0
Precinct 7934 - None	52	143	54	25	885	328	2	0	50	276	2
Precinct 7935 - None	47	105	55	24	938	283	0	0	52	231	0
Precinct 7935 - None	76	144	56	38	938	370	2	0	53	315	1
Precinct 7936 - None	34	95	60	20	832	246	-1	0	38	209	0
Precinct 7936 - None	58	153	54	16	832	326	1	0	42	283	2
Precinct 7937 - None	32	89	42	18	874	223	0	0	41	182	1
Precinct 7937 - None	72	131	41	25	874	309	0	0	36	273	4
Precinct 7938 - None	21	54	35	23	774	162	0	0	28	134	1
Precinct 7938 - None	36	84	62	35	774	247	0	1	28	218	1
Precinct 7939 - None	32	67	42	14	667	186	2	0	27	157	2
Precinct 7939 - None	40	98	36	19	667	230	1	1	35	193	0
Precinct 7941 - None	29	73	26	13	728	167	1	0	22	144	3
Precinct 7941 - None	42	95	38	27	728	236	1	0	33	202	0
Precinct 7942 - None	27	54	33	12	893	166	1	0	38	127	1
Precinct 7942 - None	56	130	31	33	893	286	-1	0	35	252	2
Precinct 7943 - None	39	72	31	21	887	192	0	0	29	163	0
Precinct 7943 - None	66	143	33	34	887	319	2	1	40	276	0
Precinct 7944 - None	26	88	44	15	769	201	-1	0	28	174	1
Precinct 7944 - None	40	99	34	29	769	235	0	0	33	202	0
Precinct 7945 - None	15	49	20	10	897	118	0	0	23	95	1
Precinct 7945 - None	44	123	52	33	897	294	3	0	39	252	0
Precinct 7946 - None	28	43	25	20	909	134	1	0	16	117	1
Precinct 7946 - None	91	137	29	32	909	348	3	1	53	291	2
Precinct 7947 - None	22	54	12	21	894	128	-1	0	19	110	1
Precinct 7947 - None	63	127	39	26	894	327	-1	1	72	255	0
Precinct 7948 - None	26	54	24	26	900	165	0	0	34	131	1
Precinct 7948 - None	75	125	26	40	900	313	-2	0	47	268	2
Precinct 7949 - None	13	23	9	13	552	78	3	0	16	59	1
Precinct 7949 - None	54	86	6	28	552	224	0	1	49	174	0
Precinct 7951 - None	19	34	11	12	830	97	0	0	21	76	0
Precinct 7951 - None	94	111	31	38	830	341	0	1	62	278	4
Precinct 7952 - None	21	43	10	13	823	100	0	0	12	88	1
Precinct 7952 - None	53	143	34	22	823	288	-1	1	36	252	0
Precinct 7953 - None	20	40	12	14	795	103	-2	0	18	87	1
Precinct 7953 - None	73	116	24	37	795	294	0	0	43	251	1
Precinct 7955 - None	20	46	18	11	854	116	0	0	21	95	0
Precinct 7955 - None	70	111	40	37	854	320	0	1	59	260	2
Precinct 7956 - None	19	30	13	13	779	101	0	1	24	76	1
Precinct 7956 - None	74	95	15	30	779	247	3	0	30	214	0
Precinct 7957 - None	18	32	9	16	623	97	1	0	18	78	3
Precinct 7957 - None	39	96	25	24	623	217	0	0	32	185	1
Precinct 7958 MB - None	34	30	12	11	263	104	0	0	17	87	0
Precinct 7959 - None	14	44	23	12	695	110	0	0	17	93	0
Precinct 7959 - None	34	72	20	28	695	190	0	1	34	155	1
Precinct 9001 MB - None	13	56	4	14	257	101	2	0	12	87	0
Precinct 9101 - None	45	55	25	30	833	190	0	0	34	156	1
Precinct 9101 - None	95	92	25	58	833	323	0	1	52	270	0
Precinct 9102 - None	44	50	24	25	950	182	-1	0	39	144	1
Precinct 9102 - None	94	95	27	68	950	335	4	0	46	285	1
Precinct 9103 - None	53	43	15	30	924	174	0	1	31	142	1
Precinct 9103 - None	89	94	15	43	924	302	0	0	58	244	3
Precinct 9104 - None	45	40	26	28	937	176	0	0	35	141	2
Precinct 9104 - None	69	119	36	49	937	332	0	0	59	273	0
Precinct 9105 - None	40	43	34	34	888	191	1	0	37	153	2
Precinct 9105 - None	85	104	38	53	888	339	-1	0	58	282	2
Precinct 9106 - None	60	68	20	28	907	213	1	0	36	176	0
Precinct 9106 - None	98	93	29	47	907	334	4	0	62	268	1
Precinct 9107 - None	37	59	24	15	806	164	0	0	29	135	0
Precinct 9107 - None	62	66	35	35	806	246	1	0	47	198	0
Precinct 9108 - None	45	43	45	22	761	185	-1	0	30	156	1
Precinct 9108 - None	57	69	21	37	761	220	-1	1	36	184	0
Precinct 9109 - None	44	60	34	29	848	205	-1	0	38	168	1
Precinct 9109 - None	87	89	25	33	848	285	4	0	47	234	0
Precinct 9111 - None	37	42	20	22	756	150	0	1	28	121	0
Precinct 9111 - None	58	56	36	46	756	226	-1	0	31	196	0
Precinct 9112 - None	50	59	36	30	918	211	0	0	35	176	1
Precinct 9112 - None	83	84	37	46	918	295	0	3	42	250	0
Precinct 9113 - None	64	65	34	27	959	231	0	0	40	191	1
Precinct 9113 - None	101	99	39	49	959	351	1	0	62	288	0
Precinct 9114 - None	34	41	28	24	820	170	0	1	41	128	1
Precinct 9114 - None	52	86	47	39	820	273	1	0	48	224	0
Precinct 9115 - None	29	45	34	37	873	172	0	0	25	147	2
Precinct 9115 - None	57	92	45	40	873	287	2	0	50	235	1
Precinct 9116 - None	31	52	43	30	903	193	2	0	33	158	2
Precinct 9116 - None	80	80	55	48	903	314	4	0	46	264	1
Precinct 9117 - None	42	55	26	26	756	180	2	0	29	149	0
Precinct 9117 - None	84	95	12	33	756	285	1	0	59	225	1
Precinct 9118 - None	36	49	32	27	923	184	0	0	39	145	1
Precinct 9118 - None	59	68	32	48	923	268	0	0	60	208	1
Precinct 9119 - None	35	38	19	27	856	152	-2	0	35	119	0
Precinct 9119 - None	78	111	37	47	856	323	0	0	49	274	1
Precinct 9121 - None	45	53	26	29	890	188	0	0	34	154	1
Precinct 9121 - None	50	98	21	47	890	274	0	0	55	219	3
Precinct 9122 - None	21	36	20	21	913	131	0	0	33	98	0
Precinct 9122 - None	67	76	37	59	913	292	1	0	51	240	1
Precinct 9123 - None	45	56	18	27	829	175	0	0	29	146	0
Precinct 9123 - None	70	69	36	51	829	270	1	0	41	228	2
Precinct 9124 - None	27	50	27	19	832	150	0	0	27	123	0
Precinct 9124 - None	76	73	31	53	832	290	1	0	55	234	1
Precinct 9125 - None	32	42	25	28	822	159	1	0	30	128	1
Precinct 9125 - None	76	93	32	45	822	299	-3	0	56	246	0
Precinct 9126 - None	47	43	31	27	945	186	0	0	37	149	1
Precinct 9126 - None	97	78	45	55	945	350	0	0	74	276	1
Precinct 9127 - None	55	48	27	31	908	209	0	0	47	162	1
Precinct 9127 - None	76	92	38	48	908	315	-1	0	62	254	0
Precinct 9128 - None	45	51	29	26	805	188	0	0	36	152	1
Precinct 9128 - None	85	89	29	38	805	296	0	0	55	241	0
Precinct 9129 - None	39	60	24	23	713	173	0	0	25	148	2
Precinct 9129 - None	60	73	18	33	713	225	3	0	38	184	0
Precinct 9131 - None	38	42	19	28	740	151	0	0	22	129	2
Precinct 9131 - None	76	73	36	41	740	274	2	0	46	226	0
Precinct 9132 - None	21	56	27	24	827	167	0	0	38	129	1
Precinct 9132 - None	62	80	26	34	827	251	0	2	46	203	1
