Subtotal Area	STEVE POIZNER	RICARDO LARA	NATHALIE HRIZI	ASIF MAHMOOD	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 1147 - None	53	96	41	42	853	279	-1	3	44	233	1
Precinct 1148 - None	30	45	11	15	918	121	0	0	20	101	0
Precinct 1148 - None	77	117	35	31	918	314	1	0	53	260	0
Precinct 1149 - None	30	58	34	13	873	148	-2	0	15	135	0
Precinct 1149 - None	72	112	35	33	873	285	0	1	32	252	0
Precinct 1152 - None	25	43	22	17	838	125	-1	0	17	109	2
Precinct 1152 - None	76	111	27	38	838	286	1	0	33	252	0
Precinct 1153 - None	29	60	11	16	909	139	0	0	23	116	0
Precinct 1153 - None	66	112	30	46	909	306	0	2	47	257	3
Precinct 7001 - None	22	39	20	16	735	119	-2	0	23	98	1
Precinct 7001 - None	71	90	39	23	735	266	6	1	35	224	1
Precinct 7002 - None	16	56	27	14	641	132	1	0	18	113	0
Precinct 7002 - None	48	65	17	29	641	173	0	0	14	159	0
Precinct 7003 - None	50	50	35	21	864	188	-1	0	33	156	0
Precinct 7003 - None	101	109	40	42	864	340	1	0	47	292	0
Precinct 7004 - None	42	58	17	19	835	175	-1	0	40	136	0
Precinct 7004 - None	95	101	32	29	835	306	6	0	43	257	0
Precinct 7005 - None	33	56	28	26	812	180	-1	0	37	144	1
Precinct 7005 - None	78	107	31	32	812	295	2	0	44	249	1
Precinct 7006 - None	40	51	53	21	884	213	-1	0	49	165	0
Precinct 7006 - None	62	82	55	41	884	290	1	0	46	243	3
Precinct 7007 - None	60	73	39	28	916	233	-4	0	35	202	2
Precinct 7007 - None	81	120	34	29	916	323	2	0	56	265	1
Precinct 7008 - None	35	73	17	19	861	187	0	0	43	144	0
Precinct 7008 - None	97	129	26	44	861	345	0	1	48	296	0
Precinct 7009 - None	38	44	19	14	864	133	-1	0	19	115	0
Precinct 7009 - None	60	134	44	33	864	312	-2	0	43	271	0
Precinct 7011 - None	34	53	16	7	976	141	0	0	30	111	1
Precinct 7011 - None	47	78	25	17	976	205	1	0	37	167	0
Precinct 7012 - None	43	73	30	25	1,061	224	0	0	53	171	0
Precinct 7012 - None	87	136	49	42	1,061	383	0	1	67	315	1
Precinct 7013 - None	31	41	25	14	805	132	0	0	21	111	0
Precinct 7013 - None	64	82	24	41	805	251	2	0	37	212	1
Precinct 7014 - None	33	74	27	29	1,213	188	-2	0	27	163	0
Precinct 7014 - None	107	162	46	66	1,213	434	-1	1	53	381	0
Precinct 7015 MB - None	4	16	8	4	93	34	0	0	2	32	0
Precinct 7016 - None	17	42	17	12	891	112	2	0	22	88	0
Precinct 7016 - None	42	100	16	15	891	221	2	0	45	174	1
Precinct 7017 - None	3	34	4	11	734	79	0	1	26	52	0
Precinct 7017 - None	29	75	15	26	734	167	1	0	21	145	0
Precinct 7018 - None	18	35	12	4	908	88	-1	0	20	69	0
Precinct 7018 - None	45	140	28	46	908	343	5	1	78	259	0
Precinct 7019 - None	20	48	7	12	864	111	2	0	22	87	0
Precinct 7019 - None	81	151	26	41	864	349	-1	1	48	301	2
Precinct 7021 - None	18	46	18	19	927	129	0	1	27	101	0
Precinct 7021 - None	35	95	29	33	927	220	-1	0	29	192	0
Precinct 7022 - None	18	83	23	18	923	164	-1	0	22	143	1
Precinct 7022 - None	36	128	24	43	923	270	2	1	36	231	0
Precinct 7023 - None	16	53	15	22	906	131	-1	0	23	109	3
Precinct 7023 - None	45	129	26	55	906	301	-3	1	46	257	2
Precinct 7024 - None	5	13	2	3	386	30	0	0	7	23	0
Precinct 7024 - None	10	21	4	10	386	47	1	0	1	45	0
Precinct 7025 - None	11	19	10	10	448	66	1	1	14	50	0
Precinct 7025 - None	14	34	13	8	448	78	2	0	7	69	0
Precinct 7026 - None	14	41	14	11	971	90	-1	0	11	80	0
Precinct 7026 - None	76	136	20	46	971	350	8	1	62	279	1
Precinct 7027 - None	24	55	14	17	845	136	2	0	24	110	0
Precinct 7027 - None	43	110	21	43	845	271	2	0	50	219	2
Precinct 7028 - None	17	74	17	26	835	157	-1	1	23	134	0
Precinct 7028 - None	22	102	18	16	835	180	0	0	21	159	1
Precinct 7029 - None	12	51	11	23	855	115	1	0	17	97	0
Precinct 7029 - None	23	75	18	23	855	166	2	2	20	142	3
Precinct 7030 - None	29	24	12	14	729	94	0	0	15	79	0
Precinct 7030 - None	76	89	39	24	729	277	0	1	46	230	2
Precinct 7031 - None	7	24	1	7	611	50	0	0	11	39	0
Precinct 7031 - None	47	89	15	33	611	224	0	0	39	185	1
Precinct 7032 - None	21	54	14	14	867	126	-2	0	23	105	2
Precinct 7032 - None	36	115	16	36	867	238	1	0	33	204	1
Precinct 7033 - None	13	51	23	21	765	135	0	1	24	110	2
Precinct 7033 - None	20	93	12	30	765	181	0	1	25	155	0
Precinct 7034 - None	18	32	11	13	914	97	0	2	20	75	1
Precinct 7034 - None	23	75	15	17	914	154	-1	0	24	131	1
Precinct 7035 - None	14	26	6	11	553	73	-1	0	16	58	1
Precinct 7035 - None	35	66	17	26	553	170	1	0	24	145	1
Precinct 7036 - None	13	20	6	3	898	52	0	1	9	42	0
Precinct 7036 - None	62	118	25	30	898	265	0	1	28	236	1
Precinct 7037 - None	11	32	4	9	730	73	0	0	17	56	0
Precinct 7037 - None	13	25	5	12	730	64	1	0	8	55	0
Precinct 7038 - None	9	42	9	8	880	84	0	0	15	69	1
Precinct 7038 - None	56	92	24	35	880	255	0	1	45	209	2
Precinct 7039 - None	26	32	17	19	768	111	0	0	17	94	0
Precinct 7039 - None	50	84	21	22	768	225	3	0	45	177	0
Precinct 7041 MB - None	2	9	1	6	60	24	1	0	5	18	0
Precinct 7042 - None	18	26	12	10	632	75	0	0	8	67	1
Precinct 7042 - None	44	86	17	15	632	191	0	0	29	162	0
Precinct 7043 - None	9	31	19	20	915	97	0	0	18	79	0
Precinct 7043 - None	42	128	26	44	915	282	0	1	41	240	0
Precinct 7044 - None	7	37	3	18	805	86	-1	0	20	67	2
Precinct 7044 - None	26	48	8	22	805	125	-1	0	21	105	1
Precinct 7045 - None	14	32	11	8	763	87	0	0	21	66	1
Precinct 7045 - None	55	92	20	34	763	282	1	1	78	202	1
Precinct 7046 - None	10	25	3	7	385	54	0	0	8	46	1
Precinct 7046 - None	31	54	18	12	385	136	-1	0	21	116	1
Precinct 7047 - None	16	23	11	7	781	68	-1	0	12	57	0
Precinct 7047 - None	49	137	29	35	781	298	2	1	42	253	3
Precinct 7048 - None	11	54	6	12	815	94	0	1	9	84	1
Precinct 7048 - None	46	112	21	27	815	248	1	0	39	208	2
Precinct 7049 - None	16	43	9	20	751	108	0	0	19	89	1
Precinct 7049 - None	65	76	21	28	751	241	0	0	51	190	0
Precinct 7051 - None	8	24	10	16	839	70	-1	0	13	58	0
Precinct 7051 - None	58	110	48	32	839	302	2	0	52	248	0
Precinct 7052 - None	30	50	5	11	806	120	-1	0	25	96	0
Precinct 7052 - None	70	108	20	35	806	278	1	0	44	233	0
Precinct 7053 - None	3	19	5	7	548	44	0	0	10	34	0
Precinct 7053 - None	48	78	17	32	548	205	3	1	24	177	2
Precinct 7054 - None	17	48	32	22	1,024	141	0	0	22	119	0
Precinct 7054 - None	42	129	18	50	1,024	275	1	0	33	241	2
Precinct 7055 - None	18	25	12	11	699	83	-1	0	17	67	1
Precinct 7055 - None	64	81	21	38	699	256	2	0	50	204	0
Precinct 7101 MB - None	27	28	5	12	141	83	0	0	11	72	0
Precinct 7201 - None	50	40	9	12	900	147	0	0	35	112	1
Precinct 7201 - None	111	98	27	45	900	333	0	0	52	281	0
Precinct 7202 - None	45	42	11	14	830	138	-1	0	27	112	0
Precinct 7202 - None	107	84	15	24	830	271	-2	2	39	232	2
Precinct 7203 - None	42	48	21	23	867	174	0	0	39	135	1
Precinct 7203 - None	76	82	12	28	867	243	1	1	41	200	2
Precinct 7204 - None	37	55	9	19	888	157	0	0	37	120	0
Precinct 7204 - None	131	119	14	23	888	340	2	0	51	287	0
Precinct 7205 - None	72	54	15	13	847	183	0	0	29	154	0
Precinct 7205 - None	123	99	15	29	847	309	0	0	43	266	0
Precinct 7206 - None	29	30	9	3	375	88	0	0	16	72	1
Precinct 7206 - None	33	42	9	17	375	124	1	0	22	101	0
