Subtotal Area	VIVEK VISWANATHAN	JACK M. GUERRERO	KEVIN AKIN	GREG CONLON	FIONA MA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted	Writein Votes
Precinct 7305 - Election Day	22	17	14	17	83	851	171	0	0	18	153	0
Precinct 7305 - Vote By Mail	33	32	14	29	152	851	306	0	0	45	261	1
Precinct 7306 - Election Day	9	15	21	8	87	1,014	179	0	0	38	141	1
Precinct 7306 - Vote By Mail	24	24	21	17	174	1,014	302	0	1	40	261	1
Precinct 7307 - Election Day	11	12	14	4	82	726	143	0	0	20	123	0
Precinct 7307 - Vote By Mail	26	17	11	14	130	726	226	0	0	28	198	0
Precinct 7308 - Election Day	15	8	9	8	75	598	133	0	0	18	115	0
Precinct 7308 - Vote By Mail	28	22	5	13	113	598	204	0	0	23	181	0
Precinct 7309 - Election Day	20	8	12	9	87	826	160	0	0	24	136	0
Precinct 7309 - Vote By Mail	20	12	7	16	118	826	209	0	0	36	173	0
Precinct 7311 - Election Day	21	12	14	10	87	901	175	0	0	31	144	0
Precinct 7311 - Vote By Mail	32	22	15	14	156	901	266	0	0	26	240	1
Precinct 7312 - Election Day	12	8	10	6	76	810	128	0	0	16	112	0
Precinct 7312 - Vote By Mail	28	30	14	26	182	810	332	0	0	52	280	0
Precinct 7313 - Election Day	17	9	12	3	69	925	135	0	0	25	110	0
Precinct 7313 - Vote By Mail	43	38	13	15	163	925	315	0	0	43	272	0
Precinct 7314 - Election Day	6	6	9	6	39	760	92	0	1	25	66	0
Precinct 7314 - Vote By Mail	22	14	11	9	103	760	213	0	1	53	159	0
Precinct 7315 - Election Day	14	8	17	4	60	725	119	0	0	16	103	0
Precinct 7315 - Vote By Mail	24	16	6	5	106	725	178	0	0	21	157	0
Precinct 7316 - Election Day	11	4	16	5	67	824	122	0	0	19	103	0
Precinct 7316 - Vote By Mail	23	26	22	12	135	824	266	0	0	48	218	0
Precinct 7317 - Election Day	17	7	5	5	63	886	117	0	0	20	97	0
Precinct 7317 - Vote By Mail	34	29	21	26	181	886	340	0	2	47	291	0
Precinct 7318 - Election Day	13	10	8	7	60	709	123	0	0	25	98	0
Precinct 7318 - Vote By Mail	48	19	5	8	120	709	243	0	0	42	201	1
Precinct 7319 - Election Day	24	5	10	12	104	1,035	182	0	0	27	155	0
Precinct 7319 - Vote By Mail	36	26	12	27	147	1,035	296	0	0	48	248	0
Precinct 7321 - Election Day	7	9	10	5	45	644	100	0	0	24	76	0
Precinct 7321 - Vote By Mail	27	22	12	15	102	644	211	0	1	32	178	0
Precinct 7322 - Election Day	4	6	11	3	22	859	60	0	0	14	46	0
Precinct 7322 - Vote By Mail	39	36	12	4	137	859	304	0	1	75	228	0
Precinct 7323 - Election Day	21	12	7	5	78	881	146	0	1	22	123	0
Precinct 7323 - Vote By Mail	38	22	11	9	144	881	273	0	1	48	224	0
Precinct 7324 - Election Day	19	9	11	5	57	687	125	0	0	24	101	0
Precinct 7324 - Vote By Mail	29	14	4	6	100	687	198	0	0	43	155	2
Precinct 7325 - Election Day	22	10	12	7	67	870	150	0	0	32	118	0
Precinct 7325 - Vote By Mail	33	18	13	13	151	870	276	0	0	46	230	2
Precinct 7326 - Election Day	6	12	12	5	87	853	150	0	0	27	123	1
Precinct 7326 - Vote By Mail	29	32	15	14	127	853	256	0	1	38	217	0
Precinct 7327 - Election Day	4	3	5	2	31	684	62	0	0	17	45	0
Precinct 7327 - Vote By Mail	34	51	17	14	108	684	277	0	0	52	225	1
Precinct 7328 - Election Day	7	7	5	1	34	950	70	0	0	16	54	0
Precinct 7328 - Vote By Mail	43	56	11	17	160	950	391	0	1	103	287	0
Precinct 7329 - Election Day	4	9	6	7	34	610	71	0	0	11	60	0
Precinct 7329 - Vote By Mail	13	33	13	22	99	610	205	0	0	25	180	0
Precinct 7331 - Election Day	10	17	1	15	72	860	130	0	0	15	115	0
Precinct 7331 - Vote By Mail	32	41	8	32	201	860	357	0	1	42	314	0
Precinct 7332 - Election Day	23	4	15	3	83	799	154	0	0	26	128	0
Precinct 7332 - Vote By Mail	29	21	20	9	109	799	209	0	0	21	188	0
Precinct 7333 - Election Day	19	10	12	6	97	974	174	0	0	30	144	0
Precinct 7333 - Vote By Mail	39	30	15	15	163	974	323	0	0	60	263	1
Precinct 7334 - Election Day	10	7	18	6	55	854	113	0	1	16	96	0
