Subtotal Area	VIVEK VISWANATHAN	JACK M. GUERRERO	KEVIN AKIN	GREG CONLON	FIONA MA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted	Writein Votes
Precinct 7641 - Election Day	12	6	6	8	68	931	114	0	0	14	100	0
Precinct 7641 - Vote By Mail	34	33	18	28	220	931	374	0	1	39	334	1
Precinct 7642 - Election Day	17	6	5	0	42	909	84	0	0	14	70	0
Precinct 7642 - Vote By Mail	31	21	13	14	100	909	268	0	1	88	179	0
Precinct 7643 - Election Day	14	4	8	4	46	871	99	0	0	23	76	0
Precinct 7643 - Vote By Mail	59	42	17	11	185	871	355	0	1	40	314	0
Precinct 7644 - Election Day	24	8	10	2	85	1,082	156	0	0	27	129	0
Precinct 7644 - Vote By Mail	52	21	10	9	165	1,082	291	0	1	33	257	0
Precinct 7645 - Election Day	9	5	3	7	32	631	63	0	0	7	56	0
Precinct 7645 - Vote By Mail	25	24	3	15	145	631	241	0	1	28	212	0
Precinct 7646 - Election Day	19	4	5	1	57	1,035	110	0	0	23	87	1
Precinct 7646 - Vote By Mail	51	32	6	14	190	1,035	326	0	0	33	293	0
Precinct 7647 - Election Day	15	11	11	2	56	1,027	107	0	0	10	97	2
Precinct 7647 - Vote By Mail	21	8	17	10	102	1,027	185	0	0	27	158	0
Precinct 7648 MB - Vote By Mail	0	0	0	0	0	2	0	0	0	0	0	0
Precinct 7649 - Election Day	7	4	7	3	63	877	97	0	0	11	86	2
Precinct 7649 - Vote By Mail	26	24	28	12	109	877	234	0	0	35	199	0
Precinct 7651 - Election Day	12	3	2	1	23	555	48	0	0	7	41	0
Precinct 7651 - Vote By Mail	24	10	5	5	90	555	155	0	0	21	134	0
Precinct 7652 - Election Day	11	3	8	2	29	580	68	0	0	15	53	0
Precinct 7652 - Vote By Mail	17	10	7	6	97	580	163	0	0	26	137	0
Precinct 7653 - Election Day	15	12	7	7	68	1,092	137	0	0	28	109	0
Precinct 7653 - Vote By Mail	51	25	11	14	173	1,092	321	0	0	46	275	1
Precinct 7701 - Election Day	19	15	23	11	124	1,012	225	0	0	33	192	0
Precinct 7701 - Vote By Mail	52	13	24	18	235	1,012	383	0	1	40	342	0
Precinct 7702 - Election Day	14	5	8	14	63	704	117	0	0	13	104	0
Precinct 7702 - Vote By Mail	41	17	12	22	183	704	302	0	0	27	275	0
Precinct 7703 MB - Vote By Mail	8	4	2	5	28	172	66	0	2	17	47	0
Precinct 7704 - Election Day	15	10	15	23	116	977	208	0	0	29	179	0
Precinct 7704 - Vote By Mail	33	29	16	34	239	977	396	0	0	44	352	1
Precinct 7705 - Election Day	6	3	2	8	88	547	123	0	0	16	107	0
Precinct 7705 - Vote By Mail	28	24	5	10	139	547	227	0	0	21	206	0
Precinct 7706 - Election Day	17	10	10	18	122	821	189	0	0	12	177	0
Precinct 7706 - Vote By Mail	19	33	15	23	218	821	341	0	0	33	308	0
Precinct 7707 - Election Day	23	9	8	10	125	839	200	0	0	25	175	0
Precinct 7707 - Vote By Mail	44	17	13	18	245	839	379	0	0	42	337	0
Precinct 7708 - Election Day	7	10	8	12	127	860	181	0	0	17	164	0
Precinct 7708 - Vote By Mail	38	19	13	22	283	860	400	0	0	25	375	0
Precinct 7709 - Election Day	7	3	8	5	49	383	85	0	0	13	72	0
Precinct 7709 - Vote By Mail	21	6	25	7	93	383	174	0	0	21	153	1
Precinct 7711 - Election Day	15	2	20	8	100	772	162	0	0	17	145	0
Precinct 7711 - Vote By Mail	26	20	22	14	229	772	344	0	1	32	311	0
Precinct 7712 - Election Day	13	3	17	8	72	524	131	0	0	18	113	0
Precinct 7712 - Vote By Mail	23	13	31	6	130	524	230	0	0	24	206	3
Precinct 7801 - Election Day	29	6	22	3	138	970	230	0	0	32	198	0
Precinct 7801 - Vote By Mail	49	20	23	14	275	970	424	0	0	42	382	1
Precinct 7802 - Election Day	23	3	19	4	127	762	205	0	0	29	176	0
Precinct 7802 - Vote By Mail	41	13	21	8	190	762	313	0	0	40	273	0
Precinct 7803 - Election Day	13	3	20	4	83	823	143	0	0	19	124	1
Precinct 7803 - Vote By Mail	53	20	21	12	253	823	412	0	0	52	360	1
Precinct 7804 - Election Day	36	5	21	5	145	891	236	0	0	23	213	1
Precinct 7804 - Vote By Mail	47	7	21	8	256	891	394	0	0	55	339	0
Precinct 7805 - Election Day	22	4	26	1	102	785	176	0	0	21	155	0
Precinct 7805 - Vote By Mail	48	16	17	4	210	785	348	0	0	53	295	0
Precinct 7806 - Election Day	16	5	25	2	86	699	163	0	0	29	134	0
Precinct 7806 - Vote By Mail	24	12	26	9	173	699	283	0	0	39	244	0
Precinct 7807 - Election Day	34	6	26	2	127	796	228	0	0	33	195	0
Precinct 7807 - Vote By Mail	48	7	20	6	150	796	273	0	0	41	232	1
Precinct 7808 - Election Day	19	3	14	1	120	655	178	0	0	21	157	0
Precinct 7808 - Vote By Mail	25	7	32	5	145	655	243	0	0	29	214	0
Precinct 7809 - Election Day	19	3	27	1	85	742	160	0	0	25	135	0
Precinct 7809 - Vote By Mail	38	4	26	4	161	742	267	0	0	34	233	0
Precinct 7811 - Election Day	14	4	30	4	108	726	186	0	0	26	160	0
Precinct 7811 - Vote By Mail	38	3	32	6	137	726	243	0	0	27	216	0
Precinct 7812 - Election Day	31	12	24	6	102	843	207	0	0	32	175	0
Precinct 7812 - Vote By Mail	47	8	22	5	170	843	292	0	0	35	257	5
Precinct 7813 - Election Day	29	6	45	2	127	988	251	0	0	41	210	1
Precinct 7813 - Vote By Mail	57	14	45	5	195	988	362	0	1	45	316	0
Precinct 7814 - Election Day	11	13	44	3	69	892	173	0	0	32	141	1
Precinct 7814 - Vote By Mail	23	18	29	5	117	892	223	0	1	30	192	0
Precinct 7815 - Election Day	14	4	14	4	119	914	178	0	1	21	156	1
Precinct 7815 - Vote By Mail	34	11	27	8	291	914	407	0	0	36	371	0
Precinct 7816 - Election Day	24	4	13	5	130	858	202	0	0	23	179	3
Precinct 7816 - Vote By Mail	62	8	13	6	251	858	390	0	0	49	341	1
Precinct 7817 - Election Day	24	5	31	4	130	795	215	0	0	21	194	0
Precinct 7817 - Vote By Mail	39	7	40	3	184	795	309	0	0	36	273	0
Precinct 7818 - Election Day	19	7	13	0	107	823	172	0	0	26	146	0
Precinct 7818 - Vote By Mail	54	14	31	0	185	823	335	0	2	49	284	0
Precinct 7819 - Election Day	20	3	26	4	93	760	169	0	0	23	146	0
Precinct 7819 - Vote By Mail	39	17	31	8	157	760	297	0	0	44	253	1
Precinct 7821 - Election Day	21	4	20	2	158	947	229	0	0	24	205	0
Precinct 7821 - Vote By Mail	45	18	28	13	280	947	439	0	0	55	384	0
Precinct 7822 - Election Day	16	8	38	6	145	927	244	0	1	30	213	0
Precinct 7822 - Vote By Mail	46	10	22	11	218	927	343	0	0	36	307	0
Precinct 7823 - Election Day	34	4	27	1	140	857	237	0	0	29	208	2
Precinct 7823 - Vote By Mail	43	12	29	6	220	857	347	0	0	37	310	0
Precinct 7824 - Election Day	15	8	16	3	86	756	170	0	1	39	130	2
Precinct 7824 - Vote By Mail	38	4	23	6	170	756	274	0	0	33	241	0
Precinct 7825 - Election Day	23	3	22	7	85	580	160	0	0	20	140	0
Precinct 7825 - Vote By Mail	30	6	26	5	128	580	215	0	0	20	195	0
Precinct 7826 - Election Day	25	7	26	1	115	665	214	0	0	37	177	3
Precinct 7826 - Vote By Mail	39	7	28	5	89	665	194	0	0	26	168	0
Precinct 7827 - Election Day	22	11	48	3	81	828	199	0	1	33	165	0
Precinct 7827 - Vote By Mail	41	19	51	7	111	828	252	0	1	20	231	2
Precinct 7828 - Election Day	22	14	14	1	129	976	205	0	0	25	180	0
Precinct 7828 - Vote By Mail	44	13	18	11	264	976	397	0	0	47	350	0
Precinct 7829 - Election Day	17	5	30	2	124	882	199	0	0	21	178	0
Precinct 7829 - Vote By Mail	36	16	14	15	268	882	391	0	2	40	349	0
Precinct 7831 - Election Day	18	5	19	1	133	828	202	0	0	26	176	0
Precinct 7831 - Vote By Mail	39	13	16	5	259	828	369	0	0	37	332	0
Precinct 7832 - Election Day	17	6	15	3	95	781	162	0	0	25	137	1
Precinct 7832 - Vote By Mail	54	13	20	8	218	781	343	0	0	29	314	1
Precinct 7833 - Election Day	25	2	34	5	88	745	182	0	0	28	154	0
Precinct 7833 - Vote By Mail	38	10	35	3	148	745	271	0	1	35	235	1
Precinct 7834 - Election Day	22	8	49	1	118	836	225	0	0	26	199	1
Precinct 7834 - Vote By Mail	34	6	58	2	146	836	288	0	0	42	246	0
Precinct 7835 - Election Day	18	11	14	2	103	808	175	0	0	25	150	2
Precinct 7835 - Vote By Mail	20	18	20	11	231	808	338	0	0	38	300	0
Precinct 7836 - Election Day	29	4	19	3	118	979	199	0	0	25	174	1
Precinct 7836 - Vote By Mail	53	20	20	18	267	979	421	0	0	43	378	0
Precinct 7837 - Election Day	29	6	14	4	157	883	237	0	0	27	210	0
Precinct 7837 - Vote By Mail	36	10	15	7	231	883	339	0	0	40	299	0
Precinct 7838 - Election Day	21	5	16	8	130	891	210	0	0	30	180	0
Precinct 7838 - Vote By Mail	38	13	27	8	285	891	413	0	0	41	372	1
Precinct 7839 - Election Day	13	3	13	4	108	830	172	0	0	31	141	0
Precinct 7839 - Vote By Mail	46	12	20	10	244	830	389	0	0	56	333	1
Precinct 7841 - Election Day	32	4	24	2	137	898	240	0	0	40	200	1
Precinct 7841 - Vote By Mail	38	13	39	5	221	898	353	0	0	37	316	0
Precinct 7842 - Election Day	33	14	25	1	124	873	214	0	0	17	197	0
Precinct 7842 - Vote By Mail	52	10	31	9	162	873	308	0	0	44	264	0
Precinct 7843 - Election Day	17	4	30	3	107	751	182	0	0	21	161	0
Precinct 7843 - Vote By Mail	37	13	35	6	145	751	267	0	0	31	236	0
Precinct 7844 - Election Day	23	8	25	4	72	635	160	0	0	28	132	0
Precinct 7844 - Vote By Mail	26	2	33	4	149	635	245	0	1	27	217	3
Precinct 7845 - Election Day	21	7	21	3	123	803	202	0	0	27	175	0
Precinct 7845 - Vote By Mail	24	10	10	2	232	803	314	0	0	36	278	0
Precinct 7846 - Election Day	21	11	22	5	125	871	221	0	0	35	186	2
Precinct 7846 - Vote By Mail	34	17	16	8	208	871	330	0	0	46	284	1
Precinct 7847 - Election Day	24	3	26	9	113	878	207	0	0	32	175	0
Precinct 7847 - Vote By Mail	42	6	26	7	227	878	358	0	0	50	308	0
Precinct 7848 - Election Day	32	4	11	6	124	838	209	0	0	31	178	1
Precinct 7848 - Vote By Mail	38	17	31	6	217	838	346	0	0	37	309	0
Precinct 7849 - Election Day	33	15	42	4	108	904	237	0	0	34	203	1
Precinct 7849 - Vote By Mail	56	16	32	8	197	904	353	0	1	43	309	0
Precinct 7851 - Election Day	6	7	3	6	78	493	118	0	0	18	100	0
Precinct 7851 - Vote By Mail	14	13	3	8	147	493	204	0	0	18	186	1
Precinct 7852 - Election Day	4	4	6	9	72	634	104	0	0	9	95	0
Precinct 7852 - Vote By Mail	22	13	15	15	212	634	303	0	0	26	277	0
Precinct 7853 - Election Day	24	7	16	6	104	837	180	0	0	23	157	0
Precinct 7853 - Vote By Mail	37	13	9	6	240	837	333	0	0	28	305	0
Precinct 7854 - Election Day	25	9	20	2	120	874	216	0	0	40	176	0
Precinct 7854 - Vote By Mail	58	14	19	7	210	874	346	0	0	38	308	0
Precinct 7855 - Election Day	30	4	33	3	160	949	259	0	0	28	231	1
Precinct 7855 - Vote By Mail	48	17	29	12	195	949	359	0	0	58	301	0
Precinct 7856 - Election Day	19	3	21	4	127	790	204	0	0	30	174	0
Precinct 7856 - Vote By Mail	45	10	27	6	191	790	312	0	0	31	281	2
Precinct 7857 - Election Day	40	8	44	0	103	913	226	0	0	30	196	1
Precinct 7857 - Vote By Mail	46	15	46	8	188	913	350	0	0	47	303	0
Precinct 7858 - Election Day	15	6	42	4	98	743	192	0	0	26	166	1
Precinct 7858 - Vote By Mail	39	7	44	6	128	743	252	0	0	27	225	1
Precinct 7859 - Election Day	32	11	23	6	126	879	219	0	0	20	199	1
Precinct 7859 - Vote By Mail	29	12	16	17	235	879	352	0	0	43	309	0
Precinct 7861 - Election Day	12	6	29	9	107	835	184	0	0	21	163	0
Precinct 7861 - Vote By Mail	50	16	25	14	223	835	367	0	0	39	328	0
Precinct 7862 - Election Day	26	10	26	8	136	850	237	0	0	29	208	2
Precinct 7862 - Vote By Mail	45	10	24	11	186	850	323	0	1	45	277	1
Precinct 7863 - Election Day	26	6	38	7	134	870	237	0	0	26	211	0
Precinct 7863 - Vote By Mail	41	10	40	6	170	870	302	0	0	35	267	0
Precinct 7864 - Election Day	19	9	25	5	107	773	188	0	0	23	165	0
Precinct 7864 - Vote By Mail	41	17	29	9	153	773	284	0	0	35	249	0
Precinct 7865 - Election Day	20	6	21	3	101	808	178	0	0	27	151	0
Precinct 7865 - Vote By Mail	43	14	25	6	177	808	310	0	0	45	265	0
Precinct 7866 - Election Day	23	14	11	6	107	816	184	0	0	23	161	0
Precinct 7866 - Vote By Mail	28	35	12	19	258	816	389	0	3	34	352	0
Precinct 7867 - Election Day	23	13	14	4	130	932	209	0	0	24	185	1
Precinct 7867 - Vote By Mail	47	14	30	11	248	932	385	0	3	31	351	1
Precinct 7868 - Election Day	19	9	16	7	145	860	218	0	0	22	196	0
Precinct 7868 - Vote By Mail	28	12	16	13	225	860	324	0	0	30	294	0
Precinct 7869 - Election Day	28	4	17	9	129	842	219	0	0	32	187	0
Precinct 7869 - Vote By Mail	35	15	24	17	233	842	376	0	0	51	325	1
Precinct 7871 - Election Day	12	6	15	8	162	882	240	0	2	35	203	0
Precinct 7871 - Vote By Mail	33	13	16	6	252	882	364	0	0	42	322	2
Precinct 7872 - Election Day	19	8	22	2	153	864	242	0	0	38	204	0
Precinct 7872 - Vote By Mail	47	8	23	9	235	864	369	0	0	47	322	0
Precinct 7873 - Election Day	31	3	24	2	134	841	231	0	0	37	194	0
Precinct 7873 - Vote By Mail	33	14	37	9	261	841	387	0	0	32	355	1
Precinct 7874 - Election Day	6	7	9	2	49	453	85	0	0	12	73	0
Precinct 7874 - Vote By Mail	22	3	11	2	115	453	174	0	0	20	154	1
Precinct 7875 - Election Day	11	12	20	8	60	615	127	0	0	15	112	1
Precinct 7875 - Vote By Mail	24	11	31	11	100	615	203	0	1	25	177	0
Precinct 7876 - Election Day	13	5	8	2	57	491	101	0	0	16	85	0
Precinct 7876 - Vote By Mail	25	3	13	3	75	491	148	0	0	28	120	1
Precinct 7901 - Election Day	16	8	13	1	33	466	87	0	0	15	72	1
Precinct 7901 - Vote By Mail	8	7	13	6	76	466	133	0	0	22	111	1
Precinct 7902 - Election Day	26	9	37	6	87	921	188	0	0	23	165	0
Precinct 7902 - Vote By Mail	18	22	36	7	141	921	259	0	0	34	225	1
Precinct 7903 - Election Day	12	10	26	3	67	819	144	0	0	26	118	0
Precinct 7903 - Vote By Mail	30	14	42	8	124	819	244	0	1	24	219	1
Precinct 7904 - Election Day	21	7	33	3	58	846	137	0	0	15	122	0
Precinct 7904 - Vote By Mail	34	22	31	6	135	846	248	0	0	20	228	0
Precinct 7905 - Election Day	18	7	34	1	112	821	199	0	0	27	172	0
Precinct 7905 - Vote By Mail	31	8	30	9	163	821	275	0	0	33	242	1
Precinct 7906 - Election Day	22	6	41	3	68	769	164	0	0	23	141	1
Precinct 7906 - Vote By Mail	32	7	38	2	110	769	214	0	2	23	189	0
Precinct 7907 - Election Day	25	12	52	2	82	926	201	0	0	26	175	2
Precinct 7907 - Vote By Mail	32	14	41	8	157	926	286	0	0	33	253	1
Precinct 7908 - Election Day	18	14	40	4	82	936	191	0	1	31	159	1
Precinct 7908 - Vote By Mail	32	23	34	12	124	936	267	0	0	41	226	1
Precinct 7909 - Election Day	21	6	49	0	89	726	190	0	1	24	165	0
Precinct 7909 - Vote By Mail	41	5	43	2	105	726	221	0	1	24	196	0
Precinct 7911 - Election Day	25	6	31	2	101	849	192	0	0	27	165	0
Precinct 7911 - Vote By Mail	30	11	29	7	136	849	250	0	0	35	215	2
Precinct 7912 - Election Day	38	2	48	3	80	1,036	215	0	0	41	174	3
Precinct 7912 - Vote By Mail	54	8	52	3	165	1,036	314	0	0	32	282	0
Precinct 7913 - Election Day	23	10	55	6	110	887	240	0	0	36	204	0
Precinct 7913 - Vote By Mail	40	15	43	7	119	887	244	0	0	20	224	0
Precinct 7914 - Election Day	24	11	54	3	86	833	208	0	0	30	178	0
Precinct 7914 - Vote By Mail	50	8	45	6	118	833	253	0	3	22	228	1
Precinct 7915 - Election Day	14	13	55	6	97	802	213	0	0	28	185	0
Precinct 7915 - Vote By Mail	29	11	42	4	107	802	222	0	1	28	193	0
Precinct 7916 - Election Day	20	8	46	1	115	887	215	0	0	25	190	0
Precinct 7916 - Vote By Mail	29	20	50	4	158	887	289	0	0	27	262	1
Precinct 7917 - Election Day	36	14	68	10	88	983	254	0	0	38	216	0
Precinct 7917 - Vote By Mail	39	11	64	6	138	983	287	0	1	26	260	2
Precinct 7918 - Election Day	28	7	44	0	84	790	191	0	0	27	164	1
Precinct 7918 - Vote By Mail	21	7	40	2	128	790	234	0	1	34	199	1
Precinct 7919 - Election Day	30	13	44	1	96	857	217	0	0	33	184	0
Precinct 7919 - Vote By Mail	26	12	51	6	119	857	241	0	0	27	214	0
Precinct 7921 - Election Day	16	11	33	1	65	883	151	0	0	23	128	2
Precinct 7921 - Vote By Mail	19	24	31	7	107	883	210	0	0	22	188	0
Precinct 7922 - Election Day	19	7	71	4	63	797	182	0	0	18	164	0
Precinct 7922 - Vote By Mail	35	16	24	6	144	797	241	0	1	14	226	1
Precinct 7923 - Election Day	22	9	51	1	87	863	202	0	0	32	170	0
Precinct 7923 - Vote By Mail	37	16	41	5	108	863	241	0	0	34	207	0
Precinct 7924 - Election Day	23	11	45	0	71	806	172	0	0	21	151	1
Precinct 7924 - Vote By Mail	41	18	44	9	113	806	247	0	0	22	225	0
Precinct 7925 - Election Day	15	3	26	1	49	570	114	0	0	19	95	1
Precinct 7925 - Vote By Mail	28	5	30	5	100	570	191	0	0	23	168	0
Precinct 7926 - Election Day	19	3	40	2	92	768	177	0	0	20	157	1
Precinct 7926 - Vote By Mail	40	13	48	6	154	768	296	0	0	35	261	0
Precinct 7927 - Election Day	20	5	45	1	93	733	187	0	0	23	164	0
Precinct 7927 - Vote By Mail	32	8	37	1	177	733	289	0	0	34	255	0
Precinct 7928 - Election Day	27	10	43	7	138	899	253	0	0	28	225	0
Precinct 7928 - Vote By Mail	41	9	42	5	176	899	297	0	0	24	273	0
Precinct 7929 - Election Day	24	5	31	1	110	840	200	0	0	28	172	1
Precinct 7929 - Vote By Mail	39	8	37	8	226	840	367	0	1	47	319	1
Precinct 7931 - Election Day	21	3	20	2	120	732	189	0	0	23	166	0
Precinct 7931 - Vote By Mail	32	7	21	7	199	732	317	0	0	51	266	0
Precinct 7932 - Election Day	8	2	18	3	68	551	112	0	0	13	99	0
Precinct 7932 - Vote By Mail	37	4	34	6	123	551	225	0	0	21	204	0
Precinct 7933 MB - Vote By Mail	0	0	0	0	3	8	4	0	0	1	3	0
Precinct 7934 - Election Day	19	3	42	1	97	885	195	0	0	33	162	0
Precinct 7934 - Vote By Mail	39	9	47	4	184	885	328	0	0	44	284	1
Precinct 7935 - Election Day	25	9	52	4	153	938	283	0	0	40	243	0
Precinct 7935 - Vote By Mail	30	10	44	8	229	938	370	0	0	47	323	2
Precinct 7936 - Election Day	23	8	49	4	125	832	246	0	0	36	210	1
Precinct 7936 - Vote By Mail	35	11	51	7	181	832	326	0	0	40	286	1
Precinct 7937 - Election Day	22	13	35	0	118	874	223	0	0	35	188	0
Precinct 7937 - Vote By Mail	34	10	39	5	189	874	309	0	0	31	278	1
Precinct 7938 - Election Day	18	10	24	3	85	774	162	0	0	22	140	0
Precinct 7938 - Vote By Mail	29	14	47	5	126	774	247	0	0	26	221	0
Precinct 7939 - Election Day	16	5	34	3	95	667	186	0	0	33	153	0
Precinct 7939 - Vote By Mail	22	8	37	7	124	667	230	0	2	29	199	1
Precinct 7941 - Election Day	22	10	22	2	85	728	167	0	0	25	142	1
Precinct 7941 - Vote By Mail	31	8	36	4	130	728	236	0	0	27	209	0
Precinct 7942 - Election Day	16	10	18	5	87	893	166	0	0	30	136	0
Precinct 7942 - Vote By Mail	30	9	18	10	174	893	286	0	0	44	242	1
Precinct 7943 - Election Day	17	12	28	6	99	887	192	0	1	29	162	0
Precinct 7943 - Vote By Mail	29	23	30	18	187	887	319	0	0	32	287	0
Precinct 7944 - Election Day	22	8	34	2	110	769	201	0	0	25	176	0
Precinct 7944 - Vote By Mail	30	11	25	9	127	769	235	0	0	33	202	0
Precinct 7945 - Election Day	11	10	13	1	65	897	118	0	0	18	100	0
Precinct 7945 - Vote By Mail	33	15	38	7	161	897	294	0	0	40	254	0
Precinct 7946 - Election Day	11	9	21	3	76	909	134	0	0	14	120	0
Precinct 7946 - Vote By Mail	36	44	19	16	193	909	348	0	0	39	309	1
Precinct 7947 - Election Day	7	12	8	5	74	894	128	0	0	21	107	1
Precinct 7947 - Vote By Mail	20	43	18	26	163	894	327	0	0	57	270	0
Precinct 7948 - Election Day	13	13	15	7	96	900	165	0	0	21	144	0
Precinct 7948 - Vote By Mail	27	30	19	24	172	900	313	0	0	41	272	0
Precinct 7949 - Election Day	5	4	7	4	44	552	78	0	0	14	64	0
Precinct 7949 - Vote By Mail	8	19	5	20	145	552	224	0	0	27	197	0
Precinct 7951 - Election Day	10	7	13	5	50	830	97	0	0	12	85	0
Precinct 7951 - Vote By Mail	29	39	19	37	179	830	341	0	2	35	304	1
Precinct 7952 - Election Day	3	12	7	7	55	823	100	0	0	15	85	1
Precinct 7952 - Vote By Mail	35	22	18	19	159	823	288	0	0	34	254	1
Precinct 7953 - Election Day	12	4	8	5	62	795	103	0	0	12	91	0
Precinct 7953 - Vote By Mail	35	31	11	36	148	795	294	0	0	33	261	0
Precinct 7955 - Election Day	6	10	12	5	66	854	116	0	0	16	100	1
Precinct 7955 - Vote By Mail	21	26	24	30	159	854	320	0	1	59	260	0
Precinct 7956 - Election Day	11	8	7	4	45	779	101	0	0	26	75	0
Precinct 7956 - Vote By Mail	12	39	9	19	126	779	247	0	0	41	206	1
Precinct 7957 - Election Day	11	2	8	1	58	623	97	0	0	16	81	1
Precinct 7957 - Vote By Mail	11	18	19	9	129	623	217	0	0	31	186	0
Precinct 7958 MB - Vote By Mail	8	15	8	5	51	263	104	0	0	13	91	4
Precinct 7959 - Election Day	15	7	27	2	43	695	110	0	0	16	94	0
Precinct 7959 - Vote By Mail	40	7	17	1	103	695	190	0	0	21	169	1
Precinct 9001 MB - Vote By Mail	4	7	2	4	72	257	101	0	0	12	89	0
Precinct 9101 - Election Day	17	9	17	14	104	833	190	0	0	29	161	0
Precinct 9101 - Vote By Mail	30	13	19	31	194	833	323	0	0	35	288	1
Precinct 9102 - Election Day	17	11	13	17	97	950	182	0	0	26	156	1
Precinct 9102 - Vote By Mail	26	16	18	35	204	950	335	0	0	35	300	1
Precinct 9103 - Election Day	21	4	13	10	104	924	174	0	0	21	153	1
Precinct 9103 - Vote By Mail	24	24	8	27	179	924	302	0	0	37	265	3
Precinct 9104 - Election Day	12	7	19	15	93	937	176	0	0	28	148	2
Precinct 9104 - Vote By Mail	39	22	21	25	192	937	332	0	0	33	299	0
Precinct 9105 - Election Day	13	10	12	9	116	888	191	0	0	30	161	1
Precinct 9105 - Vote By Mail	28	24	27	23	192	888	339	0	0	43	296	2
Precinct 9106 - Election Day	25	7	10	19	128	907	213	0	0	24	189	0
Precinct 9106 - Vote By Mail	40	19	13	20	191	907	334	0	0	51	283	0
Precinct 9107 - Election Day	11	10	15	10	99	806	164	0	0	19	145	0
Precinct 9107 - Vote By Mail	19	13	25	25	138	806	246	0	0	26	220	0
Precinct 9108 - Election Day	18	8	37	11	91	761	185	0	0	20	165	0
Precinct 9108 - Vote By Mail	15	9	14	13	146	761	220	0	0	23	197	0
Precinct 9109 - Election Day	9	8	22	14	123	848	205	0	0	29	176	0
Precinct 9109 - Vote By Mail	27	15	15	13	188	848	285	0	0	27	258	0
Precinct 9111 - Election Day	11	8	15	16	82	756	150	0	1	17	132	0
Precinct 9111 - Vote By Mail	18	10	24	12	134	756	226	0	1	27	198	0
Precinct 9112 - Election Day	26	8	25	8	113	918	211	0	0	31	180	0
Precinct 9112 - Vote By Mail	37	17	24	12	160	918	295	0	2	43	250	0
Precinct 9113 - Election Day	17	19	30	13	118	959	231	0	0	33	198	1
Precinct 9113 - Vote By Mail	33	19	23	24	209	959	351	0	1	42	308	0
Precinct 9114 - Election Day	17	3	21	7	97	820	170	0	1	24	145	0
Precinct 9114 - Vote By Mail	19	5	40	15	149	820	273	0	0	45	228	0
Precinct 9115 - Election Day	17	7	16	8	107	873	172	0	1	16	155	0
Precinct 9115 - Vote By Mail	35	15	40	14	146	873	287	0	1	36	250	0
Precinct 9116 - Election Day	23	8	35	4	94	903	193	0	0	28	165	1
Precinct 9116 - Vote By Mail	43	15	31	22	164	903	314	0	0	39	275	0
Precinct 9117 - Election Day	28	10	17	10	99	756	180	0	0	16	164	0
Precinct 9117 - Vote By Mail	26	14	7	18	184	756	285	0	0	36	249	0
Precinct 9118 - Election Day	12	8	25	12	90	923	184	0	0	35	149	2
Precinct 9118 - Vote By Mail	25	20	25	25	147	923	268	0	0	26	242	0
Precinct 9119 - Election Day	15	7	21	10	77	856	152	0	0	22	130	0
Precinct 9119 - Vote By Mail	36	8	20	36	179	856	323	0	0	43	280	1
Precinct 9121 - Election Day	17	15	23	15	95	890	188	0	0	23	165	0
Precinct 9121 - Vote By Mail	16	16	18	17	169	890	274	0	1	35	238	2
Precinct 9122 - Election Day	9	5	13	9	74	913	131	0	1	20	110	0
Precinct 9122 - Vote By Mail	20	22	18	36	162	913	292	0	0	34	258	0
Precinct 9123 - Election Day	19	6	14	19	100	829	175	0	0	17	158	0
Precinct 9123 - Vote By Mail	33	22	25	27	136	829	270	0	0	25	245	2
Precinct 9124 - Election Day	13	9	13	9	82	832	150	0	0	24	126	0
Precinct 9124 - Vote By Mail	28	22	18	25	161	832	290	0	0	36	254	0
Precinct 9125 - Election Day	11	5	14	9	95	822	159	0	0	23	136	2
Precinct 9125 - Vote By Mail	34	17	17	20	181	822	299	0	0	29	270	1
Precinct 9126 - Election Day	18	8	25	15	95	945	186	0	0	25	161	0
Precinct 9126 - Vote By Mail	20	29	35	28	185	945	350	0	0	53	297	0
Precinct 9127 - Election Day	14	8	26	15	124	908	209	0	0	22	187	0
Precinct 9127 - Vote By Mail	36	18	19	18	178	908	315	0	0	46	269	0
Precinct 9128 - Election Day	12	12	24	12	103	805	188	0	0	25	163	0
Precinct 9128 - Vote By Mail	21	20	17	29	177	805	296	0	0	32	264	0
Precinct 9129 - Election Day	18	5	17	8	98	713	173	0	0	26	147	1
Precinct 9129 - Vote By Mail	25	8	14	19	122	713	225	0	0	37	188	0
Precinct 9131 - Election Day	18	6	16	4	86	740	151	0	0	20	131	1
Precinct 9131 - Vote By Mail	22	10	20	25	173	740	274	0	0	24	250	0
Precinct 9132 - Election Day	21	1	23	6	85	827	167	0	0	30	137	1
Precinct 9132 - Vote By Mail	37	10	22	20	125	827	251	0	2	34	215	1
Precinct 9133 - Election Day	30	6	25	3	109	1,007	188	0	0	15	173	0
Precinct 9133 - Vote By Mail	55	25	22	15	219	1,007	388	0	0	52	336	0
Precinct 9134 - Election Day	20	3	16	9	64	893	132	0	0	20	112	0
Precinct 9134 - Vote By Mail	27	22	27	13	172	893	297	0	0	36	261	0
Precinct 9135 - Election Day	13	9	14	17	70	778	149	0	0	26	123	0
