Subtotal Area	NIKI JUDITH SOLIS	JEFFREY S. ROSS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7002 - None	57	47	641	132	1	0	27	104	0
Precinct 7002 - None	64	84	641	173	0	0	25	148	0
Precinct 7003 - None	73	71	864	188	-1	1	44	144	0
Precinct 7003 - None	115	162	864	340	1	1	61	277	0
Precinct 7004 - None	52	72	835	175	-1	0	52	124	0
Precinct 7004 - None	98	152	835	306	6	0	48	252	2
Precinct 7005 - None	71	74	812	180	-1	0	36	145	0
Precinct 7005 - None	118	122	812	295	2	0	53	240	0
Precinct 7006 - None	106	58	884	213	-1	0	49	165	1
Precinct 7006 - None	129	114	884	290	1	0	45	244	1
Precinct 7007 - None	99	84	916	233	-4	0	53	184	1
Precinct 7007 - None	106	161	916	323	2	0	53	268	1
Precinct 7008 - None	64	73	861	187	0	0	50	137	0
Precinct 7008 - None	105	168	861	345	0	0	72	273	0
Precinct 7009 - None	63	41	864	133	-1	0	30	104	0
Precinct 7009 - None	96	151	864	312	-2	0	66	248	1
Precinct 7011 - None	46	51	976	141	0	0	41	100	3
Precinct 7011 - None	80	86	976	205	1	0	36	168	2
Precinct 7012 - None	87	93	1,061	224	0	0	42	182	2
Precinct 7012 - None	130	173	1,061	383	0	0	78	305	2
Precinct 7013 - None	50	53	805	132	0	0	27	105	2
Precinct 7013 - None	85	120	805	251	2	0	41	208	3
Precinct 7014 - None	76	75	1,213	188	-2	0	38	152	1
Precinct 7014 - None	156	198	1,213	434	-1	0	80	355	1
Precinct 7015 MB - None	23	10	93	34	0	0	1	33	0
Precinct 7016 - None	44	33	891	112	2	0	33	77	0
Precinct 7016 - None	60	117	891	221	2	0	42	177	0
Precinct 7017 - None	25	23	734	79	0	0	31	48	0
Precinct 7017 - None	67	66	734	167	1	0	33	133	0
Precinct 7018 - None	35	34	908	88	-1	0	20	69	0
Precinct 7018 - None	75	194	908	343	5	1	66	271	2
Precinct 7019 - None	37	40	864	111	2	0	31	78	1
Precinct 7019 - None	96	199	864	349	-1	1	52	297	2
Precinct 7021 - None	52	44	927	129	0	1	30	98	2
Precinct 7021 - None	76	102	927	220	-1	0	42	179	1
Precinct 7022 - None	69	64	923	164	-1	0	31	134	1
Precinct 7022 - None	92	130	923	270	2	0	45	223	1
Precinct 7023 - None	52	43	906	131	-1	0	36	96	1
Precinct 7023 - None	105	150	906	301	-3	0	47	257	2
Precinct 7024 - None	5	11	386	30	0	0	12	18	2
Precinct 7024 - None	9	34	386	47	1	0	3	43	0
Precinct 7025 - None	31	20	448	66	1	0	14	51	0
Precinct 7025 - None	33	35	448	78	2	0	7	69	1
Precinct 7026 - None	22	46	971	90	-1	0	22	69	1
Precinct 7026 - None	55	222	971	350	8	1	63	278	1
Precinct 7027 - None	45	45	845	136	2	0	44	90	0
