Subtotal Area	NIKI JUDITH SOLIS	JEFFREY S. ROSS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7635 - None	36	30	782	89	0	0	21	68	2
Precinct 7635 - None	93	111	782	242	3	0	30	209	5
Precinct 7636 - None	33	65	920	134	-1	0	37	98	0
Precinct 7636 - None	78	112	920	251	-1	0	62	190	0
Precinct 7637 - None	30	37	732	89	0	0	22	67	0
Precinct 7637 - None	65	134	732	249	0	1	49	199	0
Precinct 7638 - None	38	55	1,365	129	0	0	36	93	0
Precinct 7638 - None	83	296	1,365	492	2	0	110	380	1
Precinct 7639 - None	31	43	962	110	1	0	34	75	1
Precinct 7639 - None	74	172	962	319	-2	0	74	247	1
Precinct 7641 - None	27	58	931	114	0	0	29	85	0
Precinct 7641 - None	83	205	931	374	0	0	84	290	2
Precinct 7642 - None	22	29	909	84	0	0	32	52	1
Precinct 7642 - None	68	86	909	268	0	0	112	156	2
Precinct 7643 - None	24	35	871	99	0	0	39	60	1
Precinct 7643 - None	79	210	871	355	2	1	63	289	0
Precinct 7644 - None	44	70	1,082	156	-2	0	44	114	0
Precinct 7644 - None	76	147	1,082	291	1	1	66	223	0
Precinct 7645 - None	19	31	631	63	0	0	12	51	1
Precinct 7645 - None	60	136	631	241	-3	0	48	196	0
Precinct 7646 - None	33	39	1,035	110	0	0	36	74	2
Precinct 7646 - None	74	183	1,035	326	0	0	69	257	0
Precinct 7647 - None	49	35	1,027	107	0	0	21	86	2
Precinct 7647 - None	74	77	1,027	185	0	0	34	151	0
Precinct 7648 MB - None	0	0	2	0	0	0	0	0	0
Precinct 7649 - None	34	38	877	97	1	0	19	77	5
Precinct 7649 - None	63	124	877	234	2	0	44	188	1
Precinct 7651 - None	20	19	555	48	0	0	7	41	2
Precinct 7651 - None	50	79	555	155	0	0	26	129	0
Precinct 7652 - None	19	30	580	68	-1	0	20	49	0
Precinct 7652 - None	50	79	580	163	-3	0	37	129	0
Precinct 7653 - None	43	60	1,092	137	1	0	33	103	0
Precinct 7653 - None	92	162	1,092	321	0	0	65	256	2
Precinct 7701 - None	79	82	1,012	225	0	0	61	164	3
Precinct 7701 - None	114	173	1,012	383	2	1	92	288	1
Precinct 7702 - None	23	71	704	117	0	0	23	94	0
Precinct 7702 - None	71	170	704	302	-1	1	60	242	1
Precinct 7703 MB - None	16	29	172	66	1	1	18	46	1
Precinct 7704 - None	57	97	977	208	0	0	50	158	4
Precinct 7704 - None	97	222	977	396	1	0	74	321	2
Precinct 7705 - None	23	72	547	123	0	0	27	96	1
Precinct 7705 - None	62	122	547	227	0	0	43	184	0
Precinct 7706 - None	60	100	821	189	0	0	29	160	0
Precinct 7706 - None	100	174	821	341	0	1	63	277	3
Precinct 7707 - None	62	94	839	200	1	0	43	156	0
Precinct 7707 - None	82	215	839	379	-1	0	83	297	0
Precinct 7708 - None	51	84	860	181	1	0	44	136	1
Precinct 7708 - None	102	243	860	400	-1	0	56	345	0
Precinct 7709 - None	37	25	383	85	1	0	22	62	0
Precinct 7709 - None	79	63	383	174	0	0	32	142	0
Precinct 7711 - None	61	62	772	162	0	0	39	123	0
Precinct 7711 - None	96	189	772	344	0	0	58	286	1
Precinct 7712 - None	63	43	524	131	0	0	25	106	0
Precinct 7712 - None	86	103	524	230	-1	0	38	193	4
Precinct 7801 - None	79	100	970	230	1	0	50	179	0
Precinct 7801 - None	107	253	970	424	-2	0	66	360	0
Precinct 7802 - None	59	96	762	205	-1	0	50	156	1
Precinct 7802 - None	92	156	762	313	2	0	63	248	0
Precinct 7803 - None	59	52	823	143	0	0	32	111	0
Precinct 7803 - None	108	235	823	412	-1	1	69	343	0
Precinct 7804 - None	96	100	891	236	0	0	38	198	2
Precinct 7804 - None	98	224	891	394	0	0	70	324	2
Precinct 7805 - None	78	69	785	176	1	0	28	147	0
Precinct 7805 - None	99	180	785	348	-1	0	70	279	0
Precinct 7806 - None	71	55	699	163	0	0	37	126	0
Precinct 7806 - None	81	141	699	283	3	0	58	222	0
Precinct 7807 - None	93	89	796	228	2	0	44	182	0
Precinct 7807 - None	99	114	796	273	0	0	58	215	2
Precinct 7808 - None	50	92	655	178	0	0	35	143	1
Precinct 7808 - None	96	102	655	243	0	0	45	198	0
Precinct 7809 - None	71	57	742	160	-1	0	33	128	0
Precinct 7809 - None	97	124	742	267	0	0	46	221	0
Precinct 7811 - None	88	68	726	186	-1	0	31	156	0
Precinct 7811 - None	98	101	726	243	1	0	43	199	0
Precinct 7812 - None	75	86	843	207	0	0	46	161	0
Precinct 7812 - None	99	144	843	292	-2	0	47	247	4
Precinct 7813 - None	95	90	988	251	-1	0	65	187	2
Precinct 7813 - None	132	161	988	362	1	0	68	293	0
Precinct 7814 - None	92	46	892	173	-1	0	34	140	2
Precinct 7814 - None	91	96	892	223	1	1	33	188	1
Precinct 7815 - None	61	71	914	178	-1	0	47	132	0
Precinct 7815 - None	132	201	914	407	0	1	73	333	0
Precinct 7816 - None	77	89	858	202	1	0	34	167	1
Precinct 7816 - None	103	213	858	390	0	0	74	316	0
Precinct 7817 - None	84	94	795	215	-1	0	37	179	1
Precinct 7817 - None	117	148	795	309	2	0	42	265	0
Precinct 7818 - None	63	69	823	172	0	0	39	133	1
Precinct 7818 - None	115	158	823	335	0	0	61	274	1
Precinct 7819 - None	73	63	760	169	0	0	33	136	0
Precinct 7819 - None	108	133	760	297	1	0	55	241	0
Precinct 7821 - None	83	94	947	229	0	0	52	177	0
Precinct 7821 - None	139	228	947	439	0	0	71	368	1
Precinct 7822 - None	96	103	927	244	0	0	45	199	0
Precinct 7822 - None	120	173	927	343	1	0	48	294	1
Precinct 7823 - None	111	80	857	237	0	0	44	193	2
Precinct 7823 - None	132	154	857	347	1	0	60	286	0
Precinct 7824 - None	68	66	756	170	0	0	34	136	2
Precinct 7824 - None	102	126	756	274	3	1	42	228	0
Precinct 7825 - None	62	64	580	160	-1	0	35	126	0
Precinct 7825 - None	83	93	580	215	0	0	39	176	0
Precinct 7826 - None	89	74	665	214	0	0	49	165	2
Precinct 7826 - None	87	67	665	194	-2	0	42	154	0
Precinct 7827 - None	104	56	828	199	0	0	39	160	0
Precinct 7827 - None	110	104	828	252	0	0	37	215	1
Precinct 7828 - None	73	79	976	205	2	0	51	152	0
Precinct 7828 - None	128	191	976	397	-1	0	78	320	1
Precinct 7829 - None	66	96	882	199	0	0	37	162	0
Precinct 7829 - None	95	227	882	391	-1	0	70	322	0
Precinct 7831 - None	71	88	828	202	1	0	42	159	0
Precinct 7831 - None	105	197	828	369	1	0	66	302	0
Precinct 7832 - None	49	80	781	162	-1	0	32	131	2
Precinct 7832 - None	101	179	781	343	-1	0	64	280	0
Precinct 7833 - None	83	52	745	182	-1	0	48	135	0
Precinct 7833 - None	123	102	745	271	0	0	46	225	0
Precinct 7834 - None	110	62	836	225	-1	0	53	173	1
Precinct 7834 - None	131	107	836	288	-1	0	50	239	1
Precinct 7835 - None	66	70	808	175	0	0	36	139	3
Precinct 7835 - None	102	181	808	338	-1	0	55	284	1
Precinct 7836 - None	79	89	979	199	0	0	29	170	2
Precinct 7836 - None	146	192	979	421	0	0	79	342	4
Precinct 7837 - None	75	118	883	237	1	0	43	193	0
Precinct 7837 - None	65	194	883	339	0	0	80	259	0
Precinct 7838 - None	60	109	891	210	0	0	41	169	0
Precinct 7838 - None	121	224	891	413	1	1	66	345	0
Precinct 7839 - None	38	90	830	172	-2	0	46	128	0
Precinct 7839 - None	104	218	830	389	1	0	66	322	0
Precinct 7841 - None	77	98	898	240	0	0	63	177	2
Precinct 7841 - None	122	160	898	353	0	1	69	283	1
Precinct 7842 - None	94	86	873	214	0	0	34	180	0
Precinct 7842 - None	124	130	873	308	2	0	52	254	0
Precinct 7843 - None	86	63	751	182	-1	0	33	150	1
Precinct 7843 - None	103	112	751	267	0	0	52	215	0
Precinct 7844 - None	79	47	635	160	1	0	33	126	0
Precinct 7844 - None	115	90	635	245	-1	0	40	206	1
Precinct 7845 - None	59	95	803	202	-1	0	49	154	0
Precinct 7845 - None	87	170	803	314	-1	0	58	257	0
Precinct 7846 - None	55	112	871	221	-1	0	53	169	2
Precinct 7846 - None	83	181	871	330	3	0	62	265	1
Precinct 7847 - None	68	92	878	207	0	0	46	161	1
Precinct 7847 - None	114	177	878	358	-2	1	68	291	0
Precinct 7848 - None	71	101	838	209	-2	0	38	173	1
Precinct 7848 - None	109	178	838	346	-2	1	58	289	2
Precinct 7849 - None	91	91	904	237	-1	0	55	183	1
Precinct 7849 - None	117	172	904	353	0	0	64	289	0
Precinct 7851 - None	23	60	493	118	0	0	35	83	0
Precinct 7851 - None	49	123	493	204	0	0	32	172	0
Precinct 7852 - None	25	57	634	104	0	0	22	82	0
Precinct 7852 - None	83	174	634	303	0	0	46	257	0
Precinct 7853 - None	46	90	837	180	0	0	42	138	2
Precinct 7853 - None	78	211	837	333	0	0	44	289	0
Precinct 7854 - None	78	88	874	216	0	0	49	167	1
Precinct 7854 - None	104	178	874	346	0	0	64	282	0
Precinct 7855 - None	91	121	949	259	0	0	47	212	0
Precinct 7855 - None	117	167	949	359	-2	0	77	284	0
Precinct 7856 - None	79	90	790	204	1	0	33	170	1
Precinct 7856 - None	96	153	790	312	-1	0	62	251	2
Precinct 7857 - None	99	73	913	226	0	0	53	173	1
Precinct 7857 - None	129	144	913	350	0	0	77	273	0
Precinct 7858 - None	95	56	743	192	0	0	41	151	0
Precinct 7858 - None	115	104	743	252	1	0	32	219	0
Precinct 7859 - None	67	104	879	219	0	0	47	172	1
Precinct 7859 - None	92	194	879	352	0	0	66	286	0
Precinct 7861 - None	71	78	835	184	0	0	33	151	2
Precinct 7861 - None	106	200	835	367	0	1	60	306	0
Precinct 7862 - None	88	104	850	237	0	0	45	192	0
Precinct 7862 - None	93	175	850	323	-1	0	55	269	1
Precinct 7863 - None	108	86	870	237	0	0	41	196	2
Precinct 7863 - None	118	135	870	302	0	0	49	253	0
Precinct 7864 - None	85	70	773	188	0	0	33	155	0
Precinct 7864 - None	103	129	773	284	-2	1	53	232	0
Precinct 7865 - None	73	64	808	178	0	0	41	137	0
Precinct 7865 - None	126	127	808	310	0	1	56	253	0
Precinct 7866 - None	49	94	816	184	0	0	41	143	0
Precinct 7866 - None	84	244	816	389	0	0	61	328	0
Precinct 7867 - None	62	86	932	209	0	0	58	151	3
Precinct 7867 - None	134	187	932	385	3	1	58	323	2
Precinct 7868 - None	79	102	860	218	0	0	34	184	3
Precinct 7868 - None	80	194	860	324	1	0	48	275	1
Precinct 7869 - None	81	97	842	219	1	0	40	178	0
Precinct 7869 - None	120	189	842	376	-1	0	67	310	1
Precinct 7871 - None	81	108	882	240	-3	3	51	189	0
Precinct 7871 - None	103	200	882	364	1	0	57	306	3
Precinct 7872 - None	78	96	864	242	0	0	68	174	0
Precinct 7872 - None	121	162	864	369	0	0	86	283	0
Precinct 7873 - None	95	92	841	231	0	0	43	188	1
Precinct 7873 - None	117	216	841	387	0	0	53	334	1
Precinct 7874 - None	30	41	453	85	0	0	14	71	0
Precinct 7874 - None	58	88	453	174	1	0	26	147	1
Precinct 7875 - None	60	43	615	127	0	0	23	104	1
Precinct 7875 - None	83	80	615	203	-2	0	41	164	1
Precinct 7876 - None	40	38	491	101	0	0	23	78	0
Precinct 7876 - None	44	64	491	148	-1	0	41	108	0
Precinct 7901 - None	36	21	466	87	-1	0	29	59	2
Precinct 7901 - None	53	53	466	133	0	0	27	106	0
Precinct 7902 - None	99	52	921	188	0	0	34	154	3
Precinct 7902 - None	121	90	921	259	0	0	46	213	2
Precinct 7903 - None	69	37	819	144	0	1	36	107	1
Precinct 7903 - None	114	89	819	244	0	0	41	203	0
Precinct 7904 - None	70	41	846	137	0	0	26	111	0
Precinct 7904 - None	95	116	846	248	-1	0	38	211	0
Precinct 7905 - None	88	65	821	199	1	0	43	155	2
Precinct 7905 - None	103	125	821	275	3	0	43	229	1
Precinct 7906 - None	73	46	769	164	1	0	43	120	1
Precinct 7906 - None	90	81	769	214	-1	0	44	171	0
Precinct 7907 - None	114	53	926	201	2	0	31	168	1
Precinct 7907 - None	134	107	926	286	1	0	43	242	1
Precinct 7908 - None	90	66	936	191	0	0	33	158	2
Precinct 7908 - None	119	112	936	267	0	0	34	233	2
Precinct 7909 - None	118	45	726	190	0	0	25	165	2
Precinct 7909 - None	110	72	726	221	0	0	39	182	0
Precinct 7911 - None	90	62	849	192	0	0	37	155	3
Precinct 7911 - None	112	88	849	250	1	0	48	201	1
Precinct 7912 - None	112	49	1,036	215	2	0	50	163	2
Precinct 7912 - None	125	125	1,036	314	4	0	60	250	0
Precinct 7913 - None	127	69	887	240	0	0	42	198	2
Precinct 7913 - None	124	87	887	244	-1	1	33	211	0
Precinct 7914 - None	110	59	833	208	0	0	36	172	3
Precinct 7914 - None	145	66	833	253	1	0	39	213	2
Precinct 7915 - None	111	49	802	213	0	1	52	160	0
Precinct 7915 - None	115	72	802	222	1	0	34	187	0
Precinct 7916 - None	115	57	887	215	0	0	42	173	1
Precinct 7916 - None	144	108	887	289	0	0	37	252	0
Precinct 7917 - None	147	50	983	254	-1	0	56	199	2
Precinct 7917 - None	153	94	983	287	0	2	35	250	3
Precinct 7918 - None	97	48	790	191	0	0	42	149	4
Precinct 7918 - None	121	77	790	234	-1	0	37	198	0
Precinct 7919 - None	110	65	857	217	0	1	40	176	1
Precinct 7919 - None	128	77	857	241	0	0	36	205	0
Precinct 7921 - None	78	40	883	151	-1	1	28	123	5
Precinct 7921 - None	88	90	883	210	0	0	32	178	0
Precinct 7922 - None	97	46	797	182	1	0	37	144	1
Precinct 7922 - None	115	91	797	241	1	0	33	207	1
Precinct 7923 - None	106	57	863	202	0	0	37	165	2
Precinct 7923 - None	128	79	863	241	0	0	33	208	1
Precinct 7924 - None	96	43	806	172	1	0	29	142	3
Precinct 7924 - None	133	90	806	247	0	0	24	223	0
Precinct 7925 - None	73	21	570	114	0	0	20	94	0
Precinct 7925 - None	96	65	570	191	0	0	30	161	0
Precinct 7926 - None	92	53	768	177	0	0	30	147	2
Precinct 7926 - None	113	123	768	296	0	2	56	238	2
Precinct 7927 - None	96	53	733	187	0	0	35	152	3
Precinct 7927 - None	125	120	733	289	-1	0	44	246	1
Precinct 7928 - None	120	83	899	253	-1	0	49	205	2
Precinct 7928 - None	136	125	899	297	2	0	34	261	0
Precinct 7929 - None	83	72	840	200	-1	0	46	155	0
Precinct 7929 - None	151	167	840	367	2	0	47	318	0
Precinct 7931 - None	69	76	732	189	0	0	44	145	0
Precinct 7931 - None	126	136	732	317	-1	0	54	264	2
Precinct 7932 - None	50	42	551	112	0	0	19	93	1
Precinct 7932 - None	84	100	551	225	0	0	40	185	1
Precinct 7933 MB - None	1	3	8	4	0	0	0	4	0
Precinct 7934 - None	106	47	885	195	-4	0	45	154	1
Precinct 7934 - None	139	136	885	328	2	0	49	277	2
Precinct 7935 - None	137	89	938	283	0	0	57	226	0
Precinct 7935 - None	164	148	938	370	2	0	56	312	0
Precinct 7936 - None	134	66	832	246	-1	0	47	200	0
Precinct 7936 - None	162	116	832	326	1	0	47	278	0
Precinct 7937 - None	113	70	874	223	0	1	39	183	0
Precinct 7937 - None	127	137	874	309	0	0	44	265	1
Precinct 7938 - None	81	43	774	162	0	0	37	125	1
Precinct 7938 - None	115	102	774	247	0	0	30	217	0
Precinct 7939 - None	85	54	667	186	2	0	41	143	4
Precinct 7939 - None	96	90	667	230	1	0	43	186	0
Precinct 7941 - None	80	55	728	167	1	0	28	138	3
Precinct 7941 - None	115	81	728	236	1	1	38	196	0
Precinct 7942 - None	66	58	893	166	1	0	41	124	0
Precinct 7942 - None	130	103	893	286	-1	0	52	235	2
Precinct 7943 - None	85	77	887	192	0	0	30	162	0
Precinct 7943 - None	130	143	887	319	2	0	43	274	1
Precinct 7944 - None	97	71	769	201	-1	0	33	169	1
Precinct 7944 - None	101	96	769	235	0	1	36	198	1
Precinct 7945 - None	55	42	897	118	0	0	20	98	1
Precinct 7945 - None	134	108	897	294	3	0	49	242	0
Precinct 7946 - None	56	47	909	134	1	0	29	104	1
Precinct 7946 - None	85	191	909	348	3	0	65	280	4
Precinct 7947 - None	51	49	894	128	-1	0	28	101	1
Precinct 7947 - None	68	180	894	327	-1	0	78	250	2
Precinct 7948 - None	69	60	900	165	0	0	35	130	1
Precinct 7948 - None	99	153	900	313	-2	0	60	255	3
Precinct 7949 - None	31	24	552	78	3	0	20	55	0
Precinct 7949 - None	44	135	552	224	0	0	44	180	1
Precinct 7951 - None	37	43	830	97	0	0	17	80	0
Precinct 7951 - None	96	179	830	341	0	0	64	277	2
Precinct 7952 - None	38	36	823	100	0	0	24	76	2
Precinct 7952 - None	78	161	823	288	-1	0	50	239	0
Precinct 7953 - None	44	41	795	103	-2	0	19	86	1
Precinct 7953 - None	80	158	795	294	0	0	56	238	0
Precinct 7955 - None	46	50	854	116	0	0	20	96	0
Precinct 7955 - None	86	173	854	320	0	0	61	259	0
Precinct 7956 - None	31	30	779	101	0	0	39	62	1
Precinct 7956 - None	56	153	779	247	3	0	35	209	0
Precinct 7957 - None	35	35	623	97	1	0	23	73	3
Precinct 7957 - None	59	112	623	217	0	0	45	172	1
Precinct 7958 MB - None	26	59	263	104	0	0	18	86	1
Precinct 7959 - None	57	30	695	110	0	0	22	88	1
Precinct 7959 - None	68	87	695	190	0	0	32	158	3
Precinct 9001 MB - None	28	58	257	101	2	0	11	88	2
Precinct 9101 - None	66	75	833	190	0	0	48	142	1
Precinct 9101 - None	84	174	833	323	0	0	65	258	0
Precinct 9102 - None	66	72	950	182	-1	0	45	138	0
Precinct 9102 - None	94	179	950	335	4	0	58	273	0
Precinct 9103 - None	53	84	924	174	0	0	36	138	1
Precinct 9103 - None	77	153	924	302	0	0	68	234	4
Precinct 9104 - None	80	47	937	176	0	0	46	130	3
Precinct 9104 - None	107	161	937	332	0	0	64	268	0
Precinct 9105 - None	44	96	888	191	1	0	49	141	1
Precinct 9105 - None	97	187	888	339	-1	0	53	287	3
Precinct 9106 - None	57	107	907	213	1	0	48	164	0
Precinct 9106 - None	99	167	907	334	4	0	64	266	0
Precinct 9107 - None	54	70	806	164	0	0	40	124	0
Precinct 9107 - None	95	99	806	246	1	0	50	195	1
Precinct 9108 - None	78	70	761	185	-1	0	37	149	1
Precinct 9108 - None	69	113	761	220	-1	0	39	182	0
Precinct 9109 - None	67	80	848	205	-1	0	57	149	2
Precinct 9109 - None	78	154	848	285	4	0	49	232	0
Precinct 9111 - None	57	56	756	150	0	0	37	113	0
Precinct 9111 - None	83	106	756	226	-1	0	37	190	1
Precinct 9112 - None	75	93	918	211	0	0	42	169	1
Precinct 9112 - None	100	136	918	295	0	1	57	237	1
Precinct 9113 - None	78	99	959	231	0	0	53	178	1
Precinct 9113 - None	94	180	959	351	1	0	76	274	0
Precinct 9114 - None	58	60	820	170	0	0	51	119	1
Precinct 9114 - None	89	128	820	273	1	0	55	217	0
Precinct 9115 - None	71	66	873	172	0	0	35	137	0
Precinct 9115 - None	116	119	873	287	2	0	48	237	2
Precinct 9116 - None	87	64	903	193	2	0	36	155	4
Precinct 9116 - None	108	141	903	314	4	1	58	251	2
Precinct 9117 - None	61	85	756	180	2	0	32	146	0
Precinct 9117 - None	64	159	756	285	1	1	60	223	0
Precinct 9118 - None	54	80	923	184	0	0	49	135	1
Precinct 9118 - None	70	136	923	268	0	0	62	206	0
Precinct 9119 - None	52	61	856	152	-2	0	41	113	0
Precinct 9119 - None	102	172	856	323	0	0	49	274	0
Precinct 9121 - None	62	82	890	188	0	0	43	145	1
Precinct 9121 - None	81	138	890	274	0	0	52	222	3
Precinct 9122 - None	43	59	913	131	0	0	29	102	0
Precinct 9122 - None	78	148	913	292	1	0	65	226	0
Precinct 9123 - None	63	76	829	175	0	0	36	139	0
Precinct 9123 - None	85	136	829	270	1	0	46	223	2
Precinct 9124 - None	47	64	832	150	0	0	39	111	0
Precinct 9124 - None	78	147	832	290	1	0	62	227	2
Precinct 9125 - None	56	61	822	159	1	0	39	119	2
Precinct 9125 - None	93	149	822	299	-3	0	60	242	0
Precinct 9126 - None	65	75	945	186	0	0	46	140	0
Precinct 9126 - None	104	161	945	350	0	0	84	266	1
Precinct 9127 - None	61	96	908	209	0	0	52	157	0
Precinct 9127 - None	91	163	908	315	-1	0	62	254	0
Precinct 9128 - None	68	80	805	188	0	0	40	148	0
Precinct 9128 - None	79	153	805	296	0	0	64	232	0
Precinct 9129 - None	56	79	713	173	0	0	36	137	2
Precinct 9129 - None	65	108	713	225	3	0	49	173	0
Precinct 9131 - None	67	51	740	151	0	0	32	119	1
Precinct 9131 - None	88	137	740	274	2	1	46	225	0
Precinct 9132 - None	73	50	827	167	0	0	43	124	1
Precinct 9132 - None	78	120	827	251	0	0	51	200	2
Precinct 9133 - None	68	84	1,007	188	0	0	36	152	0
Precinct 9133 - None	139	174	1,007	388	1	1	72	314	1
Precinct 9134 - None	57	38	893	132	0	0	36	96	1
Precinct 9134 - None	101	138	893	297	3	1	52	241	2
Precinct 9135 - None	51	62	778	149	0	0	35	114	1
Precinct 9135 - None	88	131	778	269	1	0	47	221	2
Precinct 9136 - None	74	78	894	191	0	0	38	153	1
Precinct 9136 - None	94	123	894	289	4	0	67	218	1
Precinct 9137 - None	69	77	946	201	0	0	55	146	0
Precinct 9137 - None	90	152	946	323	3	0	77	243	1
Precinct 9138 - None	45	69	892	155	-1	0	42	114	0
Precinct 9138 - None	84	175	892	323	-2	0	61	264	5
Precinct 9139 - None	48	70	912	163	-1	0	45	119	1
Precinct 9139 - None	93	199	912	356	1	0	62	293	1
Precinct 9141 - None	64	65	904	168	2	0	37	129	0
Precinct 9141 - None	99	178	904	328	-1	0	52	277	0
Precinct 9142 - None	98	81	921	219	1	0	37	181	2
Precinct 9142 - None	97	139	921	288	-1	0	52	237	1
Precinct 9143 - None	69	80	887	196	0	0	46	150	1
Precinct 9143 - None	83	165	887	315	3	0	64	248	0
Precinct 9144 - None	79	82	931	221	1	0	58	162	1
Precinct 9144 - None	74	180	931	322	-2	0	69	255	1
Precinct 9145 - None	66	85	837	197	0	0	46	151	0
Precinct 9145 - None	82	145	837	282	0	0	55	227	0
Precinct 9146 - None	81	76	866	206	0	0	48	158	1
Precinct 9146 - None	115	121	866	297	-1	0	61	237	1
Precinct 9147 - None	95	92	920	227	1	0	38	188	1
Precinct 9147 - None	106	138	920	318	-2	0	75	245	1
Precinct 9148 - None	87	92	946	226	0	0	46	180	1
Precinct 9148 - None	100	167	946	322	3	0	51	268	1
Precinct 9149 - None	78	78	884	196	0	0	39	157	1
Precinct 9149 - None	103	140	884	296	-1	0	52	245	2
Precinct 9151 - None	50	68	806	152	-1	0	35	118	0
Precinct 9151 - None	64	141	806	267	-1	0	62	206	1
Precinct 9152 - None	30	22	712	67	1	0	14	52	0
Precinct 9152 - None	56	60	712	138	1	0	20	117	1
Precinct 9201 - None	97	67	953	201	0	0	36	165	1
Precinct 9201 - None	79	96	953	229	2	0	50	177	2
Precinct 9202 - None	56	87	908	184	-1	0	42	143	0
Precinct 9202 - None	84	88	908	218	0	0	46	172	0
Precinct 9203 - None	34	68	968	145	0	0	42	103	1
Precinct 9203 - None	58	177	968	300	4	0	61	235	0
Precinct 9204 - None	36	64	809	147	0	0	46	101	1
Precinct 9204 - None	41	135	809	223	-3	0	50	176	0
Precinct 9205 - None	31	45	694	113	0	0	37	76	0
Precinct 9205 - None	38	104	694	201	2	0	57	142	0
Precinct 9206 - None	32	76	887	135	-1	0	28	108	0
Precinct 9206 - None	62	175	887	294	0	0	56	238	1
Precinct 9207 - None	27	81	913	148	0	0	39	109	1
Precinct 9207 - None	40	156	913	249	1	0	52	196	0
Precinct 9208 - None	28	74	936	147	0	0	43	104	2
Precinct 9208 - None	57	122	936	240	-1	0	62	179	0
Precinct 9209 - None	27	52	675	121	-1	0	43	79	0
Precinct 9209 - None	22	118	675	188	0	0	46	142	2
Precinct 9211 - None	30	69	834	130	0	0	31	99	0
Precinct 9211 - None	45	115	834	212	1	0	49	162	2
Precinct 9212 - None	30	59	764	121	0	0	32	89	0
Precinct 9212 - None	46	103	764	205	3	0	52	150	1
Precinct 9213 - None	39	66	890	140	0	0	35	105	0
Precinct 9213 - None	62	125	890	260	2	0	70	188	1
Precinct 9214 - None	18	39	581	92	0	0	35	57	0
Precinct 9214 - None	36	114	581	203	2	0	50	151	1
Precinct 9215 - None	21	65	626	130	0	0	44	86	0
Precinct 9215 - None	23	117	626	170	-1	0	31	140	0
Precinct 9216 - None	25	73	798	134	-1	0	37	98	0
Precinct 9216 - None	36	115	798	206	0	0	55	151	0
Precinct 9217 - None	33	58	684	123	0	0	32	91	0
Precinct 9217 - None	46	94	684	187	3	0	44	140	0
Precinct 9218 - None	29	59	797	119	0	0	30	89	1
Precinct 9218 - None	42	120	797	225	2	1	60	162	0
Precinct 9219 - None	41	67	733	146	0	0	37	109	1
Precinct 9219 - None	46	101	733	187	0	1	39	147	0
Precinct 9221 - None	17	69	641	121	0	0	34	87	1
Precinct 9221 - None	37	189	641	278	1	1	50	226	0
Precinct 9222 - None	19	84	842	139	-1	0	36	104	1
Precinct 9222 - None	41	167	842	268	3	0	57	208	0
Precinct 9223 - None	20	48	606	88	1	0	19	68	0
Precinct 9223 - None	28	130	606	202	1	0	43	158	0
Precinct 9224 - None	45	74	912	171	6	0	45	120	1
Precinct 9224 - None	68	165	912	308	7	0	67	234	1
Precinct 9225 - None	40	86	898	161	0	0	34	127	1
Precinct 9225 - None	54	133	898	243	0	0	56	187	0
Precinct 9226 - None	29	77	905	143	-1	0	37	107	1
Precinct 9226 - None	62	166	905	312	0	0	82	230	2
Precinct 9227 - None	35	74	729	140	0	0	30	110	1
Precinct 9227 - None	50	195	729	304	-1	0	60	245	0
Precinct 9228 - None	34	94	726	175	3	0	44	128	0
Precinct 9228 - None	45	172	726	277	4	0	56	217	0
Precinct 9229 - None	29	71	596	130	-1	0	31	100	0
Precinct 9229 - None	32	152	596	219	-1	0	36	184	0
Precinct 9231 - None	52	126	919	221	-2	0	45	178	0
Precinct 9231 - None	77	165	919	294	-2	0	54	242	0
Precinct 9232 - None	39	73	701	151	0	0	37	114	2
Precinct 9232 - None	46	174	701	274	1	0	52	221	1
Precinct 9233 - None	17	75	774	139	0	0	47	92	0
Precinct 9233 - None	52	182	774	308	2	0	72	234	0
Precinct 9234 - None	25	74	731	131	-1	0	33	99	0
Precinct 9234 - None	46	183	731	281	3	0	49	229	0
Precinct 9235 - None	40	91	842	174	1	0	42	131	0
Precinct 9235 - None	54	181	842	298	-1	1	62	236	1
Precinct 9236 - None	19	72	658	130	0	0	39	91	0
Precinct 9236 - None	38	122	658	207	3	0	44	160	0
Precinct 9237 - None	36	72	880	145	0	0	36	109	1
Precinct 9237 - None	55	189	880	331	-1	0	86	246	2
Precinct 9238 - None	25	68	792	130	0	0	37	93	0
Precinct 9238 - None	45	169	792	271	-1	0	57	215	1
Precinct 9239 - None	20	64	835	117	0	0	31	86	2
Precinct 9239 - None	56	199	835	318	0	0	63	255	0
Precinct 9241 - None	39	86	961	158	1	0	31	126	1
Precinct 9241 - None	65	203	961	322	2	0	51	269	1
Precinct 9242 - None	31	70	940	154	0	0	53	101	0
Precinct 9242 - None	74	168	940	300	3	0	54	243	1
Precinct 9243 - None	31	67	572	135	0	0	36	99	1
Precinct 9243 - None	48	96	572	188	1	0	43	144	0
Precinct 9244 - None	35	76	880	149	1	0	35	113	2
Precinct 9244 - None	66	134	880	269	-1	0	70	200	0
Precinct 9245 - None	25	67	706	128	0	0	34	94	2
Precinct 9245 - None	53	117	706	226	2	1	52	171	1
Precinct 9246 - None	29	66	910	139	0	0	44	95	0
