Subtotal Area	CHRISTINE JOHNSON	MATT HANEY	SONJA TRAUSS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Ballots Counted	Writein Votes
Precinct 7643 - Vote By Mail	110	279	62	920	507	3	0	53	0	451	0
Precinct 7644 - Election Day	64	146	68	1,175	330	0	0	52	0	278	0
Precinct 7644 - Vote By Mail	136	248	98	1,175	554	7	1	64	0	482	0
Precinct 7645 - Election Day	27	51	16	640	120	1	0	23	0	96	2
Precinct 7645 - Vote By Mail	101	177	42	640	377	8	1	47	0	321	1
Precinct 7646 - Election Day	62	96	59	1,100	267	0	0	49	0	218	1
Precinct 7646 - Vote By Mail	141	292	90	1,100	592	9	1	58	0	524	1
Precinct 7647 - Election Day	37	88	54	1,075	205	-2	0	27	0	180	1
Precinct 7647 - Vote By Mail	70	144	46	1,075	283	1	2	20	0	260	0
Precinct 7648 MB - Vote By Mail	0	0	0	1	0	0	0	0	0	0	0
Precinct 7649 - Election Day	37	74	41	891	178	2	0	24	0	152	0
Precinct 7649 - Vote By Mail	88	198	61	891	395	4	1	43	0	347	0
Precinct 7651 - Election Day	34	59	32	677	166	1	0	39	0	126	1
Precinct 7651 - Vote By Mail	87	141	64	677	351	13	1	44	0	293	1
Precinct 7652 - Election Day	26	66	22	628	135	0	0	20	0	115	1
Precinct 7652 - Vote By Mail	79	135	44	628	301	9	3	31	0	258	0
Precinct 7653 - Election Day	66	121	58	1,280	300	5	0	49	0	246	1
Precinct 7653 - Vote By Mail	152	321	101	1,280	673	7	0	90	0	576	2
Congressional District 12	6,237	14,249	4,759	43,321	29,158	286	74	3,460	0	25,338	93
Assembly District 17	6,237	14,249	4,759	43,321	29,158	286	74	3,460	0	25,338	93
BART District 7	2,648	5,147	1,771	15,657	11,301	156	15	1,538	0	9,592	26
BART District 9	3,589	9,102	2,988	27,664	17,857	130	59	1,922	0	15,746	67
Supervisorial District 6	6,237	14,249	4,759	43,321	29,158	286	74	3,460	0	25,338	93
Civic Center/Downtown	1,612	4,255	1,258	13,310	8,146	63	29	889	0	7,165	40
Mission	120	312	88	862	575	6	3	45	0	521	1
Potrero Hill	766	1,590	561	4,475	3,392	33	2	435	0	2,922	5
South of Market	3,739	8,092	2,852	24,674	17,045	184	40	2,091	0	14,730	47
