Subtotal Area	LISA REMMER	NANCY PELOSI	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7039 - Vote By Mail	76	214	784	306	0	0	16	290
Precinct 7041 MB - Vote By Mail	9	24	61	33	0	0	0	33
Precinct 7042 - Election Day	18	96	639	118	0	0	4	114
Precinct 7042 - Vote By Mail	34	213	639	258	0	1	10	247
Precinct 7043 - Election Day	16	149	957	176	0	0	11	165
Precinct 7043 - Vote By Mail	44	339	957	404	0	0	21	383
Precinct 7044 - Election Day	12	142	827	167	0	0	13	154
Precinct 7044 - Vote By Mail	28	156	827	193	0	0	9	184
Precinct 7045 - Election Day	24	84	779	120	0	0	12	108
Precinct 7045 - Vote By Mail	77	245	779	344	0	0	22	322
Precinct 7046 - Election Day	7	78	402	94	0	0	9	85
Precinct 7046 - Vote By Mail	39	128	402	175	0	0	8	167
Precinct 7047 - Election Day	13	100	823	119	0	0	6	113
Precinct 7047 - Vote By Mail	59	306	823	388	0	0	23	365
Precinct 7048 - Election Day	18	117	858	150	3	0	12	135
Precinct 7048 - Vote By Mail	58	250	858	318	0	0	10	308
Precinct 7049 - Election Day	37	120	792	173	0	0	16	157
Precinct 7049 - Vote By Mail	75	203	792	305	0	0	27	278
Precinct 7051 - Election Day	10	93	861	114	0	0	11	103
Precinct 7051 - Vote By Mail	82	265	861	380	0	0	33	347
Precinct 7052 - Election Day	26	124	852	161	0	0	11	150
Precinct 7052 - Vote By Mail	82	289	852	402	0	0	31	371
Precinct 7053 - Election Day	12	84	548	102	0	0	6	96
Precinct 7053 - Vote By Mail	54	216	548	278	0	0	8	270
Precinct 7054 - Election Day	19	188	1,073	215	0	0	8	207
Precinct 7054 - Vote By Mail	53	335	1,073	410	0	0	22	388
Precinct 7055 - Election Day	16	164	808	190	0	0	10	180
Precinct 7055 - Vote By Mail	58	360	808	440	0	0	22	418
Precinct 7101 MB - Vote By Mail	7	109	155	120	1	0	3	116
Precinct 7201 - Election Day	34	203	936	245	0	0	8	237
Precinct 7201 - Vote By Mail	90	416	936	518	0	0	12	506
Precinct 7202 - Election Day	36	187	850	227	0	0	4	223
Precinct 7202 - Vote By Mail	103	318	850	431	0	0	10	421
Precinct 7203 - Election Day	46	236	921	291	1	1	7	282
Precinct 7203 - Vote By Mail	58	351	921	423	0	0	14	409
Precinct 7204 - Election Day	43	186	918	233	0	0	4	229
Precinct 7204 - Vote By Mail	82	441	918	531	0	0	8	523
Precinct 7205 - Election Day	35	201	875	251	0	0	15	236
Precinct 7205 - Vote By Mail	102	370	875	485	0	0	13	472
