Subtotal Area	LISA REMMER	NANCY PELOSI	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7653 - Vote By Mail	75	574	1,280	673	0	0	24	649
Precinct 7701 - Election Day	35	248	1,064	296	0	0	13	283
Precinct 7701 - Vote By Mail	68	505	1,064	597	0	0	24	573
Precinct 7702 - Election Day	24	145	748	180	0	0	11	169
Precinct 7702 - Vote By Mail	68	336	748	415	0	0	11	404
Precinct 7703 MB - Vote By Mail	7	67	171	79	0	1	4	74
Precinct 7704 - Election Day	41	201	1,008	257	0	0	15	242
Precinct 7704 - Vote By Mail	97	445	1,008	557	0	0	15	542
Precinct 7705 - Election Day	18	125	568	149	0	0	6	143
Precinct 7705 - Vote By Mail	63	265	568	335	0	0	7	328
Precinct 7706 - Election Day	39	208	840	252	0	0	5	247
Precinct 7706 - Vote By Mail	83	370	840	467	0	1	13	453
Precinct 7707 - Election Day	34	202	857	241	1	0	4	236
Precinct 7707 - Vote By Mail	57	418	857	495	0	0	20	475
Precinct 7708 - Election Day	22	177	871	205	0	0	6	199
Precinct 7708 - Vote By Mail	69	453	871	540	0	0	18	522
Precinct 7709 - Election Day	19	77	391	102	0	0	6	96
Precinct 7709 - Vote By Mail	30	183	391	222	0	0	9	213
Precinct 7711 - Election Day	22	167	766	198	0	0	9	189
Precinct 7711 - Vote By Mail	44	361	766	422	0	0	17	405
Precinct 7712 - Election Day	16	132	529	149	0	0	1	148
Precinct 7712 - Vote By Mail	31	258	529	296	0	0	7	289
Precinct 7801 - Election Day	23	234	1,001	264	1	0	6	257
Precinct 7801 - Vote By Mail	59	522	1,001	596	0	2	13	581
Precinct 7802 - Election Day	12	205	788	230	0	0	13	217
Precinct 7802 - Vote By Mail	39	403	788	458	0	0	16	442
Precinct 7803 - Election Day	13	157	828	174	0	0	4	170
Precinct 7803 - Vote By Mail	44	492	828	552	0	0	16	536
Precinct 7804 - Election Day	10	235	893	257	0	0	12	245
Precinct 7804 - Vote By Mail	35	488	893	533	0	0	10	523
Precinct 7805 - Election Day	3	215	825	228	0	0	10	218
Precinct 7805 - Vote By Mail	28	447	825	484	0	0	9	475
Precinct 7806 - Election Day	12	188	716	208	2	0	6	200
Precinct 7806 - Vote By Mail	27	361	716	407	0	0	19	388
Precinct 7807 - Election Day	11	257	844	276	0	0	8	268
Precinct 7807 - Vote By Mail	19	384	844	417	0	0	14	403
Precinct 7808 - Election Day	9	193	655	211	0	0	9	202
Precinct 7808 - Vote By Mail	12	304	655	333	0	0	17	316
Precinct 7809 - Election Day	9	220	781	238	0	0	9	229
Precinct 7809 - Vote By Mail	18	373	781	405	0	0	14	391
Precinct 7811 - Election Day	20	220	783	249	0	0	9	240
Precinct 7811 - Vote By Mail	26	367	783	404	0	0	11	393
Precinct 7812 - Election Day	29	213	877	257	0	0	15	242
Precinct 7812 - Vote By Mail	19	417	877	454	0	0	18	436
Precinct 7813 - Election Day	16	282	1,064	308	1	1	8	298
Precinct 7813 - Vote By Mail	34	534	1,064	585	0	0	17	568
Precinct 7814 - Election Day	21	189	936	228	0	0	18	210
Precinct 7814 - Vote By Mail	23	306	936	341	0	1	11	329
Precinct 7815 - Election Day	19	214	954	238	0	0	5	233
Precinct 7815 - Vote By Mail	30	521	954	573	0	0	22	551
Precinct 7816 - Election Day	12	220	865	236	0	0	4	232
Precinct 7816 - Vote By Mail	20	489	865	531	1	0	21	509
Precinct 7817 - Election Day	19	239	823	277	0	0	19	258
Precinct 7817 - Vote By Mail	17	409	823	439	0	0	13	426
Precinct 7818 - Election Day	13	215	860	234	0	0	6	228
Precinct 7818 - Vote By Mail	19	407	860	452	2	0	24	426
Precinct 7819 - Election Day	23	162	793	191	0	0	6	185
Precinct 7819 - Vote By Mail	28	375	793	420	0	0	17	403
Precinct 7821 - Election Day	16	218	985	248	0	0	14	234
Precinct 7821 - Vote By Mail	45	563	985	630	0	0	22	608
Precinct 7822 - Election Day	21	238	908	275	0	0	16	259
Precinct 7822 - Vote By Mail	32	435	908	480	0	0	13	467
Precinct 7823 - Election Day	8	249	879	270	6	0	7	257
Precinct 7823 - Vote By Mail	32	455	879	501	0	0	14	487
Precinct 7824 - Election Day	8	226	768	247	0	0	13	234
Precinct 7824 - Vote By Mail	27	338	768	383	0	0	18	365
Precinct 7825 - Election Day	13	170	597	191	0	0	8	183
Precinct 7825 - Vote By Mail	16	276	597	302	0	0	10	292
Precinct 7826 - Election Day	16	234	684	258	0	0	8	250
Precinct 7826 - Vote By Mail	18	287	684	319	0	0	14	305
Precinct 7827 - Election Day	11	233	831	261	0	0	17	244
Precinct 7827 - Vote By Mail	25	320	831	361	0	0	16	345
Precinct 7828 - Election Day	21	228	1,018	261	0	0	12	249
Precinct 7828 - Vote By Mail	40	496	1,018	549	0	0	13	536
Precinct 7829 - Election Day	19	209	907	237	1	0	8	228
Precinct 7829 - Vote By Mail	47	497	907	557	0	0	13	544
Precinct 7831 - Election Day	12	217	882	233	0	0	4	229
Precinct 7831 - Vote By Mail	29	496	882	544	0	0	19	525
Precinct 7832 - Election Day	14	165	780	188	0	0	9	179
Precinct 7832 - Vote By Mail	27	444	780	488	0	0	17	471
Precinct 7833 - Election Day	12	208	747	230	0	0	10	220
Precinct 7833 - Vote By Mail	22	376	747	412	0	0	14	398
Precinct 7834 - Election Day	21	241	867	277	0	0	15	262
Precinct 7834 - Vote By Mail	12	405	867	439	0	0	22	417
Precinct 7835 - Election Day	23	180	847	211	0	0	8	203
Precinct 7835 - Vote By Mail	45	444	847	505	1	1	14	489
Precinct 7836 - Election Day	29	222	1,023	260	0	0	9	251
Precinct 7836 - Vote By Mail	65	538	1,023	623	0	0	20	603
Precinct 7837 - Election Day	19	235	911	260	0	1	5	254
Precinct 7837 - Vote By Mail	40	454	911	509	2	0	13	494
Precinct 7838 - Election Day	15	213	926	239	0	0	11	228
Precinct 7838 - Vote By Mail	39	482	926	546	0	0	25	521
Precinct 7839 - Election Day	12	178	842	205	0	0	15	190
Precinct 7839 - Vote By Mail	42	463	842	515	0	0	10	505
Precinct 7841 - Election Day	10	264	937	291	0	1	16	274
Precinct 7841 - Vote By Mail	34	478	937	526	0	0	14	512
Precinct 7842 - Election Day	12	254	903	283	0	0	17	266
Precinct 7842 - Vote By Mail	35	382	903	434	0	0	17	417
Precinct 7843 - Election Day	13	207	767	232	0	0	12	220
Precinct 7843 - Vote By Mail	23	344	767	380	0	0	13	367
Precinct 7844 - Election Day	13	171	663	196	0	0	12	184
Precinct 7844 - Vote By Mail	27	283	663	329	0	0	19	310
Precinct 7845 - Election Day	27	207	849	241	0	0	7	234
Precinct 7845 - Vote By Mail	27	437	849	469	0	0	5	464
Precinct 7846 - Election Day	28	225	904	262	0	0	9	253
Precinct 7846 - Vote By Mail	48	442	904	509	0	0	19	490
Precinct 7847 - Election Day	29	218	929	261	0	0	14	247
Precinct 7847 - Vote By Mail	31	482	929	529	0	0	16	513
Precinct 7848 - Election Day	23	198	834	233	0	0	12	221
Precinct 7848 - Vote By Mail	35	446	834	491	0	0	10	481
Precinct 7849 - Election Day	10	243	929	264	0	0	11	253
Precinct 7849 - Vote By Mail	34	474	929	522	0	1	13	508
Precinct 7851 - Election Day	16	111	513	136	0	0	9	127
Precinct 7851 - Vote By Mail	34	247	513	298	0	0	17	281
Precinct 7852 - Election Day	22	118	647	143	0	0	3	140
Precinct 7852 - Vote By Mail	48	326	647	394	0	0	20	374
Precinct 7853 - Election Day	20	185	850	214	0	0	9	205
Precinct 7853 - Vote By Mail	35	429	850	479	0	0	15	464
Precinct 7854 - Election Day	24	217	894	248	0	0	7	241
Precinct 7854 - Vote By Mail	42	444	894	500	0	0	14	486
Precinct 7855 - Election Day	19	274	986	301	0	0	8	293
Precinct 7855 - Vote By Mail	48	452	986	522	0	0	22	500
Precinct 7856 - Election Day	13	247	800	265	0	0	5	260
Precinct 7856 - Vote By Mail	31	377	800	425	0	0	17	408
Precinct 7857 - Election Day	16	245	933	276	0	0	15	261
Precinct 7857 - Vote By Mail	44	451	933	517	0	0	22	495
Precinct 7858 - Election Day	21	208	775	245	0	0	16	229
Precinct 7858 - Vote By Mail	18	350	775	394	0	0	26	368
Precinct 7859 - Election Day	20	221	891	250	0	0	9	241
Precinct 7859 - Vote By Mail	42	459	891	513	0	0	12	501
Precinct 7861 - Election Day	19	190	859	217	0	0	8	209
Precinct 7861 - Vote By Mail	49	435	859	510	0	0	26	484
Precinct 7862 - Election Day	24	268	866	302	0	0	10	292
Precinct 7862 - Vote By Mail	40	418	866	472	0	1	13	458
Precinct 7863 - Election Day	27	264	907	311	0	0	20	291
Precinct 7863 - Vote By Mail	28	396	907	440	0	0	16	424
Precinct 7864 - Election Day	13	211	807	232	0	0	8	224
Precinct 7864 - Vote By Mail	38	376	807	427	0	0	13	414
Precinct 7865 - Election Day	16	212	823	241	0	0	13	228
Precinct 7865 - Vote By Mail	39	403	823	463	0	0	21	442
Precinct 7866 - Election Day	29	175	836	209	0	0	5	204
Precinct 7866 - Vote By Mail	80	393	836	491	0	0	18	473
Precinct 7867 - Election Day	23	234	955	266	0	1	8	257
Precinct 7867 - Vote By Mail	53	444	955	512	0	0	15	497
Precinct 7868 - Election Day	12	218	881	242	0	1	11	230
Precinct 7868 - Vote By Mail	51	383	881	449	1	1	13	434
Precinct 7869 - Election Day	18	214	867	239	0	0	7	232
Precinct 7869 - Vote By Mail	40	433	867	489	0	0	16	473
Precinct 7871 - Election Day	22	223	900	259	0	0	14	245
Precinct 7871 - Vote By Mail	39	443	900	502	2	0	18	482
Precinct 7872 - Election Day	15	266	862	288	0	0	7	281
Precinct 7872 - Vote By Mail	34	420	862	472	0	0	18	454
Precinct 7873 - Election Day	18	230	861	257	0	0	9	248
Precinct 7873 - Vote By Mail	25	465	861	502	0	0	12	490
Precinct 7874 - Election Day	14	119	477	137	0	0	4	133
Precinct 7874 - Vote By Mail	19	225	477	256	1	1	10	244
Precinct 7875 - Election Day	13	156	623	180	0	0	11	169
Precinct 7875 - Vote By Mail	31	242	623	285	0	1	11	273
Precinct 7876 - Election Day	12	123	498	154	10	0	9	135
Precinct 7876 - Vote By Mail	11	243	498	269	0	0	15	254
Precinct 7901 - Election Day	7	117	522	136	0	1	11	124
Precinct 7901 - Vote By Mail	16	171	522	198	0	0	11	187
Precinct 7902 - Election Day	28	211	968	258	0	0	19	239
Precinct 7902 - Vote By Mail	27	357	968	401	0	0	17	384
Precinct 7903 - Election Day	15	172	840	201	0	0	14	187
Precinct 7903 - Vote By Mail	29	299	840	350	0	0	22	328
Precinct 7904 - Election Day	16	178	877	212	0	0	18	194
Precinct 7904 - Vote By Mail	35	346	877	403	0	0	22	381
Precinct 7905 - Election Day	22	221	851	254	0	0	11	243
Precinct 7905 - Vote By Mail	35	363	851	409	1	0	10	398
Precinct 7906 - Election Day	12	219	787	245	0	0	14	231
Precinct 7906 - Vote By Mail	13	311	787	335	0	0	11	324
Precinct 7907 - Election Day	14	247	950	278	0	0	17	261
Precinct 7907 - Vote By Mail	19	379	950	425	0	0	27	398
Precinct 7908 - Election Day	24	233	949	284	0	0	27	257
Precinct 7908 - Vote By Mail	39	339	949	408	0	1	29	378
Precinct 7909 - Election Day	18	219	733	251	0	0	14	237
Precinct 7909 - Vote By Mail	17	272	733	303	0	0	14	289
Precinct 7911 - Election Day	15	215	860	244	0	0	14	230
Precinct 7911 - Vote By Mail	23	357	860	395	0	1	14	380
Precinct 7912 - Election Day	17	248	1,065	291	0	0	26	265
Precinct 7912 - Vote By Mail	25	413	1,065	463	0	0	25	438
Precinct 7913 - Election Day	19	274	913	312	0	0	19	293
Precinct 7913 - Vote By Mail	25	332	913	378	0	1	20	357
Precinct 7914 - Election Day	15	240	883	278	0	0	23	255
Precinct 7914 - Vote By Mail	24	375	883	425	0	0	26	399
Precinct 7915 - Election Day	14	239	831	266	0	0	13	253
Precinct 7915 - Vote By Mail	23	308	831	351	0	0	20	331
Precinct 7916 - Election Day	23	235	888	284	0	0	26	258
Precinct 7916 - Vote By Mail	25	380	888	421	0	0	16	405
Precinct 7917 - Election Day	23	270	1,015	315	0	0	22	293
Precinct 7917 - Vote By Mail	28	380	1,015	428	0	0	20	408
Precinct 7918 - Election Day	10	215	836	253	0	0	28	225
Precinct 7918 - Vote By Mail	17	334	836	379	0	0	28	351
Precinct 7919 - Election Day	16	277	895	309	0	0	16	293
Precinct 7919 - Vote By Mail	30	327	895	376	0	0	19	357
Precinct 7921 - Election Day	17	189	917	232	0	0	26	206
Precinct 7921 - Vote By Mail	41	304	917	366	0	0	21	345
Precinct 7922 - Election Day	13	211	831	250	0	0	26	224
Precinct 7922 - Vote By Mail	20	342	831	383	0	0	21	362
Precinct 7923 - Election Day	24	221	885	262	0	0	17	245
Precinct 7923 - Vote By Mail	31	353	885	403	0	0	19	384
Precinct 7924 - Election Day	11	204	842	238	0	1	22	215
Precinct 7924 - Vote By Mail	36	329	842	382	0	0	17	365
Precinct 7925 - Election Day	11	136	567	156	0	0	9	147
Precinct 7925 - Vote By Mail	19	258	567	293	0	0	16	277
Precinct 7926 - Election Day	19	201	795	229	0	0	9	220
Precinct 7926 - Vote By Mail	18	352	795	390	0	0	20	370
Precinct 7927 - Election Day	15	213	747	241	0	0	13	228
Precinct 7927 - Vote By Mail	21	358	747	392	0	0	13	379
Precinct 7928 - Election Day	13	260	931	284	0	0	11	273
Precinct 7928 - Vote By Mail	31	436	931	489	0	0	22	467
Precinct 7929 - Election Day	16	218	864	248	0	0	14	234
Precinct 7929 - Vote By Mail	24	469	864	509	1	0	15	493
Precinct 7931 - Election Day	17	192	738	219	0	0	10	209
Precinct 7931 - Vote By Mail	27	370	738	408	0	0	11	397
Precinct 7932 - Election Day	12	135	551	157	1	0	9	147
Precinct 7932 - Vote By Mail	21	252	551	285	0	0	12	273
Precinct 7933 MB - Vote By Mail	0	4	6	4	0	0	0	4
Precinct 7934 - Election Day	16	215	890	250	0	0	19	231
Precinct 7934 - Vote By Mail	25	427	890	472	0	0	20	452
Precinct 7935 - Election Day	20	268	970	305	0	0	17	288
Precinct 7935 - Vote By Mail	32	463	970	519	0	0	24	495
Precinct 7936 - Election Day	15	252	856	287	0	1	19	267
Precinct 7936 - Vote By Mail	27	382	856	428	0	0	19	409
Precinct 7937 - Election Day	10	238	886	267	0	0	19	248
Precinct 7937 - Vote By Mail	30	391	886	435	0	0	14	421
Precinct 7938 - Election Day	13	183	788	213	0	0	17	196
Precinct 7938 - Vote By Mail	21	295	788	337	0	0	21	316
Precinct 7939 - Election Day	14	232	688	254	0	0	8	246
Precinct 7939 - Vote By Mail	15	297	688	326	0	0	14	312
Precinct 7941 - Election Day	14	197	751	218	0	0	7	211
Precinct 7941 - Vote By Mail	18	318	751	348	0	1	11	336
Precinct 7942 - Election Day	22	225	914	259	1	1	10	247
Precinct 7942 - Vote By Mail	33	347	914	412	0	1	31	380
Precinct 7943 - Election Day	25	215	872	258	4	0	14	240
Precinct 7943 - Vote By Mail	63	350	872	439	0	0	26	413
Precinct 7944 - Election Day	8	214	801	243	0	0	21	222
Precinct 7944 - Vote By Mail	31	344	801	381	0	0	6	375
Precinct 7945 - Election Day	12	164	915	186	0	0	10	176
Precinct 7945 - Vote By Mail	42	353	915	414	0	0	19	395
Precinct 7946 - Election Day	25	148	945	183	0	0	10	173
Precinct 7946 - Vote By Mail	74	352	945	451	0	0	25	426
Precinct 7947 - Election Day	22	145	946	182	0	0	15	167
Precinct 7947 - Vote By Mail	70	326	946	430	0	0	34	396
Precinct 7948 - Election Day	22	175	928	210	0	0	13	197
Precinct 7948 - Vote By Mail	77	323	928	422	0	0	22	400
Precinct 7949 - Election Day	26	68	569	100	0	0	6	94
Precinct 7949 - Vote By Mail	70	202	569	292	0	1	19	272
Precinct 7951 - Election Day	20	131	854	166	0	0	15	151
Precinct 7951 - Vote By Mail	105	298	854	425	0	0	22	403
Precinct 7952 - Election Day	39	114	866	167	0	0	14	153
Precinct 7952 - Vote By Mail	58	277	866	359	0	0	24	335
Precinct 7953 - Election Day	20	151	824	186	2	0	13	171
Precinct 7953 - Vote By Mail	78	311	824	402	0	0	13	389
Precinct 7955 - Election Day	38	151	902	199	0	0	10	189
Precinct 7955 - Vote By Mail	97	315	902	435	0	0	23	412
Precinct 7956 - Election Day	24	100	823	136	0	0	12	124
Precinct 7956 - Vote By Mail	70	258	823	353	0	1	24	328
Precinct 7957 - Election Day	16	124	646	147	0	0	7	140
Precinct 7957 - Vote By Mail	37	245	646	298	0	0	16	282
Precinct 7958 MB - Vote By Mail	26	106	290	141	0	0	9	132
Precinct 7959 - Election Day	9	138	727	160	0	0	13	147
Precinct 7959 - Vote By Mail	23	279	727	326	0	0	24	302
Precinct 9101 - Election Day	42	211	888	260	0	0	7	253
Precinct 9101 - Vote By Mail	80	335	888	438	0	0	23	415
Precinct 9102 - Election Day	50	196	985	257	0	0	11	246
Precinct 9102 - Vote By Mail	81	370	985	471	0	0	20	451
Precinct 9103 - Election Day	48	215	954	273	0	0	10	263
Precinct 9103 - Vote By Mail	75	339	954	431	0	0	17	414
Precinct 9104 - Election Day	32	189	988	239	0	0	18	221
Precinct 9104 - Vote By Mail	87	363	988	465	0	0	15	450
Precinct 9105 - Election Day	37	196	919	247	0	0	14	233
Precinct 9105 - Vote By Mail	71	394	919	488	0	0	23	465
Precinct 9106 - Election Day	40	217	937	268	1	1	9	257
Precinct 9106 - Vote By Mail	69	397	937	497	0	0	31	466
Precinct 9107 - Election Day	33	178	849	219	0	0	8	211
Precinct 9107 - Vote By Mail	60	295	849	372	0	0	17	355
Precinct 9108 - Election Day	24	210	790	247	0	0	13	234
Precinct 9108 - Vote By Mail	54	307	790	373	1	0	11	361
Precinct 9109 - Election Day	43	204	884	263	0	0	16	247
Precinct 9109 - Vote By Mail	48	359	884	428	0	1	20	407
Precinct 9111 - Election Day	30	190	779	229	0	0	9	220
Precinct 9111 - Vote By Mail	51	273	779	346	0	0	22	324
Precinct 9112 - Election Day	39	234	976	284	0	0	11	273
Precinct 9112 - Vote By Mail	51	396	976	467	0	0	20	447
Precinct 9113 - Election Day	44	253	999	311	0	0	14	297
Precinct 9113 - Vote By Mail	68	422	999	505	0	0	15	490
Precinct 9114 - Election Day	30	219	877	263	0	0	14	249
Precinct 9114 - Vote By Mail	55	334	877	405	0	0	16	389
Precinct 9115 - Election Day	30	215	911	258	0	0	13	245
Precinct 9115 - Vote By Mail	45	358	911	429	0	0	26	403
Precinct 9116 - Election Day	39	234	944	281	1	0	7	273
Precinct 9116 - Vote By Mail	57	397	944	473	0	0	19	454
Precinct 9117 - Election Day	36	183	783	222	0	0	3	219
Precinct 9117 - Vote By Mail	68	317	783	398	0	0	13	385
Precinct 9118 - Election Day	43	232	974	286	0	0	11	275
Precinct 9118 - Vote By Mail	67	335	974	426	0	0	24	402
Precinct 9119 - Election Day	31	191	891	237	0	0	15	222
Precinct 9119 - Vote By Mail	91	336	891	447	0	0	20	427
Precinct 9121 - Election Day	44	197	930	256	0	0	15	241
Precinct 9121 - Vote By Mail	70	344	930	434	0	0	20	414
Precinct 9122 - Election Day	27	171	953	210	0	0	12	198
Precinct 9122 - Vote By Mail	91	345	953	454	0	0	18	436
Precinct 9123 - Election Day	47	178	858	232	0	0	7	225
Precinct 9123 - Vote By Mail	95	310	858	418	0	0	13	405
Precinct 9124 - Election Day	30	164	874	202	0	0	8	194
Precinct 9124 - Vote By Mail	90	319	874	438	0	0	29	409
Precinct 9125 - Election Day	19	179	861	210	0	0	12	198
Precinct 9125 - Vote By Mail	64	360	861	437	0	0	13	424
Precinct 9126 - Election Day	39	191	1,015	245	0	0	15	230
Precinct 9126 - Vote By Mail	109	396	1,015	533	0	0	28	505
Precinct 9127 - Election Day	40	213	960	269	0	0	16	253
Precinct 9127 - Vote By Mail	78	406	960	498	0	0	14	484
Precinct 9128 - Election Day	27	211	828	248	0	0	10	238
Precinct 9128 - Vote By Mail	69	329	828	412	0	0	14	398
Precinct 9129 - Election Day	34	192	741	243	0	0	17	226
Precinct 9129 - Vote By Mail	41	296	741	348	0	0	11	337
Precinct 9131 - Election Day	22	158	759	193	0	0	13	180
Precinct 9131 - Vote By Mail	69	314	759	403	0	0	20	383
Precinct 9132 - Election Day	28	210	837	248	0	0	10	238
Precinct 9132 - Vote By Mail	43	311	837	371	0	0	17	354
Precinct 9133 - Election Day	26	226	1,021	271	0	1	18	252
Precinct 9133 - Vote By Mail	68	417	1,021	503	0	0	18	485
Precinct 9134 - Election Day	21	177	893	210	0	1	11	198
Precinct 9134 - Vote By Mail	66	376	893	469	0	1	26	442
Precinct 9135 - Election Day	45	157	808	215	0	0	13	202
Precinct 9135 - Vote By Mail	89	282	808	389	0	0	18	371
Precinct 9136 - Election Day	28	208	929	253	0	0	17	236
Precinct 9136 - Vote By Mail	67	359	929	439	0	0	13	426
Precinct 9137 - Election Day	53	195	1,006	260	0	0	12	248
Precinct 9137 - Vote By Mail	71	364	1,006	467	0	0	32	435
Precinct 9138 - Election Day	30	182	943	226	1	0	13	212
Precinct 9138 - Vote By Mail	84	370	943	477	1	1	21	454
Precinct 9139 - Election Day	48	188	975	243	0	0	7	236
Precinct 9139 - Vote By Mail	125	360	975	510	0	0	25	485
Precinct 9141 - Election Day	39	199	953	252	0	0	14	238
Precinct 9141 - Vote By Mail	85	369	953	477	0	0	23	454
Precinct 9142 - Election Day	34	231	966	276	0	0	11	265
Precinct 9142 - Vote By Mail	50	390	966	459	0	0	19	440
Precinct 9143 - Election Day	30	210	920	251	0	0	11	240
Precinct 9143 - Vote By Mail	99	344	920	463	0	0	20	443
Precinct 9144 - Election Day	37	246	962	293	0	0	10	283
Precinct 9144 - Vote By Mail	86	375	962	482	0	0	21	461
Precinct 9145 - Election Day	40	197	861	249	1	0	11	237
Precinct 9145 - Vote By Mail	65	340	861	423	0	0	18	405
Precinct 9146 - Election Day	31	198	885	245	0	0	16	229
Precinct 9146 - Vote By Mail	58	384	885	464	0	0	22	442
Precinct 9147 - Election Day	28	230	971	281	0	0	23	258
Precinct 9147 - Vote By Mail	69	404	971	492	0	0	19	473
Precinct 9148 - Election Day	47	268	1,034	325	0	0	10	315
Precinct 9148 - Vote By Mail	57	442	1,034	513	0	0	14	499
Precinct 9149 - Election Day	27	231	948	264	0	0	6	258
Precinct 9149 - Vote By Mail	62	400	948	478	0	0	16	462
Precinct 9151 - Election Day	30	188	872	227	0	0	9	218
Precinct 9151 - Vote By Mail	48	357	872	418	0	0	13	405
Precinct 9152 - Election Day	24	233	721	270	0	0	13	257
Precinct 9152 - Vote By Mail	39	231	721	279	0	0	9	270
Precinct 9201 - Election Day	40	253	1,004	300	0	0	7	293
Precinct 9201 - Vote By Mail	55	402	1,004	475	0	0	18	457
Precinct 9202 - Election Day	40	246	971	294	0	0	8	286
Precinct 9202 - Vote By Mail	55	364	971	426	0	0	7	419
Precinct 9203 - Election Day	70	163	1,002	239	0	0	6	233
Precinct 9203 - Vote By Mail	150	373	1,002	536	0	0	13	523
Precinct 9204 - Election Day	76	186	873	273	0	0	11	262
Precinct 9204 - Vote By Mail	111	270	873	393	0	0	12	381
Precinct 9205 - Election Day	45	155	728	208	0	0	8	200
Precinct 9205 - Vote By Mail	57	311	728	376	0	0	8	368
Precinct 9206 - Election Day	82	163	931	249	0	0	4	245
Precinct 9206 - Vote By Mail	136	328	931	479	0	0	15	464
Precinct 9207 - Election Day	66	188	981	262	0	1	7	254
Precinct 9207 - Vote By Mail	110	371	981	502	0	0	21	481
Precinct 9208 - Election Day	56	220	1,002	287	0	0	11	276
Precinct 9208 - Vote By Mail	104	370	1,002	491	0	1	16	474
Precinct 9209 - Election Day	55	184	711	245	0	0	6	239
Precinct 9209 - Vote By Mail	72	247	711	327	0	0	8	319
Precinct 9211 - Election Day	41	181	889	234	0	0	12	222
Precinct 9211 - Vote By Mail	87	336	889	432	0	0	9	423
Precinct 9212 - Election Day	44	184	803	234	0	0	6	228
Precinct 9212 - Vote By Mail	74	320	803	400	0	0	6	394
Precinct 9213 - Election Day	52	200	951	264	0	0	12	252
Precinct 9213 - Vote By Mail	86	405	951	508	0	0	17	491
Precinct 9214 - Election Day	41	119	640	166	0	0	6	160
Precinct 9214 - Vote By Mail	78	245	640	334	0	0	11	323
Precinct 9215 - Election Day	50	137	652	194	0	0	7	187
Precinct 9215 - Vote By Mail	59	255	652	327	0	0	13	314
Precinct 9216 - Election Day	46	193	845	246	0	0	7	239
Precinct 9216 - Vote By Mail	81	287	845	379	0	0	11	368
Precinct 9217 - Election Day	44	146	698	194	0	0	4	190
Precinct 9217 - Vote By Mail	81	257	698	349	0	0	11	338
Precinct 9218 - Election Day	47	196	841	249	0	0	6	243
Precinct 9218 - Vote By Mail	95	300	841	412	0	0	17	395
Precinct 9219 - Election Day	35	195	802	242	0	0	12	230
Precinct 9219 - Vote By Mail	70	321	802	399	0	0	8	391
Precinct 9221 - Election Day	37	106	651	145	0	0	2	143
Precinct 9221 - Vote By Mail	115	267	651	399	0	0	17	382
Precinct 9222 - Election Day	46	186	883	249	0	0	17	232
Precinct 9222 - Vote By Mail	104	336	883	449	0	1	8	440
Precinct 9223 - Election Day	32	121	638	160	0	0	7	153
Precinct 9223 - Vote By Mail	73	256	638	338	0	0	9	329
Precinct 9224 - Election Day	70	186	960	263	0	0	7	256
Precinct 9224 - Vote By Mail	111	377	960	506	0	0	18	488
Precinct 9225 - Election Day	66	222	958	299	0	0	11	288
Precinct 9225 - Vote By Mail	86	368	958	469	0	0	15	454
Precinct 9226 - Election Day	65	191	926	271	0	0	15	256
Precinct 9226 - Vote By Mail	98	375	926	486	0	0	13	473
Precinct 9227 - Election Day	42	139	738	188	0	0	7	181
Precinct 9227 - Vote By Mail	86	306	738	404	0	0	12	392
Precinct 9228 - Election Day	37	140	747	189	0	0	12	177
Precinct 9228 - Vote By Mail	100	313	747	424	0	0	11	413
Precinct 9229 - Election Day	29	128	598	162	0	0	5	157
Precinct 9229 - Vote By Mail	58	247	598	316	0	0	11	305
Precinct 9231 - Election Day	30	272	953	313	0	0	11	302
Precinct 9231 - Vote By Mail	62	406	953	488	0	0	20	468
Precinct 9232 - Election Day	41	165	735	212	0	0	6	206
Precinct 9232 - Vote By Mail	64	319	735	396	0	0	13	383
Precinct 9233 - Election Day	38	168	793	209	0	0	3	206
Precinct 9233 - Vote By Mail	109	313	793	434	0	0	12	422
Precinct 9234 - Election Day	37	146	746	187	0	0	4	183
Precinct 9234 - Vote By Mail	94	332	746	438	0	0	12	426
Precinct 9235 - Election Day	42	191	884	239	0	0	6	233
Precinct 9235 - Vote By Mail	115	360	884	488	0	0	13	475
Precinct 9236 - Election Day	40	157	683	201	0	0	4	197
Precinct 9236 - Vote By Mail	53	294	683	358	0	0	11	347
Precinct 9237 - Election Day	42	180	936	229	0	0	7	222
Precinct 9237 - Vote By Mail	86	443	936	539	0	0	10	529
Precinct 9238 - Election Day	51	168	842	230	0	0	11	219
Precinct 9238 - Vote By Mail	109	328	842	456	0	0	19	437
Precinct 9239 - Election Day	37	156	881	200	0	0	7	193
Precinct 9239 - Vote By Mail	91	391	881	499	0	0	17	482
Precinct 9241 - Election Day	44	198	1,005	255	0	0	13	242
Precinct 9241 - Vote By Mail	95	470	1,005	578	0	1	12	565
Precinct 9242 - Election Day	59	208	972	277	0	0	10	267
Precinct 9242 - Vote By Mail	93	409	972	513	0	0	11	502
Precinct 9243 - Election Day	28	157	594	193	0	1	7	185
Precinct 9243 - Vote By Mail	35	261	594	307	0	0	11	296
Precinct 9244 - Election Day	37	214	903	255	0	0	4	251
Precinct 9244 - Vote By Mail	50	417	903	485	0	0	18	467
Precinct 9245 - Election Day	28	177	742	209	0	0	4	205
