Subtotal Area	ALEX PADILLA	MARK P. MEUSER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7616 - Election Day	276	33	1,203	324	0	0	15	309
Precinct 7616 - Vote By Mail	614	56	1,203	686	0	0	16	670
Precinct 7617 - Election Day	75	14	768	102	0	2	11	89
Precinct 7617 - Vote By Mail	184	50	768	261	0	0	27	234
Precinct 7618 - Election Day	150	15	862	168	0	0	3	165
Precinct 7618 - Vote By Mail	350	42	862	407	0	0	15	392
Precinct 7619 - Election Day	191	20	1,063	219	0	0	8	211
Precinct 7619 - Vote By Mail	488	53	1,063	563	0	0	22	541
Precinct 7621 - Election Day	254	21	1,320	287	0	0	12	275
Precinct 7621 - Vote By Mail	575	70	1,320	668	0	0	23	645
Precinct 7622 - Election Day	139	14	988	170	0	0	17	153
Precinct 7622 - Vote By Mail	238	42	988	301	0	0	21	280
Precinct 7623 - Election Day	157	10	746	184	0	0	17	167
Precinct 7623 - Vote By Mail	239	38	746	297	0	0	20	277
Precinct 7624 - Election Day	120	14	859	142	0	0	8	134
Precinct 7624 - Vote By Mail	232	35	859	290	0	1	22	267
Precinct 7625 - Election Day	42	14	822	66	0	0	10	56
Precinct 7625 - Vote By Mail	307	83	822	475	0	0	85	390
Precinct 7626 - Election Day	203	16	1,114	227	0	0	8	219
Precinct 7626 - Vote By Mail	528	67	1,114	612	0	0	17	595
Precinct 7627 - Election Day	218	31	1,187	267	0	0	18	249
Precinct 7627 - Vote By Mail	439	109	1,187	582	0	0	34	548
Precinct 7628 - Election Day	207	22	960	241	0	0	12	229
Precinct 7628 - Vote By Mail	383	27	960	428	0	1	17	410
Precinct 7629 - Election Day	182	15	809	208	0	0	11	197
Precinct 7629 - Vote By Mail	296	32	809	343	0	0	15	328
Precinct 7631 - Election Day	212	31	1,155	270	0	0	27	243
Precinct 7631 - Vote By Mail	496	50	1,155	577	0	0	31	546
Precinct 7632 - Election Day	246	27	1,124	289	0	0	16	273
Precinct 7632 - Vote By Mail	500	42	1,124	561	0	0	19	542
Precinct 7633 - Election Day	118	13	741	137	0	0	6	131
Precinct 7633 - Vote By Mail	304	48	741	392	0	0	40	352
Precinct 7634 - Election Day	150	23	900	195	0	1	21	173
Precinct 7634 - Vote By Mail	335	60	900	421	0	0	26	395
Precinct 7635 - Election Day	132	14	840	158	0	0	12	146
Precinct 7635 - Vote By Mail	338	29	840	382	0	0	15	367
Precinct 7636 - Election Day	207	30	938	251	0	0	14	237
Precinct 7636 - Vote By Mail	409	43	938	465	0	0	13	452
Precinct 7637 - Election Day	150	39	809	193	0	0	4	189
Precinct 7637 - Vote By Mail	336	47	809	404	0	0	21	383
Precinct 7638 - Election Day	234	45	1,467	295	0	0	16	279
Precinct 7638 - Vote By Mail	681	152	1,467	871	1	0	37	833
Precinct 7639 - Election Day	194	37	1,011	242	0	0	11	231
Precinct 7639 - Vote By Mail	468	66	1,011	559	0	0	25	534
Precinct 7641 - Election Day	150	37	972	205	0	0	18	187
Precinct 7641 - Vote By Mail	422	97	972	549	0	0	30	519
Precinct 7642 - Election Day	134	14	937	153	0	0	5	148
Precinct 7642 - Vote By Mail	313	47	937	394	0	0	34	360
Precinct 7643 - Election Day	137	18	920	169	0	0	14	155
Precinct 7643 - Vote By Mail	427	59	920	507	0	0	21	486
Precinct 7644 - Election Day	288	28	1,175	330	0	0	14	316
Precinct 7644 - Vote By Mail	490	46	1,175	554	0	0	18	536
Precinct 7645 - Election Day	98	18	640	120	0	0	4	116
Precinct 7645 - Vote By Mail	300	63	640	377	0	0	14	363
Precinct 7646 - Election Day	231	23	1,100	267	0	0	13	254
Precinct 7646 - Vote By Mail	517	45	1,100	592	0	0	30	562
Precinct 7647 - Election Day	168	23	1,075	205	0	0	14	191
Precinct 7647 - Vote By Mail	244	23	1,075	283	0	1	15	267
Precinct 7648 MB - Vote By Mail	0	0	1	0	0	0	0	0
Precinct 7649 - Election Day	160	9	891	178	0	0	9	169
Precinct 7649 - Vote By Mail	316	53	891	395	0	0	26	369
Precinct 7651 - Election Day	138	18	677	166	1	0	9	156
Precinct 7651 - Vote By Mail	312	28	677	351	0	0	11	340
Precinct 7652 - Election Day	114	15	628	135	0	0	6	129
Precinct 7652 - Vote By Mail	259	26	628	301	0	1	15	285
Precinct 7653 - Election Day	254	24	1,280	300	0	1	21	278
Precinct 7653 - Vote By Mail	582	62	1,280	673	0	0	29	644
Precinct 7701 - Election Day	257	29	1,064	296	0	0	10	286
Precinct 7701 - Vote By Mail	512	59	1,064	597	0	0	26	571
Precinct 7702 - Election Day	147	23	748	180	0	0	10	170
Precinct 7702 - Vote By Mail	329	58	748	415	0	0	28	387
Precinct 7703 MB - Vote By Mail	61	10	171	79	0	1	7	71
Precinct 7704 - Election Day	200	38	1,008	257	0	0	19	238
Precinct 7704 - Vote By Mail	439	89	1,008	557	0	0	29	528
Precinct 7705 - Election Day	121	14	568	149	0	0	14	135
Precinct 7705 - Vote By Mail	266	55	568	335	0	0	14	321
Precinct 7706 - Election Day	207	31	840	252	0	0	14	238
Precinct 7706 - Vote By Mail	380	69	840	467	0	0	18	449
Precinct 7707 - Election Day	198	29	857	241	1	0	13	227
Precinct 7707 - Vote By Mail	421	50	857	495	0	0	24	471
Precinct 7708 - Election Day	166	25	871	205	0	0	14	191
Precinct 7708 - Vote By Mail	450	66	871	540	0	0	24	516
Precinct 7709 - Election Day	85	13	391	102	0	0	4	98
Precinct 7709 - Vote By Mail	194	22	391	222	0	0	6	216
Precinct 7711 - Election Day	168	21	766	198	0	0	9	189
Precinct 7711 - Vote By Mail	370	31	766	422	0	0	21	401
Precinct 7712 - Election Day	130	16	529	149	0	0	3	146
Precinct 7712 - Vote By Mail	267	27	529	296	0	0	2	294
Precinct 7801 - Election Day	235	20	1,001	264	1	0	8	255
Precinct 7801 - Vote By Mail	531	44	1,001	596	0	0	21	575
Precinct 7802 - Election Day	208	9	788	230	0	0	13	217
Precinct 7802 - Vote By Mail	408	30	788	458	0	0	20	438
Precinct 7803 - Election Day	158	9	828	174	0	0	7	167
Precinct 7803 - Vote By Mail	503	36	828	552	0	0	13	539
Precinct 7804 - Election Day	241	7	893	257	0	0	9	248
Precinct 7804 - Vote By Mail	491	28	893	533	0	0	14	519
Precinct 7805 - Election Day	217	3	825	228	0	0	8	220
Precinct 7805 - Vote By Mail	444	30	825	484	0	0	10	474
Precinct 7806 - Election Day	195	8	716	208	2	0	3	203
Precinct 7806 - Vote By Mail	372	19	716	407	0	0	16	391
Precinct 7807 - Election Day	261	8	844	276	0	0	7	269
Precinct 7807 - Vote By Mail	390	14	844	417	0	0	13	404
Precinct 7808 - Election Day	198	7	655	211	0	0	6	205
Precinct 7808 - Vote By Mail	316	10	655	333	0	0	7	326
Precinct 7809 - Election Day	217	10	781	238	0	0	11	227
Precinct 7809 - Vote By Mail	379	13	781	405	0	0	13	392
Precinct 7811 - Election Day	224	16	783	249	0	0	9	240
Precinct 7811 - Vote By Mail	376	17	783	404	0	0	11	393
Precinct 7812 - Election Day	224	22	877	257	0	0	11	246
Precinct 7812 - Vote By Mail	416	21	877	454	0	0	17	437
Precinct 7813 - Election Day	288	10	1,064	308	1	0	9	298
Precinct 7813 - Vote By Mail	544	21	1,064	585	0	0	20	565
Precinct 7814 - Election Day	196	17	936	228	0	0	15	213
Precinct 7814 - Vote By Mail	311	20	936	341	0	1	9	331
Precinct 7815 - Election Day	222	10	954	238	0	0	6	232
Precinct 7815 - Vote By Mail	536	21	954	573	0	0	16	557
Precinct 7816 - Election Day	216	13	865	236	0	0	7	229
Precinct 7816 - Vote By Mail	499	19	865	531	1	0	12	518
Precinct 7817 - Election Day	257	11	823	277	0	1	8	268
Precinct 7817 - Vote By Mail	417	11	823	439	0	0	11	428
Precinct 7818 - Election Day	218	6	860	234	0	0	10	224
Precinct 7818 - Vote By Mail	423	12	860	452	2	0	15	435
Precinct 7819 - Election Day	169	15	793	191	0	0	7	184
Precinct 7819 - Vote By Mail	382	24	793	420	0	0	14	406
Precinct 7821 - Election Day	228	10	985	248	0	0	10	238
Precinct 7821 - Vote By Mail	575	38	985	630	0	0	17	613
Precinct 7822 - Election Day	248	18	908	275	0	0	9	266
Precinct 7822 - Vote By Mail	437	26	908	480	0	0	17	463
Precinct 7823 - Election Day	249	7	879	270	6	0	8	256
Precinct 7823 - Vote By Mail	453	26	879	501	0	0	22	479
Precinct 7824 - Election Day	228	11	768	247	0	1	7	239
Precinct 7824 - Vote By Mail	342	20	768	383	0	0	21	362
Precinct 7825 - Election Day	174	12	597	191	0	0	5	186
Precinct 7825 - Vote By Mail	285	11	597	302	0	0	6	296
Precinct 7826 - Election Day	241	7	684	258	0	0	10	248
Precinct 7826 - Vote By Mail	292	19	684	319	0	0	8	311
Precinct 7827 - Election Day	243	10	831	261	0	0	8	253
Precinct 7827 - Vote By Mail	323	27	831	361	0	0	11	350
Precinct 7828 - Election Day	236	19	1,018	261	0	0	6	255
Precinct 7828 - Vote By Mail	493	35	1,018	549	0	0	21	528
Precinct 7829 - Election Day	208	21	907	237	1	0	7	229
Precinct 7829 - Vote By Mail	503	41	907	557	0	0	13	544
Precinct 7831 - Election Day	217	8	882	233	0	0	8	225
Precinct 7831 - Vote By Mail	508	26	882	544	0	0	10	534
Precinct 7832 - Election Day	177	9	780	188	0	0	2	186
Precinct 7832 - Vote By Mail	448	27	780	488	0	0	13	475
Precinct 7833 - Election Day	208	11	747	230	0	0	11	219
Precinct 7833 - Vote By Mail	385	19	747	412	0	0	8	404
Precinct 7834 - Election Day	255	13	867	277	0	0	9	268
Precinct 7834 - Vote By Mail	414	13	867	439	0	0	12	427
Precinct 7835 - Election Day	190	15	847	211	0	0	6	205
Precinct 7835 - Vote By Mail	450	39	847	505	1	0	15	489
Precinct 7836 - Election Day	229	22	1,023	260	0	0	9	251
Precinct 7836 - Vote By Mail	557	48	1,023	623	0	0	18	605
Precinct 7837 - Election Day	242	15	911	260	0	0	3	257
Precinct 7837 - Vote By Mail	464	27	911	509	2	0	16	491
Precinct 7838 - Election Day	221	11	926	239	0	0	7	232
Precinct 7838 - Vote By Mail	497	31	926	546	0	0	18	528
Precinct 7839 - Election Day	185	8	842	205	0	0	12	193
Precinct 7839 - Vote By Mail	464	36	842	515	0	0	15	500
Precinct 7841 - Election Day	266	12	937	291	0	0	13	278
Precinct 7841 - Vote By Mail	490	19	937	526	0	0	17	509
Precinct 7842 - Election Day	258	12	903	283	0	0	13	270
Precinct 7842 - Vote By Mail	388	31	903	434	0	0	15	419
Precinct 7843 - Election Day	216	8	767	232	0	0	8	224
Precinct 7843 - Vote By Mail	348	24	767	380	0	0	8	372
Precinct 7844 - Election Day	178	11	663	196	0	0	7	189
Precinct 7844 - Vote By Mail	297	21	663	329	0	0	11	318
Precinct 7845 - Election Day	207	22	849	241	0	0	12	229
Precinct 7845 - Vote By Mail	430	25	849	469	0	0	14	455
Precinct 7846 - Election Day	232	22	904	262	0	0	8	254
Precinct 7846 - Vote By Mail	446	43	904	509	0	0	20	489
Precinct 7847 - Election Day	231	22	929	261	0	0	8	253
Precinct 7847 - Vote By Mail	482	22	929	529	0	0	25	504
Precinct 7848 - Election Day	200	22	834	233	0	0	11	222
Precinct 7848 - Vote By Mail	445	28	834	491	0	0	18	473
Precinct 7849 - Election Day	242	15	929	264	0	0	7	257
Precinct 7849 - Vote By Mail	484	27	929	522	0	0	11	511
Precinct 7851 - Election Day	112	18	513	136	0	0	6	130
Precinct 7851 - Vote By Mail	252	29	513	298	0	0	17	281
Precinct 7852 - Election Day	118	20	647	143	0	0	5	138
Precinct 7852 - Vote By Mail	336	43	647	394	0	0	15	379
Precinct 7853 - Election Day	186	19	850	214	0	0	9	205
Precinct 7853 - Vote By Mail	424	39	850	479	0	0	16	463
Precinct 7854 - Election Day	220	16	894	248	0	0	12	236
Precinct 7854 - Vote By Mail	449	31	894	500	0	0	20	480
Precinct 7855 - Election Day	280	10	986	301	0	0	11	290
Precinct 7855 - Vote By Mail	453	47	986	522	0	0	22	500
Precinct 7856 - Election Day	250	10	800	265	0	0	5	260
Precinct 7856 - Vote By Mail	388	22	800	425	0	0	15	410
Precinct 7857 - Election Day	256	7	933	276	0	0	13	263
Precinct 7857 - Vote By Mail	467	31	933	517	0	0	19	498
Precinct 7858 - Election Day	222	15	775	245	0	0	8	237
Precinct 7858 - Vote By Mail	361	14	775	394	0	0	19	375
Precinct 7859 - Election Day	236	9	891	250	0	0	5	245
Precinct 7859 - Vote By Mail	464	38	891	513	0	0	11	502
Precinct 7861 - Election Day	194	16	859	217	0	0	7	210
Precinct 7861 - Vote By Mail	452	39	859	510	0	0	19	491
Precinct 7862 - Election Day	272	20	866	302	0	0	10	292
Precinct 7862 - Vote By Mail	420	39	866	472	0	0	13	459
Precinct 7863 - Election Day	284	14	907	311	0	0	13	298
Precinct 7863 - Vote By Mail	402	24	907	440	0	0	14	426
Precinct 7864 - Election Day	216	11	807	232	0	0	5	227
Precinct 7864 - Vote By Mail	386	30	807	427	0	0	11	416
Precinct 7865 - Election Day	217	15	823	241	0	0	9	232
Precinct 7865 - Vote By Mail	415	38	823	463	0	0	10	453
Precinct 7866 - Election Day	175	25	836	209	0	0	9	200
Precinct 7866 - Vote By Mail	399	76	836	491	0	0	16	475
Precinct 7867 - Election Day	230	21	955	266	0	0	15	251
Precinct 7867 - Vote By Mail	448	46	955	512	0	0	18	494
Precinct 7868 - Election Day	219	13	881	242	0	1	9	232
Precinct 7868 - Vote By Mail	391	41	881	449	1	0	16	432
Precinct 7869 - Election Day	219	15	867	239	0	0	5	234
Precinct 7869 - Vote By Mail	452	26	867	489	0	0	11	478
Precinct 7871 - Election Day	228	18	900	259	0	0	13	246
Precinct 7871 - Vote By Mail	456	29	900	502	2	1	14	485
Precinct 7872 - Election Day	264	17	862	288	0	0	7	281
Precinct 7872 - Vote By Mail	422	27	862	472	0	0	23	449
Precinct 7873 - Election Day	236	15	861	257	0	0	6	251
Precinct 7873 - Vote By Mail	458	30	861	502	0	0	14	488
Precinct 7874 - Election Day	117	12	477	137	0	0	8	129
Precinct 7874 - Vote By Mail	226	17	477	256	1	0	12	243
Precinct 7875 - Election Day	152	16	623	180	0	0	12	168
Precinct 7875 - Vote By Mail	236	35	623	285	0	0	14	271
Precinct 7876 - Election Day	126	8	498	154	10	0	10	134
Precinct 7876 - Vote By Mail	250	8	498	269	0	0	11	258
Precinct 7901 - Election Day	117	9	522	136	0	1	9	126
Precinct 7901 - Vote By Mail	173	16	522	198	0	0	9	189
Precinct 7902 - Election Day	225	20	968	258	0	0	13	245
Precinct 7902 - Vote By Mail	368	21	968	401	0	0	12	389
Precinct 7903 - Election Day	182	12	840	201	0	1	6	194
Precinct 7903 - Vote By Mail	307	21	840	350	0	0	22	328
Precinct 7904 - Election Day	182	17	877	212	0	0	13	199
Precinct 7904 - Vote By Mail	358	29	877	403	0	1	15	387
Precinct 7905 - Election Day	230	18	851	254	0	0	6	248
Precinct 7905 - Vote By Mail	364	29	851	409	1	0	15	393
Precinct 7906 - Election Day	223	10	787	245	0	0	12	233
Precinct 7906 - Vote By Mail	307	16	787	335	0	0	12	323
Precinct 7907 - Election Day	247	14	950	278	0	0	17	261
Precinct 7907 - Vote By Mail	388	16	950	425	0	0	21	404
Precinct 7908 - Election Day	243	23	949	284	0	0	18	266
Precinct 7908 - Vote By Mail	352	27	949	408	0	0	29	379
Precinct 7909 - Election Day	232	10	733	251	0	0	9	242
Precinct 7909 - Vote By Mail	287	8	733	303	0	0	8	295
Precinct 7911 - Election Day	220	11	860	244	0	0	13	231
Precinct 7911 - Vote By Mail	367	20	860	395	0	0	8	387
Precinct 7912 - Election Day	260	16	1,065	291	0	0	15	276
Precinct 7912 - Vote By Mail	423	19	1,065	463	0	0	21	442
Precinct 7913 - Election Day	288	14	913	312	0	0	10	302
Precinct 7913 - Vote By Mail	342	21	913	378	0	0	15	363
Precinct 7914 - Election Day	257	10	883	278	0	0	11	267
Precinct 7914 - Vote By Mail	391	23	883	425	0	0	11	414
Precinct 7915 - Election Day	245	13	831	266	0	0	8	258
Precinct 7915 - Vote By Mail	323	20	831	351	0	0	8	343
Precinct 7916 - Election Day	257	14	888	284	0	0	13	271
Precinct 7916 - Vote By Mail	394	26	888	421	0	0	1	420
Precinct 7917 - Election Day	290	11	1,015	315	0	0	14	301
Precinct 7917 - Vote By Mail	395	22	1,015	428	0	0	11	417
Precinct 7918 - Election Day	229	8	836	253	0	0	16	237
Precinct 7918 - Vote By Mail	353	14	836	379	0	1	11	367
Precinct 7919 - Election Day	287	13	895	309	0	0	9	300
Precinct 7919 - Vote By Mail	346	18	895	376	0	0	12	364
Precinct 7921 - Election Day	200	15	917	232	0	2	15	215
Precinct 7921 - Vote By Mail	317	31	917	366	0	0	18	348
Precinct 7922 - Election Day	238	7	831	250	0	0	5	245
Precinct 7922 - Vote By Mail	351	21	831	383	0	0	11	372
Precinct 7923 - Election Day	236	16	885	262	0	0	10	252
Precinct 7923 - Vote By Mail	370	20	885	403	0	0	13	390
Precinct 7924 - Election Day	220	5	842	238	0	1	12	225
Precinct 7924 - Vote By Mail	349	26	842	382	0	0	7	375
Precinct 7925 - Election Day	145	6	567	156	0	0	5	151
Precinct 7925 - Vote By Mail	264	17	567	293	0	0	12	281
Precinct 7926 - Election Day	211	12	795	229	0	0	6	223
Precinct 7926 - Vote By Mail	363	21	795	390	0	0	6	384
Precinct 7927 - Election Day	222	11	747	241	0	0	8	233
Precinct 7927 - Vote By Mail	367	15	747	392	0	0	10	382
Precinct 7928 - Election Day	270	7	931	284	0	0	7	277
Precinct 7928 - Vote By Mail	443	31	931	489	0	0	15	474
Precinct 7929 - Election Day	225	11	864	248	0	0	12	236
Precinct 7929 - Vote By Mail	471	23	864	509	1	0	14	494
Precinct 7931 - Election Day	205	8	738	219	0	0	6	213
Precinct 7931 - Vote By Mail	374	17	738	408	0	0	17	391
Precinct 7932 - Election Day	143	8	551	157	1	0	5	151
Precinct 7932 - Vote By Mail	260	19	551	285	0	0	6	279
Precinct 7933 MB - Vote By Mail	4	0	6	4	0	0	0	4
Precinct 7934 - Election Day	231	9	890	250	0	0	10	240
Precinct 7934 - Vote By Mail	435	22	890	472	0	1	14	457
Precinct 7935 - Election Day	279	16	970	305	0	0	10	295
Precinct 7935 - Vote By Mail	473	27	970	519	0	0	19	500
Precinct 7936 - Election Day	263	15	856	287	0	0	9	278
Precinct 7936 - Vote By Mail	399	19	856	428	0	0	10	418
Precinct 7937 - Election Day	235	12	886	267	0	0	20	247
Precinct 7937 - Vote By Mail	390	25	886	435	0	0	20	415
Precinct 7938 - Election Day	189	14	788	213	0	0	10	203
Precinct 7938 - Vote By Mail	308	16	788	337	0	0	13	324
Precinct 7939 - Election Day	238	13	688	254	0	0	3	251
Precinct 7939 - Vote By Mail	298	16	688	326	0	0	12	314
Precinct 7941 - Election Day	204	5	751	218	0	2	7	209
Precinct 7941 - Vote By Mail	319	16	751	348	0	0	13	335
Precinct 7942 - Election Day	229	19	914	259	1	0	10	248
Precinct 7942 - Vote By Mail	358	29	914	412	0	1	24	387
Precinct 7943 - Election Day	229	19	872	258	4	0	6	248
Precinct 7943 - Vote By Mail	367	46	872	439	0	1	25	413
Precinct 7944 - Election Day	229	6	801	243	0	0	8	235
Precinct 7944 - Vote By Mail	350	26	801	381	0	0	5	376
Precinct 7945 - Election Day	165	12	915	186	0	0	9	177
Precinct 7945 - Vote By Mail	363	35	915	414	0	0	16	398
Precinct 7946 - Election Day	149	24	945	183	0	0	10	173
Precinct 7946 - Vote By Mail	342	79	945	451	0	0	30	421
Precinct 7947 - Election Day	149	17	946	182	0	0	16	166
Precinct 7947 - Vote By Mail	323	61	946	430	0	0	46	384
Precinct 7948 - Election Day	180	21	928	210	0	0	9	201
Precinct 7948 - Vote By Mail	316	69	928	422	0	0	37	385
Precinct 7949 - Election Day	69	21	569	100	0	0	10	90
Precinct 7949 - Vote By Mail	209	60	569	292	0	1	22	269
Precinct 7951 - Election Day	133	19	854	166	0	0	14	152
Precinct 7951 - Vote By Mail	294	103	854	425	0	0	28	397
Precinct 7952 - Election Day	125	28	866	167	0	0	14	153
Precinct 7952 - Vote By Mail	276	55	866	359	0	0	28	331
Precinct 7953 - Election Day	148	25	824	186	2	0	11	173
Precinct 7953 - Vote By Mail	295	76	824	402	0	0	31	371
Precinct 7955 - Election Day	151	34	902	199	0	1	13	185
Precinct 7955 - Vote By Mail	328	68	902	435	0	0	39	396
Precinct 7956 - Election Day	101	21	823	136	0	0	14	122
Precinct 7956 - Vote By Mail	243	85	823	353	0	0	25	328
Precinct 7957 - Election Day	123	15	646	147	0	0	9	138
Precinct 7957 - Vote By Mail	242	39	646	298	0	0	17	281
Precinct 7958 MB - Vote By Mail	98	29	290	141	0	0	14	127
Precinct 7959 - Election Day	146	8	727	160	0	0	6	154
Precinct 7959 - Vote By Mail	297	14	727	326	0	0	15	311
Precinct 9001 MB - Vote By Mail	116	19	273	142	0	0	7	135
Precinct 9101 - Election Day	212	34	888	260	0	3	11	246
Precinct 9101 - Vote By Mail	325	81	888	438	0	0	32	406
Precinct 9102 - Election Day	199	46	985	257	0	0	12	245
Precinct 9102 - Vote By Mail	370	81	985	471	0	0	20	451
Precinct 9103 - Election Day	214	40	954	273	0	0	19	254
Precinct 9103 - Vote By Mail	328	67	954	431	0	1	35	395
Precinct 9104 - Election Day	197	25	988	239	0	0	17	222
Precinct 9104 - Vote By Mail	356	81	988	465	0	0	28	437
Precinct 9105 - Election Day	200	31	919	247	0	0	16	231
Precinct 9105 - Vote By Mail	386	58	919	488	0	0	44	444
Precinct 9106 - Election Day	223	34	937	268	1	0	10	257
Precinct 9106 - Vote By Mail	404	62	937	497	0	0	31	466
Precinct 9107 - Election Day	176	32	849	219	0	0	11	208
Precinct 9107 - Vote By Mail	295	55	849	372	0	0	22	350
Precinct 9108 - Election Day	214	22	790	247	0	0	11	236
Precinct 9108 - Vote By Mail	305	46	790	373	1	0	21	351
Precinct 9109 - Election Day	215	40	884	263	0	0	8	255
Precinct 9109 - Vote By Mail	364	34	884	428	0	0	30	398
Precinct 9111 - Election Day	192	26	779	229	0	0	11	218
Precinct 9111 - Vote By Mail	272	52	779	346	0	0	22	324
Precinct 9112 - Election Day	234	34	976	284	0	0	16	268
Precinct 9112 - Vote By Mail	394	49	976	467	0	0	24	443
Precinct 9113 - Election Day	264	31	999	311	0	0	16	295
Precinct 9113 - Vote By Mail	413	70	999	505	0	0	22	483
Precinct 9114 - Election Day	221	29	877	263	0	0	13	250
Precinct 9114 - Vote By Mail	335	50	877	405	0	0	20	385
Precinct 9115 - Election Day	224	21	911	258	0	0	13	245
Precinct 9115 - Vote By Mail	363	41	911	429	0	0	25	404
Precinct 9116 - Election Day	233	39	944	281	1	0	8	272
Precinct 9116 - Vote By Mail	394	56	944	473	0	0	23	450
Precinct 9117 - Election Day	192	26	783	222	0	0	4	218
Precinct 9117 - Vote By Mail	327	50	783	398	0	0	21	377
Precinct 9118 - Election Day	226	43	974	286	0	0	17	269
Precinct 9118 - Vote By Mail	321	66	974	426	0	0	39	387
Precinct 9119 - Election Day	190	28	891	237	0	0	19	218
Precinct 9119 - Vote By Mail	344	72	891	447	0	1	30	416
Precinct 9121 - Election Day	200	44	930	256	0	0	12	244
Precinct 9121 - Vote By Mail	352	59	930	434	0	0	23	411
Precinct 9122 - Election Day	170	28	953	210	0	0	12	198
Precinct 9122 - Vote By Mail	341	90	953	454	0	0	23	431
Precinct 9123 - Election Day	180	43	858	232	0	1	8	223
Precinct 9123 - Vote By Mail	327	70	858	418	0	0	21	397
Precinct 9124 - Election Day	168	24	874	202	0	1	9	192
Precinct 9124 - Vote By Mail	319	79	874	438	0	0	40	398
Precinct 9125 - Election Day	176	19	861	210	0	0	15	195
Precinct 9125 - Vote By Mail	354	57	861	437	0	0	26	411
Precinct 9126 - Election Day	195	33	1,015	245	0	0	17	228
Precinct 9126 - Vote By Mail	399	92	1,015	533	0	0	42	491
Precinct 9127 - Election Day	220	33	960	269	0	0	16	253
Precinct 9127 - Vote By Mail	407	70	960	498	0	0	21	477
Precinct 9128 - Election Day	205	29	828	248	0	0	14	234
Precinct 9128 - Vote By Mail	328	72	828	412	0	0	12	400
Precinct 9129 - Election Day	205	25	741	243	0	0	13	230
Precinct 9129 - Vote By Mail	290	43	741	348	0	0	15	333
Precinct 9131 - Election Day	163	18	759	193	0	0	12	181
Precinct 9131 - Vote By Mail	321	63	759	403	0	0	19	384
Precinct 9132 - Election Day	209	27	837	248	0	0	12	236
Precinct 9132 - Vote By Mail	318	34	837	371	0	0	19	352
Precinct 9133 - Election Day	240	20	1,021	271	0	0	11	260
Precinct 9133 - Vote By Mail	408	69	1,021	503	0	0	26	477
Precinct 9134 - Election Day	172	20	893	210	0	0	18	192
Precinct 9134 - Vote By Mail	376	62	893	469	0	0	31	438
Precinct 9135 - Election Day	163	40	808	215	0	0	12	203
Precinct 9135 - Vote By Mail	285	89	808	389	0	0	15	374
Precinct 9136 - Election Day	216	22	929	253	0	1	14	238
Precinct 9136 - Vote By Mail	351	53	929	439	0	0	35	404
Precinct 9137 - Election Day	197	45	1,006	260	0	0	18	242
Precinct 9137 - Vote By Mail	356	81	1,006	467	0	0	30	437
Precinct 9138 - Election Day	182	30	943	226	1	0	13	212
Precinct 9138 - Vote By Mail	378	73	943	477	1	1	24	451
Precinct 9139 - Election Day	197	38	975	243	0	0	8	235
Precinct 9139 - Vote By Mail	364	112	975	510	0	0	34	476
Precinct 9141 - Election Day	194	42	953	252	0	0	16	236
Precinct 9141 - Vote By Mail	364	87	953	477	0	0	26	451
Precinct 9142 - Election Day	235	25	966	276	0	0	16	260
Precinct 9142 - Vote By Mail	386	52	966	459	0	0	21	438
Precinct 9143 - Election Day	207	29	920	251	0	0	15	236
Precinct 9143 - Vote By Mail	355	78	920	463	0	0	30	433
Precinct 9144 - Election Day	256	29	962	293	0	0	8	285
Precinct 9144 - Vote By Mail	380	72	962	482	0	0	30	452
Precinct 9145 - Election Day	205	31	861	249	1	0	12	236
Precinct 9145 - Vote By Mail	347	57	861	423	0	0	19	404
Precinct 9146 - Election Day	202	28	885	245	0	0	15	230
Precinct 9146 - Vote By Mail	403	40	885	464	0	0	21	443
Precinct 9147 - Election Day	231	20	971	281	0	0	30	251
Precinct 9147 - Vote By Mail	427	49	971	492	0	0	16	476
Precinct 9148 - Election Day	289	29	1,034	325	0	0	7	318
Precinct 9148 - Vote By Mail	446	48	1,034	513	0	0	19	494
Precinct 9149 - Election Day	233	21	948	264	0	0	10	254
Precinct 9149 - Vote By Mail	411	51	948	478	0	0	16	462
Precinct 9151 - Election Day	195	22	872	227	0	0	10	217
Precinct 9151 - Vote By Mail	357	47	872	418	0	0	14	404
Precinct 9152 - Election Day	239	18	721	270	0	0	13	257
Precinct 9152 - Vote By Mail	235	32	721	279	0	0	12	267
Precinct 9201 - Election Day	263	31	1,004	300	0	0	6	294
Precinct 9201 - Vote By Mail	418	45	1,004	475	0	0	12	463
Precinct 9202 - Election Day	243	40	971	294	0	0	11	283
Precinct 9202 - Vote By Mail	363	48	971	426	0	0	15	411
Precinct 9203 - Election Day	157	68	1,002	239	0	0	14	225
Precinct 9203 - Vote By Mail	370	133	1,002	536	0	0	33	503
Precinct 9204 - Election Day	185	67	873	273	0	0	21	252
Precinct 9204 - Vote By Mail	268	106	873	393	0	1	18	374
Precinct 9205 - Election Day	160	34	728	208	0	0	14	194
Precinct 9205 - Vote By Mail	309	45	728	376	0	0	22	354
Precinct 9206 - Election Day	164	71	931	249	0	0	14	235
Precinct 9206 - Vote By Mail	327	128	931	479	0	0	24	455
Precinct 9207 - Election Day	176	65	981	262	0	0	21	241
