Subtotal Area	ALEX PADILLA	MARK P. MEUSER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7005 - Election Day	230	10	847	253	0	0	13	240
Precinct 7005 - Vote By Mail	444	20	847	480	0	0	16	464
Precinct 7006 - Election Day	228	16	917	254	0	0	10	244
Precinct 7006 - Vote By Mail	400	22	917	442	0	1	19	422
Precinct 7007 - Election Day	263	11	949	283	0	0	9	274
Precinct 7007 - Vote By Mail	464	35	949	516	0	0	17	499
Precinct 7008 - Election Day	234	21	932	264	1	0	8	255
Precinct 7008 - Vote By Mail	480	43	932	546	1	0	22	523
Precinct 7009 - Election Day	156	18	905	185	0	0	11	174
Precinct 7009 - Vote By Mail	455	38	905	513	0	0	20	493
Precinct 7011 - Election Day	187	7	985	204	0	0	10	194
Precinct 7011 - Vote By Mail	262	16	985	294	0	0	16	278
Precinct 7012 - Election Day	271	39	1,109	313	0	0	3	310
Precinct 7012 - Vote By Mail	520	47	1,109	594	0	0	27	567
Precinct 7013 - Election Day	222	25	956	267	0	0	20	247
Precinct 7013 - Vote By Mail	450	33	956	501	0	0	18	483
Precinct 7014 - Election Day	334	20	1,460	367	0	0	13	354
Precinct 7014 - Vote By Mail	722	50	1,460	802	0	1	29	772
Precinct 7015 MB - Vote By Mail	40	1	95	44	0	0	3	41
Precinct 7016 - Election Day	140	16	918	171	0	0	15	156
Precinct 7016 - Vote By Mail	213	38	918	280	0	0	29	251
Precinct 7017 - Election Day	127	9	754	149	0	0	13	136
Precinct 7017 - Vote By Mail	229	11	754	252	0	0	12	240
Precinct 7018 - Election Day	121	21	977	155	0	0	13	142
Precinct 7018 - Vote By Mail	334	63	977	448	0	0	51	397
Precinct 7019 - Election Day	159	7	899	182	0	1	15	166
Precinct 7019 - Vote By Mail	338	55	899	413	0	0	20	393
Precinct 7021 - Election Day	156	14	947	184	0	0	14	170
Precinct 7021 - Vote By Mail	252	33	947	305	0	0	20	285
Precinct 7022 - Election Day	189	9	945	215	0	0	17	198
Precinct 7022 - Vote By Mail	298	35	945	352	0	0	19	333
Precinct 7023 - Election Day	160	12	928	178	0	0	6	172
Precinct 7023 - Vote By Mail	334	39	928	400	0	1	26	373
Precinct 7024 - Election Day	59	3	414	70	0	0	8	62
Precinct 7024 - Vote By Mail	58	14	414	78	0	0	6	72
Precinct 7025 - Election Day	71	4	477	85	0	0	10	75
Precinct 7025 - Vote By Mail	117	7	477	128	0	0	4	124
Precinct 7026 - Election Day	121	14	1,011	149	0	0	14	135
Precinct 7026 - Vote By Mail	341	70	1,011	455	0	0	44	411
Precinct 7027 - Election Day	166	15	869	195	0	0	14	181
Precinct 7027 - Vote By Mail	276	57	869	353	0	1	19	333
Precinct 7028 - Election Day	186	12	850	213	0	0	15	198
Precinct 7028 - Vote By Mail	258	16	850	282	0	0	8	274
Precinct 7029 - Election Day	149	11	901	184	0	2	22	160
