Subtotal Area	KONSTANTINOS RODITIS	BETTY T. YEE	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7704 - None	76	456	1,008	557	0	0	25	532
Precinct 7705 - None	15	126	568	149	0	0	8	141
Precinct 7705 - None	53	271	568	335	0	0	11	324
Precinct 7706 - None	32	209	840	252	0	0	11	241
Precinct 7706 - None	78	374	840	467	0	0	15	452
Precinct 7707 - None	28	206	857	241	1	0	6	234
Precinct 7707 - None	47	429	857	495	0	0	19	476
Precinct 7708 - None	20	174	871	205	0	0	11	194
Precinct 7708 - None	68	460	871	540	0	0	12	528
Precinct 7709 - None	15	85	391	102	0	0	2	100
Precinct 7709 - None	25	191	391	222	0	0	6	216
Precinct 7711 - None	19	169	766	198	0	0	10	188
Precinct 7711 - None	33	373	766	422	0	0	16	406
Precinct 7712 - None	16	129	529	149	0	0	4	145
Precinct 7712 - None	28	263	529	296	0	0	5	291
Precinct 7801 - None	22	236	1,001	264	1	0	5	258
Precinct 7801 - None	50	528	1,001	596	0	0	18	578
Precinct 7802 - None	13	206	788	230	0	0	11	219
Precinct 7802 - None	32	409	788	458	0	0	17	441
Precinct 7803 - None	13	153	828	174	0	0	8	166
Precinct 7803 - None	43	492	828	552	0	0	17	535
Precinct 7804 - None	7	240	893	257	0	0	10	247
Precinct 7804 - None	32	484	893	533	0	0	17	516
Precinct 7805 - None	5	215	825	228	0	0	8	220
Precinct 7805 - None	32	439	825	484	0	0	13	471
Precinct 7806 - None	13	188	716	208	2	0	5	201
Precinct 7806 - None	25	363	716	407	0	0	19	388
Precinct 7807 - None	13	253	844	276	0	0	10	266
Precinct 7807 - None	18	387	844	417	0	0	12	405
Precinct 7808 - None	7	197	655	211	0	0	7	204
Precinct 7808 - None	13	308	655	333	0	0	12	321
Precinct 7809 - None	15	214	781	238	0	0	9	229
Precinct 7809 - None	14	379	781	405	0	0	12	393
Precinct 7811 - None	17	225	783	249	0	0	7	242
Precinct 7811 - None	22	372	783	404	0	0	10	394
Precinct 7812 - None	24	219	877	257	0	0	14	243
Precinct 7812 - None	23	411	877	454	0	0	20	434
Precinct 7813 - None	10	286	1,064	308	1	0	11	296
Precinct 7813 - None	24	539	1,064	585	0	0	22	563
Precinct 7814 - None	17	196	936	228	0	0	15	213
Precinct 7814 - None	19	313	936	341	0	1	8	332
Precinct 7815 - None	11	219	954	238	0	0	8	230
Precinct 7815 - None	24	531	954	573	0	0	18	555
Precinct 7816 - None	11	219	865	236	0	0	6	230
Precinct 7816 - None	20	496	865	531	1	0	14	516
Precinct 7817 - None	12	252	823	277	0	0	13	264
Precinct 7817 - None	14	414	823	439	0	0	11	428
Precinct 7818 - None	10	212	860	234	0	0	12	222
Precinct 7818 - None	14	425	860	452	2	0	11	439
Precinct 7819 - None	19	163	793	191	0	0	9	182
Precinct 7819 - None	25	378	793	420	0	0	17	403
Precinct 7821 - None	16	220	985	248	0	0	12	236
Precinct 7821 - None	37	577	985	630	0	0	16	614
Precinct 7822 - None	17	247	908	275	0	0	11	264
Precinct 7822 - None	26	436	908	480	0	0	18	462
Precinct 7823 - None	5	252	879	270	6	0	7	257
Precinct 7823 - None	26	449	879	501	0	0	26	475
Precinct 7824 - None	9	227	768	247	0	0	11	236
Precinct 7824 - None	22	344	768	383	0	0	17	366
Precinct 7825 - None	13	171	597	191	0	0	7	184
Precinct 7825 - None	16	279	597	302	0	0	7	295
Precinct 7826 - None	12	238	684	258	0	0	8	250
Precinct 7826 - None	19	291	684	319	0	0	9	310
Precinct 7827 - None	10	241	831	261	0	0	10	251
Precinct 7827 - None	28	320	831	361	0	0	13	348
Precinct 7828 - None	24	232	1,018	261	0	0	5	256
Precinct 7828 - None	37	494	1,018	549	0	0	18	531
Precinct 7829 - None	19	207	907	237	1	0	10	226
Precinct 7829 - None	45	504	907	557	0	0	8	549
Precinct 7831 - None	13	215	882	233	0	0	5	228
Precinct 7831 - None	22	512	882	544	0	1	9	534
Precinct 7832 - None	10	175	780	188	0	0	3	185
Precinct 7832 - None	28	446	780	488	0	0	14	474
Precinct 7833 - None	10	207	747	230	0	0	13	217
Precinct 7833 - None	23	377	747	412	0	0	12	400
Precinct 7834 - None	18	248	867	277	0	0	11	266
Precinct 7834 - None	12	411	867	439	0	0	16	423
Precinct 7835 - None	19	186	847	211	0	0	6	205
Precinct 7835 - None	40	448	847	505	1	0	16	488
Precinct 7836 - None	20	229	1,023	260	0	0	11	249
Precinct 7836 - None	59	541	1,023	623	0	0	23	600
Precinct 7837 - None	18	234	911	260	0	0	8	252
Precinct 7837 - None	28	459	911	509	2	0	20	487
Precinct 7838 - None	13	217	926	239	0	0	9	230
Precinct 7838 - None	30	497	926	546	0	0	19	527
Precinct 7839 - None	13	182	842	205	0	0	10	195
Precinct 7839 - None	41	463	842	515	0	0	11	504
Precinct 7841 - None	11	265	937	291	0	0	15	276
Precinct 7841 - None	34	471	937	526	0	0	21	505
Precinct 7842 - None	14	257	903	283	0	0	12	271
Precinct 7842 - None	32	386	903	434	0	0	16	418
Precinct 7843 - None	10	213	767	232	0	0	9	223
Precinct 7843 - None	15	355	767	380	0	0	10	370
Precinct 7844 - None	14	174	663	196	0	0	8	188
Precinct 7844 - None	27	292	663	329	0	0	10	319
Precinct 7845 - None	24	204	849	241	0	0	13	228
Precinct 7845 - None	26	431	849	469	0	0	12	457
Precinct 7846 - None	22	231	904	262	0	0	9	253
Precinct 7846 - None	44	443	904	509	0	0	22	487
Precinct 7847 - None	22	228	929	261	0	0	11	250
Precinct 7847 - None	29	472	929	529	0	0	28	501
Precinct 7848 - None	23	199	834	233	0	0	11	222
Precinct 7848 - None	29	444	834	491	0	0	18	473
Precinct 7849 - None	13	241	929	264	0	0	10	254
Precinct 7849 - None	38	463	929	522	0	0	21	501
Precinct 7851 - None	15	116	513	136	0	0	5	131
Precinct 7851 - None	28	258	513	298	0	0	12	286
Precinct 7852 - None	17	123	647	143	0	0	3	140
Precinct 7852 - None	48	331	647	394	0	0	15	379
Precinct 7853 - None	18	191	850	214	0	0	5	209
Precinct 7853 - None	40	428	850	479	0	0	11	468
Precinct 7854 - None	19	218	894	248	0	0	11	237
Precinct 7854 - None	37	443	894	500	0	0	20	480
Precinct 7855 - None	18	271	986	301	0	0	12	289
Precinct 7855 - None	45	450	986	522	0	0	27	495
Precinct 7856 - None	9	251	800	265	0	0	5	260
Precinct 7856 - None	19	390	800	425	0	0	16	409
Precinct 7857 - None	11	250	933	276	0	0	15	261
Precinct 7857 - None	39	453	933	517	0	0	25	492
Precinct 7858 - None	19	215	775	245	0	0	11	234
Precinct 7858 - None	17	360	775	394	0	0	17	377
Precinct 7859 - None	13	228	891	250	0	0	9	241
Precinct 7859 - None	44	451	891	513	0	0	18	495
Precinct 7861 - None	16	193	859	217	0	0	8	209
Precinct 7861 - None	39	449	859	510	0	1	21	488
Precinct 7862 - None	20	270	866	302	0	0	12	290
Precinct 7862 - None	37	418	866	472	0	0	17	455
Precinct 7863 - None	18	278	907	311	0	0	15	296
Precinct 7863 - None	27	396	907	440	0	0	17	423
Precinct 7864 - None	16	211	807	232	0	0	5	227
Precinct 7864 - None	34	383	807	427	0	0	10	417
Precinct 7865 - None	15	216	823	241	0	0	10	231
Precinct 7865 - None	41	410	823	463	0	0	12	451
Precinct 7866 - None	21	180	836	209	0	0	8	201
Precinct 7866 - None	66	417	836	491	0	0	8	483
Precinct 7867 - None	19	232	955	266	0	0	15	251
Precinct 7867 - None	41	450	955	512	0	0	21	491
Precinct 7868 - None	15	220	881	242	0	0	7	235
Precinct 7868 - None	42	393	881	449	1	0	13	435
Precinct 7869 - None	15	216	867	239	0	0	8	231
Precinct 7869 - None	34	444	867	489	0	0	11	478
Precinct 7871 - None	20	229	900	259	0	0	10	249
Precinct 7871 - None	32	457	900	502	2	0	11	489
Precinct 7872 - None	16	262	862	288	0	0	10	278
Precinct 7872 - None	28	423	862	472	0	0	21	451
Precinct 7873 - None	14	232	861	257	0	0	11	246
Precinct 7873 - None	26	462	861	502	0	0	14	488
Precinct 7874 - None	13	116	477	137	0	0	8	129
Precinct 7874 - None	18	231	477	256	1	0	6	249
Precinct 7875 - None	16	154	623	180	0	0	10	170
Precinct 7875 - None	31	239	623	285	0	0	15	270
Precinct 7876 - None	11	125	498	154	10	0	8	136
Precinct 7876 - None	12	245	498	269	0	0	12	257
Precinct 7901 - None	6	116	522	136	0	2	12	122
Precinct 7901 - None	16	172	522	198	0	1	9	188
Precinct 7902 - None	27	213	968	258	0	0	18	240
Precinct 7902 - None	24	366	968	401	0	0	11	390
Precinct 7903 - None	20	165	840	201	0	0	16	185
Precinct 7903 - None	19	313	840	350	0	0	18	332
Precinct 7904 - None	18	179	877	212	0	0	15	197
Precinct 7904 - None	38	347	877	403	0	0	18	385
Precinct 7905 - None	18	229	851	254	0	0	7	247
Precinct 7905 - None	33	359	851	409	1	0	16	392
Precinct 7906 - None	11	221	787	245	0	0	13	232
Precinct 7906 - None	15	311	787	335	0	0	9	326
Precinct 7907 - None	18	241	950	278	0	0	19	259
Precinct 7907 - None	13	398	950	425	0	0	14	411
Precinct 7908 - None	27	235	949	284	0	0	22	262
Precinct 7908 - None	34	355	949	408	0	0	19	389
Precinct 7909 - None	9	231	733	251	0	0	11	240
Precinct 7909 - None	12	284	733	303	0	0	7	296
Precinct 7911 - None	18	217	860	244	0	0	9	235
Precinct 7911 - None	24	358	860	395	0	0	13	382
Precinct 7912 - None	21	253	1,065	291	0	0	17	274
Precinct 7912 - None	18	424	1,065	463	0	0	21	442
Precinct 7913 - None	17	280	913	312	0	1	14	297
Precinct 7913 - None	22	342	913	378	0	0	14	364
Precinct 7914 - None	15	245	883	278	0	0	18	260
Precinct 7914 - None	20	390	883	425	0	0	15	410
Precinct 7915 - None	12	249	831	266	0	0	5	261
Precinct 7915 - None	18	322	831	351	0	0	11	340
Precinct 7916 - None	21	249	888	284	0	0	14	270
Precinct 7916 - None	23	392	888	421	0	0	6	415
Precinct 7917 - None	21	281	1,015	315	0	0	13	302
Precinct 7917 - None	27	388	1,015	428	0	0	13	415
Precinct 7918 - None	9	228	836	253	0	0	16	237
Precinct 7918 - None	13	354	836	379	0	0	12	367
Precinct 7919 - None	14	282	895	309	0	0	13	296
Precinct 7919 - None	21	339	895	376	0	0	16	360
Precinct 7921 - None	15	197	917	232	0	0	20	212
Precinct 7921 - None	33	318	917	366	0	0	15	351
Precinct 7922 - None	7	233	831	250	0	0	10	240
Precinct 7922 - None	24	346	831	383	0	0	13	370
Precinct 7923 - None	14	239	885	262	0	0	9	253
Precinct 7923 - None	26	365	885	403	0	0	12	391
Precinct 7924 - None	9	215	842	238	0	1	13	224
Precinct 7924 - None	34	334	842	382	0	0	14	368
Precinct 7925 - None	9	144	567	156	0	0	3	153
Precinct 7925 - None	16	262	567	293	0	0	15	278
Precinct 7926 - None	13	210	795	229	0	0	6	223
Precinct 7926 - None	23	354	795	390	0	0	13	377
Precinct 7927 - None	13	221	747	241	0	0	7	234
Precinct 7927 - None	15	363	747	392	0	1	13	378
Precinct 7928 - None	7	271	931	284	0	0	6	278
Precinct 7928 - None	30	441	931	489	0	0	18	471
Precinct 7929 - None	14	226	864	248	0	0	8	240
Precinct 7929 - None	23	465	864	509	1	0	20	488
Precinct 7931 - None	10	200	738	219	0	0	9	210
Precinct 7931 - None	20	374	738	408	0	0	14	394
Precinct 7932 - None	7	143	551	157	1	0	6	150
Precinct 7932 - None	16	263	551	285	0	0	6	279
Precinct 7933 MB - None	0	4	6	4	0	0	0	4
Precinct 7934 - None	11	227	890	250	0	0	12	238
Precinct 7934 - None	25	431	890	472	0	1	15	456
Precinct 7935 - None	21	278	970	305	0	0	6	299
Precinct 7935 - None	29	475	970	519	0	0	15	504
Precinct 7936 - None	13	263	856	287	0	0	11	276
Precinct 7936 - None	19	397	856	428	0	0	12	416
Precinct 7937 - None	13	235	886	267	0	0	19	248
Precinct 7937 - None	21	397	886	435	0	0	17	418
Precinct 7938 - None	14	189	788	213	0	1	9	203
Precinct 7938 - None	19	306	788	337	0	1	11	325
Precinct 7939 - None	12	239	688	254	0	0	3	251
Precinct 7939 - None	14	302	688	326	0	1	9	316
Precinct 7941 - None	9	197	751	218	0	0	12	206
Precinct 7941 - None	15	320	751	348	0	0	13	335
Precinct 7942 - None	22	224	914	259	1	0	12	246
Precinct 7942 - None	26	362	914	412	0	0	24	388
Precinct 7943 - None	22	225	872	258	4	0	7	247
Precinct 7943 - None	48	371	872	439	0	0	20	419
Precinct 7944 - None	10	223	801	243	0	0	10	233
Precinct 7944 - None	28	346	801	381	0	0	7	374
Precinct 7945 - None	14	164	915	186	0	1	7	178
Precinct 7945 - None	32	363	915	414	0	0	19	395
Precinct 7946 - None	18	156	945	183	0	0	9	174
Precinct 7946 - None	75	355	945	451	0	0	21	430
Precinct 7947 - None	20	143	946	182	0	0	19	163
Precinct 7947 - None	52	345	946	430	0	0	33	397
Precinct 7948 - None	22	181	928	210	0	0	7	203
Precinct 7948 - None	55	341	928	422	0	0	26	396
Precinct 7949 - None	14	77	569	100	0	0	9	91
Precinct 7949 - None	41	232	569	292	0	1	18	273
Precinct 7951 - None	18	134	854	166	0	0	14	152
Precinct 7951 - None	84	323	854	425	0	0	18	407
Precinct 7952 - None	29	126	866	167	0	0	12	155
Precinct 7952 - None	50	288	866	359	0	0	21	338
Precinct 7953 - None	22	155	824	186	2	1	6	177
Precinct 7953 - None	66	319	824	402	0	0	17	385
Precinct 7955 - None	34	154	902	199	0	1	10	188
Precinct 7955 - None	58	337	902	435	0	0	40	395
Precinct 7956 - None	27	98	823	136	0	0	11	125
Precinct 7956 - None	57	274	823	353	0	0	22	331
Precinct 7957 - None	14	125	646	147	0	0	8	139
Precinct 7957 - None	34	249	646	298	0	0	15	283
Precinct 7958 MB - None	22	104	290	141	0	0	15	126
Precinct 7959 - None	14	139	727	160	0	0	7	153
Precinct 7959 - None	17	292	727	326	0	0	17	309
Precinct 9001 MB - None	19	115	273	142	0	0	8	134
Precinct 9101 - None	33	213	888	260	0	1	13	246
Precinct 9101 - None	69	346	888	438	0	3	20	415
Precinct 9102 - None	45	202	985	257	0	0	10	247
Precinct 9102 - None	78	376	985	471	0	0	17	454
Precinct 9103 - None	39	215	954	273	0	0	19	254
Precinct 9103 - None	61	349	954	431	0	1	20	410
Precinct 9104 - None	26	200	988	239	0	0	13	226
Precinct 9104 - None	67	379	988	465	0	0	19	446
Precinct 9105 - None	30	206	919	247	0	0	11	236
Precinct 9105 - None	65	390	919	488	0	0	33	455
Precinct 9106 - None	30	228	937	268	1	0	9	258
Precinct 9106 - None	63	410	937	497	0	0	24	473
Precinct 9107 - None	23	188	849	219	0	0	8	211
Precinct 9107 - None	55	299	849	372	0	0	18	354
Precinct 9108 - None	21	213	790	247	0	0	13	234
Precinct 9108 - None	39	316	790	373	1	0	17	355
Precinct 9109 - None	33	214	884	263	0	0	16	247
Precinct 9109 - None	29	387	884	428	0	0	12	416
Precinct 9111 - None	26	193	779	229	0	0	10	219
Precinct 9111 - None	46	281	779	346	0	0	19	327
Precinct 9112 - None	37	231	976	284	0	0	16	268
Precinct 9112 - None	48	400	976	467	0	0	19	448
Precinct 9113 - None	40	261	999	311	0	0	10	301
Precinct 9113 - None	65	415	999	505	0	1	24	480
Precinct 9114 - None	24	229	877	263	0	0	10	253
Precinct 9114 - None	47	343	877	405	0	0	15	390
Precinct 9115 - None	17	229	911	258	0	0	12	246
Precinct 9115 - None	38	372	911	429	0	0	19	410
Precinct 9116 - None	37	234	944	281	1	0	9	271
Precinct 9116 - None	55	387	944	473	0	0	31	442
Precinct 9117 - None	29	189	783	222	0	0	4	218
Precinct 9117 - None	45	338	783	398	0	0	15	383
Precinct 9118 - None	33	235	974	286	0	0	18	268
Precinct 9118 - None	53	350	974	426	0	0	23	403
Precinct 9119 - None	32	187	891	237	0	0	18	219
Precinct 9119 - None	65	359	891	447	0	0	23	424
Precinct 9121 - None	42	202	930	256	0	0	12	244
Precinct 9121 - None	45	373	930	434	0	0	16	418
Precinct 9122 - None	28	173	953	210	0	0	9	201
Precinct 9122 - None	80	355	953	454	0	0	19	435
Precinct 9123 - None	44	177	858	232	0	0	11	221
Precinct 9123 - None	72	329	858	418	0	0	17	401
Precinct 9124 - None	19	176	874	202	0	0	7	195
Precinct 9124 - None	75	329	874	438	0	0	34	404
Precinct 9125 - None	19	180	861	210	0	0	11	199
Precinct 9125 - None	49	374	861	437	0	0	14	423
Precinct 9126 - None	30	205	1,015	245	0	0	10	235
Precinct 9126 - None	72	431	1,015	533	0	0	30	503
Precinct 9127 - None	33	222	960	269	0	0	14	255
Precinct 9127 - None	56	419	960	498	0	0	23	475
Precinct 9128 - None	26	210	828	248	0	0	12	236
Precinct 9128 - None	62	339	828	412	0	0	11	401
Precinct 9129 - None	31	200	741	243	0	0	12	231
Precinct 9129 - None	40	294	741	348	0	1	13	334
Precinct 9131 - None	19	166	759	193	0	0	8	185
Precinct 9131 - None	56	335	759	403	0	0	12	391
Precinct 9132 - None	23	212	837	248	0	0	13	235
Precinct 9132 - None	28	322	837	371	0	0	21	350
Precinct 9133 - None	24	238	1,021	271	0	0	9	262
Precinct 9133 - None	61	427	1,021	503	0	0	15	488
Precinct 9134 - None	18	177	893	210	0	0	15	195
Precinct 9134 - None	56	392	893	469	0	0	21	448
Precinct 9135 - None	39	164	808	215	0	0	12	203
Precinct 9135 - None	90	282	808	389	0	0	17	372
Precinct 9136 - None	29	208	929	253	0	0	16	237
Precinct 9136 - None	54	360	929	439	0	0	25	414
Precinct 9137 - None	39	208	1,006	260	0	0	13	247
Precinct 9137 - None	54	387	1,006	467	0	0	26	441
Precinct 9138 - None	24	185	943	226	1	0	16	209
Precinct 9138 - None	65	395	943	477	1	0	16	460
Precinct 9139 - None	34	201	975	243	0	0	8	235
Precinct 9139 - None	87	403	975	510	0	0	20	490
Precinct 9141 - None	36	202	953	252	0	0	14	238
Precinct 9141 - None	63	394	953	477	0	0	20	457
Precinct 9142 - None	20	244	966	276	0	0	12	264
Precinct 9142 - None	34	406	966	459	0	0	19	440
Precinct 9143 - None	25	212	920	251	0	0	14	237
Precinct 9143 - None	78	362	920	463	0	0	23	440
Precinct 9144 - None	26	258	962	293	0	0	9	284
Precinct 9144 - None	67	392	962	482	0	0	23	459
Precinct 9145 - None	32	202	861	249	1	0	14	234
Precinct 9145 - None	56	352	861	423	0	0	15	408
Precinct 9146 - None	28	201	885	245	0	0	16	229
Precinct 9146 - None	42	402	885	464	0	0	20	444
Precinct 9147 - None	19	243	971	281	0	0	19	262
Precinct 9147 - None	49	429	971	492	0	0	14	478
Precinct 9148 - None	30	287	1,034	325	0	0	8	317
Precinct 9148 - None	58	439	1,034	513	0	0	16	497
Precinct 9149 - None	25	229	948	264	0	0	10	254
Precinct 9149 - None	44	419	948	478	0	0	15	463
Precinct 9151 - None	27	190	872	227	0	0	10	217
Precinct 9151 - None	51	356	872	418	0	0	11	407
Precinct 9152 - None	23	235	721	270	0	0	12	258
Precinct 9152 - None	21	250	721	279	0	0	8	271
Precinct 9201 - None	37	255	1,004	300	0	0	8	292
Precinct 9201 - None	55	407	1,004	475	0	0	13	462
Precinct 9202 - None	39	242	971	294	0	1	12	281
Precinct 9202 - None	56	357	971	426	0	0	13	413
Precinct 9203 - None	72	152	1,002	239	0	0	15	224
Precinct 9203 - None	129	374	1,002	536	0	0	33	503
Precinct 9204 - None	76	182	873	273	0	0	15	258
Precinct 9204 - None	109	268	873	393	0	0	16	377
Precinct 9205 - None	35	158	728	208	0	0	15	193
Precinct 9205 - None	60	295	728	376	0	0	21	355
Precinct 9206 - None	78	155	931	249	0	0	16	233
Precinct 9206 - None	133	322	931	479	0	0	24	455
Precinct 9207 - None	69	172	981	262	0	0	21	241
Precinct 9207 - None	121	346	981	502	0	0	35	467
Precinct 9208 - None	59	210	1,002	287	0	0	18	269
Precinct 9208 - None	102	352	1,002	491	0	0	37	454
Precinct 9209 - None	60	171	711	245	0	0	14	231
Precinct 9209 - None	81	229	711	327	0	0	17	310
Precinct 9211 - None	41	176	889	234	0	0	17	217
Precinct 9211 - None	101	306	889	432	0	0	25	407
Precinct 9212 - None	42	175	803	234	0	1	16	217
Precinct 9212 - None	83	292	803	400	0	0	25	375
Precinct 9213 - None	48	199	951	264	0	1	16	247
Precinct 9213 - None	93	388	951	508	0	0	27	481
Precinct 9214 - None	42	110	640	166	0	0	14	152
Precinct 9214 - None	80	237	640	334	0	0	17	317
Precinct 9215 - None	48	130	652	194	0	0	16	178
Precinct 9215 - None	66	237	652	327	0	0	24	303
Precinct 9216 - None	45	193	845	246	0	0	8	238
Precinct 9216 - None	81	268	845	379	0	0	30	349
Precinct 9217 - None	48	135	698	194	0	0	11	183
Precinct 9217 - None	73	245	698	349	0	0	31	318
Precinct 9218 - None	58	180	841	249	0	0	11	238
Precinct 9218 - None	97	285	841	412	0	0	30	382
Precinct 9219 - None	43	184	802	242	0	0	15	227
Precinct 9219 - None	62	317	802	399	0	0	20	379
Precinct 9221 - None	39	94	651	145	0	0	12	133
Precinct 9221 - None	107	269	651	399	0	0	23	376
Precinct 9222 - None	45	181	883	249	0	0	23	226
Precinct 9222 - None	99	325	883	449	0	0	25	424
Precinct 9223 - None	32	112	638	160	0	0	16	144
Precinct 9223 - None	75	240	638	338	0	0	23	315
Precinct 9224 - None	58	182	960	263	0	0	23	240
Precinct 9224 - None	101	371	960	506	0	0	34	472
Precinct 9225 - None	61	224	958	299	0	0	14	285
Precinct 9225 - None	83	362	958	469	0	0	24	445
Precinct 9226 - None	69	180	926	271	0	0	22	249
Precinct 9226 - None	87	376	926	486	0	0	23	463
Precinct 9227 - None	33	142	738	188	0	0	13	175
Precinct 9227 - None	73	306	738	404	0	0	25	379
Precinct 9228 - None	37	141	747	189	0	0	11	178
Precinct 9228 - None	88	316	747	424	0	0	20	404
Precinct 9229 - None	28	122	598	162	0	0	12	150
Precinct 9229 - None	62	243	598	316	0	0	11	305
Precinct 9231 - None	20	277	953	313	0	0	16	297
Precinct 9231 - None	57	404	953	488	0	0	27	461
Precinct 9232 - None	40	156	735	212	0	0	16	196
Precinct 9232 - None	61	322	735	396	0	0	13	383
Precinct 9233 - None	41	152	793	209	0	0	16	193
Precinct 9233 - None	90	316	793	434	0	0	28	406
Precinct 9234 - None	28	146	746	187	0	0	13	174
Precinct 9234 - None	87	331	746	438	0	0	20	418
Precinct 9235 - None	50	177	884	239	0	0	12	227
Precinct 9235 - None	112	351	884	488	0	0	25	463
Precinct 9236 - None	43	149	683	201	0	0	9	192
Precinct 9236 - None	54	281	683	358	0	0	23	335
Precinct 9237 - None	38	173	936	229	0	0	18	211
Precinct 9237 - None	87	416	936	539	0	0	36	503
Precinct 9238 - None	47	163	842	230	0	0	20	210
Precinct 9238 - None	104	323	842	456	0	0	29	427
Precinct 9239 - None	43	140	881	200	0	0	17	183
Precinct 9239 - None	93	379	881	499	0	0	27	472
Precinct 9241 - None	43	194	1,005	255	0	0	18	237
Precinct 9241 - None	100	458	1,005	578	0	0	20	558
Precinct 9242 - None	62	203	972	277	0	0	12	265
Precinct 9242 - None	83	409	972	513	0	0	21	492
Precinct 9243 - None	34	150	594	193	0	0	9	184
Precinct 9243 - None	40	253	594	307	0	0	14	293
Precinct 9244 - None	31	211	903	255	0	0	13	242
Precinct 9244 - None	51	405	903	485	0	0	29	456
Precinct 9245 - None	33	169	742	209	0	0	7	202
Precinct 9245 - None	42	312	742	375	0	0	21	354
Precinct 9246 - None	33	205	929	257	0	0	19	238
Precinct 9246 - None	75	426	929	528	0	1	26	501
Precinct 9247 - None	44	205	927	264	0	0	15	249
Precinct 9247 - None	84	417	927	515	0	0	14	501
Precinct 9248 - None	35	214	907	258	0	0	9	249
Precinct 9248 - None	63	402	907	487	0	0	22	465
Precinct 9249 - None	31	227	917	271	0	0	13	258
Precinct 9249 - None	74	389	917	495	0	0	32	463
Precinct 9251 - None	34	233	995	287	0	0	20	267
Precinct 9251 - None	68	438	995	530	0	0	24	506
Precinct 9252 - None	30	183	944	219	0	0	6	213
Precinct 9252 - None	81	445	944	550	0	0	24	526
Precinct 9253 - None	43	133	772	187	0	0	11	176
Precinct 9253 - None	69	307	772	397	0	0	21	376
Precinct 9254 - None	26	195	935	230	0	0	9	221
Precinct 9254 - None	57	459	935	538	0	0	22	516
Precinct 9255 - None	24	145	553	183	0	0	14	169
Precinct 9255 - None	24	226	553	263	0	0	13	250
Precinct 9256 - None	12	116	474	130	0	0	2	128
Precinct 9256 - None	26	199	474	233	0	0	8	225
Precinct 9257 MB - None	18	209	321	235	0	0	8	227
Precinct 9258 - None	17	172	712	193	0	0	4	189
Precinct 9258 - None	45	315	712	373	0	0	13	360
Precinct 9401 - None	21	257	1,012	293	0	0	15	278
Precinct 9401 - None	47	412	1,012	484	0	0	25	459
Precinct 9402 - None	25	243	977	290	0	0	22	268
Precinct 9402 - None	53	380	977	458	0	0	25	433
Precinct 9403 - None	32	196	897	240	0	0	12	228
Precinct 9403 - None	61	339	897	419	0	0	19	400
Precinct 9404 - None	21	165	930	200	0	0	14	186
Precinct 9404 - None	60	380	930	462	0	0	22	440
Precinct 9405 - None	39	162	786	210	0	1	8	201
Precinct 9405 - None	49	293	786	364	0	0	22	342
Precinct 9406 - None	38	185	868	244	0	0	21	223
Precinct 9406 - None	53	349	868	421	0	1	18	402
Precinct 9407 - None	34	209	889	253	0	0	10	243
Precinct 9407 - None	39	347	889	409	0	0	23	386
Precinct 9408 - None	23	230	886	265	0	0	12	253
Precinct 9408 - None	33	362	886	415	0	0	20	395
Precinct 9409 - None	10	185	590	201	0	0	6	195
Precinct 9409 - None	22	216	590	252	0	0	14	238
Precinct 9411 - None	18	241	956	271	0	0	12	259
Precinct 9411 - None	41	379	956	431	0	0	11	420
Precinct 9412 - None	27	206	848	245	0	0	12	233
Precinct 9412 - None	46	303	848	380	0	0	31	349
Precinct 9413 - None	25	191	894	229	0	0	13	216
Precinct 9413 - None	61	377	894	461	0	0	23	438
Precinct 9414 - None	42	167	916	216	0	0	7	209
Precinct 9414 - None	56	383	916	463	0	0	24	439
Precinct 9415 - None	32	140	784	187	0	0	15	172
Precinct 9415 - None	63	309	784	392	0	0	20	372
Precinct 9416 - None	40	229	1,008	282	1	0	12	269
Precinct 9416 - None	47	413	1,008	480	1	0	19	460
Precinct 9417 - None	27	133	752	175	0	0	15	160
Precinct 9417 - None	63	312	752	402	0	0	27	375
Precinct 9418 - None	41	154	790	211	0	0	16	195
Precinct 9418 - None	66	274	790	376	0	0	36	340
Precinct 9419 - None	41	158	924	222	0	0	23	199
Precinct 9419 - None	97	349	924	468	0	0	22	446
Precinct 9421 - None	37	189	906	238	0	0	12	226
Precinct 9421 - None	75	337	906	446	0	1	33	412
Precinct 9422 - None	46	215	1,056	283	0	0	22	261
Precinct 9422 - None	100	385	1,056	513	0	0	28	485
Precinct 9423 - None	32	173	889	219	0	0	14	205
Precinct 9423 - None	41	377	889	440	0	0	22	418
Precinct 9424 - None	30	178	952	224	0	0	16	208
Precinct 9424 - None	63	407	952	496	0	0	26	470
Precinct 9425 - None	25	162	933	199	0	0	12	187
Precinct 9425 - None	80	356	933	465	0	0	29	436
Precinct 9426 - None	20	161	823	198	0	0	17	181
Precinct 9426 - None	79	300	823	408	0	0	29	379
Precinct 9427 - None	29	161	948	210	0	1	19	190
Precinct 9427 - None	92	326	948	447	0	0	29	418
Precinct 9428 - None	31	142	961	183	0	0	10	173
Precinct 9428 - None	85	412	961	518	0	0	21	497
Precinct 9429 - None	41	168	899	228	1	0	18	209
Precinct 9429 - None	66	347	899	432	0	0	19	413
Precinct 9431 - None	28	194	973	235	0	0	13	222
