Subtotal Area	NICK JOSEFOWITZ	JOHN DENNIS	SCHUYLER HUDAK	CATHERINE STEFANI	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
Precinct 9245 - None	85	9	18	63	742	209	1	1	29	0	178	3
Precinct 9245 - None	145	20	35	129	742	375	7	0	35	0	333	4
Precinct 9246 - None	105	12	27	76	929	257	0	0	36	0	221	1
Precinct 9246 - None	186	35	45	188	929	528	10	2	62	0	454	0
Precinct 9247 - None	103	15	25	78	927	264	1	1	40	0	222	1
Precinct 9247 - None	180	34	57	179	927	515	6	1	58	0	450	0
Precinct 9248 - None	102	10	28	73	907	258	1	0	43	0	214	1
Precinct 9248 - None	178	37	44	172	907	487	5	1	46	0	435	4
Precinct 9249 - None	87	20	31	91	917	271	0	0	41	0	230	1
Precinct 9249 - None	152	41	42	201	917	495	12	2	43	0	438	2
Precinct 9251 - None	81	15	28	118	995	287	-1	1	44	0	243	1
Precinct 9251 - None	162	42	47	199	995	530	13	1	66	0	450	0
Precinct 9252 - None	64	17	14	89	944	219	0	0	34	0	185	1
Precinct 9252 - None	154	33	58	242	944	550	9	1	50	0	490	3
Precinct 9253 - None	74	16	23	52	772	187	1	1	19	0	166	1
Precinct 9253 - None	132	35	33	153	772	397	0	3	39	0	355	2
Precinct 9254 - None	85	6	24	86	935	230	0	0	29	0	201	0
Precinct 9254 - None	199	25	43	226	935	538	2	0	43	0	493	0
Precinct 9255 - None	71	11	15	54	553	183	1	0	31	0	151	0
Precinct 9255 - None	96	13	24	85	553	263	6	0	38	0	219	1
Precinct 9256 - None	52	2	17	36	474	130	0	0	23	0	107	0
Precinct 9256 - None	81	11	31	84	474	233	0	1	25	0	207	0
Precinct 9257 MB - None	72	5	37	79	321	235	4	0	37	0	194	1
Precinct 9258 - None	60	7	22	78	712	193	0	0	26	0	167	0
Precinct 9258 - None	101	32	25	166	712	373	3	0	46	0	324	0
Congressional District 12	13,617	3,095	4,132	14,378	50,394	40,402	496	76	4,515	0	35,315	93
Assembly District 17	1,922	411	540	1,940	6,916	5,560	54	17	666	0	4,823	10
Assembly District 19	11,695	2,684	3,592	12,438	43,478	34,842	442	59	3,849	0	30,492	83
BART District 8	12,470	2,921	3,795	13,173	46,248	37,097	467	67	4,118	0	32,445	86
BART District 9	1,147	174	337	1,205	4,146	3,305	29	9	397	0	2,870	7
Supervisorial District 2	13,617	3,095	4,132	14,378	50,394	40,402	496	76	4,515	0	35,315	93
Laurel Heights/Anza Vista	1,234	282	362	1,528	4,893	3,948	44	9	477	0	3,418	12
Marina Pacific Heights	10,243	2,378	3,129	10,377	37,577	29,987	394	53	3,351	0	26,189	62
Sea Cliff/Presidio Heights	1,649	385	486	1,959	6,194	5,087	52	13	525	0	4,497	18
Western Addition	491	50	155	514	1,730	1,380	6	1	162	0	1,211	1
