Subtotal Area	DAVID CHIU	ALEJANDRO FERNANDEZ	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted
Precinct 7039 - Vote By Mail	205	66	784	306	0	0	35	271
Precinct 7041 MB - Vote By Mail	17	9	61	33	0	0	7	26
Precinct 7042 - Election Day	66	36	639	118	0	0	16	102
Precinct 7042 - Vote By Mail	169	57	639	258	0	0	32	226
Precinct 7043 - Election Day	96	61	957	176	0	0	19	157
Precinct 7043 - Vote By Mail	273	91	957	404	0	1	39	364
Precinct 7044 - Election Day	79	63	827	167	0	2	23	142
Precinct 7044 - Vote By Mail	110	61	827	193	0	1	21	171
Precinct 7045 - Election Day	62	27	779	120	0	0	31	89
Precinct 7045 - Vote By Mail	222	84	779	344	0	0	38	306
Precinct 7046 - Election Day	43	39	402	94	0	0	12	82
Precinct 7046 - Vote By Mail	123	34	402	175	0	0	18	157
Precinct 7047 - Election Day	65	38	823	119	0	0	16	103
Precinct 7047 - Vote By Mail	269	81	823	388	0	0	38	350
Precinct 7048 - Election Day	81	43	858	150	3	0	23	124
Precinct 7048 - Vote By Mail	223	72	858	318	0	0	23	295
Precinct 7049 - Election Day	99	48	792	173	0	1	25	147
Precinct 7049 - Vote By Mail	188	75	792	305	0	0	42	263
Precinct 7051 - Election Day	67	32	861	114	0	0	15	99
Precinct 7051 - Vote By Mail	227	84	861	380	0	0	69	311
Precinct 7052 - Election Day	96	38	852	161	0	1	26	134
Precinct 7052 - Vote By Mail	263	80	852	402	0	0	59	343
Precinct 7053 - Election Day	62	30	548	102	0	0	10	92
Precinct 7053 - Vote By Mail	211	45	548	278	0	0	22	256
Precinct 7054 - Election Day	119	77	1,073	215	0	0	19	196
Precinct 7054 - Vote By Mail	268	92	1,073	410	0	0	50	360
Precinct 7055 - Election Day	119	44	808	190	0	1	26	163
Precinct 7055 - Vote By Mail	290	93	808	440	0	0	57	383
Precinct 7101 MB - Vote By Mail	86	20	155	120	1	0	13	106
Precinct 7201 - Election Day	148	57	936	245	0	0	40	205
Precinct 7201 - Vote By Mail	347	88	936	518	0	1	82	435
Precinct 7202 - Election Day	143	54	850	227	0	0	30	197
Precinct 7202 - Vote By Mail	274	92	850	431	0	1	64	366
Precinct 7203 - Election Day	190	67	921	291	1	1	32	257
Precinct 7203 - Vote By Mail	280	74	921	423	0	0	69	354
Precinct 7204 - Election Day	129	59	918	233	0	0	45	188
Precinct 7204 - Vote By Mail	358	103	918	531	0	0	70	461
Precinct 7205 - Election Day	149	53	875	251	0	0	49	202
Precinct 7205 - Vote By Mail	305	108	875	485	0	0	72	413
Precinct 7206 - Election Day	90	29	378	135	0	0	16	119
Precinct 7206 - Vote By Mail	131	36	378	191	0	0	24	167
Precinct 7207 - Election Day	116	49	812	196	0	0	31	165
Precinct 7207 - Vote By Mail	293	77	812	434	0	0	64	370
Precinct 7208 - Election Day	72	28	600	111	0	0	11	100
Precinct 7208 - Vote By Mail	215	71	600	328	0	0	42	286
Precinct 7209 - Election Day	73	20	626	107	0	0	14	93
Precinct 7209 - Vote By Mail	316	48	626	423	0	1	58	364
Precinct 7301 - Election Day	137	59	1,016	228	0	0	32	196
Precinct 7301 - Vote By Mail	300	83	1,016	435	0	1	51	383
Precinct 7302 - Election Day	110	51	814	188	0	0	27	161
Precinct 7302 - Vote By Mail	340	69	814	458	0	0	49	409
Precinct 7303 - Election Day	172	54	1,042	281	0	0	55	226
Precinct 7303 - Vote By Mail	333	91	1,042	482	0	1	57	424
Precinct 7304 - Election Day	191	55	1,002	278	0	0	32	246
Precinct 7304 - Vote By Mail	347	83	1,002	493	0	0	63	430
Precinct 7305 - Election Day	151	59	871	240	0	0	30	210
Precinct 7305 - Vote By Mail	306	100	871	460	0	0	54	406
Precinct 7306 - Election Day	194	80	1,056	317	0	0	43	274
Precinct 7306 - Vote By Mail	309	116	1,056	498	0	0	73	425
Precinct 7307 - Election Day	133	48	767	210	0	0	29	181
Precinct 7307 - Vote By Mail	230	75	767	346	0	0	41	305
Precinct 7308 - Election Day	115	43	603	177	0	0	19	158
Precinct 7308 - Vote By Mail	211	59	603	313	0	0	43	270
Precinct 7309 - Election Day	153	78	884	263	0	0	32	231
Precinct 7309 - Vote By Mail	271	94	884	439	0	0	74	365
Precinct 7311 - Election Day	178	61	917	268	0	0	29	239
Precinct 7311 - Vote By Mail	312	88	917	448	0	0	48	400
Precinct 7312 - Election Day	134	45	821	203	0	0	24	179
Precinct 7312 - Vote By Mail	322	76	821	470	0	0	72	398
Precinct 7313 - Election Day	139	60	968	225	1	0	25	199
Precinct 7313 - Vote By Mail	334	99	968	485	0	0	52	433
Precinct 7314 - Election Day	64	42	787	125	0	0	19	106
Precinct 7314 - Vote By Mail	179	42	787	271	0	0	50	221
Precinct 7315 - Election Day	125	65	760	220	0	0	30	190
Precinct 7315 - Vote By Mail	180	62	760	282	0	1	39	242
Precinct 7316 - Election Day	126	50	853	205	0	0	29	176
Precinct 7316 - Vote By Mail	214	92	853	367	0	0	61	306
Precinct 7317 - Election Day	122	44	904	189	0	0	23	166
Precinct 7317 - Vote By Mail	303	93	904	454	0	0	58	396
Precinct 7318 - Election Day	107	38	727	179	0	0	34	145
Precinct 7318 - Vote By Mail	268	72	727	390	0	0	50	340
Precinct 7319 - Election Day	193	71	1,079	301	0	0	37	264
Precinct 7319 - Vote By Mail	345	96	1,079	516	0	1	74	441
Precinct 7321 - Election Day	93	30	671	149	0	0	26	123
Precinct 7321 - Vote By Mail	198	49	671	286	0	0	39	247
Precinct 7322 - Election Day	37	13	874	65	0	1	14	50
Precinct 7322 - Vote By Mail	247	33	874	337	0	0	57	280
Precinct 7323 - Election Day	153	60	950	234	0	0	21	213
Precinct 7323 - Vote By Mail	314	86	950	455	0	0	55	400
Precinct 7324 - Election Day	115	50	755	190	0	0	25	165
Precinct 7324 - Vote By Mail	250	74	755	364	0	1	39	324
Precinct 7325 - Election Day	152	51	904	243	0	0	40	203
Precinct 7325 - Vote By Mail	311	55	904	436	0	0	70	366
Precinct 7326 - Election Day	135	40	876	200	0	0	25	175
Precinct 7326 - Vote By Mail	285	85	876	430	0	0	60	370
Precinct 7327 - Election Day	45	8	699	71	0	0	18	53
Precinct 7327 - Vote By Mail	174	58	699	276	0	0	44	232
Precinct 7328 - Election Day	56	18	973	94	0	0	20	74
Precinct 7328 - Vote By Mail	284	55	973	394	0	0	55	339
Precinct 7329 - Election Day	58	38	640	112	0	0	16	96
Precinct 7329 - Vote By Mail	225	47	640	321	0	0	49	272
Precinct 7331 - Election Day	135	53	852	213	0	2	23	188
Precinct 7331 - Vote By Mail	338	66	852	461	0	0	57	404
Precinct 7332 - Election Day	126	66	834	225	0	0	33	192
Precinct 7332 - Vote By Mail	243	70	834	364	0	0	51	313
Precinct 7333 - Election Day	165	93	1,044	298	0	0	40	258
Precinct 7333 - Vote By Mail	371	95	1,044	543	0	0	77	466
Precinct 7334 - Election Day	112	48	881	199	0	1	38	160
Precinct 7334 - Vote By Mail	328	78	881	462	0	0	56	406
Precinct 7335 - Election Day	144	56	970	225	0	0	25	200
Precinct 7335 - Vote By Mail	345	101	970	523	0	0	77	446
Precinct 7336 - Election Day	134	64	955	238	0	0	40	198
Precinct 7336 - Vote By Mail	326	103	955	523	0	1	93	429
Precinct 7337 - Election Day	113	40	851	179	0	0	26	153
Precinct 7337 - Vote By Mail	312	82	851	464	0	1	69	394
Precinct 7338 - Election Day	98	39	915	153	0	0	16	137
Precinct 7338 - Vote By Mail	301	65	915	426	0	0	60	366
Precinct 7339 - Election Day	101	46	669	174	0	0	27	147
Precinct 7339 - Vote By Mail	214	67	669	309	0	0	28	281
Precinct 7341 - Election Day	151	75	908	260	0	0	34	226
Precinct 7341 - Vote By Mail	254	90	908	401	0	0	57	344
Precinct 7342 - Election Day	194	95	947	334	0	0	45	289
Precinct 7342 - Vote By Mail	262	89	947	414	0	0	63	351
Precinct 7343 - Election Day	132	67	731	234	0	0	35	199
Precinct 7343 - Vote By Mail	207	70	731	316	0	0	39	277
Precinct 7344 - Election Day	192	62	1,110	291	0	0	37	254
Precinct 7344 - Vote By Mail	343	133	1,110	538	0	0	62	476
Precinct 7345 - Election Day	200	88	1,141	329	1	0	40	288
Precinct 7345 - Vote By Mail	346	122	1,141	521	0	0	53	468
Precinct 7346 - Election Day	149	66	920	250	0	0	35	215
Precinct 7346 - Vote By Mail	234	108	920	384	0	0	42	342
Precinct 7347 - Election Day	134	70	1,040	241	0	1	36	204
Precinct 7347 - Vote By Mail	337	90	1,040	480	0	2	51	427
Precinct 7348 - Election Day	133	49	861	210	0	0	28	182
Precinct 7348 - Vote By Mail	232	71	861	353	0	0	50	303
Precinct 7349 - Election Day	147	68	957	248	0	0	33	215
Precinct 7349 - Vote By Mail	280	82	957	427	0	0	65	362
Precinct 7501 - Election Day	115	37	565	172	0	1	19	152
Precinct 7501 - Vote By Mail	202	59	565	308	0	0	47	261
Precinct 7502 - Election Day	102	47	784	180	1	0	30	149
Precinct 7502 - Vote By Mail	289	82	784	447	0	2	74	371
Precinct 7503 - Election Day	128	53	764	208	0	0	27	181
Precinct 7503 - Vote By Mail	255	81	764	388	0	0	52	336
Precinct 7504 - Election Day	74	19	503	112	0	0	19	93
Precinct 7504 - Vote By Mail	170	30	503	222	0	0	22	200
Precinct 7505 - Election Day	104	28	869	158	0	1	25	132
Precinct 7505 - Vote By Mail	398	74	869	532	0	1	59	472
Precinct 7506 - Election Day	135	67	999	226	0	0	24	202
Precinct 7506 - Vote By Mail	295	110	999	473	0	0	68	405
Precinct 7507 - Election Day	133	44	955	211	0	1	33	177
Precinct 7507 - Vote By Mail	252	59	955	344	0	0	33	311
Precinct 7508 - Election Day	93	34	727	154	0	0	27	127
Precinct 7508 - Vote By Mail	309	60	727	427	0	0	58	369
Precinct 7509/7511 - Election Day	145	50	932	235	2	1	37	195
Precinct 7509/7511 - Vote By Mail	326	97	932	470	1	0	46	423
Precinct 7512 - Election Day	78	29	612	150	0	0	43	107
Precinct 7512 - Vote By Mail	168	65	612	283	0	1	49	233
Precinct 7513 - Election Day	125	55	818	225	0	1	44	180
Precinct 7513 - Vote By Mail	206	71	818	315	0	2	36	277
Precinct 7514 - Election Day	90	34	874	140	0	0	16	124
Precinct 7514 - Vote By Mail	202	56	874	305	0	2	45	258
Precinct 7515 - Election Day	119	59	869	212	0	0	34	178
Precinct 7515 - Vote By Mail	275	74	869	389	0	0	40	349
Precinct 7516 - Election Day	120	36	922	172	0	1	15	156
Precinct 7516 - Vote By Mail	358	111	922	538	0	2	67	469
Precinct 7517 - Election Day	187	67	863	289	0	1	34	254
Precinct 7517 - Vote By Mail	269	87	863	410	0	0	54	356
Precinct 7518 - Election Day	199	62	950	309	0	1	47	261
Precinct 7518 - Vote By Mail	304	94	950	480	0	0	82	398
Precinct 7519 - Election Day	134	54	737	224	0	0	36	188
Precinct 7519 - Vote By Mail	216	72	737	355	0	0	67	288
Precinct 7521 - Election Day	188	61	812	292	0	0	43	249
Precinct 7521 - Vote By Mail	252	62	812	354	0	0	40	314
Precinct 7522 - Election Day	130	54	764	207	0	0	23	184
Precinct 7522 - Vote By Mail	280	67	764	397	0	0	50	347
Precinct 7523 - Election Day	158	68	747	275	0	0	49	226
Precinct 7523 - Vote By Mail	246	59	747	359	0	0	54	305
Precinct 7524 - Election Day	109	36	615	181	0	0	36	145
Precinct 7524 - Vote By Mail	176	58	615	262	0	0	28	234
