Subtotal Area	DAVID CHIU	ALEJANDRO FERNANDEZ	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted
Precinct 7653 - Vote By Mail	454	119	1,280	673	0	1	99	573
Precinct 7701 - Election Day	176	65	1,064	296	0	0	55	241
Precinct 7701 - Vote By Mail	388	110	1,064	597	0	0	99	498
Precinct 7702 - Election Day	119	35	748	180	0	0	26	154
Precinct 7702 - Vote By Mail	314	51	748	415	0	0	50	365
Precinct 7703 MB - Vote By Mail	51	18	171	79	0	1	9	69
Precinct 7704 - Election Day	157	57	1,008	257	0	0	43	214
Precinct 7704 - Vote By Mail	402	104	1,008	557	0	0	51	506
Precinct 7705 - Election Day	103	24	568	149	0	0	22	127
Precinct 7705 - Vote By Mail	229	59	568	335	0	1	46	288
Precinct 7706 - Election Day	179	46	840	252	0	0	27	225
Precinct 7706 - Vote By Mail	313	81	840	467	0	0	73	394
Precinct 7707 - Election Day	171	45	857	241	1	0	24	216
Precinct 7707 - Vote By Mail	364	73	857	495	0	0	58	437
Precinct 7708 - Election Day	146	40	871	205	0	0	19	186
Precinct 7708 - Vote By Mail	416	79	871	540	0	0	45	495
Precinct 7709 - Election Day	51	30	391	102	0	0	21	81
Precinct 7709 - Vote By Mail	150	49	391	222	0	0	23	199
Precinct 7711 - Election Day	129	37	766	198	0	0	32	166
Precinct 7711 - Vote By Mail	301	63	766	422	0	0	58	364
Precinct 7712 - Election Day	100	31	529	149	0	0	18	131
Precinct 7712 - Vote By Mail	199	62	529	296	0	0	35	261
Precinct 7801 - Election Day	174	60	1,001	264	1	0	29	234
Precinct 7801 - Vote By Mail	418	100	1,001	596	0	0	78	518
Precinct 7802 - Election Day	146	40	788	230	0	0	44	186
Precinct 7802 - Vote By Mail	317	80	788	458	0	0	61	397
Precinct 7803 - Election Day	125	21	828	174	0	0	28	146
Precinct 7803 - Vote By Mail	407	92	828	552	0	0	53	499
Precinct 7804 - Election Day	183	45	893	257	0	0	29	228
Precinct 7804 - Vote By Mail	377	75	893	533	0	0	81	452
Precinct 7805 - Election Day	159	45	825	228	0	0	24	204
Precinct 7805 - Vote By Mail	360	82	825	484	0	0	42	442
Precinct 7806 - Election Day	141	38	716	208	2	0	27	179
Precinct 7806 - Vote By Mail	274	75	716	407	0	0	58	349
Precinct 7807 - Election Day	185	54	844	276	0	0	37	239
Precinct 7807 - Vote By Mail	292	69	844	417	0	1	55	361
Precinct 7808 - Election Day	138	46	655	211	0	0	27	184
Precinct 7808 - Vote By Mail	229	40	655	333	0	0	64	269
Precinct 7809 - Election Day	146	55	781	238	0	1	36	201
Precinct 7809 - Vote By Mail	283	77	781	405	0	0	45	360
Precinct 7811 - Election Day	156	61	783	249	0	0	32	217
Precinct 7811 - Vote By Mail	267	91	783	404	0	0	46	358
Precinct 7812 - Election Day	155	65	877	257	0	0	37	220
Precinct 7812 - Vote By Mail	329	67	877	454	0	0	58	396
Precinct 7813 - Election Day	191	67	1,064	308	1	0	49	258
Precinct 7813 - Vote By Mail	435	75	1,064	585	0	0	75	510
Precinct 7814 - Election Day	119	75	936	228	0	0	34	194
Precinct 7814 - Vote By Mail	224	86	936	341	0	1	30	310
Precinct 7815 - Election Day	158	49	954	238	0	1	30	207
Precinct 7815 - Vote By Mail	426	86	954	573	0	0	61	512
Precinct 7816 - Election Day	170	45	865	236	0	0	21	215
Precinct 7816 - Vote By Mail	420	58	865	531	1	0	52	478
Precinct 7817 - Election Day	184	60	823	277	0	1	32	244
Precinct 7817 - Vote By Mail	320	60	823	439	0	1	58	380
Precinct 7818 - Election Day	150	57	860	234	0	0	27	207
Precinct 7818 - Vote By Mail	330	63	860	452	2	0	57	393
Precinct 7819 - Election Day	111	49	793	191	0	1	30	160
Precinct 7819 - Vote By Mail	299	67	793	420	0	0	54	366
Precinct 7821 - Election Day	175	35	985	248	0	0	38	210
Precinct 7821 - Vote By Mail	458	101	985	630	0	0	71	559
Precinct 7822 - Election Day	190	60	908	275	0	0	25	250
Precinct 7822 - Vote By Mail	338	92	908	480	0	1	49	430
Precinct 7823 - Election Day	195	47	879	270	6	0	22	242
Precinct 7823 - Vote By Mail	367	77	879	501	0	0	57	444
Precinct 7824 - Election Day	170	42	768	247	0	1	34	212
Precinct 7824 - Vote By Mail	285	49	768	383	0	1	48	334
Precinct 7825 - Election Day	124	43	597	191	0	0	24	167
Precinct 7825 - Vote By Mail	213	52	597	302	0	0	37	265
Precinct 7826 - Election Day	171	54	684	258	0	0	33	225
Precinct 7826 - Vote By Mail	212	54	684	319	0	0	53	266
Precinct 7827 - Election Day	154	65	831	261	0	0	42	219
Precinct 7827 - Vote By Mail	217	87	831	361	0	0	57	304
Precinct 7828 - Election Day	174	57	1,018	261	0	0	30	231
Precinct 7828 - Vote By Mail	387	105	1,018	549	0	0	57	492
Precinct 7829 - Election Day	163	51	907	237	1	0	22	214
Precinct 7829 - Vote By Mail	421	100	907	557	0	0	36	521
Precinct 7831 - Election Day	174	36	882	233	0	0	23	210
Precinct 7831 - Vote By Mail	412	85	882	544	0	0	47	497
Precinct 7832 - Election Day	138	32	780	188	0	0	18	170
Precinct 7832 - Vote By Mail	371	71	780	488	0	0	46	442
Precinct 7833 - Election Day	134	54	747	230	0	0	42	188
Precinct 7833 - Vote By Mail	280	70	747	412	0	0	62	350
Precinct 7834 - Election Day	174	56	867	277	0	1	46	230
Precinct 7834 - Vote By Mail	289	86	867	439	0	0	64	375
Precinct 7835 - Election Day	139	40	847	211	0	0	32	179
Precinct 7835 - Vote By Mail	373	78	847	505	1	0	53	451
Precinct 7836 - Election Day	170	57	1,023	260	0	0	33	227
Precinct 7836 - Vote By Mail	451	117	1,023	623	0	0	55	568
Precinct 7837 - Election Day	185	52	911	260	0	0	23	237
Precinct 7837 - Vote By Mail	373	73	911	509	2	0	61	446
Precinct 7838 - Election Day	177	38	926	239	0	0	24	215
Precinct 7838 - Vote By Mail	406	68	926	546	0	0	72	474
Precinct 7839 - Election Day	139	41	842	205	0	0	25	180
Precinct 7839 - Vote By Mail	378	73	842	515	0	0	64	451
Precinct 7841 - Election Day	192	51	937	291	0	0	48	243
Precinct 7841 - Vote By Mail	390	81	937	526	0	0	55	471
Precinct 7842 - Election Day	178	59	903	283	0	0	46	237
Precinct 7842 - Vote By Mail	287	73	903	434	0	0	74	360
Precinct 7843 - Election Day	148	45	767	232	0	0	39	193
Precinct 7843 - Vote By Mail	262	68	767	380	0	0	50	330
Precinct 7844 - Election Day	122	43	663	196	0	0	31	165
Precinct 7844 - Vote By Mail	203	73	663	329	0	0	53	276
Precinct 7845 - Election Day	163	32	849	241	0	0	46	195
Precinct 7845 - Vote By Mail	353	71	849	469	0	0	45	424
Precinct 7846 - Election Day	182	53	904	262	0	0	27	235
Precinct 7846 - Vote By Mail	382	70	904	509	0	0	57	452
Precinct 7847 - Election Day	158	70	929	261	0	0	33	228
Precinct 7847 - Vote By Mail	367	73	929	529	0	0	89	440
Precinct 7848 - Election Day	161	39	834	233	0	0	33	200
Precinct 7848 - Vote By Mail	364	70	834	491	0	0	57	434
Precinct 7849 - Election Day	181	50	929	264	0	0	33	231
Precinct 7849 - Vote By Mail	378	86	929	522	0	0	58	464
Precinct 7851 - Election Day	100	12	513	136	0	0	24	112
Precinct 7851 - Vote By Mail	235	22	513	298	0	0	41	257
Precinct 7852 - Election Day	103	25	647	143	0	0	15	128
Precinct 7852 - Vote By Mail	281	74	647	394	0	0	39	355
Precinct 7853 - Election Day	152	45	850	214	0	0	17	197
Precinct 7853 - Vote By Mail	333	98	850	479	0	1	47	431
Precinct 7854 - Election Day	171	44	894	248	0	0	33	215
Precinct 7854 - Vote By Mail	347	85	894	500	0	0	68	432
Precinct 7855 - Election Day	197	61	986	301	0	1	42	258
Precinct 7855 - Vote By Mail	379	72	986	522	0	0	71	451
Precinct 7856 - Election Day	178	57	800	265	0	0	30	235
Precinct 7856 - Vote By Mail	315	59	800	425	0	0	51	374
Precinct 7857 - Election Day	177	58	933	276	0	0	41	235
Precinct 7857 - Vote By Mail	326	113	933	517	0	0	78	439
Precinct 7858 - Election Day	144	58	775	245	0	0	43	202
Precinct 7858 - Vote By Mail	249	71	775	394	0	0	74	320
Precinct 7859 - Election Day	173	43	891	250	0	0	34	216
Precinct 7859 - Vote By Mail	397	67	891	513	0	0	49	464
Precinct 7861 - Election Day	142	41	859	217	0	0	34	183
Precinct 7861 - Vote By Mail	358	87	859	510	0	1	64	445
Precinct 7862 - Election Day	206	57	866	302	0	0	39	263
Precinct 7862 - Vote By Mail	334	76	866	472	0	0	62	410
Precinct 7863 - Election Day	186	76	907	311	0	1	48	262
Precinct 7863 - Vote By Mail	298	83	907	440	0	0	59	381
Precinct 7864 - Election Day	153	51	807	232	0	0	28	204
Precinct 7864 - Vote By Mail	297	80	807	427	0	0	50	377
Precinct 7865 - Election Day	136	57	823	241	0	0	48	193
Precinct 7865 - Vote By Mail	306	92	823	463	0	0	65	398
Precinct 7866 - Election Day	144	38	836	209	0	0	27	182
Precinct 7866 - Vote By Mail	369	70	836	491	0	0	52	439
Precinct 7867 - Election Day	188	49	955	266	0	0	29	237
Precinct 7867 - Vote By Mail	371	76	955	512	0	0	65	447
Precinct 7868 - Election Day	166	52	881	242	0	0	24	218
Precinct 7868 - Vote By Mail	336	71	881	449	1	1	40	407
Precinct 7869 - Election Day	181	37	867	239	0	0	21	218
Precinct 7869 - Vote By Mail	362	71	867	489	0	0	56	433
Precinct 7871 - Election Day	182	45	900	259	0	0	32	227
Precinct 7871 - Vote By Mail	382	63	900	502	2	0	55	445
Precinct 7872 - Election Day	203	50	862	288	0	0	35	253
Precinct 7872 - Vote By Mail	336	64	862	472	0	0	72	400
Precinct 7873 - Election Day	174	50	861	257	0	0	33	224
Precinct 7873 - Vote By Mail	373	82	861	502	0	0	47	455
Precinct 7874 - Election Day	87	35	477	137	0	0	15	122
Precinct 7874 - Vote By Mail	166	59	477	256	1	0	30	225
Precinct 7875 - Election Day	96	60	623	180	0	0	24	156
Precinct 7875 - Vote By Mail	163	62	623	285	0	2	58	225
Precinct 7876 - Election Day	79	36	498	154	10	0	29	115
Precinct 7876 - Vote By Mail	175	52	498	269	0	0	42	227
Precinct 7901 - Election Day	61	46	522	136	0	2	27	107
Precinct 7901 - Vote By Mail	114	64	522	198	0	0	20	178
Precinct 7902 - Election Day	125	80	968	258	0	0	53	205
Precinct 7902 - Vote By Mail	247	99	968	401	0	0	55	346
Precinct 7903 - Election Day	105	55	840	201	0	0	41	160
Precinct 7903 - Vote By Mail	204	105	840	350	0	3	38	309
Precinct 7904 - Election Day	124	59	877	212	0	0	29	183
Precinct 7904 - Vote By Mail	263	89	877	403	0	0	51	352
Precinct 7905 - Election Day	145	64	851	254	0	0	45	209
Precinct 7905 - Vote By Mail	265	89	851	409	1	0	54	354
Precinct 7906 - Election Day	119	74	787	245	0	1	51	193
Precinct 7906 - Vote By Mail	212	78	787	335	0	0	45	290
Precinct 7907 - Election Day	152	75	950	278	0	0	51	227
Precinct 7907 - Vote By Mail	260	94	950	425	0	0	71	354
Precinct 7908 - Election Day	145	84	949	284	0	0	55	229
Precinct 7908 - Vote By Mail	246	109	949	408	0	1	52	355
Precinct 7909 - Election Day	145	71	733	251	0	0	35	216
Precinct 7909 - Vote By Mail	190	59	733	303	0	0	54	249
Precinct 7911 - Election Day	137	80	860	244	0	1	26	217
Precinct 7911 - Vote By Mail	231	109	860	395	0	0	55	340
Precinct 7912 - Election Day	163	73	1,065	291	0	0	55	236
Precinct 7912 - Vote By Mail	308	78	1,065	463	0	0	77	386
Precinct 7913 - Election Day	158	110	913	312	0	0	44	268
Precinct 7913 - Vote By Mail	241	88	913	378	0	0	49	329
Precinct 7914 - Election Day	146	88	883	278	0	1	43	234
Precinct 7914 - Vote By Mail	259	107	883	425	0	2	57	366
Precinct 7915 - Election Day	159	68	831	266	0	1	38	227
Precinct 7915 - Vote By Mail	210	89	831	351	0	1	51	299
Precinct 7916 - Election Day	155	81	888	284	0	0	48	236
Precinct 7916 - Vote By Mail	273	100	888	421	0	1	47	373
Precinct 7917 - Election Day	161	104	1,015	315	0	0	50	265
Precinct 7917 - Vote By Mail	235	123	1,015	428	0	1	69	358
Precinct 7918 - Election Day	128	78	836	253	0	0	47	206
Precinct 7918 - Vote By Mail	229	96	836	379	0	0	54	325
Precinct 7919 - Election Day	153	110	895	309	0	1	45	263
Precinct 7919 - Vote By Mail	245	81	895	376	0	0	50	326
Precinct 7921 - Election Day	112	83	917	232	0	0	37	195
Precinct 7921 - Vote By Mail	212	114	917	366	0	1	39	326
Precinct 7922 - Election Day	139	65	831	250	0	0	46	204
Precinct 7922 - Vote By Mail	225	108	831	383	0	0	50	333
Precinct 7923 - Election Day	148	82	885	262	0	0	32	230
Precinct 7923 - Vote By Mail	231	110	885	403	0	0	62	341
Precinct 7924 - Election Day	117	72	842	238	0	1	48	189
Precinct 7924 - Vote By Mail	224	107	842	382	0	0	51	331
Precinct 7925 - Election Day	94	39	567	156	0	0	23	133
Precinct 7925 - Vote By Mail	174	76	567	293	0	0	43	250
Precinct 7926 - Election Day	153	51	795	229	0	0	25	204
Precinct 7926 - Vote By Mail	239	102	795	390	0	0	49	341
Precinct 7927 - Election Day	146	58	747	241	0	0	37	204
Precinct 7927 - Vote By Mail	253	72	747	392	0	0	67	325
Precinct 7928 - Election Day	191	60	931	284	0	0	33	251
Precinct 7928 - Vote By Mail	303	111	931	489	0	0	75	414
Precinct 7929 - Election Day	155	55	864	248	0	0	38	210
Precinct 7929 - Vote By Mail	374	80	864	509	1	0	54	454
Precinct 7931 - Election Day	144	37	738	219	0	1	37	181
Precinct 7931 - Vote By Mail	310	57	738	408	0	1	40	367
Precinct 7932 - Election Day	99	34	551	157	1	0	23	133
Precinct 7932 - Vote By Mail	184	61	551	285	0	0	40	245
Precinct 7933 MB - Vote By Mail	3	0	6	4	0	0	1	3
Precinct 7934 - Election Day	145	62	890	250	0	0	43	207
Precinct 7934 - Vote By Mail	306	96	890	472	0	0	70	402
Precinct 7935 - Election Day	207	51	970	305	0	1	46	258
Precinct 7935 - Vote By Mail	349	77	970	519	0	0	93	426
Precinct 7936 - Election Day	187	57	856	287	0	1	42	244
Precinct 7936 - Vote By Mail	294	86	856	428	0	0	48	380
Precinct 7937 - Election Day	173	53	886	267	0	0	41	226
Precinct 7937 - Vote By Mail	305	77	886	435	0	0	53	382
Precinct 7938 - Election Day	121	57	788	213	0	0	35	178
Precinct 7938 - Vote By Mail	212	89	788	337	0	0	36	301
Precinct 7939 - Election Day	167	58	688	254	0	0	29	225
Precinct 7939 - Vote By Mail	218	60	688	326	0	2	46	278
Precinct 7941 - Election Day	150	45	751	218	0	0	23	195
Precinct 7941 - Vote By Mail	224	85	751	348	0	0	39	309
Precinct 7942 - Election Day	162	69	914	259	1	0	27	231
Precinct 7942 - Vote By Mail	269	90	914	412	0	2	51	359
Precinct 7943 - Election Day	141	72	872	258	4	1	40	213
Precinct 7943 - Vote By Mail	291	82	872	439	0	1	65	373
Precinct 7944 - Election Day	150	61	801	243	0	0	32	211
Precinct 7944 - Vote By Mail	260	81	801	381	0	0	40	341
Precinct 7945 - Election Day	110	47	915	186	0	0	29	157
Precinct 7945 - Vote By Mail	273	94	915	414	0	0	47	367
Precinct 7946 - Election Day	92	64	945	183	0	0	27	156
Precinct 7946 - Vote By Mail	285	112	945	451	0	0	54	397
Precinct 7947 - Election Day	92	58	946	182	0	2	30	150
Precinct 7947 - Vote By Mail	272	105	946	430	0	0	53	377
Precinct 7948 - Election Day	121	52	928	210	0	0	37	173
Precinct 7948 - Vote By Mail	290	80	928	422	0	0	52	370
Precinct 7949 - Election Day	59	28	569	100	0	0	13	87
Precinct 7949 - Vote By Mail	197	56	569	292	0	1	38	253
Precinct 7951 - Election Day	96	49	854	166	0	0	21	145
Precinct 7951 - Vote By Mail	280	84	854	425	0	0	61	364
Precinct 7952 - Election Day	73	64	866	167	0	0	30	137
Precinct 7952 - Vote By Mail	237	82	866	359	0	3	37	319
Precinct 7953 - Election Day	118	45	824	186	2	0	21	163
Precinct 7953 - Vote By Mail	243	112	824	402	0	0	47	355
Precinct 7955 - Election Day	97	67	902	199	0	1	34	164
Precinct 7955 - Vote By Mail	284	95	902	435	0	0	56	379
Precinct 7956 - Election Day	65	50	823	136	0	1	20	115
Precinct 7956 - Vote By Mail	223	81	823	353	0	1	48	304
Precinct 7957 - Election Day	88	34	646	147	0	1	24	122
Precinct 7957 - Vote By Mail	199	74	646	298	0	0	25	273
Precinct 7958 MB - Vote By Mail	79	37	290	141	0	0	25	116
Precinct 7959 - Election Day	74	54	727	160	0	0	32	128
Precinct 7959 - Vote By Mail	195	77	727	326	0	2	52	272
Congressional District 12	140,381	45,483	291,063	214,827	62	192	28,709	185,864
Assembly District 17	140,381	45,483	291,063	214,827	62	192	28,709	185,864
BART District 7	16,090	5,504	38,460	24,736	3	28	3,111	21,594
BART District 8	17,252	5,475	37,971	26,349	6	13	3,603	22,727
BART District 9	107,039	34,504	214,632	163,742	53	151	21,995	141,543
Supervisorial District 1	88	21	155	125	1	0	15	109
Supervisorial District 2	3,629	1,113	6,916	5,560	1	4	813	4,742
Supervisorial District 3	18,613	6,070	39,799	28,571	2	14	3,872	24,683
Supervisorial District 5	20,741	6,350	40,465	31,630	5	30	4,504	27,091
Supervisorial District 6	18,634	6,449	43,321	29,158	2	43	4,030	25,083
Supervisorial District 7	4,458	1,159	7,813	6,454	1	2	834	5,617
Supervisorial District 8	33,652	8,566	57,714	48,347	31	18	6,080	42,218
Supervisorial District 9	19,421	7,803	42,988	31,769	10	40	4,495	27,224
Supervisorial District 10	17,088	5,969	41,589	26,313	9	27	3,220	23,057
Supervisorial District 11	4,057	1,983	10,303	6,900	0	14	846	6,040
Bayview/Hunters Point	7,278	2,733	19,914	11,270	1	20	1,238	10,011
Chinatown	8,106	2,586	17,446	12,440	1	5	1,742	10,692
Civic Center/Downtown	12,012	4,394	28,644	19,045	1	26	2,612	16,406
Diamond Heights	4,211	943	7,002	5,802	3	2	643	5,154
Excelsior	4,057	1,983	10,303	6,900	0	14	846	6,040
Haight Ashbury	8,031	2,469	14,982	12,240	2	10	1,728	10,500
Inner Sunset	1,001	258	1,799	1,467	0	1	207	1,259
Marina Pacific Heights	5,191	1,619	9,961	7,968	5	8	1,145	6,810
Mission	14,057	5,735	31,129	23,295	3	24	3,476	19,792
Noe Valley	10,051	2,518	16,964	14,420	3	3	1,845	12,569
North Bernal Heights	4,785	1,452	8,795	7,263	2	4	1,020	6,237
North Embarcadero	3,501	1,066	7,019	5,232	0	2	663	4,567
Portola	3,749	1,534	9,293	6,104	2	10	809	5,283
Potrero Hill	8,783	2,564	16,814	13,081	3	8	1,723	11,347
South of Bernal Heights	4,889	1,560	9,419	7,393	6	8	930	6,449
South of Market	10,957	3,711	24,674	17,045	2	19	2,356	14,668
Upper Market/Eureka Valley	11,566	2,718	18,966	16,190	12	7	1,887	14,284
Visitation Valley	2,664	1,103	7,866	4,342	3	3	569	3,767
West of Twin Peaks	4,159	1,066	7,284	6,009	1	2	781	5,225
Western Addition	11,333	3,471	22,789	17,321	12	16	2,489	14,804
