Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts	258,343	85,585	500,516	372,848	282	150	28,488	343,928
All Precincts - None	90,620	26,999	500,516	127,886	68	60	10,139	117,619
All Precincts - None	167,723	58,586	500,516	244,962	214	90	18,349	226,309
Precinct 1101 - None	96	22	553	126	0	0	8	118
Precinct 1101 - None	187	64	553	266	0	0	15	251
Precinct 1102 - None	189	59	995	266	0	0	18	248
Precinct 1102 - None	310	129	995	480	-2	1	42	439
Precinct 1103 - None	170	59	951	246	1	0	16	229
Precinct 1103 - None	313	108	951	445	-1	0	25	421
Precinct 1104/1105 - None	172	55	993	249	-1	0	23	227
Precinct 1104/1105 - None	297	96	993	414	-2	0	23	393
Precinct 1106 - None	125	50	765	191	0	0	16	175
Precinct 1106 - None	218	99	765	343	-1	0	27	317
Precinct 1107 - None	116	31	746	163	0	0	16	147
Precinct 1107 - None	216	88	746	336	5	0	27	304
Precinct 1108 - None	156	46	909	232	-1	1	30	202
Precinct 1108 - None	318	85	909	438	-1	1	35	403
Precinct 1109 - None	119	36	798	166	0	0	11	155
Precinct 1109 - None	249	92	798	365	-2	0	26	341
Precinct 1111 - None	147	36	1,002	205	0	0	22	183
Precinct 1111 - None	314	110	1,002	460	-3	0	39	424
Precinct 1112 - None	99	40	769	151	2	0	10	139
Precinct 1112 - None	209	103	769	344	-1	0	33	312
Precinct 1113 - None	84	35	746	135	0	0	16	119
Precinct 1113 - None	236	100	746	360	0	0	24	336
Precinct 1114 - None	147	50	957	226	-2	0	31	197
Precinct 1114 - None	276	93	957	404	0	0	35	369
Precinct 1115 - None	127	33	895	174	0	0	14	160
Precinct 1115 - None	244	95	895	371	-3	0	35	339
Precinct 1116 - None	163	36	895	225	1	0	25	199
Precinct 1116 - None	253	89	895	376	-2	0	36	342
Precinct 1117 - None	114	49	858	185	0	2	20	163
Precinct 1117 - None	248	81	858	357	1	0	27	329
Precinct 1118 - None	139	59	1,043	213	0	0	15	198
Precinct 1118 - None	330	115	1,043	476	-3	1	33	445
Precinct 1119 - None	119	32	791	165	0	0	14	151
Precinct 1119 - None	274	86	791	386	0	1	25	360
Precinct 1121 - None	93	51	691	160	0	0	16	144
Precinct 1121 - None	188	101	691	313	-1	0	25	289
Precinct 1122 - None	76	24	632	110	0	0	10	100
Precinct 1122 - None	193	95	632	310	-1	0	23	288
Precinct 1123 - None	133	36	915	179	0	1	9	169
Precinct 1123 - None	239	91	915	364	-1	0	35	330
Precinct 1124 - None	112	25	819	152	0	0	15	137
Precinct 1124 - None	196	81	819	302	-2	0	27	277
Precinct 1125 - None	104	40	1,047	159	1	0	14	144
Precinct 1125 - None	307	126	1,047	466	0	0	33	433
Precinct 1126 - None	126	50	922	191	0	0	15	176
Precinct 1126 - None	263	111	922	400	-2	0	28	374
Precinct 1127 - None	124	55	920	200	0	0	21	179
Precinct 1127 - None	235	115	920	382	-2	0	34	350
Precinct 1128 - None	99	35	838	154	0	0	20	134
Precinct 1128 - None	230	97	838	362	0	0	35	327
Precinct 1129 - None	143	64	980	227	1	0	19	207
Precinct 1129 - None	263	116	980	416	2	0	35	379
Precinct 1131 - None	80	32	797	132	0	0	20	112
Precinct 1131 - None	223	131	797	371	0	0	17	354
Precinct 1132 - None	113	46	969	179	2	0	18	159
Precinct 1132 - None	295	104	969	427	-1	0	29	399
Precinct 1133 - None	111	40	863	161	1	0	9	151
Precinct 1133 - None	267	112	863	410	0	0	31	379
Precinct 1134 - None	122	27	759	170	2	0	19	149
Precinct 1134 - None	187	106	759	318	-3	0	28	293
Precinct 1135 - None	53	24	540	87	1	0	9	77
Precinct 1135 - None	185	88	540	295	1	0	21	273
Precinct 1136 - None	91	46	829	144	0	0	7	137
Precinct 1136 - None	240	134	829	412	1	0	37	374
Precinct 1141 - None	147	53	1,041	223	3	0	20	200
Precinct 1141 - None	328	129	1,041	484	-1	0	28	457
Precinct 1142 - None	134	27	861	175	-1	0	15	161
Precinct 1142 - None	267	92	861	393	-2	0	36	359
Precinct 1143 - None	180	36	1,034	229	1	0	12	216
