Subtotal Area	RICARDO LARA	STEVE POIZNER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7617 - Vote By Mail	151	77	768	261	0	0	33	228
Precinct 7618 - Election Day	119	37	862	168	0	0	12	156
Precinct 7618 - Vote By Mail	289	98	862	407	0	0	20	387
Precinct 7619 - Election Day	156	49	1,063	219	0	0	14	205
Precinct 7619 - Vote By Mail	390	136	1,063	563	0	1	36	526
Precinct 7621 - Election Day	199	66	1,320	287	0	0	22	265
Precinct 7621 - Vote By Mail	428	191	1,320	668	0	0	49	619
Precinct 7622 - Election Day	109	39	988	170	0	0	22	148
Precinct 7622 - Vote By Mail	200	73	988	301	0	0	28	273
Precinct 7623 - Election Day	121	41	746	184	0	0	22	162
Precinct 7623 - Vote By Mail	208	59	746	297	0	0	30	267
Precinct 7624 - Election Day	101	31	859	142	0	0	10	132
Precinct 7624 - Vote By Mail	188	73	859	290	0	2	27	261
Precinct 7625 - Election Day	33	21	822	66	0	0	12	54
Precinct 7625 - Vote By Mail	260	130	822	475	0	0	85	390
Precinct 7626 - Election Day	147	62	1,114	227	0	0	18	209
Precinct 7626 - Vote By Mail	359	201	1,114	612	0	0	52	560
Precinct 7627 - Election Day	157	78	1,187	267	0	0	32	235
Precinct 7627 - Vote By Mail	276	246	1,187	582	0	0	60	522
Precinct 7628 - Election Day	177	46	960	241	0	0	18	223
Precinct 7628 - Vote By Mail	306	89	960	428	0	1	32	395
Precinct 7629 - Election Day	153	35	809	208	0	1	19	188
Precinct 7629 - Vote By Mail	219	96	809	343	0	0	28	315
Precinct 7631 - Election Day	164	73	1,155	270	0	0	33	237
Precinct 7631 - Vote By Mail	357	168	1,155	577	0	1	51	525
Precinct 7632 - Election Day	198	51	1,124	289	0	0	40	249
Precinct 7632 - Vote By Mail	396	134	1,124	561	0	0	31	530
Precinct 7633 - Election Day	93	28	741	137	0	0	16	121
Precinct 7633 - Vote By Mail	228	113	741	392	0	0	51	341
Precinct 7634 - Election Day	117	46	900	195	0	1	31	163
Precinct 7634 - Vote By Mail	244	135	900	421	0	0	42	379
Precinct 7635 - Election Day	101	37	840	158	0	0	20	138
Precinct 7635 - Vote By Mail	235	112	840	382	0	0	35	347
Precinct 7636 - Election Day	160	69	938	251	0	0	22	229
Precinct 7636 - Vote By Mail	251	174	938	465	0	1	39	425
Precinct 7637 - Election Day	113	63	809	193	0	0	17	176
Precinct 7637 - Vote By Mail	230	138	809	404	0	0	36	368
Precinct 7638 - Election Day	157	103	1,467	295	0	0	35	260
Precinct 7638 - Vote By Mail	457	341	1,467	871	1	1	71	798
Precinct 7639 - Election Day	141	70	1,011	242	0	0	31	211
Precinct 7639 - Vote By Mail	317	184	1,011	559	0	0	58	501
Precinct 7641 - Election Day	110	68	972	205	0	0	27	178
Precinct 7641 - Vote By Mail	289	213	972	549	0	0	47	502
Precinct 7642 - Election Day	99	41	937	153	0	0	13	140
Precinct 7642 - Vote By Mail	230	115	937	394	0	0	49	345
Precinct 7643 - Election Day	109	43	920	169	0	0	17	152
Precinct 7643 - Vote By Mail	326	141	920	507	0	1	39	467
Precinct 7644 - Election Day	210	86	1,175	330	0	0	34	296
Precinct 7644 - Vote By Mail	368	143	1,175	554	0	0	43	511
Precinct 7645 - Election Day	75	34	640	120	0	0	11	109
Precinct 7645 - Vote By Mail	186	154	640	377	0	0	37	340
Precinct 7646 - Election Day	184	60	1,100	267	0	0	23	244
Precinct 7646 - Vote By Mail	364	180	1,100	592	0	0	48	544
Precinct 7647 - Election Day	140	45	1,075	205	0	0	20	185
Precinct 7647 - Vote By Mail	188	70	1,075	283	0	0	25	258
Precinct 7648 MB - Vote By Mail	0	0	1	0	0	0	0	0
Precinct 7649 - Election Day	120	42	891	178	0	0	16	162
Precinct 7649 - Vote By Mail	249	111	891	395	0	0	35	360
Precinct 7651 - Election Day	102	40	677	166	1	0	23	142
Precinct 7651 - Vote By Mail	194	118	677	351	0	0	39	312
Precinct 7652 - Election Day	86	36	628	135	0	0	13	122
Precinct 7652 - Vote By Mail	175	96	628	301	0	1	29	271
Precinct 7653 - Election Day	175	86	1,280	300	0	0	39	261
Precinct 7653 - Vote By Mail	375	221	1,280	673	0	0	77	596
Precinct 7701 - Election Day	193	75	1,064	296	0	0	28	268
Precinct 7701 - Vote By Mail	363	182	1,064	597	0	0	52	545
Precinct 7702 - Election Day	101	60	748	180	0	0	19	161
Precinct 7702 - Vote By Mail	225	144	748	415	0	0	46	369
Precinct 7703 MB - Vote By Mail	47	17	171	79	0	1	14	64
Precinct 7704 - Election Day	145	86	1,008	257	0	0	26	231
Precinct 7704 - Vote By Mail	331	190	1,008	557	0	0	36	521
Precinct 7705 - Election Day	71	61	568	149	0	0	17	132
Precinct 7705 - Vote By Mail	179	133	568	335	0	0	23	312
Precinct 7706 - Election Day	151	80	840	252	0	0	21	231
Precinct 7706 - Vote By Mail	272	154	840	467	0	0	41	426
Precinct 7707 - Election Day	141	85	857	241	1	0	14	226
Precinct 7707 - Vote By Mail	310	141	857	495	0	0	44	451
Precinct 7708 - Election Day	116	73	871	205	0	0	16	189
Precinct 7708 - Vote By Mail	311	193	871	540	0	0	36	504
Precinct 7709 - Election Day	67	28	391	102	0	0	7	95
Precinct 7709 - Vote By Mail	151	53	391	222	0	0	18	204
Precinct 7711 - Election Day	134	49	766	198	0	0	15	183
Precinct 7711 - Vote By Mail	265	120	766	422	0	0	37	385
Precinct 7712 - Election Day	103	35	529	149	0	0	11	138
Precinct 7712 - Vote By Mail	206	70	529	296	0	0	20	276
Precinct 7801 - Election Day	169	84	1,001	264	1	0	10	253
Precinct 7801 - Vote By Mail	379	176	1,001	596	0	0	41	555
Precinct 7802 - Election Day	149	62	788	230	0	0	19	211
Precinct 7802 - Vote By Mail	294	119	788	458	0	0	45	413
Precinct 7803 - Election Day	120	44	828	174	0	0	10	164
Precinct 7803 - Vote By Mail	357	156	828	552	0	0	39	513
Precinct 7804 - Election Day	184	53	893	257	0	1	19	237
Precinct 7804 - Vote By Mail	351	139	893	533	0	1	42	490
Precinct 7805 - Election Day	174	40	825	228	0	0	14	214
Precinct 7805 - Vote By Mail	326	133	825	484	0	1	24	459
Precinct 7806 - Election Day	151	46	716	208	2	0	9	197
Precinct 7806 - Vote By Mail	261	114	716	407	0	0	32	375
Precinct 7807 - Election Day	203	56	844	276	0	1	16	259
Precinct 7807 - Vote By Mail	302	89	844	417	0	0	26	391
Precinct 7808 - Election Day	149	48	655	211	0	0	14	197
Precinct 7808 - Vote By Mail	248	64	655	333	0	0	21	312
Precinct 7809 - Election Day	189	35	781	238	0	0	14	224
Precinct 7809 - Vote By Mail	304	80	781	405	0	0	21	384
Precinct 7811 - Election Day	187	47	783	249	0	0	15	234
Precinct 7811 - Vote By Mail	294	90	783	404	0	0	20	384
Precinct 7812 - Election Day	188	46	877	257	0	0	23	234
Precinct 7812 - Vote By Mail	320	102	877	454	0	0	32	422
Precinct 7813 - Election Day	225	61	1,064	308	1	0	21	286
Precinct 7813 - Vote By Mail	435	112	1,064	585	0	1	37	547
Precinct 7814 - Election Day	161	42	936	228	0	0	25	203
Precinct 7814 - Vote By Mail	265	51	936	341	0	1	24	316
Precinct 7815 - Election Day	180	45	954	238	0	0	13	225
Precinct 7815 - Vote By Mail	391	152	954	573	0	0	30	543
Precinct 7816 - Election Day	176	44	865	236	0	0	16	220
Precinct 7816 - Vote By Mail	385	114	865	531	1	0	31	499
Precinct 7817 - Election Day	215	42	823	277	0	0	20	257
Precinct 7817 - Vote By Mail	332	85	823	439	0	0	22	417
Precinct 7818 - Election Day	173	46	860	234	0	0	15	219
Precinct 7818 - Vote By Mail	333	85	860	452	2	0	32	418
Precinct 7819 - Election Day	133	44	793	191	0	0	14	177
Precinct 7819 - Vote By Mail	302	91	793	420	0	1	26	393
Precinct 7821 - Election Day	182	51	985	248	0	0	15	233
Precinct 7821 - Vote By Mail	446	145	985	630	0	2	37	591
Precinct 7822 - Election Day	210	52	908	275	0	0	13	262
Precinct 7822 - Vote By Mail	341	94	908	480	0	1	44	435
Precinct 7823 - Election Day	212	39	879	270	6	0	13	251
Precinct 7823 - Vote By Mail	362	108	879	501	0	0	31	470
Precinct 7824 - Election Day	183	44	768	247	0	0	20	227
Precinct 7824 - Vote By Mail	239	108	768	383	0	0	36	347
Precinct 7825 - Election Day	152	25	597	191	0	0	14	177
Precinct 7825 - Vote By Mail	232	53	597	302	0	0	17	285
Precinct 7826 - Election Day	188	53	684	258	0	0	17	241
Precinct 7826 - Vote By Mail	230	69	684	319	0	0	20	299
Precinct 7827 - Election Day	208	41	831	261	0	1	11	249
Precinct 7827 - Vote By Mail	253	83	831	361	0	0	25	336
Precinct 7828 - Election Day	171	75	1,018	261	0	0	15	246
Precinct 7828 - Vote By Mail	375	137	1,018	549	0	0	37	512
Precinct 7829 - Election Day	161	61	907	237	1	0	14	222
Precinct 7829 - Vote By Mail	378	152	907	557	0	0	27	530
Precinct 7831 - Election Day	173	49	882	233	0	0	11	222
Precinct 7831 - Vote By Mail	398	122	882	544	0	0	24	520
Precinct 7832 - Election Day	126	48	780	188	0	0	14	174
Precinct 7832 - Vote By Mail	342	119	780	488	0	0	27	461
Precinct 7833 - Election Day	177	31	747	230	0	0	22	208
Precinct 7833 - Vote By Mail	295	92	747	412	0	0	25	387
Precinct 7834 - Election Day	212	43	867	277	0	0	22	255
Precinct 7834 - Vote By Mail	318	93	867	439	0	1	27	411
Precinct 7835 - Election Day	139	59	847	211	0	0	13	198
Precinct 7835 - Vote By Mail	342	131	847	505	1	0	31	473
Precinct 7836 - Election Day	195	46	1,023	260	0	0	19	241
Precinct 7836 - Vote By Mail	431	155	1,023	623	0	0	37	586
Precinct 7837 - Election Day	196	52	911	260	0	0	12	248
Precinct 7837 - Vote By Mail	325	141	911	509	2	0	41	466
Precinct 7838 - Election Day	156	62	926	239	0	0	21	218
Precinct 7838 - Vote By Mail	357	146	926	546	0	0	43	503
Precinct 7839 - Election Day	143	45	842	205	0	0	17	188
Precinct 7839 - Vote By Mail	341	133	842	515	0	0	41	474
Precinct 7841 - Election Day	195	74	937	291	0	0	22	269
Precinct 7841 - Vote By Mail	361	123	937	526	0	0	42	484
Precinct 7842 - Election Day	211	54	903	283	0	0	18	265
Precinct 7842 - Vote By Mail	283	109	903	434	0	0	42	392
Precinct 7843 - Election Day	172	38	767	232	0	0	22	210
Precinct 7843 - Vote By Mail	272	80	767	380	0	0	28	352
Precinct 7844 - Election Day	147	34	663	196	0	0	15	181
Precinct 7844 - Vote By Mail	243	65	663	329	0	0	21	308
Precinct 7845 - Election Day	152	59	849	241	0	0	30	211
Precinct 7845 - Vote By Mail	330	101	849	469	0	0	38	431
Precinct 7846 - Election Day	177	61	904	262	0	1	23	238
Precinct 7846 - Vote By Mail	335	131	904	509	0	1	42	466
Precinct 7847 - Election Day	184	56	929	261	0	0	21	240
Precinct 7847 - Vote By Mail	369	104	929	529	0	0	56	473
Precinct 7848 - Election Day	159	54	834	233	0	0	20	213
Precinct 7848 - Vote By Mail	303	150	834	491	0	0	38	453
Precinct 7849 - Election Day	186	56	929	264	0	0	22	242
Precinct 7849 - Vote By Mail	327	152	929	522	0	0	43	479
Precinct 7851 - Election Day	82	41	513	136	0	0	13	123
Precinct 7851 - Vote By Mail	183	88	513	298	0	0	27	271
Precinct 7852 - Election Day	92	44	647	143	0	0	7	136
Precinct 7852 - Vote By Mail	259	108	647	394	0	1	26	367
Precinct 7853 - Election Day	150	53	850	214	0	0	11	203
Precinct 7853 - Vote By Mail	329	116	850	479	0	1	33	445
Precinct 7854 - Election Day	170	59	894	248	0	0	19	229
Precinct 7854 - Vote By Mail	315	143	894	500	0	0	42	458
Precinct 7855 - Election Day	209	70	986	301	0	0	22	279
Precinct 7855 - Vote By Mail	345	135	986	522	0	0	42	480
Precinct 7856 - Election Day	183	61	800	265	0	1	20	244
Precinct 7856 - Vote By Mail	301	93	800	425	0	0	31	394
Precinct 7857 - Election Day	198	55	933	276	0	0	23	253
Precinct 7857 - Vote By Mail	329	137	933	517	0	0	51	466
Precinct 7858 - Election Day	182	45	775	245	0	0	18	227
Precinct 7858 - Vote By Mail	283	79	775	394	0	0	32	362
Precinct 7859 - Election Day	157	77	891	250	0	0	16	234
Precinct 7859 - Vote By Mail	337	146	891	513	0	0	30	483
Precinct 7861 - Election Day	143	59	859	217	0	0	15	202
Precinct 7861 - Vote By Mail	328	153	859	510	0	0	29	481
Precinct 7862 - Election Day	210	72	866	302	0	0	20	282
Precinct 7862 - Vote By Mail	307	132	866	472	0	0	33	439
Precinct 7863 - Election Day	221	71	907	311	0	0	19	292
Precinct 7863 - Vote By Mail	309	95	907	440	0	0	36	404
Precinct 7864 - Election Day	177	42	807	232	0	0	13	219
Precinct 7864 - Vote By Mail	291	114	807	427	0	0	22	405
Precinct 7865 - Election Day	184	46	823	241	0	0	11	230
Precinct 7865 - Vote By Mail	302	121	823	463	0	1	39	423
Precinct 7866 - Election Day	136	61	836	209	0	0	12	197
Precinct 7866 - Vote By Mail	280	180	836	491	0	0	31	460
Precinct 7867 - Election Day	169	72	955	266	0	1	24	241
Precinct 7867 - Vote By Mail	320	149	955	512	0	0	43	469
Precinct 7868 - Election Day	169	55	881	242	0	0	18	224
Precinct 7868 - Vote By Mail	292	124	881	449	1	2	30	416
Precinct 7869 - Election Day	174	53	867	239	0	0	12	227
Precinct 7869 - Vote By Mail	309	143	867	489	0	1	36	452
Precinct 7871 - Election Day	178	62	900	259	0	0	19	240
Precinct 7871 - Vote By Mail	312	161	900	502	2	0	27	473
Precinct 7872 - Election Day	193	73	862	288	0	0	22	266
Precinct 7872 - Vote By Mail	306	127	862	472	0	0	39	433
Precinct 7873 - Election Day	172	69	861	257	0	0	16	241
Precinct 7873 - Vote By Mail	342	124	861	502	0	0	36	466
Precinct 7874 - Election Day	94	31	477	137	0	0	12	125
Precinct 7874 - Vote By Mail	180	59	477	256	1	0	16	239
Precinct 7875 - Election Day	121	40	623	180	0	0	19	161
Precinct 7875 - Vote By Mail	206	43	623	285	0	0	36	249
Precinct 7876 - Election Day	94	31	498	154	10	0	19	125
Precinct 7876 - Vote By Mail	178	64	498	269	0	0	27	242
Precinct 7901 - Election Day	87	31	522	136	0	1	17	118
Precinct 7901 - Vote By Mail	145	36	522	198	0	0	17	181
Precinct 7902 - Election Day	179	56	968	258	0	0	23	235
Precinct 7902 - Vote By Mail	310	69	968	401	0	0	22	379
Precinct 7903 - Election Day	142	37	840	201	0	0	22	179
Precinct 7903 - Vote By Mail	275	51	840	350	0	0	24	326
Precinct 7904 - Election Day	154	42	877	212	0	0	16	196
Precinct 7904 - Vote By Mail	282	96	877	403	0	0	25	378
Precinct 7905 - Election Day	185	56	851	254	0	0	13	241
Precinct 7905 - Vote By Mail	300	86	851	409	1	0	22	386
Precinct 7906 - Election Day	190	32	787	245	0	0	23	222
Precinct 7906 - Vote By Mail	242	69	787	335	0	0	24	311
Precinct 7907 - Election Day	209	43	950	278	0	0	26	252
Precinct 7907 - Vote By Mail	322	70	950	425	0	0	33	392
Precinct 7908 - Election Day	199	53	949	284	0	0	32	252
Precinct 7908 - Vote By Mail	285	84	949	408	0	0	39	369
Precinct 7909 - Election Day	203	35	733	251	0	0	13	238
Precinct 7909 - Vote By Mail	236	44	733	303	0	0	23	280
Precinct 7911 - Election Day	185	42	860	244	0	0	17	227
Precinct 7911 - Vote By Mail	293	71	860	395	0	1	30	364
Precinct 7912 - Election Day	225	39	1,065	291	0	0	27	264
Precinct 7912 - Vote By Mail	335	83	1,065	463	0	1	44	418
Precinct 7913 - Election Day	252	41	913	312	0	0	19	293
Precinct 7913 - Vote By Mail	270	75	913	378	0	0	33	345
Precinct 7914 - Election Day	212	44	883	278	0	0	22	256
Precinct 7914 - Vote By Mail	326	72	883	425	0	0	27	398
Precinct 7915 - Election Day	219	31	831	266	0	0	16	250
Precinct 7915 - Vote By Mail	265	60	831	351	0	0	26	325
Precinct 7916 - Election Day	210	48	888	284	0	0	26	258
Precinct 7916 - Vote By Mail	318	83	888	421	0	1	19	401
Precinct 7917 - Election Day	252	38	1,015	315	0	0	25	290
Precinct 7917 - Vote By Mail	324	83	1,015	428	0	1	20	407
Precinct 7918 - Election Day	196	30	836	253	0	0	27	226
Precinct 7918 - Vote By Mail	285	73	836	379	0	0	21	358
Precinct 7919 - Election Day	262	25	895	309	0	0	22	287
Precinct 7919 - Vote By Mail	287	62	895	376	0	0	27	349
Precinct 7921 - Election Day	181	31	917	232	0	0	20	212
Precinct 7921 - Vote By Mail	260	79	917	366	0	1	26	339
Precinct 7922 - Election Day	198	36	831	250	0	0	16	234
Precinct 7922 - Vote By Mail	301	53	831	383	0	0	29	354
Precinct 7923 - Election Day	209	41	885	262	0	0	12	250
Precinct 7923 - Vote By Mail	310	69	885	403	0	2	22	379
Precinct 7924 - Election Day	195	30	842	238	0	0	13	225
Precinct 7924 - Vote By Mail	288	69	842	382	0	0	25	357
Precinct 7925 - Election Day	128	26	567	156	0	0	2	154
Precinct 7925 - Vote By Mail	220	48	567	293	0	0	25	268
Precinct 7926 - Election Day	177	39	795	229	0	0	13	216
Precinct 7926 - Vote By Mail	293	76	795	390	0	0	21	369
Precinct 7927 - Election Day	183	38	747	241	0	0	20	221
Precinct 7927 - Vote By Mail	284	87	747	392	0	0	21	371
Precinct 7928 - Election Day	228	46	931	284	0	0	10	274
Precinct 7928 - Vote By Mail	364	101	931	489	0	0	24	465
Precinct 7929 - Election Day	175	53	864	248	0	0	20	228
Precinct 7929 - Vote By Mail	346	134	864	509	1	0	28	480
Precinct 7931 - Election Day	151	47	738	219	0	0	21	198
Precinct 7931 - Vote By Mail	294	95	738	408	0	0	19	389
Precinct 7932 - Election Day	116	24	551	157	1	0	16	140
Precinct 7932 - Vote By Mail	196	72	551	285	0	0	17	268
Precinct 7933 MB - Vote By Mail	2	1	6	4	0	0	1	3
Precinct 7934 - Election Day	193	40	890	250	0	0	17	233
Precinct 7934 - Vote By Mail	375	75	890	472	0	0	22	450
Precinct 7935 - Election Day	232	47	970	305	0	0	26	279
Precinct 7935 - Vote By Mail	380	96	970	519	0	0	43	476
Precinct 7936 - Election Day	219	49	856	287	0	0	19	268
Precinct 7936 - Vote By Mail	316	94	856	428	0	0	18	410
Precinct 7937 - Election Day	206	35	886	267	0	0	26	241
Precinct 7937 - Vote By Mail	328	75	886	435	0	0	32	403
Precinct 7938 - Election Day	158	37	788	213	0	0	18	195
Precinct 7938 - Vote By Mail	243	71	788	337	0	1	22	314
Precinct 7939 - Election Day	201	38	688	254	0	0	15	239
Precinct 7939 - Vote By Mail	251	53	688	326	0	0	22	304
Precinct 7941 - Election Day	167	38	751	218	0	0	13	205
Precinct 7941 - Vote By Mail	256	65	751	348	0	0	27	321
Precinct 7942 - Election Day	188	52	914	259	1	0	18	240
Precinct 7942 - Vote By Mail	291	80	914	412	0	0	41	371
Precinct 7943 - Election Day	178	60	872	258	4	0	16	238
Precinct 7943 - Vote By Mail	303	94	872	439	0	1	41	397
Precinct 7944 - Election Day	200	28	801	243	0	0	15	228
Precinct 7944 - Vote By Mail	281	78	801	381	0	0	22	359
Precinct 7945 - Election Day	139	34	915	186	0	0	13	173
Precinct 7945 - Vote By Mail	311	77	915	414	0	0	26	388
Precinct 7946 - Election Day	130	35	945	183	0	0	18	165
Precinct 7946 - Vote By Mail	290	114	945	451	0	0	47	404
Precinct 7947 - Election Day	122	34	946	182	0	0	26	156
Precinct 7947 - Vote By Mail	266	103	946	430	0	0	61	369
Precinct 7948 - Election Day	151	43	928	210	0	0	16	194
Precinct 7948 - Vote By Mail	254	110	928	422	0	0	58	364
Precinct 7949 - Election Day	64	25	569	100	0	0	11	89
Precinct 7949 - Vote By Mail	171	87	569	292	0	1	33	258
Precinct 7951 - Election Day	113	36	854	166	0	0	17	149
Precinct 7951 - Vote By Mail	241	135	854	425	0	0	49	376
Precinct 7952 - Election Day	99	49	866	167	0	0	19	148
Precinct 7952 - Vote By Mail	233	93	866	359	0	1	32	326
Precinct 7953 - Election Day	124	42	824	186	2	0	18	166
Precinct 7953 - Vote By Mail	238	120	824	402	0	0	44	358
Precinct 7955 - Election Day	122	52	902	199	0	2	23	174
Precinct 7955 - Vote By Mail	257	125	902	435	0	0	53	382
Precinct 7956 - Election Day	87	34	823	136	0	0	15	121
Precinct 7956 - Vote By Mail	216	103	823	353	0	0	34	319
Precinct 7957 - Election Day	109	24	646	147	0	1	13	133
Precinct 7957 - Vote By Mail	208	66	646	298	0	0	24	274
Precinct 7958 MB - Vote By Mail	91	38	290	141	0	0	12	129
Precinct 7959 - Election Day	115	33	727	160	0	0	12	148
Precinct 7959 - Vote By Mail	239	65	727	326	0	0	22	304
Precinct 9001 MB - Vote By Mail	99	34	273	142	0	0	9	133
Precinct 9101 - Election Day	173	70	888	260	0	0	17	243
Precinct 9101 - Vote By Mail	241	149	888	438	0	0	48	390
Precinct 9102 - Election Day	144	93	985	257	0	0	20	237
Precinct 9102 - Vote By Mail	268	158	985	471	0	0	45	426
Precinct 9103 - Election Day	154	94	954	273	0	0	25	248
Precinct 9103 - Vote By Mail	234	140	954	431	0	0	57	374
Precinct 9104 - Election Day	155	56	988	239	0	0	28	211
Precinct 9104 - Vote By Mail	287	137	988	465	0	0	41	424
Precinct 9105 - Election Day	145	78	919	247	0	0	24	223
Precinct 9105 - Vote By Mail	287	154	919	488	0	0	47	441
Precinct 9106 - Election Day	174	69	937	268	1	0	24	243
Precinct 9106 - Vote By Mail	272	166	937	497	0	0	59	438
Precinct 9107 - Election Day	150	54	849	219	0	0	15	204
Precinct 9107 - Vote By Mail	233	99	849	372	0	1	39	332
Precinct 9108 - Election Day	171	60	790	247	0	0	16	231
Precinct 9108 - Vote By Mail	231	103	790	373	1	0	38	334
Precinct 9109 - Election Day	154	84	884	263	0	0	25	238
Precinct 9109 - Vote By Mail	270	114	884	428	0	0	44	384
Precinct 9111 - Election Day	157	55	779	229	0	0	17	212
Precinct 9111 - Vote By Mail	210	100	779	346	0	0	36	310
Precinct 9112 - Election Day	176	81	976	284	0	0	27	257
Precinct 9112 - Vote By Mail	286	135	976	467	0	0	46	421
Precinct 9113 - Election Day	191	90	999	311	0	0	30	281
Precinct 9113 - Vote By Mail	295	158	999	505	0	0	52	453
Precinct 9114 - Election Day	173	66	877	263	0	0	24	239
Precinct 9114 - Vote By Mail	259	118	877	405	0	0	28	377
Precinct 9115 - Election Day	181	63	911	258	0	0	14	244
Precinct 9115 - Vote By Mail	289	94	911	429	0	0	46	383
Precinct 9116 - Election Day	194	69	944	281	1	0	17	263
Precinct 9116 - Vote By Mail	282	130	944	473	0	0	61	412
Precinct 9117 - Election Day	144	65	783	222	0	0	13	209
Precinct 9117 - Vote By Mail	243	118	783	398	0	0	37	361
Precinct 9118 - Election Day	165	85	974	286	0	0	36	250
Precinct 9118 - Vote By Mail	244	124	974	426	0	0	58	368
Precinct 9119 - Election Day	141	71	891	237	0	0	25	212
Precinct 9119 - Vote By Mail	272	133	891	447	0	1	41	405
Precinct 9121 - Election Day	164	63	930	256	0	0	29	227
Precinct 9121 - Vote By Mail	267	119	930	434	0	1	47	386
Precinct 9122 - Election Day	136	49	953	210	0	0	25	185
Precinct 9122 - Vote By Mail	263	149	953	454	0	0	42	412
Precinct 9123 - Election Day	148	66	858	232	0	0	18	214
Precinct 9123 - Vote By Mail	238	143	858	418	0	1	36	381
Precinct 9124 - Election Day	122	63	874	202	0	1	16	185
Precinct 9124 - Vote By Mail	253	136	874	438	0	0	49	389
Precinct 9125 - Election Day	129	55	861	210	0	0	26	184
Precinct 9125 - Vote By Mail	276	118	861	437	0	0	43	394
Precinct 9126 - Election Day	149	69	1,015	245	0	0	27	218
Precinct 9126 - Vote By Mail	299	173	1,015	533	0	0	61	472
Precinct 9127 - Election Day	163	70	960	269	0	0	36	233
Precinct 9127 - Vote By Mail	306	141	960	498	0	0	51	447
Precinct 9128 - Election Day	160	68	828	248	0	0	20	228
Precinct 9128 - Vote By Mail	254	122	828	412	0	0	36	376
Precinct 9129 - Election Day	156	63	741	243	0	0	24	219
Precinct 9129 - Vote By Mail	212	98	741	348	0	0	38	310
Precinct 9131 - Election Day	127	50	759	193	0	0	16	177
Precinct 9131 - Vote By Mail	251	119	759	403	0	0	33	370
Precinct 9132 - Election Day	175	48	837	248	0	0	25	223
Precinct 9132 - Vote By Mail	242	95	837	371	0	1	33	337
Precinct 9133 - Election Day	180	65	1,021	271	0	0	26	245
Precinct 9133 - Vote By Mail	321	139	1,021	503	0	0	43	460
Precinct 9134 - Election Day	140	39	893	210	0	0	31	179
Precinct 9134 - Vote By Mail	247	164	893	469	0	0	58	411
Precinct 9135 - Election Day	127	70	808	215	0	0	18	197
Precinct 9135 - Vote By Mail	213	138	808	389	0	1	37	351
Precinct 9136 - Election Day	155	67	929	253	0	0	31	222
Precinct 9136 - Vote By Mail	276	119	929	439	0	0	44	395
Precinct 9137 - Election Day	154	84	1,006	260	0	0	22	238
Precinct 9137 - Vote By Mail	284	146	1,006	467	0	0	37	430
Precinct 9138 - Election Day	137	60	943	226	1	0	28	197
Precinct 9138 - Vote By Mail	292	147	943	477	1	0	37	439
Precinct 9139 - Election Day	139	82	975	243	0	0	22	221
Precinct 9139 - Vote By Mail	276	184	975	510	0	0	50	460
Precinct 9141 - Election Day	141	88	953	252	0	0	23	229
Precinct 9141 - Vote By Mail	291	137	953	477	0	1	48	428
Precinct 9142 - Election Day	190	55	966	276	0	0	31	245
Precinct 9142 - Vote By Mail	311	108	966	459	0	0	40	419
Precinct 9143 - Election Day	156	68	920	251	0	0	27	224
Precinct 9143 - Vote By Mail	257	153	920	463	0	0	53	410
Precinct 9144 - Election Day	191	78	962	293	0	0	24	269
Precinct 9144 - Vote By Mail	292	140	962	482	0	0	50	432
Precinct 9145 - Election Day	154	75	861	249	1	0	19	229
Precinct 9145 - Vote By Mail	268	125	861	423	0	0	30	393
Precinct 9146 - Election Day	154	69	885	245	0	0	22	223
Precinct 9146 - Vote By Mail	294	128	885	464	0	0	42	422
Precinct 9147 - Election Day	178	66	971	281	0	0	37	244
Precinct 9147 - Vote By Mail	317	138	971	492	0	0	37	455
Precinct 9148 - Election Day	220	89	1,034	325	0	0	16	309
Precinct 9148 - Vote By Mail	324	154	1,034	513	0	0	35	478
Precinct 9149 - Election Day	189	54	948	264	0	0	21	243
Precinct 9149 - Vote By Mail	305	145	948	478	0	0	28	450
Precinct 9151 - Election Day	143	67	872	227	0	0	17	210
Precinct 9151 - Vote By Mail	248	139	872	418	0	0	31	387
Precinct 9152 - Election Day	195	62	721	270	0	0	13	257
Precinct 9152 - Vote By Mail	187	74	721	279	0	1	17	261
Precinct 9201 - Election Day	211	79	1,004	300	0	0	10	290
Precinct 9201 - Vote By Mail	314	132	1,004	475	0	2	27	446
Precinct 9202 - Election Day	174	97	971	294	0	0	23	271
Precinct 9202 - Vote By Mail	257	125	971	426	0	0	44	382
Precinct 9203 - Election Day	102	100	1,002	239	0	0	37	202
Precinct 9203 - Vote By Mail	233	234	1,002	536	0	0	69	467
Precinct 9204 - Election Day	91	139	873	273	0	0	43	230
Precinct 9204 - Vote By Mail	170	172	873	393	0	0	51	342
Precinct 9205 - Election Day	118	63	728	208	0	0	27	181
Precinct 9205 - Vote By Mail	200	141	728	376	0	0	35	341
Precinct 9206 - Election Day	103	113	931	249	0	1	32	216
Precinct 9206 - Vote By Mail	208	216	931	479	0	0	55	424
Precinct 9207 - Election Day	126	96	981	262	0	0	40	222
Precinct 9207 - Vote By Mail	225	202	981	502	0	0	75	427
Precinct 9208 - Election Day	150	104	1,002	287	0	0	33	254
Precinct 9208 - Vote By Mail	244	193	1,002	491	0	0	54	437
