Subtotal Area	RICARDO LARA	STEVE POIZNER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7005 - Election Day	178	53	847	253	0	0	22	231
Precinct 7005 - Vote By Mail	324	118	847	480	0	0	38	442
Precinct 7006 - Election Day	185	46	917	254	0	0	23	231
Precinct 7006 - Vote By Mail	323	87	917	442	0	1	31	410
Precinct 7007 - Election Day	197	65	949	283	0	1	20	262
Precinct 7007 - Vote By Mail	346	132	949	516	0	1	37	478
Precinct 7008 - Election Day	182	63	932	264	1	0	18	245
Precinct 7008 - Vote By Mail	346	157	932	546	1	0	42	503
Precinct 7009 - Election Day	125	45	905	185	0	0	15	170
Precinct 7009 - Vote By Mail	370	116	905	513	0	0	27	486
Precinct 7011 - Election Day	145	42	985	204	0	0	17	187
Precinct 7011 - Vote By Mail	205	60	985	294	0	0	29	265
Precinct 7012 - Election Day	211	79	1,109	313	0	0	23	290
Precinct 7012 - Vote By Mail	373	177	1,109	594	0	0	44	550
Precinct 7013 - Election Day	165	70	956	267	0	0	32	235
Precinct 7013 - Vote By Mail	309	160	956	501	0	0	32	469
Precinct 7014 - Election Day	238	96	1,460	367	0	0	33	334
Precinct 7014 - Vote By Mail	518	220	1,460	802	0	0	64	738
Precinct 7015 MB - Vote By Mail	33	6	95	44	0	0	5	39
Precinct 7016 - Election Day	116	32	918	171	0	0	23	148
Precinct 7016 - Vote By Mail	178	64	918	280	0	1	37	242
Precinct 7017 - Election Day	110	26	754	149	0	0	13	136
Precinct 7017 - Vote By Mail	195	36	754	252	0	0	21	231
Precinct 7018 - Election Day	109	32	977	155	0	0	14	141
Precinct 7018 - Vote By Mail	287	100	977	448	0	0	61	387
Precinct 7019 - Election Day	134	29	899	182	0	0	19	163
Precinct 7019 - Vote By Mail	276	92	899	413	0	0	45	368
Precinct 7021 - Election Day	128	32	947	184	0	0	24	160
Precinct 7021 - Vote By Mail	219	59	947	305	0	0	27	278
Precinct 7022 - Election Day	158	32	945	215	0	1	24	190
Precinct 7022 - Vote By Mail	249	70	945	352	0	0	33	319
Precinct 7023 - Election Day	135	32	928	178	0	0	11	167
Precinct 7023 - Vote By Mail	282	79	928	400	0	1	38	361
