Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts	60,002	291,660	500,516	372,848	942	332	19,912	351,662
All Precincts - None	20,509	100,069	500,516	127,886	135	105	7,068	120,578
All Precincts - None	39,493	191,591	500,516	244,962	807	227	12,844	231,084
Precinct 1101 - None	28	91	553	126	0	0	7	119
Precinct 1101 - None	49	206	553	266	1	0	10	255
Precinct 1102 - None	44	210	995	266	0	0	12	254
Precinct 1102 - None	89	363	995	480	-1	0	29	452
Precinct 1103 - None	51	180	951	246	1	0	14	231
Precinct 1103 - None	103	324	951	445	0	0	18	427
Precinct 1104/1105 - None	41	194	993	249	0	0	14	235
Precinct 1104/1105 - None	95	302	993	414	-2	0	19	397
Precinct 1106 - None	47	134	765	191	-1	0	11	181
Precinct 1106 - None	90	226	765	343	1	0	26	316
Precinct 1107 - None	28	128	746	163	1	0	6	156
Precinct 1107 - None	80	230	746	336	3	0	23	310
Precinct 1108 - None	45	167	909	232	-1	0	21	212
Precinct 1108 - None	66	349	909	438	-1	0	24	415
Precinct 1109 - None	35	123	798	166	0	0	8	158
Precinct 1109 - None	81	263	798	365	1	0	20	344
Precinct 1111 - None	47	144	1,002	205	0	0	14	191
Precinct 1111 - None	113	315	1,002	460	-1	0	33	428
Precinct 1112 - None	38	100	769	151	0	1	12	138
Precinct 1112 - None	78	237	769	344	0	0	29	315
Precinct 1113 - None	30	96	746	135	2	0	7	126
Precinct 1113 - None	93	253	746	360	0	0	14	346
Precinct 1114 - None	45	150	957	226	0	1	30	195
Precinct 1114 - None	114	270	957	404	2	1	17	384
Precinct 1115 - None	36	130	895	174	1	0	7	166
Precinct 1115 - None	109	242	895	371	-2	0	22	351
Precinct 1116 - None	38	165	895	225	0	0	22	203
Precinct 1116 - None	89	261	895	376	2	0	24	350
Precinct 1117 - None	27	141	858	185	1	0	16	168
Precinct 1117 - None	78	261	858	357	1	0	17	339
Precinct 1118 - None	36	166	1,043	213	-2	0	13	202
Precinct 1118 - None	100	357	1,043	476	-3	0	22	457
Precinct 1119 - None	34	122	791	165	0	0	9	156
Precinct 1119 - None	76	283	791	386	1	0	26	359
Precinct 1121 - None	32	120	691	160	0	0	8	152
Precinct 1121 - None	86	197	691	313	4	1	25	283
Precinct 1122 - None	20	81	632	110	0	0	9	101
Precinct 1122 - None	70	220	632	310	0	1	19	290
Precinct 1123 - None	42	124	915	179	0	0	13	166
Precinct 1123 - None	86	243	915	364	0	0	35	329
