Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts	135,874	214,363	500,516	372,848	282	266	22,063	350,237
All Precincts - None	42,221	77,923	500,516	127,886	68	78	7,596	120,144
All Precincts - None	93,653	136,440	500,516	244,962	214	188	14,467	230,093
Precinct 1101 - None	46	74	553	126	0	0	6	120
Precinct 1101 - None	92	166	553	266	0	0	8	258
Precinct 1102 - None	83	178	995	266	0	0	5	261
Precinct 1102 - None	203	257	995	480	-2	0	22	460
Precinct 1103 - None	72	158	951	246	1	1	14	230
Precinct 1103 - None	179	252	951	445	-1	0	15	431
Precinct 1104/1105 - None	87	150	993	249	-1	0	13	237
Precinct 1104/1105 - None	180	218	993	414	-2	0	18	398
Precinct 1106 - None	67	117	765	191	0	0	7	184
Precinct 1106 - None	156	172	765	343	-1	0	16	328
Precinct 1107 - None	55	99	746	163	0	0	9	154
Precinct 1107 - None	142	158	746	336	5	0	31	300
Precinct 1108 - None	80	141	909	232	-1	0	12	221
Precinct 1108 - None	176	233	909	438	-1	1	29	409
Precinct 1109 - None	50	103	798	166	0	1	12	153
Precinct 1109 - None	163	186	798	365	-2	0	18	349
Precinct 1111 - None	64	128	1,002	205	0	0	13	192
Precinct 1111 - None	201	226	1,002	460	-3	0	36	427
Precinct 1112 - None	57	83	769	151	2	0	9	140
Precinct 1112 - None	156	161	769	344	-1	0	28	317
Precinct 1113 - None	48	76	746	135	0	0	11	124
Precinct 1113 - None	164	172	746	360	0	0	24	336
Precinct 1114 - None	95	114	957	226	-2	0	19	209
Precinct 1114 - None	173	216	957	404	0	0	15	389
Precinct 1115 - None	57	109	895	174	0	0	8	166
Precinct 1115 - None	168	185	895	371	-3	0	21	353
Precinct 1116 - None	83	127	895	225	1	0	14	210
Precinct 1116 - None	169	185	895	376	-2	0	24	354
Precinct 1117 - None	69	102	858	185	0	1	13	171
Precinct 1117 - None	153	184	858	357	1	1	18	337
Precinct 1118 - None	74	134	1,043	213	0	1	4	208
Precinct 1118 - None	197	259	1,043	476	-3	0	23	456
Precinct 1119 - None	57	102	791	165	0	0	6	159
Precinct 1119 - None	147	216	791	386	0	0	23	363
Precinct 1121 - None	56	97	691	160	0	0	7	153
Precinct 1121 - None	135	158	691	313	-1	0	21	293
Precinct 1122 - None	43	61	632	110	0	0	6	104
Precinct 1122 - None	129	157	632	310	-1	0	25	286
Precinct 1123 - None	61	110	915	179	0	0	8	171
Precinct 1123 - None	177	160	915	364	-1	0	28	337
Precinct 1124 - None	49	90	819	152	0	0	13	139
Precinct 1124 - None	137	152	819	302	-2	0	15	289
Precinct 1125 - None	60	94	1,047	159	1	0	4	154
Precinct 1125 - None	221	219	1,047	466	0	0	26	440
Precinct 1126 - None	65	115	922	191	0	0	11	180
Precinct 1126 - None	163	225	922	400	-2	0	14	388
Precinct 1127 - None	73	116	920	200	0	0	11	189
Precinct 1127 - None	178	182	920	382	-2	1	23	360
Precinct 1128 - None	57	89	838	154	0	0	8	146
Precinct 1128 - None	170	173	838	362	0	0	19	343
Precinct 1129 - None	82	125	980	227	1	1	18	207
Precinct 1129 - None	175	220	980	416	2	0	19	395
Precinct 1131 - None	45	78	797	132	0	0	9	123
Precinct 1131 - None	166	182	797	371	0	0	23	348
Precinct 1132 - None	66	103	969	179	2	0	8	169
Precinct 1132 - None	190	213	969	427	-1	0	25	403
Precinct 1133 - None	59	90	863	161	1	1	10	149
Precinct 1133 - None	168	218	863	410	0	0	24	386
Precinct 1134 - None	66	89	759	170	2	0	13	155
Precinct 1134 - None	117	178	759	318	-3	1	25	295
Precinct 1135 - None	34	48	540	87	1	0	4	82
Precinct 1135 - None	117	148	540	295	1	1	28	265
Precinct 1136 - None	52	80	829	144	0	1	11	132
Precinct 1136 - None	163	226	829	412	1	0	22	389
Precinct 1141 - None	73	135	1,041	223	3	0	12	208
Precinct 1141 - None	200	267	1,041	484	-1	0	18	467
Precinct 1142 - None	62	103	861	175	-1	0	11	165
Precinct 1142 - None	142	236	861	393	-2	0	17	378
Precinct 1143 - None	69	145	1,034	229	1	0	14	214
Precinct 1143 - None	183	230	1,034	440	1	0	26	413
Precinct 1144 - None	73	124	907	205	2	0	6	197
Precinct 1144 - None	153	213	907	387	0	1	20	366
Precinct 1145 - None	69	111	888	189	1	0	8	180
Precinct 1145 - None	165	279	888	461	-3	0	20	444
Precinct 1146 - None	73	108	1,011	186	-1	0	6	181
Precinct 1146 - None	158	270	1,011	454	0	0	26	428
Precinct 1147 - None	59	135	877	210	4	0	12	194
Precinct 1147 - None	141	232	877	396	2	0	21	373
Precinct 1148 - None	64	122	962	196	1	0	9	186
Precinct 1148 - None	194	227	962	444	0	0	23	421
Precinct 1149 - None	70	130	907	210	1	0	9	200
Precinct 1149 - None	153	231	907	407	-6	0	29	384
Precinct 1152 - None	62	124	864	198	-1	0	13	186
Precinct 1152 - None	156	212	864	388	0	0	20	368
Precinct 1153 - None	82	115	951	210	0	0	13	197
Precinct 1153 - None	171	225	951	415	-1	0	20	396
Precinct 7001 - None	47	117	776	176	0	1	11	164
Precinct 7001 - None	140	270	776	429	0	0	19	410
Precinct 7002 - None	47	118	706	176	1	0	10	165
Precinct 7002 - None	134	180	706	332	1	1	16	314
Precinct 7003 - None	77	150	884	238	0	0	11	227
Precinct 7003 - None	156	324	884	498	0	0	18	480
Precinct 7004 - None	72	161	881	241	1	0	7	233
Precinct 7004 - None	145	327	881	496	1	0	23	472
Precinct 7005 - None	64	171	847	253	1	0	17	235
Precinct 7005 - None	151	308	847	480	-1	0	22	459
Precinct 7006 - None	55	191	917	254	1	0	7	246
Precinct 7006 - None	129	299	917	442	1	0	13	428
Precinct 7007 - None	59	217	949	283	0	0	7	276
Precinct 7007 - None	169	317	949	516	-1	2	29	486
Precinct 7008 - None	55	199	932	264	-1	0	11	254
Precinct 7008 - None	188	321	932	546	2	1	34	509
Precinct 7009 - None	53	117	905	185	0	1	14	170
Precinct 7009 - None	144	344	905	513	0	0	25	488
Precinct 7011 - None	62	128	985	204	0	0	14	190
Precinct 7011 - None	98	183	985	294	-1	1	13	281
Precinct 7012 - None	84	213	1,109	313	0	1	15	297
Precinct 7012 - None	223	345	1,109	594	1	0	25	568
Precinct 7013 - None	85	163	956	267	0	1	18	248
